サス	s ä s ɯ̥ᵝ
ついしょう	t͡s ɨᵝ i ɕ o̞ː
ついずい	t͡s ɨᵝ i z ɨᵝ i
ついせき	t͡s ɨᵝ i s e̞ kʲ i
ついそう	t͡s ɨᵝ i s o̞ː
つぎ	t͡s ɨᵝ ɡʲ i
ついとう	t͡s ɨᵝ i t o̞ː
ついとうしき	t͡s ɨᵝ i t o̞ː ɕ i kʲ i
ついとつ	t͡s ɨᵝ i t o̞ t͡s ɨᵝ
すいどう	s ɨᵝ i d o̞ː
ずいどう	d͡z ɨᵝ i d o̞ː
ついどう	t͡s ɨᵝ i d o̞ː
ついな	t͡s ɨᵝ i n a̠
ついばむ	t͡s ɨᵝ i b a̠ m ɯ̟ᵝ
ついほう	t͡s ɨᵝ i h o̞ː
ついらく	t͡s ɨᵝ i ɾ a̠ k ɯ̟ᵝ
ツインテール	t͡s ɨᵝ ĩ n t e̞ː ɾ ɯ̟ᵝ
つうか	t͡s ɨᵝː k a̠
つうか	t͡s ɨᵝː k a̠
つうかい	t͡s ɨᵝː k a̠ i
つうかく	t͡s ɨᵝː k a̠ k ɯ̟ᵝ
つうがく	t͡s ɨᵝː ɡ a̠ k ɯ̟ᵝ
つうがくかばん	t͡s ɨᵝː ɡ a̠ k ɯ̟ᵝ k a̠ b ã̠ ɴ
つうきん	t͡s ɨᵝː kʲ ĩ ɴ
つうぎょう	t͡s ɨᵝː ɡʲ o̞ː
つうこう	t͡s ɨᵝː k o̞ː
つうこう	t͡s ɨᵝː k o̞ː
つうこく	t͡s ɨᵝː k o̞ k ɯ̟ᵝ
つうさん	t͡s ɨᵝː s ã̠ ɴ
つうしょう	t͡s ɨᵝː ɕ o̞ː
つうしょう	t͡s ɨᵝː ɕ o̞ː
つうしん	t͡s ɨᵝː ɕ ĩ ɴ
つうしん	t͡s ɨᵝː ɕ ĩ ɴ
つうじょう	t͡s ɨᵝː ʑ o̞ː
つうせつ	t͡s ɨᵝː s e̞ t͡s ɨᵝ
つうぞく	t͡s ɨᵝː z o̞ k ɯ̟ᵝ
つうち	t͡s ɨᵝː t͡ɕ i
つうちひょう	t͡s ɨᵝː t͡ɕ i ç o̞ː
つうちょう	t͡s ɨᵝː t͡ɕ o̞ː
つうはん	t͡s ɨᵝː h ã̠ ɴ
つうふう	t͡s ɨᵝː ɸ ɯ̟ᵝː
つうほう	t͡s ɨᵝː h o̞ː
つうやく	t͡s ɨᵝː j a̠ k ɯ̟ᵝ
つうよう	t͡s ɨᵝː j o̞ː
ツールチップ	t͡s ɨᵝː ɾ ɯ̟ᵝ t͡ɕ i̥ p̚ p ɯ̟ᵝ
つうろ	t͡s ɨᵝː ɾ o̞
つぇ	t͡s e̞
ツェ	t͡s e̞
ツェナーダイオード	t͡s e̞ n a̠ː d a̠ i o̞ː d o̞
ツォ	t͡s o̞
つかい	t͡s ɨ̥ᵝ k a̠ i
つかいこなす	t͡s ɨᵝ k a̠ i k o̞ n a̠ s ɨᵝ
つかいふるし	t͡s ɨᵝ k a̠ i ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ i
つかいふるす	t͡s ɨᵝ k a̠ i ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ s ɨᵝ
つかいみち	t͡s ɨ̥ᵝ k a̠ i mʲ i t͡ɕ i
つかいわける	t͡s ɨᵝ k a̠ i ɰᵝ a̠ k e̞ ɾ ɯ̟ᵝ
つかえる	t͡s ɨᵝ k a̠ e̞ ɾ ɯ̟ᵝ
つかえる	t͡s ɨᵝ k a̠ e̞ ɾ ɯ̟ᵝ
つかのま	t͡s ɨ̥ᵝ k a̠ n o̞ m a̠
つかれ	t͡s ɨ̥ᵝ k a̠ ɾ e̞
つがざくら	t͡s ɨᵝ ɡ a̠ z a̠ k ɯ̟ᵝ ɾ a̠
つがる	t͡s ɨᵝ ɡ a̠ ɾ ɯ̟ᵝ
つき	t͡s ɨᵝ kʲ i
つき	t͡s ɨᵝ kʲ i
つきあい	t͡s ɨ̥ᵝ kʲ i a̠ i
つきあたり	t͡s ɨᵝ kʲ i a̠ t a̠ ɾʲ i
つきじ	t͡s ɨᵝ kʲ i ʑ i
つきすすむ	t͡s ɨᵝ kʲ i s ɨᵝ s ɨᵝ m ɯ̟ᵝ
つきそい	t͡s ɨ̥ᵝ kʲ i s o̞ i
つきそう	t͡s ɨᵝ kʲ i s o̞ː
つきのわぐま	t͡s ɨ̥ᵝ kʲ i n o̞ ɰᵝ a̠ ɡ ɯ̟ᵝ m a̠
がっぴ	ɡ a̠ p̚ʲ pʲ i
つきひ	t͡s ɨ̥ᵝ kʲ i ç i
つきみ	t͡s ɨᵝ kʲ i mʲ i
つきんぼう	t͡s ɨᵝ kʲ ĩ m b o̞ː
つぎあわせる	t͡s ɨᵝ ɡʲ i a̠ ɰᵝ a̠ s e̞ ɾ ɯ̟ᵝ
じなん	d͡ʑ i n ã̠ ɴ
つぎお	t͡s ɨᵝ ɡʲ i o̞
つぎざま	t͡s ɨᵝ ɡʲ i s a̠ m a̠
つぎざま	t͡s ɨᵝ ɡʲ i s a̠ m a̠
つぎめ	t͡s ɨᵝ ɡʲ i m e̞
つくえ	t͡s ɨᵝ k ɯ̟ᵝ e̞
つくつくぼうし	t͡s ɨᵝ k ɯ̟ᵝ t͡s ɨᵝ k ɯ̟ᵝ b o̞ː ɕ i
つくね	t͡s ɨ̥ᵝ k ɯ̟ᵝ n e̞
そんきょ	s õ̞ ŋ k o̞
そんきょ	s õ̞ ŋ k o̞
そんこ	t͡s ɨᵝ k ɯ̟ᵝ b a̠ i
そんこ	s õ̞ ŋ k o̞
つくひよ	t͡s ɨᵝ k ɯ̟ᵝ ç i j o̞
つくり	t͡s ɨᵝ k ɯ̟ᵝ ɾʲ i
つくりかた	t͡s ɨ̥ᵝ k ɯ̟ᵝ ɾʲ i k a̠ t a̠
つくりじ	t͡s ɨᵝ k ɯ̟ᵝ ɾʲ i ʑ i
つくりたけ	t͡s ɨᵝ k ɯ̟ᵝ ɾʲ i t a̠ k e̞
つくる	t͡s ɨᵝ k ɯ̟ᵝ ɾ ɯ̟ᵝ
つくろいもの	t͡s ɨᵝ k ɯ̟ᵝ ɾ o̞ i m o̞ n o̞
じなん	d͡ʑ i n ã̠ ɴ
じなん	t͡s ɨᵝ ɡ ɯ̟ᵝ o̞
つぎお	t͡s ɨᵝ ɡ ɯ̟ᵝ o̞
つぎお	t͡s ɨᵝ ɡ ɯ̟ᵝ o̞
つけこむ	t͡s ɨᵝ k e̞ k o̞ m ɯ̟ᵝ
つけぶみ	t͡s ɨᵝ k e̞ b ɯ̟ᵝ mʲ i
つけまつげ	t͡s ɨᵝ k e̞ m a̠ t͡s ɨᵝ ɡ e̞
つけもの	t͡s ɨ̥ᵝ k e̞ m o̞ n o̞
つごう	t͡s ɨᵝ ɡ o̞ː
つじうら	t͡s ɨᵝ ʑ i ɯ̟ᵝ ɾ a̠
つじじどうしゃ	t͡s ɨᵝ ʑ i ʑ i d o̞ː ɕ a̠
つじつま	t͡s ɨᵝ ʑ i t͡s ɨᵝ m a̠
すさ	s ɨᵝ s a̠
つた	t͡s ɨᵝ t a̠
つたない	t͡s ɨᵝ t a̠ n a̠ i
つだみ	t͡s ɨᵝ d a̠ mʲ i
じ	d͡ʑ i
ち	t͡ɕ i
つち	t͡s ɨᵝ t͡ɕ i
つちぐも	t͡s ɨ̥ᵝ t͡ɕ i ɡ ɯ̟ᵝ m o̞
つちけ	t͡s ɨᵝ t͡ɕ i k e̞
うど	ɯ̟ᵝ d o̞
ウド	d o̞ k̚ k a̠ t͡s ɨᵝ
どっかつ	t͡s ɨᵝ t͡ɕ i t a̠ ɾ a̠
つちにんぎょう	t͡s ɨ̥ᵝ t͡ɕ i ɲ̟ ĩ ŋʲ ɡʲ o̞ː
ぼ	b o̞
つちのえ	t͡s ɨ̥ᵝ t͡ɕ i n o̞ e̞
つちのこ	t͡s ɨᵝ t͡ɕ i n o̞ k o̞
つちぶた	t͡s ɨ̥ᵝ t͡ɕ i b ɯ̟ᵝ t a̠
つっこみ	t͡s ɨ̥ᵝ k̚ k o̞ mʲ i
つっぱしる	t͡s ɨᵝ p̚ p a̠ ɕ i ɾ ɯ̟ᵝ
つついづつ	t͡s ɨᵝ t͡s ɨᵝ i z ɨᵝ t͡s ɨᵝ
つつうらうら	t͡s ɨᵝ t͡s ɨᵝː ɾ a̠ ɯ̟ᵝ ɾ a̠
つづけじ	t͡s ɨᵝ z ɨᵝ k e̞ ʑ i
つづみ	t͡s ɨᵝ z ɨᵝ mʲ i
かずら	k a̠ z ɨᵝ ɾ a̠
くず	k ɯ̟ᵝ z ɨᵝ
クズ	t͡s ɨᵝ z ɨᵝ ɾ a̠
つづり	t͡s ɨᵝ z ɨᵝ ɾʲ i
つづりじ	t͡s ɨᵝ z ɨᵝ ɾʲ i ʑ i
つて	t͡s ɨ̥ᵝ t e̞
でん	d ẽ̞ ɴ
つとむ	t͡s ɨᵝ t o̞ m ɯ̟ᵝ
つとめさき	t͡s ɨᵝ t o̞ m e̞ s a̠ kʲ i
つながり	t͡s ɨᵝ n a̠ ɡ a̠ ɾʲ i
つなぐ	t͡s ɨᵝ n a̠ ɡ ɯ̟ᵝ
つなひき	t͡s ɨᵝ n a̠ ç i̥ kʲ i
つなみ	t͡s ɨᵝ n a̠ mʲ i
かいしょう	k a̠ i ɕ o̞ː
つねじ	t͡s ɨᵝ n e̞ ʑ i
つのざめ	t͡s ɨᵝ n o̞ z a̠ m e̞
つのめどり	t͡s ɨᵝ n o̞ m e̞ d o̞ ɾʲ i
きつねあざみ	kʲ i t͡s ɨᵝ n e̞ a̠ z a̠ mʲ i
つのよもぎ	t͡s ɨᵝ n o̞ j o̞ m o̞ ɡʲ i
つば	t͡s ɨᵝ b a̠
つば	t͡s ɨᵝ b a̠
さんちゃ	s ã̠ ɲ̟ t͡ɕ a̠
サンチャ	t͡s ɨᵝ b a̠ kʲ i
つばき	t͡s ɨᵝ b a̠ kʲ i
ツバル	t͡s ɨᵝ b a̠ ɾ ɯ̟ᵝ
つび	t͡s ɨᵝ bʲ i
つぶやき	t͡s ɨᵝ b ɯ̟ᵝ j a̠ kʲ i
つべこべ	t͡s ɨᵝ b e̞ k o̞ b e̞
つべたい	t͡s ɨᵝ b e̞ t a̠ i
つぼ	t͡s ɨᵝ b o̞
つぼくさ	t͡s ɨᵝ b o̞ k ɯ̟ᵝ s a̠
すぼめる	s ɨᵝ b o̞ m e̞ ɾ ɯ̟ᵝ
つぼめる	t͡s ɨᵝ b o̞ m e̞ ɾ ɯ̟ᵝ
おっと	o̞ t̚ t o̞
つま	t͡s ɨᵝ m a̠
つまさき	t͡s ɨᵝ m a̠ s a̠ kʲ i
つまびく	t͡s ɨᵝ m a̠ bʲ i k ɯ̟ᵝ
ざいか	d͡z a̠ i k a̠
つみとが	t͡s ɨᵝ mʲ i t o̞ ɡ a̠
つみぶかい	t͡s ɨᵝ mʲ i b ɯ̟ᵝ k a̠ i
つみれ	t͡s ɨᵝ mʲ i ɾ e̞
つむぎ	t͡s ɨᵝ m ɯ̟ᵝ ɡʲ i
つじ	t͡s ɨᵝ ʑ i
つむじ	t͡s ɨᵝ m ɯ̟ᵝ ʑ i
つむる	t͡s ɨᵝ m ɯ̟ᵝ ɾ ɯ̟ᵝ
つめ	t͡s ɨᵝ m e̞
つめあわせ	t͡s ɨᵝ m e̞ a̠ ɰᵝ a̠ s e̞
つめかんむり	t͡s ɨᵝ m e̞ k ã̠ mː ɯ̟ᵝ ɾʲ i
つめきり	t͡s ɨᵝ m e̞ kʲ i ɾʲ i
つめくさ	t͡s ɨᵝ m e̞ k ɯ̟̊ᵝ s a̠
つめこむ	t͡s ɨᵝ m e̞ k o̞ m ɯ̟ᵝ
つめろ	t͡s ɨᵝ m e̞ ɾ o̞
つや	t͡s ɨᵝ j a̠
つやま	t͡s ɨᵝ j a̠ m a̠
つゆあけ	t͡s ɨᵝ j ɯ̟ᵝ a̠ k e̞
つよび	t͡s ɨᵝ j o̞ bʲ i
めん	m ẽ̞ ɴ
おもて	o̞ m o̞ t e̞
つら	t͡s ɨᵝ ɾ a̠
ほほ	h o̞ h o̞
ほお	h o̞ː
つら	t͡s ɨᵝ ɾ a̠
つらがまえ	t͡s ɨᵝ ɾ a̠ ɡ a̠ m a̠ e̞
きょうこつ	kʲ o̞ː k o̞ t͡s ɨᵝ
ほおぼね	h o̞ː b o̞ n e̞
ツリー	t͡s ɨᵝ ɾʲ iː
ツリウム	t͡s ɨᵝ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
つりかわ	t͡s ɨᵝ ɾʲ i k a̠ ɰᵝ a̠
つりざお	t͡s ɨᵝ ɾʲ i z a̠ o̞
ツリめ	t͡s ɨᵝ ɾʲ i m e̞
つるざ	t͡s ɨᵝ ɾ ɯ̟ᵝ z a̠
つるはし	t͡s ɨᵝ ɾ ɯ̟ᵝ h a̠ ɕ i
つるれいし	t͡s ɨᵝ ɾ ɯ̟ᵝ ɾ e̞ː ɕ i
つれくる	t͡s ɨᵝ ɾ e̞ k ɯ̟ᵝ ɾ ɯ̟ᵝ
つれさる	t͡s ɨᵝ ɾ e̞ s a̠ ɾ ɯ̟ᵝ
つわる	t͡s ɨᵝ ɰᵝ a̠ ɾ ɯ̟ᵝ
つんどく	t͡s ɨ̃ᵝ n d o̞ k ɯ̟ᵝ
ツンドラ	t͡s ɨ̃ᵝ n d o̞ ɾ a̠
つんぼさじき	t͡s ɨ̃ᵝ m b o̞ s a̠ ʑ i kʲ i
て	t e̞
て	t e̞
テ	t e̞
て	t e̞
デ	d e̞
であい	d e̞ a̠ i
であいがしら	d e̞ a̠ i ɡ a̠ ɕ i ɾ a̠
てあし	t e̞ a̠ ɕ i
てあて	t e̞ a̠ t e̞
てあらい	t e̞ a̠ ɾ a̠ i
ティ	tʲ i
ディ	dʲ i
ティアラ	tʲ i a̠ ɾ a̠
ディー	dʲ iː
ディーエヌエー	dʲ iː e̞ n ɯ̟ᵝ e̞ː
ティーエヌティー	tʲ iː e̞ n ɯ̟ᵝ tʲ iː
ティーカップ	tʲ iː k a̠ p̚ p ɯ̟ᵝ
ティーシャツ	tʲ iː ɕ a̠ t͡s ɨᵝ
ディージェー	dʲ iː ʑ e̞ː
ティーじろ	tʲ iː ʑ i ɾ o̞
ティースプーン	tʲ iː s ɨ̥ᵝ p ɯ̟̃ᵝː ɴ
ディーティーエム	dʲ iː tʲ iː e̞ m ɯ̟ᵝ
ディーティーピー	dʲ iː tʲ iː pʲ iː
ティーネージャー	tʲ iː n e̞ː ʑ a̠ː
ディーブイ	dʲ iː b ɯ̟ᵝ i
ディーブイディー	dʲ iː b ɯ̟ᵝ i dʲ iː
ディープフライヤー	dʲ iː p ɯ̟ᵝ ɸ ɯ̟ᵝ ɾ a̠ i j a̠ː
ディーラー	dʲ iː ɾ a̠ː
ディクテーション	dʲ i k ɯ̟ᵝ t e̞ː ɕ õ̞ ɴ
ティケット	tʲ i̥ k e̞ t̚ t o̞
ディスクゴルフ	dʲ i s ɨᵝ k ɯ̟ᵝ ɡ o̞ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ
ディスケット	dʲ i s ɨ̥ᵝ k e̞ t̚ t o̞
ディスコ	dʲ i s ɨ̥ᵝ k o̞
ディスコティック	dʲ i s ɨᵝ k o̞ tʲ i k̚ k ɯ̟ᵝ
ディスる	dʲ i s ɨᵝ ɾ ɯ̟ᵝ
ディスレクシア	dʲ i s ɨᵝ ɾ e̞ k ɯ̟ᵝ ɕ i a̠
ティッシュ	tʲ i ɕː ɯ̟ᵝ
ディナール	dʲ i n a̠ː ɾ ɯ̟ᵝ
ティファナ	tʲ i ɸ a̠ n a̠
ティラノサウルス	tʲ i ɾ a̠ n o̞ s a̠ ɯ̟ᵝ ɾ ɯ̟ᵝ s ɨᵝ
ティラミス	tʲ i ɾ a̠ mʲ i s ɨᵝ
ディリ	dʲ i ɾʲ i
ディル	dʲ i ɾ ɯ̟ᵝ
ディレクトリー	dʲ i ɾ e̞ k ɯ̟̊ᵝ t o̞ ɾʲ iː
ディンゴ	dʲ ĩ ŋ ɡ o̞
ティンプー	tʲ ĩ m p ɯ̟ᵝː
そこ	s o̞ k o̞
てい	t e̞ː
てい	t e̞ː
ていおん	t e̞ː õ̞ ɴ
ていおん	t e̞ː õ̞ ɴ
ていか	t e̞ː k a̠
ていかんし	t e̞ː k ã̠ ɰ̃ ɕ i
ていがい	t e̞ː ɡ a̠ i
ていきけん	t e̞ː kʲ i k ẽ̞ ɴ
ていきゅう	t e̞ː kʲ ɨᵝː
ていきゅう	t e̞ː kʲ ɨᵝː
ていきゅう	t e̞ː kʲ ɨᵝː
ていきゅうび	t e̞ː kʲ ɨᵝː bʲ i
ていきょう	t e̞ː kʲ o̞ː
ていきん	t e̞ː kʲ ĩ ɴ
ていぎ	t e̞ː ɡʲ i
ていぎ	t e̞ː ɡʲ i
ていけいぶん	t e̞ː k e̞ː b ɯ̟̃ᵝ ɴ
ていけっとう	t e̞ː k e̞ t̚ t o̞ː
ていけつ	t e̞ː k e̞ t͡s ɨᵝ
ていげん	t e̞ː ɡ ẽ̞ ɴ
ていげん	t e̞ː ɡ ẽ̞ ɴ
ていこ	t e̞ː k o̞
ていこう	t e̞ː k o̞ː
ていこうき	t e̞ː k o̞ː kʲ i
ていこく	t e̞ː k o̞ k ɯ̟ᵝ
ていし	t e̞ː ɕ i
はしご	h a̠ ɕ i ɡ o̞
ていし	t e̞ː ɕ i
ていしき	t e̞ː ɕ i kʲ i
ていしつ	t e̞ː ɕ i t͡s ɨᵝ
ていしゃ	t e̞ː ɕ a̠
ていしゃじょう	t e̞ː ɕ a̠ b a̠
ていしゃじょう	t e̞ː ɕ a̠ b a̠
ていしゅかんぱく	t e̞ː ɕ ɨᵝ k ã̠ m p a̠ k ɯ̟ᵝ
ていしゅつ	t e̞ː ɕ ɨᵝ t͡s ɨᵝ
ていしょう	t e̞ː ɕ o̞ː
ていしょとくそう	t e̞ː ɕ o̞ t o̞ k ɯ̟ᵝ s o̞ː
ていしん	t e̞ː ɕ ĩ ɴ
ていじ	t e̞ː ʑ i
ていじ	t e̞ː ʑ i
ていじ	t e̞ː ʑ i
さだはる	s a̠ d a̠ h a̠ ɾ ɯ̟ᵝ
さだはる	t e̞ː ʑ i
ていじゅう	t e̞ː ʑ ɨᵝː
ていじろ	t e̞ː ʑ i ɾ o̞
ていせい	t e̞ː s e̞ː
ていせんりつ	t e̞ː s ẽ̞ n ɾʲ i t͡s ɨᵝ
ていそう	t e̞ː s o̞ː
ていそうたい	t e̞ː s o̞ː t a̠ i
ていぞく	t e̞ː z o̞ k ɯ̟ᵝ
ていたいせき	t e̞ː t a̠ i s e̞ kʲ i
ていちゃく	t e̞ː t͡ɕ a̠ k ɯ̟ᵝ
ていちょう	t e̞ː t͡ɕ o̞ː
ていちょうちょう	t e̞ː t͡ɕ o̞ː t͡ɕ o̞ː
ていてい	t e̞ː t e̞ː
ていてつ	t e̞ː t e̞ t͡s ɨᵝ
ていでん	t e̞ː d ẽ̞ ɴ
ちょうちん	t e̞ː t o̞ː
ちょうちん	t e̞ː t o̞ː
ていとう	t e̞ː t o̞ː
ていとく	t e̞ː t o̞ k ɯ̟ᵝ
ていど	t e̞ː d o̞
ていど	t e̞ː d o̞
ていど	t e̞ː d o̞
ていばん	t e̞ː b ã̠ ɴ
でいばんがん	d e̞ː b ã̠ ŋ ɡ ã̠ ɴ
ていへん	t e̞ː h ẽ̞ ɴ
ていぼう	t e̞ː b o̞ː
ていもう	t e̞ː m o̞ː
ていゆほう	t e̞ː j ɯ̟ᵝ h o̞ː
でいり	d e̞ i ɾʲ i
でいりぐち	d e̞ː ɾʲ i ɡ ɯ̟ᵝ t͡ɕ i
でいりゅう	d e̞ː ɾʲ ɨᵝː
ていれ	t e̞ i ɾ e̞
ていれつ	t e̞ː ɾ e̞ t͡s ɨᵝ
デウス	d e̞ ɯ̟ᵝ s ɨᵝ
てぇ	t e̞ː
テーゼ	t e̞ː z e̞
テータ	t e̞ː t a̠
データ	d e̞ː t a̠
データベース	d e̞ː t a̠ b e̞ː s ɨᵝ
デーツ	d e̞ː t͡s ɨ̥ᵝ
デート	d e̞ː t o̞
テーブルかけ	t e̞ː b ɯ̟ᵝ ɾ ɯ̟ᵝ k a̠ k e̞
テーブルさんざ	t e̞ː b ɯ̟ᵝ ɾ ɯ̟ᵝ s ã̠ n d͡z a̠
テーブルスプーン	t e̞ː b ɯ̟ᵝ ɾ ɯ̟ᵝ s ɨ̥ᵝ p ɯ̟̃ᵝː ɴ
デオキシリボかくさん	d e̞ o̞ kʲ i̥ ɕ i ɾʲ i b o̞ k a̠ k ɯ̟̊ᵝ s ã̠ ɴ
ておけ	t e̞ o̞ k e̞
ておち	t e̞ o̞ t͡ɕ i
でか	d e̞ k a̠
てかぎ	t e̞ k a̠ ɡʲ i
でかける	d e̞ k a̠ k e̞ ɾ ɯ̟ᵝ
でかす	d e̞ k a̠ s ɨᵝ
デカン	d e̞ k ã̠ ɴ
てかき	t e̞ k a̠ kʲ i
てがき	t e̞ ɡ a̠ kʲ i
てがたい	t e̞ ɡ a̠ t a̠ i
てがみ	t e̞ ɡ a̠ mʲ i
てがる	t e̞ ɡ a̠ ɾ ɯ̟ᵝ
てき	t e̞ kʲ i
テキーラ	t e̞ kʲ iː ɾ a̠
てきおう	t e̞ kʲ i o̞ː
てっき	t e̞ kʲ i kʲ i
てっき	t e̞ kʲ i kʲ i
できごころ	d e̞ kʲ i ɡ o̞ k o̞ ɾ o̞
てきしゅ	t e̞ kʲ i ɕ ɨᵝ
テキスト	t e̞ kʲ i s ɨ̥ᵝ t o̞
テキストブック	t e̞ kʲ i s ɨ̥ᵝ t o̞ b ɯ̟ᵝ k̚ k ɯ̟ᵝ
デキストリン	d e̞ kʲ i s ɨᵝ t o̞ ɾʲ ĩ ɴ
てきだん	t e̞ kʲ i d ã̠ ɴ
てきだんへい	t e̞ kʲ i d ã̠ ɰ̃ h e̞ː
てきち	t e̞ kʲ i t͡ɕ i
てきちょく	t e̞ kʲ i t͡ɕ o̞ k ɯ̟ᵝ
できばえ	d e̞ kʲ i b a̠ e̞
テキや	t e̞ kʲ i j a̠
かたきやく	t e̞ kʲ i j a̠ k ɯ̟ᵝ
かたきやく	t e̞ kʲ i j a̠ k ɯ̟ᵝ
デキュー	d e̞ kʲ ɨᵝː
てきよう	t e̞ kʲ i j o̞ː
てぎわ	t e̞ ɡʲ i ɰᵝ a̠
テクスト	t e̞ k ɯ̟ᵝ s ɨ̥ᵝ t o̞
テクネチウム	t e̞ k ɯ̟ᵝ n e̞ t͡ɕ i ɯ̟ᵝ m ɯ̟ᵝ
デコイ	d e̞ k o̞ i
てっこう	t e̞ k̚ k o̞ː
てっこう	t e̞ k o̞ː
デコピン	d e̞ k o̞ pʲ ĩ ɴ
テコンドー	t e̞ k õ̞ n d o̞ː
てごころ	t e̞ ɡ o̞ k o̞ ɾ o̞
てごま	t e̞ ɡ o̞ m a̠
てごめ	t e̞ ɡ o̞ m e̞
てさき	t e̞ s a̠ kʲ i
デザイナー	d e̞ z a̠ i n a̠ː
デザイン	d e̞ z a̠ ĩ ɴ
デザート	d e̞ z a̠ː t o̞
デジカメ	d e̞ ʑ i k a̠ m e̞
てじょう	t e̞ ʑ o̞ː
てじょう	t e̞ ʑ o̞ː
です	d e̞ s ɨ̥ᵝ
てすう	t e̞ s ɨᵝː
デスクトップ	d e̞ s ɨ̥ᵝ k ɯ̟ᵝ t o̞ p̚ p ɯ̟ᵝ
テストステロン	t e̞ s ɨ̥ᵝ t o̞ s ɨ̥ᵝ t e̞ ɾ õ̞ ɴ
テスラ	t e̞ s ɨᵝ ɾ a̠
てすり	t e̞ s ɨᵝ ɾʲ i
てせい	t e̞ s e̞ː
てだて	t e̞ d a̠ t e̞
てちょう	t e̞ t͡ɕ o̞ː
てっかい	t e̞ k̚ k a̠ i
デッキ	d e̞ k̚ʲ kʲ i
てっきん	t e̞ k̚ʲ kʲ ĩ ɴ
テックス	t e̞ k̚ k ɯ̟ᵝ s ɨᵝ
てっこうかぎ	t e̞ k̚ k o̞ː k a̠ ɡʲ i
てっこつ	t e̞ k̚ k o̞ t͡s ɨᵝ
デッサン	d e̞ sː ã̠ ɴ
てっせい	t e̞ sː e̞ː
てっせん	t e̞ sː ẽ̞ ɴ
てっせんじゅつ	t e̞ sː ẽ̞ ɲ̟ d͡ʑ ɨᵝ t͡s ɨᵝ
てっつい	t e̞ t̚ t͡s ɨᵝ i
てっとう	t e̞ t̚ t o̞ː
デッドボール	d e̞ d̚ d̥ o̞ b o̞ː ɾ ɯ̟ᵝ
でっぱ	d e̞ p̚ p a̠
てっぱん	t e̞ p̚ p ã̠ ɴ
わだち	ɰᵝ a̠ d a̠ t͡ɕ i
てつ	t e̞ t͡s ɨᵝ
てつがく	t e̞ t͡s ɨᵝ ɡ a̠ k ɯ̟ᵝ
てつくず	t e̞ t͡s ɨᵝ k ɯ̟ᵝ z ɨᵝ
てつこ	t e̞ t͡s ɨᵝ k o̞
てつじ	t e̞ t͡s ɨᵝ ʑ i
ねつぞう	d e̞ t͡s ɨᵝ z o̞ː
ねつぞう	d e̞ t͡s ɨᵝ z o̞ː
てつづき	t e̞ t͡s ɨᵝ z ɨᵝ kʲ i
てつパイプ	t e̞ t͡s ɨᵝ p a̠ i p ɯ̟ᵝ
てつびん	t e̞ t͡s ɨᵝ bʲ ĩ ɴ
てつや	t e̞ t͡s ɨᵝ j a̠
てつり	t e̞ t͡s ɨᵝ ɾʲ i
てつろ	t e̞ t͡s ɨᵝ ɾ o̞
てづかみ	t e̞ z ɨᵝ k a̠ mʲ i
てづくり	t e̞ z ɨᵝ k ɯ̟ᵝ ɾʲ i
てづつ	t e̞ z ɨᵝ t͡s ɨᵝ
デディケーション	d e̞ dʲ i k e̞ː ɕ õ̞ ɴ
デトロイト	d e̞ t o̞ ɾ o̞ i t o̞
てどり	t e̞ d o̞ ɾʲ i
テナー	t e̞ n a̠ː
てながざる	t e̞ n a̠ ɡ a̠ z a̠ ɾ ɯ̟ᵝ
てなれる	t e̞ n a̠ ɾ e̞ ɾ ɯ̟ᵝ
デニール	d e̞ ɲ̟ iː ɾ ɯ̟ᵝ
テニス	t e̞ ɲ̟ i s ɨᵝ
デニム	d e̞ ɲ̟ i m ɯ̟ᵝ
てにをは	t e̞ ɲ̟ i o̞ h a̠
てぬかり	t e̞ n ɯ̟ᵝ k a̠ ɾʲ i
てぬぐい	t e̞ n ɯ̟ᵝ ɡ ɯ̟ᵝ i
テネシン	t e̞ n e̞ ɕ ĩ ɴ
テノール	t e̞ n o̞ː ɾ ɯ̟ᵝ
てのひら	t e̞ n o̞ ç i ɾ a̠
でば	d e̞ b a̠
でばん	d e̞ b ã̠ ɴ
デパート	d e̞ p a̠ː t o̞
テビバイト	t e̞ bʲ i b a̠ i t o̞
テビビット	t e̞ bʲ i bʲ i t̚ t o̞
デビュー	d e̞ bʲ ɨᵝː
デビュタント	d e̞ bʲ ɨᵝ t ã̠ n t o̞
デビル	d e̞ bʲ i ɾ ɯ̟ᵝ
てびろい	t e̞ bʲ i ɾ o̞ i
デフォルト	d e̞ ɸ o̞ ɾ ɯ̟ᵝ t o̞
デフォルマシオン	d e̞ ɸ o̞ ɾ ɯ̟ᵝ m a̠ ɕ i õ̞ ɴ
デフォルメ	d e̞ ɸ o̞ ɾ ɯ̟ᵝ m e̞
デフレ	d e̞ ɸ ɯ̟ᵝ ɾ e̞
デフレーション	d e̞ ɸ ɯ̟ᵝ ɾ e̞ː ɕ õ̞ ɴ
でぶ	d e̞ b ɯ̟ᵝ
