Ⴁ	b
მოქალაქე	m ɔ kʰ ɑ l ɑ kʰ ɛ
მოქალაქეობა	m ɔ kʰ ɑ l ɑ kʰ ɛ ɔ b ɑ
მოქანდაკე	m ɔ kʰ ɑ n d ɑ kʼ ɛ
მოქლონი	m ɔ kʰ l ɔ n ɪ
მოქმედებითი	m ɔ kʰ m ɛ d ɛ b i tʰ i
მოქნილად	m ɔ kʰ n i l ɑ d
მოქნილი	m ɔ kʰ n i l i
მოქნილობა	m ɔ kʰ n i l ɔ b ɑ
მოქცევა	m ɔ kʰ t s ɛ v ɑ
მოღალატეობა	m ɔ ʁ ɑ l ɑ tʼ ɛ ɔ b ɑ
მოღალატურად	m ɔ ʁ ɑ l ɑ tʼ u r ɑ d
მოღალატური	m ɔ ɣ ɑ l ɑ tʼ u r i
მოღვაწე	m ɔ ʁ v ɑ t sʼ ɛ
მოღვაწეობა	m ɔ ʁ v ɑ t sʼ ɛ ɔ b ɑ
მოღრეცილად	m ɔ ʁ r ɛ t s ɪ l ɑ d
მოღუშულად	m ɔ ʁ u ʃ u l ɑ d
მოღუშული	m ɔ ʁ u ʃ u l ɪ
მოყავისფრო	m ɔ qʼ ɑ v ɪ s pʰ r ɔ
მოყვარე	m ɔ qʼ v ɑ r ɛ
მოყვითალო	m ɔ qʼ v ɪ tʰ ɑ l ɔ
მოშავო	m ɔ ʃ ɑ v ɔ
მოშლა	m ɔ ʃ l ɑ
მოშლის	m ɔ ʃ l i s
მოშორებით	m ɔ ʃ ɔ r ɛ b ɪ tʰ
მოჩვენებითად	m ɔ t ʃ v ɛ n ɛ b ɪ tʰ ɑ d
მოჩვენებითი	m ɔ t ʃ v ɛ n ɛ b ɪ tʰ ɪ
მოცალეობა	m ɔ t s ɑ l ɛ ɔ b ɑ
მოციგურავე	m ɔ t s ɪ ɡ u r ɑ v ɛ
მოციმციმე	m ɔ t s ɪ m t s ɪ m ɛ
მოციქული	m ɔ t s i kʰ u l i
მოცულობა	m ɔ t s u l ɔ b ɑ
მოცურავე	m ɔ t s u r ɑ v ɛ
მოცხარი	m ɔ t s χ ɑ r ɪ
მოძველო	m ɔ d z v ɛ l ɔ
მოძრაობა	m ɔ d z r ɑ ɔ b ɑ
მოძღვარი	m ɔ d z ʁ v ɑ r ɪ
მოძღვრები	m ɔ d z ʁ v r ɛ b ɪ
მოწამე	m ɔ t sʼ ɑ m ɛ
მოწამეობა	m ɔ t sʼ ɑ m ɛ ɔ b ɑ
მოწაფე	m ɔ t sʼ ɑ pʰ ɛ
მოწითალო	m ɔ t sʼ i tʰ ɑ l ɔ
მოწინავე	m ɔ t sʼ i n ɑ v ɛ
მოწიფულობა	m ɔ t sʼ i pʰ u l ɔ b ɑ
მოწიწება	m ɔ t sʼ ɪ t sʼ ɛ b ɑ
მოწიწებით	m ɔ t sʼ ɪ t sʼ ɛ b ɪ tʰ
მოწმე	m ɔ t sʼ m ɛ
მოწმობა	m ɔ t sʼ m ɔ b ɑ
მოწოდება	m ɔ t sʼ ɔ d ɛ b ɑ
მოწონებით	m ɔ t sʼ ɔ n ɛ b i tʰ
მოწყალება	m ɔ t sʼ qʼ ɑ l ɛ b ɑ
მოწყალედ	m ɔ t sʼ qʼ ɑ l ɛ d
მოწყენილობა	m ɔ t sʼ qʼ ɛ n i l ɔ b ɑ
მოწყობილობა	m ɔ t sʼ qʼ ɔ b ɪ l ɔ b ɑ
მოჭარბებულად	m ɔ t ʃʼ ɑ r b ɛ b u l ɑ d
მოჭიმულად	m ɔ t ʃʼ ɪ m u l ɑ d
მოხელე	m ɔ x ɛ l ɛ
მოხერხებულად	m ɔ χ ɛ r χ ɛ b u l ɑ d
მოხერხებული	m ɔ x ɛ r x ɛ b u l i
მოხრილობა	m ɔ x r i l ɔ b ɑ
მოხსენება	m ɔ χ s ɛ n ɛ b ɑ
მოხუცებულობა	m ɔ x u t s ɛ b u l ɔ b ɑ
მოხუცი	m ɔ x u t s i
მჟავე	m ʒ ɑ v ɛ
მჟავედ	m ʒ ɑ v ɛ d
მჟავური	m ʒ ɑ v u r ɪ
მჟაუნა	m ʒ ɑ u n ɑ
მრავალგვარი	m r ɑ v ɑ l ɡ v ɑ r ɪ
მრავალი	m r ɑ v ɑ l i
მრავალმნიშვნელოვანი	m r ɑ v ɑ l m n ɪ ʃ v n ɛ l ɔ v ɑ n ɪ
მრავალმნიშვნელოვნად	m r ɑ v ɑ l m n ɪ ʃ v n ɛ l ɔ v n ɑ d
მრავალმხრივი	m r ɑ v ɑ l m χ r ɪ v ɪ
მრავალფეროვნად	m r ɑ v ɑ l pʰ ɛ r ɔ v n ɑ d
მრავალძარღვა	m r ɑ v ɑ l d z ɑ r ʁ v ɑ
მრავალხმიანი	m r ɑ v ɑ l χ m ɪ ɑ n ɪ
მრავალჯერადი	m r ɑ v ɑ l d ʒ ɛ r ɑ d ɪ
მრავლისმთქმელად	m r ɑ v l ɪ s m tʰ kʰ m ɛ l ɑ d
მრავლობითი	m r ɑ v l ɔ b i tʰ i
მრგვალი	m r ɡ v ɑ l i
მრგვლად	m r ɡ v l ɑ d
მრევლი	m r ɛ v l ɪ
მრეწველი	m r ɛ t sʼ v ɛ l i
მრეწველობა	m r ɛ t sʼ v ɛ l ɔ b ɑ
მრისხანე	m r ɪ s χ ɑ n ɛ
მრისხანედ	m r ɪ s χ ɑ n ɛ d
მრიცხველი	m r ɪ t s χ v ɛ l ɪ
მრუდე	m r u d ɛ
მრუდედ	m r u d ɛ d
მრუში	m r u ʃ i
მრუშობა	m r u ʃ ɔ b ɑ
მსახიობი	m s ɑ χ ɪ ɔ b ɪ
მსახური	m s ɑ x u r i
მსაჯი	m s ɑ d ʒ ɪ
მსგავსად	m s ɡ ɑ v s ɑ d
მსგავსება	m s ɡ ɑ v s ɛ b ɑ
მსგავსი	m s ɡ ɑ v s ɪ
მსოფლიო	m s ɔ pʰ l i ɔ
მსოფლიოდ	m s ɔ pʰ l ɪ ɔ d
მსოფლიოთი	m s ɔ pʰ l ɪ ɔ tʰ ɪ
მსოფლიომ	m s ɔ pʰ l ɪ ɔ m
მსოფლიოს	m s ɔ pʰ l ɪ ɔ s
მსროლელი	m s r ɔ l ɛ l ɪ
მსუბუქად	m s u b u kʰ ɑ d
მსუბუქი	m s u b u kʰ i
მსუქანი	m s u kʰ ɑ n i
მსუქნად	m s u kʰ n ɑ d
მსუყე	m s u qʼ ɛ
მსხალი	m s x ɑ l i
მსხვერპლი	m s χ v ɛ r pʼ l ɪ
მსხვილი	m s x v i l i
მსჯელობა	m s d ʒ ɛ l ɔ b ɑ
მტანჯველად	m tʼ ɑ n d ʒ v ɛ l ɑ d
მტაცებლური	m tʼ ɑ t s ɛ b l u r ɪ
მტევანი	m tʼ ɛ v ɑ n ɪ
მტერი	m tʼ ɛ r i
მტვერი	m tʼ v ɛ r i
მტვერსასრუტი	m tʼ v ɛ r s ɑ s r u tʼ i
მტვრიანა	m tʼ v r i ɑ n ɑ
მტვრიანი	m tʼ v r ɪ ɑ n ɪ
მტირალა	m tʼ ɪ r ɑ l ɑ
მტირალი	m tʼ ɪ r ɑ l ɪ
მტკაველი	m tʼ kʼ ɑ v ɛ l i
მტკვარი	m tʼ kʼ v ɑ r i
მტკივა	m tʼ kʼ ɪ v ɑ
მტკივნეულად	m tʼ kʼ i v n ɛ u l ɑ d
მტკივნეული	m tʼ kʼ i v n ɛ u l i
მტკივნეულობა	m tʼ kʼ i v n ɛ u l ɔ b ɑ
მტკიცე	m tʼ kʼ i t s ɛ
მტკიცებითი	m tʼ kʼ ɪ t s ɛ b ɪ tʰ ɪ
მტკიცებულება	m tʼ kʼ ɪ t s ɛ b u l ɛ b ɑ
მტკიცედ	m tʼ kʼ i t s ɛ d
მტრედი	m tʼ r ɛ d i
მტრობა	m tʼ r ɔ b ɑ
მტრულად	m tʼ r u l ɑ d
მტრული	m tʼ r u l i
მტყუანი	m tʼ qʼ u ɑ n ɪ
მუარი	m u ɑ r ɪ
მუგუზალი	m u ɡ u z ɑ l i
მუდამ	m u d ɑ m
მუდარა	m u d ɑ r ɑ
მუდმივა	m u d m ɪ v ɑ
მუდმივად	m u d m ɪ v ɑ d
მუდმივი	m u d m i v i
მუდმივობა	m u d m i v ɔ b ɑ
მუეძინი	m u ɛ d z ɪ n ɪ
მუზა	m u z ɑ
მუზეუმი	m u z ɛ u m ɪ
მუთაქა	m u tʰ ɑ kʰ ɑ
მუკერძოებლად	m u kʼ ɛ r d z ɔ ɛ b l ɑ d
მულატი	m u l ɑ tʼ ɪ
მული	m u l i
მუმია	m u m ɪ ɑ
მუმიფიკაცია	m u m ɪ pʰ ɪ kʼ ɑ t s ɪ ɑ
მუნდშტუკი	m u n d ʃ tʼ u kʼ ɪ
მუნიანი	m u n ɪ ɑ n ɪ
მუნიციპალიტეტად	m u n ɪ t s ɪ pʼ ɑ l ɪ tʼ ɛ tʼ ɑ d
მუნიციპალიტეტი	m u n ɪ t s ɪ pʼ ɑ l ɪ tʼ ɛ tʼ ɪ
მუნიციპალიტეტით	m u n ɪ t s ɪ pʼ ɑ l ɪ tʼ ɛ tʼ ɪ tʰ
მუნიციპალიტეტის	m u n ɪ t s ɪ pʼ ɑ l ɪ tʼ ɛ tʼ ɪ s
მუნიციპალიტეტმა	m u n ɪ t s ɪ pʼ ɑ l ɪ tʼ ɛ tʼ m ɑ
მუნიციპალიტეტს	m u n ɪ t s ɪ pʼ ɑ l ɪ tʼ ɛ tʼ s
მუნიციპალურად	m u n ɪ t s ɪ pʼ ɑ l u r ɑ d
მუნიციპალური	m u n ɪ t s ɪ pʼ ɑ l u r ɪ
მუნჯად	m u n d ʒ ɑ d
მუნჯი	m u n d ʒ i
მურაბა	m u r ɑ b ɑ
მური	m u r ɪ
მუსაიფი	m u s ɑ ɪ pʰ ɪ
მუსი	m u s ɪ
მუსიკა	m u s i kʼ ɑ
მუსიკად	m u s ɪ kʼ ɑ d
მუსიკალურად	m u s ɪ kʼ ɑ l u r ɑ d
მუსიკალური	m u s ɪ kʼ ɑ l u r ɪ
მუსიკამ	m u s ɪ kʼ ɑ m
მუსიკას	m u s ɪ kʼ ɑ s
მუსიკით	m u s ɪ kʼ ɪ tʰ
მუსიკის	m u s ɪ kʼ ɪ s
მუსიკოსი	m u s ɪ kʼ ɔ s ɪ
მუსკატი	m u s kʼ ɑ tʼ ɪ
მუსლიმი	m u s l ɪ m ɪ
მუსლინი	m u s l ɪ n ɪ
მუსონი	m u s ɔ n ɪ
მუსტანგი	m u s tʼ ɑ n ɡ ɪ
მუსულმანი	m u s u l m ɑ n i
მუტაცია	m u tʼ ɑ t s ɪ ɑ
მუფთა	m u pʰ tʰ ɑ
მუქარით	m u kʰ ɑ r ɪ tʰ
მუქი	m u kʰ i
მუღამი	m u ʁ ɑ m ɪ
მუყაითად	m u qʼ ɑ i tʰ ɑ d
მუყაითი	m u qʼ ɑ i tʰ i
მუყაითობა	m u qʼ ɑ i tʰ ɔ b ɑ
მუყაო	m u qʼ ɑ ɔ
მუშა	m u ʃ ɑ
მუშაკი	m u ʃ ɑ kʼ i
მუშამბა	m u ʃ ɑ m b ɑ
მუშაობა	m u ʃ ɑ ɔ b ɑ
მუშკეტერი	m u ʃ kʼ ɛ tʼ ɛ r ɪ
მუშკეტი	m u ʃ kʼ ɛ tʼ i
მუშკი	m u ʃ kʼ ɪ
მუშტარი	m u ʃ tʼ ɑ r i
მუშტი	m u ʃ tʼ i
მუცელი	m u t s ɛ l i
მუჭი	m u t ʃʼ i
მუხა	m u x ɑ
მუხანათურად	m u χ ɑ n ɑ tʰ u r ɑ d
მუხანათური	m u χ ɑ n ɑ tʰ u r ɪ
მუხლი	m u x l i
მუხლუხი	m u χ l u χ ɪ
მუხრუჭი	m u x r u t ʃʼ i
მუხუდო	m u x u d ɔ
მუჯლუგუნი	m u d ʒ l u ɡ u n ɪ
მუჰამედი	m u h ɑ m ɛ d ɪ
მუჰაჯირობა	m u h ɑ d ʒ i r ɔ b ɑ
მფარველობა	m pʰ ɑ r v ɛ l ɔ b ɑ
მფარველურად	m pʰ ɑ r v ɛ l u r ɑ d
მფლანგველობა	m pʰ l ɑ n ɡ v ɛ l ɔ b ɑ
მფლანგველურად	m pʰ l ɑ n ɡ v ɛ l u r ɑ d
მფლობელობა	m pʰ l ɔ b ɛ l ɔ b ɑ
მფრინველი	m pʰ r i n v ɛ l i
მქონდა	m kʰ ɔ n d ɑ
მქრქალად	m kʰ r kʰ ɑ l ɑ d
მქრქალი	m kʰ r kʰ ɑ l ɪ
მღვდელი	m ɣ v d ɛ l i
მღვდლობა	m ɣ v d l ɔ b ɑ
მღვიმე	m ʁ v ɪ m ɛ
მღვრიე	m ʁ v r ɪ ɛ
მყარად	m qʼ ɑ r ɑ d
მყარი	m qʼ ɑ r i
მყესი	m qʼ ɛ s ɪ
მყვირალა	m qʼ v i r ɑ l ɑ
მყინვარი	m qʼ ɪ n v ɑ r ɪ
მყისიერი	m qʼ ɪ s ɪ ɛ r ɪ
მყიფე	m qʼ ɪ pʰ ɛ
მყოფი	m qʼ ɔ pʰ ɪ
მყრალი	m qʼ r ɑ l i
მყუდრო	m qʼ u d r ɔ
მყუდროდ	m qʼ u d r ɔ d
მყუდროება	m qʼ u d r ɔ ɛ b ɑ
მშენებლობა	m ʃ ɛ n ɛ b l ɔ b ɑ
მშვენება	m ʃ v ɛ n ɛ b ɑ
მშვენიერი	m ʃ v ɛ n i ɛ r i
მშვენივრად	m ʃ v ɛ n ɪ v r ɑ d
მშვიდად	m ʃ v ɪ d ɑ d
მშვიდი	m ʃ v i d i
მშვიდობა	m ʃ v i d ɔ b ɑ
მშვიდობიანად	m ʃ v ɪ d ɔ b ɪ ɑ n ɑ d
მშვიდობიანი	m ʃ v ɪ d ɔ b ɪ ɑ n ɪ
მშვიდობით	m ʃ v i d ɔ b i tʰ
მშვილდი	m ʃ v i l d i
მშვილდოსნობა	m ʃ v ɪ l d ɔ s n ɔ b ɑ
მშიერი	m ʃ i ɛ r i
მშიშარა	m ʃ i ʃ ɑ r ɑ
მშობელი	m ʃ ɔ b ɛ l i
მშობიარე	m ʃ ɔ b ɪ ɑ r ɛ
მშობიარობა	m ʃ ɔ b ɪ ɑ r ɔ b ɑ
მშობლიური	m ʃ ɔ b l ɪ u r ɪ
მშრალად	m ʃ r ɑ l ɑ d
მშრალი	m ʃ r ɑ l i
მჩატე	m t ʃ ɑ tʼ ɛ
მჩქეფარე	m t ʃ kʰ ɛ pʰ ɑ r ɛ
მცდარად	m t s d ɑ r ɑ d
მცდარი	m t s d ɑ r i
მცდარობა	m t s d ɑ r ɔ b ɑ
მცდელობა	m t s d ɛ l ɔ b ɑ
მცენარე	m t s ɛ n ɑ r ɛ
მცენარეული	m t s ɛ n ɑ r ɛ u l i
მცენარეულობა	m t s ɛ n ɑ r ɛ u l ɔ b ɑ
მცველი	m t s v ɛ l ɪ
მცირე	m t s i r ɛ
მცოდნე	m t s ɔ d n ɛ
მცხეთა	m t s x ɛ tʰ ɑ
მცხუნვარე	m t s χ u n v ɑ r ɛ
მცხუნვარედ	m t s χ u n v ɑ r ɛ d
მძარცველურად	m d z ɑ r t s v ɛ l u r ɑ d
მძარცველური	m d z ɑ r t s v ɛ l u r ɪ
მძაფრი	m d z ɑ pʰ r i
მძევალი	m d z ɛ v ɑ l ɪ
მძვინვარებით	m d z v ɪ n v ɑ r ɛ b ɪ tʰ
მძვინვარედ	m d z v ɪ n v ɑ r ɛ d
მძივი	m d z ɪ v ɪ
მძივისებრი	m d z ɪ v ɪ s ɛ b r ɪ
მძიმე	m d z i m ɛ
მძინარა	m d z ɪ n ɑ r ɑ
მძინარე	m d z ɪ n ɑ r ɛ
მძინარედ	m d z ɪ n ɑ r ɛ d
მძულვარება	m d z u l v ɑ r ɛ b ɑ
მძღნერი	m d z ʁ n ɛ r ɪ
მძღოლი	m d z ʁ ɔ l ɪ
მწარე	m t sʼ ɑ r ɛ
მწარედ	m t sʼ ɑ r ɛ d
მწდე	m t sʼ d ɛ
მწებვარედ	m t sʼ ɛ b v ɑ r ɛ d
მწევარი	m t sʼ ɛ v ɑ r ɪ
მწერი	m t sʼ ɛ r i
მწვადი	m t sʼ v ɑ d i
მწვავე	m t sʼ v ɑ v ɛ
მწვავედ	m t sʼ v ɑ v ɛ d
მწვანე	m t sʼ v ɑ n ɛ
მწვანილი	m t sʼ v ɑ n ɪ l ɪ
მწვერვალი	m t sʼ v ɛ r v ɑ l ɪ
მწვრთნელი	m t sʼ v r tʰ n ɛ l i
მწიკვი	m t sʼ ɪ kʼ v ɪ
მწირად	m t sʼ ɪ r ɑ d
მწირი	m t sʼ i r i
მწიფე	m t sʼ ɪ pʰ ɛ
მწიფედ	m t sʼ ɪ pʰ ɛ d
მწკრივად	m t sʼ kʼ r ɪ v ɑ d
მწკრივი	m t sʼ kʼ r ɪ v ɪ
მწკრივში	m t sʼ kʼ r ɪ v ʃ ɪ
მწნილი	m t sʼ n ɪ l ɪ
მწუხარედ	m t sʼ u χ ɑ r ɛ d
მწუხრი	m t sʼ u x r i
მწყემსი	m t sʼ qʼ ɛ m s ɪ
მწყერი	m t sʼ qʼ ɛ r ɪ
მწყერჩიტა	m t sʼ qʼ ɛ r t ʃ ɪ tʼ ɑ
მჭადი	m t ʃʼ ɑ d i
მჭამელი	m t ʃʼ ɑ m ɛ l ɪ
მჭედელი	m t ʃʼ ɛ d ɛ l i
მჭედლიშვილი	m t ʃʼ ɛ d l i ʃ v i l i
მჭევრმეტყველურად	m t ʃʼ ɛ v r m ɛ tʼ qʼ v ɛ l u r ɑ d
მჭიდრო	m t ʃʼ i d r ɔ
მჭიდროდ	m t ʃʼ ɪ d r ɔ d
მჭირდება	m t ʃʼ ɪ r d ɛ b ɑ
მჭლე	m t ʃʼ l ɛ
მჭლედ	m t ʃʼ l ɛ d
მხარბეჭიანი	m χ ɑ r b ɛ t ʃʼ ɪ ɑ n ɪ
მხარდაჭერა	m χ ɑ r d ɑ t ʃʼ ɛ r ɑ
მხარე	m x ɑ r ɛ
მხარედ	m χ ɑ r ɛ d
მხარემ	m χ ɑ r ɛ m
მხარეს	m χ ɑ r ɛ s
მხარი	m x ɑ r i
მხარით	m χ ɑ r ɪ tʰ
მხარის	m χ ɑ r ɪ s
მხატვარი	m χ ɑ tʼ v ɑ r ɪ
მხატვრული	m x ɑ tʼ v r u l i
მხდალი	m x d ɑ l i
მხები	m χ ɛ b ɪ
მხედარი	m x ɛ d ɑ r i
მხედველობა	m χ ɛ d v ɛ l ɔ b ɑ
მხეცი	m x ɛ t s i
მხეცობა	m x ɛ t s ɔ b ɑ
მხეცურად	m χ ɛ t s u r ɑ d
მხეცური	m χ ɛ t s u r ɪ
მხიარულად	m χ ɪ ɑ r u l ɑ d
მხიარული	m x i ɑ r u l i
მხიე	m χ ɪ ɛ
მხნედ	m χ n ɛ d
მხოლობითად	m χ ɔ l ɔ b ɪ tʰ ɑ d
მხოლობითი	m x ɔ l ɔ b i tʰ i
მხოლოდ	m x ɔ l ɔ d
მხოლოდდამხოლოდ	m χ ɔ l ɔ d d ɑ m χ ɔ l ɔ d
მხოლოდშობილი	m x ɔ l ɔ d ʃ ɔ b i l i
მხოლოობითი	m x ɔ l ɔ ɔ b i tʰ i
მხურვალედ	m χ u r v ɑ l ɛ d
მხცოვანი	m χ t s ɔ v ɑ n ɪ
მჯდომარე	m d ʒ d ɔ m ɑ r ɛ
ნაადრევად	n ɑ ɑ d r ɛ v ɑ d
ნაადრევი	n ɑ ɑ d r ɛ v i
ნაბათი	n ɑ b ɑ tʰ ɪ
ნაბიჭვარი	n ɑ b ɪ t ʃʼ v ɑ r ɪ
ნაბიჯი	n ɑ b i d ʒ i
ნაბოზარა	n ɑ b ɔ z ɑ r a
ნაბოზარი	n ɑ b ɔ z ɑ r ɪ
ნაგავი	n ɑ ɡ ɑ v ɪ
ნაგაზი	n ɑ ɡ ɑ z i
ნაგებობა	n ɑ ɡ ɛ b ɔ b ɑ
ნაგერალი	n ɑ ɡ ɛ r ɑ l ɪ
ნაგულისხმევი	n ɑ ɡ u l i s x m ɛ v i
ნადავლი	n ɑ d ɑ v l ɪ
ნადიმი	n ɑ d ɪ m ɪ
ნადირი	n ɑ d i r i
ნადირობა	n ɑ d i r ɔ b ɑ
ნაერთი	n ɑ ɛ r tʰ ɪ
ნავარდი	n ɑ v ɑ r d i
ნავთობი	n ɑ v tʰ ɔ b ɪ
ნავთობიანი	n ɑ v tʰ ɔ b ɪ ɑ n ɪ
ნავი	n ɑ v ɪ
ნავიგაცია	n ɑ v ɪ ɡ ɑ t s ɪ ɑ
ნავსადგურად	n ɑ v s ɑ d ɡ u r ɑ d
ნავსადგური	n ɑ v s ɑ d ɡ u r ɪ
ნავსადგურით	n ɑ v s ɑ d ɡ u r ɪ tʰ
ნავსადგურის	n ɑ v s ɑ d ɡ u r ɪ s
ნავსადგურმა	n ɑ v s ɑ d ɡ u r m ɑ
ნავსადგურს	n ɑ v s ɑ d ɡ u r s
ნავსაყუდელი	n ɑ v s ɑ qʼ u d ɛ l ɪ
ნაზად	n ɑ z ɑ d
ნათარგმნი	n ɑ tʰ ɑ r ɡ m n ɪ
ნათელა	n ɑ tʰ ɛ l ɑ
ნათელი	n ɑ tʰ ɛ l i
ნათესავი	n ɑ tʰ ɛ s ɑ v ɪ
ნათესაობა	n ɑ tʰ ɛ s ɑ ɔ b ɑ
ნათესაობითი	n ɑ tʰ ɛ s ɑ ɔ b i tʰ i
ნათია	n ɑ tʰ i ɑ
ნათლად	n ɑ tʰ l ɑ d
ნათლია	n ɑ tʰ l i ɑ
ნათლიდედა	n ɑ tʰ l i d ɛ d ɑ
ნათლიმამა	n ɑ tʰ l i m ɑ m ɑ
ნათლისღება	n ɑ tʰ l i s ɣ ɛ b ɑ
ნათლობა	n ɑ tʰ l ɔ b ɑ
ნათლული	n ɑ tʰ l u l ɪ
ნათურა	n ɑ tʰ u r ɑ
ნაიარევი	n ɑ i ɑ r ɛ v i
ნაირა	n ɑ ɪ r ɑ
ნაირგვაროვნად	n ɑ ɪ r ɡ v ɑ r ɔ v n ɑ d
ნაირობი	n ɑ ɪ r ɔ b ɪ
ნაირსახეობა	n ɑ ɪ r s ɑ χ ɛ ɔ b ɑ
ნაკადი	n ɑ kʼ ɑ d i
ნაკადული	n ɑ kʼ ɑ d u l i
ნაკელი	n ɑ kʼ ɛ l ɪ
ნაკერი	n ɑ kʼ ɛ r i
ნაკვალევი	n ɑ kʼ v ɑ l ɛ v ɪ
ნაკვერცხალი	n ɑ kʼ v ɛ r t s x ɑ l i
ნაკვთი	n ɑ kʼ v tʰ i
ნაკლებად	n ɑ kʼ l ɛ b ɑ d
ნაკლები	n ɑ kʼ l ɛ b i
ნაკლებმოსალოდნელად	n ɑ kʼ l ɛ b m ɔ s ɑ l ɔ d n ɛ l ɑ d
ნაკლებობა	n ɑ kʼ l ɛ b ɔ b ɑ
ნაკლი	n ɑ kʼ l i
ნაკლიანი	n ɑ kʼ l ɪ ɑ n ɪ
ნაკრები	n ɑ kʼ r ɛ b ɪ
ნაკუწი	n ɑ kʼ u t sʼ ɪ
ნალბანდი	n ɑ l b ɑ n d ɪ
ნალი	n ɑ l ɪ
ნამგალი	n ɑ m ɡ ɑ l i
ნამდვილად	n ɑ m d v i l ɑ d
ნამდვილი	n ɑ m d v i l i
ნამდვილობა	n ɑ m d v i l ɔ b ɑ
ნამეტანი	n ɑ m ɛ tʼ ɑ n ɪ
ნამზეური	n ɑ m z ɛ u r ɪ
ნამიბია	n ɑ m i b i ɑ
ნამიოკობანა	n ɑ m i ɔ kʼ ɔ b ɑ n ɑ
ნამორაძე	n ɑ m ɔ r ɑ d z ɛ
ნამქერი	n ɑ m kʰ ɛ r ɪ
ნამცეცა	n ɑ m t s ɛ t s ɑ
ნამცეცი	n ɑ m t s ɛ t s ɪ
ნამცხვარი	n ɑ m t s χ v ɑ r ɪ
ნამძინარევად	n ɑ m d z ɪ n ɑ r ɛ v ɑ d
ნამჯა	n ɑ m d ʒ ɑ
ნანახი	n ɑ n ɑ χ ɪ
ნანგრევი	n ɑ n ɡ r ɛ v ɪ
ნანსუკი	n ɑ n s u kʼ ɪ
ნაოსნობა	n ɑ ɔ s n ɔ b ɑ
ნაოჭებიანი	n ɑ ɔ t ʃʼ ɛ b ɪ ɑ n ɪ
ნაოჭი	n ɑ ɔ t ʃʼ ɪ
ნაპალმი	n ɑ pʼ ɑ l m ɪ
ნაპერწკალი	n ɑ pʼ ɛ r t sʼ kʼ ɑ l ɪ
ნაპირზე	n ɑ pʼ ɪ r z ɛ
ნაპირთან	n ɑ pʼ ɪ r tʰ ɑ n
ნაპირი	n ɑ pʼ i r i
ნაპირისაკენ	n ɑ pʼ ɪ r ɪ s ɑ kʼ ɛ n
ნაპირისკენ	n ɑ pʼ ɪ r ɪ s kʼ ɛ n
ნაპრალი	n ɑ pʼ r ɑ l ɪ
ნარგიზი	n ɑ r ɡ i z i
ნარდი	n ɑ r d i
ნარვალი	n ɑ r v ɑ l ɪ
ნართანიანი	n ɑ r tʰ ɑ n i ɑ n i
ნართი	n ɑ r tʰ ɪ
ნარინჯისფერი	n ɑ r i n d ʒ i s pʰ ɛ r i
ნარიყალა	n ɑ r i qʼ ɑ l ɑ
ნარკომანი	n ɑ r kʼ ɔ m ɑ n ɪ
ნარკოტიკი	n ɑ r kʼ ɔ tʼ i kʼ i
ნარკოტიკული	n ɑ r kʼ ɔ tʼ ɪ kʼ u l ɪ
ნარშავი	n ɑ r ʃ ɑ v ɪ
ნარჩენი	n ɑ r t ʃ ɛ n ɪ
ნასვამი	n ɑ s v ɑ m i
ნასკვი	n ɑ s kʼ v ɪ
ნასკვიანი	n ɑ s kʼ v ɪ ɑ n ɪ
ნასკი	n ɑ s kʼ ɪ
ნატეხი	n ɑ tʼ ɛ x i
ნატი	n ɑ tʼ ɪ
ნატიურმორტი	n ɑ tʼ ɪ u r m ɔ r tʼ ɪ
ნატრიუმი	n ɑ tʼ r i u m i
ნატურალიზმი	n ɑ tʼ u r ɑ l ɪ z m ɪ
ნატურალისტი	n ɑ tʼ u r ɑ l ɪ s tʼ ɪ
ნაურუ	n ɑ u r u
ნაფეხური	n ɑ pʰ ɛ x u r i
ნაფოტი	n ɑ pʰ ɔ tʼ ɪ
ნაქარგი	n ɑ kʰ ɑ r ɡ ɪ
ნაღდად	n ɑ ʁ d ɑ d
