NG	e̞ n d͡ʑ i
열없다	j ɘː ɾ ʌ̹ p̚ t͈ a̠
열없쟁이	j ɘː ɾ ʌ̹ p̚ t͡ɕ͈ e̞ ŋ i
열여덟	j ʌ̹ ɭ ʎ j ʌ̹ d ʌ̹ ɭ
열여덟째	j ʌ̹ ɭ ʎ j ʌ̹ d ʌ̹ ɭ t͡ɕ͈ e̞
열여섯	j ʌ̹ ɭ ʎ j ʌ̹ sʰ ʌ̹ t̚
열역학	j ʌ̹ ɭ ʎ j ʌ̹ kʰ a̠ k̚
열일곱	j ʌ̹ ɭ ʎ i ɭ ɡ o̞ p̚
열정	j ʌ̹ ɭ d͡ʑ ʌ̹ ŋ
열차	j ʌ̹ ɭ t͡ɕʰ a̠
열하나	j ʌ̹ ɾ ɦ a̠ n a̠
열한째	j ʌ̹ ɾ ɦ a̠ n t͡ɕ͈ e̞
열화학	j ɘː ɾ β w a̠ ɦ a̠ k̚
열흘	j ʌ̹ ɾ ɣ ɯ ɭ
엷다	j ɘː ɭ t͈ a̠
염	j ʌ̹ m
염기	j ʌ̹ m ɡ i
염려하다	j ɘː m ɲ j ʌ̹ ɦ a̠ d a̠
염병	j ɘː m b j ʌ̹ ŋ
염복	j ɘː m b o̞ k̚
염색체	j ɘː m sʰ e̞ k̚ t͡ɕʰ e̞
염세주의	j ɘː m sʰ e̞ d͡ʑ u ɰ i
염소	j ʌ̹ m sʰ o̞
염주	j ɘː m d͡ʑ u
염증	j ʌ̹ m d͡ʑ ɯ ŋ
염통	j ʌ̹ m tʰ o̞ ŋ
엽궐련	j ʌ̹ p̚ k͈ w ʌ̹ ɭ ʎ j ʌ̹ n
엽록소	j ʌ̹ m n o̞ k s͈ o̞
엽록체	j ʌ̹ m n o̞ k̚ t͡ɕʰ e̞
엽서	j ʌ̹ p s͈ ʌ̹
엿	j ɘː t̚
엿	j ʌ̹ t̚
엿기름	j ʌ̹ t̚ k͈ i ɾ ɯ m
엿듣다	j ɘː t̚ t͈ ɯ t̚ t͈ a̠
엿보다	j ɘː t̚ p͈ o̞ d a̠
엿새	j ʌ̹ t̚ s͈ e̞
영	j ʌ̹ ŋ
영광	j ʌ̹ ŋ ɡ w a̠ ŋ
영구	j ɘː ŋ ɡ u
영국	j ʌ̹ ŋ ɡ u k̚
영국인	j ʌ̹ ŋ ɡ u ɡ i n
영도자	j ʌ̹ ŋ d o̞ d͡ʑ a̠
영리하다	j ɘː ŋ n i ɦ a̠ d a̠
영묘	j ʌ̹ ŋ m j o
영사	j ʌ̹ ŋ sʰ a̠
영사관	j ʌ̹ ŋ sʰ a̠ ɡ w a̠ n
영상	j ʌ̹ ŋ sʰ a̠ ŋ
영성	j ʌ̹ ŋ sʰ ʌ̹ ŋ
영성체	j ɘː ŋ sʰ ʌ̹ ŋ t͡ɕʰ e̞
영수증	j ʌ̹ ŋ sʰ u d͡ʑ ɯ ŋ
영양	j ʌ̹ ŋ j a̠ ŋ
영양물	j ʌ̹ ŋ j a̠ ŋ m u ɭ
영양제	j ʌ̹ ŋ j a̠ ŋ d͡ʑ e̞
영양탕	j ʌ̹ ŋ j a̠ ŋ tʰ a̠ ŋ
영어	j ʌ̹ ŋ ʌ̹
영업	j ʌ̹ ŋ ʌ̹ p̚
영역	j ʌ̹ ŋ j ʌ̹ k̚
영웅	j ʌ̹ ŋ u ŋ
영원	j ɘː ŋ w ʌ̹ n
영원하다	j ɘː ŋ w ʌ̹ n ɦ a̠ d a̠
영원히	j ɘː ŋ w ʌ̹ n ʝ i
영자팔법	j ʌ̹ ŋ d͡ʑ a̠ pʰ a̠ ɭ b ʌ̹ p̚
영적	j ʌ̹ ŋ t͡ɕ͈ ʌ̹ k̚
영지	j ʌ̹ ŋ d͡ʑ i
영춘권	j ɘː ŋ t͡ɕʰ u n ɡ w ʌ̹ n
영토	j ʌ̹ ŋ tʰ o̞
영하	j ʌ̹ ŋ ɦ a̠
영향	j ɘː ŋ ʝ j a̠ ŋ
영향력	j ɘː ŋ ʝ j a̠ ŋ ɲ j ʌ̹ k̚
영혼	j ʌ̹ ŋ β o̞ n
영화	j ʌ̹ ŋ β w a̠
영화관	j ʌ̹ ŋ β w a̠ ɡ w a̠ n
옅다	j ʌ̹ t̚ t͈ a̠
옆	j ʌ̹ p̚
옆얼굴	j ʌ̹ b ʌ̹ ɭ ɡ u ɭ
옆집	j ʌ̹ p̚ t͡ɕ͈ i p̚
예	j e̞
예	j e̞ː
예능	j e̞ː n ɯ ŋ
예니레	j e̞ n i ɾ e̞
예닐곱	j e̞ n i ɭ ɡ o̞ p̚
예레반	j e̞ ɾ e̞ b a̠ n
예루살렘	j e̞ ɾ u sʰ a̠ ɭ ɭ e̞ m
예멘	j e̞ m e̞ n
예문	j e̞ː m u n
예물	j e̞ m u ɭ
예방	j e̞ː b a̠ ŋ
예배	j e̞ b e̞
예배당	j e̞ b e̞ d a̠ ŋ
예쁘다	j e̞ː p͈ ɯ d a̠
예산	j e̞ː sʰ a̠ n
예상	j e̞ː sʰ a̠ ŋ
예상되다	j e̞ː sʰ a̠ ŋ d w e̞ d a̠
예상하다	j e̞ː sʰ a̠ ŋ ɦ a̠ d a̠
예수	j e̞ sʰ u
예수회	j e̞ sʰ u β w e̞
예순	j e̞ sʰ u n
예순째	j e̞ sʰ u n t͡ɕ͈ e̞
예술	j e̞ː sʰ u ɭ
예술가	j e̞ː sʰ u ɭ ɡ a̠
예식	j e̞ ɕʰ i k̚
예약	j e̞ː j a̠ k̚
예약하다	j e̞ː j a̠ kʰ a̠ d a̠
예언	j e̞ː ʌ̹ n
예언자	j e̞ː ʌ̹ n d͡ʑ a̠
예외	j e̞ː w e̞
예의	j e̞ ɰ i
예전	j e̞ː d͡ʑ ʌ̹ n
예절	j e̞ d͡ʑ ʌ̹ ɭ
예정	j e̞ː d͡ʑ ʌ̹ ŋ
예취기	j e̞ t͡ɕʰ ɥ i ɡ i
예카테린부르크	j e̞ kʰ a̠ tʰ e̞ ɾ i n b u ɾ ɯ k x ɯ
예컨대	j e̞ː kʰ ʌ̹ n d e̞
예후	j e̞ː β u
옛	j e̞ː t̚
옛날	j e̞ː n n a̠ ɭ
옛날이야기	j e̞ː n n a̠ ɭ ʎ i j a̠ ɡ i
옛말	j e̞ː n m a̠ ɭ
옛한글	j e̞ː tʰ a̠ n ɡ ɯ ɭ
오	o̞ː
오가네손	o̞ ɡ a̠ n e̞ sʰ o̞ n
오가다	o̞ ɡ a̠ d a̠
오각형	o̞ː ɡ a̠ k ç j ʌ̹ ŋ
오금	o̞ ɡ ɯ m
오늄	o̞ ɲ j u m
오늘	o̞ n ɯ ɭ
오늘날	o̞ n ɯ ɭ ɭ a̠ ɭ
오늬	o̞ n i
오다	o̞ d a̠
오덕후	o̞ d ʌ̹ kʰ u
오데사	o̞ d e̞ sʰ a̠
오뎅	o̞ d e̞ ŋ
오드콜로뉴	o̞ d ɯ kʰ o̞ ɭ ɭ o̞ ɲ j u
오드투왈렛	o̞ d ɯ tʰ u w a̠ ɭ ɭ e̞ t̚
오등	o̞ː d ɯ ŋ
오디	o̞ d i
오딘	o̞ d i n
오라버니	o̞ ɾ a̠ b ʌ̹ n i
오라버님	o̞ ɾ a̠ b ʌ̹ n i m
오락	o̞ː ɾ a̠ k̚
오랑우탄	o̞ ɾ a̠ ŋ u tʰ a̠ n
오랑캐	o̞ ɾ a̠ ŋ kʰ e̞
오래	o̞ ɾ e̞
오래간만	o̞ ɾ e̞ ɡ a̠ n m a̠ n
오래다	o̞ ɾ e̞ d a̠
오래되다	o̞ ɾ e̞ d w e̞ d a̠
오래전	o̞ ɾ e̞ d͡ʑ ʌ̹ n
오랜	o̞ ɾ e̞ n
오랜만	o̞ ɾ e̞ n m a̠ n
오랫동안	o̞ ɾ e̞ t̚ t͈ o̞ ŋ a̠ n
오렌지	o̞ ɾ e̞ n d͡ʑ i
오렌지색	o̞ ɾ e̞ n d͡ʑ i sʰ e̞ k̚
오렌지윗수염박쥐	o̞ ɾ e̞ n d͡ʑ i ɥ i t̚ s͈ u j ʌ̹ m b a̠ k̚ t͡ɕ͈ ɥ i
오롯하다	o̞ ɾ o̞ tʰ a̠ d a̠
오룔	o̞ ɾ j o ɭ
오류	o̞ː ɾ j u
오르가슴	o̞ ɾ ɯ ɡ a̠ sʰ ɯ m
오르간	o̞ ɾ ɯ ɡ a̠ n
오르내리다	o̞ ɾ ɯ n e̞ ɾ i d a̠
오르다	o̞ ɾ ɯ d a̠
오르되브르	o̞ ɾ ɯ d w e̞ b ɯ ɾ ɯ
오른	o̞ ɾ ɯ n
오른손잡이	o̞ ɾ ɯ n sʰ o̞ n d͡ʑ a̠ b i
오른쪽	o̞ ɾ ɯ n t͡ɕ͈ o̞ k̚
오리	o̞ː ɾ i
오리나무	o̞ ɾ i n a̠ m u
오리너구리	o̞ː ɾ i n ʌ̹ ɡ u ɾ i
오만	o̞ m a̠ n
오만	o̞ː m a̠ n
오문	o̞ m u n
오물	o̞ː m u ɭ
오믈렛	o̞ m ɯ ɭ ɭ e̞ t̚
오미자	o̞ː m i d͡ʑ a̠
오바마	o̞ b a̠ m a̠
오버클럭	o̞ b ʌ̹ k x ɯ ɭ ɭ ʌ̹ k̚
오븐	o̞ b ɯ n
오블라스티	o̞ b ɯ ɭ ɭ a̠ sʰ ɯ tʰ i
오빠	o̞ p͈ a̠
오사존	o̞ sʰ a̠ d͡ʑ o̞ n
오사카	o̞ sʰ a̠ kʰ a̠
오세아니아	o̞ sʰ e̞ a̠ n i a̠
오소리	o̞ sʰ o̞ ɾ i
오스뮴	o̞ sʰ ɯ m j u m
오스트레일리아	o̞ sʰ ɯ tʰ ɯ ɾ e̞ i ɭ ʎ i a̠
오스트리아	o̞ sʰ ɯ tʰ ɯ ɾ i a̠
오슬로	o̞ sʰ ɯ ɭ ɭ o̞
오십	o̞ː ɕʰ i p̚
오염	o̞ː j ʌ̹ m
오염되다	o̞ː j ʌ̹ m d w e̞ d a̠
오온	o̞ o̞ n
오옴	o̞ o̞ m
오월	o̞ː w ʌ̹ ɭ
오이	o̞ i
오적어	o̞ d͡ʑ ʌ̹ ɡ ʌ̹
오전	o̞ː d͡ʑ ʌ̹ n
오존	o̞ d͡ʑ o̞ n
오줌	o̞ d͡ʑ u m
오직	o̞ d͡ʑ i k̚
오징어	o̞ d͡ʑ i ŋ ʌ̹
오케스트라	o̞ kʰ e̞ sʰ ɯ tʰ ɯ ɾ a̠
오케이	o̞ kʰ e̞ i
오크로시카	o̞ k x ɯ ɾ o̞ ɕʰ i kʰ a̠
오키나와어	o̞ k ç i n a̠ w a̠ ʌ̹
오타와	o̞ tʰ a̠ w a̠
오타쿠	o̞ tʰ a̠ kʰ u
오토메이션	o̞ tʰ o̞ m e̞ i ɕʰ j ʌ̹ n
오토바이	o̞ tʰ o̞ b a̠ i
오트밀	o̞ tʰ ɯ m i ɭ
오페라	o̞ pʰ e̞ ɾ a̠
오페레타	o̞ pʰ e̞ ɾ e̞ tʰ a̠
오피스텔	o̞ pʰ i sʰ ɯ tʰ e̞ ɭ
오하이오	o̞ ɦ a̠ i o̞
오해	o̞ː ɦ e̞
오해하다	o̞ː ɦ e̞ ɦ a̠ d a̠
오환	o̞ β w a̠ n
오후	o̞ː β u
오히려	o̞ ʝ i ɾ j ʌ̹
옥	o̞ k̚
옥고	o̞ k̚ k͈ o̞
옥내	o̞ ŋ n e̞
옥문	o̞ ŋ m u n
옥사졸	o̞ k s͈ a̠ d͡ʑ o̞ ɭ
옥상	o̞ k s͈ a̠ ŋ
옥새	o̞ k s͈ e̞
옥색	o̞ k s͈ e̞ k̚
옥석	o̞ k s͈ ʌ̹ k̚
옥수수	o̞ k s͈ u sʰ u
옥시토신	o̞ k ɕ͈ i tʰ o̞ ɕʰ i n
옥심	o̞ k ɕ͈ i m
옥잠화	o̞ k̚ t͡ɕ͈ a̠ m β w a̠
옥좌	o̞ k̚ t͡ɕ͈ w a̠
옥중	o̞ k̚ t͡ɕ͈ u ŋ
옥탑	o̞ k̚ tʰ a̠ p̚
옥토	o̞ k̚ tʰ o̞
온	o̞ n
온	o̞ː n
온갖	o̞ n ɡ a̠ t̚
온도	o̞ n d o̞
온도계	o̞ n d o̞ ɡ j e̞
온돌	o̞ n d o̞ ɭ
온두라스	o̞ n d u ɾ a̠ sʰ ɯ
온라인	o̞ n n a̠ i n
온몸	o̞ː n m o̞ m
온수	o̞ n sʰ u
온실	o̞ n ɕʰ i ɭ
온전하다	o̞ː n d͡ʑ ʌ̹ n ɦ a̠ d a̠
온종일	o̞ː n d͡ʑ o̞ ŋ i ɭ
온천	o̞ n t͡ɕʰ ʌ̹ n
온통	o̞ː n tʰ o̞ ŋ
올	o̞ ɭ
올겨울	o̞ ɭ k͈ j ʌ̹ u ɭ
올라가다	o̞ ɭ ɭ a̠ ɡ a̠ d a̠
올라오다	o̞ ɭ ɭ a̠ o̞ d a̠
올려놓다	o̞ ɭ ʎ j ʌ̹ n o̞ tʰ a̠
올리고	o̞ ɭ ʎ i ɡ o̞
올리다	o̞ ɭ ʎ i d a̠
올리브	o̞ ɭ ʎ i b ɯ
올림말	o̞ ɭ ʎ i m m a̠ ɭ
올림픽	o̞ ɭ ʎ i m pʰ i k̚
올바르다	o̞ ɭ b a̠ ɾ ɯ d a̠
올빼미	o̞ ɭ p͈ e̞ m i
올여름	o̞ ɭ ʎ j ʌ̹ ɾ ɯ m
올챙이	o̞ ɭ t͡ɕʰ e̞ ŋ i
올해	o̞ ɾ ɦ e̞
옮기다	o̞ m ɡ i d a̠
옮다	o̞ː m t͈ a̠
옮아가다	o̞ ɭ m a̠ ɡ a̠ d a̠
옮아오다	o̞ ɭ m a̠ o̞ d a̠
옳다	o̞ ɭ tʰ a̠
옳아	o̞ ɾ a̠
옴개구리	o̞ m ɡ e̞ ɡ u ɾ i
옴스크	o̞ m sʰ ɯ k x ɯ
옴쌀	o̞ m s͈ a̠ ɭ
옴즈기다	o̞ m d͡ʑ ɯ ɡ i d a̠
옷	o̞ t̚
옷감	o̞ t̚ k͈ a̠ m
옷걸이	o̞ t̚ k͈ ʌ̹ ɾ i
옷장	o̞ t̚ t͡ɕ͈ a̠ ŋ
옹	o̞ ŋ
와	w a̠
와가두구	w a̠ ɡ a̠ d u ɡ u
와봐	w a̠ː b w a̠
와사비	w a̠ sʰ a̠ b i
와셔	w a̠ ɕʰ j ʌ̹
와이셔츠	w a̠ i ɕʰ j ʌ̹ t͡ɕʰ ɯ
와이파이	w a̠ i pʰ a̠ i
와이프	w a̠ i pʰ ɯ
와인	w a̠ i n
와트	w a̠ tʰ ɯ
왁자그르르	w a̠ k̚ t͡ɕ͈ a̠ ɡ ɯ ɾ ɯ ɾ ɯ
왁자지껄하다	w a̠ k̚ t͡ɕ͈ a̠ d͡ʑ i k͈ ʌ̹ ɾ ɦ a̠ d a̠
왁찐	w a̠ k̚ t͡ɕ͈ i n
완곡어법	w a̠ː n ɡ o̞ ɡ ʌ̹ b ʌ̹ p̚
완곡하다	w a̠ː n ɡ o̞ kʰ a̠ d a̠
완곡한	w a̠ː n ɡ o̞ kʰ a̠ n
완두	w a̠ n d u
완료	w a̠ ɭ ʎ j o
완벽	w a̠ n b j ʌ̹ k̚
완벽하다	w a̠ n b j ʌ̹ kʰ a̠ d a̠
완성	w a̠ n sʰ ʌ̹ ŋ
완성하다	w a̠ n sʰ ʌ̹ ŋ ɦ a̠ d a̠
완전	w a̠ n d͡ʑ ʌ̹ n
완전하다	w a̠ n d͡ʑ ʌ̹ n ɦ a̠ d a̠
완전히	w a̠ n d͡ʑ ʌ̹ n ʝ i
왈	w a̠ ɭ
왈츠	w a̠ ɭ t͡ɕʰ ɯ
왕	w a̠ ŋ
왕가	w a̠ ŋ ɡ a̠
왕관	w a̠ ŋ ɡ w a̠ n
왕국	w a̠ ŋ ɡ u k̚
왕도마뱀	w a̠ ŋ d o̞ m a̠ b e̞ m
왕복	w a̠ ŋ b o̞ k̚
왕새매	w a̠ ŋ sʰ e̞ m e̞
왕수	w a̠ ŋ sʰ u
왕실	w a̠ ŋ ɕʰ i ɭ
왕자	w a̠ː ŋ d͡ʑ a̠
왕조	w a̠ ŋ d͡ʑ o̞
왕종개	w a̠ ŋ d͡ʑ o̞ ŋ ɡ e̞
왕태자	w a̠ ŋ tʰ e̞ d͡ʑ a̠
왕후	w a̠ ŋ β u
왜	w e̞ː
왜가리	w e̞ ɡ a̠ ɾ i
왜가리	w e̞ː ɡ a̠ ɾ i
왜구	w e̞ ɡ u
왜꾹저구	w e̞ k͈ u k̚ t͡ɕ͈ ʌ̹ ɡ u
왜냐하면	w e̞ ɲ j a̠ ɦ a̠ m j ʌ̹ n
왜년	w e̞ ɲ j ʌ̹ n
왜놈	w e̞ n o̞ m
왜매치	w e̞ m e̞ t͡ɕʰ i
왜몰개	w e̞ m o̞ ɭ ɡ e̞
왜인	w e̞ i n
왜케	w e̞ kʰ e̞
왜풀망둑	w e̞ pʰ u ɭ m a̠ ŋ d u k̚
왠지	w e̞ n d͡ʑ i
외	w e̞
외계어	w e̞ː ɡ j e̞ ʌ̹
외과	w e̞ː k͈ w a̠
외교	w e̞ː ɡ j o
외교관	w e̞ː ɡ j o ɡ w a̠ n
외국	w e̞ː ɡ u k̚
외국어	w e̞ː ɡ u ɡ ʌ̹
외국인	w e̞ː ɡ u ɡ i n
외동딸	w e̞ d o̞ ŋ t͈ a̠ ɭ
외딸	w e̞ t͈ a̠ ɭ
외래어	w e̞ː ɾ e̞ ʌ̹
외로	w e̞ ɾ o̞
외롭다	w e̞ ɾ o̞ p̚ t͈ a̠
외면	w e̞ː m j ʌ̹ n
외면하다	w e̞ː m j ʌ̹ n ɦ a̠ d a̠
외모	w e̞ m o̞
외몽고	w e̞ m o̞ ŋ ɡ o̞
외부	w e̞ː b u
외삼촌	w e̞ː sʰ a̠ m t͡ɕʰ o̞ n
외손녀	w e̞ː sʰ o̞ n ɲ j ʌ̹
외손자	w e̞ː sʰ o̞ n d͡ʑ a̠
외숙모	w e̞ sʰ u ŋ m o̞
외심	w e̞ː ɕʰ i m
외아들	w e̞ a̠ d ɯ ɭ
외우다	w e̞ u d a̠
외인	w e̞ː i n
외접원	w e̞ː d͡ʑ ʌ̹ b w ʌ̹ n
외출하다	w e̞ː t͡ɕʰ u ɾ ɦ a̠ d a̠
외치다	w e̞ t͡ɕʰ i d a̠
외투	w e̞ː tʰ u
외할머니	w e̞ ɦ a̠ ɭ m ʌ̹ n i
외할아버지	w e̞ ɦ a̠ ɾ a̠ b ʌ̹ d͡ʑ i
외화	w e̞ː β w a̠
외환	w e̞ː β w a̠ n
왼손잡이	w e̞ː n sʰ o̞ n d͡ʑ a̠ b i
왼쪽	w e̞ː n t͡ɕ͈ o̞ k̚
요가	j o ɡ a̠
요괴	j o ɡ w e̞
요구	j o ɡ u
요구되다	j o ɡ u d w e̞ d a̠
요구르트	j o ɡ u ɾ ɯ tʰ ɯ
요구하다	j o ɡ u ɦ a̠ d a̠
요금	j oː ɡ ɯ m
요녕	j o ɲ j ʌ̹ ŋ
요도	j o d o̞
요람	j o ɾ a̠ m
요람본	j o ɾ a̠ m b o̞ n
요르단	j o ɾ ɯ d a̠ n
요리	j o ɾ i
요리사	j o ɾ i sʰ a̠
요리하다	j o ɾ i ɦ a̠ d a̠
요망	j o m a̠ ŋ
요법	j o b ʌ̹ p̚
요사이	j o sʰ a̠ i
요새	j o sʰ e̞
요소	j o sʰ o̞
요술	j o sʰ u ɭ
요약하다	j o j a̠ kʰ a̠ d a̠
요오드	j o o̞ d ɯ
요일	j o i ɭ
요정	j o d͡ʑ ʌ̹ ŋ
요즈음	j o d͡ʑ ɯ ɯ m
요즘	j o d͡ʑ ɯ m
요청	j o t͡ɕʰ ʌ̹ ŋ
요청하다	j o t͡ɕʰ ʌ̹ ŋ ɦ a̠ d a̠
요충	j o t͡ɕʰ u ŋ
요크셔	j o k x ɯ ɕʰ j ʌ̹
요하다	j o ɦ a̠ d a̠
요한	j o ɦ a̠ n
요해	j oː ɦ e̞
욕	j o k̚
욕망	j o ŋ m a̠ ŋ
욕실	j o k ɕ͈ i ɭ
욕심	j o k ɕ͈ i m
욕조	j o k̚ t͡ɕ͈ o̞
욕하다	j o kʰ a̠ d a̠
용	j o ŋ
용감	j oː ŋ ɡ a̠ m
용감하다	j oː ŋ ɡ a̠ m ɦ a̠ d a̠
용과	j o ŋ ɡ w a̠
용기	j o ŋ ɡ i
용기	j oː ŋ ɡ i
용대	j o ŋ d e̞
용돈	j oː ŋ d o̞ n
용병	j o ŋ b j ʌ̹ ŋ
용상어	j o ŋ sʰ a̠ ŋ ʌ̹
용서하다	j o ŋ sʰ ʌ̹ ɦ a̠ d a̠
용액	j o ŋ e̞ k̚
용어	j oː ŋ ʌ̹
용언	j oː ŋ ʌ̹ n
용의자	j o ŋ ɰ i d͡ʑ a̠
용이	j o ŋ i
용이하다	j o ŋ i ɦ a̠ d a̠
용접하다	j o ŋ d͡ʑ ʌ̹ pʰ a̠ d a̠
용지	j o ŋ d͡ʑ i
우간다	u ɡ a̠ n d a̠
우눈헥슘	u n u n ɦ e̞ k ɕ͈ j u m
우는토끼	uː n ɯ n tʰ o̞ k͈ i
우단	uː d a̠ n
우동	u d o̞ ŋ
우라누스	u ɾ a̠ n u sʰ ɯ
우러러보다	u ɾ ʌ̹ ɾ ʌ̹ b o̞ d a̠
우러르다	u ɾ ʌ̹ ɾ ɯ d a̠
우레	u ɾ e̞
우레	uː ɾ e̞
우려	u ɾ j ʌ̹
우롱차	u ɾ o̞ ŋ t͡ɕʰ a̠
우루과이	u ɾ u ɡ w a̠ i
우르두어	u ɾ ɯ d u ʌ̹
우리	u ɾ i
우리나라	u ɾ i n a̠ ɾ a̠
우리들	u ɾ i d ɯ ɭ
우리말	u ɾ i m a̠ ɭ
우리집	u ɾ i d͡ʑ i p̚
우먼	u m ʌ̹ n
우물	u m u ɭ
우박	uː b a̠ k̚
우비다	u b i d a̠
우사	u sʰ a̠
우산	uː sʰ a̠ n
우선	u sʰ ʌ̹ n
우세	u sʰ e̞
우수리	u sʰ u ɾ i
우스개	u sʰ ɯ ɡ e̞
우스갯소리	u sʰ ɯ ɡ e̞ t̚ s͈ o̞ ɾ i
우습다	uː sʰ ɯ p̚ t͈ a̠
우승	u sʰ ɯ ŋ
우아	u a̠
우아하다	u a̠ ɦ a̠ d a̠
우언	uː ʌ̹ n
우엉	u ʌ̹ ŋ
우연히	u j ʌ̹ n ʝ i
우울	u u ɭ
우울증	u u ɭ t͡ɕ͈ ɯ ŋ
우울하다	u u ɾ ɦ a̠ d a̠
우웩	u w e̞ k̚
우유	u j u
우의	uː ɰ i
우정	uː d͡ʑ ʌ̹ ŋ
우주	uː d͡ʑ u
우주론	u d͡ʑ u ɾ o̞ n
우주비행사	uː d͡ʑ u b i ɦ e̞ ŋ sʰ a̠
우주선	uː d͡ʑ u sʰ ʌ̹ n
우주인	uː d͡ʑ u i n
우주진	uː d͡ʑ u d͡ʑ i n
우즈베키스탄	u d͡ʑ ɯ b e̞ k ç i sʰ ɯ tʰ a̠ n
우체국	u t͡ɕʰ e̞ ɡ u k̚
우체부	uː t͡ɕʰ e̞ b u
우체통	u t͡ɕʰ e̞ tʰ o̞ ŋ
우크라이나	u k x ɯ ɾ a̠ i n a̠
우크라이나어	u k x ɯ ɾ a̠ i n a̠ ʌ̹
우펀국	u pʰ ʌ̹ n ɡ u k̚
우편	u pʰ j ʌ̹ n
우편번호	u pʰ j ʌ̹ n b ʌ̹ n β o̞
우편함	u pʰ j ʌ̹ n ɦ a̠ m
우표	u pʰ j o
우화	uː β w a̠
욱	u k̚
운검	u n ɡ ʌ̹ m
운남	u n n a̠ m
운동	uː n d o̞ ŋ
운동량	uː n d o̞ ŋ ɲ j a̠ ŋ
운동복	uː n d o̞ ŋ b o̞ k̚
운동장	uː n d o̞ ŋ d͡ʑ a̠ ŋ
운동하다	uː n d o̞ ŋ ɦ a̠ d a̠
운동화	uː n d o̞ ŋ β w a̠
운명	uː n m j ʌ̹ ŋ
운반	u n b a̠ n
운석	uː n sʰ ʌ̹ k̚
운송	u n sʰ o̞ ŋ
운수	u n sʰ u
운영하다	uː ɲ j ʌ̹ ŋ ɦ a̠ d a̠
운전	u n d͡ʑ ʌ̹ n
운전기사	uː n d͡ʑ ʌ̹ n ɡ i sʰ a̠
운전대	uː n d͡ʑ ʌ̹ n d e̞
운전사	uː n d͡ʑ ʌ̹ n sʰ a̠
운전자	uː n d͡ʑ ʌ̹ n d͡ʑ a̠
운전하다	u n d͡ʑ ʌ̹ n ɦ a̠ d a̠
운하	uː n ɦ a̠
울	u ɭ
울다	uː ɭ d a̠
울란바토르	u ɭ ɭ a̠ n b a̠ tʰ o̞ ɾ ɯ
울리다	u ɭ ʎ i d a̠
울산	u ɭ s͈ a̠ n
울음	u ɾ ɯ m
울음소리	u ɾ ɯ m s͈ o̞ ɾ i
울타리	u ɭ tʰ a̠ ɾ i
울퉁불퉁	u ɭ tʰ u ŋ b u ɭ tʰ u ŋ
움	u m
움직이다	u m d͡ʑ i ɡ i d a̠
움직임	u m d͡ʑ i ɡ i m
움짤	u m t͡ɕ͈ a̠ ɭ
웁살라	u p s͈ a̠ ɭ ɭ a̠
웃기다	u t̚ k͈ i d a̠
웃다	uː t̚ t͈ a̠
웃음	u sʰ ɯ m
웃음소리	u sʰ ɯ m s͈ o̞ ɾ i
웃프다	u t̚ pʰ ɯ d a̠
웅덩이	u ŋ d ʌ̹ ŋ i
웅변	u ŋ b j ʌ̹ n
웅어	u ŋ ʌ̹
워낙	w ʌ̹ n a̠ k̚
워라밸	w ʌ̹ ɾ a̠ b e̞ ɭ
워싱턴	w ʌ̹ ɕʰ i ŋ tʰ ʌ̹ n
원	w ʌ̹ n
원고	w ʌ̹ n ɡ o̞
원곡	w ʌ̹ n ɡ o̞ k̚
원기둥	w ʌ̹ n ɡ i d u ŋ
원래	w ɘː ɭ ɭ e̞
원래	w ʌ̹ ɭ ɭ e̞
원료	w ʌ̹ ɭ ʎ j o
원룸	w ʌ̹ n n u m
원리	w ʌ̹ ɭ ʎ i
원망	w ʌ̹ n m a̠ ŋ
원망하다	w ɘː n m a̠ ŋ ɦ a̠ d a̠
원문	w ʌ̹ n m u n
원반	w ʌ̹ n b a̠ n
원산	w ʌ̹ n sʰ a̠ n
원소	w ʌ̹ n sʰ o̞
원숭이	w ɘː n sʰ u ŋ i
원시	w ɘː n ɕʰ i
원앙	w ʌ̹ n a̠ ŋ
원앙사촌	w ʌ̹ n a̠ ŋ sʰ a̠ t͡ɕʰ o̞ n
원인	w ʌ̹ n i n
원자	w ʌ̹ n d͡ʑ a̠
원자력	w ʌ̹ n d͡ʑ a̠ ɾ j ʌ̹ k̚
원자력발전소	w ʌ̹ n d͡ʑ a̠ ɾ j ʌ̹ k̚ p͈ a̠ ɭ d͡ʑ ʌ̹ n sʰ o̞
원자폭탄	w ʌ̹ n d͡ʑ a̠ pʰ o̞ k̚ tʰ a̠ n
원작	w ʌ̹ n d͡ʑ a̠ k̚
원장	w ʌ̹ n d͡ʑ a̠ ŋ
원조	w ɘː n d͡ʑ o̞
원족	w ʌ̹ n d͡ʑ o̞ k̚
원주율	w ʌ̹ n d͡ʑ u j u ɭ
원주필	w ʌ̹ n d͡ʑ u pʰ i ɭ
원추각막	w ʌ̹ n t͡ɕʰ u ɡ a̠ ŋ m a̠ k̚
원칙	w ʌ̹ n t͡ɕʰ i k̚
원통	w ʌ̹ n tʰ o̞ ŋ
원폭	w ʌ̹ n pʰ o̞ k̚
원피스	w ʌ̹ n pʰ i sʰ ɯ
원하다	w ɘː n ɦ a̠ d a̠
월	w ʌ̹ ɭ
