а	ʔ aː
хэкӏодэн	x a ʁʷ a ɕ a n
хэкӏодэхьын	x a kʷ ʼ a d a ħ ə n
хэкӏон	x a kʷ ʼ a n
хэкӏотагъ	x a kʷ ʼ a t aː ʁ
хэкӏутэн	x a kʷ ʼ ə t a n
хэкӏы	x a t͡ʃ ʼ ə
хэкӏын	x a kʲ ʼ ə n
хэкӏын	x a t͡ʃ ʼ ə n
хэкӏьын	x a kʲ ʼ ə n
хэкӏьэн	x a kʲ ʼ a n
хэкӏэн	x a t͡ʃ ʼ a n
хэлъхьан	x a ɬ ħ aː n
хэлъын	x a ɬ ə n
хэлъэшъон	x a ɬ a ʃʷ a n
хэнэжьын	x a n a ʑ ə n
хэнэн	x a n a n
хэон	x a w a n
хэпкӏьэн	x a p kʲ a n
хэпкӏэн	x a p t͡ʃ a n
хэплъын	x a p ɬ ə n
хэплъэн	x a p ɬ a n
хэпыгьэн	x a p ə ɡʲ a n
хэпыджэн	x a p ə d͡ʒ a n
хэпэзэн	x a p a z a n
хэстыхьан	x a s t ə ħ a n
хэсэн	x a s a n
хэт	x a t
хэти	x aː t i
хэтэрыкӏ	x a t a r ə t͡ʃ
хэузыкӏын	x a w z ə t͡ʃ ə n
хэузыкӏьын	x a w z ə kʲ ə n
хэукъон	x a w qʷ a n
хэукӏэхьэн	x a w kʲ a ħ a n
хэукӏэхьэн	x a w t͡t a ħ a n
хэупсӏэн	x a w p s ʼ a n
хэупцӏэн	x a w p t͡s ʼ a n
хэутын	x a w t ə n
хэуцон	x a w t͡sʷ ə n
хэуцон	x a w t͡ʃʷ ə n
хэуӏэн	x a w ʔ a n
хэхъон	x a χʷ a n
хэхын	x a x ə n
хэхьан	x a ħ aː n
хэшъон	x a ʂʷ a n
хэшӏагъ	x a ʃ ʼ aː ʁ
хэшӏыкӏын	x a ʃ ʼ ə t͡ʃ ʼ ə n
хэшӏыкӏьын	x a ʃ ʼ ə kʲ ə n
хэшӏэн	x a ʃ ʼ a n
хэщтыхьын	x a q a ħ ə n
хэщыжьын	x a ɕ ə ʑ ə n
хэщын	x a ɕ ə n
хэщэн	x a ɕ a n
хэӏон	x a ʔʷ a n
хэӏуагъ	x a ʔʷ a ʁ
хэӏэбэн	x a ʔ a b a n
хэӏэжьын	x a ʔ a ʑ ə n
цагэ	t͡s aː ɣ a
цадльэ	d͡z aː ʒ a
цадльэ	t͡s aː d͡ɮ a
цадльэ	t͡s aː ɣ a
цацэ	t͡s aː t͡s a
цолъын	t͡ʃʷ a ɬ ə n
цохъон	t͡sʷ a χʷ a n
цу	t͡sʷ ə
цуабзэ	t͡sʷ aː b z a
цуакъо	t͡sʷ aː qʷ a
цуакъэ	t͡sʷ aː q a
цугу	t͡sʷ ə ɡʷ
цугу	t͡ʃʷ ə ɡʷ
цужъ	t͡sʷ ə ʐ
цуманэ	t͡sʷ ə m aː n
цумпэ	t͡sʷ ə m p a
цумпэ	t͡ʃʷ ə m p a
цумпэӏэрыс	t͡sʷ ə m p a ʔ a r ə s
цумпэӏэрыс	t͡ʃʷ ə m p a ʔ a r ə s
цунды	t͡sʷ ə n d ə
цуэкъокӏэхь	t͡sʷ a qʷ a kʲ ʼ a ħ
цуэкъокӏэхь	t͡sʷ a qʷ a t͡ʃ ʼ a ħ
цуэкъокӏэхь	t͡ʃʷ a qʷ a kʲ ʼ a ħ
цуэкъокӏэхь	t͡ʃʷ a qʷ a t͡ʃ ʼ a ħ
цуӏ	t͡ʃʷ ə ʔ
цы	t͡s ə
цыгъо	t͡s ə ʁʷ a
цыгъон	t͡s ə ʁʷ a n
цыгьан	t͡s ə ɡʲ aː n
цыджанэ	t͡s ə d͡ʒ aː n a
цые	t͡s ə j a
цыз	t͡s ə z
цызэ	t͡s ə z a
цыкӏу	t͡s ə kʷ ʼ
цыпэ	t͡s ə p a
цыулэ	t͡s ə w l a
цыхьэ	t͡s ə ħ a
цыхьэмышӏ	t͡s ʼ ə ħ a m ə ʃ ʼ
цэ	t͡s a
цэкъэн	t͡s a q a n
цэлъэкӏ	t͡s a ɬ a t͡ʃ
цэлъэкӏалъэ	t͡s a ɬ a t͡ʃ ʼ aː ɬ a
цэлы	t͡s a l ə
цэф	t͡s a f
цэхь	t͡s a ħ
цӏакӏэ	t͡s ʼ aː t͡ʃ a
цӏапӏэ	t͡s ʼ aː p ʼ a
цӏашъутэ	t͡s ʼ aː ʃʷ t a
цӏуцӏэ	f ʼ ə t͡s ʼ a
цӏуцӏэ	ʃʷ ʼ ə s ʼ a
цӏуцӏэ	ʃʷ ʼ ə t͡s ʼ a
цӏы	t͡s ʼ ə
цӏыкӏу	t͡s ʼ ə kʷ ʼ
цӏын	t͡s ʼ ə n
цӏынэ	t s ʼ ə n a
цӏыон	t͡s ʼ ə w a n
цӏыотэн	t͡s ʼ ə w a t a n
цӏыун	t͡s ʼ ə w ə n
цӏыфхэ	t͡s ʼ ə f x a
цӏыфы	t͡s ʼ ə f ə
цӏыфыгъэ	t͡s ʼ ə f ə ʁ a
цӏыцӏын	t͡s ʼ ə t͡s ʼ ə n
цӏыӏргъ	t s ə ʔ r ʁ
цӏэ	t͡s ʼ a
цӏэлъэн	t͡s ʼ a ɬ a n
цӏэнлъэн	t͡s ʼ a ɬ a n
цӏэпапкӏ	t͡s ʼ a p aː p t͡ʃ ʼ
цӏэпӏэжъ	t͡s ʼ a p ʼ a ʐ
цӏэрыӏу	t͡s ʼ a r ə ʔʷ
цӏэтхъун	t͡s ʼ a t χʷ ə n
цӏэтхъын	t͡s ʼ a t χ ə n
цӏэтхын	t͡s ʼ a t x ə n
цӏэцӏэн	t͡s ʼ a t͡s ʼ a n
цӏэшъутэн	t͡s ʼ a ʃʷ t a n
чан	t͡ʃ aː n
чатэ	t͡ʃ aː t a
чхыӏан	t͡ʃ x ə ʔ aː n
чъохъон	t͡ʃʷ a χʷ a n
чъу	t͡ʃʷ ə
чъуакъо	t͡ʃʷ aː qʷ a
чъужъ	t͡ʃʷ ə ʐ
чъуман	t͡ʃʷ ə m aː n
чъыг	t ʂ ə ɣ
чъыгай	t ʂ ə ɣ aː j
чъыглэныстэ	t ʂ ə ɣ l a n ə s t a
чъыгу	t͡ʃ ʼ ə ɡʷ ə
чъыгхатэ	t͡ʂ ə ɣ x aː t a
чъыгшъхьацыз	t͡ʃ ə ɣ ʂ ħ aː t͡ʃ ə z
чъыгы	t͡ɕ ə ɣ ə
чъыгы	t͡ʂ ə ɡ ə
чъыгы	t͡ʂ ə ɣ ə
чъыгышъхьэцыз	t͡ʂ ə ɣ ə ʂ ħ a t͡s ə z
чъые	t͡ɕ ə j a
чъые	t͡ʂ ə j a
чъыен	t͡ɕ ə j a n
чъыен	t͡ʂ ə j a n
чъыетхъун	m a ʃ t͡ə j a t χʷ ə n
чъыяпӏэ	t͡ʂ ə j aː p ʼ a
чъыӏалӏэ	t͡ʂ ə ʔ aː ɬ ʼ a
чъыӏаӏо	t͡ʂ ə ʔ aː ʔʷ a
чъыӏыхэн	t͡ʂ ə ʔ ə x a n
чъыӏэ	t͡ʂ ə ʔ a
чъэкӏыгъэ	t͡ʂ a t͡ʃ ʼ ə ʁ a
чъэн	t ʂ a n
чъэныр	t͡ʃ a n ə r
чъэпыогъумаз	t͡ʂ a p ə w a ʁʷ ə m aː z
чы	t͡ʃ ə
чыдан	t͡ʃ ə d aː n
чыжьэ	t͡ʃ ə ʑ a
чыжьэу	t͡ʃ ə ʑ a w
чызмэ	t͡ʃ ə z m a
чылапхъ	t͡ʃ ə l aː p χ
чылмэ	t͡ʃ ə l m a
чылыс	t͡ʃ ə ɮ ə s
чылысы	t͡ʃ ə l ə s ə
чылэ	t͡ʃ ə l a
чылэ	t͡ʃ ə ɮ a
чылэгъу	t͡ʃ ə ɮ a ʁʷ
чылэдэс	t͡ʃ ə ɮ a d a s
чыфыт	t͡ʃ ə f ə t
чыян	t͡ʃ ə j aː a n
чыӏу	t͡ʃ ʼ ə ʔʷ
чыӏун	t͡ʃ ə ʔʷ ə n
чыӏхэн	t͡ʃ ə ʔ x a n
чэ	t͡ʃ a
чэгый	t͡ʃ a ɣ ə j
чэзыу	t͡ʃ a z ə w
чэкӏошъыкӏын	t͡ʃ a kʷ ʼ a ʂ ə kʲ ə n
чэл	t͡ʃ a l
чэм	t͡ʃ a m
чэмахъо	t͡ʃ a m aː χʷ a
чэмы	t͡ʃ a m ə
чэмыл	t͡ʃ a m ə l
чэмыӏо	t͡ʃ a m ə ʔʷ a
чэмэдан	t͡ʃ a m a d aː n
чэн	t͡ʃ a n
чэпзэхэогъу	t͡ʃ a p z a x a w a ʁʷ
чэркэс	t͡ʃ a r k a s
чэрэгъун	t͡ʃ a r a ʁʷ ə n
чэрэз	t͡ʃ a r a z
чэрэзын	t͡ʃ a r a z ə n
чэрэуан	k a r a w aː n
чэсэй	t͡ʃ a s a j
чэтжъые	t͡ʃ ʼ a t ʐ ə j
чэты	t͡ʃ a t ə
чэтыу	t͡ʃ a t ə w
чэтыушыумыш	kʲ a t ə w ʃ ə e m ə ʃ
чэтыушыумыш	t͡ʃ a t ə w ʃ ə e m ə ʃ
чэу	t͡ʃ ʼ a w
чэупчъэ	t͡ʃ a w ə p t͡ʂ a
чэфы	t͡ʃ a f ə
чэфын	t͡ʃ a f ə n
чэфынчъэ	t͡ʃ a f ə n t͡ʂ a
чэфынчъэн	t͡ʃ a f ə n t͡ʂ a n
чэфыныпхъ	t͡ʃ a f ə n ə p χ
чэцӏы	t͡ʃ a t͡sˤ ʼ ə
чэщ	t͡ʃ a ɕ
чэщдэс	t͡ʃ a ɕ d a s
чэщныкъо	t͡ʃ a ɕ ə n ə qʷ a
чэщтао	t͡ʃ a ɕ t aː w a
чэщтеу	t͡ʃ a ɕ t a j w
чэщы	t͡ʃ a ɕ ə
чэщыбзыу	t͡ʃ a ʃ ə b s ə w
чӏапцӏэ	t͡ʃ aː p t͡sˤ ʼ a
чӏегъэбылъхьэн	t͡ʃ ʼ e ʁ a b ə ɬ ħ a n
чӏитхъун	t͡ʃ ʼ ə j t χʷ ə n
чӏы	t͡ʂ ʼ ə
чӏыбгъэ	ħ aː s a t x
чӏыбжь	t͡ʃ ə b ʑ
чӏыбзу	t͡ʃ ə b z ə w
чӏыгу	t͡ʃ ʼ ə ɡʷ ə
чӏыгъыкӏэлъыбз	t͡ʃ ə ʁ ə t͡ʃ a ɬ ə b z
чӏыдагъ	t͡ʃ ə d aː ʁ
чӏыкъу	t͡ʃ ə qʷ
чӏыкӏухьныкъу	t͡ʃ ə kʷ ə ħ n ə qʷ
чӏылъ	t͡ʃ ʼ ə ɬ
чӏылъэ	t͡ʃ ʼ ə ɬ a
чӏылъэныкъу	t͡ʃ ə ɬ a n ə qʷ
чӏылъэтеплъ	t͡ʃ ə ɬ a t a j p ɬ
чӏымэтх	t͡ʃ ə m a t x
чӏыопс	t͡ʃ ə w a p s
чӏыплъ	t͡ʃ ə p ɬ
чӏыпӏалъэ	t͡ʂ ʼ ə p ʼ aː ɬ a
чӏыпӏэ	t͡ʂ ʼ ə p ʼ a
чӏыр	t͡ʃ ʼ ə r
чӏырыгъыс	t͡ʃ ʼ ə r ə ʁ ə s
чӏырыкӏу	t͡ʃ ə r ə kʷ
чӏытхъыцэхэр	t͡ʃ ə t χ ə t͡s a x a r
чӏыунэ	w n aː ʂ ħ a
чӏыфэ	t͡ʂ ʼ ə f a
чӏышъутын	t͡ʂ ʼ ə ʃʷ t ə n
чӏэ	t͡ʃ ʼ a
чӏэбын	t͡ʂ ʼ a b ə n
чӏэгъолъхьан	t͡ʃ ʼ a ʁʷ a ɬ ħ aː n
чӏэгъэсӏэн	t͡ʃ ʼ a ʁ a s ʼ a n
чӏэгъэцӏэн	t͡ʂ ʼ a t͡s ʼ a n
чӏэкӏын	t͡ʂ ʼ a t͡ʃ ʼ ə n
чӏэкӏьын	t͡ʂ ʼ a k ʼ ə n
чӏэлъхьан	t͡ʂ ʼ a ɬ ħ a n
чӏэлъэтыкӏьын	t͡ʃ ʼ a ɬ a t ə kʲ ə n
чӏэн	t͡ʃ ʼ a n
чӏэнэн	t͡ʃ a n a n
чӏэрэп	t͡ʂ ʼ a r a p
чӏэсӏэн	t͡ʃ ʼ a s ʼ a n
чӏэтэкъун	t͡ʂ ʼ a t a qʷ ə n
чӏэухъубэн	t͡ʂ ʼ a w χʷ ə b a n
чӏэухъумэ	t͡ʂ ʼ a w χʷ ə m a
чӏэухъумэн	t͡ʂ ʼ a w χʷ ə m a n
чӏэхьан	t͡ʂ ʼ ə ħ a n
чӏэхьапкӏэ	t͡ʃ ʼ a ħ aː p t͡ʃ a
чӏэцӏэн	t͡ʂ ʼ a t͡s ʼ a n
чӏэшъутын	t͡ʂ ʼ a ʃʷ t ə n
чӏэщыкӏьын	t ʂ a ɕ ə k ʼ ə n
чӏэӏотыкӏын	t͡ʂ ʼ a ʔʷ a t ə t͡ʃ ʼ ə n
чӏэӏотыкӏьын	t͡ʂ ʼ a ʔʷ a t ə kʲ ʼ ə n
шакӏо	ʃ aː kʷ ʼ a
шамгьэн	ʃ a m ɡʲ a n
шамйэ	ʃ aː m j a
шапсыгъэбзэ	ʃ a p s ə ʁ a b z a
шапхъэ	ʃ aː p χ a
шашыф	ʃ aː ʃ ə f
шифэн	ʃ i f a n
шкӏэ	ʃ k ʼ a
штэ	ɕ t a
штэн	ʃ t a n
шу	ʃ ə w
шхакӏо	ʃ xː kʷ ʼ a
шхомлакӏ	ʃ xʷ a m ɮ aː t͡ʃ ʼ
шхонч	ʃ xʷ a n t͡ʃ
шхончау	ʃ xʷ a n t͡ʃ aː w
шхоӏу	ʃ xʷ a ʔʷ
шхъогъон	ʃ χʷ a ʁʷ a n
шхъомч	ʃ χʷ a m t͡ʃ
шхъуантӏэ	ʃ χʷ aː n t ʼ a
шхъуатӏэ	ʃ χʷ aː t ʼ a
шхын	ʃ x əː n
шхэкӏын	ʃ x a t͡ʃ ʼ ə n
шхэн	ʃ x a n
шъабэ	ʂ aː b a
шъао	ʂ aː w a
шъитӏу	ʂ i tʷ ʼ
шъищ	ʂ i ɕ
шъо	ɕʷ a
шъо	ʃʷ a
шъойцый	ʃʷ a j t͡s ə j
шъомпӏэжъ	ʃʷ a m p ʼ a ʐ
шъоны	ʃʷ a n ə
шъорышӏ	ʃʷ a r ə ʃ ʼ
шъорышӏын	ʃʷ a r ə ʃ ʼ ə n
шъотехьэтекӏ	ʂʷ a t a j ħ a t a j t͡ʃ
шъотэгын	ʂʷ a t a ɣ ə n
шъоу	ʂʷ a w
шъоуалъэ	ʃʷ a w aː ɬ a
шъоущыгъу	ʃʷ a w ɕ ə ʁʷ
шъофбзыу	ʂʷ a f b z ə w
шъофы	ʂʷ a f ə
шъуабгъо	ʃʷ aː b ʁʷ aː
шъуаджэ	ʃʷ aː d͡ʒ a
шъуае	ʂʷ aː j a
шъуакӏо	ʂʷ aː kʷ ʼ a
шъуалъэ	ʂʷ aː ɬ a
шъуамбгъо	ʂʷ aː m b ʁʷ aː
шъуампӏэ	ʃʷ ʼ aː m p ʼ a
шъуапэ	ʂʷ aː p a
шъуапӏэ	ʃʷ ʼ aː p ʼ a
шъуатэ	ʃʷ aː t a
шъуашэ	ʃʷ aː ʃ a
шъугъон	ʃʷ ʁʷ a n
шъугъун	ʃʷ ə ʁʷ ə n
шъуен	ʃʷ ə j a n
шъуз	ʂʷ ə z ə
шъузабэ	ʃʷ ə z aː b a
шъуил	ʃʷ ə j aː ɮ
шъуин	ʃʷ ə j a n
шъумэ	ʂʷ əː m a
шъун	ʃʷ ə n
шъуты	ʃʷ ə t ə
шъутыжъ	ʃʷ ə t ə ʐ
шъутыпашъо	ʃʷ ə t ə p aː ʃʷ a
шъутыпсӏэ	ʃʷ ə t ə p s ʼ a
шъутыпцӏэ	ʃʷ ə t ə p s ʼ a
шъутырын	ʃʷ ə t ə r a n
шъутырэхьын	ʃʷ ə t ə r a ħ ə n
шъухъогъон	ʃʷ ə χʷ a ʁʷ a n
шъухъуатӏэ	ʂʷ ə χʷ aː tˤ ʼ a
шъуял	ʃʷ ə j aː ɮ
шъуялъэ	ʃʷ ə j aː ɬ a
шъхьадэхьан	ʂ ħ aː d a ħ aː n n
шъхьае	ʂ ħ aː j a
шъхьакӏо	ʂ ħ aː kʷ ʼ a
шъхьакӏун	ʂ ħ aː kʷ ʼ ə n
шъхьакӏэ	ʂ ħ aː t͡ʃ ʼ a
шъхьалы	ʂ ħ aː l ə
шъхьангъупчъэ	ʂ ħ aː n ʁʷ ə p t ʂ a
шъхьанд	ʂ ħ aː n d
шъхьантэ	ʂ ħ aː n t a
шъхьапсӏэ	ʂ ħ aː p t͡s ʼ a
шъхьапцӏэ	ʂ ħ aː p t͡s ʼ a
шъхьарыхъон	ʂ ə ħ aː r ə χʷ a n
шъхьас	ʂ ħ aː s
шъхьасын	ʂ ħ aː s ə n
шъхьатепӏо	ʂ ħ aː t e pʷ ʼ a
шъхьатепӏэ	ʂ ħ aː t e p ʼ a
шъхьатэ	ʂ ħ aː t a
шъхьафитныгъ	ʂ ħ aː f i t n ə ʁ
шъхьафы	ʂ ħ aː f ə
шъхьахын	ʂ ħ aː x ə n
шъхьацы	ʂ ħ aː t͡ʃ ə
шъхьач	ʂ ħ aː t͡ʃ
шъхьэ	ʂ ħ a
шъхьэатынгъэ	ʂ ħ a ʔ aː t ə n ʁ a
шъхьэгъусэ	ʂ ħ a ʁʷ ə s a
шъхьэгьашъу	ʂ ħ a ɡʲ aː ʃʷ
шъхьэджашъу	ʂ ħ a d͡ʒ aː ʃʷ
шъхьэкӏафэ	ʂ ħ a t͡ʃ ʼ aː f a
шъхьэкӏьэ	ʂ ħ a kʲ ʼ a
шъхьэкӏэфэныгъ	ʂ ħ a t͡ʃ ʼ a f a n ə ʁ
шъхьэмажьэ	ʂ ħ a m aː ʑ a
шъхьэнгъупчъэ	ʂ ħ a n ʁʷ ə p t ʂ a
шъхьэныкъо	ʂ ħ a n ə qʷ a
шъхьэпай	ʂ ħ a p aː j
шъхьэпразэ	ʂ ħ a p r aː z a
шъхьэпэкӏын	ʂ ħ a p a t͡ʃ ʼ ə n
шъхьэпэкӏьын	ʂ ħ a p a kʲ ʼ ə n
шъхьэталъхьэ	ʂ ħ a t aː ɬ ħ a
шъхьэтепхъу	ʂ ħ a t a j p χʷ
шъхьэтэпӏ	ʂ ħ aː t e p ʼ a
шъхьэубат	ʂ ħ a w b aː t
шъхьэузы	ʂ ħ a w ə z ə
шъхьэукъэн	ʂ ħ a w q a n
шъхьэфитынгъэ	ʂ ħ a f i t n ə ʁ a
шъхьэхъу	ʂ ħ a χʷ
шъхьэц	ʂ ħ a t͡s
шъхьэӏатынгъэ	ʂ ħ a ʔ aː t ə n ʁ a
шъхьэӏужъу	ʂ ħ a ʔʷ ə ʐʷ
шъхьэӏух	ʂ ħ a ʔʷ ə x
шъыбын	ʂ ə b ə n
шъыгъо	ʂ ə ʁʷ a
шъыд	ʂ ə d
шъыда	ʂ ə d aː
шъыдгъо	ʂ ə d ʁʷ a
шъыдигъо	ʂ ə d ʁʷ a
шъыдэу	ʂ ə d a w
шъыкӏэ	ʂ ə kʲ a
шъынэ	ʂ ə n a
шъыпкъэ	ʂ ə p q a
шъыпкъэмкӏэ	ʂ ə p q a m t͡ʃ ʼ a
шъыпкъэу	ʂ ə p q a w
шъыхь	ʂ ə ħ
шъыхьэ	ʂ ə ħ a
шъэ	ʂ a
шъэгьашъ	ʂ a ɡʲ aː ʂ
шъэджашъ	ʂ a d͡ʒ aː ʂ
шъэджэшъэжъ	ʂ a d͡ʒ aː ʂ ə ʐ
шъэжъые	ʂ a ʐ ə j a
шъэжъыяц	ʂ a ʐ ə j aː t͡s
шъэн	ʂ a n
шъэнэкъо	ʂ a n a qʷ a
шъэо	ʂ a w a
шъэфы	ʂ a f ə
шы	ʃ ə
шыбгъэ	ʃ ə b ʁ a
шыбзы	ʃ ə b z ə
шыблэ	ʃ ə b l a
шыгу	ʃ ə ɡʷ
шыгугъон	ʃ ə ɡʷ ʁʷ a n
шыгъо	ʃ ə ʁʷ a
шыдгъо	ʃ ə d ʁʷ a
шыдзыен	ʃ ə d͡ʒ ə j a n
шыдкъолэн	ʃ ə d qʷ a l a n
шыдфэдиз	ʃ ə d f a d i z
шыкъолэн	ʃ ə qʷ a l a n
шыкъу	ʃ ə qʷ
шыкӏэ	ʃ ə t͡ʃ a
шыкӏэпшынэ	ʃ ə kʲ a p ʃ ə n a
шын	ʃ ə n
шынахьыжъ	ʃ ə n aː ħ ə ʐ
шынахьыкӏ	ʃ ə n aː ħ ə t͡ʃ ʼ
шыпхъу	ʃ ə p χʷ
шыр	ʃ ə r
шыу	ʃ ə w
шыукӏытэн	ʃ ə w t͡ʃ ʼ ə t a n
шыукӏьытэн	ʃ ə w kʲ ʼ ə t a n
шыфэн	ʃ ə f a n
шыхъон	ʃ ə χʷ a n
шышъхьэӏумаз	ʃ ə ʂ ħ a ʔʷ ə m aː z
шэдыгъо	ʃ a d ə ʁʷ a
шэзгъэ	ʃ a z ʁ a
шэкэр	ʃ a kʲ a r
шэкэрхафэ	ʃ a kʲ a r x aː f a
шэкэрыпс	ʃ a kʲ a r ə p s
шэкӏ	ʃ a t͡ʃ ʼ
шэкӏогъумаз	ʃ a kʷ ʼ a ʁʷ ə m aː z
шэкӏуахь	ʃ a kʷ ʼ aː ħ
шэмбэт	ʃ a m b a t
шэн	ʃ a n
шэнтэ	ʃ a n t a
шэнчъэ	ʃ a n t͡ʂ a
шэны	ʃ a n
шэнынчъ	ʃ a n t͡ʂ a
шэнынчъэ	ʃ a n t͡ʂ a
шэнычъэ	ʃ a n t͡ʂ a
шэплъы	ʃ a p ɬ ə
шэпсэун	ʃ a p s a w ə n
шэфы	ʃ a f ə
шэчалъ	ʃ a t͡ʃ aː ɬ
шэшэн	ʃ a ʃ a n
шӏобзын	ʃʷ ʼ a b z ə n
шӏои	ʃʷ ʼ a j ə
шӏоигъоджэн	ʃʷ a j ə ʁʷ a d͡ʒ a n
шӏоигъон	ʃʷ a j ə ʁʷ a n
шӏоигъуадж	ʃʷ a j ə ʁʷ aː d͡ʒ
шӏоилъ	ʃʷ ʼ a j ə ɬ
шӏойбэхь	ʃʷ ʼ a j b a ħ
шӏокӏон	ʃʷ ʼ a kʷ ʼ a n
шӏокӏын	ʃʷ ʼ a t͡ʃ ʼ ə n
шӏокӏьын	ʃʷ ʼ a kʲ ʼ ə n
шӏомыкӏы	ʃʷ ʼ a m ə t͡ʃ ʼ
шӏошъхъуныгъэ	ʃʷ ʼ a ʃʷ ʼ χʷ ə n ʁ a
шӏошъын	ʃʷ a ʂ ə n
шӏошӏ	ʃʷ ʼ a ʃʷ
шӏошӏун	ʃʷ a ʃʷ ə n
шӏошӏухъунгъэ	ʃʷ ʼ a ʃʷ ʼ χʷ ə n ʁ a
шӏошӏухъуныгъэ	ʃʷ ʼ a ʃʷ ʼ χʷ ə n ʁ a
шӏошӏын	ʃʷ a ʃ ʼ ə n
шӏоӏун	ʃʷ ʼ a ʔʷ ə n
шӏу	ʃʷ ʼ ə
шӏуабэ	ʃʷ ʔ aː b a
шӏуалъэ	ʃʷ ʼ aː ɬ a
шӏуанэ	ʃʷ ʼ aː n a
шӏугуащэ	ʂʷ ə ɡʷ aː ɕ a
шӏугъэ	ʃʷ ʼ ə ʁ a
шӏуежьэжьын	ʃʷ ʼ a j ʑ a ʑ ə n
шӏункӏы	ʃʷ ʼ ə n t͡ʃ ə
шӏупщы	ʂʷ ə p ɕ ə
шӏусӏэ	ʃʷ ʼ ə s ʼ a
шӏуфэс	ʃʷ ʼ ə f a s
шӏухъогъон	ʃʷ ʼ ə χʷ ə ʁʷ a n
шӏухьафтын	ʃʷ ʼ ə ħ aː f t ə n
шӏуцӏагъэ	ʃʷ ʼ t͡s ʼ aː ʁ a
шӏуцӏэ	ʃʷ ʼ ə t͡s ʼ a
шӏушӏэ	ʃʷ ʼ ə ʃ ʼ a
шӏыбзыу	ʃ ʼ ə b z ə w
шӏыжьын	ʃ ə ʑ ə n
шӏыкӏай	ʃ ʼ ə t͡ʃ ʼ aː j
шӏыкӏашӏу	ʃ ʼ ə t͡ʃ ʼ aː ʃʷ ʼ
шӏыкӏьэ	ʃ ʼ ə kʲ ʼ a
шӏыкӏэ	ʃ ʼ ə t͡ʃ ʼ a
шӏыкӏэен	ʃ ʼ ə k ʼʲ a j a n
шӏын	ʃ ə n
шӏыхьагъэ	ʃ ʼ ə ħ aː ʁ a
шӏыхьан	ʃ ʼ ə ħ aː n
шӏэн	ʃ a n
шӏэнгъэ	ʃ ʼ a n ʁ a
шӏэныгъэ	ʃ ʼ a n ə ʁ a
шӏэпэн	ə ʃ ʼ a p a n
шӏэхын	ʃ ʼ a x ə n
шӏэхэу	ʃ ʼ a x a w
щабзэ	ɕ aː b z a
щагу	ɕ a ɡʷ
щагуикӏыпӏэ	ɕ aː ɡʷ i t͡ʃ ə p ʼ a
щае	ɕ aː j a
щазымэ	ɕ aː z ə m a
щаибжъэ	ɕ aː j ə b ʐ a
щайуц	ɕ aː j w ə t͡s
щалъ	ɕ aː ɬ
щамсый	ɕ aː m s ə j
щанэ	ɕ aː n a
щао	ʃ aː w a
щапӏэ	ɕ aː p ʼ a
щкъэн	ɕ q a n
щтапхэ	ɕ t aː p x a
щтын	ɕ t ə n
щтыргъукӏы	ɕ t ə r ʁʷ ə t͡ʃ
щтэ	ɕ t a
щтэн	ɕ t a n
щхъырыб	ɕ χ ə r ə b
щхын	ɕ x ə n
щхэны	ɕ x a n ə
щы	ɕ ə
щыбжьый	ɕ ə b ʑ ə j
щыбжьэдум	ɕ ə b ʑ a d u m
щыблэ	ɕ ə b l a
щыбырысыр	ɕ ə b ə r ə s ə r
щыгугъын	ɕ ə ɡʷ ə ʁ ə n
щыгушӏукӏын	ʃ ə ɡʷ ə ʃʷ ʼ t͡ʃ ʼ ə n
щыгушӏукӏьын	ʃ ə ɡʷ ə ʃʷ ʼ kʲ ʼ ə n
щыгъозэн	ɕ ə ʁʷ a z a n
щыгъу	ɕ ə ʁʷ
щыгъупшын	ɕ ə ʁʷ ə p ʃ ə n
щыгъущ	ɕ ə ʁʷ ə ɕ
щыгъын	ɕ ə ʁ ə n
щыгъэгъупщын	ɕ ə ʁ a ʁʷ ə p ʃ ə n
щыгъэзыен	ʃ ə ʁ a z ə j a n
щыгъэзын	z ə ɕ ə ʁ a ʁʷ ə p ʃ ə n
щыгъэн	ɕ ə ʁ a n
щыгъэтын	ɕ ə ʁ a t ə n
щыгъэӏэн	ɕ ə ʔ a n
щыды	ɕ ə d ə
щыдыхьэщхын	ɕ ə d ə ħ a ɕ x ə n
щыдэхьащхын	ɕ ə d ə ħ a ɕ x ə n
щызымэ	ɕ ə z ə m a
щызэу	ɕ ə z a w
щыкӏэгъэн	ɕ ə t͡ʃ ʼ a ʁ a n
щыкӏэн	ɕ ə t͡ʃ ʼ a n
щыкӏэпс	ɕ ə kʲ ʼ a p s
щылъэн	ɕ ə ɬ a n
щылыч	ɕ ə l ə t͡ʃ
щылэмаз	ɕ ə l a m aː z
щымын	z a w ə ʂ a f ə n
щымэхъэшэн	ɕ ə m a χ a ʃ a n
щынагъо	ɕ ə n a ʁʷ a
щынагъу	ɕ ə n aː ʁʷ
щынапхэ	ɕ ə n aː p x a
щынэжьын	ɕ ə n a ʑ ə n
щынэн	ɕ ə n a n
щыпэлъф	ɕ ə p a ɬ f
щыр	ɕ ə r
щырыкъу	ɕ ə r ə qʷ
щысэ	ɕ ə s a
щысэхъукӏын	ɕ ə s a χʷ ə t͡ʃ ʼ ə n
щытапхэ	ɕ t aː p x a
щытхъу	ɕ ə t χʷ
щытхъун	ɕ ə t χʷ ə n
