'tain	t ɛ̃
perdante	p ɛ ʁ d ɑ̃ t
perde	p ɛ ʁ d
perdition	p ɛ ʁ d i s j ɔ̃
perdre	p ɛ ʁ d ʁ
perdreau	p ɛ ʁ d ʁ o
perdrix	p ɛ ʁ d ʁ i
perdu	p ɛ ʁ d y
perdurablement	p ɛ ʁ d y ʁ a b l ə m ɑ̃
perf	p ɛ ʁ f
perfectibilité	p ɛ ʁ f ɛ k t i b i l i t e
perfectibilités	p ɛ ʁ f ɛ k t i b i l i t e
perfectible	p ɛ ʁ f ɛ k t i b l
perfectibles	p ɛ ʁ f ɛ k t i b l
perfectif	p ɛ ʁ f ɛ k t i f
perfection	p ɛ ʁ f ɛ k s j ɔ̃
perfectionner	p ɛ ʁ f ɛ k s j ɔ n e
perfectionniste	p ɛ ʁ f ɛ k s j ɔ n i s t
perfide	p ɛ ʁ f i d
perforante	p ɛ ʁ f ɔ ʁ ɑ̃ t
perforantes	p ɛ ʁ f ɔ ʁ ɑ̃ t
perforer	p ɛ ʁ f ɔ ʁ e
performance	p ɛ ʁ f ɔ ʁ m ɑ̃ s
performativité	p ɛ ʁ f ɔ ʁ m a t i v i t e
perforé	p ɛ ʁ f ɔ ʁ e
perlant	p ɛ ʁ l ɑ̃
perlatif	p ɛ ʁ l a t i f
perle	p ɛ ʁ l
perler	p ɛ ʁ l e
perlimpinpin	p ɛ ʁ l ɛ̃ p ɛ̃ p ɛ̃
perlot	p ɛ ʁ l o
permaculture	p ɛ ʁ m a k y l t y ʁ
permalien	p ɛ ʁ m a l j ɛ̃
permanemment	p ɛ ʁ m a n a m ɑ̃
permanence	p ɛ ʁ m a n ɑ̃ s
permanences	p ɛ ʁ m a n ɑ̃ s
permanent	p ɛ ʁ m a n ɑ̃
permettre	p ɛ ʁ m ɛ t ʁ
permien	p ɛ ʁ m j ɛ̃
permis	p ɛ ʁ m i
permissif	p ɛ ʁ m i s i f
permission	p ɛ ʁ m i s j ɔ̃
permissive	p ɛ ʁ m i s i v
perméable	p ɛ ʁ m e a b l
pernambouc	p ɛ ʁ n ɑ̃ b u k
pernicieux	p ɛ ʁ n i s j ø
pernitreuse	p ɛ ʁ n i t ʁ ø z
peroxyacétique	p ə ʁ ɔ k s j a s e t i k
peroxyde	p ɛ ʁ ɔ k s i d
peroxyder	p ə ʁ ɔ k s i d e
peroxydes	p ɛ ʁ ɔ k s i d
perpendiculaire	p ɛ ʁ p ɑ̃ d i k y l ɛ ʁ
perpignan	p ɛ ʁ p i ɲ ɑ̃
perplexe	p ɛ ʁ p l ɛ k s
perplexes	p ɛ ʁ p l ɛ k s
perplexité	p ɛ ʁ p l ɛ k s i t e
perplexités	p ɛ ʁ p l ɛ k s i t e
perpétuel	p ɛ ʁ p e t ɥ ɛ l
perpétuité	p ɛ ʁ p e t ɥ i t e
perquisition	p ɛ ʁ k i z i s j ɔ̃
perquisitionner	p ɛ ʁ k i z i s j ɔ n e
perrette	p ɛ ʁ ɛ t
perrine	p ɛ ʁ i n
perron	p ɛ ʁ ɔ̃
perronisme	p ɛ ʁ ɔ n i s m
perroquet	p ɛ ʁ ɔ k ɛ
perroquetage	p ɛ ʁ ɔ k t a ʒ
perruche	p ɛ ʁ y ʃ
perruque	p e ʁ y k
perruque	p ɛ ʁ y k
perruquier	p e ʁ y k j e
perruquier	p ɛ ʁ y k j e
perruquière	p ɛ ʁ y k j ɛ ʁ
perruquières	p ɛ ʁ y k j ɛ ʁ
pers	p ɛ ʁ
persan	p ɛ ʁ s ɑ̃
perse	p ɛ ʁ s
perses	p ɛ ʁ s
persicaire	p ɛ ʁ s i k ɛ ʁ
persienne	p ɛ ʁ s j ɛ n
persiffler	p ɛ ʁ s i f l e
persifler	p ɛ ʁ s i f l e
persil	p ɛ ʁ s i
persil	p ɛ ʁ s i l
persister	p ɛ ʁ s i s t e
perso	p ɛ ʁ s o
personnage	p ɛ ʁ s ɔ n a ʒ
personnages	p ɛ ʁ s ɔ n a ʒ
personnalisable	p ɛ ʁ s ɔ n a l i z a b l
personnalisation	p ɛ ʁ s ɔ n a l i z a s j ɔ̃
personnalisations	p ɛ ʁ s ɔ n a l i z a s j ɔ̃
personnaliser	p ɛ ʁ s ɔ n a l i z e
personnalité	p ɛ ʁ s ɔ n a l i t e
personne	p ɛ ʁ s ɔ n
personnel	p ɛ ʁ s ɔ n ɛ l
personnelle	p ɛ ʁ s ɔ n ɛ l
personnes	p ɛ ʁ s ɔ n
personnifier	p ɛ ʁ s ɔ n i f j e
perspective	p ɛ ʁ s p ɛ k t i v
perspicace	p ɛ ʁ s p i k a s
persuade	p ɛ ʁ s ɥ a d
persuader	p ɛ ʁ s ɥ a d e
persuasion	p ɛ ʁ s ɥ a z j ɔ̃
persuasive	p ɛ ʁ s ɥ a z i v
persuasivement	p ɛ ʁ s ɥ a z i v m ɑ̃
persécuta	p ɛ ʁ s e k y t a
persécutai	p ɛ ʁ s e k y t e
persécutaient	p ɛ ʁ s e k y t ɛ
persécutais	p ɛ ʁ s e k y t ɛ
persécutait	p ɛ ʁ s e k y t ɛ
persécutant	p ɛ ʁ s e k y t ɑ̃
persécutas	p ɛ ʁ s e k y t ɑ
persécutasse	p ɛ ʁ s e k y t a s
persécutassent	p ɛ ʁ s e k y t a s
persécutasses	p ɛ ʁ s e k y t a s
persécutassiez	p ɛ ʁ s e k y t a s j e
persécutassions	p ɛ ʁ s e k y t a s j ɔ̃
persécute	p ɛ ʁ s e k y t
persécutent	p ɛ ʁ s e k y t
persécuter	p ɛ ʁ s e k y t e
persécutera	p ɛ ʁ s e k y t ʁ a
persécuterai	p ɛ ʁ s e k y t ʁ e
persécuteraient	p ɛ ʁ s e k y t ʁ ɛ
persécuterais	p ɛ ʁ s e k y t ʁ ɛ
persécuterait	p ɛ ʁ s e k y t ʁ ɛ
persécuteras	p ɛ ʁ s e k y t ʁ ɑ
persécuterez	p ɛ ʁ s e k y t ʁ e
persécuteriez	p ɛ ʁ s e k y t ə ʁ j e
persécuterions	p ɛ ʁ s e k y t ə ʁ j ɔ̃
persécuterons	p ɛ ʁ s e k y t ʁ ɔ̃
persécuteront	p ɛ ʁ s e k y t ʁ ɔ̃
persécutes	p ɛ ʁ s e k y t
persécutez	p ɛ ʁ s e k y t e
persécutiez	p ɛ ʁ s e k y t j e
persécution	p ɛ ʁ s e k y s j ɔ̃
persécutions	p ɛ ʁ s e k y t j ɔ̃
persécutons	p ɛ ʁ s e k y t ɔ̃
persécutâmes	p ɛ ʁ s e k y t ɑ m
persécutât	p ɛ ʁ s e k y t ɑ
persécutâtes	p ɛ ʁ s e k y t ɑ t
persécutèrent	p ɛ ʁ s e k y t ɛ ʁ
persécuté	p ɛ ʁ s e k y t e
persée	p ɛ ʁ s e
persévérance	p ɛ ʁ s e v e ʁ ɑ̃ s
persévérante	p ɛ ʁ s e v e ʁ ɑ̃ t
persévérer	p ɛ ʁ s e v e ʁ e
perte	p ɛ ʁ t
pertinemment	p ɛ ʁ t i n a m ɑ̃
pertinence	p ɛ ʁ t i n ɑ̃ s
pertinences	p ɛ ʁ t i n ɑ̃ s
pertinent	p ɛ ʁ t i n ɑ̃
pertinentes	p ɛ ʁ t i n ɑ̃ t
pertuis	p ɛ ʁ t ɥ i
pertuisane	p ɛ ʁ t ɥ i z a n
perturbas	p ɛ ʁ t y ʁ b a
perturber	p ɛ ʁ t y ʁ b e
perturbez	p ɛ ʁ t y ʁ b e
pervaporer	p ɛ ʁ v a p ɔ ʁ e
pervenche	p ɛ ʁ v ɑ̃ ʃ
pervers	p ɛ ʁ v ɛ ʁ
perversion	p ɛ ʁ v ɛ ʁ s j ɔ̃
perverti	p ɛ ʁ v ɛ ʁ t i
pervertira	p ɛ ʁ v ɛ ʁ t i ʁ a
pervertirai	p ɛ ʁ v ɛ ʁ t i ʁ e
pervertiraient	p ɛ ʁ v ɛ ʁ t i ʁ ɛ
pervertirais	p ɛ ʁ v ɛ ʁ t i ʁ ɛ
pervertirait	p ɛ ʁ v ɛ ʁ t i ʁ ɛ
pervertiras	p ɛ ʁ v ɛ ʁ t i ʁ ɑ
pervertirent	p ɛ ʁ v ɛ ʁ t i ʁ
pervertirez	p ɛ ʁ v ɛ ʁ t i ʁ e
pervertiriez	p ɛ ʁ v ɛ ʁ t i ʁ j e
pervertirions	p ɛ ʁ v ɛ ʁ t i ʁ j ɔ̃
pervertirons	p ɛ ʁ v ɛ ʁ t i ʁ ɔ̃
pervertiront	p ɛ ʁ v ɛ ʁ t i ʁ ɔ̃
pervertis	p ɛ ʁ v ɛ ʁ t i
pervertissaient	p ɛ ʁ v ɛ ʁ t i s ɛ
pervertissais	p ɛ ʁ v ɛ ʁ t i s ɛ
pervertissait	p ɛ ʁ v ɛ ʁ t i s ɛ
pervertissant	p ɛ ʁ v ɛ ʁ t i s ɑ̃
pervertisse	p ɛ ʁ v ɛ ʁ t i s
pervertissent	p ɛ ʁ v ɛ ʁ t i s
pervertisses	p ɛ ʁ v ɛ ʁ t i s
pervertissez	p ɛ ʁ v ɛ ʁ t i s e
pervertissiez	p ɛ ʁ v ɛ ʁ t i s j e
pervertissions	p ɛ ʁ v ɛ ʁ t i s j ɔ̃
pervertissons	p ɛ ʁ v ɛ ʁ t i s ɔ̃
pervertit	p ɛ ʁ v ɛ ʁ t i
pervertîmes	p ɛ ʁ v ɛ ʁ t i m
pervertît	p ɛ ʁ v ɛ ʁ t i
pervertîtes	p ɛ ʁ v ɛ ʁ t i t
perçant	p ɛ ʁ s ɑ̃
pesant	p ə z ɑ̃
pesante	p ə z ɑ̃ t
pesanteur	p ə z ɑ̃ t œ ʁ
peser	p ə z e
pessimisme	p e s i m i z m
pessimiste	p e s i m i s t
pesta	p ɛ s t a
pestai	p ɛ s t e
pestaient	p ɛ s t ɛ
pestais	p ɛ s t ɛ
pestait	p ɛ s t ɛ
pestant	p ɛ s t ɑ̃
pestas	p ɛ s t ɑ
pestasse	p ɛ s t a s
pestassent	p ɛ s t a s
pestasses	p ɛ s t a s
pestassiez	p ɛ s t a s j e
pestassions	p ɛ s t a s j ɔ̃
peste	p ɛ s t
pestent	p ɛ s t
pester	p ɛ s t e
pestera	p ɛ s t ə ʁ a
pesterai	p ɛ s t ə ʁ e
pesteraient	p ɛ s t ə ʁ ɛ
pesterais	p ɛ s t ə ʁ ɛ
pesterait	p ɛ s t ə ʁ ɛ
pesteras	p ɛ s t ə ʁ ɑ
pesterez	p ɛ s t ə ʁ e
pesteriez	p ɛ s t ə ʁ j e
pesterions	p ɛ s t ə ʁ j ɔ̃
pesterons	p ɛ s t ə ʁ ɔ̃
pesteront	p ɛ s t ə ʁ ɔ̃
pestes	p ɛ s t
pesteuse	p ɛ s t ø z
pestez	p ɛ s t e
pestiez	p ɛ s t j e
pestilence	p ɛ s t i l ɑ̃ s
pestilentiel	p ɛ s t i l ɑ̃ s j ɛ l
pestions	p ɛ s t j ɔ̃
pestons	p ɛ s t ɔ̃
pestâmes	p ɛ s t ɑ m
pestât	p ɛ s t ɑ
pestâtes	p ɛ s t ɑ t
pestèrent	p ɛ s t ɛ ʁ
pesté	p ɛ s t e
pet	p ɛ
pet	p ɛ t
petiot	p ə t j o
petit	p i t i
petit	p t i
petit	p ə t i
petit	t i
petite	p ə t i t
petitesse	p ə t i t ɛ s
petitissime	p ə t i t i s i m
petits	p ə t i
petronille	p ɛ t ʁ ɔ n i j
peu	p ø
peugeot	p ø ʒ o
peuplade	p œ p l a d
peuple	p œ p l
peupler	p œ p l e
peuplier	p ø p l i j e
peuplier	p œ p l i j e
peur	p œ ʁ
peureuse	p œ ʁ ø z
peureusement	p œ ʁ ø z m ɑ̃
peureuses	p œ ʁ ø z
peureux	p œ ʁ ø
peurs	p œ ʁ
peut	p ø
peuvent	p œ v
peux	p ø
peyrehorade	p ɛ j ʁ ə ɔ ʁ a d
pgcd	p e ʒ e s e d e
phacochère	f a k ɔ ʃ ɛ ʁ
phagocyter	f a ɡ ɔ s i t e
phalange	f a l ɑ̃ ʒ
phalangienne	f a l ɑ̃ ʒ j ɛ n
phalène	f a l ɛ n
phanal	f a n a l
phantasier	f ɑ̃ t a z j e
pharaon	f a ʁ a ɔ̃
phare	f a ʁ
phares	f a ʁ
pharisaïquement	f a ʁ i z a i k m ɑ̃
pharisien	f a ʁ i z j ɛ̃
pharmacie	f a ʁ m a s i
pharmacien	f a ʁ m a s j ɛ̃
pharmacienne	f a ʁ m a s j ɛ n
pharmacologie	f a ʁ m a k ɔ l ɔ ʒ i
pharmacologique	f a ʁ m a k ɔ l ɔ ʒ i k
pharmacologiquement	f a ʁ m a k ɔ l ɔ ʒ i k m ɑ̃
pharmacologiques	f a ʁ m a k ɔ l ɔ ʒ i k
pharmacopée	f a ʁ m a k ɔ p e
pharyngienne	f a ʁ ɛ̃ ʒ j ɛ n
pharynx	f a ʁ ɛ̃ k s
phascolome	f a s k ɔ l ɔ m
phase	f a z
phi	f i
phil	f i l
philadelphie	f i l a d ɛ l f i
philatélie	f i l a t e l i
philatélique	f i l a t e l i k
philatéliste	f i l a t e l i s t
philatélistes	f i l a t e l i s t
philibert	f i l i b ɛ ʁ
philippe	f i l i p
philippines	f i l i p i n
philodème	f i l ɔ d ɛ m
philogynie	f i l ɔ ʒ i n i
philologique	f i l ɔ l ɔ ʒ i k
philologiquement	f i l ɔ l ɔ ʒ i k m ɑ̃
philologue	f i l ɔ l ɔ ɡ
philomène	f i l ɔ m ɛ n
philosophal	f i l ɔ z ɔ f a l
philosophe	f i l ɔ z ɔ f
philosopher	f i l ɔ z ɔ f e
philosophie	f i l ɔ z ɔ f i
philtre	f i l t ʁ
philémon	f i l e m ɔ̃
phimosis	f i m o z i s
phlébite	f l e b i t
phobie	f ɔ b i
phone	f ɔ n
phoner	f ɔ n e
phonique	f ɔ n i k
phoniques	f ɔ n i k
phonographe	f ɔ n ɔ ɡ ʁ a f
phonologie	f ɔ n ɔ l ɔ ʒ i
phonologies	f ɔ n ɔ l ɔ ʒ i
phonologisation	f ɔ n ɔ l ɔ ʒ i z a s j ɔ̃
phonologiser	f ɔ n ɔ l ɔ ʒ i z e
phonologue	f ɔ n ɔ l ɔ ɡ
phonème	f ɔ n ɛ m
phonèmes	f ɔ n ɛ m
phonétique	f ɔ n e t i k
phonétiques	f ɔ n e t i k
phoque	f ɔ k
phoquier	f ɔ k j e
phosphate	f ɔ s f a t
phosphatier	f ɔ s f a t j e
phospholipide	f ɔ s f ɔ l i p i d
phosphore	f ɔ s f ɔ ʁ
phosphorescent	f ɔ s f ɔ ʁ e s ɑ̃
phosphoreuse	f ɔ s f ɔ ʁ ø z
phosphoreuses	f ɔ s f ɔ ʁ ø z
phosphoreux	f ɔ s f ɔ ʁ ø
phosphorique	f ɔ s f ɔ ʁ i k
phosphoriser	f ɔ s f ɔ ʁ i z e
phosphoryle	f ɔ s f ɔ ʁ i l
phosphurée	f ɔ s f y ʁ e
photo	f o t o
photo	f ɔ t o
photoamorcer	f ɔ t o a m ɔ ʁ s e
photoamorcé	f ɔ t o a m ɔ ʁ s e
photoamorcée	f ɔ t o a m ɔ ʁ s e
photoamorcées	f ɔ t o a m ɔ ʁ s e
photoamorcés	f ɔ t o a m ɔ ʁ s e
photochromatiquement	f ɔ t ɔ ʃ ʁ ɔ m a t i k m ɑ̃
photoconductif	f ɔ t ɔ k ɔ̃ d y k t i f
photoconductifs	f ɔ t ɔ k ɔ̃ d y k t i f
photoconductive	f ɔ t ɔ k ɔ̃ d y k t i v
photoconductives	f ɔ t ɔ k ɔ̃ d y k t i v
photoconductivité	f ɔ t ɔ k ɔ̃ d y k t i v i t e
photoconductivités	f ɔ t ɔ k ɔ̃ d y k t i v i t e
photocopie	f o t o k ɔ p i
photocopie	f ɔ t o k ɔ p i
photocopier	f ɔ t o k ɔ p j e
photocopieur	f ɔ t o k ɔ p j œ ʁ
photocopieuse	f ɔ t o k ɔ p j ø z
photodétecteur	f ɔ t ɔ d e t ɛ k t œ ʁ
photogrammétrie	f ɔ t ɔ ɡ ʁ a m e t ʁ i
photographe	f ɔ t ɔ ɡ ʁ a f
photographie	f ɔ t ɔ ɡ ʁ a f i
photographier	f ɔ t ɔ ɡ ʁ a f j e
photogénique	f ɔ t ɔ ʒ e n i k
photogéniques	f ɔ t ɔ ʒ e n i k
photoioniser	f ɔ t o j ɔ n i z e
photométriquement	f ɔ t ɔ m e t ʁ i k m ɑ̃
photon	f ɔ t ɔ̃
photopolymériser	f ɔ t o p ɔ l i m e ʁ i z e
photosphère	f ɔ t ɔ s f ɛ ʁ
photosynthèse	f ɔ t ɔ s ɛ̃ t ɛ z
photosynthétique	f ɔ t ɔ s ɛ̃ t e t i k
photosynthétiquement	f ɔ t o z ɛ̃ t e t i k m ɑ̃
photovoltaïque	f ɔ t ɔ v ɔ l t a i k
photoélectrique	f ɔ t ɔ e l ɛ k t ʁ i k
photoélectrochimique	f ɔ t o e l ɛ k t ʁ o ʃ i m i k
phrase	f ʁ ɑ z
phraser	f ʁ a z e
phraser	f ʁ ɑ z e
phrasé	f ʁ a z e
phréatique	f ʁ e a t i k
phtisie	f t i z i
phtisique	f t i z i k
phuket	p u k ɛ t
phycologie	f i k ɔ l ɔ ʒ i
phylactère	f i l a k t ɛ ʁ
phylarque	f i l a ʁ k
phylloxéra	f i l ɔ k s e ʁ a
phylogénétique	f i l ɔ ʒ e n e t i k
physicalisation	f i z i k a l i z a s j ɔ̃
physiognomonie	f i z j ɔ ɡ n ɔ m ɔ n i
physiologique	f i z j ɔ l ɔ ʒ i k
physique	f i z i k
phyto	f i t o
phénakistiscope	f e n a k i s t i s k ɔ p
phénix	f e n i k s
phénomène	f e n ɔ m ɛ n
phénotype	f e n ɔ t i p
phényl	f e n i l
phérécyde	f e ʁ e s i d
phœnix	f e n i k s
pi	p i
piaf	p j a f
piaffer	p j a f e
piailla	p j a j a
piaillai	p j a j e
piaillaient	p j a j ɛ
piaillais	p j a j ɛ
piaillait	p j a j ɛ
piaillant	p j a j ɑ̃
piaillard	p j ɑ j a ʁ
piaillarde	p j ɑ j a ʁ d
piaillardes	p j ɑ j a ʁ d
piaillards	p j ɑ j a ʁ
piaillas	p j a j ɑ
piaillasse	p j a j a s
piaillassent	p j a j a s
piaillasses	p j a j a s
piaillassiez	p j a j a s j e
piaillassions	p j a j a s j ɔ̃
piaille	p j a j
piaillent	p j a j
piaillera	p j a j ʁ a
piaillerai	p j a j ʁ e
piailleraient	p j a j ʁ ɛ
piaillerais	p j a j ʁ ɛ
piaillerait	p j a j ʁ ɛ
piailleras	p j a j ʁ ɑ
piaillerez	p j a j ʁ e
piailleriez	p j a j ə ʁ j e
piaillerions	p j a j ə ʁ j ɔ̃
piaillerons	p j a j ʁ ɔ̃
piailleront	p j a j ʁ ɔ̃
piailles	p j a j
piaillez	p j a j e
piailliez	p j a j j e
piaillions	p j a j j ɔ̃
piaillons	p j a j ɔ̃
piaillâmes	p j a j ɑ m
piaillât	p j a j ɑ
piaillâtes	p j a j ɑ t
piaillèrent	p j a j ɛ ʁ
piaillé	p j a j e
pianissimi	p j a n i s i m i
pianiste	p j a n i s t
pianistique	p j a n i s t i k
pianistiques	p j a n i s t i k
piano	p j a n o
piasse	p j a s
piastre	p j a s
piastre	p j a s t
piastre	p j a s t ʁ
piaule	p j o l
piauler	p j o l e
pib	p e i b e
pib	p i b
pic	p i k
picador	p i k a d ɔ ʁ
picadors	p i k a d ɔ ʁ
picard	p i k a ʁ
picardan	p i k a ʁ d ɑ̃
picarde	p i k a ʁ d
picardes	p i k a ʁ d
picardie	p i k a ʁ d i
picards	p i k a ʁ
picaresquité	p i k a ʁ ɛ s k i t e
pickpocket	p i k p ɔ k ɛ t
picoampère	p i k ɔ ɑ̃ p ɛ ʁ
picocandela	p i k ɔ k ɑ̃ d e l a
picokatal	p i k ɔ k a t a l
picoler	p i k ɔ l e
picomètre	p i k ɔ m ɛ t ʁ
picon	p i k ɔ̃
picorer	p i k ɔ ʁ e
picoseconde	p i k ɔ s ə ɡ ɔ̃ d
picostéradian	p i k ɔ s t e ʁ a d j ɑ̃
picot	p i k o
picotement	p i k ɔ t m ɑ̃
picoter	p i k ɔ t e
picpoul	p i k p u l
picrique	p i k ʁ i k
picrocholine	p i k ʁ ɔ k ɔ l i n
pics	p i k
pictogramme	p i k t ɔ ɡ ʁ a m
pictonne	p i k t ɔ n
pictural	p i k t y ʁ a l
picturale	p i k t y ʁ a l
picturales	p i k t y ʁ a l
picturaux	p i k t y ʁ o
picvert	p i v ɛ ʁ
pie	p i
pied	p j e
pieds	p j e
piercing	p j ɛ ʁ s i ŋ
pierlot	p j ɛ ʁ l o
pierrade	p j ɛ ʁ a d
pierraille	p j ɛ ʁ a j
pierre	p j ɛ ʁ
pierrette	p j ɛ ʁ ɛ t
pierreuse	p j ɛ ʁ ø z
pierreux	p j ɛ ʁ ø
pierrick	p j ɛ ʁ i k
pieu	p j ø
pieuter	p j ø t e
pieuté	p j ø t e
pieuvre	p j œ v ʁ
pieuvres	p j œ v ʁ
pieux	p j ø
pif	p i f
piffer	p i f e
pifomètre	p i f ɔ m ɛ t ʁ
pifomètres	p i f ɔ m ɛ t ʁ
pigeon	p i ʒ ɔ̃
pigeonnant	p i ʒ ɔ n ɑ̃
pigeonnier	p i ʒ ɔ n j e
pigeonniers	p i ʒ ɔ n j e
piger	p i ʒ e
pigiste	p i ʒ i s t
pigment	p i ɡ m ɑ̃
pigmenter	p i ɡ m ɑ̃ t e
pignocher	p i ɲ ɔ ʃ e
pignon	p i ɲ ɔ̃
pikine	p i k i n
pila	p i l a
pile	p i l
piler	p i l e
piles	p i l
pilier	p i l j e
pillage	p i j a ʒ
pillant	p i j ɑ̃
pillard	p i j a ʁ
pille	p i j
piller	p i j e
piloche	p i l ɔ ʃ
pilon	p i l ɔ̃
pilonnage	p i l ɔ n a ʒ
pilori	p i l ɔ ʁ i
pilorier	p i l ɔ ʁ j e
pilosité	p i l o z i t e
pilote	p i l ɔ t
piloter	p i l ɔ t e
pilotis	p i l ɔ t i
pilule	p i l y l
pilules	p i l y l
pimbêche	p ɛ̃ b ɛ ʃ
piment	p i m ɑ̃
pimenter	p i m ɑ̃ t e
pimpant	p ɛ̃ p ɑ̃
pimper	p ɛ̃ p e
pimprelocher	p ɛ̃ p ʁ ə l ɔ ʃ e
pimprenelle	p ɛ̃ p ʁ ə n ɛ l
pin	p ɛ̃
pin's	p i n s
pina	p i n a
pinacle	p i n a k l
pinai	p i n e
pinaient	p i n ɛ
pinailler	p i n a j e
pinais	p i n ɛ
pinait	p i n ɛ
pinant	p i n ɑ̃
pinard	p i n a ʁ
pinas	p i n ɑ
pinasse	p i n a s
pinassent	p i n a s
pinasses	p i n a s
pinassiez	p i n a s j e
pinassions	p i n a s j ɔ̃
pince	p ɛ̃ s
pinceau	p ɛ̃ s o
pincer	p ɛ̃ s e
pinces	p ɛ̃ s
pincette	p ɛ̃ s ɛ t
pindare	p ɛ̃ d a ʁ
pine	p i n
pineau	p i n o
pinent	p i n
piner	p i n e
pinera	p i n ʁ a
pinerai	p i n ʁ e
pineraient	p i n ʁ ɛ
pinerais	p i n ʁ ɛ
pinerait	p i n ʁ ɛ
pineras	p i n ʁ ɑ
pinerez	p i n ʁ e
pineriez	p i n ə ʁ j e
pinerions	p i n ə ʁ j ɔ̃
pinerons	p i n ʁ ɔ̃
pineront	p i n ʁ ɔ̃
pines	p i n
pinez	p i n e
pingouin	p ɛ̃ ɡ w ɛ̃
pingre	p ɛ̃ ɡ ʁ
piniez	p i n j e
pinions	p i n j ɔ̃
pinocumettable	p i n o k y m ɛ t a b l
pinons	p i n ɔ̃
pinot	p i n o
pinotte	p i n ɔ t
pinson	p ɛ̃ s ɔ̃
pintade	p ɛ̃ t a d
pinte	p ɛ̃ t
pinter	p ɛ̃ t e
pinâmes	p i n ɑ m
pinât	p i n ɑ
pinâtes	p i n ɑ t
pinçon	p ɛ̃ s ɔ̃
pinçonnière	p ɛ̃ s ɔ n j ɛ ʁ
pinèrent	p i n ɛ ʁ
piné	p i n e
pinéale	p i n e a l
piocha	p j ɔ ʃ a
pioche	p j ɔ ʃ
piolet	p j ɔ l ɛ
pion	p j ɔ̃
pionce	p j ɔ̃ s
pioncent	p j ɔ̃ s
pioncer	p j ɔ̃ s e
pioncera	p j ɔ̃ s ʁ a
pioncerai	p j ɔ̃ s ʁ e
pionceraient	p j ɔ̃ s ʁ ɛ
pioncerais	p j ɔ̃ s ʁ ɛ
pioncerait	p j ɔ̃ s ʁ ɛ
pionceras	p j ɔ̃ s ʁ ɑ
pioncerez	p j ɔ̃ s ʁ e
pionceriez	p j ɔ̃ s ə ʁ j e
pioncerions	p j ɔ̃ s ə ʁ j ɔ̃
pioncerons	p j ɔ̃ s ʁ ɔ̃
pionceront	p j ɔ̃ s ʁ ɔ̃
pionces	p j ɔ̃ s
pioncez	p j ɔ̃ s e
pionciez	p j ɔ̃ s j e
pioncions	p j ɔ̃ s j ɔ̃
pioncèrent	p j ɔ̃ s ɛ ʁ
pioncé	p j ɔ̃ s e
pioncée	p j ɔ̃ s e
pioncées	p j ɔ̃ s e
pioncés	p j ɔ̃ s e
pionique	p j ɔ n i k
pionner	p j ɔ n e
pionnier	p j ɔ n j e
pionça	p j ɔ̃ s a
pionçai	p j ɔ̃ s e
pionçaient	p j ɔ̃ s ɛ
pionçais	p j ɔ̃ s ɛ
pionçait	p j ɔ̃ s ɛ
pionçant	p j ɔ̃ s ɑ̃
pionças	p j ɔ̃ s ɑ
pionçasse	p j ɔ̃ s a s
pionçassent	p j ɔ̃ s a s
pionçasses	p j ɔ̃ s a s
pionçassiez	p j ɔ̃ s a s j e
pionçassions	p j ɔ̃ s a s j ɔ̃
pionçons	p j ɔ̃ s ɔ̃
pionçâmes	p j ɔ̃ s a m
pionçât	p j ɔ̃ s ɑ
pionçâtes	p j ɔ̃ s ɑ t
piorna	p j ɔ ʁ n a
piornai	p j ɔ ʁ n e
piornaient	p j ɔ ʁ n ɛ
piornais	p j ɔ ʁ n ɛ
piornait	p j ɔ ʁ n ɛ
piornant	p j ɔ ʁ n ɑ̃
piornas	p j ɔ ʁ n ɑ
piornasse	p j ɔ ʁ n a s
piornassent	p j ɔ ʁ n a s
piornasses	p j ɔ ʁ n a s
piornassiez	p j ɔ ʁ n a s j e
piornassions	p j ɔ ʁ n a s j ɔ̃
piorne	p j ɔ ʁ n
piornent	p j ɔ ʁ n
piorner	p j ɔ ʁ n e
piornera	p j ɔ ʁ n ə ʁ a
piornerai	p j ɔ ʁ n ə ʁ e
piorneraient	p j ɔ ʁ n ə ʁ ɛ
piornerais	p j ɔ ʁ n ə ʁ ɛ
piornerait	p j ɔ ʁ n ə ʁ ɛ
piorneras	p j ɔ ʁ n ə ʁ ɑ
piornerez	p j ɔ ʁ n ə ʁ e
piorneriez	p j ɔ ʁ n ə ʁ j e
piornerions	p j ɔ ʁ n ə ʁ j ɔ̃
piornerons	p j ɔ ʁ n ə ʁ ɔ̃
piorneront	p j ɔ ʁ n ə ʁ ɔ̃
piornes	p j ɔ ʁ n
piornez	p j ɔ ʁ n e
piorniez	p j ɔ ʁ n j e
piornions	p j ɔ ʁ n j ɔ̃
piornons	p j ɔ ʁ n ɔ̃
piornâmes	p j ɔ ʁ n ɑ m
piornât	p j ɔ ʁ n ɑ
piornâtes	p j ɔ ʁ n ɑ t
piornèrent	p j ɔ ʁ n ɛ ʁ
piorné	p j ɔ ʁ n e
pipe	p i p
pipeau	p i p o
pipeline	p i p l i n
pipes	p i p
pipette	p i p ɛ t
pipeuse	p i p ø z
pipi	p i p i
pipit	p i p i t
pipole	p i p ɔ l
piquant	p i k ɑ̃
piquante	p i k ɑ̃ t
piquantes	p i k ɑ̃ t
pique	p i k
