わ゙	b a̠̠
せんしょくたい	s ẽ̞ ɰ̃ ɕ o̞ k ɯ̟̊ᵝ t a̠ i
せんしんこく	s ẽ̞ ɰ̃ ɕ ĩ ŋ k o̞ k ɯ̟ᵝ
ぜんしんぜんれい	d͡z ẽ̞ ɰ̃ ɕ ĩ n d͡z ẽ̞ n ɾ e̞ː
せんじ	s ẽ̞ ɲ̟ d͡ʑ i
せんじゅかんのん	s ẽ̞ ɲ̟ d͡ʑ ɨᵝ k ã̠ nː õ̞ ɴ
せんじゅつ	s ẽ̞ ɲ̟ d͡ʑ ɨᵝ t͡s ɨᵝ
せんじゅつ	s ẽ̞ ɲ̟ d͡ʑ ɨᵝ t͡s ɨᵝ
せんじゅつ	s ẽ̞ ɲ̟ d͡ʑ ɨᵝ t͡s ɨᵝ
ぜんじゅつ	d͡z ẽ̞ ɲ̟ d͡ʑ ɨᵝ t͡s ɨᵝ
せんにょ	s ẽ̞ ɲ̟ ɲ̟ o̞
ひきがえる	ç i̥ kʲ i ɡ a̠ e̞ ɾ ɯ̟ᵝ
せんじょう	s ẽ̞ ɲ̟ d͡ʑ o̞ː
せんじょう	s ẽ̞ ɲ̟ d͡ʑ o̞ː
せんでき	s ẽ̞ n d e̞ kʲ i
せんじん	s ẽ̞ ɲ̟ d͡ʑ ĩ ɴ
せんじん	s ẽ̞ ɲ̟ d͡ʑ ĩ ɴ
せんすいかん	s ẽ̞ ɰ̃ s ɨᵝ i k ã̠ ɴ
せんずり	s ẽ̞ n d͡z ɨᵝ ɾʲ i
ぜんせ	d͡z ẽ̞ ɰ̃ s e̞
せんせい	s ẽ̞ ɰ̃ s e̞ː
せんせい	s ẽ̞ ɰ̃ s e̞ː
せんせい	s ẽ̞ ɰ̃ s e̞ː
ぜんせいき	d͡z ẽ̞ ɰ̃ s e̞ː kʲ i
せんせいじゅつ	s ẽ̞ ɰ̃ s e̞ː ʑ ɨᵝ t͡s ɨᵝ
せんせき	s ẽ̞ ɰ̃ s e̞ kʲ i
ぜんせん	d͡z ẽ̞ ɰ̃ s ẽ̞ ɴ
せんせんふこく	s ẽ̞ ɰ̃ s ẽ̞ ɰ̃ ɸ ɯ̟ᵝ k o̞ k ɯ̟ᵝ
まえじたぼいん	m a̠ e̞ ʑ i t a̠ b o̞ ĩ ɴ
ぜんぜん	d͡z ẽ̞ n d͡z ẽ̞ ɴ
せんそう	s ẽ̞ ɰ̃ s o̞ː
せんそう	s ẽ̞ ɰ̃ s o̞ː
ぜんそう	d͡z ẽ̞ ɰ̃ s o̞ː
ぜんそくぜんしん	d͡z ẽ̞ ɰ̃ s o̞ k ɯ̟ᵝ d͡z ẽ̞ ɰ̃ ɕ ĩ ɴ
せんぞ	s ẽ̞ n d͡z o̞
せんぞく	s ẽ̞ n d͡z o̞ k ɯ̟ᵝ
センター	s ẽ̞ n t a̠ː
せんたい	s ẽ̞ n t a̠ i
せんたい	s ẽ̞ n t a̠ i
ぜんたい	d͡z ẽ̞ n t a̠ i
ぜんたい	d͡z ẽ̞ n t a̠ i
ぜんたいしゅぎ	d͡z ẽ̞ n t a̠ i ɕ ɨᵝ ɡʲ i
ぜんたいてき	d͡z ẽ̞ n t a̠ i t e̞ kʲ i
せんたく	s ẽ̞ n t a̠ k ɯ̟ᵝ
せんたくこうり	s ẽ̞ n t a̠ k ɯ̟ᵝ k o̞ː ɾʲ i
せんたくし	s ẽ̞ n t a̠ k ɯ̟ᵝ ɕ i
せんたくばさみ	s ẽ̞ n t a̠ k ɯ̟ᵝ b a̠ s a̠ mʲ i
せんたくや	s ẽ̞ n t a̠ k ɯ̟ᵝ j a̠
せんたくき	s ẽ̞ n t a̠ k ɯ̟̊ᵝ kʲ i
せんたん	s ẽ̞ n t ã̠ ɴ
ぜんたん	d͡z ẽ̞ n t ã̠ ɴ
せんたんきょだいしょう	s ẽ̞ n t ã̠ ŋʲ kʲ o̞ d a̠ i ɕ o̞ː
せんだい	s ẽ̞ n d a̠ i
せんだい	s ẽ̞ n d a̠ i
ぜんだいみもん	d͡z ẽ̞ n d a̠ i mʲ i m õ̞ ɴ
せんたく	s ẽ̞ n t a̠ k ɯ̟ᵝ
せんだん	s ẽ̞ n d ã̠ ɴ
せんだん	s ẽ̞ n d ã̠ ɴ
センチ	s ẽ̞ ɲ̟ t͡ɕ i
せついん	s e̞ t͡s ɨᵝ ĩ ɴ
ぜんち	d͡z ẽ̞ ɲ̟ t͡ɕ i
ぜんちし	d͡z ẽ̞ ɲ̟ t͡ɕ i ɕ i
ぜんちぜんのう	d͡z ẽ̞ ɲ̟ t͡ɕ i z ẽ̞ nː o̞ː
センチメートル	s ẽ̞ ɲ̟ t͡ɕ i m e̞ː t o̞ ɾ ɯ̟ᵝ
せんちゃ	s ẽ̞ ɲ̟ t͡ɕ a̠
ぜんちゅう	d͡z ẽ̞ ɲ̟ t͡ɕ ɨᵝː
せんちょう	s ẽ̞ ɲ̟ t͡ɕ o̞ː
ぜんちょう	d͡z ẽ̞ ɲ̟ t͡ɕ o̞ː
せんてい	s ẽ̞ n t e̞ː
ぜんてい	d͡z ẽ̞ n t e̞ː
せんてつ	s ẽ̞ n t e̞ t͡s ɨᵝ
センテナリアン	s ẽ̞ n t e̞ n a̠ ɾʲ i ã̠ ɴ
せんてん	s ẽ̞ n t ẽ̞ ɴ
せんてん	s ẽ̞ n t ẽ̞ ɴ
センテンス	s ẽ̞ n t ẽ̞ ɰ̃ s ɨᵝ
せんてんせい	s ẽ̞ n t ẽ̞ ɰ̃ s e̞ː
せんてんてき	s ẽ̞ n t ẽ̞ n t e̞ kʲ i
せんでん	s ẽ̞ n d ẽ̞ ɴ
セント	s ẽ̞ n t o̞
せんと	s ẽ̞ n t o̞
ぜんと	d͡z ẽ̞ n t o̞
せんとう	s ẽ̞ n t o̞ː
せんとう	s ẽ̞ n t o̞ː
せんとう	s ẽ̞ n t o̞ː
ぜんとう	d͡z ẽ̞ n t o̞ː
せんとうき	s ẽ̞ n t o̞ː kʲ i
せんとうふく	s ẽ̞ n t o̞ː ɸ ɯ̟ᵝ k ɯ̟ᵝ
ぜんとうよう	d͡z ẽ̞ n t o̞ː j o̞ː
セントジョージズ	s ẽ̞ n t o̞ ʑ o̞ː ʑ i z ɨᵝ
ぜんとようよう	d͡z ẽ̞ n t o̞ j o̞ː j o̞ː
セントルシア	s ẽ̞ n t o̞ ɾ ɯ̟ᵝ ɕ i a̠
せんど	s ẽ̞ n d o̞
ぜんど	d͡z ẽ̞ n d o̞
やまみち	j a̠ m a̠ mʲ i t͡ɕ i
せんどうおおくしてふねやまにのぼる	s ẽ̞ n d o̞ː o̞ː k ɯ̟ᵝ ɕ i t e̞ ɸ ɯ̟ᵝ n e̞ j a̠ m a̠ ɲ̟ i n o̞ b o̞ ɾ ɯ̟ᵝ
せんにゅう	s ẽ̞ ɲ̟ ɲ̟ ɯ̟ᵝː
ぜんにん	d͡z ẽ̞ ɲ̟ ɲ̟ ĩ ɴ
せんぬき	s ẽ̞ nː ɯ̟ᵝ kʲ i
せんねん	s ẽ̞ nː ẽ̞ ɴ
せんねん	s ẽ̞ nː ẽ̞ ɴ
ぜんねん	d͡z ẽ̞ nː ẽ̞ ɴ
せんのう	s ẽ̞ nː o̞ː
ぜんはん	d͡z ẽ̞ ɰ̃ h ã̠ ɴ
せんば	s ẽ̞ m b a̠
せんばい	s ẽ̞ m b a̠ i
せんばづる	s ẽ̞ m b a̠ z ɨᵝ ɾ ɯ̟ᵝ
せんまん	s ẽ̞ mː ã̠ ɴ
せんばん	s ẽ̞ m b ã̠ ɴ
せんばんちょうじゃ	s ẽ̞ m b ã̠ ɲ̟ t͡ɕ o̞ː ʑ a̠
せんぱい	s ẽ̞ m p a̠ i
ぜんぱい	d͡z ẽ̞ m p a̠ i
ぜんぶ	d͡z ẽ̞ m b ɯ̟ᵝ
ぜんぶん	d͡z ẽ̞ m b ɯ̟̃ᵝ ɴ
せんぷ	s ẽ̞ m p ɯ̟ᵝ
せんぷ	s ẽ̞ m p ɯ̟ᵝ
ぜんぷ	d͡z ẽ̞ m p ɯ̟ᵝ
つむじ	t͡s ɨᵝ m ɯ̟ᵝ ʑ i
せんぷうき	s ẽ̞ m p ɯ̟ᵝː kʲ i
せんぷく	s ẽ̞ m p ɯ̟ᵝ k ɯ̟ᵝ
せんべい	s ẽ̞ m b e̞ː
せんべつ	s ẽ̞ m b e̞ t͡s ɨᵝ
ぜんぺん	d͡z ẽ̞ m p ẽ̞ ɴ
せんぺんいちりつ	s ẽ̞ m p ẽ̞ ɰ̃ i t͡ɕ i ɾʲ i t͡s ɨᵝ
せんぺんばんか	s ẽ̞ m p ẽ̞ m b ã̠ ŋ k a̠
ぜんぼう	d͡z ẽ̞ m b o̞ː
せんぼうきょう	s ẽ̞ m b o̞ː kʲ o̞ː
せんぽう	s ẽ̞ m p o̞ː
せんぽう	s ẽ̞ m p o̞ː
ぜんぽう	d͡z ẽ̞ m p o̞ː
ぜんまい	d͡z ẽ̞ mː a̠ i
せんみょうがき	s ẽ̞ mʲː o̞ː ɡ a̠ kʲ i
せんみん	s ẽ̞ mʲː ĩ ɴ
せんめい	s ẽ̞ mː e̞ː
せんめつ	s ẽ̞ mː e̞ t͡s ɨᵝ
ぜんめつ	d͡z ẽ̞ mː e̞ t͡s ɨᵝ
せんもう	s ẽ̞ mː o̞ː
ぜんもう	d͡z ẽ̞ mː o̞ː
せんもん	s ẽ̞ mː õ̞ ɴ
ぜんもん	d͡z ẽ̞ mː õ̞ ɴ
せんもんがい	s ẽ̞ mː õ̞ ŋ ɡ a̠ i
せんもんてん	s ẽ̞ mː õ̞ n t ẽ̞ ɴ
せんもんバカ	s ẽ̞ mː õ̞ m b a̠ k a̠
ぜんや	d͡z ẽ̞ ɰ̃ j a̠
せんやく	s ẽ̞ ɰ̃ j a̠ k ɯ̟ᵝ
ぜんやく	d͡z ẽ̞ ɰ̃ j a̠ k ɯ̟ᵝ
ぜんやさい	d͡z ẽ̞ ɰ̃ j a̠ s a̠ i
せんようブラウザ	s ẽ̞ ɰ̃ j o̞ː b ɯ̟ᵝ ɾ a̠ ɯ̟ᵝ z a̠
せんらん	s ẽ̞ n ɾ ã̠ ɴ
せんりがん	s ẽ̞ n ɾʲ i ɡ ã̠ ɴ
ぜんりつせん	d͡z ẽ̞ n ɾʲ i t͡s ɨ̥ᵝ s ẽ̞ ɴ
ぜんりつせんがん	d͡z ẽ̞ n ɾʲ i t͡s ɨ̥ᵝ s ẽ̞ ŋ ɡ ã̠ ɴ
せんりひん	s ẽ̞ n ɾʲ i ç ĩ ɴ
せんりゃく	s ẽ̞ n ɾʲ a̠ k ɯ̟ᵝ
せんりゃく	s ẽ̞ n ɾʲ a̠ k ɯ̟ᵝ
ぜんりゃく	d͡z ẽ̞ n ɾʲ a̠ k ɯ̟ᵝ
せんりゃくか	s ẽ̞ n ɾʲ a̠ k ɯ̟ᵝ k a̠
せんりょうやくしゃ	s ẽ̞ n ɾʲ o̞ː j a̠ k ɯ̟ᵝ ɕ a̠
ぜんりょく	d͡z ẽ̞ n ɾʲ o̞ k ɯ̟ᵝ
せんれい	s ẽ̞ n ɾ e̞ː
せんれい	s ẽ̞ n ɾ e̞ː
ぜんれい	d͡z ẽ̞ n ɾ e̞ː
そ	s o̞
ソ	s o̞
そ	s o̞
そ	s o̞
ころも	k o̞ ɾ o̞ m o̞
ぞ	d͡z o̞
ゾ	d͡z o̞
そい	s o j
しょい	ɕ o̞ i
ぞい	d͡z o̞ i
そいね	s o̞ i n e̞
そう	s o̞ː
ふた	ɸ ɯ̟ᵝ t a̠
かばね	k a̠ b a̠ n e̞
そう	s o̞ː
そう	s o̞ ɯ̟ᵝ
さが	s a̠ ɡ a̠
しょう	ɕ o̞ː
こと	k o̞ t o̞
そう	s o̞ː
わらじ	ɰᵝ a̠ ɾ a̠ ʑ i
ぞうあざらし	d͡z o̞ː a̠ z a̠ ɾ a̠ ɕ i
そうあん	s o̞ː ã̠ ɴ
そういう	s o̞ː i ɯ̟ᵝ
そういえば	s o̞ː i e̞ b a̠
そういくふう	s o̞ː i k ɯ̟ᵝ ɸ ɯ̟ᵝː
そういてん	s o̞ː i t ẽ̞ ɴ
そういや	s o̞ː i j a̠
そういん	s o̞ː ĩ ɴ
そういん	s o̞ː ĩ ɴ
そううけ	s o̞ː ɯ̟ᵝ k e̞
そううつ	s o̞ː ɯ̟ᵝ t͡s ɨᵝ
そううつびょう	s o̞ː ɯ̟ᵝ t͡s ɨᵝ bʲ o̞ː
そううん	s o̞ː ɯ̟̃ᵝ ɴ
ぞうえん	d͡z o̞ː ẽ̞ ɴ
ぞうお	d͡z o̞ː o̞
ぞうおひょうげん	d͡z o̞ː o̞ ç o̞ː ɡ ẽ̞ ɴ
そうおん	s o̞ː õ̞ ɴ
くさばな	k ɯ̟̊ᵝ s a̠ b a̠ n a̠
そうか	s o̞ː k a̠
ぞうか	d͡z o̞ː k a̠
そうかい	s o̞ː k a̠ i
そうかい	s o̞ː k a̠ i
そうかい	s o̞ː k a̠ i
そうかい	s o̞ː k a̠ i
そうかい	s o̞ː k a̠ i
そうかい	s o̞ː k a̠ i
そうかい	s o̞ː k a̠ i
そうかいそうでん	s o̞ː k a̠ i s o̞ː d ẽ̞ ɴ
そうかいへんじてそうでんとなる	s o̞ː k a̠ i h ẽ̞ ɲ̟ d͡ʑ i t e̞ s o̞ː d ẽ̞ n t o̞ n a̠ ɾ ɯ̟ᵝ
ぞうかく	d͡z o̞ː k a̠ k ɯ̟ᵝ
そうかん	s o̞ː k ã̠ ɴ
そうかい	s o̞ː k a̠ i
そうがく	s o̞ː ɡ a̠ k ɯ̟ᵝ
ぞうがく	d͡z o̞ː ɡ a̠ k ɯ̟ᵝ
ぞうがめ	d͡z o̞ː ɡ a̠ m e̞
そうがんきょう	s o̞ː ɡ ã̠ ŋʲ kʲ o̞ː
そうき	s o̞ː kʲ i
そうき	s o̞ː kʲ i
ぞうき	d͡z o̞ː kʲ i
そうきもん	s o̞ː kʲ i m õ̞ ɴ
そうきゅう	s o̞ː kʲ ɨᵝː
そうきょくせいしょうがい	s o̞ː kʲ o̞ k ɯ̟̊ᵝ s e̞ː ɕ o̞ː ɡ a̠ i
そうきょくせん	s o̞ː kʲ o̞ k ɯ̟̊ᵝ s ẽ̞ ɴ
ぞうきん	d͡z o̞ː kʲ ĩ ɴ
そうぎ	s o̞ː ɡʲ i
そうぎ	s o̞ː ɡʲ i
そうぎ	s o̞ː ɡʲ i
そうぎや	s o̞ː ɡʲ i j a̠
そうぎょきゅう	s o̞ː ɡʲ o̞ kʲ ɨᵝː
そうぐう	s o̞ː ɡ ɯ̟ᵝː
そうけい	s o̞ː k e̞ː
ぞうけい	d͡z o̞ː k e̞ː
ぞうけつ	d͡z o̞ː k e̞ t͡s ɨᵝ
そうけん	s o̞ː k ẽ̞ ɴ
ぞうげ	d͡z o̞ː ɡ e̞
そうげい	s o̞ː ɡ e̞ː
ぞうげしつ	d͡z o̞ː ɡ e̞ ɕ i̥ t͡s ɨᵝ
しもつき	ɕ i m o̞ t͡s ɨ̥ᵝ kʲ i
そうこう	s o̞ː k o̞ː
そうこう	s o̞ː k o̞ː
そうぜめ	s o̞ː k o̞ː ɡ e̞ kʲ i
そうこうのつま	s o̞ː k o̞ː n o̞ t͡s ɨᵝ m a̠
そうこばん	s o̞ː k o̞ b ã̠ ɴ
そうご	s o̞ː ɡ o̞
ぞうご	d͡z o̞ː ɡ o̞
ぞうごん	d͡z o̞ː ɡ õ̞ ɴ
そうさ	s o̞ː s a̠
そうさ	s o̞ː s a̠
そうさく	s o̞ː s a̠ k ɯ̟ᵝ
そうさせい	s o̞ː s a̠ s e̞ː
ぞうさつ	d͡z o̞ː s a̠ t͡s ɨᵝ
そうざい	s o̞ː z a̠ i
そうし	s o̞ː ɕ i
そうしき	s o̞ː ɕ i kʲ i
そうしき	s o̞ː ɕ i kʲ i
そうしきゅう	s o̞ː ɕ i̥ kʲ ɨᵝː
そうしたら	s o̞ː ɕ i t a̠ ɾ a̠
そうしちょう	s o̞ː ɕ i t͡ɕ o̞ː
そうして	s o̞ː ɕ i̥ t e̞
そうしゅ	s o̞ː ɕ ɨᵝ
ぞうしゅうわい	d͡z o̞ː ɕ ɨᵝː ɰᵝ a̠ i
そうしゅけん	s o̞ː ɕ ɨᵝ k ẽ̞ ɴ
そうしょ	s o̞ː ɕ o̞
そうしょ	s o̞ː ɕ o̞
ぞうしょ	d͡z o̞ː ɕ o̞
そうしょう	s o̞ː ɕ o̞ː
そうしょう	s o̞ː ɕ o̞ː
そうしょう	s o̞ː ɕ o̞ː
そうしょう	s o̞ː ɕ o̞ː
そうせい	s o̞ː s e̞ː
そうしょう	s o̞ː ɕ o̞ː
そうしょう	s o̞ː ɕ o̞ː
そうしょう	s o̞ː ɕ o̞ː
ぞうしょう	d͡z o̞ː ɕ o̞ː
そうしょく	s o̞ː ɕ o̞ k ɯ̟ᵝ
そうしょくせい	s o̞ː ɕ o̞ k ɯ̟ᵝ s e̞ː
そうしょくどうぶつ	s o̞ː ɕ o̞ k ɯ̟ᵝ d o̞ː b ɯ̟ᵝ t͡s ɨᵝ
ぞうしん	d͡z o̞ː ɕ ĩ ɴ
そうじ	s o̞ː ʑ i
そうじき	s o̞ː ʑ i kʲ i
そうじふ	s o̞ː ʑ i ɸ ɯ̟ᵝ
そうじゅう	s o̞ː ʑ ɨᵝː
そうじゅうかん	s o̞ː ʑ ɨᵝː k ã̠ ɴ
そうじゅうし	s o̞ː ʑ ɨᵝː ɕ i
そうしょう	s o̞ː ɕ o̞ː
そうじょうがんどうりゅうかてっこうこうしょう	s o̞ː ʑ o̞ː ɡ ã̠ n d o̞ː ɾʲ ɨᵝː k a̠ t e̞ k̚ k o̞ː k o̞ː ɕ o̞ː
そうず	s o̞ː z ɨᵝ
そうず	s o̞ː z ɨᵝ
そうず	s o̞ː z ɨᵝ
そうせい	s o̞ː s e̞ː
そうせいき	s o̞ː s e̞ː kʲ i
そうせきうん	s o̞ː s e̞ kʲ i ɯ̟̃ᵝ ɴ
ぞうせつ	d͡z o̞ː s e̞ t͡s ɨᵝ
そうぜめ	s o̞ː z e̞ m e̞
ぞうせん	d͡z o̞ː s ẽ̞ ɴ
そうそう	s o̞ː s o̞ː
そうそう	s o̞ː s o̞ː
そうそう	s o̞ː s o̞ː
そうそう	s o̞ː s o̞ː
そうそう	s o̞ː s o̞ː
そうそう	s o̞ː s o̞ː
そうそう	s o̞ː s o̞ː
そうそう	s o̞ː s o̞ː
そうそう	s o̞ː s o̞ː
そうそう	s o̞ː s o̞ː
そうそう	s o̞ː s o̞ː
そうそう	s o̞ː s o̞ː
そうそう	s o̞ː s o̞ː
そうそう	s o̞ː s o̞ː
そうそう	s o̞ː s o̞ː
そうそう	s o̞ː s o̞ː
そうそう	s o̞ː s o̞ː
そうそう	s o̞ː s o̞ː
そうそうふいつ	s o̞ː s o̞ː ɸ ɯ̟ᵝ i t͡s ɨᵝ
そうぞう	s o̞ː z o̞ː
そうぞうがつく	s o̞ː z o̞ː ɡ a̠ t͡s ɨᵝ k ɯ̟ᵝ
そうぞうしい	s o̞ː z o̞ː ɕ i i
そうぞうしゅ	s o̞ː z o̞ː ɕ ɨᵝ
そうぞうせい	s o̞ː z o̞ː s e̞ː
そうぞうてき	s o̞ː z o̞ː t e̞ kʲ i
そうた	s o̞ː t a̠
あいたい	a̠ i t a̠ i
そうたいしつど	s o̞ː t a̠ i ɕ i t͡s ɨᵝ d o̞
そうたいせい	s o̞ː t a̠ i s e̞ː
そうたいせいりろん	s o̞ː t a̠ i s e̞ː ɾʲ i ɾ õ̞ ɴ
そうたいてき	s o̞ː t a̠ i t e̞ kʲ i
そうたいろん	s o̞ː t a̠ i ɾ õ̞ ɴ
そうだい	s o̞ː d a̠ i
そうだつ	s o̞ː d a̠ t͡s ɨᵝ
そうだつせん	s o̞ː d a̠ t͡s ɨ̥ᵝ s ẽ̞ ɴ
そうだん	s o̞ː d ã̠ ɴ
そうち	s o̞ː t͡ɕ i
そうちょう	s o̞ː t͡ɕ o̞ː
そうちょう	s o̞ː t͡ɕ o̞ː
そうですね	s o̞ː d e̞ s ɨᵝ ̥ n e̞
そうでん	s o̞ː d ẽ̞ ɴ
そうでん	s o̞ː d ẽ̞ ɴ
そうでんそうかい	s o̞ː d ẽ̞ ɰ̃ s o̞ː k a̠ i
そうでんへきかい	s o̞ː d ẽ̞ ɰ̃ h e̞ kʲ i k a̠ i
そうでんへんじてそうかいとなる	s o̞ː d ẽ̞ ɰ̃ h ẽ̞ ɲ̟ d͡ʑ i t e̞ s o̞ː k a̠ i t o̞ n a̠ ɾ ɯ̟ᵝ
そうとう	s o̞ː t o̞ː
ぞうとう	d͡z o̞ː t o̞ː
そうとく	s o̞ː t o̞ k ɯ̟ᵝ
そうとくふ	s o̞ː t o̞ k ɯ̟ᵝ ɸ ɯ̟ᵝ
そうどく	s o̞ː d o̞ k ɯ̟ᵝ
ぞうに	d͡z o̞ː ɲ̟ i
そうにょう	s o̞ː ɲ̟ o̞ː
そうにょう	s o̞ː ɲ̟ o̞ː
そうねぇ	s o̞ː n e̞ː
そうは	s o̞ː h a̠
そうはつき	s o̞ː h a̠ t͡s ɨᵝ kʲ i
ばら	b a̠ ɾ a̠
そうび	s o̞ː bʲ i
そうびょう	s o̞ː bʲ o̞ː
ぞうふく	d͡z o̞ː ɸ ɯ̟̊ᵝ k ɯ̟ᵝ
ぞうふくき	d͡z o̞ː ɸ ɯ̟̊ᵝ k ɯ̟ᵝ kʲ i
あやめ	a̠ j a̠ m e̞
そうへき	s o̞ː h e̞ kʲ i
まどべ	m a̠ d o̞ b e̞
そうべつ	s o̞ː b e̞ t͡s ɨᵝ
そうほう	s o̞ː h o̞ː
ぞうほう	d͡z o̞ː h o̞ː
そうほん	s o̞ː h õ̞ ɴ
そうほんざん	s o̞ː h õ̞ n d͡z ã̠ ɴ
そうぼう	s o̞ː b o̞ː
そうまとう	s o̞ː m a̠ t o̞ː
そうみ	s o̞ː mʲ i
ぞうむし	d͡z o̞ː m ɯ̟ᵝ ɕ i
そうめい	s o̞ː m e̞ː
そうめいきょく	s o̞ː m e̞ː kʲ o̞ k ɯ̟ᵝ
くさき	k ɯ̟̊ᵝ s a̠ kʲ i
そうゆう	s o̞ː j ɯ̟ᵝː
そうらい	s o̞ː ɾ a̠ i
そうらん	s o̞ː ɾ ã̠ ɴ
ぞうり	d͡z o̞ː ɾʲ i
そうりきょうせい	s o̞ː ɾʲ i kʲ o̞ː s e̞ː
ぞうりむし	d͡z o̞ː ɾʲ i m ɯ̟ᵝ ɕ i
そうりょ	s o̞ː ɾʲ o̞
そうりょうじかん	s o̞ː ɾʲ o̞ː ʑ i k ã̠ ɴ
ソウル	s o̞ ɯ̟ᵝ ɾ ɯ̟ᵝ
そうろ	s o̞ː ɾ o̞
こう	k o̞ː
そうろうぶん	s o̞ː ɾ o̞ː b ɯ̟̃ᵝ ɴ
そうわ	s o̞ː ɰᵝ a̠
ぞえ	d͡z o̞ e̞
そえる	s o̞ e̞ ɾ ɯ̟ᵝ
ソーイングセット	s o̞ː ĩ ŋ ɡ ɯ̟ᵝ s e̞ t̚ t o̞
ソーサー	s o̞ː s a̠ː
ソーシャルメディア	s o̞ː ɕ a̠ ɾ ɯ̟ᵝ m e̞ dʲ i a̠
ソースコード	s o̞ː s ɨᵝ ̥ k o̞ː d o̞
ソーズ	s o̞ː z ɨᵝ
ソーセージ	s o̞ː s e̞ː ʑ i
ソーダ	s o̞ː d a̠
ソーダすい	s o̞ː d a̠ s ɨᵝ i
ソード	s o̞ː d o̞
ゾービング	d͡z o̞ː bʲ ĩ ŋ ɡ ɯ̟ᵝ
ソール	s o̞ː ɾ ɯ̟ᵝ
ソカ	s o̞ k a̠
そがい	s o̞ ɡ a̠ i
そき	s o̞ kʲ i
そき	s o̞ kʲ i
がわ	ɡ a̠ ɰᵝ a̠
そく	s o̞ k ɯ̟ᵝ
たば	t a̠ b a̠
あし	a̠ ɕ i
ひく	ç i̥ k ɯ̟ᵝ
ぞく	d͡z o̞ k ɯ̟ᵝ
ぞく	d͡z o̞ k ɯ̟ᵝ
ぞく	d͡z o̞ k ɯ̟ᵝ
ぞく	d͡z o̞ k ɯ̟ᵝ
そくあつ	s o̞ k ɯ̟ᵝ a̠ t͡s ɨᵝ
そくい	s o̞ k ɯ̟ᵝ i
そくいき	s o̞ k ɯ̟ᵝ i kʲ i
ぞくぐん	d͡z o̞ k ɯ̟ᵝ ɡ ɯ̟̃ᵝ ɴ
ぞくしゅつ	d͡z o̞ k ɯ̟ᵝ ɕ ɨᵝ t͡s ɨᵝ
ぞくしょう	d͡z o̞ k ɯ̟ᵝ ɕ o̞ː
そくじ	s o̞ k ɯ̟ᵝ ʑ i
そくじょ	s o̞ k ɯ̟ᵝ ʑ o̞
そくす	s o̞ k ɯ̟ᵝ s ɨᵝ
ぞくす	d͡z o̞ k ɯ̟ᵝ s ɨᵝ
ぞくする	d͡z o̞ k ɯ̟ᵝ s ɨᵝ ɾ ɯ̟ᵝ
そくず	s o̞ k ɯ̟ᵝ z ɨᵝ
ぞくせ	d͡z o̞ k ɯ̟ᵝ s e̞
ぞくせい	d͡z o̞ k ɯ̟ᵝ s e̞ː
そくせき	s o̞ k ɯ̟ᵝ s e̞ kʲ i
あしあと	a̠ ɕ i a̠ t o̞
そくせき	s o̞ k ɯ̟ᵝ s e̞ kʲ i
ぞくせつ	d͡z o̞ k ɯ̟ᵝ s e̞ t͡s ɨᵝ
そくせんりょく	s o̞ k ɯ̟ᵝ s ẽ̞ n ɾʲ o̞ k ɯ̟ᵝ
ぞくぞく	d͡z o̞ k ɯ̟ᵝ z o̞ k ɯ̟ᵝ
そくとう	s o̞ k ɯ̟ᵝ t o̞ː
そくとう	s o̞ k ɯ̟ᵝ t o̞ː
そくとうこつ	s o̞ k ɯ̟ᵝ t o̞ː k o̞ t͡s ɨᵝ
そくとうよう	s o̞ k ɯ̟ᵝ t o̞ː j o̞ː
そくど	s o̞ k ɯ̟ᵝ d o̞
そくどく	s o̞ k ɯ̟ᵝ d o̞ k ɯ̟ᵝ
そくどくじゅつ	s o̞ k ɯ̟ᵝ d o̞ k ɯ̟ᵝ ʑ ɨᵝ t͡s ɨᵝ
そくなん	s o̞ k ɯ̟ᵝ n ã̠ ɴ
そくはつ	s o̞ k ɯ̟ᵝ h a̠ t͡s ɨᵝ
そくはつ	s o̞ k ɯ̟̊ᵝ h a̠ t͡s ɨᵝ
そくばい	s o̞ k ɯ̟ᵝ b a̠ i
そくばいかい	s o̞ k ɯ̟ᵝ b a̠ i k a̠ i
ぞくへん	d͡z o̞ k ɯ̟̊ᵝ h ẽ̞ ɴ
そくほう	s o̞ k ɯ̟̊ᵝ h o̞ː
そくめんおん	s o̞ k ɯ̟ᵝ m ẽ̞ ɰ̃ õ̞ ɴ
そくや	s o̞ k ɯ̟ᵝ j a̠
そくびょうい	s o̞ k ɯ̟ᵝ j o̞ː i
ぞくらく	d͡z o̞ k ɯ̟ᵝ ɾ a̠ k ɯ̟ᵝ
ソクラテス	s o̞ k ɯ̟ᵝ ɾ a̠ t e̞ s ɨᵝ
そくりょう	s o̞ k ɯ̟ᵝ ɾʲ o̞ː
そくレス	s o̞ k ɯ̟ᵝ ɾ e̞ s ɨᵝ
ぞくわ	d͡z o̞ k ɯ̟ᵝ ɰᵝ a̠
そぐ	s o̞ ɡ ɯ̟ᵝ
そぐ	s o̞ ɡ ɯ̟ᵝ
そけい	s o̞ k e̞ː
そけい	s o̞ k e̞ː
そけい	s o̞ k e̞ː
そけい	s o̞ k e̞ː
そけいかん	s o̞ k e̞ː k ã̠ ɴ
