а	ɑ
охоронець	ɔ x ɔ r ɔ n e t͡sʲ
оце	ɔ t͡s ɛ
оцей	ɔ t͡s ɛ i̯
оцет	ɔ t͡s e t
оцим	ɔ t͡s ɪ m
оцими	ɔ t͡s ɪ m e
оцих	ɔ t͡s ɪ x
оцього	ɔ t͡sʲ ɔ ɦ ɔ
оцьому	ɔ t͡sʲ o m u
оцю	o t͡sʲ u
оця	ɔ t͡sʲ ɑ
оці	o t͡sʲ i
оцій	o t͡sʲ i i̯
оцім	o t͡sʲ i m
оцінка	o t͡sʲ i n k ɐ
оцією	ɔ t͡sʲ i j ɛ j ʊ
оцієї	ɔ t͡sʲ i j ɛ j i
очерет	ɔ t͡ʃ e r ɛ t
очиці	ɔ t͡ʃ ɪ t͡sʲ i
очко	ɔ t͡ʃ k ɔ
очі	ɔ t͡ʃʲ i
очікувати	o t͡ʃʲ i k ʊ ʋ ɐ t e
оштрафувати	ɔ ʃ t r ɐ f ʊ ʋ ɑ t e
п'ядун	p j ɐ d u n
п'яний	p j ɑ n e i̯
п'ята	p j ɐ t ɑ
п'ята	p j ɑ t ɐ
п'ятдесят	p j ɐ d d e sʲ ɑ t
п'ятдесятий	p j ɐ d d e sʲ ɑ t e i̯
п'ятеро	p j ɑ t e r ɔ
п'ятий	p j ɑ t e i̯
п'ятнадцятий	p j ɐ t n ɑ d͡zʲ t͡sʲ ɐ t e i̯
п'ятнадцять	p j ɐ t n ɑ d͡zʲ t͡sʲ ɐ tʲ
п'ятниця	p j ɑ t n e t͡sʲ ɐ
п'ятсот	p j ɐ t͡s ɔ t
п'ять	p j ɑ tʲ
п'єса	p j ɛ s ɐ
павич	p ɐ ʋ ɪ t͡ʃ
павук	p ɐ w u k
падати	p ɑ d ɐ t e
пазл	p ɑ z ɫ
пакет	p ɐ k ɛ t
пакистан	p ɐ k e s t ɑ n
паламар	p ɐ ɫ ɐ m ɑ r
палац	p ɐ ɫ ɑ t͡s
палестина	p ɐ ɫ e s t ɪ n ɐ
палець	p ɑ ɫ e t͡sʲ
паливо	p ɑ ɫ e w ɔ
палити	p ɐ ɫ ɪ t e
палиця	p ɑ ɫ e t͡sʲ ɐ
палка	p ɑ ɫ k ɐ
палтус	p ɑ ɫ t ʊ s
палітурник	p ɐ lʲ i t u r n e k
пам'ятати	p ɐ m j ɐ t ɑ t e
пам'ятник	p ɑ m j ɐ t n e k
пам'ять	p ɑ m j ɐ tʲ
паморозь	p ɑ m ɔ r ɔ zʲ
пан	p ɑ n
панас	p ɐ n ɑ s
пандемічний	p ɐ n d e mʲ i t͡ʃ n e i̯
пандемія	p ɐ n d e mʲ i j ɐ
панпсихізм	p ɐ n p s e xʲ i z m
панство	p ɑ n s t w ɔ
панчоха	p ɐ n t͡ʃ ɔ x ɐ
пані	p ɑ nʲ i
паніка	p ɑ nʲ i k ɐ
панікер	p ɐ nʲ i k ɛ r
панікерство	p ɐ nʲ i k ɛ r s t w ɔ
папуга	p ɐ p u ɦ ɐ
папір	p ɐ pʲ i r
пара	p ɑ r ɐ
парада	p ɐ r ɑ d ɐ
паралель	p ɐ r ɐ ɫ ɛ lʲ
паралельний	p ɐ r ɐ ɫ ɛ lʲ n e i̯
парасолька	p ɐ r ɐ s ɔ lʲ k ɐ
парашут	p ɐ r ɐ ʃ u t
парашутизм	p ɐ r ɐ ʃ ʊ t ɪ z m
париж	p ɐ r ɪ ʒ
парк	p ɑ r k
парламент	p ɐ r ɫ ɑ m e n t
паровоз	p ɐ r ɔ w ɔ z
пароль	p ɐ r ɔ lʲ
пароплав	p ɐ r ɔ p ɫ ɑ u̯
парта	p ɑ r t ɐ
партнер	p ɐ r t n ɛ r
партійний	p ɐ r tʲ i i̯ n e i̯
партія	p ɑ r tʲ i j ɐ
парубок	p ɑ r ʊ b ɔ k
парша	p ɑ r ʃ ɐ
парші	p ɑ r ʃʲ i
пасажир	p ɐ s ɐ ʒ ɪ r
пасажирка	p ɐ s ɐ ʒ ɪ r k ɐ
пасивний	p ɐ s ɪ u̯ n e i̯
паспорт	p ɑ s p ɔ r t
пастернак	p ɐ s t e r n ɑ k
пасти	p ɑ s t e
патруль	p ɐ t r u lʲ
пацалунак	p ɐ t͡s ɐ ɫ u n ɐ k
пацюк	p ɐ t͡sʲ u k
певний	p ɛ u̯ n e i̯
педагогіка	p e d ɐ ɦ ɔ ɦʲ i k ɐ
пекар	p ɛ k ɐ r
пекарка	p ɛ k ɐ r k ɐ
пекарня	p e k ɑ r nʲ ɐ
пекло	p ɛ k ɫ ɔ
пекти	p e k t ɪ
пекін	p e kʲ i n
пелюшка	p e lʲ u ʃ k ɐ
пензель	p ɛ n z e lʲ
пенсильванія	p e n s e lʲ ʋ ɑ nʲ i j ɐ
пенсія	p ɛ nʲ sʲ i j ɐ
пень	p ɛ nʲ
пеніс	p ɛ nʲ i s
перга	p e r ɦ ɑ
пердіти	p e r dʲ i t e
перебудова	p e r e b ʊ d ɔ ʋ ɐ
перевага	p e r e ʋ ɑ ɦ ɐ
переговори	p e r e ɦ ɔ w ɔ r e
перед	p e r ɛ d
перед	p ɛ r e d
передбачати	p e r e d b ɐ t͡ʃ ɑ t e
передбачити	p e r e d b ɑ t͡ʃ e t e
переддень	p e r e dː ɛ nʲ
передмістя	p e r e dʲ mʲ i sʲ tʲ ɐ
передній	p e r ɛ dʲ nʲ i i̯
передова	p e r e d ɔ ʋ ɑ
передовий	p e r e d ɔ ʋ ɪ i̯
передчуття	p e r e d͡ʒ t͡ʃ ʊ tʲː ɑ
переклад	p e r ɛ k ɫ ɐ d
перекладати	p e r e k ɫ ɐ d ɑ t e
перекладач	p e r e k ɫ ɐ d ɑ t͡ʃ
перекласти	p e r e k ɫ ɑ s t e
перемир'я	p e r e m ɪ r j ɐ
перемога	p e r e m ɔ ɦ ɐ
перепрошую	p e r e p r ɔ ʃ ʊ j ʊ
перервати	p e r e r ʋ ɑ t e
переривати	p e r e r e ʋ ɑ t e
пересічний	p e r e sʲ i t͡ʃ n e i̯
пересічний	p e r e sʲ i t͡ʃ n ɪ i̯
перетинка	p e r ɛ t e n k ɐ
перехід	p e r e xʲ i d
перехідний	p e r e xʲ i d n ɪ i̯
перець	p ɛ r e t͡sʲ
перешийок	p e r e ʃ ɪ j ɔ k
перо	p e r ɔ
перса	p ɛ r s ɐ
персефона	p e r s e f ɔ n ɐ
персидський	p e r s ɪ d͡zʲ sʲ k e i̯
перспектива	p e r s p e k t ɪ ʋ ɐ
перстень	p ɛ r s t e nʲ
перський	p ɛ r sʲ k e i̯
персія	p ɛ r sʲ i j ɐ
перукар	p e r ʊ k ɑ r
перукарня	p e r ʊ k ɑ r nʲ ɐ
перший	p ɛ r ʃ e i̯
першокласний	p e r ʃ ɔ k ɫ ɑ s n e i̯
першомученик	p e r ʃ o m u t͡ʃ e n e k
першомучениця	p e r ʃ o m u t͡ʃ e n e t͡sʲ ɐ
першість	p ɛ r ʃʲ i sʲ tʲ
період	p e rʲ i ɔ d
періодичний	p e rʲ i ɔ d ɪ t͡ʃ n e i̯
періодично	p e rʲ i ɔ d ɪ t͡ʃ n ɔ
періодичність	p e rʲ i ɔ d ɪ t͡ʃ nʲ i sʲ tʲ
пес	p ɛ s
петро	p e t r ɔ
печера	p e t͡ʃ ɛ r ɐ
печінка	p e t͡ʃʲ i n k ɐ
пиво	p ɪ w ɔ
пивовар	p e w ɔ ʋ ɑ r
пивоварство	p e w ɔ ʋ ɑ r s t w ɔ
пизда	p e z d ɑ
пил	p ɪ ɫ
пилосос	p e ɫ ɔ s ɔ s
пиріг	p e rʲ i ɦ
писанка	p ɪ s ɐ n k ɐ
писар	p ɪ s ɐ r
писати	p e s ɑ t e
письменний	p e sʲ m ɛ nː e i̯
письменник	p e sʲ m ɛ nː e k
письменниць	p e sʲ m ɛ nː e t͡sʲ
письменниця	p e sʲ m ɛ nː e t͡sʲ ɐ
письменниці	p e sʲ m ɛ nː e t͡sʲ i
письменність	p e sʲ m ɛ nʲː i sʲ tʲ
письмо	p e sʲ m ɔ
питальний	p e t ɑ lʲ n e i̯
питання	p e t ɑ nʲː ɐ
питати	p e t ɑ t e
пити	p ɪ t e
питний	p e t n ɪ i̯
пиття	p e tʲː ɑ
плавати	p ɫ ɑ ʋ ɐ t e
плазун	p ɫ ɐ z u n
плакат	p ɫ ɐ k ɑ t
плакати	p ɫ ɐ k ɑ t e
плакати	p ɫ ɑ k ɐ t e
план	p ɫ ɑ n
планета	p ɫ ɐ n ɛ t ɐ
плантація	p ɫ ɐ n t ɑ t͡sʲ i j ɐ
планувати	p ɫ ɐ n ʊ ʋ ɑ t e
плата	p ɫ ɑ t ɐ
платити	p ɫ ɐ t ɪ t e
платний	p ɫ ɑ t n e i̯
платформа	p ɫ ɐ t f ɔ r m ɐ
плахта	p ɫ ɑ x t ɐ
плач	p ɫ ɑ t͡ʃ
плащ	p ɫ ɑ ʃ t͡ʃ
плем'я	p ɫ ɛ m j ɐ
пленум	p ɫ ɛ n ʊ m
плести	p ɫ e s t ɪ
плече	p ɫ e t͡ʃ ɛ
плиска	p ɫ ɪ s k ɐ
плисти	p ɫ e s t ɪ
площа	p ɫ ɔ ʃ t͡ʃ ɐ
плуг	p ɫ u ɦ
плутократичний	p ɫ ʊ t ɔ k r ɐ t ɪ t͡ʃ n e i̯
плутократій	p ɫ ʊ t ɔ k r ɑ tʲ i i̯
плутократію	p ɫ ʊ t ɔ k r ɑ tʲ i j ʊ
плутократія	p ɫ ʊ t ɔ k r ɑ tʲ i j ɐ
плутократіям	p ɫ ʊ t ɔ k r ɑ tʲ i j ɐ m
плутократіями	p ɫ ʊ t ɔ k r ɑ tʲ i j ɐ m e
плутократіях	p ɫ ʊ t ɔ k r ɑ tʲ i j ɐ x
плутократіє	p ɫ ʊ t ɔ k r ɑ tʲ i j e
плутократією	p ɫ ʊ t ɔ k r ɑ tʲ i j e j ʊ
плутократії	p ɫ ʊ t ɔ k r ɑ tʲ i j i
плювати	p lʲ ʊ ʋ ɑ t e
пляшка	p lʲ ɑ ʃ k ɐ
плівка	p lʲ i u̯ k ɐ
плід	p lʲ i d
пліт	p lʲ i t
побачити	p ɔ b ɑ t͡ʃ e t e
повезти	p ɔ ʋ e z t ɪ
поверх	p ɔ ʋ e r x
поверхня	p ɔ ʋ ɛ r x nʲ ɐ
повз	p ɔ u̯ z
повзик	p ɔ u̯ z e k
повзти	p ɔ u̯ z t ɪ
повний	p ɔ u̯ n e i̯
повноваження	p ɔ u̯ n ɔ ʋ ɑ ʒ e nʲː ɐ
повозити	p ɔ w ɔ z ɪ t e
повстання	p ɔ u̯ s t ɑ nʲː ɐ
повторити	p ɔ u̯ t ɔ r ɪ t e
повторювати	p ɔ u̯ t ɔ rʲ ʊ ʋ ɐ t e
повторяти	p ɔ u̯ t ɔ rʲ ɑ t e
повх	p ɔ u̯ x
повідати	p ɔ ʋʲ i d ɐ t e
повідомити	p ɔ ʋʲ i d ɔ m e t e
повідомлення	p ɔ ʋʲ i d ɔ m ɫ e nʲː ɐ
повідомляти	p ɔ ʋʲ i d ɔ m lʲ ɑ t e
повік	p ɔ ʋʲ i k
повіка	p ɔ ʋʲ i k ɐ
повікам	p ɔ ʋʲ i k ɐ m
повіками	p ɔ ʋʲ i k ɐ m e
повіках	p ɔ ʋʲ i k ɐ x
повіки	p ɔ ʋʲ i k e
повіко	p ɔ ʋʲ i k ɔ
повікою	p ɔ ʋʲ i k ɔ j ʊ
повіку	p ɔ ʋʲ i k ʊ
повільний	p ɔ ʋʲ i lʲ n e i̯
повільно	p ɔ ʋʲ i lʲ n ɔ
повітря	p ɔ ʋʲ i tʲ rʲ ɐ
повіці	p ɔ ʋʲ i t͡sʲ i
поганий	p ɔ ɦ ɑ n e i̯
погано	p ɔ ɦ ɑ n ɔ
поганяти	p ɔ ɦ ɐ nʲ ɑ t e
поглинати	p ɔ ɦ ɫ e n ɑ t e
поглинути	p ɔ ɦ ɫ e n u t e
поглинути	p ɔ ɦ ɫ ɪ n ʊ t e
погляд	p ɔ ɦ lʲ ɐ d
погляди	p ɔ ɦ lʲ ɐ d e
погнати	p ɔ ɦ n ɑ t e
поговорити	p ɔ ɦ ɔ w ɔ r ɪ t e
погода	p ɔ ɦ ɔ d ɐ
погроза	p ɔ ɦ r ɔ z ɐ
подарунок	p ɔ d ɐ r u n ɔ k
податок	p ɔ d ɑ t ɔ k
подвір'я	p ɔ dʲ ʋʲ i r j ɐ
подивитися	p ɔ d e ʋ ɪ t e sʲ ɐ
подобатися	p ɔ d ɔ b ɐ t e sʲ ɐ
подовження	p ɔ d ɔ u̯ ʒ e nʲː ɐ
подорож	p ɔ d ɔ r ɔ ʒ
подруга	p o d r u ɦ ɐ
подібне	p o dʲ i b n e
подібний	p o dʲ i b n e i̯
поділля	p o dʲ i lʲː ɐ
подія	p o dʲ i j ɐ
поезія	p ɔ ɛ zʲ i j ɐ
поет	p ɔ ɛ t
пожежа	p ɔ ʒ ɛ ʒ ɐ
пожежник	p ɔ ʒ ɛ ʒ n e k
позитивний	p ɔ z e t ɪ u̯ n e i̯
позиція	p ɔ z ɪ t͡sʲ i j ɐ
позичати	p ɔ z e t͡ʃ ɑ t e
позичити	p ɔ z ɪ t͡ʃ e t e
познань	p ɔ z n ɐ nʲ
покажчик	p ɔ k ɑ ʒ t͡ʃ e k
показник	p ɔ k ɑ z n e k
покоління	p ɔ k o lʲ i nʲː ɐ
покої	p ɔ k ɔ j i
покращити	p ɔ k r ɑ ʃ t͡ʃ e t e
покращувати	p ɔ k r ɑ ʃ t͡ʃ ʊ ʋ ɐ t e
покриття	p ɔ k r e tʲː ɑ
покруч	p ɔ k r ʊ t͡ʃ
покій	p o kʲ i i̯
покій	p ɔ kʲ i i̯
поле	p ɔ ɫ e
полк	p ɔ ɫ k
поло	p ɔ ɫ ɔ
половина	p ɔ ɫ ɔ ʋ ɪ n ɐ
положення	p ɔ ɫ ɔ ʒ e nʲː ɐ
полон	p ɔ ɫ ɔ n
полоти	p ɔ ɫ ɔ t e
полтава	p ɔ ɫ t ɑ ʋ ɐ
полум'я	p ɔ ɫ ʊ m j ɐ
полумисок	p o ɫ u m e s ɔ k
полуниця	p ɔ ɫ ʊ n ɪ t͡sʲ ɐ
полька	p ɔ lʲ k ɐ
польський	p ɔ lʲ sʲ k e i̯
польща	p ɔ lʲ ʃ t͡ʃ ɐ
полювати	p ɔ lʲ ʊ ʋ ɑ t e
поляк	p ɔ lʲ ɑ k
поляки	p ɔ lʲ ɑ k e
полячка	p ɔ lʲ ɑ t͡ʃ k ɐ
поліна	p o lʲ i n ɐ
поліно	p o lʲ i n ɔ
поліпшити	p o lʲ i p ʃ e t e
поліпшувати	p o lʲ i p ʃ ʊ ʋ ɐ t e
політ	p o lʲ i t
політик	p o lʲ i t e k
політика	p o lʲ i t e k ɐ
політичний	p ɔ lʲ i t ɪ t͡ʃ n e i̯
політично	p ɔ lʲ i t ɪ t͡ʃ n ɔ
поліцій	p o lʲ i t͡sʲ i i̯
поліцію	p o lʲ i t͡sʲ i j ʊ
поліція	p o lʲ i t͡sʲ i j ɐ
поліціям	p o lʲ i t͡sʲ i j ɐ m
поліціями	p o lʲ i t͡sʲ i j ɐ m e
поліціях	p o lʲ i t͡sʲ i j ɐ x
поліціє	p o lʲ i t͡sʲ i j e
поліцією	p o lʲ i t͡sʲ i j e j ʊ
поліції	p o lʲ i t͡sʲ i j i
помана	p ɔ m ɑ n ɐ
помаранчевий	p ɔ m ɐ r ɑ n t͡ʃ e ʋ e i̯
померти	p ɔ m ɛ r t e
помешкання	p ɔ m ɛ ʃ k ɐ nʲː ɐ
помилка	p ɔ m e ɫ k ɐ
помилка	p ɔ m ɪ ɫ k ɐ
помилковий	p ɔ m e ɫ k ɔ ʋ e i̯
помити	p ɔ m ɪ t e
помиї	p ɔ m ɪ j i
помста	p ɔ m s t ɐ
помідор	p ɔ mʲ i d ɔ r
помітити	p o mʲ i t e t e
помічати	p ɔ mʲ i t͡ʃ ɑ t e
помічник	p ɔ mʲ i t͡ʃ n ɪ k
понеділковий	p ɔ n e dʲ i ɫ k ɔ ʋ e i̯
понеділок	p ɔ n e dʲ i ɫ ɔ k
понести	p ɔ n e s t ɪ
пониззя	p ɔ n ɪ zʲː ɐ
поносити	p ɔ n ɔ s ɪ t e
поняття	p ɔ nʲ ɑ tʲː ɐ
популяризація	p ɔ p ʊ lʲ ɐ r e z ɑ t͡sʲ i j ɐ
попіл	p ɔ pʲ i ɫ
попільничка	p ɔ pʲ i lʲ n ɪ t͡ʃ k ɐ
порада	p ɔ r ɑ d ɐ
поразка	p ɔ r ɑ z k ɐ
порнографічний	p ɔ r n ɔ ɦ r ɐ fʲ i t͡ʃ n e i̯
порнографія	p ɔ r n ɔ ɦ r ɑ fʲ i j ɐ
породілля	p ɔ r o dʲ i lʲː ɐ
порожнеча	p ɔ r ɔ ʒ n ɛ t͡ʃ ɐ
порожній	p ɔ r ɔ ʒ nʲ i i̯
порозмовляти	p ɔ r ɔ z m ɔ u̯ lʲ ɑ t e
порося	p ɔ r ɔ sʲ ɑ
порох	p ɔ r ɔ x
порошенко	p ɔ r ɔ ʃ ɛ n k ɔ
португальський	p ɔ r t ʊ ɦ ɑ lʲ sʲ k e i̯
португалія	p ɔ r t ʊ ɦ ɑ lʲ i j ɐ
порушення	p o r u ʃ e nʲː ɐ
порядковий	p ɔ rʲ ɐ d k ɔ ʋ e i̯
порядок	p ɔ rʲ ɑ d ɔ k
порівнювати	p o rʲ i u̯ nʲ ʊ ʋ ɐ t e
порівняння	p ɔ rʲ i u̯ nʲ ɑ nʲː ɐ
порівнянь	p ɔ rʲ i u̯ nʲ ɑ nʲ
порівняти	p ɔ rʲ i u̯ nʲ ɑ t e
поріг	p o rʲ i ɦ
посада	p ɔ s ɑ d ɐ
посередній	p ɔ s e r ɛ dʲ nʲ i i̯
послуга	p o s ɫ u ɦ ɐ
послуга	p ɔ s ɫ ʊ ɦ ɐ
послідовний	p ɔ sʲ lʲ i d ɔ u̯ n e i̯
послідовник	p ɔ sʲ lʲ i d ɔ u̯ n e k
посміхатися	p ɔ sʲ mʲ i x ɑ t e sʲ ɐ
посміхнутися	p ɔ sʲ mʲ i x n u t e sʲ ɐ
посмішка	p ɔ sʲ mʲ i ʃ k ɐ
посол	p ɔ s ɔ ɫ
посольство	p ɔ s ɔ lʲ s t w ɔ
постанова	p ɔ s t ɐ n ɔ ʋ ɐ
поступово	p ɔ s t ʊ p ɔ w ɔ
постійний	p o sʲ tʲ i i̯ n e i̯
постіль	p o sʲ tʲ i lʲ
постіль	p ɔ sʲ tʲ i lʲ
посуд	p ɔ s ʊ d
посібник	p o sʲ i b n e k
потенціал	p ɔ t e nʲ t͡sʲ i ɑ ɫ
потилице	p ɔ t ɪ ɫ e t͡s e
потилицею	p ɔ t ɪ ɫ e t͡s e j ʊ
потилиць	p ɔ t ɪ ɫ e t͡sʲ
потилицю	p ɔ t ɪ ɫ e t͡sʲ ʊ
потилиця	p ɔ t ɪ ɫ e t͡sʲ ɐ
потилицям	p ɔ t ɪ ɫ e t͡sʲ ɐ m
потилицями	p ɔ t ɪ ɫ e t͡sʲ ɐ m e
потилицях	p ɔ t ɪ ɫ e t͡sʲ ɐ x
потилиці	p ɔ t ɪ ɫ e t͡sʲ i
потреба	p ɔ t r ɛ b ɐ
потрібний	p o tʲ rʲ i b n e i̯
потуга	p o t u ɦ ɐ
потяг	p ɔ tʲ ɐ ɦ
потягати	p ɔ tʲ ɐ ɦ ɑ t e
потягнути	p ɔ tʲ ɐ ɦ n u t e
потягти	p ɔ tʲ ɐ ɦ t ɪ
потік	p o tʲ i k
потім	p ɔ tʲ i m
похвала	p ɔ x ʋ ɐ ɫ ɑ
походження	p ɔ x ɔ d͡ʒ e nʲː ɐ
похорон	p ɔ x ɔ r ɔ n
похорони	p ɔ x ɔ r ɔ n e
похорону	p ɔ x ɔ r ɔ n ʊ
похітливий	p ɔ xʲ i t ɫ ɪ ʋ e i̯
похіть	p ɔ xʲ i tʲ
поцілувати	p ɔ t͡sʲ i ɫ ʊ ʋ ɑ t e
поцілунок	p ɔ t͡sʲ i ɫ u n ɔ k
почати	p ɔ t͡ʃ ɑ t e
початок	p ɔ t͡ʃ ɑ t ɔ k
почесть	p ɔ t͡ʃ e sʲ tʲ
починати	p ɔ t͡ʃ e n ɑ t e
почистити	p ɔ t͡ʃ ɪ s t e t e
почуття	p ɔ t͡ʃ ʊ tʲː ɑ
пошта	p ɔ ʃ t ɐ
пошук	p ɔ ʃ ʊ k
пояснення	p ɔ j ɑ s n e nʲː ɐ
пояснити	p ɔ j ɐ s n ɪ t e
пояснювати	p ɔ j ɑ sʲ nʲ ʊ ʋ ɐ t e
поєднання	p ɔ j e d n ɑ nʲː ɐ
поінформувати	p ɔ i n f ɔ r m ʊ ʋ ɑ t e
поїзд	p ɔ j i z d
поїти	p ɔ j i t e
прабаба	p r ɐ b ɑ b ɐ
прабабуся	p r ɐ b ɐ b u sʲ ɐ
правда	p r ɑ u̯ d ɐ
правий	p r ɑ ʋ e i̯
правило	p r ɑ ʋ e ɫ ɔ
правильний	p r ɑ ʋ e lʲ n e i̯
право	p r ɑ w ɔ
правознавство	p r ɐ w ɔ z n ɑ u̯ s t w ɔ
правопис	p r ɐ w ɔ p e s
прага	p r ɑ ɦ ɐ
прагнути	p r ɑ ɦ n ʊ t e
прадід	p r ɑ dʲ i d
празеодим	p r ɐ z e ɔ d ɪ m
празник	p r ɑ z n e k
практика	p r ɑ k t e k ɐ
практичний	p r ɐ k t ɪ t͡ʃ n e i̯
практично	p r ɐ k t ɪ t͡ʃ n ɔ
практичність	p r ɐ k t ɪ t͡ʃ nʲ i sʲ tʲ
прамова	p r ɐ m ɔ ʋ ɐ
прапор	p r ɑ p ɔ r
праска	p r ɑ s k ɐ
праслов'янський	p r ɐ s ɫ ɔ ʋ j ɑ nʲ sʲ k e i̯
прати	p r ɑ t e
працювати	p r ɐ t͡sʲ ʊ ʋ ɑ t e
праця	p r ɑ t͡sʲ ɐ
працівник	p r ɐ t͡sʲ i u̯ n ɪ k
працівника	p r ɐ t͡sʲ i u̯ n e k ɑ
працівникам	p r ɐ t͡sʲ i u̯ n e k ɑ m
працівниками	p r ɐ t͡sʲ i u̯ n e k ɑ m e
працівниках	p r ɐ t͡sʲ i u̯ n e k ɑ x
працівники	p r ɐ t͡sʲ i u̯ n e k ɪ
працівником	p r ɐ t͡sʲ i u̯ n e k ɔ m
працівників	p r ɐ t͡sʲ i u̯ n e kʲ i u̯
працівницею	p r ɐ t͡sʲ i u̯ n ɪ t͡s e j ʊ
працівниць	p r ɐ t͡sʲ i u̯ n ɪ t͡sʲ
працівницю	p r ɐ t͡sʲ i u̯ n ɪ t͡sʲ ʊ
працівниця	p r ɐ t͡sʲ i u̯ n ɪ t͡sʲ ɐ
працівницям	p r ɐ t͡sʲ i u̯ n ɪ t͡sʲ ɐ m
працівницями	p r ɐ t͡sʲ i u̯ n ɪ t͡sʲ ɐ m e
працівницях	p r ɐ t͡sʲ i u̯ n ɪ t͡sʲ ɐ x
працівниці	p r ɐ t͡sʲ i u̯ n ɪ t͡sʲ i
предмет	p r e d m ɛ t
предок	p r ɛ d ɔ k
представник	p r e d͡z s t ɐ u̯ n ɪ k
представниця	p r e d͡z s t ɐ u̯ n ɪ t͡sʲ ɐ
презентація	p r e z e n t ɑ t͡sʲ i j ɐ
президент	p r e z e d ɛ n t
прекрасний	p r e k r ɑ s n e i̯
прелат	p r e ɫ ɑ t
прем'єр	p r e m j ɛ r
престиж	p r e s t ɪ ʒ
престижний	p r e s t ɪ ʒ n e i̯
префікс	p r e fʲ i k s
префікс	p r ɛ fʲ i k s
прибуток	p r e b u t ɔ k
приватизація	p r e ʋ ɐ t e z ɑ t͡sʲ i j ɐ
приватний	p r e ʋ ɑ t n e i̯
приватність	p r e ʋ ɑ tʲ nʲ i sʲ tʲ
приводити	p r e w ɔ d e t e
привозити	p r e w ɔ z e t e
привід	p r e ʋʲ i d
привід	p r ɪ ʋʲ i d
привіт	p r e ʋʲ i t
приголосний	p r ɪ ɦ ɔ ɫ ɔ s n e i̯
пригорщ	p r ɪ ɦ ɔ r ʃ t͡ʃ
придане	p r ɪ d ɐ n e
приданий	p r ɪ d ɐ n e i̯
призначення	p r e z n ɑ t͡ʃ e nʲː ɐ
приймати	p r e i̯ m ɑ t e
прийменник	p r e i̯ m ɛ nː e k
прийняти	p r e i̯ nʲ ɑ t e
прийнятний	p r e i̯ nʲ ɑ t n e i̯
прийнятність	p r e i̯ nʲ ɑ tʲ nʲ i sʲ tʲ
прийняття	p r e i̯ nʲ ɐ tʲː ɑ
прийти	p r e i̯ t ɪ
приклад	p r e k ɫ ɑ d
приклад	p r ɪ k ɫ ɐ d
прикметник	p r e k m ɛ t n e k
прилад	p r ɪ ɫ ɐ d
примарний	p r e m ɑ r n e i̯
приміряти	p r e mʲ i rʲ ɐ t e
приміряти	p r e mʲ i rʲ ɑ t e
приносити	p r e n ɔ s e t e
принтер	p r ɪ n t e r
принцеса	p r e n t͡s ɛ s ɐ
принцип	p r ɪ n t͡s e p
припадати	p r e p ɐ d ɑ t e
припинити	p r e p e n ɪ t e
припиняти	p r e p e nʲ ɑ t e
природа	p r e r ɔ d ɐ
природний	p r e r ɔ d n e i̯
присвятити	p r e sʲ ʋʲ ɐ t ɪ t e
присвячувати	p r e sʲ ʋʲ ɑ t͡ʃ ʊ ʋ ɐ t e
присвійний	p r e sʲ ʋʲ i i̯ n e i̯
прислівник	p r e sʲ lʲ i u̯ n e k
прислівниковий	p r e sʲ lʲ i u̯ n e k ɔ ʋ e i̯
пристрій	p r ɪ s tʲ rʲ i i̯
притулок	p r e t u ɫ ɔ k
прихильник	p r e x ɪ lʲ n e k
приходити	p r e x ɔ d e t e
причина	p r e t͡ʃ ɪ n ɐ
причт	p r ɪ t͡ʃ t
пришва	p r ɪ ʃ ʋ ɐ
пришви	p r ɪ ʃ ʋ e
приятель	p r ɪ j ɐ t e lʲ
приємний	p r e j ɛ m n e i̯
приємність	p r e j ɛ m nʲ i sʲ tʲ
про	p r ɔ
пробачати	p r ɔ b ɐ t͡ʃ ɑ t e
пробачити	p r ɔ b ɑ t͡ʃ e t e
проблема	p r ɔ b ɫ ɛ m ɐ
проблематика	p r ɔ b ɫ e m ɑ t e k ɐ
проблематичний	p r ɔ b ɫ e m ɐ t ɪ t͡ʃ n e i̯
пробувати	p r ɔ b ʊ ʋ ɐ t e
проведення	p r ɔ ʋ ɛ d e nʲː ɐ
провінціальний	p r ɔ ʋʲ i nʲ t͡sʲ i ɑ lʲ n e i̯
провінція	p r ɔ ʋʲ i nʲ t͡sʲ i j ɐ
прогнозувати	p r ɔ ɦ n ɔ z ʊ ʋ ɑ t e
проголосувати	p r ɔ ɦ ɔ ɫ ɔ s ʊ ʋ ɑ t e
програма	p r ɔ ɦ r ɑ m ɐ
програмний	p r ɔ ɦ r ɑ m n e i̯
програмувати	p r ɔ ɦ r ɐ m ʊ ʋ ɑ t e
продавати	p r ɔ d ɐ ʋ ɑ t e
продати	p r ɔ d ɑ t e
продовжити	p r ɔ d ɔ u̯ ʒ e t e
продукт	p r o d u k t
продуктивний	p r ɔ d ʊ k t ɪ u̯ n e i̯
продуктивність	p r ɔ d ʊ k t ɪ u̯ nʲ i sʲ tʲ
продукція	p r o d u k t͡sʲ i j ɐ
проект	p r ɔ ɛ k t
проживання	p r ɔ ʒ e ʋ ɑ nʲː ɐ
пролетар	p r ɔ ɫ e t ɑ r
пролетаріат	p r ɔ ɫ e t ɐ rʲ i ɑ t
промежина	p r ɔ m ɛ ʒ e n ɐ
промінь	p r ɔ mʲ i nʲ
