ア	a̠
トラフィック	t o̞ ɾ a̠ ɸʲ i k̚ k ɯ̟ᵝ
トラブル	t o̞ ɾ a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
トラブルシュータ	t o̞ ɾ a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ ɨᵝː t a̠
トラブルシューター	t o̞ ɾ a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ ɨᵝː t a̠ː
トラブルシューティング	t o̞ ɾ a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ ɕ ɨᵝː tʲ ĩ ŋ ɡ ɯ̟ᵝ
トラム	t o̞ ɾ a̠ m ɯ̟ᵝ
トランクス	t o̞ ɾ ã̠ ŋ k ɯ̟̊ᵝ s ɨᵝ
トランシーバー	t o̞ ɾ ã̠ ɰ̃ ɕ iː b a̠ː
トランジスタ	t o̞ ɾ ã̠ ɲ̟ d͡ʑ i s ɨ̥ᵝ t a̠
トランジスタラジオ	t o̞ ɾ ã̠ ɲ̟ d͡ʑ i s ɨ̥ᵝ t a̠ ɾ a̠ ʑ i o̞
トランジスター	t o̞ ɾ ã̠ ɲ̟ d͡ʑ i s ɨ̥ᵝ t a̠ː
トランス	t o̞ ɾ ã̠ ɰ̃ s ɨᵝ
トランスジェンダー	t o̞ ɾ ã̠ ɰ̃ s ɨᵝ ʑ ẽ̞ n d a̠ː
トランスセクシャル	t o̞ ɾ ã̠ ɰ̃ s ɨᵝ s e̞ k ɯ̟ᵝ ɕ a̠ ɾ ɯ̟ᵝ
トランスミッタ	t o̞ ɾ ã̠ ɰ̃ s ɨᵝ mʲ i t̚ t a̠
トランスミッター	t o̞ ɾ ã̠ ɰ̃ s ɨᵝ mʲ i t̚ t a̠ː
トランスモダン	t o̞ ɾ ã̠ ɰ̃ s ɨᵝ m o̞ d ã̠ ɴ
トランプ	t o̞ ɾ ã̠ m p ɯ̟ᵝ
トランプゲーム	t o̞ ɾ ã̠ m p ɯ̟ᵝ ɡ e̞ː m ɯ̟ᵝ
トランペット	t o̞ ɾ ã̠ m p e̞ t̚ t o̞
トランポリン	t o̞ ɾ ã̠ m p o̞ ɾʲ ĩ ɴ
トリウム	t o̞ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
トリガー	t o̞ ɾʲ i ɡ a̠ː
トリコット	t o̞ ɾʲ i k o̞ t̚ t o̞
トリチウム	t o̞ ɾʲ i t͡ɕ i ɯ̟ᵝ m ɯ̟ᵝ
トリック	t o̞ ɾʲ i k̚ k ɯ̟ᵝ
トリックオアトリート	t o̞ ɾʲ i k̚ k ɯ̟ᵝ o̞ a̠ t o̞ ɾʲ iː t o̞
トリップ	t o̞ ɾʲ i p̚ p ɯ̟ᵝ
トリニダード・トバゴ	t o̞ ɾʲ i ɲ̟ i d a̠ː d o̞ t o̞ b a̠ ɡ o̞
トリニトロトルエン	t o̞ ɾʲ i ɲ̟ i t o̞ ɾ o̞ t o̞ ɾ ɯ̟ᵝ ẽ̞ ɴ
トリプトファン	t o̞ ɾʲ i p ɯ̟ᵝ t o̞ ɸ ã̠ ɴ
トリポリ	t o̞ ɾʲ i p o̞ ɾʲ i
トリヤッチ	t o̞ ɾʲ i j a̠ t̚ t͡ɕ i
トリル	t o̞ ɾʲ i ɾ ɯ̟ᵝ
トルエン	t o̞ ɾ ɯ̟ᵝ ẽ̞ ɴ
トルク	t o̞ ɾ ɯ̟ᵝ k ɯ̟ᵝ
トルティーヤ	t o̞ ɾ ɯ̟ᵝ tʲ iː j a̠
トルネード	t o̞ ɾ ɯ̟ᵝ n e̞ː d o̞
トレアドールパンツ	t o̞ ɾ e̞ a̠ d o̞ː ɾ ɯ̟ᵝ p ã̠ n t͡s ɨᵝ
トレイ	t o̞ ɾ e̞ː
トレオニン	t o̞ ɾ e̞ o̞ ɲ̟ ĩ ɴ
トレパン	t o̞ ɾ e̞ p ã̠ ɴ
トレビアン	t o̞ ɾ e̞ bʲ i ã̠ ɴ
トレブル	t o̞ ɾ e̞ b ɯ̟ᵝ ɾ ɯ̟ᵝ
トレモロ	t o̞ ɾ e̞ m o̞ ɾ o̞
トレンチコート	t o̞ ɾ ẽ̞ ɲ̟ t͡ɕ i ̥ k o̞ː t o̞
トレンド	t o̞ ɾ ẽ̞ n d o̞
トレー	t o̞ ɾ e̞ː
トレーナー	t o̞ ɾ e̞ː n a̠ː
トレーニング	t o̞ ɾ e̞ː ɲ̟ ĩ ŋ ɡ ɯ̟ᵝ
トレーニングパンツ	t o̞ ɾ e̞ː ɲ̟ ĩ ŋ ɡ ɯ̟ᵝ p ã̠ n t͡s ɨᵝ
トレーラー	t o̞ ɾ e̞ː ɾ a̠ː
トロット	t o̞ ɾ o̞ t̚ t o̞
トロピリウム	t o̞ ɾ o̞ pʲ i ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
トロフィー	t o̞ ɾ o̞ ɸʲ iː
トロリー	t o̞ ɾ o̞ ɾʲ iː
トロリーバス	t o̞ ɾ o̞ ɾʲ iː b a̠ s ɨᵝ
トロント	t o̞ ɾ õ̞ n t o̞
トロンボーン	t o̞ ɾ õ̞ m b õ̞ː ɴ
トンカツ	t õ̞ ŋ k a̠ t͡s ɨ̥ᵝ
トング	t õ̞ ŋ ɡ ɯ̟ᵝ
トンデモ	t õ̞ n d e̞ m o̞
トンネル	t õ̞ nː e̞ ɾ ɯ̟ᵝ
トンペー	t õ̞ m p e̞ː
トーキー	t o̞ː kʲ iː
トークン	t o̞ː k ɯ̟̃ᵝ ɴ
トーゴ	t o̞ː ɡ o̞
トースカン	t o̞ː s ɨᵝ k ã̠ ɴ
トースター	t o̞ː s ɨ̥ᵝ t a̠ː
トースト	t o̞ː s ɨ̥ᵝ t o̞
トータル	t o̞ː t a̠ ɾ ɯ̟ᵝ
トーチ	t o̞ː t͡ɕ i
トーテム	t o̞ː t e̞ m ɯ̟ᵝ
トーテムポール	t o̞ː t e̞ m ɯ̟ᵝ p o̞ː ɾ ɯ̟ᵝ
トート	t o̞ː t o̞
ド	d o̞
ドア	d o̞ a̠
ドアスコープ	d o̞ a̠ s ɨᵝ k o̞ː p ɯ̟ᵝ
ドイツ	d o̞ i t͡s ɨᵝ
ドゥ	d ɯ̟ᵝ
ドゥーワップ	d ɯ̟ᵝː ɰᵝ a̠ p̚ p ɯ̟ᵝ
ドキュメンタリー	d o̞ kʲ ɨᵝ m ẽ̞ n t a̠ ɾʲ iː
ドキュメント	d o̞ kʲ ɨᵝ m ẽ̞ n t o̞
ドキュン	d o̞ kʲ ɨ̃ᵝ ɴ
ドキュンネーム	d o̞ kʲ ɨ̃ᵝ n n e̞ː m ɯ̟ᵝ
ドギーバッグ	d o̞ ɡʲ iː b a̠ ɡ̚ ɡ̊ ɯ̟ᵝ
ドザ	d o̞ z a̠
ドジ	d o̞ ʑ i
ドタキャン	d o̞ t a̠ kʲ ã̠ ɴ
ドッジボール	d o̞ d̚ d͡ʑ i b o̞ː ɾ ɯ̟ᵝ
ドッチボール	d o̞ t̚ t͡ɕ i b o̞ː ɾ ɯ̟ᵝ
ドッペルゲンガー	d o̞ p̚ p e̞ ɾ ɯ̟ᵝ ɡ ẽ̞ ŋ ɡ a̠ː
ドドマ	d o̞ d o̞ m a̠
ドナルド	d o̞ n a̠ ɾ ɯ̟ᵝ d o̞
ドナルドダック	d o̞ n a̠ ɾ ɯ̟ᵝ d o̞ d a̠ k̚ k ɯ̟ᵝ
ドナー	d o̞ n a̠ː
ドバイ	d o̞ b a̠ i
ドビュッシー	d o̞ bʲ ɨᵝ ɕː iː
ドブ	d o̞ b ɯ̟ᵝ
ドブニウム	d o̞ b ɯ̟ᵝ ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
ドラァグ	d o̞ ɾ a̠ː ɡ ɯ̟ᵝ
ドライアイス	d o̞ ɾ a̠ i a̠ i s ɨᵝ
ドライクリーニング	d o̞ ɾ a̠ i k ɯ̟ᵝ ɾʲ iː ɲ̟ ĩ ŋ ɡ ɯ̟ᵝ
ドライバー	d o̞ ɾ a̠ i b a̠ː
ドライフラワー	d o̞ ɾ a̠ i ɸ ɯ̟ᵝ ɾ a̠ ɰᵝ a̠ː
ドライブ	d o̞ ɾ a̠ i b ɯ̟ᵝ
ドライブイン	d o̞ ɾ a̠ i b ɯ̟ᵝ ĩ ɴ
ドライブスルー	d o̞ ɾ a̠ i b ɯ̟ᵝ s ɨᵝ ɾ ɯ̟ᵝː
ドラキュラ	d o̞ ɾ a̠ kʲ ɨᵝ ɾ a̠
ドラグネット	d o̞ ɾ a̠ ɡ ɯ̟ᵝ n e̞ t̚ t o̞
ドラゴン	d o̞ ɾ a̠ ɡ õ̞ ɴ
ドラッグ	d o̞ ɾ a̠ ɡ̚ ɡ̊ ɯ̟ᵝ
ドラッグ・アンド・ドロップ	d o̞ ɾ a̠ ɡ̚ ɡ̊ ɯ̟ᵝ ã̠ n d o̞ d o̞ ɾ o̞ p̚ p ɯ̟ᵝ
ドラマ	d o̞ ɾ a̠ m a̠
ドラム	d o̞ ɾ a̠ m ɯ̟ᵝ
ドラムスティック	d o̞ ɾ a̠ m ɯ̟ᵝ s ɨᵝ tʲ i k̚ k ɯ̟ᵝ
ドラムセット	d o̞ ɾ a̠ m ɯ̟ᵝ s e̞ t̚ t o̞
ドリアン	d o̞ ɾʲ i ã̠ ɴ
ドリル	d o̞ ɾʲ i ɾ ɯ̟ᵝ
ドリンク	d o̞ ɾʲ ĩ ŋ k ɯ̟ᵝ
ドリーム	d o̞ ɾʲ iː m ɯ̟ᵝ
ドル	d o̞ ɾ ɯ̟ᵝ
ドルオタ	d o̞ ɾ ɯ̟ᵝ o̞ t a̠
ドレイン	d o̞ ɾ ẽ̞ː ɴ
ドレス	d o̞ ɾ e̞ s ɨᵝ
ドレスコード	d o̞ ɾ e̞ s ɨᵝ k o̞ː d o̞
ドレスメーカー	d o̞ ɾ e̞ s ɨᵝ m e̞ː k a̠ː
ドレスメーキング	d o̞ ɾ e̞ s ɨᵝ m e̞ː kʲ ĩ ŋ ɡ ɯ̟ᵝ
ドレッシング	d o̞ ɾ e̞ ɕː ĩ ŋ ɡ ɯ̟ᵝ
ドレミファインバータ	d o̞ ɾ e̞ mʲ i ɸ a̠ ĩ m b a̠ː t a̠
ドローン	d o̞ ɾ õ̞ː ɴ
ドンピシャ	d õ̞ m pʲ i ɕ a̠
ドンペリ	d õ̞ m p e̞ ɾʲ i
ドンペリニヨン	d õ̞ m p e̞ ɾʲ i ɲ̟ i j õ̞ ɴ
ドードー	d o̞ː d o̞ː
ドーナツ	d o̞ː n a̠ t͡s ɨᵝ
ドーハ	d o̞ː h a̠
ドーパミン	d o̞ː p a̠ mʲ ĩ ɴ
ドーピング	d o̞ː pʲ ĩ ŋ ɡ ɯ̟ᵝ
ドーム	d o̞ː m ɯ̟ᵝ
ドーラン	d o̞ː ɾ ã̠ ɴ
ドール	d o̞ː ɾ ɯ̟ᵝ
ナ	n a̠
ナイキ	n a̠ i kʲ i
ナイジェリア	n a̠ i ʑ e̞ ɾʲ i a̠
ナイス	n a̠ i s ɨᵝ
ナイスガイ	n a̠ i s ɨᵝ ɡ a̠ i
ナイスキー	n a̠ i s ɨᵝ kʲ iː
ナイター	n a̠ i t a̠ː
ナイチンゲール	n a̠ i t͡ɕ ĩ ŋ ɡ e̞ː ɾ ɯ̟ᵝ
ナイト	n a̠ i t o̞
ナイトクラブ	n a̠ i t o̞ k ɯ̟ᵝ ɾ a̠ b ɯ̟ᵝ
ナイトスタンド	n a̠ i t o̞ s ɨᵝ t ã̠ n d o̞
ナイトテーブル	n a̠ i t o̞ t e̞ː b ɯ̟ᵝ ɾ ɯ̟ᵝ
ナイフ	n a̠ i ɸ ɯ̟ᵝ
ナイロビ	n a̠ i ɾ o̞ bʲ i
ナイロン	n a̠ i ɾ õ̞ ɴ
ナイン	n a̠ ĩ ɴ
ナイーブ	n a̠ iː b ɯ̟ᵝ
ナウ	n a̠ ɯ̟ᵝ
ナガサキ	n a̠ ɡ a̠ s a̠ kʲ i
ナゲット	n a̠ ɡ e̞ t̚ t o̞
ナサ	n a̠ s a̠
ナショナリズム	n a̠ ɕ o̞ n a̠ ɾʲ i z ɨᵝ m ɯ̟ᵝ
ナショナルフットボールリーグ	n a̠ ɕ o̞ n a̠ ɾ ɯ̟ᵝ ɸ ɯ̟ᵝ t̚ t o̞ b o̞ː ɾ ɯ̟ᵝ ɾʲ iː ɡ ɯ̟ᵝ
ナタデココ	n a̠ t a̠ d e̞ k o̞ k o̞
ナチ	n a̠ t͡ɕ i
ナチス	n a̠ t͡ɕ i s ɨᵝ
ナチス・ドイツ	n a̠ t͡ɕ i s ɨᵝ d o̞ i t͡s ɨᵝ
ナチズム	n a̠ t͡ɕ i z ɨᵝ m ɯ̟ᵝ
ナッソー	n a̠ sː o̞ː
ナット	n a̠ t̚ t o̞
ナトリウム	n a̠ t o̞ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
ナトー	n a̠ t o̞ː
ナニ	n a̠ ɲ̟ i
ナノセカンド	n a̠ n o̞ s e̞ k ã̠ n d o̞
ナノテクノロジー	n a̠ n o̞ t e̞ k ɯ̟ᵝ n o̞ ɾ o̞ ʑ iː
ナビ	n a̠ bʲ i
ナビゲーター	n a̠ bʲ i ɡ e̞ː t a̠ː
ナフサ	n a̠ ɸ ɯ̟̊ᵝ s a̠
ナフタリン	n a̠ ɸ ɯ̟ᵝ t a̠ ɾʲ ĩ ɴ
ナフタレン	n a̠ ɸ ɯ̟ᵝ t a̠ ɾ ẽ̞ ɴ
ナフチリジン	n a̠ ɸ ɯ̟ᵝ t͡ɕ i ɾʲ i ʑ ĩ ɴ
ナプキン	n a̠ p ɯ̟̊ᵝ kʲ ĩ ɴ
ナベシャツ	n a̠ b e̞ ɕ a̠ t͡s ɨᵝ
ナポリ	n a̠ p o̞ ɾʲ i
ナポリタン	n a̠ p o̞ ɾʲ i t ã̠ ɴ
ナマポ	n a̠ m a̠ p o̞
ナミビア	n a̠ mʲ i bʲ i a̠
ナルシシスト	n a̠ ɾ ɯ̟ᵝ ɕ i ɕ i s ɨ̥ᵝ t o̞
ナルシシズム	n a̠ ɾ ɯ̟ᵝ ɕ i̥ ɕ i z ɨᵝ m ɯ̟ᵝ
ナルシスト	n a̠ ɾ ɯ̟ᵝ ɕ i̥ s ɨ̥ᵝ t o̞
ナレッジ	n a̠ ɾ e̞ d̚ d͡ʑ i
ナレーター	n a̠ ɾ e̞ː t a̠ː
ナンセンス	n ã̠ ɰ̃ s ẽ̞ ɰ̃ s ɨᵝ
ナンプラー	n ã̠ m p ɯ̟ᵝ ɾ a̠ː
ナース	n a̠ː s ɨᵝ
ナーフ	n a̠ː ɸ ɯ̟ᵝ
ニ	ɲ̟ i
ニイニイゼミ	ɲ̟ iː ɲ̟ iː z e̞ mʲ i
ニイハオ	ɲ̟ iː h a̠ o̞
ニェ	ɲ̟ e̞
ニエロ	ɲ̟ i e̞ ɾ o̞
ニオブ	ɲ̟ i o̞ b ɯ̟ᵝ
ニキ	ɲ̟ i kʲ i
ニグロ	ɲ̟ i ɡ ɯ̟ᵝ ɾ o̞
ニコシア	ɲ̟ i k o̞ ɕ i a̠
ニコチン	ɲ̟ i k o̞ t͡ɕ ĩ ɴ
ニジェール	ɲ̟ i ʑ e̞ː ɾ ɯ̟ᵝ
ニダ	ɲ̟ i d a̠
ニックネーム	ɲ̟ i k̚ k ɯ̟ᵝ n e̞ː m ɯ̟ᵝ
ニッケル	ɲ̟ i k̚ k e̞ ɾ ɯ̟ᵝ
ニッチ	ɲ̟ i t̚ t͡ɕ i
ニッパー	ɲ̟ i p̚ p a̠ː
ニトリル	ɲ̟ i t o̞ ɾʲ i ɾ ɯ̟ᵝ
ニトログリセリン	ɲ̟ i t o̞ ɾ o̞ ɡ ɯ̟ᵝ ɾʲ i s e̞ ɾʲ ĩ ɴ
ニヒリズム	ɲ̟ i ç i ɾʲ i z ɨᵝ m ɯ̟ᵝ
ニホニウム	ɲ̟ i h o̞ ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
ニホンカモシカ	ɲ̟ i h õ̞ ŋ k a̠ m o̞ ɕ i̥ k a̠
ニャ	ɲ̟ a̠
ニャン	ɲ̟ ã̠ ɴ
ニャース	ɲ̟ a̠ː s ɨᵝ
ニュ	ɲ̟ ɯ̟ᵝ
ニュアンス	ɲ̟ ɯ̟ᵝ ã̠ ɰ̃ s ɨᵝ
ニュー	ɲ̟ ɯ̟ᵝː
ニューイングランド	ɲ̟ ɯ̟ᵝː ĩ ŋ ɡ ɯ̟ᵝ ɾ ã̠ n d o̞
ニューカマー	ɲ̟ ɯ̟ᵝː k a̠ m a̠ː
ニュース	ɲ̟ ɯ̟ᵝː s ɨᵝ
ニュースキャスター	ɲ̟ ɯ̟ᵝː s ɨ̥ᵝ kʲ a̠ s ɨ̥ᵝ t a̠ː
ニュースデスク	ɲ̟ ɯ̟ᵝː s ɨᵝ d e̞ s ɨᵝ k ɯ̟ᵝ
ニュースフラッシュ	ɲ̟ ɯ̟ᵝː s ɨᵝ ɸ ɯ̟ᵝ ɾ a̠ ɕː ɯ̟ᵝ
ニュースルーム	ɲ̟ ɯ̟ᵝː s ɨᵝ ɾ ɯ̟ᵝː m ɯ̟ᵝ
ニューデリー	ɲ̟ ɯ̟ᵝː d e̞ ɾʲ iː
ニュートリノ	ɲ̟ ɯ̟ᵝː t o̞ ɾʲ i n o̞
ニュートン	ɲ̟ ɯ̟ᵝː t õ̞ ɴ
ニューハンプシャー	ɲ̟ ɯ̟ᵝː h ã̠ m p ɯ̟̊ᵝ ɕ a̠ː
ニューブランズウィック	ɲ̟ ɯ̟ᵝː b ɯ̟ᵝ ɾ ã̠ n d͡z ɨᵝ ɰᵝ i k̚ k ɯ̟ᵝ
ニューヨーク	ɲ̟ ɯ̟ᵝː j o̞ː k ɯ̟ᵝ
ニューラルネットワーク	ɲ̟ ɯ̟ᵝː ɾ a̠ ɾ ɯ̟ᵝ n e̞ t̚ t o̞ ɰᵝ a̠ː k ɯ̟ᵝ
ニューロン	ɲ̟ ɯ̟ᵝː ɾ õ̞ ɴ
ニョ	ɲ̟ o̞
ニルバーナ	ɲ̟ i ɾ ɯ̟ᵝ b a̠ː n a̠
ニンフ	ɲ̟ ĩ ɰ̃ ɸ ɯ̟ᵝ
ニーズ	ɲ̟ iː z ɨᵝ
ニーソ	ɲ̟ iː s o̞
ニーソックス	ɲ̟ iː s o̞ k̚ k ɯ̟̊ᵝ s ɨᵝ
ニート	ɲ̟ iː t o̞
ヌ	n ɯ̟ᵝ
ヌアクショット	n ɯ̟ᵝ a̠ k ɯ̟ᵝ ɕ o̞ t̚ t o̞
ヌガー	n ɯ̟ᵝ ɡ a̠ː
ヌクアロファ	n ɯ̟ᵝ k ɯ̟ᵝ a̠ ɾ o̞ ɸ a̠
ヌルゲーマー	n ɯ̟ᵝ ɾ ɯ̟ᵝ ɡ e̞ː m a̠ː
ヌー	n ɯ̟ᵝː
ヌード	n ɯ̟ᵝː d o̞
ネ	n e̞
ネイプルズ	n e̞ː p ɯ̟ᵝ ɾ ɯ̟ᵝ z ɨᵝ
ネイリスト	n e̞ː ɾʲ i s ɨᵝ t o̞
ネオジム	n e̞ o̞ ʑ i m ɯ̟ᵝ
ネオテニー	n e̞ o̞ t e̞ ɲ̟ iː
ネオナチ	n e̞ o̞ n a̠ t͡ɕ i
ネオン	n e̞ õ̞ ɴ
ネガ	n e̞ ɡ a̠
ネガティブ	n e̞ ɡ a̠ tʲ i b ɯ̟ᵝ
ネクトン	n e̞ k ɯ̟̊ᵝ t õ̞ ɴ
ネクロポリス	n e̞ k ɯ̟ᵝ ɾ o̞ p o̞ ɾʲ i s ɨᵝ
ネグリジェ	n e̞ ɡ ɯ̟ᵝ ɾʲ i ʑ e̞
ネスト	n e̞ s ɨ̥ᵝ t o̞
ネタ	n e̞ t a̠
ネック	n e̞ k̚ k ɯ̟ᵝ
ネックレス	n e̞ k̚ k ɯ̟ᵝ ɾ e̞ s ɨᵝ
ネット	n e̞ t̚ t o̞
ネットショップ	n e̞ t̚ t o̞ ɕ o̞ p̚ p ɯ̟ᵝ
ネットストア	n e̞ t̚ t o̞ s ɨᵝ t o̞ a̠
ネットワーク	n e̞ t̚ t o̞ ɰᵝ a̠ː k ɯ̟ᵝ
ネトウヨ	n e̞ t o̞ ɯ̟ᵝ j o̞
ネトサヨ	n e̞ t o̞ s a̠ j o̞
ネパール	n e̞ p a̠ː ɾ ɯ̟ᵝ
ネプチューン	n e̞ p ɯ̟ᵝ t͡ɕ ɨ̃ᵝː ɴ
ネプツニウム	n e̞ p ɯ̟̊ᵝ t͡s ɨᵝ ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
ネル	n e̞ ɾ ɯ̟ᵝ
ネーデルランド	n e̞ː d e̞ ɾ ɯ̟ᵝ ɾ ã̠ n d o̞
ネーム	n e̞ː m ɯ̟ᵝ
ノ	n o̞
ノア	n o̞ a̠
ノウハウ	n o̞ː h a̠ ɯ̟ᵝ
ノスタルジア	n o̞ s ɨᵝ t a̠ ɾ ɯ̟ᵝ ʑ i a̠
ノスタルジー	n o̞ s ɨᵝ t a̠ ɾ ɯ̟ᵝ ʑ iː
ノック	n o̞ k̚ k ɯ̟ᵝ
ノックアウト	n o̞ k̚ k ɯ̟ᵝ a̠ ɯ̟ᵝ t o̞
ノックダウン	n o̞ k̚ k ɯ̟ᵝ d a̠ ɯ̟̃ᵝ ɴ
ノックノック	n o̞ k̚ k ɯ̟ᵝ n o̞ k̚ k ɯ̟ᵝ
ノット	n o̞ t̚ t o̞
ノマ	n o̞ m a̠
ノルウェー	n o̞ ɾ ɯ̟ᵝ ɰᵝ e̞ː
ノルベジアンフォレストキャット	n o̞ ɾ ɯ̟ᵝ b e̞ ʑ i ã̠ ɰ̃ ɸ o̞ ɾ e̞ s ɨ̥ᵝ t o̞ kʲ a̠ t̚ t o̞
ノレッジ	n o̞ ɾ e̞ d̚ d͡ʑ i
ノン	n õ̞ ɴ
ノンアルコール	n õ̞ ɰ̃ a̠ ɾ ɯ̟ᵝ k o̞ː ɾ ɯ̟ᵝ
ノンケ	n õ̞ ŋ k e̞
ノンセクション	n õ̞ ɰ̃ s e̞ k ɯ̟ᵝ ɕ õ̞ ɴ
ノー	n o̞ː
ノーカウント	n o̞ː k a̠ ɯ̟̃ᵝ n t o̞
ノーカン	n o̞ː k ã̠ ɴ
ノーコメント	n o̞ː k o̞ m ẽ̞ n t o̞
ノースカロライナ	n o̞ː s ɨᵝ ̥ k a̠ ɾ o̞ ɾ a̠ i n a̠
ノースダコタ	n o̞ː s ɨᵝ d a̠ k o̞ t a̠
ノースリーブ	n o̞ː s ɨᵝ ɾʲ iː b ɯ̟ᵝ
ノーセンキュー	n o̞ː s ẽ̞ ŋʲ kʲ ɨᵝː
ノート	n o̞ː t o̞
ノートブック	n o̞ː t o̞ b ɯ̟ᵝ k̚ k ɯ̟ᵝ
ノーパン	n o̞ː p ã̠ ɴ
ノーブラ	n o̞ː b ɯ̟ᵝ ɾ a̠
ノーベリウム	n o̞ː b e̞ ɾʲ i ɯ̟ᵝ m ɯ̟ᵝ
ノーマル	n o̞ː m a̠ ɾ ɯ̟ᵝ
ハ	h a̠
ハイイロオオカミ	h a̠ i i ɾ o̞ o̞ː k a̠ mʲ i
ハイエナ	h a̠ i e̞ n a̠
ハイエース	h a̠ i e̞ː s ɨᵝ
ハイカラ	h a̠ i k a̠ ɾ a̠
ハイカー	h a̠ i k a̠ː
ハイキング	h a̠ i kʲ ĩ ŋ ɡ ɯ̟ᵝ
ハイク	h a̠ i k ɯ̟ᵝ
ハイジニーナ	h a̠ i ʑ i ɲ̟ iː n a̠
ハイジャック	h a̠ i ʑ a̠ k̚ k ɯ̟ᵝ
ハイセンス	h a̠ i s ẽ̞ ɰ̃ s ɨᵝ
ハイソ	h a̠ i s o̞
ハイソックス	h a̠ i s o̞ k̚ k ɯ̟̊ᵝ s ɨᵝ
ハイタッチ	h a̠ i t a̠ t̚ t͡ɕ i
ハイティーン	h a̠ i tʲ ĩː ɴ
ハイテイモーユエ	h a̠ i t e̞ː m o̞ː j ɯ̟ᵝ e̞
ハイテイラオユエ	h a̠ i t e̞ː ɾ a̠ o̞ j ɯ̟ᵝ e̞
ハイテク	h a̠ i t e̞ k ɯ̟ᵝ
ハイパーインフレーション	h a̠ i p a̠ː ĩ ɰ̃ ɸ ɯ̟ᵝ ɾ e̞ː ɕ õ̞ ɴ
ハイパーテキスト	h a̠ i p a̠ː t e̞ kʲ i s ɨ̥ᵝ t o̞
ハイヒール	h a̠ i ç iː ɾ ɯ̟ᵝ
ハイビジョン	h a̠ i bʲ i ʑ õ̞ ɴ
ハイビスカス	h a̠ i bʲ i s ɨ̥ᵝ k a̠ s ɨᵝ
ハイフン	h a̠ i ɸ ɯ̟̃ᵝ ɴ
ハイブリット	h a̠ i b ɯ̟ᵝ ɾʲ i t̚ t o̞
ハイブリッド	h a̠ i b ɯ̟ᵝ ɾʲ i d̚ d̥ o̞
ハイボール	h a̠ i b o̞ː ɾ ɯ̟ᵝ
ハイライト	h a̠ i ɾ a̠ i t o̞
ハイレゾ	h a̠ i ɾ e̞ z o̞
ハイレゾリューション	h a̠ i ɾ e̞ z o̞ ɾʲ ɨᵝː ɕ õ̞ ɴ
ハイレゾリューションオーディオ	h a̠ i ɾ e̞ z o̞ ɾʲ ɨᵝː ɕ õ̞ ɰ̃ o̞ː dʲ i o̞
ハウス	h a̠ ɯ̟ᵝ s ɨᵝ
ハクション	h a̠ k ɯ̟̊ᵝ ɕ õ̞ ɴ
ハシビロコウ	h a̠ ɕ i bʲ i ɾ o̞ k o̞ː
ハスカップ	h a̠ s ɨ̥ᵝ k a̠ p̚ p ɯ̟ᵝ
ハスキー	h a̠ s ɨᵝ kʲ iː
ハズバンド	h a̠ z ɨᵝ b ã̠ n d o̞
ハッカ	h a̠ k̚ k a̠
ハッカー	h a̠ k̚ k a̠ː
ハッシウム	h a̠ ɕː i ɯ̟ᵝ m ɯ̟ᵝ
ハッジ	h a̠ d̚ d͡ʑ i
ハットトリック	h a̠ t̚ t o̞ t o̞ ɾʲ i k̚ k ɯ̟ᵝ
ハッピーエンド	h a̠ p̚ʲ pʲ iː ẽ̞ n d o̞
ハツ	h a̠ t͡s ɨᵝ
ハドル	h a̠ d o̞ ɾ ɯ̟ᵝ
ハニカム	h a̠ ɲ̟ i k a̠ m ɯ̟ᵝ
ハニー	h a̠ ɲ̟ iː
ハネムーン	h a̠ n e̞ m ɯ̟̃ᵝː ɴ
ハノイ	h a̠ n o̞ i
ハバナ	h a̠ b a̠ n a̠
ハフニウム	h a̠ ɸ ɯ̟ᵝ ɲ̟ i ɯ̟ᵝ m ɯ̟ᵝ
ハブーブ	h a̠ b ɯ̟ᵝː b ɯ̟ᵝ
ハム	h a̠ m ɯ̟ᵝ
ハムスター	h a̠ m ɯ̟ᵝ s ɨ̥ᵝ t a̠ː
ハヤシライス	h a̠ j a̠ ɕ i ɾ a̠ i s ɨᵝ
ハラスメント	h a̠ ɾ a̠ s ɨᵝ m ẽ̞ n t o̞
ハラッパー	h a̠ ɾ a̠ p̚ p a̠ː
ハリウッド	h a̠ ɾʲ i ɯ̟ᵝ d̚ d̥ o̞
ハリケーン	h a̠ ɾʲ i k ẽ̞ː ɴ
ハルツーム	h a̠ ɾ ɯ̟ᵝ t͡s ɨᵝː m ɯ̟ᵝ
ハルビン	h a̠ ɾ ɯ̟ᵝ bʲ ĩ ɴ
ハレム	h a̠ ɾ e̞ m ɯ̟ᵝ
ハレルヤ	h a̠ ɾ e̞ ɾ ɯ̟ᵝ j a̠
