ա	ɑ
հպարտանալ	h ə p ɑ ɾ t ɑ n ɑ l
հպարտություն	h ə p ɑ ɾ t u tʰ j u n
հռենոս	h r ɛ n ɔ s
հռենոս	h ə r ɛ n ɔ s
հռետոր	h r ɛ t ɔ ɾ
հռետորաբան	h ə r ɛ t ɔ ɾ ɑ b ɑ n
հռետորաբանություն	h r ɛ t ɔ ɾ ɑ b ɑ n u tʰ j u n
հռետորաբանություն	h ə r ɛ t ɔ ɾ ɑ b ɑ n u tʰ j u n
հռիփսիմե	h r i pʰ s i m ɛ
հռոդոս	h r ɔ d ɔ s
հռոմ	h r ɔ m
հռոմ	h ə r ɔ m
հռոմեական	h r ɔ m j ɑ k ɑ n
հռոմեական	h ə r ɔ m j ɑ k ɑ n
հռոմեացի	h r ɔ m ɛ j ɑ t͡sʰ i
հռոմեացի	h ə r ɔ m ɛ j ɑ t͡sʰ i
հռովմայեցի	h r ɔ v m ɑ j ɛ t͡sʰ i
հռովմայեցի	h ə r ɔ v m ɑ j ɛ t͡sʰ i
հռովմեական	h r ɔ v m ɛ j ɑ k ɑ n
հռովմեական	h ə r ɔ v m ɛ j ɑ k ɑ n
հռչակ	h ə r t͡ʃʰ ɑ k
հռչակավոր	h ə r t͡ʃʰ ɑ k ɑ v ɔ ɾ
հսկա	h ə s k ɑ
հսկայական	h ə s k ɑ j ɑ k ɑ n
հսկել	h ə s k ɛ l
հստակ	h ə s t ɑ k
հստակորեն	h ə s t ɑ k ɔ ɾ ɛ n
հտհ	h ə t ə h ə
հրաբուխ	h ə ɾ ɑ b u χ
հրադադար	h ə ɾ ɑ d ɑ tʰ ɑ ɾ
հրազդան	h ə ɾ ɑ z d ɑ n
հրաժարական	h ə ɾ ɑ ʒ ɑ ɾ ɑ k ɑ n
հրաժեշտ	h ə ɾ ɑ ʒ ɛ ʃ t
հրաժեշտախնջույք	h ə ɾ ɑ ʒ ɛ ʃ t ɑ χ ə n d͡ʒ u j kʰ
հրաժեշտասեղան	h ə ɾ ɑ ʒ ɛ ʃ t ɑ s ɛ ʁ ɑ n
հրահան	h ə ɾ ɑ h ɑ n
հրահրել	h ə ɾ ɑ h ə ɾ ɛ l
հրաձգարան	h ə ɾ ɑ d͡z ə kʰ ɑ ɾ ɑ n
հրաձգել	h ə ɾ ɑ d͡z ə kʰ ɛ l
հրամայական	h ə ɾ ɑ m ɑ j ɑ k ɑ n
հրամայել	h ə ɾ ɑ m ɑ j ɛ l
հրաման	h ə ɾ ɑ m ɑ n
հրամանատար	h ə ɾ ɑ m ɑ n ɑ t ɑ ɾ
հրայր	h ə ɾ ɑ j ɾ
հրանտ	h ə ɾ ɑ n t
հրաշակերտ	h ə ɾ ɑ ʃ ɑ k ɛ ɾ t
հրաշք	h ə ɾ ɑ ʃ kʰ
հրաչ	h ə ɾ ɑ t͡ʃʰ
հրաչյա	h ə ɾ ɑ t͡ʃʰ j ɑ
հրապատ	h ə ɾ ɑ p ɑ t
հրապարակ	h ə ɾ ɑ p ɑ ɾ ɑ k
հրապարակայնություն	h ə ɾ ɑ p ɑ ɾ ɑ k ɑ j n u tʰ j u n
հրապարակավ	h ɾ ɑ p ɑ ɾ ɑ k ɑ v
հրապարակել	h ə ɾ ɑ p ɑ ɾ ɑ k ɛ l
հրապույր	h ə ɾ ɑ p u j ɾ
հրապուրել	h ə ɾ ɑ p u ɾ ɛ l
հրասախ	h ə ɾ ɑ s ɑ χ
հրասայլ	h ə ɾ ɑ s ɑ j l
հրավառել	h ə ɾ ɑ v ɑ r ɛ l
հրավառություն	h ə ɾ ɑ v ɑ r u tʰ j u n
հրավեր	h ə ɾ ɑ v ɛ ɾ
հրավերք	h ə ɾ ɑ v ɛ ɾ kʰ
հրավիրել	h ə ɾ ɑ v i ɾ ɛ l
հրատ	h ə ɾ ɑ t
հրատապ	h ə ɾ ɑ t ɑ p
հրատարակել	h ə ɾ ɑ t ɑ ɾ ɑ k ɛ l
հրատարակիչ	h ə ɾ ɑ t ɑ ɾ ɑ k i t͡ʃʰ
հրատարակում	h ə ɾ ɑ t ɑ ɾ ɑ k u m
հրատարակչություն	h ə ɾ ɑ t ɑ ɾ ɑ k t͡ʃʰ u tʰ j u n
հրացան	h ə ɾ ɑ t͡sʰ ɑ n
հրացանակիր	h ə ɾ ɑ t͡sʰ ɑ n ɑ k i ɾ
հրդեհ	h ə ɾ d ɛ h
հրդեհում	h ə ɾ d ɛ h u m
հրեա	h ə ɾ j ɑ
հրեա	h ə ɾ ɛ ɑ
հրեական	h ə ɾ j ɑ k ɑ n
հրեաստան	h ə ɾ j ɑ s t ɑ n
հրեաստան	h ə ɾ ɛ ɑ s t ɑ n
հրել	h ə ɾ ɛ l
հրեղեն	h ə ɾ ɛ ʁ ɛ n
հրեշ	h ə ɾ ɛ ʃ
հրեշտակ	h ə ɾ ɛ ʃ t ɑ k
հրեշտակյան	h ə ɾ ɛ ʃ t ɑ k j ɑ n
հրես	h ə ɾ ɛ s
հրետ	h ə ɾ ɛ t
հրետանի	h ə ɾ ɛ t ɑ n i
հրթիռ	h ə ɾ tʰ i r
հրկիզել	h ə ɾ k i z ɛ l
հրկիզում	h ə ɾ k i z u m
հրճվանք	h ə ɾ t͡ʃ v ɑ ŋ kʰ
հրճվել	h ə ɾ t͡ʃ v ɛ l
հրշեջ	h ə ɾ ʃ ɛ d͡ʒ
հրողբեր	h ə ɾ ɔ χ p ɛ ɾ
հրովարտակ	h ə ɾ ɔ v ɑ ɾ t ɑ k
հրուդեն	h ə ɾ u d ɛ n
հրուշակ	h ə ɾ u ʃ ɑ k
հրուշակագործ	h ə ɾ u ʃ ɑ k ɑ ɡ ɔ ɾ t͡s
հրուշակեղեն	h ə ɾ u ʃ ɑ k ɛ ʁ ɛ n
հրվանդան	h ə ɾ v ɑ n d ɑ n
հօգուտ	h ɔ kʰ u t
հօպ	h ɔ p
ձ	d͡z ə
ձա	d͡z ɑ
ձագ	d͡z ɑ kʰ
ձագար	d͡z ɑ ɡ ɑ ɾ
ձախ	d͡z ɑ χ
ձախլիկ	d͡z ɑ χ l i k
ձախող	d͡z ɑ χ ɔ ʁ
ձախողակ	d͡z ɑ χ ɔ ʁ ɑ k
ձաղ	d͡z ɑ ʁ
ձաղանք	d͡z ɑ ʁ ɑ ŋ kʰ
ձաղել	d͡z ɑ ʁ ɛ l
ձաղկ	d͡z ɑ χ k
ձաղկել	d͡z ɑ χ k ɛ l
ձաղտել	d͡z ɑ χ t ɛ l
ձայն	d͡z ɑ j n
ձայնապնակ	d͡z ɑ j n ɑ p ə n ɑ k
ձայնասփյուռ	d͡z ɑ j n ɑ s pʰ j u r
ձայնավոր	d͡z ɑ j n ɑ v ɔ ɾ
ձայնդարձ	d͡z ɑ j n d ɑ ɾ t͡sʰ
ձայնեղ	d͡z ɑ j n ɛ ʁ
ձայներիզ	d͡z ɑ j n ɛ ɾ i z
ձայնորդ	d͡z ɑ j n ɔ ɾ tʰ
ձանձրալի	d͡z ɑ n d͡z ɾ ɑ l i
ձանձրույթ	d͡z ɑ n d͡z ɾ u j tʰ
ձաուջիկաու	d͡z ɑ u d͡ʒ i k ɑ u
ձառ	d͡z ɑ r
ձավար	d͡z ɑ v ɑ ɾ
ձավարապուր	d͡z ɑ v ɑ ɾ ɑ p u ɾ
ձար	d͡z ɑ ɾ
ձարխոտ	d͡z ɑ ɾ χ ɔ t
ձգել	d͡z ə kʰ ɛ l
ձգտել	d͡z ə kʰ t ɛ l
ձգտում	d͡z ə kʰ t u m
ձեզ	d͡z ɛ z
ձեթ	d͡z ɛ tʰ
ձելկվա	d͡z ɛ l k v ɑ
ձեղնահարկ	d͡z ɛ ʁ n ɑ h ɑ ɾ k
ձեղուն	d͡z ɛ ʁ u n
ձեն	d͡z ɛ n
ձեռ	d͡z ɛ r
ձեռագիր	d͡z ɛ r ɑ ɡ i ɾ
ձեռային	d͡z ɛ r ɑ j i n
ձեռնագնդակ	d͡z ɛ r n ɑ ɡ ə n d ɑ k
ձեռնածու	d͡z ɛ r n ɑ t͡s u
ձեռնաշարժություն	d͡z ɛ r n ɑ ʃ ɑ ɾ ʒ u tʰ j u n
ձեռնաշղթա	d͡z ɛ r n ɑ ʃ ə χ tʰ ɑ
ձեռնասայլ	d͡z ɛ r n ɑ s ɑ j l
ձեռնասայլակ	d͡z ɛ r n ɑ s ɑ j l ɑ k
ձեռնարկ	d͡z ɛ r n ɑ ɾ k
ձեռնարկություն	d͡z ɛ r n ɑ ɾ k u tʰ j u n
ձեռներեց	d͡z ɛ r n ɛ ɾ ɛ t͡sʰ
ձեռնոց	d͡z ɛ r n ɔ t͡sʰ
ձեռնպահ	d͡z ɛ r ə n p ɑ h
ձեռնտու	d͡z ɛ r n ə t u
ձեռնտու	d͡z ɛ r ə n t u
ձեռք	d͡z ɛ r kʰ
ձեռքի	d͡z ɛ r kʰ i
ձեռքսեղմում	d͡z ɛ r kʰ s ɛ ʁ m u m
ձեռքսեղմում	d͡z ɛ r kʰ s ɛ χ m u m
ձետ	d͡z ɛ t
ձերբակալ	d͡z ɛ ɾ pʰ ɑ k ɑ l
ձերբակալել	d͡z ɛ ɾ pʰ ɑ k ɑ l ɛ l
ձերբակալություն	d͡z ɛ ɾ pʰ ɑ k ɑ l u tʰ j u n
ձերովսանն	d͡z ɛ ɾ ɔ f s ɑ nː
ձեւ	d͡z ɛ v
ձեւաբանություն	d͡z ɛ v ɑ b ɑ n u tʰ j u n
ձեւանմուշ	d͡z ɛ v ɑ n ə m u ʃ
ձեւաչափ	d͡z ɛ v ɑ t͡ʃʰ ɑ pʰ
ձեւավորել	d͡z ɛ v ɑ v ɔ ɾ ɛ l
ձեւույթ	d͡z ɛ v u j tʰ
ձի	d͡z i
ձիաբոռ	d͡z i j ɑ b ɔ r
ձիահ	d͡z i ɑ h
ձիաուժ	d͡z i j ɑ u ʒ
ձիաստան	d͡z i j ɑ s t ɑ n
ձիաստաց	d͡z i j ɑ s t ɑ t͡sʰ
ձիգ	d͡z i kʰ
ձիթայուղ	d͡z i tʰ ɑ j u ʁ
ձիթապտուղ	d͡z i tʰ ɑ p ə t u ʁ
ձիթենի	d͡z i tʰ ɛ n i
ձիր	d͡z i ɾ
ձիրք	d͡z i ɾ kʰ
ձկնաբան	d͡z ə k n ɑ b ɑ n
ձկնաբանական	d͡z ə k n ɑ b ɑ n ɑ k ɑ n
ձկնաբանություն	d͡z ə k n ɑ b ɑ n u tʰ j u n
ձկնկիթ	d͡z ə k ə ŋ k i tʰ
ձկնկուլ	d͡z ə k ə ŋ k u l
ձկնորս	d͡z ə k n ɔ ɾ s
ձկնորսական	d͡z ə k n ɔ ɾ s ɑ k ɑ n
ձկնորսություն	d͡z ə k n ɔ ɾ s u tʰ j u n
ձձում	d͡z ə t͡sʰ u m
ձմեթ	d͡z ə m ɛ tʰ
ձմեռ	d͡z ə m ɛ r
ձմեռային	d͡z ə m ɛ r ɑ j i n
ձմեռանոց	d͡z ə m ɛ r ɑ n ɔ t͡sʰ
ձմեռոց	d͡z ə m ɛ r ɔ t͡sʰ
ձմերուկ	d͡z ə m ɛ ɾ u k
ձմուկ	d͡z ə m u k
ձմռանը	d͡z ə m r ɑ n ə
ձյութ	d͡z j u tʰ
ձյուն	d͡z j u n
ձյունակույտ	d͡z j u n ɑ k u j t
ձյունահովազ	d͡z j u n ɑ h ɔ v ɑ z
ձյունամրրիկ	d͡z j u n ɑ m ə ɾː i k
ձյունատախտակ	d͡z j u n ɑ t ɑ χ t ɑ k
ձյունափաթիլ	d͡z j u n ɑ pʰ ɑ tʰ i l
ձյունե	d͡z j u n ɛ
ձնաբուք	d͡z ə n ɑ b u kʰ
ձնագնդիկ	d͡z ə n ɑ ɡ ə n d i k
ձնահյուս	d͡z ə n ɑ h j u s
ձնամարդ	d͡z ə n ɑ m ɑ ɾ tʰ
ձնե	d͡z ə n ɛ
ձնեմարդ	d͡z ə n ɛ m ɑ ɾ tʰ
ձնծաղիկ	d͡z ə n t͡s ɑ ʁ i k
ձող	d͡z ɔ ʁ
ձողաձուկ	d͡z ɔ ʁ ɑ d͡z u k
ձողիկ	d͡z ɔ ʁ i k
ձոր	d͡z ɔ ɾ
ձորակ	d͡z ɔ ɾ ɑ k
ձորձ	d͡z ɔ ɾ d͡z
ձու	d͡z u
ձութ	d͡z u tʰ
ձուլածո	d͡z u l ɑ t͡s ɔ
ձուլարան	d͡z u l ɑ ɾ ɑ n
ձուլել	d͡z u l ɛ l
ձուկ	d͡z u k
ձուղբ	d͡z u χ p
ձուղպ	d͡z u χ p
ձույլ	d͡z u j l
ձուն	d͡z u n
ձվաբջիջ	d͡z ə v ɑ b ə d͡ʒ i d͡ʒ
ձվագիծ	d͡z ə v ɑ ɡ i t͡s
ձվածեղ	d͡z ə v ɑ t͡s ɛ ʁ
ձվաձեղ	d͡z ə v ɑ d͡z ɛ ʁ
ձվաձեւ	d͡z ə v ɑ d͡z ɛ v
ձվատար	d͡z ə v ɑ t ɑ ɾ
ձվարան	d͡z ə v ɑ ɾ ɑ n
ձվիկ	d͡z ə v i k
ձրի	d͡z ə ɾ i
ղ	ʁ ə
ղաբուլ	ʁ ɑ b u l
ղազ	ʁ ɑ z
ղազախ	ʁ ɑ z ɑ χ
ղազախական	ʁ ɑ z ɑ χ ɑ k ɑ n
ղազախերեն	ʁ ɑ z ɑ χ ɛ ɾ ɛ n
ղազախստան	ʁ ɑ z ɑ χ s t ɑ n
ղազար	ʁ ɑ z ɑ ɾ
ղազարյան	ʁ ɑ z ɑ ɾ j ɑ n
ղազարոս	ʁ ɑ z ɑ ɾ ɔ s
ղազվին	ʁ ɑ z v i n
ղալաթ	ʁ ɑ l ɑ tʰ
ղալամթրաշ	ʁ ɑ l ɑ m tʰ ə ɾ ɑ ʃ
ղալիբ	ʁ ɑ l i b
ղալմաղալ	ʁ ɑ l m ɑ ʁ ɑ l
ղայիլ	ʁ ɑ j i l
ղայիշ	ʁ ɑ j i ʃ
ղանդահար	ʁ ɑ n d ɑ h ɑ ɾ
ղանթար	ʁ ɑ n tʰ ɑ ɾ
ղանձիլ	ʁ ɑ n d͡z i l
ղանձլամեր	ʁ ɑ n d͡z ə l ɑ m ɛ ɾ
ղանոն	ʁ ɑ n ɔ n
ղաշանգ	ʁ ɑ ʃ ɑ ŋ ɡ
ղասաբ	ʁ ɑ s ɑ b
ղասաբյան	ʁ ɑ s ɑ b j ɑ n
ղավ	ʁ ɑ v
ղատ	ʁ ɑ t
ղարաբաղ	ʁ ɑ ɾ ɑ b ɑ ʁ
ղարաբաղյան	ʁ ɑ ɾ ɑ b ɑ ʁ j ɑ n
ղարաբաղցի	ʁ ɑ ɾ ɑ b ɑ χ t͡sʰ i
ղարանֆիլ	ʁ ɑ ɾ ɑ n f i l
ղարավաշ	ʁ ɑ ɾ ɑ v ɑ ʃ
ղարս	ʁ ɑ ɾ s
ղափաղ	ʁ ɑ pʰ ɑ ʁ
ղափամա	ʁ ɑ pʰ ɑ m ɑ
ղափան	ʁ ɑ pʰ ɑ n
ղափլան	ʁ ɑ pʰ l ɑ n
ղեկ	ʁ ɛ k
ղեկավար	ʁ ɛ k ɑ v ɑ ɾ
ղեկավարել	ʁ ɛ k ɑ v ɑ ɾ ɛ l
ղեկավարություն	ʁ ɛ k ɑ v ɑ ɾ u tʰ j u n
ղենջակ	ʁ ɛ n d͡ʒ ɑ k
ղեւոնդ	ʁ ɛ v ɔ n d
ղզիկ	ʁ ə z i k
ղզլար	ʁ ə z l ɑ ɾ
ղզղնած	ʁ ə z ʁ ə n ɑ t͡s
ղիամաթ	ʁ i j ɑ m ɑ tʰ
ղոզ	ʁ ɔ z
ղոնաղ	ʁ ɔ n ɑ ʁ
ղութի	ʁ u tʰ i
ղուկաս	ʁ u k ɑ s
ղում	ʁ u m
ղուշ	ʁ u ʃ
ղուսուր	ʁ u s u ɾ
ղուրան	ʁ u ɾ ɑ n
ղպտի	ʁ ə p t i
ղպտիական	ʁ ə p t i j ɑ k ɑ n
ղպտիերեն	ʁ ə p t i j ɛ ɾ ɛ n
ղսմաթ	ʁ ə s m ɑ tʰ
ղրիմ	ʁ ə ɾ i m
ղրղզական	ʁ ə ɾ ʁ ə z ɑ k ɑ n
ղրղզերեն	ʁ ə ɾ ʁ ə z ɛ ɾ ɛ n
ղրղզստան	ʁ ə ɾ ʁ ə z s t ɑ n
ղրղըզ	ʁ ə ɾ ʁ ə z
ճ	t͡ʃ ə
ճագար	t͡ʃ ɑ ɡ ɑ ɾ
ճախարակ	t͡ʃ ɑ χ ɑ ɾ ɑ k
ճախրել	t͡ʃ ɑ χ ɾ ɛ l
ճակատ	t͡ʃ ɑ k ɑ t
ճակատագիր	t͡ʃ ɑ k ɑ t ɑ ɡ i ɾ
ճակատամարտ	t͡ʃ ɑ k ɑ t ɑ m ɑ ɾ t
ճակատային	t͡ʃ ɑ k ɑ t ɑ j i n
ճակնդեղ	t͡ʃ ɑ k ə n d ɛ ʁ
ճահիճ	t͡ʃ ɑ h i t͡ʃ
ճահուկ	t͡ʃ ɑ h u k
ճաղ	t͡ʃ ɑ ʁ
ճաղաշար	t͡ʃ ɑ ʁ ɑ ʃ ɑ ɾ
ճաղաշարք	t͡ʃ ɑ ʁ ɑ ʃ ɑ ɾ kʰ
ճաղատ	t͡ʃ ɑ ʁ ɑ t
ճաճանչ	t͡ʃ ɑ t͡ʃ ɑ n t͡ʃʰ
ճամայկա	t͡ʃ ɑ m ɑ j k ɑ
ճամբար	t͡ʃ ɑ m b ɑ ɾ
ճամուկ	t͡ʃ ɑ m u k
ճամպրուկ	t͡ʃ ɑ m p ɾ u k
ճամփա	t͡ʃ ɑ m pʰ ɑ
ճամփել	t͡ʃ ɑ m pʰ ɛ l
ճամփորդ	t͡ʃ ɑ m pʰ ɔ ɾ tʰ
ճամփորդել	t͡ʃ ɑ m pʰ ɔ ɾ tʰ ɛ l
ճայ	t͡ʃ ɑ j
ճան	t͡ʃ ɑ n
ճանաչել	t͡ʃ ɑ n ɑ t͡ʃʰ ɛ l
ճանաչում	t͡ʃ ɑ n ɑ t͡ʃʰ u m
ճանապարհ	t͡ʃ ɑ n ɑ p ɑ ɾ
ճանապարհային	t͡ʃ ɑ n ɑ p ɑ ɾ ɑ j i n
ճանապարհել	t͡ʃ ɑ n ɑ p ɑ ɾ ɛ l
ճանապարհորդ	t͡ʃ ɑ n ɑ p ɑ ɾ ɔ ɾ tʰ
ճանապարհորդել	t͡ʃ ɑ n ɑ p ɑ ɾ ɔ ɾ tʰ ɛ l
ճանապարհորդություն	t͡ʃ ɑ n ɑ p ɑ ɾ ɔ ɾ tʰ u tʰ j u n
ճանգ	t͡ʃ ɑ ŋ ɡ
ճանդան	t͡ʃ ɑ n d ɑ n
ճանկ	t͡ʃ ɑ ŋ k
ճանճ	t͡ʃ ɑ n t͡ʃ
ճանճկեն	t͡ʃ ɑ n t͡ʃ k ɛ n
ճաշ	t͡ʃ ɑ ʃ
ճաշակ	t͡ʃ ɑ ʃ ɑ k
ճաշաման	t͡ʃ ɑ ʃ ɑ m ɑ n
ճաշասեղան	t͡ʃ ɑ ʃ ɑ s ɛ ʁ ɑ n
ճաշասրահ	t͡ʃ ɑ ʃ ɑ s ə ɾ ɑ h
ճաշարան	t͡ʃ ɑ ʃ ɑ ɾ ɑ n
ճաշացուցակ	t͡ʃ ɑ ʃ ɑ t͡sʰ u t͡sʰ ɑ k
ճաշել	t͡ʃ ɑ ʃ ɛ l
ճաշկերույթ	t͡ʃ ɑ ʃ k ɛ ɾ u j tʰ
ճապոնական	t͡ʃ ɑ p ɔ n ɑ k ɑ n
ճապոնացի	t͡ʃ ɑ p ɔ n ɑ t͡sʰ i
ճապոներեն	t͡ʃ ɑ p ɔ n ɛ ɾ ɛ n
ճապոնիա	t͡ʃ ɑ p ɔ n j ɑ
ճապուկ	t͡ʃ ɑ p u k
ճառ	t͡ʃ ɑ r
ճառագայթ	t͡ʃ ɑ r ɑ ɡ ɑ j tʰ
ճավա	t͡ʃ ɑ v ɑ
ճավայերեն	t͡ʃ ɑ v ɑ j ɛ ɾ ɛ n
ճատրակ	t͡ʃ ɑ t ɾ ɑ k
ճար	t͡ʃ ɑ ɾ
ճարակ	t͡ʃ ɑ ɾ ɑ k
ճարահատ	t͡ʃ ɑ ɾ ɑ h ɑ t
ճարահատել	t͡ʃ ɑ ɾ ɑ h ɑ t ɛ l
ճարահատյալ	t͡ʃ ɑ ɾ ɑ h ɑ t j ɑ l
ճարահատություն	t͡ʃ ɑ ɾ ɑ h ɑ t u tʰ j u n
ճարահատվել	t͡ʃ ɑ ɾ ɑ h ɑ t v ɛ l
ճարել	t͡ʃ ɑ ɾ ɛ l
ճարմանդ	t͡ʃ ɑ ɾ m ɑ n d
ճարպ	t͡ʃ ɑ ɾ p
ճարպիկ	t͡ʃ ɑ ɾ p i k
ճարտար	t͡ʃ ɑ ɾ t ɑ ɾ
ճարտարագետ	t͡ʃ ɑ ɾ t ɑ ɾ ɑ ɡ ɛ t
ճարտարագիտական	t͡ʃ ɑ ɾ t ɑ ɾ ɑ ɡ i t ɑ k ɑ n
ճարտարապետ	t͡ʃ ɑ ɾ t ɑ ɾ ɑ p ɛ t
ճարտարապետություն	t͡ʃ ɑ ɾ t ɑ ɾ ɑ p ɛ t u tʰ j u n
ճարտուկ	t͡ʃ ɑ ɾ t u k
ճաք	t͡ʃ ɑ kʰ
ճաքած	t͡ʃ ɑ kʰ ɑ t͡s
ճաքել	t͡ʃ ɑ kʰ ɛ l
ճգնաժամ	t͡ʃ ə kʰ n ɑ ʒ ɑ m
ճգնավոր	t͡ʃ ə kʰ n ɑ v ɔ ɾ
ճե	t͡ʃ ɛ
ճեղք	t͡ʃ ɛ χ kʰ
ճեղքել	t͡ʃ ɛ χ kʰ ɛ l
ճեղքում	t͡ʃ ɛ χ kʰ u m
ճեղքվածք	t͡ʃ ɛ χ kʰ v ɑ t͡s kʰ
ճեղքվել	t͡ʃ ɛ χ kʰ v ɛ l
ճեմասրահ	t͡ʃ ɛ m ɑ s ə ɾ ɑ h
ճեմել	t͡ʃ ɛ m ɛ l
ճենապակի	t͡ʃ ɛ n ɑ p ɑ k i
ճենովա	t͡ʃ ɛ n ɔ v ɑ
ճենովական	t͡ʃ ɛ n ɔ v ɑ k ɑ n
ճենովացի	t͡ʃ ɛ n ɔ v ɑ t͡sʰ i
ճեպազրույց	t͡ʃ ɛ p ɑ z ə ɾ u j t͡sʰ
ճերմակ	t͡ʃ ɛ ɾ m ɑ k
ճերմակություն	t͡ʃ ɛ ɾ m ɑ k u tʰ j u n
ճիգ	t͡ʃ i kʰ
ճիզվիտ	t͡ʃ i z v i t
ճիճ	t͡ʃ i t͡ʃ
ճիճու	t͡ʃ i t͡ʃ u
ճիմ	t͡ʃ i m
ճիշտ	t͡ʃ i ʃ t
ճիչ	t͡ʃ i t͡ʃʰ
ճիպոտ	t͡ʃ i p ɔ t
ճիռ	t͡ʃ i r
ճիվ	t͡ʃ i v
ճիտ	t͡ʃ i t
ճիտք	t͡ʃ i t kʰ
ճիրան	t͡ʃ i ɾ ɑ n
ճլեզ	t͡ʃ ə l ɛ z
ճկել	t͡ʃ ə k ɛ l
ճկույթ	t͡ʃ ə k u j tʰ
ճկուն	t͡ʃ ə k u n
ճկունություն	t͡ʃ ə k u n u tʰ j u n
ճղել	t͡ʃ ə ʁ ɛ l
ճճու	t͡ʃ ə t͡ʃ u
ճմլել	t͡ʃ ə m l ɛ l
ճմռել	t͡ʃ ə m r ɛ l
ճմռթել	t͡ʃ ə m ə r tʰ ɛ l
ճյուղ	t͡ʃ j u ʁ
ճնճղկաբլիթ	t͡ʃ ə n t͡ʃ ə χ k ɑ b ə l i tʰ
ճնճղուկ	t͡ʃ ə n t͡ʃ ə ʁ u k
ճնշում	t͡ʃ ə n ʃ u m
ճշգրիտ	t͡ʃ ə ʃ ɡ ə ɾ i t
ճշգրիտ	t͡ʃ ə ʃ ɡ ɾ i t
ճշգրտել	t͡ʃ ə ʃ ɡ ə ɾ t ɛ l
ճշմարիտ	t͡ʃ ə ʃ m ɑ ɾ i t
ճշմարտիվ	t͡ʃ ə ʃ m ɑ ɾ t i v
ճշմարտություն	t͡ʃ ə ʃ m ɑ ɾ t u tʰ j u n
ճշտիվ	t͡ʃ ə ʃ t i v
ճո	t͡ʃ ə ɔ
ճոխ	t͡ʃ ɔ χ
ճոկան	t͡ʃ ɔ k ɑ n
ճողոպրել	t͡ʃ ɔ ʁ ɔ p ɾ ɛ l
ճոճ	t͡ʃ ɔ t͡ʃ
ճոճաթոռ	t͡ʃ ɔ t͡ʃ ɑ tʰ ɔ r
ճոճանակ	t͡ʃ ɔ t͡ʃ ɑ n ɑ k
ճոճել	t͡ʃ ɔ t͡ʃ ɛ l
ճոն	t͡ʃ ɔ n
ճոպան	t͡ʃ ɔ p ɑ n
ճոռոմ	t͡ʃ ɔ r ɔ m
ճոռոմաբան	t͡ʃ ɔ r ɔ m ɑ b ɑ n
ճոռոմաբանական	t͡ʃ ɔ r ɔ m ɑ b ɑ n ɑ k ɑ n
ճոռոմաբանել	t͡ʃ ɔ r ɔ m ɑ b ɑ n ɛ l
ճոռոմաբանություն	t͡ʃ ɔ r ɔ m ɑ b ɑ n u tʰ j u n
ճոռոմախոս	t͡ʃ ɔ r ɔ m ɑ χ ɔ s
ճոռոմախոսել	t͡ʃ ɔ r ɔ m ɑ χ ɔ s ɛ l
ճոռոմախոսություն	t͡ʃ ɔ r ɔ m ɑ χ ɔ s u tʰ j u n
ճորոխ	t͡ʃ ɔ ɾ ɔ χ
ճորտ	t͡ʃ ɔ ɾ t
ճուճուլ	t͡ʃ u t͡ʃ u l
ճուճուլիկ	t͡ʃ u t͡ʃ u l i k
ճումբ	t͡ʃ u m b
ճուտ	t͡ʃ u t
ճչալ	t͡ʃ ə t͡ʃʰ ɑ l
ճչել	t͡ʃ ə t͡ʃʰ ɛ l
ճպուռ	t͡ʃ ə p u r
ճռիկ	t͡ʃ ə r i k
ճռճռալ	t͡ʃ ə r t͡ʃ ə r ɑ l
ճվատել	t͡ʃ ə v ɑ t ɛ l
ճտճտալ	t͡ʃ ə t ə t͡ʃ t ɑ l
ճտպտալ	t͡ʃ ə t p ə t ɑ l
ճտվտալ	t͡ʃ ə t v ə t ɑ l
ճրագ	t͡ʃ ə ɾ ɑ kʰ
ճրագալույց	t͡ʃ ə ɾ ɑ kʰ ɑ l u j t͡sʰ
ճրագու	t͡ʃ ə ɾ ɑ kʰ u
մ	m ə
մա	m ɑ
մագադան	m ɑ ɡ ɑ d ɑ n
մագաս	m ɑ ɡ ɑ s
մագելան	m ɑ ɡ ɛ l ɑ n
մագիլ	m ɑ ɡ i l
մագլցել	m ɑ ɡ ə l t͡sʰ ɛ l
մագմա	m ɑ ɡ m ɑ
մագնիս	m ɑ ɡ n i s
մագնիսականություն	m ɑ ɡ n i s ɑ k ɑ n u tʰ j u n
մադագասկար	m ɑ d ɑ ɡ ɑ s k ɑ ɾ
մադադյան	m ɑ d ɑ d j ɑ n
մադաթ	m ɑ d ɑ tʰ
մադաթյան	m ɑ d ɑ tʰ j ɑ n
մադիան	m ɑ d j ɑ n
մադուրերեն	m ɑ d u ɾ ɛ ɾ ɛ n
մադրիդ	m ɑ d ɾ i d
մադրիդյան	m ɑ d ɾ i d j ɑ n
մազ	m ɑ z
մազանոթ	m ɑ z ɑ n ɔ tʰ
մազդեզն	m ɑ z d ɛ z ə n
մազուրկա	m ɑ z u ɾ k ɑ
մաթեմատիկա	m ɑ tʰ ɛ m ɑ t i k ɑ
մաթեմատիկոս	m ɑ tʰ ɛ m ɑ t i k ɔ s
մաթեւոս	m ɑ tʰ ɛ v ɔ s
