ँ	ə̃
नंगा	n̪ ə̃ ŋ ɡ äː
नंगापन	n̪ ə̃ ŋ ɡ äː p ə̃ n̪
नंदिनी	n̪ ə̃ n̪ d̪ ɪ n̪ iː
नंबर	n̪ ə̃ m b ə ɾ
नई	n̪ ə iː
नक़द	n̪ ə k ə d̪
नक़द	n̪ ə q ə d̪
नक़दी	n̪ ə k d̪ iː
नक़दी	n̪ ə q d̪ iː
नक़ल	n̪ ə k ə l̪
नक़ल	n̪ ə q ə l̪
नक़ली	n̪ ə k l̪ iː
नक़ली	n̪ ə q l̪ iː
नक़ाब	n̪ ə k äː b
नक़ाब	n̪ ə q äː b
नक़ाबपोश	n̪ ə k äː b̚ p oː ʃ
नक़ाबपोश	n̪ ə q äː b̚ p oː ʃ
नक़्क़ारा	n̪ ə k̚ k äː ɾ äː
नक़्क़ारा	n̪ ə q q äː ɾ äː
नक़्क़ाशी	n̪ ə k̚ k äː ʃ iː
नक़्क़ाशी	n̪ ə q q äː ʃ iː
नक़्शा	n̪ ə k ʃ äː
नक़्शा	n̪ ə q ʃ äː
नकार	n̪ ə k äː ɾ
नकारात्मक	n̪ ə k äː ɾ äː t̪ m ə k
नकेल	n̪ ə k eː l̪
नक्शा	n̪ ə k ʃ äː
नक्शा	n̪ ə q ʃ äː
नक्षत्र	n̪ ə k ʃ ə t̪ ɾᵊ
नख	n̪ ə kʰ
नखलिस्तान	n̪ ə kʰ l̪ ɪ s̪ t̪ ä̃ː n̪
नखलिस्तान	n̪ ə x l̪ ɪ s̪ t̪ ä̃ː n̪
नख़लिस्तान	n̪ ə kʰ l̪ ɪ s̪ t̪ ä̃ː n̪
नख़लिस्तान	n̪ ə x l̪ ɪ s̪ t̪ ä̃ː n̪
नगण्य	n̪ ə ɡ ə̃ ɳ jᵊ
नगर	n̪ ə ɡ ə ɾ
नगरीकरण	n̪ ə ɡ ə ɾ iː k ə ɾ ə̃ ɳ
नगरीकरण	n̪ ə ɡ ɾ iː k ə ɾ ə̃ ɳ
नगरीकृत	n̪ ə ɡ ə ɾ iː k ɾ ɪ t̪
नगरीकृत	n̪ ə ɡ ɾ iː k ɾ ɪ t̪
नग़मा	n̪ ə ɡ m äː
नग़मा	n̪ ə ɣ m äː
नगाड़ा	n̪ ə ɡ äː ɽ äː
नचाना	n̪ ə t͡ʃ äː n̪ äː
नजर	n̪ ə d͡ʒ ə ɾ
नजर	n̪ ə z ə ɾ
नज़र	n̪ ə d͡ʒ ə ɾ
नज़र	n̪ ə z ə ɾ
नज़रअंदाज़	n̪ ə d͡ʒ ə ɾ ə̃ n̪ d̪ äː d͡ʒ
नज़रअंदाज़	n̪ ə z ə ɾ ə̃ n̪ d̪ äː z
नज़रबंदी	n̪ ə d͡ʒ ə ɾ b ə̃ n̪ d̪ iː
नज़रबंदी	n̪ ə z ə ɾ b ə̃ n̪ d̪ iː
नज़रिया	n̪ ə d͡ʒ ə ɾ i j äː
नज़रिया	n̪ ə z ə ɾ i j äː
नज़ारा	n̪ ə d͡ʒ äː ɾ äː
नज़ारा	n̪ ə z äː ɾ äː
नजीबाबाद	n̪ ə d͡ʒ iː b äː b äː d̪
नजूमी	n̪ ə d͡ʒ uː m iː
नज्द	n̪ ə d͡ʒ d̪
नटखट	n̪ ə ʈ kʰ ə ʈ
नत	n̪ ə t̪
नति	n̪ ə t̪ iː
नतीजतन	n̪ ə t̪ iː d͡ʒ t̪ ə̃ n̪
नतीजा	n̪ ə t̪ iː d͡ʒ äː
नत्थी	n̪ ə t̪̚ t̪ʰ iː
नदारद	n̪ ə d̪ äː ɾ ə d̪
नदियाँ	n̪ ə d̪ i j ä̃ː
नदियो	n̪ ə d̪ i j oː
नदियों	n̪ ə d̪ i j õː
नदी	n̪ ə d̪ iː
ननद	n̪ ə n̪ ə d̪
नन्हा	n̪ ə̃ n̪ ɦ äː
नपुंसक	n̪ ə p ʊ̃ n̪ s̪ ə k
नपुंसकता	n̪ ə p ʊ̃ n̪ s̪ ə k t̪ äː
नफ़रत	n̪ ə f ɾ ə t̪
नफ़रत	n̪ ə pʰ ɾ ə t̪
नब्ज	n̪ ə b d͡ʒ
नब्ज	n̪ ə b z
नब्ज़	n̪ ə b d͡ʒ
नब्ज़	n̪ ə b z
नब्बे	n̪ ə b̚ b eː
नमक	n̪ ə m ə k
नमश्कार	n̪ ə m ə ʃ k äː ɾ
नमस्कार	n̪ ə m ə s̪ k äː ɾ
नमस्कार	n̪ ə m ə ʃ k äː ɾ
नमस्ते	n̪ ə m ə s̪ t̪ eː
नमाज़	n̪ ə m äː d͡ʒ
नमाज़	n̪ ə m äː z
नमाज़गाह	n̪ ə m äː d͡ʒ ɡ äː ɦ
नमाज़गाह	n̪ ə m äː z ɡ äː ɦ
नमी	n̪ ə m iː
नमूना	n̪ ə m uː n̪ äː
नम्र	n̪ ə̃ m ɾᵊ
नम्रता	n̪ ə̃ m ɾ ə t̪ äː
नयन	n̪ ə j ə̃ n̪
नया	n̪ ə j aː
नयी	n̪ ə j iː
नर	n̪ ə ɾ
नरक	n̪ ə ɾ ə k
नरगिस	n̪ ə ɾ ɡ ɪ s̪
नरभक्षी	n̪ ə ɾ bʱ ə k ʃ iː
नरम	n̪ ə ɾ ə̃ m
नरवृषभ	n̪ ə ɾ ʋ ɾ ɪ ʃ ə bʱ
नरसंहार	n̪ ə ɾ s̪ ə̃ ŋ ɦ äː ɾ
नरसंहार	n̪ ə ɾ s̪ ə̃ ɦ äː ɾ
नरसिंह	n̪ ə ɾ s̪ ɪ̃ ŋ ɡʱ
नरेश	n̪ ə ɾ eː ʃ
नर्तक	n̪ ə ɾ t̪ ə k
नर्तकी	n̪ ə ɾ t̪ ə k iː
नर्मदा	n̪ ə ɾ m ə d̪ äː
नर्स	n̪ ə ɾ s̪
नल्ला	n̪ ə l̪ l̪ äː
नवंबर	n̪ ə ʋ ə̃ m b ə ɾ
नवजात	n̪ ə ʋ d͡ʒ äː t̪
नवजीवन	n̪ ə ʋ d͡ʒ iː ʋ ə̃ n̪
नवनी	n̪ ə ʋ n̪ iː
नवनीत	n̪ ə ʋ n̪ iː t̪
नवरत्न	n̪ ə ʋ ɾ ə t̪̚ n̪ᵊ
नवरात्रि	n̪ ə ʋ ɾ äː t̪ ɾ iː
नवविवाहित	n̪ ə ʋ ʋ ɪ ʋ äː ɦ ɪ t̪
नवशास्त्रीय	n̪ ə ʋ ʃ äː s̪ t̪ ɾ iː jᵊ
नवाज़	n̪ ə ʋ äː d͡ʒ
नवाज़	n̪ ə ʋ äː z
नवाज़ना	n̪ ə ʋ äː d͡ʒ n̪ äː
नवाज़ना	n̪ ə ʋ äː z n̪ äː
नवाना	n̪ ə ʋ äː n̪ äː
नवाब	n̪ ə ʋ äː b
नवाबशाह	n̪ ə ʋ äː b ʃ äː ɦ
नवासी	n̪ ə ʋ äː s̪ iː
नवीन	n̪ ə v iː n̪
नशा	n̪ ə ʃ äː
नशेड़ी	n̪ ə ʃ eː ɽ iː
नष्ट	n̪ ə ʂ ʈ
नस	n̪ ə s̪
नसबंदी	n̪ ə s̪ b ə̃ n̪ d̪ iː
नसीब	n̪ ə s̪ iː b
नसीहत	n̪ ə s̪ iː ɦ ə t̪
नस्तालीक़	n̪ ə s̪ t̪ äː l̪ iː k
नस्तालीक़	n̪ ə s̪ t̪ äː l̪ iː q
नस्ल	n̪ ə s̪ l̪ᵊ
नस्लभेद	n̪ ə s̪ l̪ bʱ eː d̪
नस्लीय	n̪ ə s̪ l̪ iː jᵊ
नहर	n̪ ɛ ɦ ɛ ɾ
नहला	n̪ ɛ ɦ l̪ äː
नहलाना	n̪ ɛ ɦ l̪ äː n̪ äː
नहान	n̪ ə ɦ ä̃ː n̪
नहाना	n̪ ə ɦ äː n̪ äː
नहि	n̪ ə ɦ iː
नहीं	n̪ ə ɦ ĩː
ना	n̪ äː
नाइजीरिया	n̪ äː ɪ d͡ʒ iː ɾ i j äː
नाइनसाफ़ी	n̪ äː ɪ̃ n̪ s̪ äː f iː
नाइनसाफ़ी	n̪ äː ɪ̃ n̪ s̪ äː pʰ iː
नाई	n̪ äː iː
नाईं	n̪ äː ĩː
नाक	n̪ äː k
नाकाम	n̪ äː k ä̃ː m
नाख़ून	n̪ äː kʰ ũː n̪
नाख़ून	n̪ äː x ũː n̪
नाखुन	n̪ äː kʰ ʊ̃ n̪
नाखुन	n̪ äː x ʊ̃ n̪
नाखून	n̪ äː kʰ ũː n̪
नाखून	n̪ äː x ũː n̪
नाग	n̪ äː ɡ
नागपुर	n̪ äː ɡ p ʊ ɾ
नागरिक	n̪ äː ɡ ə ɾ ɪ k
नागरिक	n̪ äː ɡ ɾ ɪ k
नागरिकता	n̪ äː ɡ ɾ ɪ k t̪ äː
नागवार	n̪ äː ɡ ə ʋ äː ɾ
नागालैंड	n̪ äː ɡ äː l̪ ɛ̃ː ɳ ɖ
नागालैण्ड	n̪ äː ɡ äː l̪ ɛ̃ː ɳ ɖ
नाच	n̪ äː t͡ʃ
नाचना	n̪ äː t͡ʃ n̪ äː
नाज़	n̪ äː d͡ʒ
नाज़	n̪ äː z
नाज़ुकी	n̪ äː d͡ʒ ʊ k iː
नाज़ुकी	n̪ äː z ʊ k iː
नाजायज़	n̪ äː d͡ʒ äː j ə d͡ʒ
नाजायज़	n̪ äː d͡ʒ äː j ə z
नाटक	n̪ äː ʈ ə k
नाटककार	n̪ äː ʈ ə k̚ k äː ɾ
नाटा	n̪ äː ʈ äː
नाड़ी	n̪ äː ɽ iː
नाडु	n̪ äː ɖ uː
नाता	n̪ äː t̪ äː
नाती	n̪ äː t̪ iː
नाथ	n̪ äː t̪ʰ
नादान	n̪ äː d̪ ä̃ː n̪
नादानी	n̪ äː d̪ äː n̪ iː
नादिरशाही	n̪ äː d̪ ɪ ɾ ʃ äː ɦ iː
नान	n̪ ä̃ː n̪
नानस	n̪ äː n̪ ə s̪
नानसरा	n̪ äː n̪ ə s̪ ɾ äː
नाना	n̪ äː n̪ äː
नानी	n̪ äː n̪ iː
नानू	n̪ äː n̪ uː
नाप	n̪ äː p
नापना	n̪ äː p n̪ äː
नापसंद	n̪ äː p ə s̪ ə̃ n̪ d̪
नाफ़	n̪ äː f
नाफ़	n̪ äː pʰ
नाभि	n̪ äː bʱ iː
नाभिक	n̪ äː bʱ ɪ k
नाभिकीय	n̪ äː bʱ ɪ k iː jᵊ
नाम	n̪ ä̃ː m
नामंज़ूर	n̪ äː m ə̃ d͡ʒ uː ɾ
नामंज़ूर	n̪ äː m ə̃ z uː ɾ
नामक	n̪ äː m ə k
नामकरण	n̪ ä̃ː m k ə ɾ ə̃ ɳ
नामनिर्देशिती	n̪ ä̃ː m n̪ ɪ ɾ d̪ eː ʃ ɪ t̪ iː
नामवर	n̪ ä̃ː m w ə ɾ
नामांकन	n̪ äː m ä̃ː k ə̃ n̪
नामीबिया	n̪ äː m iː b i j äː
नामोत्पत्ति	n̪ äː m oː t̪ p ə t̪̚ t̪ iː
नायब	n̪ äː j ə b
नायाब	n̪ äː j äː b
नायिका	n̪ äː j ɪ k äː
नारंगी	n̪ äː ɾ ə̃ ŋ ɡ iː
नारा	n̪ äː ɾ äː
नाराज़	n̪ äː ɾ äː d͡ʒ
नाराज़	n̪ äː ɾ äː z
नारायण	n̪ äː ɾ äː j ə̃ ɳ
नारियल	n̪ äː ɾ i j ə l̪
नारी	n̪ äː ɾ iː
नारीत्व	n̪ äː ɾ iː t̪ wᵊ
नारीवाद	n̪ äː ɾ iː ʋ äː d̪
नाल	n̪ äː l̪
नाला	n̪ äː l̪ äː
नालायक	n̪ äː l̪ äː j ə k
नालायक	n̪ äː l̪ äː j ə q
नाव	n̪ äː ʋ
नाविक	n̪ äː ʋ ɪ k
नाशपाती	n̪ äː ʃ p äː t̪ iː
नाश्ता	n̪ äː ʃ t̪ äː
नासरत	n̪ äː s̪ ə ɾ ə t̪
नासिक	n̪ äː s̪ ɪ k
नास्तिक	n̪ äː s̪ t̪ ɪ k
नास्तिकता	n̪ äː s̪ t̪ ɪ k t̪ äː
नाहर	n̪ äː ɦ ə ɾ
निंदा	n̪ ɪ̃ n̪ d̪ äː
निंदासा	n̪ ɪ̃ n̪ d̪ äː s̪ äː
निःशब्द	n̪ ɪ ɦ ʃ ə b d̪
निःशुल्क	n̪ ɪ ɦ ʃ ʊ l̪ k
निकट	n̪ ɪ k ə ʈ
निकम्मा	n̪ ɪ k ə̃ m m äː
निकम्मापन	n̪ ɪ k ə̃ m m äː p ə̃ n̪
निकर	n̪ ɪ k ə ɾ
निकलना	n̪ ɪ k ə l̪ n̪ äː
निकलवाना	n̪ ɪ k ə l̪ ʋ äː n̪ äː
निक़ाब	n̪ ɪ k äː b
निक़ाब	n̪ ɪ q äː b
निकारागुआ	n̪ ɪ k äː ɾ äː ɡ ʊ äː
निकालना	n̪ ɪ k äː l̪ n̪ äː
निकास	n̪ ɪ k äː s̪
निकाह	n̪ ɪ k äː ɦ
निकोबार	n̪ ɪ k oː b äː ɾ
निखरना	n̪ ɪ kʰ ə ɾ n̪ äː
निखारना	n̪ ɪ kʰ äː ɾ n̪ äː
निगम	n̪ ɪ ɡ ə̃ m
निगमन	n̪ ɪ ɡ ə m ə̃ n̪
निगरानी	n̪ ɪ ɡ ɾ äː n̪ iː
निगलना	n̪ ɪ ɡ ə l̪ n̪ äː
निगाह	n̪ ɪ ɡ äː ɦ
निचला	n̪ ɪ t͡ʃ l̪ äː
निचोड़	n̪ ɪ t͡ʃ oː ɽ
निचोड़ना	n̪ ɪ t͡ʃ oː ɽ n̪ äː
निज	n̪ ɪ d͡ʒ
निज़ाम	n̪ ɪ d͡ʒ ä̃ː m
निज़ाम	n̪ ɪ z ä̃ː m
निज़ामाबाद	n̪ ɪ d͡ʒ äː m äː b äː d̪
निज़ामाबाद	n̪ ɪ z äː m äː b äː d̪
निजात	n̪ ɪ d͡ʒ äː t̪
निजी	n̪ ɪ d͡ʒ iː
निजीकरण	n̪ ɪ d͡ʒ iː k ə ɾ ə̃ ɳ
नितंब	n̪ ɪ t̪ ə̃ m b
नित्य	n̪ ɪ t̪ jᵊ
नित्यप्रति	n̪ ɪ t̪ j ə p ɾ ə t̪ iː
निदेशक	n̪ ɪ d̪ eː ʃ ə k
निद्र	n̪ ɪ d̪ ɾᵊ
निनानवे	n̪ ɪ n̪ ä̃ː n̪ w eː
निन्यानवे	n̪ ɪ̃ n̪ j ä̃ː n̪ w eː
निपुण	n̪ ɪ p ʊ̃ ɳ
निपूता	n̪ ɪ p uː t̪ äː
निबंध	n̪ ɪ b ə̃ n̪ d̪ʱ
निभाना	n̪ ɪ bʱ äː n̪ äː
निमंत्रण	n̪ ɪ m ə̃ n̪ t̪ ɾ ə̃ ɳ
निमय	n̪ ɪ m ə j
निम्न	n̪ ɪ̃ m n̪ᵊ
निम्नलिखित	n̪ ɪ̃ m n̪ ə l̪ ɪ kʰ ɪ t̪
नियंत्रित	n̪ i j ə̃ n̪ t̪ ɾ ɪ t̪
नियत	n̪ i j ə t̪
नियति	n̪ i j ə t̪ iː
नियम	n̪ i j ə̃ m
नियमावली	n̪ i j ə m äː ʋ ə l̪ iː
नियमित	n̪ i j ə m ɪ t̪
नियामक	n̪ i j äː m ə k
नियुक्त	n̪ i j ʊ k t̪
नियुक्ति	n̪ i j ʊ k t̪ iː
निरंकुश	n̪ ɪ ɾ ə̃ ŋ k ʊ ʃ
निरंकुशवाद	n̪ ɪ ɾ ə̃ ŋ k ʊ ʃ ʋ äː d̪
निरंतर	n̪ ɪ ɾ ə̃ n̪ t̪ ə ɾ
निरपेक्ष	n̪ ɪ ɾ p eː k ʃ
निरभिमान	n̪ ɪ ɾ ə bʱ ɪ m ä̃ː n̪
निरस्त	n̪ ɪ ɾ ə s̪ t̪
निरस्त्रीकरण	n̪ ɪ ɾ ə s̪ t̪ ɾ iː k ə ɾ ə̃ ɳ
निराला	n̪ ɪ ɾ äː l̪ äː
निरावेशित	n̪ ɪ ɾ äː ʋ eː ʃ ɪ t̪
निराश	n̪ ɪ ɾ äː ʃ
निराशा	n̪ ɪ ɾ äː ʃ äː
निराहार	n̪ ɪ ɾ äː ɦ äː ɾ
निरीक्षक	n̪ ɪ ɾ iː k ʃ ə k
निरीक्षण	n̪ ɪ ɾ iː k ʃ ə̃ ɳ
निरूपण	n̪ ɪ ɾ uː p ə̃ ɳ
निरोग	n̪ ɪ ɾ oː ɡ
निरोध	n̪ ɪ ɾ oː d̪ʱ
निर्घोष	n̪ ɪ ɾ ɡʱ oː ʃ
निर्जन	n̪ ɪ ɾ d͡ʒ ə̃ n̪
निर्जलित	n̪ ɪ ɾ d͡ʒ ə l̪ ɪ t̪
निर्जीव	n̪ ɪ ɾ d͡ʒ iː ʋ
निर्णय	n̪ ɪ ɾ ɳ ə j
निर्णायक	n̪ ɪ ɾ ɳ äː j ə k
निर्दिष्ट	n̪ ɪ ɾ d̪ ɪ ʂ ʈ
निर्देश	n̪ ɪ ɾ d̪ eː ʃ
निर्देशक	n̪ ɪ ɾ d̪ eː ʃ ə k
निर्देशन	n̪ ɪ ɾ d̪ eː ʃ ə̃ n̪
निर्देशांक	n̪ ɪ ɾ d̪ eː ʃ ä̃ː k
निर्धन	n̪ ɪ ɾ d̪ʱ ə̃ n̪
निर्धनता	n̪ ɪ ɾ d̪ʱ ə̃ n̪ t̪ äː
निर्धारण	n̪ ɪ ɾ d̪ʱ äː ɾ ə̃ ɳ
निर्धारिती	n̪ ɪ ɾ d̪ʱ äː ɾ ɪ t̪ iː
निर्बल	n̪ ɪ ɾ b ə l̪
निर्भर	n̪ ɪ ɾ bʱ ə ɾ
निर्मल	n̪ ɪ ɾ m ə l̪
निर्माण	n̪ ɪ ɾ m ä̃ː ɳ
निर्माता	n̪ ɪ ɾ m äː t̪ äː
निर्मित	n̪ ɪ ɾ m ɪ t̪
निर्मेघ	n̪ ɪ ɾ m eː ɡʱ
निर्यात	n̪ ɪ ɾ j äː t̪
निर्वाचन	n̪ ɪ ɾ ʋ äː t͡ʃ ə̃ n̪
निर्वाचित	n̪ ɪ ɾ ʋ äː t͡ʃ ɪ t̪
निलंबित	n̪ ɪ l̪ ə̃ m b ɪ t̪
निवाला	n̪ ɪ ʋ äː l̪ äː
निवास	n̪ ɪ ʋ äː s̪
निवासी	n̪ ɪ ʋ äː s̪ iː
निवृत्त	n̪ ɪ ʋ ɾ ɪ t̪ t̪
निवेदन	n̪ ɪ ʋ eː d̪ ə̃ n̪
निवेश	n̪ ɪ ʋ eː ʃ
निशान	n̪ ɪ ʃ ä̃ː n̪
निशानेबाज़ी	n̪ ɪ ʃ äː n̪ eː b äː d͡ʒ iː
निशानेबाज़ी	n̪ ɪ ʃ äː n̪ eː b äː z iː
निश्चय	n̪ ɪ ʃ t͡ʃ ə j
निश्चित	n̪ ɪ ʃ t͡ʃ ɪ t̪
निषेचन	n̪ ɪ ʃ eː t͡ʃ ə̃ n̪
निषेधन	n̪ ɪ ʃ eː d̪ʱ ə̃ n̪
निषेधात्मक	n̪ ɪ ʃ eː d̪ʱ äː t̪ m ə k
निष्कर्ष	n̪ ɪ ʃ k ə ɾ ʃ
निष्कासन	n̪ ɪ ʃ k äː s̪ ə̃ n̪
निष्कासित	n̪ ɪ ʃ k äː s̪ ɪ t̪
निष्क्रिय	n̪ ɪ ʃ k ɾ ɪ j
निष्क्रियता	n̪ ɪ ʃ k ɾ ɪ j t̪ äː
निष्ठा	n̪ ɪ ʃ ʈʰ äː
निष्ठुर	n̪ ɪ ʃ ʈʰ ʊ ɾ
निष्पक्ष	n̪ ɪ ʃ p ə k ʃ
निष्फल	n̪ ɪ ʃ pʰ ə l̪
निसार	n̪ ɪ s̪ äː ɾ
निस्संदेह	n̪ ɪ s̪ s̪ ə̃ n̪ d̪ eː ɦ
निस्सार	n̪ ɪ s̪ s̪ äː ɾ
निहत्था	n̪ ɪ ɦ ə t̪̚ t̪ʰ äː
निहाई	n̪ ɪ ɦ äː iː
निहारना	n̪ ɪ ɦ äː ɾ n̪ äː
निहारिका	n̪ ɪ ɦ äː ɾ ɪ k äː
निहित	n̪ ɪ ɦ ɪ t̪
नी	n̪ iː
नींबू	n̪ ĩː m b uː
नींव	n̪ ĩː m w
नीच	n̪ iː t͡ʃ
नीचा	n̪ iː t͡ʃ äː
नीड़ज	n̪ iː ɽ ə d͡ʒ
नीत	n̪ iː t̪
नीति	n̪ iː t̪ iː
नीतिगत	n̪ iː t̪ ɪ ɡ ə t̪
नीदरलैंड	n̪ iː d̪ ə ɾ l̪ ɛ̃ː ɳ ɖ
नीदरलैण्ड	n̪ iː d̪ ə ɾ l̪ ɛ̃ː ɳ ɖ
नीयत	n̪ iː j ə t̪
नीर	n̪ iː ɾ
नील	n̪ iː l̪
नीलगाय	n̪ iː l̪ ɡ äː j
नीलम	n̪ iː l̪ ə̃ m
नीला	n̪ iː l̪ äː
नीलाम	n̪ iː l̪ ä̃ː m
नीवि	n̪ iː ʋ iː
नीहारिका	n̪ iː ɦ äː ɾ ɪ k äː
नुकसान	n̪ ʊ k s̪ ä̃ː n̪
नुकसान	n̪ ʊ q s̪ ä̃ː n̪
नुक़्ता	n̪ ʊ k t̪ äː
नुक़्ता	n̪ ʊ q t̪ äː
नुमाइंदगी	n̪ ʊ m äː ɪ̃ d̪ ə ɡ iː
नुमाइंदा	n̪ ʊ m äː ɪ̃ n̪ d̪ äː
नुमाइश	n̪ ʊ m äː ɪ ʃ
नुसख़ा	n̪ ʊ s̪ kʰ äː
नुसख़ा	n̪ ʊ s̪ x äː
नुस्ख़ा	n̪ ʊ s̪ kʰ äː
नुस्ख़ा	n̪ ʊ s̪ x äː
नुस्खा	n̪ ʊ s̪ kʰ äː
नुस्खा	n̪ ʊ s̪ x äː
नूर	n̪ uː ɾ
नूह	n̪ uː ɦ
नृत्त	n̪ ɾ ɪ t̪ t̪
नृत्य	n̪ ɾ ɪ t̪ j ə
ने	n̪ eː
नेक	n̪ eː k
नेकटाई	n̪ eː k ʈ äː iː
नेकदिल	n̪ eː k d̪ ɪ l̪
नेकी	n̪ eː k iː
नेटवर्क	n̪ eː ʈ w ə ɾ k
नेतन्याहू	n̪ eː t̪ ə̃ n̪ j äː ɦ uː
नेता	n̪ eː t̪ äː
नेतृत्व	n̪ eː t̪ ɾ ɪ t̪ wᵊ
नेत्र	n̪ eː t̪ ɾ
नेत्रदान	n̪ eː t̪ ɾ ə d̪ ä̃ː n̪
नेत्रिका	n̪ eː t̪ ɾ ɪ k äː
नेत्री	n̪ eː t̪ ɾ iː
नेत्रोपम	n̪ eː t̪ ɾ oː p ə̃ m
नेपथ्य	n̪ eː p ə t̪ʰ jᵊ
नेपाल	n̪ eː p äː l̪
नेपालगंज	n̪ eː p äː l̪ ɡ ə̃ n̪ d͡ʒ
नेपाली	n̪ eː p äː l̪ iː
नेम	n̪ ẽː m
नेल्लोर	n̪ eː l̪ l̪ oː ɾ
नेवला	n̪ eː ʋ l̪ äː
नेस्तनाबूद	n̪ eː s̪ t̪ ə n̪ äː b uː d̪
नैचा	n̪ ɛː t͡ʃ äː
नैन	n̪ ɛ̃ː n̪
नैना	n̪ ɛː n̪ äː
नॉर्वे	n̪ ɔ ɾ ʋ eː
नोएडा	n̪ oː eː ɖ äː
नोचना	n̪ oː t͡ʃ n̪ äː
नोट	n̪ oː ʈ
नोटबंदी	n̪ oː ʈ b ə̃ n̪ d̪ iː
नोटबुक	n̪ oː ʈ b ʊ k
नोटिस	n̪ oː ʈ ɪ s̪
नोनी	n̪ oː n̪ iː
नौ	n̪ ɔː
नौकर	n̪ ɔː k ə ɾ
नौकरशाही	n̪ ɔː k ə ɾ ʃ äː ɦ iː
नौका	n̪ ɔː k äː
नौजवान	n̪ ɔː d͡ʒ ə ʋ ä̃ː n̪
नौटंकी	n̪ ɔː ʈ ə̃ ŋ k iː
नौबत	n̪ ɔː b ə t̪
नौसिखिया	n̪ ɔː s̪ ɪ kʰ i j äː
नौसेना	n̪ ɔː s̪ eː n̪ äː
न्याय	n̪ j äː j
न्यायपालिका	n̪ j äː j p äː l̪ ɪ k äː
न्यायशास्त्र	n̪ j äː j ʃ äː s̪ t̪ ɾᵊ
न्यायाधीश	n̪ j äː j äː d̪ʱ iː ʃ
न्यायिक	n̪ j äː j ɪ k
न्यायोचित	n̪ j äː j oː t͡ʃ ɪ t̪
न्यारा	n̪ j äː ɾ äː
न्यास	n̪ j äː s̪
न्यूज़	n̪ j uː d͡ʒ
न्यूज़	n̪ j uː z
न्यूज़ीलैंड	n̪ j uː d͡ʒ iː l̪ ɛ̃ː ɳ ɖ
न्यूज़ीलैंड	n̪ j uː z iː l̪ ɛ̃ː ɳ ɖ
न्यूज़ीलैण्ड	n̪ j uː d͡ʒ iː l̪ ɛ̃ː ɳ ɖ
न्यूज़ीलैण्ड	n̪ j uː z iː l̪ ɛ̃ː ɳ ɖ
न्यून	n̪ j ũː n̪
न्यूनतम	n̪ j ũː n̪ t̪ ə̃ m
न्यूयॉर्क	n̪ j uː j ɔ ɾ k
न्योता	n̪ j oː t̪ äː
पंक्ति	p ə̃ ŋ k t̪ iː
पंख	p ə̃ ŋ kʰ
पंखा	p ə̃ ŋ kʰ äː
पंखावाला	p ə̃ ŋ kʰ äː ʋ äː l̪ äː
पंगु	p ə̃ ŋ ɡ uː
पंचशील	p ə̃ n̪ t͡ʃ ʃ iː l̪
पंचायत	p ə̃ n̪ t͡ʃ äː j ə t̪
पंचायती	p ə̃ n̪ t͡ʃ äː j ə t̪ iː
पंछी	p ə̃ n̪ t͡ʃʰ iː
पंजा	p ə̃ n̪ d͡ʒ äː
पंजाब	p ə̃ n̪ d͡ʒ äː b
पंजाबी	p ə̃ n̪ d͡ʒ äː b iː
पंजीकरण	p ə̃ n̪ d͡ʒ iː k ə ɾ ə̃ ɳ
पंजीकृत	p ə̃ n̪ d͡ʒ iː k ɾ ɪ t̪
पंडाल	p ə̃ ɳ ɖ äː l̪
पंडिताई	p ə̃ ɳ ɖ ɪ t̪ äː iː
पंद्रह	p ə̃ n̪ d̪ ɾ ə ɦ
पंसारी	p ə̃ n̪ s̪ äː ɾ iː
पकड़ना	p ə k ə ɽ n̪ äː
पकवान	p ə k w ä̃ː n̪
पकाना	p ə k äː n̪ äː
पकोड़ा	p ə k oː ɽ äː
पक्का	p ə k̚ k äː
पक्ष	p ə k ʃ
पक्षधर	p ə k ʃ d̪ʱ ə ɾ
पक्षपात	p ə k ʃ p äː t̪
पक्षपातपूर्ण	p ə k ʃ p äː t̪ p uː ɾ ɳ
पखवाड़ा	p ə kʰ ʋ äː ɽ äː
पगडंडी	p ə ɡ ɖ ə̃ ɳ ɖ iː
पगला	p ə ɡ l̪ äː
पगली	p ə ɡ l̪ iː
पगोडा	p ə ɡ oː ɖ äː
पचना	p ə t͡ʃ n̪ äː
पचपन	p ə t͡ʃ p ə̃ n̪
पचहत्तर	p ə t͡ʃʰ ə t̪̚ t̪ ə ɾ
पचानवे	p ə t͡ʃ ä̃ː n̪ w eː
पचाना	p ə t͡ʃ äː n̪ äː
पचास	p ə t͡ʃ äː s̪
पचासी	p ə t͡ʃ äː s̪ iː
पच्चीस	p ə t̚ t͡ʃ iː s̪
पच्चीस	p ə t̚ t͡ʃ ɪ s̪
पछताना	p ə t͡ʃʰ t̪ äː n̪ äː
पछत्तर	p ə t͡ʃʰ ə t̪̚ t̪ ə ɾ
पछाँई	p ə t͡ʃʰ ä̃ː iː
पछाड़	p ə t͡ʃʰ äː ɽ
पछाड़ना	p ə t͡ʃʰ äː ɽ n̪ äː
पटकना	p ə ʈ ə k n̪ äː
पटका	p ə ʈ k äː
पटना	p ə ʈ n̪ äː
पटरा	p ə ʈ ɾ äː
पटल	p ə ʈ ə l̪
