ء	ʔ
نامیدن	n ɒː m iː d a n
نامیدن	n ɒː m iː d æ n
نامیدن	n ɔː m i d a n
نان	n ɑː n
نان	n ɒː n
نان	n ɔː n
نانوائی	n ɑː n v ɑː j eː
نانوائی	n ɒː n v ɒː j iː
نانوائی	n ɒː n w ɒː j eː
نانوائی	n ɔː n v ɔː j e
ناهید	n ɑː h iː d
ناهید	n ɒː h iː d
ناهید	n ɔː h i d
ناو	n ɒː w
ناوخدا	n ɒː v x o d ɒː
ناک	n ɑː k
ناک	n ɒː k
ناک	n ɔː k
نبض	n a b z
نبض	n æ b z
نجس	n æ d ʒ e s
نجس	n æ d ʒ ə s
نجس‌تر	n æ d ʒ æ s t æ ɾ
نجس‌ترین	n æ d ʒ æ s t æ ɾ iː n
نخیر	n a x a j ɾ
نخیر	n æ x e j ɾ
ندا	n e d ɒː
ندا	n i d ɑː
ندا	n i d ɔː
ندا	n ɪ d ɒː
ندارد	n æ d ɒː r æ d
نده	a n d a
نده	æ n d e
نر	n æ ɾ
نریمان	n æ ɾ eː m ɒː n
نزد	n a z d
نزد	n æ z d
نزدیک	n a z d i k
نزدیک	n a z d iː k
نزدیک	n æ z d iː k
نزدیک‌تر	n æ z d iː k t æ ɾ
نزدیک‌ترین	n æ z d iː k t æ ɾ iː n
نستعلیق	n a s t a ʔ l i q
نستعلیق	n a s t a ʔ l iː q
نستعلیق	n æ s t æ ʔ l iː ɣ
نسخه	n o s x e
نسخه	n u s x a
نسخه	n ʊ s x a
نسرین	n æ s ɾ iː n
نسک	n a s k
نسک	n æ s k
نشان	n e ʃ ɒː n
نشان	n i ʃ ɑː n
نشان	n i ʃ ɔː n
نشان	n ɪ ʃ ɒː n
نشاندن	n e ʃ ɒː n d æ n
نشاندن	n i ʃ ɑː n d a n
نشاندن	n i ʃ ɔː n d a n
نشاندن	n ɪ ʃ ɒː n d a n
نشلیدن	n e ʃ e l iː d æ n
نصف	n e s f
نصف	n i s f
نصف	n ɪ s f
نظام	n e z ɒː m
نظام	n i z ɑː m
نظام	n i z ɔː m
نظام	n ɪ z ɒː m
نعناع	n æ ʔ n ɒː ʔ
نعوظ	n o ʔ uː z
نغز	n æ ɣ z
نغمه	n a ɣ m a
نغمه	n æ ɣ m e
نفرت	n a f ɾ a t
نفرت	n æ f ɾ æ t
نقاب	n e ɣ ɒː b
نقاب	n i q ɑː b
نقاب	n i q ɔː b
نقاب	n ɪ q ɒː b
نقاش	n a q q ɑː ʃ
نقاش	n a q q ɒː ʃ
نقاش	n a q q ɔː ʃ
نقاش	n æ ɣ ɣ ɒː ʃ
نقاشی	n a q q ɑː ʃ iː
نقاشی	n a q q ɒː ʃ iː
نقاشی	n a q q ɔː ʃ iː
نقاشی	n æ ɣ ɣ ɒː ʃ iː
نماز	n a m ɑː z
نماز	n a m ɒː z
نماز	n a m ɔː z
نماز	n æ m ɒː z
نمایان	n e m ɒː j ɒː n
نمایان	n æ m ɒː j ɒː n
نمایش	n a m ɑː j i ʃ
نمایش	n a m ɒː j ɪ ʃ
نمایش	n a m ɔː j i ʃ
نمایش	n æ m ɒː j e ʃ
نماینده	n æ m ɒː j æ n d e
نمایندگان	n æ m ɒː j æ n d e ɡ ɒː n
نمایه	n æ m ɒː j e
نمودار	n e m u d ɒː ɾ
نمودن	n a m u d a n
نمودن	n a m uː d a n
نمودن	n æ m uː d æ n
نمک	n e m e k
نمک	n m æ k
نمک	n æ m e k
نمکدان	n a m a k d ɑː n
نمکدان	n a m a k d ɒː n
نمکدان	n a m a k d ɔː n
نمکدان	n æ m æ k d ɒː n
نمکین	n a m a k i n
نمکین	n a m a k iː n
نمکین	n æ m æ k iː n
ننه	n æ n e
ننه	n æ n æ
نه	n o h
نه	n u h
نه	n ɵː h
نه	n ʊ h
نهج	n a h a d͡ʒ
نهج	n æ h æ d͡ʒ
نهر	n a h ɾ
نهر	n æ h ɾ
نهفتن	n æ h o f t æ n
نو	n a v
نو	n a w
نو	n o w
نواختر	n o ʊ æ x t æ ɾ
نور	n u ɾ
نور	n uː ɾ
نوروز	n a v ɾ ɵː z
نوروز	n a w ɾ oː z
نوروز	n o w ɾ uː z
نوروزی	n a v ɾ ɵː z iː
نوروزی	n a w ɾ oː z iː
نوروزی	n o w ɾ uː z iː
نوشتن	n a v i ʃ t a n ~ n i v i ʃ t a n
نوشتن	n a w ɪ ʃ t a n ~ n ɪ w ɪ ʃ t a n
نوشتن	n æ v e ʃ t æ n ~ n e v e ʃ t æ n
نوشیدن	n uː ʃ iː d æ n
نوع	n a v ʔ
نوع	n a w ʔ
نوع	n o w ʔ
نوم	n oː m
نوم	n uː m
نومد	n o w m a d
نوک	n v æ k
نوکر	n a w k a r
نوکر	n æ ʊ k æ ɾ
نوین	n a v i n
نوین	n a v iː n
نوین	n a w iː n
نوین	n æ v iː n
نژادها	n e ʒ ɒː d h ɒː
نکونام	n e k uː n ɒː m
نکونام	n æ k oː n ɒː m
نگار	n e ɡ ɒː ɾ
نگار	n i ɡ ɑː ɾ
نگار	n i ɡ ɔː ɾ
نگار	n ɪ ɡ ɒː ɾ
نیاز	n i j ɑː z
نیاز	n i j ɒː z
نیاز	n i j ɔː z
نیازها	n iː j ɒː z h ɒː
نیایش	n i j ɑː j i ʃ
نیایش	n i j ɒː j e ʃ
نیایش	n i j ɒː j ɪ ʃ
نیایش	n i j ɔː j i ʃ
نیرومند	n iː ɾ uː m æ n d̪
نیز	n e z
نیز	n eː z
نیز	n iː z
نیزه	n e i̯ z e
نیست	n e s t
نیست	n eː s t
نیست	n iː s t
نیفه	n e f a
نیفه	n eː f a
نیفه	n iː f e
نیم	n i m
نیم	n iː m
نیمروز	n e m ɾ ɵː z
نیمروز	n eː m ɾ oː z
نیمروز	n iː m ɾ uː z
نیو	n e v
نیو	n eː v
نیو	n eː w
نیو	n iː v
نیوشا	n i j oː ʃ ɒː
نیک	n e k
نیک	n eː k
نیک	n iː k
ه	a
ه	e
ه	h e
هامون	h ɒː m uː n
هجده	h e d ʒ d æ h
هجده	h e ʒ d æ h
هجران	h i d͡ʒ ɾ ɒː n
هر	h a ɾ
هر	h æ ɾ
هرات	h a ɾ ɑː t
هرات	h a ɾ ɒː t
هرات	h a ɾ ɔː t
هرات	h æ ɾ ɒː t
هرتز	h e ɾ t z
هرمز	h o ɾ m o z
هرمز	h u ɾ m u z
هرمز	h ʊ ɾ m ʊ z
هرکس	h æ r k æ s
هزار	h a z ɑː ɾ
هزار	h a z ɒː ɾ
هزار	h a z ɔː ɾ
هزار	h æ z ɒː ɾ
هشت	h a ʃ t
هشت	h æ ʃ t
هفته	h a f t a
هفته	h æ f t e
هفته‌ها	h æ f t e h ɒː
هلو	h o l uː
هم	h a m
هم	h æ m
همدم	h æ m d æ m
همساده	h o m s ɒː d e
همساده	h æ m s ɒː d e
همسایه	h a m s ɑː j a
همسایه	h a m s ɒː j a
همسایه	h a m s ɔː j a
همسایه	h æ m s ɒː j e
همسده	h æ m s e d æ
همه	h æ m e
همه	h æ m e j e
همچنین	h a m t͡ʃ a n i n
همچنین	h a m t͡ʃ a n iː n
همچنین	h æ m t͡ʃ æ n iː n
همیشه	h a m e ʃ a
همیشه	h a m eː ʃ a
همیشه	h æ m iː ʃ e
هم‌جنس‌گرا	h a m d͡ʒ i n s ɡ a ɾ ɑː
هم‌جنس‌گرا	h a m d͡ʒ i n s ɡ a ɾ ɔː
هم‌جنس‌گرا	h a m d͡ʒ ɪ n s ɡ a ɾ ɒː
هم‌جنس‌گرا	h æ m d͡ʒ e n s ɡ æ ɾ ɒː
هند	h e n d
هند	h i n d
هند	h ɪ n d
هندو	h e n d uː
هندو	h i n d u
هندو	h i n d uː
هندو	h ɪ n d uː
هندوانه	h e n d e v ɒː n e
هندوستان	h e n d uː s t ɒː n
هندوستان	h i n d u s t ɔː n
هندوستان	h i n d uː s t ɑː n
هندوستان	h ɪ n d uː s t ɒː n
هندی	h e n d iː
هنر	h o n æ ɾ
هنر	h u n a ɾ
هنر	h ʊ n a ɾ
هنوز	h a n oː z
هنوز	h a n ɵː z
هنوز	h æ n uː z
هنگ	h a n ɡ
هنگ	h æ n ɡ
هنی	h æ n iː
هواپیما	h a v ɑː p a j m ɑː
هواپیما	h a v ɔː p a j m ɔː
هواپیما	h a w ɒː p a j m ɒː
هواپیما	h æ v ɒː p e j m ɒː
هوتن	h uː t æ n
هوش	h oː ʃ
هوش	h uː ʃ
هوش	h ɵː ʃ
هوشیار	h oː ʃ j ɑː ɾ
هوشیار	h oː ʃ j ɒː ɾ
هوشیار	h uː ʃ j ɒː ɾ
هوشیار	h ɵː ʃ j ɔː ɾ
هی	h e j
هیزم	h e z u m
هیزم	h eː z u m
هیزم	h eː z ʊ m
هیزم	h iː z o m
هیس	sː
هیچ	h e t͡ʃ
هیچ	h eː t͡ʃ
هیچ	h iː t͡ʃ
هیچ‌وقت	eː t͡ʃ w a q t
هیچ‌وقت	h e t͡ʃ v a q t
هیچ‌وقت	h eː t͡ʃ v a q t
هیچ‌وقت	h eː t͡ʃ w a q t
هیچ‌وقت	h iː t͡ʃ v æ ɣ t
و	o
و	u
و	v a
و	v æ
و	w a
و	ʊ
واج	v ɑː d͡ʒ
واج	v ɒː d͡ʒ
واج	v ɔː d͡ʒ
واج	w ɒː d͡ʒ
وارث	v ɑː ɾ i s
وارث	v ɒː ɾ e s
وارث	v ɔː ɾ i s
وارث	w ɒː ɾ ɪ s
واش	v ɒː ʃ
واش	v ɔ ʃ
واش	w ɑː ʃ
واش	w ɒː ʃ
واقعا	v ɑː q i ʔ a n
واقعا	v ɒː ɣ e ʔ æ n
واقعا	v ɔː q i ʔ a n
واقعا	w ɒː q ɪ ʔ a n
والا	v æ e l l ɒː
والا	v ɒː l ɒː
والله	v a l l ɑː h
والله	v a l l ɔː h
والله	v æ l l ɒː h
والله	w a l l ɒː h
واژه	v ɑː ʒ a
واژه	v ɒː ʒ e
واژه	v ɔː ʒ a
واژه	w ɒː ʒ a
واژه‌نامه	v ɒː ʒ e n ɒː m e
واژه‌ها	v ɒː ʒ e h ɒː
واژگان	v ɒː ʒ e ɡ ɒː n
وج	v a d͡ʒ
وج	v æ d͡ʒ
وج	w a d͡ʒ
وجود	v o d͡ʒ uː d
وجود	v u d͡ʒ u d
وجود	v u d͡ʒ uː d
وجود	w ʊ d͡ʒ uː d
وحی	v a h j
وحی	v æ h j
وحی	w a h j
وروجک	v o ɾ uː d͡ʒ æ kʲ
وروجک	v u ɾ u d͡ʒ e kʲ
وزغ	v æ z æ ɣ
وزن	v a z n
وزن	v æ z n
وزن	w a z n
وزیدن	v æ z iː d æ n
وسیع	v a s e ʔ
وسیع	v a s iː ʔ
وسیع	v æ s iː ʔ
وسیع	w a s iː ʔ
وضع	v a z ʔ
وضع	v æ z ʔ
وضع	w a z ʔ
وضوح	v o z uː h
وضوح	v u z uː h
وضوح	v u z ɵː h
وضوح	w ʊ z uː h
وطن	v a t a n
وطن	v æ t æ n
وطن	w a t a n
وظیفه	v a z i f a
وظیفه	v a z iː f a
وظیفه	v æ z iː f e
وظیفه	w a z iː f a
وعده	v a ʔ d a
وعده	v æ ʔ d e
وعده	w a ʔ d a
وقت	v a q t
وقت	v æ ɣ t
وقت	w a q t
وقتی	v a q t e
وقتی	v a q t eː
وقتی	v æ ɣ t iː
وقتی	w a q t eː
ول	v e l
ول	v i l
ول	w ɪ l
ولایت	v e l ɒː j æ t
ولایت	v i l ɑː j a t
ولایت	v i l ɔː j a t
ولایت	w ɪ l ɒː j a t
ونوس	v e n uː s
ویستا	v i s t ɒ
ویه	uː j e
ویژگی‌ها	v iː ʒ e ɡ iː h ɒː
پ	p
پ	p e
پا	p ɑː
پا	p ɒː
پا	p ɔː
پاداش	pʰ ɑː d̪ ɑː ʃ
پاداش	pʰ ɒː d̪ ɒː ʃ
پاداش	pʰ ɔː d̪ ɔː ʃ
پادشاه	p ɑː d i ʃ ɑː h
پادشاه	p ɒː d e ʃ ɒː h
پادشاه	p ɒː d ɪ ʃ ɒː h
پادشاه	p ɔː d i ʃ ɔː h
پارسال	p ɑː ɾ s ɑː l
پارسال	p ɒː ɾ s ɒː l
پارسال	p ɔː ɾ s ɔː l
پارسه	p ɒː ɾ s e
پاره	p ɑː ɾ a
پاره	p ɒː ɾ a
پاره	p ɒː ɾ e
پاره	p ɔː ɾ a
پاشنه	p ɑː ʃ n a
پاشنه	p ɒː ʃ n a
پاشنه	p ɒː ʃ n e
پاشنه	p ɔː ʃ n a
پاشیدن	p ɑː ʃ iː d a n
پاشیدن	p ɒː ʃ iː d a n
پاشیدن	p ɒː ʃ iː d æ n
پاشیدن	p ɔː ʃ i d a n
پاپ	p ɑː p
پاپ	p ɒː p
پاپ	p ɔː p
پاپوش	p ɒː p oː ʃ
پاک	p ɑː k
پاک	p ɒː k
پاک	p ɔː k
پاکستان	p ɑː k i s t ɑː n
پاکستان	p ɒː k e s t ɒː n
پاکستان	p ɒː k ɪ s t ɒː n
پاکستان	p ɔː k i s t ɔː n
پایه	p ɑː j a
پایه	p ɒː j a
پایه	p ɒː j e
پایه	p ɔː j a
پاییز	p ɑː iː z
پاییز	p ɒː iː z
پاییز	p ɔː i z
پختن	p o x t æ n
پختن	p u x t a n
پختن	p ʊ x t a n
پدافند	p a d ɑː f a n d
پدافند	p a d ɒː f a n d
پدافند	p a d ɔ f a n d
پدافند	p æ d ɒː f æ n d
پدر	p e d e ɾ
پدر	p e d æ ɾ
پدر	p i d a ɾ
پدر	p ɪ d a ɾ
پدرام	p a d ɾ ɑː m
پدرام	p a d ɾ ɒː m
پدرام	p a d ɾ ɔː m
پدرام	p æ d ɾ ɒː m
پدیدار	p æ d iː d ɒː ɾ
پذیرفتن	p a z i ɾ u f t a n
پذیرفتن	p a z iː ɾ ʊ f t a n
پذیرفتن	p a ð iː ɾ u f t a n
پذیرفتن	p æ z iː ɾ o f t æ n
پر	p o ɾ
پر	p u ɾ
پر	p æ ɾ
پر	p ʊ ɾ
پراندن	p a ɾ ɑː n d a n
پراندن	p a ɾ ɒː n d a n
پراندن	p a ɾ ɔː n d a n
پراندن	p æ ɾ ɒː n d æ n
پرتگاه	p æ ɾ t ɡ ɒː h
پردیس	p a ɾ d e s
پردیس	p a ɾ d eː s
پردیس	p æ ɾ d iː s
پرس	p o ɾ s
پرس	p u ɾ s
پرس	p ʊ ɾ s
پرسش	p o ɾ s e ʃ
پرسش	p u ɾ s i ʃ
پرسش	p ʊ ɾ s ɪ ʃ
پرسیدن	p o ɾ s iː d æ n
پرسیدن	p u ɾ s i d a n
پرسیدن	p u ɾ s iː d a n
پرسیدن	p ʊ ɾ s iː d a n
پرطرفدار	p o ɾ t æ ɾ æ f d ɒː ɾ
پرنده	p a ɾ a n d a
پرنده	p æ ɾ æ n d e
پرندوش	p a ɾ a n d oː ʃ
پرندوش	p a ɾ a n d ɵː ʃ
پرندوش	p æ ɾ æ n d uː ʃ
پرندگان	p a ɾ a n d a ɡ ɑː n
پرندگان	p a ɾ a n d a ɡ ɒː n
پرندگان	p a ɾ a n d a ɡ ɔː n
پرندگان	p æ ɾ æ n d e ɡ ɒː n
پرهیز	p a ɾ h e z
پرهیز	p a ɾ h eː z
پرهیز	p æ ɾ h iː z
پرواز	p a ɾ v ɑː z
پرواز	p a ɾ v ɔː z
پرواز	p a ɾ w ɒː z
پرواز	p æ ɾ v ɒː z
پروسه	p e ɾ o s e
پروسه	p o ɾ o s e
پروسه	p ɾ o s e
پروژه	p e ɾ o ʒ e
پروژه	p o ɾ o ʒ e
پروژه	p ɾ o ʒ e
پروگرام	p e ɾ o ɡ e ɾ ɒː m
پروگرام	p o ɾ o ɡ e ɾ ɒː m
پروگرام	p ɾ o ɡ ɾ ɒː m
پرویز	p æ ɾ v iː z
پرویز	p æ ɾ w eː z
پرکار	p o ɾ k ɒː ɾ
پرگار	p a ɾ ɡ ɑː ɾ
پرگار	p a ɾ ɡ ɒː ɾ
پرگار	p a ɾ ɡ ɔː ɾ
پرگار	p æ ɾ ɡ ɒː ɾ
پری	p a ɾ iː
پری	p æ ɾ iː
پریدن	p a ɾ i d a n
پریدن	p a ɾ iː d a n
پریدن	p æ ɾ iː d æ n
پریستان	p a ɾ i j i s t ɑː n
پریستان	p a ɾ i j i s t ɔː n
پریستان	p a ɾ i j ɪ s t ɒː n
پریستان	p æ ɾ i j e s t ɒː n
پریشان	p a ɾ e ʃ ɔː n
پریشان	p a ɾ eː ʃ ɑː n
پریشان	p a ɾ eː ʃ ɒː n
پریشان	p æ ɾ iː ʃ ɒː n
پزشک	p e z e ʃ k
پزشک	p i z i ʃ k
پزشک	p ɪ z ɪ ʃ k
پستان	p e s t ɒː n
پستان	p i s t ɑː n
پستان	p i s t ɔː n
پستان	p ɪ s t ɒː n
پسر	p a s a ɾ
پسر	p e s e ɾ
پسر	p u s a ɾ
پسی	p o s eː
پش	p æ ʃ
پشت	p o ʃ t
پشت	p o ʃ t e
پشت	p u ʃ t
پشت	p u ʃ t i
پشت	p ʊ ʃ t
پشت	p ʊ ʃ t ɪ
پشتون	p æ ʃ t uː n
پشمین	p æ ʃ m iː n
پشه	p æ ʃ e
پشه	p æ ʃː e
پشیمان	p æ ʃ iː m ɒː n
پلان	p e l ɒː n
پلان	p l ɒː n
پلخته	p a l a x t a
پلخته	p æ l æ x t e
پله	pʰ e l l e
پله	pʰ i l l a
پله	pʰ ɪ l l a
پناهنده	p æ n ɒː h æ n d e
پناهندگان	p æ n ɒː h æ n d e ɡ ɒː n
پنبه	p æ m b e
پنبه	p æ m b æ
پنج	pʰ æ n d͡ʒ
پنجره	p æ n d͡ʒ æ ɾ æ
پنجه	p a n d͡ʒ a
پنجه	p æ n d͡ʒ e
پنیر	p a n i ɾ
پنیر	p a n iː ɾ
پنیر	p æ n iː ɾ
پهلوان	p a h l a v ɑː n
پهلوان	p a h l a v ɔː n
پهلوان	p a h l a w ɒː n
پهلوان	p æ h l e v ɒː n
پودنه	p u d i n a
پودنه	p uː d e n e
پودنه	p uː d i n a
پودنه	p uː d ɪ n a
پوده	p uː d æ
پودینه	p u d i n a
پودینه	p uː d iː n a
پودینه	p uː d iː n e
پوزخند	p uː z x æ n d
پوست	p oː s t
پوست	p uː s t
پوست	p ɵː s t
پوشاک	p oː ʃ ɑː k
پوشاک	p oː ʃ ɒː k
پوشاک	p uː ʃ ɒː k
پوشاک	p ɵː ʃ ɔː k
پوشیدن	p oː ʃ iː d a n
پوشیدن	p uː ʃ iː d æ n
پوشیدن	p ɵː ʃ i d a n
پول	p u l
پول	p uː l
پوهنتون	p oː h a n t uː n
پوپک	p oː p a k
پوپک	p uː p æ k
پوپک	p ɵː p a k
پوییدن	p u j i d a n
پوییدن	p uː j iː d a n
پوییدن	p uː j iː d æ n
پژوهش	p a ʒ u h i ʃ
پژوهش	p a ʒ ʊ h ɪ ʃ
پژوهش	p æ ʒ o h e ʃ
پی	p e j
پی	p iː
پیاده	p i j ɑː d a
پیاده	p i j ɒː d a
پیاده	p i j ɒː d e
پیاده	p i j ɔː d a
پیادگان	p iː j ɒː d e ɡ ɒː n
پیاله	p i j ɑː l a
پیاله	p i j ɒː l a
پیاله	p i j ɒː l e
پیاله	p i j ɔː l a
پیر	p i j æ ɾ
پیر	p iː ɾ
پیرتر	p iː ɾ t æ ɾ
پیرترین	p iː ɾ t æ ɾ iː n
پیروز	p i ɾ ɵː z
پیروز	p iː ɾ oː z
پیروز	p iː ɾ uː z
پیروزی	p e ɾ ɵː z iː
پیروزی	p eː ɾ oː z iː
پیروزی	p iː ɾ uː z iː
پیسه	p a j s a
پیسه	p e j s e
پیش	p e ʃ
پیش	p eː ʃ
پیش	p iː ʃ
پیشانی	p e ʃ ɔː n iː
پیشانی	p eː ʃ ɑː n iː
پیشانی	p eː ʃ ɒː n iː
پیشانی	p iː ʃ ɒː n iː
پیشمرگه	p e ʃ m a ɾ ɡ a
پیشمرگه	p e ʃ m æ ɾ ɡ e
پیشمرگه	p i ʃ m a ɾ ɡ a
پیشمرگه	p iː ʃ m a ɾ ɡ a
پیشمرگه	p iː ʃ m æ ɾ ɡ e
پیشمرگه	p ɪ ʃ m a ɾ ɡ a
پیشنهاد	p e ʃ n a h ɔː d
پیشنهاد	p eː ʃ n a h ɑː d
پیشنهاد	p eː ʃ n a h ɒː d
پیشنهاد	p iː ʃ n æ h ɒː d
پیشه	p e ʃ a
پیشه	p eː ʃ a
پیشه	p iː ʃ e
پیشوا	p e ʃ v ɔː
پیشوا	p eː ʃ v ɑː
پیشوا	p eː ʃ w ɒː
پیشوا	p iː ʃ v ɒː
پیشوند	p e ʃ v a n d
پیشوند	p eː ʃ v a n d
پیشوند	p eː ʃ w a n d
پیشوند	p iː ʃ v æ n d
پیشگیر	p e ʃ ɡ i ɾ
پیشگیر	p eː ʃ ɡ iː ɾ
پیشگیر	p iː ʃ ɡ iː ɾ
پیوسیدن	p a j oː s iː d a n
پیوسیدن	p a j ɵː s i d a n
پیوسیدن	p æ j uː s iː d æ n
پیچ	p e t͡ʃ
پیچ	p eː t͡ʃ
پیچ	p iː t͡ʃ
پیچیدن	p e t͡ʃ i d a
پیچیدن	p eː t͡ʃ iː d a
پیچیدن	p iː t͡ʃ iː d e
پیکار	p a j k ɑː ɾ
پیکار	p a j k ɒː ɾ
پیکار	p a j k ɔː ɾ
پیکار	p e j k ɒː ɾ
پیکر	p a j k a ɾ
پیکر	p e j k æ ɾ
چ	t ʃ
چا	t ʃʰ ɒː
چاشت	t ʃʰ ɒː ʃ tʰ
چاشنی	t ʃʰ ɒː ʃ n iː
چاق	t͡ʃ ɑː q
چاق	t͡ʃ ɒː q
چاق	t͡ʃ ɒː ɣ
چاق	t͡ʃ ɔː q
چای	t͡ʃ ɑː j
چای	t͡ʃ ɒː j
چای	t͡ʃ ɔː j
چایخانه	t͡ʃ ɑː j x ɑː n a
چایخانه	t͡ʃ ɒː j x ɒː n a
چایخانه	t͡ʃ ɒː j x ɒː n e
چایخانه	t͡ʃ ɔː j x ɔː n a
چایدان	t͡ʃ ɑː j d ɑː n
چایدان	t͡ʃ ɒː j d ɒː n
چایدان	t͡ʃ ɔː j d ɔː n
چتر	t͡ʃ a t ɾ
چتر	t͡ʃ æ t ɾ
چرا	t ʃ a ɾ ɔː
چرا	t ʃ ʊ ɾ ɒː
چرا	t͡ʃ e ɾ ɒː
چراغ	t͡ʃ e ɾ ɒː ɣ ~ t͡ʃ æ ɾ ɒː ɣ
چراغ	t͡ʃ i ɾ ɑː ɣ ~ t͡ʃ a ɾ ɑː ɣ
چراغ	t͡ʃ i ɾ ɔː ɣ ~ t͡ʃ a ɾ ɔː ɣ
چراغ	t͡ʃ ɪ ɾ ɒː ɣ ~ t͡ʃ a ɾ ɒː ɣ
چربی	t͡ʃ a ɾ b iː
چربی	t͡ʃ æ ɾ b iː
چرخ	t͡ʃ a ɾ x
چرخ	t͡ʃ æ ɾ x
چرخه	t͡ʃ a ɾ x a
چرخه	t͡ʃ æ ɾ x e
چرخیدن	t ʃ e ɾ x i d̪ æ n
چرخیدن	t ʃ æ ɾ x i d̪ æ n
چرمه	t͡ʃ a ɾ m a
چرمه	t͡ʃ æ ɾ m e
چرک	t ʃ e ɾ k
چرک	t ʃ æ ɾ k
چشم	t ʃʰ e ʃ m
چشم	t ʃʰ æ ʃ m
چشم	t͡ʃ a ʃ m
چشم	t͡ʃ æ ʃ m
چشمان	t ʃʰ e ʃ m ɒː
چشمان	t ʃʰ e ʃ m ɒː n
چشمان	t ʃʰ æ ʃ m ɒː
چشمان	t ʃʰ æ ʃ m ɒː n
چشمه	t͡ʃ æ ʃ m æ
چطور	t͡ʃ e t o w ɾ
چطور	t͡ʃ i t a v ɾ
چطور	t͡ʃ i t a w ɾ
چطور	t͡ʃ ɪ t a w ɾ
چغندر	t͡ʃ o ɣ o n d æ ɾ ~ t͡ʃ o ɣ o n d æ ɾ
چغندر	t͡ʃ u ɣ u n d a ɾ ~ t͡ʃ u ɣ u n d a ɾ
چغندر	t͡ʃ ʊ ɣ ʊ n d a ɾ ~ t͡ʃ ʊ ɣ ʊ n d a ɾ
چقدر	t͡ʃ e ɣ æ d æ ɾ
چقدر	t͡ʃ i q a d a ɾ
چقدر	t͡ʃ ɪ q a d a ɾ
چل	t ʃʰ e l
چل	t ʃʰ o l
چلنگر	t͡ʃ e l e n ɡ æ ɾ
چلنگر	t͡ʃ i l i n ɡ a ɾ
چلنگر	t͡ʃ ɪ l ɪ n ɡ a ɾ
چله	t ʃʰ e l e
چله	t ʃʰ e l l e
چله	t ʃʰ æ l e
چم	t͡ʃ a m
چم	t͡ʃ æ m
چمدان	t͡ʃ a m i d ɑː n
چمدان	t͡ʃ a m i d ɔː n
چمدان	t͡ʃ a m ɪ d ɒː n
چمدان	t͡ʃ æ m e d ɒː n
چمن	t͡ʃ a m a n
چمن	t͡ʃ æ m æ n
چمیدن	t͡ʃ a m i d a n
چمیدن	t͡ʃ a m iː d a n
چمیدن	t͡ʃ æ m iː d æ n
چنان	t ʃ o n ɒː n
چند	t͡ʃ a n d
چند	t͡ʃ æ n d
چندین	t͡ʃ a n d i n
چندین	t͡ʃ a n d iː n
چندین	t͡ʃ æ n d iː n
چنین	t ʃ o n iː n
چه	t͡ʃ a
چه	t͡ʃ a h
چه	t͡ʃ e
چه	t͡ʃ i
چه	t͡ʃ æ h
چه	t͡ʃ ɪ
چهار	t͡ʃ a h ɑː ɾ
چهار	t͡ʃ a h ɒː ɾ
چهار	t͡ʃ a h ɔː ɾ
چهار	t͡ʃ æ h ɒː ɾ
چهارشنبه	t͡ʃ a h ɑː ɾ ʃ a n b a
چهارشنبه	t͡ʃ a h ɒː ɾ ʃ a n b a
چهارشنبه	t͡ʃ a h ɔː ɾ ʃ a n b a
چهارشنبه	t͡ʃ æ h ɒː ɾ ʃ æ n b e
چهره	t͡ʃ e h ɾ a
چهره	t͡ʃ e h ɾ e
چهره	t͡ʃ i h ɾ a
چهره	t͡ʃ ɪ h ɾ a
چهل	t͡ʃ e h e l
چهل	t͡ʃ i h i l
چهل	t͡ʃ ɪ h ɪ l
چو	t ʃ o w
چو	t ʃ uː
چوب	t͡ʃ oː b
چوب	t͡ʃ uː b
چوب	t͡ʃ ɵː b
چون	t͡ʃ oː n
چون	t͡ʃ uː n
چون	t͡ʃ ɵː n
چوپ	t͡ʃ oː p
چوکی	t ʃ a w k iː
چپ	t ʃ æ p
چکش	t͡ʃ æ k u ʃ
چکمه	t͡ʃ a k m a
چکمه	t͡ʃ æ k m e
چکیدن	t͡ʃ a k i d a n
چکیدن	t͡ʃ a k iː d a n
چکیدن	t͡ʃ æ k iː d æ n
چگونه	t͡ʃ e ɡ uː n e
چگونه	t͡ʃ i ɡ u n a
چگونه	t͡ʃ i ɡ uː n a
چگونه	t͡ʃ ɪ ɡ uː n a
چی	t͡ʃ iː ~ t͡ʃ e
چی	t͡ʃ iː ~ t͡ʃ i
چی	t͡ʃ iː ~ t͡ʃ ɪ
چیزی	t͡ʃ i z e
چیزی	t͡ʃ iː z eː
چیزی	t͡ʃ iː z iː
چیست	t͡ʃ i s t
چیست	t͡ʃ iː s t
چیش	t ʃ i ʃ
چینی	t͡ʃ i n iː
چینی	t͡ʃ iː n iː
ژ	ʒ
ژاله	ʒ ɑː l a
ژاله	ʒ ɒː l a
ژاله	ʒ ɒː l e
ژاله	ʒ ɔː l a
ژامبون	ʒ ɒː m b o n
ژاندرم	ʒ ɒː n d æ r m
ژاپنی	ʒ ɑː p u n iː
ژاپنی	ʒ ɒː p o n iː
ژاپنی	ʒ ɒː p ʊ n iː
ژاپنی	ʒ ɔː p u n iː
ژرف	ʒ æ ɾ f
ژرفی	ʒ æ ɾ f iː
ژرف‌تر	ʒ æ ɾ f t æ ɾ
