ঁ	ɔ̃
সুনামি	ʃ u n a m i
সুনিধি	ʃ u n i d̪ʱ i
সুন্দর	ʃ u n d̪ ɔ ɹ
সুন্দরবন	ʃ u n d̪ ɔ ɹ b o n
সুন্দরী	ʃ u n d̪ ɔ ɾ i
সুপারিশ	ʃ u p a ɹ i ʃ
সুপ্রভাত	ʃ u p ɹ o bʱ a t̪
সুবর্ণ	ʃ u b ɔ ɹ n o
সুবর্ণা	ʃ u b ɔ ɹ n a
সুবহানাল্লাহ	ʃ u b h a n a lː a
সুব্রত	ʃ u b ɾ ɔ t̪ ɔ
সুভদ্রক	ʃ u bʱ ɔ dː ɾ ɔ k
সুমন	ʃ u m o n
সুমন	ʃ u m ɔ n
সুমাত্রা	s u m a t̪ ɹ a
সুমাত্রা	ʃ u m a t̪ ɹ a
সুরক্ষিত	ʃ u ɹ ɔ kʰː i t̪ o
সুরত	s u ɹ ɔ t̪
সুরিনাম	ʃ u ɹ i n a m
সুলতান	s u l t̪ a n
সুলতানা	s u l t̪ a n a
সুলায়মান	s u l a e̯ m a n
সুসমাচার	ʃ u ʃ ɔ m a t ɕ a ɹ
সুস্থ	ʃ u s t̪ʰ o
সুস্বাদু	ʃ u ʃː a d̪ u
সূচী	ʃ u t ɕ i
সূরা	s u ɹ a
সূরা	ʃ u ɹ a
সূর্য	ʃ u ɹ d ʑ o
সূর্য্য	ʃ u ɹ d ʑ o
সৃষ্টি	s ɹ i ʃ t i
সে	ʃ e
সেঁউতি	ʃ ẽ u t̪ i
সেঁজা	ʃ e d ʑ a
সেই	ʃ e i̯
সেকেন্ড	s e k e n d
সেখান	ʃ e kʰ a n
সেখানকার	ʃ e kʰ a n k a ɹ
সেজদা	ʃ e d ʑ d̪ a
সেন	s e n
সেনগুপ্ত	ʃ e n ɡ u p t̪ o
সেনা	ʃ e n a
সেপ্টেম্বর	s e p t e m b ɔ ɹ
সেবক	ʃ e b ɔ k
স্বর্গ	ʃ o̯ ɔ ɹ ɡ o
স্বর্গ	ʃ ɔ ɹ ɡ o
হজ্য	h ɔ d ʑ
হজ্য	h ɔ d ʑː
হয়	h ɔ e̯
হাইপোথ্যালামাস	h a i̯ p o t̪ʰ ɛ l a m a s
হাতা	h a t̪ a
হার্ডওয়্যার	h a r ɖ w æ r
হার্মাদ	h a ɹ m a d̪
হাল	h a l
হালকা	h a l k a
হালাক	h a l a k
হালাল	h a l a l
হালুয়া	h a l u̯ a
হাশি	h a ʃ i
হাসন	h a s ɔ n
হাসন	h a ʃ ɔ n
হাসপাতাল	h a ʃ p a t̪ a l
হাসা	h a ʃ a
হাসান	h a s a n
হাসান	h a ʃ a n
হাসানো	h a ʃ a n o
হাসি	h a ʃ i
হাসিন	h a s i n
হিং	h i ŋ
হিংসা	h i ŋ ʃ a
হিঙ	h i ŋ
হিজড়া	h i d ʑ ɹ a
হিটলার	h i t l a ɹ
হিড়িক	h i ɹ i k
হিতৈষী	h i t̪ o i̯ ʃ i
হিতোপদেশ	h i t̪ o p o d̪ e ʃ
হিনি	h i n i
হিন্দ	h i n d̪
হিন্দ	h i n d̪ o
হিন্দকী	h i n d̪ k i
হিন্দি	h i n d̪ i
হিন্দী	h i n d̪ i
হিন্দীয়া	h i n d̪ i̯ a
হিন্দু	h i n d̪ u
হিন্দুত্ব	h i n d̪ u t̪ː o
হিন্দুধর্ম	h i n d̪ u d̪ʱ ɔ ɹ m o
হিন্দুস্তান	h i n d̪ u s t̪ a n
হিব্রু	h i b ɹ u
হিম	h i m
হিমবাহ	h i m b a h o
হিমাচল	h i m a t ɕ ɔ l
হিমাচল	h i m ä t͡ʃ ɔ̜ l
হিমালয়	h i m ɑ l ɔ e̯
হিয়া	h i̯ a
হিসাব	h i ʃ a b
হিস্যা	h i s ʃ a
হিস্সা	h i s ʃ a
হীরা	h i ɹ a
হুকুমত	h u k u m ɔ t̪
হুক্কা	h u kː a
হুজুর	h u d ʑ u ɹ
হুণ্ডি	h u n d i
হুতাশন	h u t̪ a ʃ ɔ n
হুদা	h u d̪ a
হুমকি	h u m k i
হুমায়রা	h u m a e̯ ɹ a
হুমায়ুন	h u m a u̯ n
হুরইন	h u ɹ o i̯ n
হূদ	h u d̪
হৃদপিণ্ড	h ɹ i d̪ p i n d o
হৃদপিণ্ড	ɹ i d̪ p i n d o
হৃদপিন্ড	h ɹ i d̪ p i n d o
হৃদপিন্ড	ɹ i d̪ p i n d o
হৃদয়	r i d̪ ɔ e̯
হৃদয়	ɦ ɾ i d̪ ɔ e̯
হৃৎপিণ্ড	h ɹ i t̪ p i n d o
হৃৎপিণ্ড	ɹ i t̪ p i n d o
হৃৎপিন্ড	h ɹ i t̪ p i n d o
হৃৎপিন্ড	ɹ i t̪ p i n d o
হে	h e
হেঁচকা	h e t ɕ k a
হেঁচকি	h e t ɕ k i
হেঁতাল	h e t̪ a l
হেঁয়ালি	h e e̯ a l i
হেকারত	h e k a ɹ ɔ t̪
হেজাজ	h e d ʑ a z
হেদায়েত	h e d̪ a e̯ t̪
হেনা	h e n a
হেফাজত	h e f a z o t̪
হেবা	h e b a
হেমন্ত	h e m o n t̪ o
হেরিকেন	h e ɹ i k e n
হেরিকেন	h ɛ ɹ i k e n
হোঁচট	h õ t͡ʃ o ʈ
হোক	h o k
হোটেল	h o t e l
হোম	h o m
হোয়াটসঅ্যাপ	h o̯ a t s e̯ a p
হোরা	h o ɹ a
হোল	h o l
হোলি	h o l i
হোসেন	h o s e n
হোসেন	h o ʃ e n
হ্ব	h o
হ্যাঁ	h æ̃
হ্যাডম	h ɛ d o m
হ্যানয়	h ɛ n ɔ e̯
হ্যারিকেন	h e ɹ i k e n
হ্যারিকেন	h ɛ ɹ i k e n
হ্যালো	h æ l o
হ্যালো	h æ l ɔ
হ্রদ	h ɹ ɔ d̪
হ্রস্ব	h ɹ ɔ ʃː o
হ্রস্বীকরণ	h ɹ ɔ ʃː i k ɹ o n
ৠ	r i
ৡ	l i
ৰ	ɹ ɔ
