@	a̠ t̚ t o̞
尚志	t a̠ k a̠ ɕ i
敬士	t a̠ k a̠ ɕ i
貴司	t a̠ k a̠ ɕ i
隆司	t a̠ k a̠ ɕ i
隆士	t a̠ k a̠ ɕ i
隆志	t a̠ k a̠ ɕ i
駄菓子	d a̠ ɡ a̠ ɕ i
高台	t a̠ k a̠ d a̠ i
高千穂蛇	t a̠ k a̠ t͡ɕ i h o̞ h e̞ bʲ i
打楽器	d a̠ ɡ a̠ k̚ʲ kʲ i
高手	t a̠ k a̠ t e̞
高殿	t a̠ k a̠ d o̞ n o̞
高跳び	t a̠ k a̠ t o̞ bʲ i
高飛び込み	t a̠ k a̠ t o̞ bʲ i k o̞ mʲ i
小鳥遊	t a̠ k a̠ n a̠ ɕ i
たかね	t a̠ k a̠ n e̞
高嶺	t a̠ k a̠ n e̞
高根	t a̠ k a̠ n e̞
鏨	t a̠ ɡ a̠ n e̞
鏨草	t a̠ ɡ a̠ n e̞ s o̞ː
高望み	t a̠ k a̠ n o̞ z o̞ mʲ i
尚典	t a̠ k a̠ n o̞ ɾʲ i
敬典	t a̠ k a̠ n o̞ ɾʲ i
貴規	t a̠ k a̠ n o̞ ɾʲ i
隆則	t a̠ k a̠ n o̞ ɾʲ i
高梁	t a̠ k a̠ h a̠ ɕ i
髙橋	t a̠ k a̠ h a̠ ɕ i
孝彦	t a̠ k a̠ ç i k o̞
貴彦	t a̠ k a̠ ç i k o̞
隆人	t a̠ k a̠ ç i t o̞
尚広	t a̠ k a̠ ç i ɾ o̞
隆大	t a̠ k a̠ ç i ɾ o̞
隆広	t a̠ k a̠ ç i ɾ o̞
隆弘	t a̠ k a̠ ç i ɾ o̞
隆浩	t a̠ k a̠ ç i ɾ o̞
隆裕	t a̠ k a̠ ç i ɾ o̞
高広	t a̠ k a̠ ç i ɾ o̞
隆哉	t a̠ k a̠ j a̠
高楊枝	t a̠ k a̠ j o̞ː ʑ i
貴良	t a̠ k a̠ j o̞ ɕ i
隆好	t a̠ k a̠ j o̞ ɕ i
宝	t a̠ k a̠ ɾ a̠
だから	d a̠ k a̠ ɾ a̠
高らか	t a̠ k a̠ ɾ a̠ k a̠
宝貝	t a̠ k a̠ ɾ a̠ ɡ a̠ i
宝箱	t a̠ k a̠ ɾ a̠ b a̠ k o̞
宝物	t a̠ k a̠ ɾ a̠ m o̞ n o̞
多感	t a̠ k ã̠ ɴ
兌換	d a̠ k ã̠ ɴ
多汗症	t a̠ k ã̠ ɰ̃ ɕ o̞ː
多岐	t a̠ kʲ i
滝	t a̠ kʲ i
唾棄	d a̠ kʲ i
多義	t a̠ ɡʲ i
惰気	d a̠ kʲ i
タキーヤ	t a̠ kʲ iː j a̠
タキオン	t a̠ kʲ i õ̞ ɴ
たきぎ	t a̠ kʲ i ɡʲ i
多義語	t a̠ ɡʲ i ɡ o̞
タキシード	t a̠ kʲ i̥ ɕ iː d o̞
多義性	t a̠ ɡʲ i s e̞ː
炊き出し	t a̠ kʲ i d a̠ ɕ i
たきび	t a̠ kʲ i bʲ i
他郷	t a̠ kʲ o̞ː
た行	t a̠ ɡʲ o̞ː
妥協	d a̠ kʲ o̞ː
妥協案	d a̠ kʲ o̞ː ã̠ ɴ
他家	t a̠ k e̞
竹	t a̠ k e̞
だけ	d a̠ k e̞
打撃	d a̠ ɡ e̞ kʲ i
斌	t a̠ k e̞ ɕ i
武史	t a̠ k e̞ ɕ i
武司	t a̠ k e̞ ɕ i
武嗣	t a̠ k e̞ ɕ i
他化自在天	t a̠ k e̞ ʑ i z a̠ i t ẽ̞ ɴ
竹島	t a̠ k e̞ ɕ i m a̠
武田	t a̠ k e̞ d a̠
竹田	t a̠ k e̞ d a̠
猛々しい	t a̠ k e̞ d a̠ k e̞ ɕ iː
武智	t a̠ k e̞ t͡ɕ i
竹取	t a̠ k e̞ t o̞ ɾʲ i
タケノコ	t a̠ k e̞ n o̞ k o̞
毅彦	t a̠ k e̞ ç i k o̞
武広	t a̠ k e̞ ç i ɾ o̞
竹箒	t a̠ k e̞ b o̞ː kʲ i
武宮	t a̠ k e̞ mʲ i j a̠
武美	t a̠ k e̞ j o̞ ɕ i
武芳	t a̠ k e̞ j o̞ ɕ i
田鳧	t a̠ ɡ e̞ ɾʲ i
他県	t a̠ k ẽ̞ ɴ
打鍵	d a̠ k ẽ̞ ɴ
駄犬	d a̠ k ẽ̞ ɴ
他言語	t a̠ ɡ ẽ̞ ŋ ɡ o̞
多言語	t a̠ ɡ ẽ̞ ŋ ɡ o̞
凧	t a̠ k o̞
紙鳶	ɕ i ẽ̞ ɴ
胼胝	t a̠ k o̞
蛸	t a̠ k o̞
他校	t a̠ k o̞ː
多幸	t a̠ k o̞ː
多幸感	t a̠ k o̞ː k ã̠ ɴ
多幸症	t a̠ k o̞ː ɕ o̞ː
たこパ	t a̠ k o̞ p a̠
蛸焼き	t a̠ k o̞ j a̠ kʲ i
多才	t a̠ s a̠ i
ダサい	d a̠ s a̠ i
多細胞	t a̠ s a̠ i b o̞ː
ダサダサ	d a̠ s a̠ d a̠ s a̠
打算	d a̠ s ã̠ ɴ
たし	t a̠ ɕ i
多子	t a̠ ɕ i
出し	d a̠ ɕ i
多事	t a̠ ʑ i
山車	d a̠ ɕ i
確か	t a̠ ɕ i̥ k a̠
タシケント	t a̠ ɕ i k ẽ̞ n t o̞
だしこ	d a̠ ɕ i k o̞
多士済々	t a̠ ɕ i s a̠ i s a̠ i
足し算	t a̠ ɕ i z ã̠ ɴ
たじたじ	t a̠ ʑ i t a̠ ʑ i
嗜み	t a̠ ɕ i n a̠ mʲ i
他社	t a̠ ɕ a̠
他者	t a̠ ɕ a̠
打者	d a̠ ɕ a̠
駄洒落	d a̠ ʑ a̠ ɾ e̞
他所	t a̠ ɕ o̞
他書	t a̠ ɕ o̞
他称	t a̠ ɕ o̞ː
多少	t a̠ ɕ o̞ː
打成一片	t a̠ ʑ o̞ː i p̚ p ẽ̞ ɴ
打診	d a̠ ɕ ĩ ɴ
多神教	t a̠ ɕ ĩ ŋʲ kʲ o̞ː
多勢	t a̠ z e̞ː
蛇蛻	d a̠ z e̞ː
他薦	t a̠ s ẽ̞ ɴ
たそ	t a̠ s o̞
黄昏	t a̠ s o̞ ɡ a̠ ɾ e̞
他村	t a̠ s õ̞ ɴ
ただ	t a̠ d a̠
但	t a̠ d a̠ ɕ i
駄々	d a̠ d a̠
タダイ	t a̠ d a̠ i
多大	t a̠ d a̠ i
叩いた	t a̠ t a̠ i t a̠
叩いて	t a̠ t a̠ i t e̞
ただいま	t a̠ d a̠ i m a̠
只今	t a̠ d a̠ i m a̠
戦い	t a̠ t a̠ k a̠ i
たたき	t a̠ t a̠ kʲ i
ただごと	t a̠ d a̠ ɡ o̞ t o̞
但し	t a̠ d a̠ ɕ i
侃	t a̠ d a̠ ɕ i
冽	t a̠ d a̠ ɕ i
正しい	t a̠ d a̠ ɕ i i
忠敬	t a̠ d a̠ t a̠ k a̠
ただただ	t a̠ d a̠ t a̠ d a̠
駄々っ子	d a̠ d a̠ k̚ k o̞
だだっぴろい	d a̠ d a̠ p̚ʲ pʲ i ɾ o̞ i
只乗り	t a̠ d a̠ n o̞ ɾʲ i
只働き	t a̠ d a̠ b a̠ t a̠ ɾ a̠ kʲ i
畳	t a̠ t a̠ mʲ i
畳敷き	t a̠ t a̠ mʲ i ʑ i kʲ i
タタミゼ	t a̠ t a̠ mʲ i z e̞
只者	t a̠ d a̠ m o̞ n o̞
だだもれ	d a̠ d a̠ m o̞ ɾ e̞
踏鞴	t a̠ t a̠ ɾ a̠
祟り	t a̠ t a̠ ɾʲ i
爛れ	t a̠ d a̠ ɾ e̞
たち	t a̠ t͡ɕ i
タチ	t a̠ t͡ɕ i
太刀	t a̠ t͡ɕ i
立ち	t a̠ t͡ɕ i
裁	t a̠ t͡ɕ i
達	t a̠ t͡ɕ i
だち	d a̠ t͡ɕ i
ダチ	d a̠ t͡ɕ i
立ち会い	t a̠ t͡ɕ i a̠ i
立ち合い	t a̠ t͡ɕ i a̠ i
立会人	t a̠ t͡ɕ i a̠ i ɲ̟ ĩ ɴ
立ち位置	t a̠ t͡ɕ i i t͡ɕ i
立ち絵	t a̠ t͡ɕ i e̞
立ち往生	t a̠ t͡ɕ i o̞ː ʑ o̞ː
立ち泳ぎ	t a̠ t͡ɕ i o̞ j o̞ ɡʲ i
立木	t a̠ t͡ɕ i kʲ i
立ち聞き	t a̠ t͡ɕ i ɡʲ i kʲ i
だち公	d a̠ t͡ɕ i k o̞ː
立ち漕ぎ	t a̠ t͡ɕ i k o̞ ɡʲ i
立ち小便	t a̠ t͡ɕ i̥ ɕ o̞ː b ẽ̞ ɴ
立ち直り	t a̠ t͡ɕ i n a̠ o̞ ɾʲ i
立場	t a̠ t͡ɕ i b a̠
橘	t a̠ t͡ɕ i b a̠ n a̠
立花	t a̠ t͡ɕ i b a̠ n a̠
たちばなし	t a̠ t͡ɕ i b a̠ n a̠ ɕ i
たちはばとび	t a̠ t͡ɕ i h a̠ b a̠ t o̞ bʲ i
たちまち	t a̠ t͡ɕ i m a̠ t͡ɕ i
駝鳥	d a̠ t͡ɕ o̞ː
立ち読み	t a̠ t͡ɕ i j o̞ mʲ i
駄賃	d a̠ t͡ɕ ĩ ɴ
立ちん坊	t a̠ t͡ɕ ĩ m b o̞ː
ダッカ	d a̠ k̚ k a̠
奪回	d a̠ k̚ k a̠ i
脱会	d a̠ k̚ k a̠ i
奪還	d a̠ k̚ k ã̠ ɴ
脱監	d a̠ k̚ k ã̠ ɴ
磔刑	t a̠ k̚ k e̞ː
だっこ	d a̠ k̚ k o̞
だっこう	d a̠ k̚ k o̞ː
脱稿	d a̠ k̚ k o̞ː
脱肛	d a̠ k̚ k o̞ː
達し	t a̠ ɕː i
達者	t a̠ ɕː a̠
達成	t a̠ sː e̞ː
脱線	d a̠ sː ẽ̞ ɴ
脱走	d a̠ sː o̞ː
たった	t a̠ t̚ t a̠
立った	t a̠ t̚ t a̠
足った	t a̠ t̚ t a̠
脱退	d a̠ t̚ t a̠ i
だったら	d a̠ t̚ t a̠ ɾ a̠
韃靼	d a̠ t̚ t ã̠ ɴ
タッチ	t a̠ t̚ t͡ɕ i
たって	t a̠ t̚ t e̞
だって	d a̠ t̚ t e̞
タッパ	t a̠ p̚ p a̠
脱皮	d a̠ p̚ʲ pʲ i
脱法	d a̠ p̚ p o̞ː
殺陣	t a̠ t e̞
盾	t a̠ t e̞
蓼	t a̠ d e̞
建て網	t a̠ t e̞ a̠ mʲ i
縦糸	t a̠ t e̞ i t o̞
たてがみ	t a̠ t e̞ ɡ a̠ mʲ i
タテガミオオカミ	t a̠ t e̞ ɡ a̠ mʲ i o̞ː k a̠ mʲ i
たてかん	t a̠ t e̞ k ã̠ ɴ
たてかんばん	t a̠ t e̞ k ã̠ m b ã̠ ɴ
立て看板	t a̠ t e̞ k ã̠ m b ã̠ ɴ
立行司	t a̠ t e̞ ɡʲ o̞ː ʑ i
たてこう	t a̠ t e̞ k o̞ː
たて座	t a̠ t e̞ z a̠
たてじま	t a̠ t e̞ ʑ i m a̠
舘田	t a̠ t e̞ d a̠
縦長	t a̠ t e̞ n a̠ ɡ a̠
縦波	t a̠ t e̞ n a̠ mʲ i
立羽蝶	t a̠ t e̞ h a̠ t͡ɕ o̞ː
蛺蝶	t a̠ t e̞ h a̠ t͡ɕ o̞ː
立て膝	t a̠ t e̞ ç i z a̠
縦棒	t a̠ t e̞ b o̞ː
建前	t a̠ t e̞ m a̠ e̞
点前	t a̠ t e̞ m a̠ e̞
たてまき	t a̠ t e̞ m a̠ kʲ i
たてもの	t a̠ t e̞ m o̞ n o̞
建屋	t a̠ t e̞ j a̠
堕天	d a̠ t ẽ̞ ɴ
堕天使	d a̠ t ẽ̞ ɰ̃ ɕ i
多答	t a̠ t o̞ː
妥当	d a̠ t o̞ː
打倒	d a̠ t o̞ː
他動詞	t a̠ d o̞ː ɕ i
たとえ	t a̠ t o̞ e̞
例えば	t a̠ t o̞ e̞ b a̠
譬え話	t a̠ t o̞ e̞ b a̠ n a̠ ɕ i
たどたどしい	t a̠ d o̞ t a̠ d o̞ ɕ i i
炭団	t a̠ d õ̞ ɴ
棚	t a̠ n a̠
田仲	t a̠ n a̠ k a̠
棚氷	t a̠ n a̠ ɡ o̞ː ɾʲ i
店晒し	t a̠ n a̠ z a̠ ɾ a̠ ɕ i
手底	t a̠ n a̠ s o̞ k o̞
七夕	t a̠ n a̠ b a̠ t a̠
田辺	t a̠ n a̠ b e̞
谷	t a̠ ɲ̟ i
壁蝨	d a̠ ɲ̟ i
谷底	t a̠ ɲ̟ i s o̞ k o̞
谷間	t a̠ ɲ̟ i m a̠
他人	t a̠ ɲ̟ ĩ ɴ
種	t a̠ n e̞
胤	t a̠ n e̞
種明かし	t a̠ n e̞ a̠ k a̠ ɕ i
種子島	t a̠ n e̞ ɡ a̠ ɕ i m a̠
種麹	t a̠ n e̞ k o̞ː ʑ i
種﨑	t a̠ n e̞ z a̠ kʲ i
種田	t a̠ n e̞ d a̠
胤違い	t a̠ n e̞ t͡ɕ i ɡ a̠ i
多嚢胞性	t a̠ n o̞ː h o̞ː s e̞ː
楽しい	t a̠ n o̞ ɕ iː
楽しみ	t a̠ n o̞ ɕ i mʲ i
頼み	t a̠ n o̞ mʲ i
頼もしい	t a̠ n o̞ m o̞ ɕ i i
打破	d a̠ h a̠
束	t a̠ b a̠
駄馬	d a̠ b a̠
タハーラ	t a̠ h a̠ː ɾ a̠
ダバオ	d a̠ b a̠ o̞
タバコ	t a̠ b a̠ k o̞
丹波粉	t a̠ b a̠ k o̞
淡婆姑	t a̠ b a̠ k o̞
煙草	ẽ̞ ɰ̃ s o̞ː
煙草盆	t a̠ b a̠ k o̞ b õ̞ ɴ
度	t a̠ bʲ i
旅	t a̠ bʲ i
足袋	t a̠ bʲ i
荼毘	d a̠ bʲ i
タヒーナ	t a̠ ç iː n a̠
タピオカ	t a̠ pʲ i o̞ k a̠
旅先	t a̠ bʲ i s a̠ kʲ i
旅路	t a̠ bʲ i ʑ i
旅商人	t a̠ bʲ i ɕ o̞ː ɲ̟ ĩ ɴ
旅立ち	t a̠ bʲ i d a̠ t͡ɕ i
度々	t a̠ bʲ i t a̠ bʲ i
タヒチ	t a̠ ç i t͡ɕ i
ダビデ	d a̠ bʲ i d e̞
田雲雀	t a̠ ç i b a̠ ɾʲ i
旅人	t a̠ bʲ i bʲ i t o̞
たべごたえ	t a̠ b e̞ ɡ o̞ t a̠ e̞
食べ残し	t a̠ b e̞ n o̞ k o̞ ɕ i
食べ放題	t a̠ b e̞ h o̞ː d a̠ i
食べ物	t a̠ b e̞ m o̞ n o̞
食べられない	t a̠ b e̞ ɾ a̠ ɾ e̞ n a̠ i
多弁	t a̠ b ẽ̞ ɴ
拿捕	d a̠ h o̞
たほいや	t a̠ h o̞ i j a̠
他方	t a̠ h o̞ː
打法	d a̠ h o̞ː
ダボ袖	d a̠ b o̞ s o̞ d e̞
だぼだぼ	d a̠ b o̞ d a̠ b o̞
偶	t a̠ m a̠
玉	t a̠ m a̠
だま	d a̠ m a̠
たまいし	t a̠ m a̠ i ɕ i
たまきん	t a̠ m a̠ kʲ ĩ ɴ
たまけり	t a̠ m a̠ k e̞ ɾʲ i
卵	t a̠ m a̠ ɡ o̞
卵形	t a̠ m a̠ ɡ o̞ ɡ a̠ t a̠
卵焼き	t a̠ m a̠ ɡ o̞ j a̠ kʲ i
だまし	d a̠ m a̠ ɕ i
魂	t a̠ m a̠ ɕ iː
騙し絵	d a̠ m a̠ ɕ i e̞
ダマ鹿	d a̠ m a̠ ʑ i k a̠
たまたま	t a̠ m a̠ t a̠ m a̠
たまてばこ	t a̠ m a̠ t e̞ b a̠ k o̞
玉菜	t a̠ m a̠ n a̠
玉葱	t a̠ m a̠ n e̞ ɡʲ i
たまのり	t a̠ m a̠ n o̞ ɾʲ i
たまば	t a̠ m a̠ b a̠
適間	t a̠ m a̠ ç i m a̠
たまひろい	t a̠ m a̠ ç i ɾ o̞ i
玉藻	t a̠ m a̠ m o̞
たまもの	t a̠ m a̠ m o̞ n o̞
玉屋	t a̠ m a̠ j a̠
霊屋	t a̠ m a̠ j a̠
珠代	t a̠ m a̠ j o̞
たまらない	t a̠ m a̠ ɾ a̠ n a̠ i
溜まり	t a̠ m a̠ ɾʲ i
黙り	d a̠ m a̠ ɾʲ i
黙りなさい	d a̠ m a̠ ɾʲ i n a̠ s a̠ i
溜まり場	t a̠ m a̠ ɾʲ i b a̠
タマリン	t a̠ m a̠ ɾʲ ĩ ɴ
たみ	t a̠ mʲ i
民	mʲ ĩ ɴ
ダミー	d a̠ mʲ iː
民夫	t a̠ mʲ i o̞
だみごえ	d a̠ mʲ i ɡ o̞ e̞
惰眠	d a̠ mʲ ĩ ɴ
ため	t a̠ m e̞
駄目	d a̠ m e̞
ため息	t a̠ m e̞ i kʲ i
ダメージ	d a̠ m e̞ː ʑ i
ためがき	t a̠ m e̞ ɡ a̠ kʲ i
為景	t a̠ m e̞ k a̠ ɡ e̞
タメ語	t a̠ m e̞ ɡ o̞
試し	t a̠ m e̞ ɕ i
だめだし	d a̠ m e̞ d a̠ ɕ i
ためとり	t a̠ m e̞ t o̞ ɾʲ i
ために	t a̠ m e̞ ɲ̟ i
だめもと	d a̠ m e̞ m o̞ t o̞
躊躇い	t a̠ m e̞ ɾ a̠ i
他面	t a̠ m ẽ̞ ɴ
多面	t a̠ m ẽ̞ ɴ
多面性	t a̠ m ẽ̞ ɰ̃ s e̞ː
多面体	t a̠ m ẽ̞ n t a̠ i
攩網	t a̠ m o̞ a̠ mʲ i
ダモイ	d a̠ m o̞ i
袂	t a̠ m o̞ t o̞
多聞天	t a̠ m õ̞ n t ẽ̞ ɴ
多様	t a̠ j o̞ː
多用	t a̠ j o̞ː
多様化	t a̠ j o̞ː k a̠
多様性	t a̠ j o̞ː s e̞ː
便り	t a̠ j o̞ ɾʲ i
頼り	t a̠ j o̞ ɾʲ i
たら	t a̠ ɾ a̠
太良	t a̠ ɾ a̠
楤	t a̠ ɾ a̠
鱈	t a̠ ɾ a̠
だらあ	d a̠ ɾ a̠ː
盥	t a̠ ɾ a̠ i
だらけ	d a̠ ɾ a̠ k e̞
鱈子	t a̠ ɾ a̠ k o̞
だらしない	d a̠ ɾ a̠ ɕ i n a̠ i
だらだら	d a̠ ɾ a̠ d a̠ ɾ a̠
陀羅尼	d a̠ ɾ a̠ ɲ̟ i
楤木	t a̠ ɾ a̠ n o̞ kʲ i
楤の芽	t a̠ ɾ a̠ n o̞ m e̞
鱈場蟹	t a̠ ɾ a̠ b a̠ ɡ a̠ ɲ̟ i
だらり	d a̠ ɾ a̠ ɾʲ i
たられば	t a̠ ɾ a̠ ɾ e̞ b a̠
たり	t a̠ ɾʲ i
足り	t a̠ ɾʲ i
ダリア	d a̠ ɾʲ i a̠
ダリー語	d a̠ ɾʲ iː ɡ o̞
タリエリーニ	t a̠ ɾʲ i e̞ ɾʲ iː ɲ̟ i
足りない	t a̠ ɾʲ i n a̠ i
多量	t a̠ ɾʲ o̞ː
打令	t a̠ ɾʲ õ̞ ɴ
舵輪	d a̠ ɾʲ ĩ ɴ
垂れ	t a̠ ɾ e̞
誰	d a̠ ɾ e̞
タレイア	t a̠ ɾ e̞ː a̠
誰彼	d a̠ ɾ e̞ k a̠ ɾ e̞
誰彼無しに	d a̠ ɾ e̞ k a̠ ɾ e̞ n a̠ ɕ i ɲ̟ i
たれこみ	t a̠ ɾ e̞ k o̞ mʲ i
誰々	d a̠ ɾ e̞ d a̠ ɾ e̞
垂れ目	t a̠ ɾ e̞ m e̞
タレント	t a̠ ɾ ẽ̞ n t o̞
だろ	d a̠ ɾ o̞
多浪	t a̠ ɾ o̞ː
太郎	t a̠ ɾ o̞ː
嘆	t ã̠ ɴ
痰	t ã̠ ɴ
短	t ã̠ ɴ
譚	t ã̠ ɴ
だん	d ã̠ ɴ
団	d ã̠ ɴ
弾	d ã̠ ɴ
断	d ã̠ ɴ
暖	d ã̠ ɴ
檀	d ã̠ ɴ
段	d ã̠ ɴ
炭安	t ã̠ ɰ̃ ã̠ ɴ
単位	t ã̠ ɰ̃ i
単位系	t ã̠ ɰ̃ i k e̞ː
団員	d ã̠ ɰ̃ ĩ ɴ
湯円	t ã̠ ɰ̃ ẽ̞ ɴ
蛋黄	t ã̠ ɰ̃ o̞ː
たんおし	t ã̠ ɰ̃ o̞ ɕ i
単音	t ã̠ ɰ̃ õ̞ ɴ
短音	t ã̠ ɰ̃ õ̞ ɴ
単価	t ã̠ ŋ k a̠
啖呵	t ã̠ ŋ k a̠
炭化	t ã̠ ŋ k a̠
短歌	t ã̠ ŋ k a̠
譚歌	t ã̠ ŋ k a̠
檀家	d ã̠ ŋ k a̠
タンカー	t ã̠ ŋ k a̠ː
団塊	d ã̠ ŋ k a̠ i
段階	d ã̠ ŋ k a̠ i
弾劾	d ã̠ ŋ ɡ a̠ i
断崖	d ã̠ ŋ ɡ a̠ i
単簡	t ã̠ ŋ k ã̠ ɴ
嘆願	t ã̠ ŋ ɡ ã̠ ɴ
弾丸	d ã̠ ŋ ɡ ã̠ ɴ
嘆願書	t ã̠ ŋ ɡ ã̠ ɰ̃ ɕ o̞
単機	t ã̠ ŋʲ kʲ i
単記	t ã̠ ŋʲ kʲ i
単騎	t ã̠ ŋʲ kʲ i
短期	t ã̠ ŋʲ kʲ i
短気	t ã̠ ŋʲ kʲ i
暖気	d ã̠ ŋʲ kʲ i
談義	d ã̠ ŋʲ ɡʲ i
タンキニ	t ã̠ ŋʲ kʲ i ɲ̟ i
短距離	t ã̠ ŋʲ kʲ o̞ ɾʲ i
端倪	t ã̠ ŋ ɡ e̞ː
探検	t ã̠ ŋ k ẽ̞ ɴ
単元	t ã̠ ŋ ɡ ẽ̞ ɴ
断見	d ã̠ ŋ k ẽ̞ ɴ
断言	d ã̠ ŋ ɡ ẽ̞ ɴ
探検家	t ã̠ ŋ k ẽ̞ ŋ k a̠
タンゴ	t ã̠ ŋ ɡ o̞
単語	t ã̠ ŋ ɡ o̞
断固	d ã̠ ŋ k o̞
団子	d ã̠ ŋ ɡ o̞
段碁	d ã̠ ŋ ɡ o̞
探鉱	t ã̠ ŋ k o̞ː
淡黄	t ã̠ ŋ k o̞ː
炭坑	t ã̠ ŋ k o̞ː
炭鉱	t ã̠ ŋ k o̞ː
断行	d ã̠ ŋ k o̞ː
談合	d ã̠ ŋ ɡ o̞ː
単行本	t ã̠ ŋ k o̞ː b õ̞ ɴ
団子鼻	d ã̠ ŋ ɡ o̞ b a̠ n a̠
単婚	t ã̠ ŋ k õ̞ ɴ
男根	d ã̠ ŋ k õ̞ ɴ
男根期	d ã̠ ŋ k õ̞ ŋʲ kʲ i
探査	t ã̠ ɰ̃ s a̠
段差	d ã̠ ɰ̃ s a̠
ダンサー	d ã̠ ɰ̃ s a̠ː
単細胞	t ã̠ ɰ̃ s a̠ i b o̞ː
探査機	t ã̠ ɰ̃ s a̠ kʲ i
タンザニア	t ã̠ n d͡z a̠ ɲ̟ i a̠
単三	t ã̠ ɰ̃ s ã̠ ɴ
炭酸	t ã̠ ɰ̃ s ã̠ ɴ
檀山	d ã̠ n d͡z ã̠ ɴ
短詩	t ã̠ ɰ̃ ɕ i
短資	t ã̠ ɰ̃ ɕ i
端子	t ã̠ ɰ̃ ɕ i
男子	d ã̠ ɰ̃ ɕ i
男児	d ã̠ ɲ̟ d͡ʑ i
単試合	t ã̠ ɰ̃ ɕ i a̠ i
タンジェント	t ã̠ ɲ̟ d͡ʑ ẽ̞ n t o̞
タンしお	t ã̠ ɰ̃ ɕ i o̞
短時間	t ã̠ ɲ̟ d͡ʑ i k ã̠ ɴ
単式	t ã̠ ɰ̃ ɕ i kʲ i
担子菌	t ã̠ ɰ̃ ɕ i kʲ ĩ ɴ
男子校	d ã̠ ɰ̃ ɕ i k o̞ː
端子台	t ã̠ ɰ̃ ɕ i d a̠ i
断じて	d ã̠ ɲ̟ d͡ʑ i t e̞
たんしゃ	t ã̠ ɰ̃ ɕ a̠
単射	t ã̠ ɰ̃ ɕ a̠
単車	t ã̠ ɰ̃ ɕ a̠
断捨離	d ã̠ ɰ̃ ɕ a̠ ɾʲ i
短所	t ã̠ ɰ̃ ɕ o̞
端緒	t ã̠ ɰ̃ ɕ o̞
男女	d ã̠ ɲ̟ d͡ʑ o̞
単勝	t ã̠ ɰ̃ ɕ o̞ː
男娼	d ã̠ ɰ̃ ɕ o̞ː
誕生	t ã̠ ɲ̟ d͡ʑ o̞ː
談笑	d ã̠ ɰ̃ ɕ o̞ː
壇上	d ã̠ ɲ̟ d͡ʑ o̞ː
誕生会	t ã̠ ɲ̟ d͡ʑ o̞ː k a̠ i
単勝式	t ã̠ ɰ̃ ɕ o̞ː ɕ i kʲ i
誕生石	t ã̠ ɲ̟ d͡ʑ o̞ː s e̞ kʲ i
弾正台	d ã̠ ɲ̟ d͡ʑ o̞ː d a̠ i
探照灯	t ã̠ ɰ̃ ɕ o̞ː t o̞ː
誕生日	t ã̠ ɲ̟ d͡ʑ o̞ː bʲ i
ダンジョン	d ã̠ ɲ̟ d͡ʑ õ̞ ɴ
男子寮	d ã̠ ɰ̃ ɕ i ɾʲ o̞ː
丹心	t ã̠ ɰ̃ ɕ ĩ ɴ
探針	t ã̠ ɰ̃ ɕ ĩ ɴ
短信	t ã̠ ɰ̃ ɕ ĩ ɴ
短針	t ã̠ ɰ̃ ɕ ĩ ɴ
誕辰	t ã̠ ɰ̃ ɕ ĩ ɴ
丹精	t ã̠ ɰ̃ s e̞ː
弾性	d ã̠ ɰ̃ s e̞ː
男声	d ã̠ ɰ̃ s e̞ː
男性	d ã̠ ɰ̃ s e̞ː
男生	d ã̠ ɰ̃ s e̞ː
男性嫌悪	d ã̠ ɰ̃ s e̞ː k ẽ̞ ɰ̃ o̞
男性語	d ã̠ ɰ̃ s e̞ː ɡ o̞
旦夕	t ã̠ ɰ̃ s e̞ kʲ i
単線	t ã̠ ɰ̃ s ẽ̞ ɴ
断線	d ã̠ ɰ̃ s ẽ̞ ɴ
断然	d ã̠ n d͡z ẽ̞ ɴ
たんそ	t ã̠ ɰ̃ s o̞
炭素	t ã̠ ɰ̃ s o̞
弾倉	d ã̠ ɰ̃ s o̞ː
断層	d ã̠ ɰ̃ s o̞ː
炭素鋼	t ã̠ ɰ̃ s o̞ k o̞ː
炭疽症	t ã̠ ɰ̃ s o̞ ɕ o̞ː
炭素税	t ã̠ ɰ̃ s o̞ z e̞ː
男尊女卑	d ã̠ ɰ̃ s õ̞ ɲ̟ d͡ʑ o̞ ç i
単体	t ã̠ n t a̠ i
団体	d ã̠ n t a̠ i
淡淡	t ã̠ n t ã̠ ɴ
眈々	t ã̠ n t ã̠ ɴ
段々	d ã̠ n d ã̠ ɴ
探知	t ã̠ ɲ̟ t͡ɕ i
だんち	d ã̠ ɲ̟ t͡ɕ i
団地	d ã̠ ɲ̟ t͡ɕ i
暖地	d ã̠ ɲ̟ t͡ɕ i
探知機	t ã̠ ɲ̟ t͡ɕ i kʲ i
探知犬	t ã̠ ɲ̟ t͡ɕ i k ẽ̞ ɴ
団地間	d ã̠ ɲ̟ t͡ɕ i m a̠
単著	t ã̠ ɲ̟ t͡ɕ o̞
丹頂	t ã̠ ɲ̟ t͡ɕ o̞ː
単調	t ã̠ ɲ̟ t͡ɕ o̞ː
探鳥	t ã̠ ɲ̟ t͡ɕ o̞ː
短調	t ã̠ ɲ̟ t͡ɕ o̞ː
団長	d ã̠ ɲ̟ t͡ɕ o̞ː
断腸	d ã̠ ɲ̟ t͡ɕ o̞ː
探偵	t ã̠ n t e̞ː
断定	d ã̠ n t e̞ː
