a	eː
parcel	pʰ ɑː s ə ɫ
parcel	pʰ ɑ ɹ s ə ɫ
parcel	pʰ ɐː s ə ɫ
pardon	pʰ ɑ ˞ d n̩
park	pʰ ɑ ɹ k
park	p ɑ ɹ k
Park	pʰ ɑ ɹ k
parole	pʰ ə ɹ ə ʊ ɫ
parole	p ə ɹ ə ʊ ɫ
parole	pʰ ə ɹʷ o ʊ ɫ
parole	pʰ ɹ̩ o ʊ ɫ
parole	p ə ɹ ə ʉ ɫ
parole	p ə ɹ ɐ ʉ ɫ
parole	p ə ɹ ɐ ʉ ɫ
paronym	pʰ ɛ ɹ ə n ɪ m
partay	pʰ ɑ ɹ tʰ e ɪ̯
Parthenia	p ɑ ɹ θ i n j ə
parties	p ɑ ɹ ɾ i z
partisanship	p ɑ ɹ ɾ ə z ə n ʃ ɪ p
partite	p ɐː t ɑ e̯ t
partition	pʰ ɑ ɹ tʰ ɪ ʃ n̩
partner	p ɑ ɹ ʔ n ɚ
party	pʰ ɑ ɹ ɾ i
pascal	pʰ æ s k æ ɫ
pascal	pʰ æ s kʰ æ ɫ
Pasdong	p ɐ s d o ŋ
pass	pʰ æ s
pass	pʰ ɛ ə s
pass	pʰ e ə s
pass	pʰ a s
pass	pʰ æ s
pass	pʰ ä s
pass	pʰ e ə̯ s
passion	pʰ æ ʃ ə n
passion	pʰ æ ʃ n̩
pat	pʰ æ t
pat	pʰ æ t̚
pat	pʰ æˀ t̚
patent	pʰ æ̝ ʔ n̩ t̚
patent	pʰ e̞ ɪ ʔ n̩ t̚
path	pʰ æ θ
path	pʰ ɛ ə θ
path	pʰ e ə θ
path	pʰ a θ
path	pʰ æ θ
pathotic	pʰ ə θ ɑː ɾ ɪ k̚
patient	pʰ e ɪ̯ ʃ ə n t
patient	pʰ e ɪ̯ ʃ n̩ t
patio	p æ ɾ i o ʊ
Patrick	pʰ æ t̠ ɹ̠̊ ˔ʷ ɪ k̚
pattern	p æ ɾ ɚ n
patting	pʰ æ ɾ ɪ ŋ
pattings	pʰ æ ɾ ɪ ŋ z
paucity	p ɔ s ɪ ɾ i
paucity	p ɑ s ɪ ɾ i
pawn	p o ə̯ n
pawn	p ʊ ə̯ n
pawn	p ɑ n
pawn	p ɒ n
pawn	p ɑ ɒ̯ n
pawn	p ɒ ɔ̯ n
pawn	p ɑ n
pawn	p ɒ n
pawn	p ä n
pay	pʰ e ɪ̯
peace	pʰ ɪ i̯ s
peach	p ɪ i̯ t͡ʃ
pearl	pʰ ɚ ɫ
pearls	pʰ ɝ ɫ z
pebble	pʰ ɛ b ə l
pebble	pʰ ɛ b l̩
pedophile	pʰ ɛ ɾ ə f a ɪ̯ ɫ
pedophile	pʰ ɛ ɾ o ʊ̯ f a ɪ̯ ɫ
peekhole	pʰ i k h o ʊ ɫ
peel	pʰ iː ɫ
peel	pʰ i ə ɫ
peephole	pʰ iː p h o ʊ ɫ
peg	pʰ ɛ ɡ
peg	pʰ e ɪ̯ ɡ
Peisistratus	pʰ ɑ j s ɪ s t ʃ w ɹ ə t ə s
pen	pʰ ɛ n
pen	pʰ ɪ̟ n
pendant	p ɛ n d n̩ t
penes	pʰ i n i z
penis	pʰ i n ɪ s
pension	p ɛ n ʃ n̩
pension	p ɪ n ʃ n̩
pensioner	p ɛ n ʃ ə n ɚ
pensioner	p ɛ n ʃ n̩ ɹ̩
pensioner	p ɪ̟ n ʃ ə n ɚ
pensioner	p ɪ̟ n ʃ n̩ ɹ̩
people	pʰ i p ə ɫ
people	pʰ i p ɫ̩
people	p i p ɯ̽ ɫ
pepper	pʰ ɛ p ɚ
pepper	pʰ ɛ p ɹ̩
perchance	p ɝ t͡ʃʰ ɛ ə̯ n s
perchance	p ɚ t͡ʃʰ ɛ ə̯ n s
percuss	p ɚ kʰ ʌ s
perform	pʰ ə f ɔː m
performance	p ə f ɔː m ə n s
performance	p ɚ f o ɹ m ə n s
performance	p ə f oː m ə n s
person	pʰ ɝ s n̩
pester	pʰ ɛ s t ɚ
pesticide	p ɛ s t ɪ̈ s a ɪ d
pet	pʰ ɛ t
pet	pʰ ɛ ʔ
pet	pʰ ɛ ʔ t
pétanque	p ə tʰ ɑ ŋ k
Peter	pʰ i t ɚ
Peter	pʰ i ɾ ɚ
petticoat	p ɛ ɾ ɪ k o ʊ t
petting	pʰ ɛ ɾ ɪ ŋ
petty	pʰ ɛ ɾ i
Petty	p ɛ ɾ i
pew	pʰ j ʊ u̯
pewter	p j u ɾ ɚ
pff	p͡ɸː
pff	ʙ̥͡ɸː
pfft	p͡ɸː t
pharmaceutical	f ɑ ɹ m ə s j u ɾ ɪ k l̩
pharmaceutical	f ɑ ɹ m ə s u ɾ ɪ k l̩
phew	ɸ j̊ u̥ ˥˩
Philadelphia	f ɪ ɫ ə d ɜ ɫ f i ə
phlebolith	f l ɛ b ə l ɪ θ
phonetic	f ə n ɛ ɾ ɪ k
phonetic	f ə n e ɾ ɪ k
phonetically	f ə n ɛ ɾ ɪ k l i
photo	f o ʊ̯ tʰ o ʊ̯
photo	f ɔ ʊ̯ tʰ o ʊ̯
photo	f o ʊ̯ ɾ o ʊ̯
photo	f ɔ ʊ̯ ɾ o ʊ̯
photograph	f o ʊ̯ ɾ ə ɡ ɹ̠ æ f
photographic	f o ʊ ɾ ə ɡ ɹ æ f ɪ k
photosynthesis	f ŏ ʊ ɾ o ʊ s ɪ n̪ θ ə s ɪ s
phrag	f ɹʷ e ɪ̯ ɡ
phrase	f ɹʷ e ɪ̯ z
phrenitis	f ɹ ə n a ɪ ɾ ə s
physical	f ɪ z ɪ k ə l
physical	f ɪ z ɪ k l̩
pick	pʰ ɪ k
pickle	p ɪ k ɫ̩
picture	pʰ ɪ k t͡ʃ ɚ
picture	pʰ ɪ k t͡ʃ ɹ̩
picture	pʰ ɪ t͡ʃ ɚ
picture	pʰ ɪ t͡ʃ ɹ̩
Pierre	pʰ i ɚ
Pierre	pʰ i ɹ
pig	pʰ ɪ ɡ
pigpen	pʰ ɪ ɡ pʰ ɛ n
pigsty	pʰ ɪ ɡ s t a ɪ̯
piling	pʰ a ɪ̯ ɫ l ɪ ŋ
pill	pʰ ɪ ɫ
pillow	pʰ ɪ ɫ ö̞
pilot	pʰ a ɪ̯ l ə t
pilot	pʰ aː l ə t
pin	pʰ ɪ n
pink	pʰ ɪ ŋ k
pink	pʰ i ŋ k
pintle	pʰ ɪ n t l̩
pintle	pʰ ɪ ɾ̃ l̩
pistol	p ɪ s t ə l
pistol	p ɪ s t l̩
pit	pʰ ɪ ʔ t
pitcher	pʰ ɪ t͡ʃ ɚ
pitcher	pʰ ɪ t͡ʃ ɹ̩
pittance	pʰ ɪ ʔ n̩ s
pivotal	p ɪ v ɪ ɾ ə l
pivotal	p ɪ v ə ɾ ə l
pizzadilla	pʰ i t s ə d i j ə
pizzadilla	pʰ i t s ə d i ə
pizzarito	pʰ i t s ə ɹ i t o ʊ
place	pʰ l̥ e ɪ̯ s
place	pʰ l̥ eː s
placement	pʰ l e ɪ̯ s m n̩ t
placement	pʰ l eː s m n̩ t
placenta	pʰ l̥ ə s ɛ n tʰ ə
placenta	pʰ l̥ ə s ɪ̟ n tʰ ə
placid	pʰ l æ s ə d
plack	pʰ l̥ æ k
plague	pʰ l̥ e ɪ ɡ
plague	pʰ ɫ̥ ɛː ɡ
plain	p l̥ e ɪ n
plan	p l e ə n
plan	p l ɛ ə n
Planck	pʰ l̥ ɑ ŋ k
planet	pʰ l ɛ ə n ɪ t
plank	pʰ l æ ŋ k
plank	pʰ l e ɪ̯ ŋ k
plank	pʰ l ɛ̃ ŋ k
planker	pʰ l̥ æ ŋ k ɚ
planker	pʰ l̥ æ ŋ k ɹ̩
planker	pʰ l̥ e ɪ̯ ŋ k ɚ
planker	pʰ l̥ e ɪ̯ ŋ k ɹ̩
planker	pʰ l̥ ɛ̃ ŋ k ɚ
planker	pʰ l̥ ɛ̃ ŋ k ɹ̩
planks	pʰ l̥ æ ŋ k s
planks	pʰ l̥ e ɪ̯ ŋ k s
planks	pʰ l̥ ɛ̃ ŋ k s
planky	pʰ l̥ e ɪ̯ ŋ kʰ ɪ i̯
planky	pʰ l̥ ɛ̃ ŋ kʰ ɪ i̯
plant	pʰ l̥ a n t
plant	pʰ l̥ ä n t
plant	pʰ l̥ æ n t
plant	pʰ l̥ e ə n t
plant	pʰ l̥ æː n t
plant	pʰ l̥ ɛː n t
plant	pʰ l̥ eː n t
plantigrade	p l e ə̯ ɾ̃ ə ɡ ɹ e ɪ̯ d
plaque	pʰ l̥ æ k
plastic	pʰ l æ s t ɪ k
plasticity	pʰ l æ s t ɪ s ɪ t i
plasticity	pʰ l æ s t ɪ s ɪ ɾ i
plate	pʰ l̥ e ɪ̯ t
plausible	p l ɑ z ɪ b l̩
pleasant	p l ɛ z n̩ t
plenty	p l ɛ ɾ̃ i
plenty	p l ɛ n i
plenty	p l ɪ ɾ̃ i
plenty	p l ɪ n i
plethora	p l ɛ θ ɹ ə
plim	pʰ l ɪ m
plumbous	p l ʌ̈ ɱ b ə s
plus	p l ɘ̞ s
Pluto	p l u ɾ o ʊ
podcast	pʰ ä d̥̚ kʰ ɛ ə̯ s
poem	pʰ o ʊ̯ ə m
poem	pʰ o ə m
poem	pʰ o ʊ̯ m̩
poem	pʰ o m̩
poem	pʰ o ʊ̯ m
poem	pʰ o m
poet	pʰ o ʊ̯ ɪ̈ ʔ t̚
poet	pʰ o ʊ̯ ɪ̈ t̚
Pohrebky	pʰ ɔː h ɹ ɛ b k ɪˀ
Pohribky	pʰ ɔː h ɹ i b k ɪˀ
poignant	p ɔ ɪ ɲ ə n t
polar	p ɔː l ɝ
polarity	p ə l ɛ ɹ ɪ ɾ i
pole	pʰ o ʊ ɫ
Pole	pʰ o ʊ ɫ
Pole	pʰ o ə ɫ
poleless	p o ʊ ɫ l ə s
political	p ə l ɪ ɾ ɪ k ə l
political	p ə l ɪ ɾ ə k ə l
politicians	p ɑ l ə t ɪ ʃ n̩ z
polity	p ɑ l ə ɾ i
Pontypridd	p ɔ n t ə p ɹ iː ð
poof	p uː ɸ
poomplex	p ʊ m p l ɛ k͡s
popper	p ɑ p ɹ̩
popping	pʰ ɑ p ɪ̈ ŋ
popsicle	p ɑ p s ɪ k l̩
popularity	p ɑ p j ə l æ ɹ ə ɾ i
popularity	p ɑ p j ə l ɛ ɹ ə ɾ i
porous	p ɔ ɹ ə s
portable	pʰ ɔ ɹ ɾ ɪ̈ b l̩
portal	pʰ ɔː ɹ ɾ ɫ̩
portray	pʰ o ɹ t ɹ̝̊ e ɪ̯
portray	pʰ ɔ ɹ t ɹ̝̊ e ɪ̯
position	p ə z ɪ ʃ n̩
positivity	p ɑ z ɪ t ɪ v ɪ ɾ i
possibilities	p ɑ s ə b ɪ l ə ɾ i z
possibility	p ɑ s ə b ɪ l ə ɾ i
possible	p ɑ s ə b ɫ̩
postal	p o ʊ s t l̩
potent	pʰ o ʊ̯ ʔ n̩ t
pottery	p ɑ ɾ ə ɹ i
pound	pʰ a ʊ̯ n d
pound	pʰ æ ʊ̯ n d
power	pʰ a ʊ̯ ɚ
power	pʰ a ʊ̯ ɹ
powerlifting	p a w ə ɹ l ɪ f t ɪ ŋ
powerlifting	p a w ə l ɪ f t ɪ ŋ
prairie	p ɹ ɛ ɹ i
prance	pʰ ɹʷ æ n s
prance	pʰ ɹʷ a n s
prance	pʰ ɹʷ ä n s
prance	pʰ ɾ ä n s
prance	pʰ ɹʷ e ə̯ n s
prance	pʰ ɹʷ ɛ ə̯ n s
prance	pʰ ɹʷ eː n s
prance	pʰ ɹʷ ɛː n s
prang	pʰ ɹʷ e ɪ̯ ŋ
prang	pʰ ɹʷ ɛ̃ ŋ
prank	p ɹʷ æ ŋ k
prank	p ɹʷ e ɪ̯ ŋ k
prank	p ɹʷ ɛ̃ ŋ k
prankster	pʰ ɹʷ æ ŋ k s t ɚ
prankster	pʰ ɹʷ æ ŋ k s t ɹ̩
prankster	pʰ ɹʷ e ɪ̯ ŋ k s t ɚ
prankster	pʰ ɹʷ e ɪ̯ ŋ k s t ɹ̩
prankster	pʰ ɹʷ ɛ̃ ŋ k s t ɚ
prankster	pʰ ɹʷ ɛ̃ ŋ k s t ɹ̩
preacher	pʰ ɹʷ ɪ i̯ t͡ʃ ɚ
preacher	pʰ ɹʷ ɪ i̯ t͡ʃ ɹ̩
precaution	p ɹ iː k ɑ ʃ n̩
precaution	p ɹ ɪ k ɑ ʃ n̩
precious	pʰ ɹʷ ɛ ʃ ə s
precious	pʰ ɹʷ ɛ ʃ s̩
precision	p ɹ ɪ s ɪ ʒ n̩
predicative	p ɹ ɛ d ɪ k ə ɾ ɪ v
predicative	p ɹ ɛ d ə k ə ɾ ɪ v
predicative	p ɹ ɛ d ɪ k e ɪ ɾ ɪ v
predicative	p ɹ ɛ d ə k e ɪ ɾ ɪ v
pree	p ɹ iː
prefer	p ɹ ɪ f ɝ
prefrontal	p ɹ i f ɹ ʌ n t ɫ̩
presence	p ɹ ɛ z n̩ s
pressure	pʰ ɹʷ ɛ ʃ ɚ
pressure	pʰ ɹʷ ɛ ʃ ɹ̩
pretty	p ɹ ɪ ɾ i
pretzel	pʰ ɹ ɛ ʔ t͡s ɫ̩
prick	pʰ ɹ̠̊ ɪ k
pride	p ɹ̥ʷ a ɪ̯ d
priest	p ɹ̥ iː s t
prim	pʰ ɹ̠̊ ɪ m
principal	p ɹ ɪ n s ɪ p ɫ̩
principal	p ɹ ɪ n s ə p ɫ̩
principle	p ɹ ɪ n s ɪ p ɫ̩
principle	p ɹ ɪ n s ə p ɫ̩
principles	p ɹ ɪ n s ə p l̩ z
principles	p ɹ ɪ n s ɪ p l̩ z
prink	pʰ ɹʷ ɪ ŋ k
prink	pʰ ɹʷ i ŋ k
prink	pʰ ɹʷ ɪ̝ ŋ k
printer	pʰ ɹ ɪ ɾ̃ ɚ
printer	pʰ ɹ ɪ n ɚ
priorities	p ɹ a ɪ ɔ ɹ ə ɾ i z
priorities	p ɹ a ɪ ɔ ɹ ɾ i z
priorities	p ɹ a ɪ ɑ ɹ ə ɾ i z
priorities	p ɹ a ɪ ɑ ɹ ɾ i z
prioritize	p ɹ a ɪ o ɹ t a ɪ z
priority	p ɹ a ɪ o ɹ ə ɾ i
prison	pʰ ɹ̠̊ ɪ z n̩
private	pʰ ɹ a ɪ̯ v ɪ t
private	pʰ ɹ a ɪ̯ v ɪ t
private	p ɹ ə j v ə t
private	pʰ ɹ ɑ ɪ̯ v ɪ t
private	pʰ ɹ ɑ j v ə t
private	pʰ ɹ a ɪ̯ v ə t̞
private	pʰ ɹ ə ɪ̯ v ə ʔ
private	pʰ ɹ ə ɪ̯ v ə
private	pʰ ɾ ə ɪ̯ v ə ʔ
private	pʰ ɾ ə ɪ̯ v ə
private	pʰ ɹ o̞ ɪ̯ v ə ʔ
private	pʰ ɹ o̞ ɪ̯ v ə
private	pʰ ɾ o̞ ɪ̯ v ə ʔ
private	pʰ ɾ o̞ ɪ̯ v ə
probability	p ɹ ɑ b ə b ɪ l ə ɾ i
probiotic	p ɹ o ʊ b a ɪ ɑ ɾ ɪ k
processors	p ɹ ɑ s ɛ s ɚ z
proclitic	p ɹ o ʊ k l ɪ ɾ ɪ k
proclivity	p ɹ o ʊ k l ɪ v ɪ ɾ i
proclivity	p ɹ o ʊ k l ɪ v ə ɾ i
proclivity	p ɹ ə k l ɪ v ɪ ɾ i
prodigal	pʰ ɹ ɑ ɾ ɪ ɡ ɫ̩
produceorial	p ɹ ɑ d ə s o ʊ ɹ i ə l
productivity	p ɹ o ʊ d ʌ k t ɪ v ə ɾ i
productivity	p ɹ ɑ d ʌ k t ɪ v ə ɾ i
profanity	p ɹ ə f ɛ ə n ɪ t i
profanity	p ɹ o ʊ f ɛ ə n ɪ t i
professional	p ɹ ə f ɛ ʃ n ə l
professionals	p ɹ ə f ɛ ʃ n ə l z
profitability	p ɹ ɑ f ɪ t ə b ɪ l ɪ ɾ i
programmatic	p ɹ o ʊ ɡ ɹ ə m æ ɾ ɪ k
prohibited	p ɹ o ʊ h ɪ b ɪ ɾ ɪ d
pronto	pʰ ɹ ɑ n tʰ o ʊ̯
pronto	pʰ ɹ ɑ n o ʊ̯
pronunciation	pʰ ɹ ə n ʌ n s i e ɪ ʃ n̩
propaganda	p ɹ ɑ p ə ɡ ɛ ə̯ n d ə
property	p ɹ ɑ p ɚ ɾ i
proposita	p ɹ o ʊ p ɑ z ə ɾ ə
prostitute	p ɹ ɑ s t ɪ tʰ uː t
prostitute	p ɹ ɑ s t ɪ tʰ u t
prototype	p ɹ o ʊ ɾ ə t a ɪ p
prototype	p ɹ o ʊ ɾ ə t ʌ ɪ p
provocative	p ɹ ə v ɑ k ə ɾ ɪ v
proximity	p ɹ ɑ k s ɪ m ɪ ɾ i
prudential	p ɹ u d ɛ n ʃ l̩
psittacosis	s i ɾ ə k o ʊ s ɪ s
psyche	s ɑ e̯ k i
psychopath	s ɐ ɪ k o ʊ p æ θ
psychopath	s ɐ ɪ k ə p æ θ
psychopathic	s ɐ ɪ k o ʊ p æ θ ɪ k
psychopathic	s ɐ ɪ k o ʊ p æ θ ɪ k
ptr	pʰ i t ɚ
ptr	pʰ i ɾ ɚ
ptui	p͡tʼʰ
ptui	p͡tʼʰ ə̥
pulchritude	pʰ ʌ ɫ k ɹ ə t uː d
Pulliam	pʰ ʊ ɫ j ə̃ m
Pulliam	pʰ ʊ ɫ i m̩
pulse	p ə l s
pumpkin	pʰ ʌ m p kʰ ɪ n
pumpkin	pʰ ʌ m kʰ ɪ n
pumpkin	pʰ ʌ ŋ̥ k ɪ n
punching	p ə n t ʃ ɪ ŋ
punching	p ə n ʃ ɪ ŋ
punctuality	p ʌ ŋ k t͡ʃ u æ l ə ɾ i
punctuality	p ʌ ŋ t͡ʃ u æ l ə ɾ i
punctuate	pʰ ʌ ŋ k ʃ ɪ u̯ː e ɪ t
punctuate	pʰ ʌ ŋ k ʃ ɪ u̯ː e ɪ ʔ
punisher	pʰ ʌ n ɪ ʃ ɚ
punisher	pʰ ʌ n ɪ ʃ ɹ̩
punishment	pʰ ʌ n ɪ ʃ m ə n t
punishment	pʰ ʌ n ɪ ʃ m n̩ t
punk	pʰ ʌ ŋ k
punter	pʰ ʌ n tʰ ɚ
punter	pʰ ʌ n tʰ ɹ̩
punter	pʰ ʌ ɾ̃ ɚ
punter	pʰ ʌ ɾ̃ ɹ̩
puppy	pʰ ɐ p i
pure	p j ʊ ɚ
pure	p j ʊ ɹ̩
pure	pʰ j ɔ ɹ
pure	pʰ j ɝ
pure	p j ʉː ɹ
pure	pʰ j u ɚ
pure	pʰ j u ɹ̩
purl	pʰ ɝ ɫ
purlin	p ɜː ɹ l ɪ n
purls	pʰ ɝ ɫ z
purportedly	p ɚ p o ɹ ɾ ɪ d l i
purty	p ɜ ɹ ɾ i
push	pʷ ʊ ʃ
pussyo	p ʏ s̪ ɪ j o w
put	pʰ ʊ ʔ t
Putler	pʰ u t̚ l ɚ
Putler	pʰ u ʔ l ɚ
putt	pʰ ʌ t
putt	pʰ ə t
putting	pʰ ʊ t ɪ ŋ
putting	pʰ ʊ ɾ ɪ ŋ
putting	pʰ ʌ t ɪ ŋ
puzzle	p ʌ z ɫ̩
Pyrrha	pʰ ɪ ɹ̠ ə
qibla	q i b l a
quadrilateral	kʰ w̥ ɑ d̠ ɹ̠ ˔ʷ ɪ̈ l æ ɾ ə ɹ ə ɫ
quaint	kʰ w e ɪ̯ n t
qualitative	k w ɑ l ə t e ɪ ɾ ɪ v
quality	kʰ w ɑ l ə ɾ i
quantifiable	k w ɑ n ɾ ə f a ɪ ə b ɫ̩
quantification	k w ɑ n ɾ ə f ɪ k e ɪ ʃ ə n
quantify	k w ɑ n ɾ ɪ f a ɪ
quantify	k w ɑ n ɾ ə f a ɪ
quantitative	k w ɑ n t ə t e ɪ ɾ ɪ v
quantitative	k w ɑ n ə t e ɪ ɾ ɪ v
quantity	kʰ w ɑ n ɾ ɨ ɾ i
quantity	kʰ w ɑ n ɨ ɾ i
quantity	kʰ w ɑ n tʰ ɨ tʰ i
quantity	kʰ w ɑ n ɨ tʰ i
quantum	kʰ w ɑ̃ n tʰ ə̃ m
quantum	kʰ w ɑ̃ ɾ̃ ə̃ m
Quart	k a ʁ
Quart	k w a ɾ t
quarter	k w ɔ ɹ ɾ ɚ
quarter	k ɔ ɹ ɾ ɚ
queen	kʰ w̥ iː n
Quenya	kʷ w ɛ ɲ j a
quesadilla	kʰ e ɪ̯ s ə d i j ə
quesalada	kʰ e ɪ̯ s ə l ɑ d ə
quesalupa	kʰ e ɪ̯ s ə l uː p ə
quesarito	kʰ e ɪ̯ s ə ɹ i t o ʊ
quick	kʰ w̥ ɪ k
quickwitted	k w ɪ k w ɪ ɾ ɪ d
quid	kʰ w̥ ɪ d̥
quiescent	k w a ɪ̯ ɛ s n̩ t
quiescent	k w i ɛ s n̩ t
quiet	kʰ w̥ a ɪ̯ ə t
quiff	kʰ w̥ ɪ f
quill	kʰ w̥ ɪ l
quilt	kʰ w ɪ l t
quim	kʰ w̥ ɪ m
quin	kʰ w̥ ɪ n
Quinn	kʰ w̥ ɪ n
quint	kʰ w̥ ɪ n t
quip	kʰ w̥ ɪ p
quit	kʰ w̥ ɪ t
quittor	k w ɪ ɾ ɚ
quiz	kʰ w̥ ɪ z
quota	k w o ʊ ɾ ə
quote	kʰ w ə ʊ t
quote	k w ə ʊ t
quote	kʰ w o ʊ t
quote	kʰ w ə w t
quote	kʰ w oː t
quote	k w oː t
quote	kʰ w ɐ ʉ t
rafter	ɹʷ æ f t ɚ
rafter	ɹʷ æ f t ɹ̩
rag	ɹʷ æ ɡ
rag	ɹʷ e ɪ̯ ɡ
rail	ɹ e ɪ ə ɫ
rail	ɹ e ɪ ɫ
railgun	ɹ e ɪ ɫ ɡ ʌ n
railgun	ɹ e ɪ j ə ɫ ɡ ʌ n
railway	ɹ æ u̯ w ɛ j
rajgira	ɾ ɑː d͡ʒ ɡ i ɹ ɑː
'rales	ɹ ɑː l i z
Ralph	ɹʷ æ l f
ram	ɹ æ m
ram	ɹ e ə̯ m
ram	ɹ ɛ ə̯ m
rambo	ɹ æ m b ə ʊ
ramification	ɹ ɛ ə m ə f ə k e ɪ ʃ ə n
ranch	ɹʷ æ n t͡ʃ
ranch	ɹʷ e ə̯ n t͡ʃ
ranch	ɹʷ ɛ ə̯ n t͡ʃ
rand	ɹʷ e ə n d
rand	ɹʷ ɛ ə n d
randomization	ɹ ɛ ə n d ə m ə z e ɪ t͡ʃ ə n
rang	ɹʷ e ɪ̯ ŋ
rang	ɹʷ ɛ̃ ŋ
rank	ɹʷ e ɪ̯ ŋ k
rank	ɹʷ ɛ̃ ŋ k
ranking	ɹ e ɪ ŋ k ɪ ŋ
rankle	ɹ æ ŋ k l̩
rankle	ɹ e ɪ̯ ŋ k l̩
rankle	ɹ ɛ̃ ŋ k l̩
rapture	ɹʷ æ p t͡ʃ ɚ
rapture	ɹʷ æ p t͡ʃ ɹ̩
rating	ɹ e ɪ ɾ ɪ ŋ
rattle	ɹ æ t ɫ̩
ravel	ɹ æ v l̩
readability	ɹ i d ə b ɪ l ə ɾ i
readable	ɹ iː d ə b l̩
reading	ɹ iː ɾ ɪ ŋ
reading	ɹ i ɾ i ŋ
real	ɹ ɪ ɫ
reanalyze	ɹ i ɛ ə n ə l a ɪ z
reanalyze	ɹ i ɛː n ə l a ɪ z
reap	ɹ ɪ i̯ p
rear	ɹʷ ɪ ɚ
rear	ɹʷ ɪ ɹ̩
rear	ɹ i ɚ
rear	ɹ i ɹ̩
rear	ɾ iː ɾ
reason	ɹʷ ɪ i̯ z ə n
reason	ɹʷ ɪ i̯ z n̩
reasonable	ɹ i z ə n ə b ɫ̩
reasonable	ɹ i z n ə b ɫ̩
reasoned	ɹ iː z n̩ d
rebuttal	ɹ i b ʌ ɾ ə l
rebutter	ɹ ɪ̈ b ʌ ɾ ɚ
recall	ɹ ɪ kʰ ɑ ɫ
recall	ɹ i kʰ ɑ ɫ
recension	ɹ̠ʷ ɪ̈ s ɛ̃ n t̚ ʃ ə̃ n
recension	ɹ̠ʷ ɪ̈ s ɛ̃ n ʃ ə̃ n
recently	ɹ i s n̩ ʔ l i
receptor	ɹ ɪ s ɛ p tʰ ɚ
receptor	ɹ ɪ s ɛ p tʰ ɹ̩
receptor	ɹ ə s ɛ p tʰ ɚ
receptor	ɹ ə s ɛ p tʰ ɹ̩
reckless	ɹʷ ɛ k l ə s
reckless	ɹʷ ɛ k l s̩
reconnoiter	ɹˠ ɛ k ə n ɔ ɪ̯ ɾ ɚ
reconnoitre	ɹˠ ɛ k ə n ɔ ɪ̯ ɾ ɚ
reconsider	ɹ i k ə n s ɪ ɾ ɚ
reconsider	ɹ i k n̩ s ɪ ɾ ɚ
recoverable	ɹ ɪ k ʌ v ɚ ə b l̩
recruiter	ɹ ɪ k ɹ u ɾ ɚ
recruiter	ɹ ə k ɹ u ɾ ɚ
red	ɻʷ ɛˑ d̥
reel	ɹʷ ɪ i̯ l
reëvoke	ɹ iː ʔ i v ə ʊ k
reference	ɹ ɛ f ɹ n̩ s
references	ɹ ɛ f ɹ n̩ s ɪ z
refill	ɹʷ ɪ i̯ f ɪ ɫ
refrigerator	ɹ ɪ f ɹ ɪ d͡ʒ ə ɹ e ɪ ɾ ɚ
refrigerator	ɹ ə f ɹ ɪ d͡ʒ ə ɹ e ɪ ɾ ɚ
region	ɹ i d͡ʒ n̩
regions	ɹ i d͡ʒ n̩ z
regular	ɹ ɛ ɡ j ɪ̈ l ɚ
regular	ɹ ɛ ɡ l̩ ɚ
rehabilitation	ɹ iː ə b ɪ l ɪ t e ɪ ʃ n̩
reinvent	ɹ i ɪ n v ɜ n t
reinvent	ɹ i ɪ n v ɐ n t
reinvent	ɹ i ɪ n v æ n t
reject	ɹʷ ɪ d͡ʒ ɛ k t
reject	ɹʷ ə d͡ʒ ɛ k t
relatable	ɹ ɪ l e ɪ t ə b l̩
relatable	ɹ ɪ l e ɪ ɾ ə b l̩
relatively	ɹ ɛ l ə tʰ ɪ v l i
relatively	ɹ ɛ l ə ɾ ɪ v l i
relevant	ɹʷ ɛ l ə v ə n t
reminder	ɹ ɪ m a ɪ n d ɚ
remote	ɹ ɪ m o ʊ t
repair	ɹʷ ɪ p ɛ ɚ
repair	ɹʷ ɪ p ɛ ɹ̩
repair	ɹʷ ə p ɛ ɚ
repair	ɹʷ ə p ɛ ɹ̩
repair	ɾ ɪ p eː ɾ
repair	ɹʷ ɪ p ɛ ɚ
repair	ɹʷ ɪ p ɛ ɹ̩
repair	ɹʷ ə p ɛ ɚ
repair	ɹʷ ə p ɛ ɹ̩
repair	ɹʷ ɪ i̯ p ɛ ɚ
repair	ɹʷ ɪ i̯ p ɛ ɹ̩
repeatable	ɹ ɪ p i ɾ ə b ɫ̩
repetition	ɹ ɛ p ə t ɪ ʃ n̩
reporter	ɹ ɪ p o ɹ ɾ ɚ
reporters	ɹ ɪ p o ɹ ɾ ɚ z
repression	ɹ ə p ɹ ɛ ʃ n̩
resemble	ɹ ɪ z ɛ m b l̩
resetter	ɹʷ i s ɛ tʰ ɚ
resetter	ɹʷ i s ɛ tʰ ɹ̩
resetter	ɹʷ i s ɛ tʰ ɚ
resetter	ɹʷ i s ɛ tʰ ɹ̩
resetter	ɹʷ i s ɛ ɾ ɚ
resetter	ɹʷ i s ɛ ɾ ɹ̩
resetter	ɹʷ i s ɛ ɾ ɚ
resetter	ɹʷ i s ɛ ɾ ɹ̩
resident	ɹ ɛ z ɪ d ə n t
resident	ɹ ɛ z ɪ d n̩ t
residue	ɹ ɛ z ɪ d ʊ u̯
respectable	ɹ ɪ s p ɛ k t ə b l̩
