㑚	n a ʔ ⁴
現食	h ɛ ŋ ¹ ¹ t͡s i a ¹ ³
球	k i u ¹ ³
球賽	k i u ¹ ³ ⁻ ⁵ ⁵ ɬ ø ⁴ ²
琄	k œ ŋ ⁵ ³ ³
理	l i ⁴ ⁵ ³
理事	l i ⁴ ⁵ ³ ⁻ ¹ ³ ɬ o ¹ ¹
理事會	l i ⁴ ⁵ ³ ⁻ ¹ ³ l o ¹ ¹ ⁻ ⁴ ² u e i ¹ ¹
理念	l i ⁴ ⁵ ³ ⁻ ¹ ³ n i ɛ ŋ ¹ ¹
理論	l i ⁴ ⁵ ³ ⁻ ¹ ³ l ɔ ŋ ¹ ¹
琇	ɬ i u ⁴ ²
琢	t ɒ ʔ ² ¹
琤	t͡s ɛ ŋ ⁵ ³ ³
琴	k i ŋ ¹ ³
琺	h a ʔ ² ¹
瑄	ɬ œ ŋ ⁵ ³ ³
瑜	t͡s y ¹ ³
瑝	h ɒ ŋ ¹ ³
瑞	ɬ u i ¹ ¹
瑟	ɬ ɛ ʔ ² ¹
瑤	i e u ¹ ³
璀	t͡sʰ u i ⁴ ⁵ ³
璀璨	t͡sʰ u i ⁴ ⁵ ³ ⁻ ¹ ¹ t͡sʰ a ŋ ⁴ ²
璁	t͡sʰ ɒ ŋ ⁵ ³ ³
璇	ɬ œ ŋ ¹ ³
璜	h ɒ ŋ ¹ ³
璞	pʰ ɒ ʔ ² ¹
璨	t͡sʰ a ŋ ⁴ ²
環	h u a ŋ ¹ ³
環	kʰ u a ŋ ¹ ³
環	kʰ œ ŋ ¹ ³
環境	kʰ u a ŋ ¹ ³ ⁻ ¹ ¹ k i ŋ ⁴ ⁵ ³
璽	t e ⁴ ⁵ ³
瓊	kʰ y ŋ ¹ ³
瓘	k u a ŋ ⁴ ²
瓜	k u a ⁵ ³ ³
瓢	pʰ i e u ¹ ³
瓤	l u ŋ ¹ ³
瓤	t͡s y ɒ ŋ ¹ ³
瓦	h y ɒ ¹ ¹
瓦	u a ⁴ ⁵ ³
瓦杮	h y ɒ ¹ ¹ ⁻ ⁵ ⁵ pʰ u e i ⁴ ²
瓦窯	h y ɒ ¹ ¹ i e u ¹ ³
瓶	p i ŋ ¹ ³
瓶	p ɛ ŋ ¹ ³
瓶窒	p ɛ ŋ ¹ ³ ⁻ ⁴ ² tʰ ɛ ʔ ² ¹
瓷	h u i ¹ ³
瓷	t͡s o ¹ ³
甄	t͡s i ŋ ⁵ ³ ³
甌	a u ⁵ ³ ³
甌	i e u ⁵ ³ ³
甍	m ɒ ŋ ¹ ³
甑	t͡sʰ ɛ ŋ ⁴ ²
甘	k a ŋ ⁵ ³ ³
甘肅	k a ŋ ⁵ ³ ³ ⁻ ¹ ³ ɬ œ ʔ ² ¹
甘草	k a ŋ ⁵ ³ ³ ⁻ ¹ ¹ t͡sʰ ɒ ⁴ ⁵ ³
甘願	k a ŋ ⁵ ³ ³ ⁻ ¹ ³ ŋ u e i ¹ ¹
甚	ɬ i ŋ ¹ ¹
甚儂	ɬ i ŋ ⁵ ³ ³ ⁻ ⁵ ⁵ n a ŋ ¹ ³
甚生	ɬ i ŋ ¹ ¹ n a ⁵ ³ ³
甚生個	ɬ i ŋ ¹ ¹ ⁻ ⁵ ⁵ n a ⁵ ³ ³ e ¹ ³
甜	t i ŋ ⁵ ³ ³
甜湯	t i ŋ ⁵ ³ ³ ⁻ ¹ ¹ n u ŋ ⁵ ³ ³
生	t͡sʰ a ⁵ ³ ³
生	ɬ a ⁵ ³ ³
生	ɬ ɛ ŋ ⁵ ³ ³
生人	t͡sʰ a ⁵ ³ ³ ⁻ ¹ ¹ n a ŋ ¹ ³
生份	ɬ a ⁵ ³ ³ ⁻ ¹ ³ ɔ ŋ ¹ ¹
生份人	ɬ a ⁵ ³ ³ ⁻ ¹ ¹ ɔ ŋ ¹ ¹ n a ŋ ¹ ³
生份話	ɬ a ⁵ ³ ³ ⁻ ¹ ¹ ɔ ŋ ¹ ¹ ⁻ ⁴ ² ŋ u a ¹ ¹
生份鋪	ɬ a ⁵ ³ ³ ⁻ ¹ ¹ ɔ ŋ ¹ ¹ m ɔ u ⁵ ³ ³
生分	ɬ a ⁵ ³ ³ ⁻ ¹ ³ ɔ ŋ ¹ ¹
生卵	ɬ a ⁵ ³ ³ ⁻ ¹ ³ n ø ¹ ¹
生命力	ɬ ɛ ŋ ⁵ ³ ³ ⁻ ⁵ ⁵ m i ŋ ¹ ¹ l i ʔ ⁴
生囝	ɬ a ⁵ ³ ³ ⁻ ¹ ¹ k y ɒ ⁴ ⁵ ³
生囝	ɬ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ y ɒ ⁴ ⁵ ³
生囝面	ɬ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ y ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ m i ŋ ⁴ ²
生日月	ɬ a ⁵ ³ ³ ⁻ ¹ ¹ l i ʔ ⁴ ⁻ ² ¹ k u e i ¹ ³
生死	ɬ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ɬ o ⁴ ⁵ ³
生活	ɬ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ u a ʔ ⁴
生物	ɬ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ m ɔ ʔ ⁴
生理	ɬ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i ⁴ ⁵ ³
生產	ɬ ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ɬ a ŋ ⁴ ⁵ ³
生磚	t͡sʰ a ⁵ ³ ³ ⁻ ¹ ¹ l u e i ⁵ ³ ³
生肉	t͡sʰ a ⁵ ³ ³ ⁻ ¹ ¹ n œ ʔ ⁴
生肉	ɬ a ⁵ ³ ³ ⁻ ¹ ¹ n œ ʔ ⁴
生訝	t͡sʰ a ⁵ ³ ³ ⁻ ¹ ³ ŋ i a ¹ ¹
生鉎	ɬ a ⁵ ³ ³ ⁻ ¹ ¹ l ɛ ŋ ⁵ ³ ³
生食	t͡sʰ a ⁵ ³ ³ ⁻ ¹ ¹ l i a ¹ ³
生食	t͡sʰ a ⁵ ³ ³ ⁻ ¹ ¹ l i æ ʔ ⁴
產	ɬ a ŋ ⁴ ⁵ ³
產品	ɬ a ŋ ⁴ ⁵ ³ ⁻ ¹ ¹ pʰ i ŋ ⁴ ⁵ ³
甥	ɬ ɛ ŋ ⁵ ³ ³
用	œ ŋ ¹ ¹
用功	œ ŋ ¹ ¹ ŋ a ŋ ⁵ ³ ³
用法	œ ŋ ¹ ¹ ⁻ ⁴ ² h a ʔ ² ¹
甬	œ ŋ ⁴ ⁵ ³
田	t ɛ ŋ ¹ ³
田	t͡sʰ ɛ ŋ ¹ ³
田塗	t͡sʰ ɛ ŋ ¹ ³ ⁻ ¹ ¹ n ɔ u ¹ ³
田墘	t͡sʰ ɛ ŋ ¹ ³ ⁻ ¹ ¹ ŋ i ŋ ¹ ³
田尾	t͡sʰ ɛ ŋ ¹ ³ ⁻ ¹ ¹ m u e i ⁴ ⁵ ³
田水	t͡sʰ ɛ ŋ ¹ ³ ⁻ ¹ ¹ n u i ⁴ ⁵ ³
田洋	t͡sʰ ɛ ŋ ¹ ³ ⁻ ¹ ¹ ŋ i e u ¹ ³
田鱔	t͡sʰ ɛ ŋ ¹ ³ ⁻ ⁴ ² t͡sʰ y ɒ ¹ ¹
由	i u ¹ ³
由來	i u ¹ ³ ⁻ ¹ ¹ l a i ¹ ³
由於	i u ¹ ³ ⁻ ¹ ¹ y ¹ ³
甲	k a ʔ ² ¹
甲	k ɒ ¹ ¹
甲子	k ɒ ¹ ¹ ⁻ ⁵ ⁵ l i ⁴ ⁵ ³
申	ɬ i ŋ ⁵ ³ ³
申命記	ɬ i ŋ ⁵ ³ ³ ⁻ ¹ ³ m i ŋ ¹ ¹ ⁻ ⁵ ⁵ ŋ i ⁴ ²
男人	n a ŋ ¹ ³ ⁻ ¹ ¹ n i ŋ ¹ ³
男朋友	n a ŋ ¹ ³ ⁻ ¹ ¹ m ɛ ŋ ¹ ³ ⁻ ¹ ¹ ŋ i u ⁴ ⁵ ³
男科	n a ŋ ¹ ³ ⁻ ¹ ¹ ŋ ɒ ⁵ ³ ³
男裝	n a ŋ ¹ ³ ⁻ ¹ ¹ n ɒ ŋ ⁵ ³ ³
甸	t i ɛ ŋ ¹ ¹
甸	t ɛ ŋ ¹ ¹
界	k a i ⁴ ²
畏	u i ⁴ ²
畏寒	u i ⁴ ² k u a ¹ ³
畏小禮	u i ⁴ ² ⁻ ⁵ ⁵ l i e u ⁴ ⁵ ³ ⁻ ¹ ¹ l e ⁴ ⁵ ³
留	l a u ¹ ³
留	l i u ¹ ³
留學生	l i u ¹ ³ ⁻ ¹ ¹ a ʔ ⁴ ⁻ ² ¹ ɬ ɛ ŋ ⁵ ³ ³
留意	l i u ¹ ³ ⁻ ⁵ ⁵ i ⁴ ²
畚斗	p ɔ ŋ ⁴ ² ⁻ ⁵ ⁵ n a u ⁴ ⁵ ³
畜	h œ ʔ ² ¹
畢	p i ʔ ² ¹
畢業	p i ʔ ² ¹ ⁻ ⁴ ⁵ k i ɛ ʔ ⁴
畢竟	p i ʔ ² ¹ ⁻ ⁴ ⁵ k i ŋ ⁴ ²
略	l y ɒ ʔ ⁴
番厄	h u a ŋ ⁵ ³ ³ ⁻ ⁵ ⁵ ŋ ɛ ⁵ ³ ³
番厄	h u a ŋ ⁵ ³ ³ ⁻ ⁵ ⁵ ɛ ʔ ⁴
番囝	h u a ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ y ɒ ⁴ ⁵ ³
番囝厝	h u a ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ y ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ l ɔ u ⁴ ²
番囝松柏	h u a ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ y ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ l œ ŋ ¹ ³ ⁻ ⁴ ² m a ʔ ² ¹
番囝油	h u a ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ y ɒ ⁴ ⁵ ³ ⁻ ¹ ³ i u ¹ ³
番囝燈	h u a ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ y ɒ ⁴ ⁵ ³ ⁻ ¹ ¹ l ɛ ŋ ⁵ ³ ³
番囝話	h u a ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ y ɒ ⁴ ⁵ ³ ⁻ ¹ ³ u a ¹ ¹
番客	h u a ŋ ⁵ ³ ³ ⁻ ¹ ¹ kʰ e ⁴ ⁵ ³
番教	h ɒ ŋ ⁵ ³ ³ ⁻ ⁵ ⁵ k a u ⁴ ²
番教	h ɒ ŋ ⁵ ³ ³ ⁻ ⁵ ⁵ ŋ a u ⁴ ²
番教徒	h ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ ŋ a u ⁴ ² ⁻ ⁵ ⁵ l ɔ u ¹ ³
番柿	h u a ŋ ⁵ ³ ³ ⁻ ¹ ³ kʰ i ¹ ¹
番茄	h u a ŋ ⁵ ³ ³ ⁻ ¹ ¹ k i e u ¹ ³
番薯	h ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n y ¹ ³
番薯簽	h ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n y ¹ ³ ⁻ ¹ ¹ t͡sʰ i ɛ ŋ ⁵ ³ ³
番黍	h u a ŋ ⁵ ³ ³ ⁻ ¹ ¹ ɬ ø ⁴ ⁵ ³
畫	u a ¹ ¹
畫面	u a ¹ ¹ ⁻ ⁵ ⁵ m i ŋ ⁴ ²
畬	ɬ i a ⁵ ³ ³
異	i ¹ ¹
異常	i ¹ ¹ ɬ y ɒ ŋ ¹ ³
異議	i ¹ ¹ k i ⁴ ⁵ ³
異象	i ¹ ¹ ⁻ ⁴ ² ɬ y ɒ ŋ ¹ ¹
畲	ɬ i a ¹ ³
當心	t ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n i ŋ ⁵ ³ ³
當是	t ɒ ŋ ⁴ ² ɬ i ¹ ¹
當面	t ɒ ŋ ⁵ ³ ³ ⁻ ¹ ³ m i ŋ ⁴ ²
疆	k y ɒ ŋ ⁵ ³ ³
疊	t e ¹ ³
疊	t i ɛ ʔ ⁴
疊紙	t e ¹ ³ ⁻ ¹ ¹ t͡s y ɒ ⁴ ⁵ ³
疊羅漢	t i ɛ ʔ ⁴ ⁻ ² ¹ l ɒ ¹ ³ ⁻ ¹ ¹ h a ŋ ⁴ ²
疏	ɬ ø ⁵ ³ ³
疑	k i ¹ ³
疑慮	k i ¹ ³ ⁻ ⁴ ² l y ¹ ¹
疑案	k i ¹ ³ ⁻ ⁵ ⁵ a ŋ ⁴ ²
疑義	k i ¹ ³ ⁻ ⁴ ² k i ¹ ¹
疢	t͡s i ŋ ⁴ ⁵ ³
疣	i u ¹ ³
疥	k a i ⁴ ²
疥	k e ⁴ ²
疫	y ʔ ⁴
疫情	y ʔ ⁴ ⁻ ² ¹ t͡s i ŋ ¹ ³
疫苗	y ʔ ⁴ ⁻ ² ¹ p i e u ¹ ³
疲	pʰ i ¹ ³
疼	tʰ i a ⁴ ²
痃	h œ ŋ ¹ ³
病	p a ¹ ¹
病	p i ŋ ¹ ¹
病囝	p a ¹ ¹ y ɒ ⁴ ⁵ ³
病殼	p i ŋ ¹ ¹ ⁻ ⁴ ² kʰ a ʔ ² ¹
症	t͡s i ŋ ⁴ ²
症頭	t͡s i ŋ ⁴ ² tʰ a u ¹ ³
痕	h ɔ ŋ ¹ ³
痕	h ɛ ŋ ¹ ³
痟	ɬ i e u ⁴ ⁵ ³
痟婆	ɬ i e u ⁴ ⁵ ³ ⁻ ¹ ³ o ¹ ³
痟狗	ɬ i e u ⁴ ⁵ ³ ⁻ ¹ ¹ a u ⁴ ⁵ ³
痟狗母	ɬ i e u ⁴ ⁵ ³ ⁻ ¹ ¹ a u ⁴ ⁵ ³ ⁻ ¹ ¹ o ⁴ ⁵ ³
痟話	ɬ i e u ⁴ ⁵ ³ ⁻ ¹ ³ u a ¹ ¹
痣	k i ⁴ ²
痣	t͡s i ⁴ ²
痱粉	p u i ⁴ ² ⁻ ⁵ ⁵ ɔ ŋ ⁴ ⁵ ³
痴	tʰ i ⁵ ³ ³
痴	t͡sʰ i ⁵ ³ ³
瘜	ɬ i ʔ ² ¹
瘡	t͡sʰ u ŋ ⁵ ³ ³
瘡	t͡sʰ ɒ ŋ ⁵ ³ ³
瘤	l i u ¹ ³
瘥	t͡s a ⁵ ³ ³
瘦	ɬ i e u ⁴ ⁵ ³
瘦	ɬ ɛ ŋ ⁴ ⁵ ³
療	l i e u ¹ ³
療法	l i e u ¹ ³ ⁻ ⁴ ² h a ʔ ² ¹
療養	l i e u ¹ ³ ⁻ ¹ ¹ y ɒ ŋ ⁴ ⁵ ³
療養院	l i e u ¹ ³ ⁻ ¹ ¹ y ɒ ŋ ⁴ ⁵ ³ ⁻ ¹ ³ i ŋ ¹ ¹
癆	l ɒ ¹ ³
癒	t͡s y ⁴ ⁵ ³
癖	pʰ i ʔ ² ¹
癢	y ɒ ŋ ⁴ ⁵ ³
癢	ɬ i e u ¹ ¹
癬	t͡sʰ y ɒ ⁴ ⁵ ³
癬	ɬ ɛ ŋ ⁴ ⁵ ³
癸	k u i ⁴ ⁵ ³
登	t ɛ ŋ ⁵ ³ ³
發	h u a ʔ ² ¹
發作	h u a ʔ ² ¹ ⁻ ⁴ ² t͡s ɒ ʔ ² ¹
發動	h u a ʔ ² ¹ ⁻ ⁴ ² t ɒ ŋ ¹ ¹
發問	h u a ʔ ² ¹ ⁻ ⁴ ² m ɔ ŋ ¹ ¹
發射	h u a ʔ ² ¹ ⁻ ⁴ ² ɬ i a ¹ ¹
發展	h u a ʔ ² ¹ ⁻ ⁴ ⁵ tʰ ɛ ŋ ⁴ ⁵ ³
發布	h u a ʔ ² ¹ ⁻ ⁴ ⁵ p ɔ u ⁴ ²
發情	h u a ʔ ² ¹ ⁻ ⁴ ⁵ t͡s i ŋ ¹ ³
發揮	h u a ʔ ² ¹ ⁻ ⁴ ⁵ h u i ⁵ ³ ³
發文	h u a ʔ ² ¹ ⁻ ⁴ ⁵ m ɔ ŋ ¹ ³
發明	h u a ʔ ² ¹ ⁻ ⁴ ⁵ m i ŋ ¹ ³
發條	h u a ʔ ² ¹ ⁻ ⁴ ⁵ t i e u ¹ ³
發源	h u a ʔ ² ¹ ⁻ ⁴ ⁵ ŋ œ ŋ ¹ ³
發狂	h u a ʔ ² ¹ ⁻ ⁴ ⁵ k ɒ ŋ ¹ ³
發現	h u a ʔ ² ¹ ⁻ ⁴ ² h ɛ ŋ ¹ ¹
發球	h u a ʔ ² ¹ ⁻ ⁴ ⁵ k i u ¹ ³
發生	h u a ʔ ² ¹ ⁻ ⁴ ⁵ ɬ ɛ ŋ ⁵ ³ ³
發福	h u a ʔ ² ¹ ⁻ ⁴ ² h ɒ ʔ ² ¹
發育	h u a ʔ ² ¹ ⁻ ⁴ ⁵ œ ʔ ⁴
發落	h u a ʔ ² ¹ ⁻ ⁴ ⁵ l ɒ ʔ ⁴
發表	h u a ʔ ² ¹ ⁻ ⁴ ⁵ p i e u ⁴ ⁵ ³
發言	h u a ʔ ² ¹ ⁻ ⁴ ⁵ ŋ œ ŋ ¹ ³
發財	h u a ʔ ² ¹ ⁻ ⁴ ⁵ t͡s a i ¹ ³
發起	h u a ʔ ² ¹ ⁻ ⁴ ⁵ kʰ i ⁴ ⁵ ³
發車	h u a ʔ ² ¹ ⁻ ⁴ ⁵ t͡sʰ i a ⁵ ³ ³
發達	h u a ʔ ² ¹ ⁻ ⁴ ⁵ t a ʔ ⁴
發配	h u a ʔ ² ¹ ⁻ ⁴ ⁵ pʰ u e i ⁴ ²
發電	h u a ʔ ² ¹ ⁻ ⁴ ² t ɛ ŋ ¹ ¹
白	p a ¹ ³
白	p a ʔ ⁴
白	p ɛ ʔ ⁴
白仁	p a ¹ ³ ⁻ ¹ ¹ l ɛ ŋ ¹ ³
白塘	p ɛ ʔ ⁴ ⁻ ² ¹ t ɒ ŋ ¹ ³
白木耳	p a ¹ ³ ⁻ ¹ ¹ p ɒ ʔ ⁴ ⁻ ² ¹ t͡s i ⁴ ⁵ ³
白殕	p a ¹ ³ ⁻ ¹ ¹ pʰ u ⁴ ⁵ ³
白沙	p a ¹ ³ ⁻ ¹ ¹ l u a ⁵ ³ ³
白煠	p a ¹ ³ ⁻ ¹ ¹ ɬ ɒ ¹ ³
白紙	p a ¹ ³ ⁻ ¹ ¹ l y ɒ ⁴ ⁵ ³
白紙烏字	p a ¹ ³ ⁻ ¹ ¹ l y ɒ ⁴ ⁵ ³ ɔ u ⁵ ³ ³ ⁻ ¹ ³ l i ¹ ¹
白肉	p a ¹ ³ ⁻ ¹ ¹ n œ ʔ ⁴
白膏	p a ¹ ³ ⁻ ¹ ¹ k o ⁵ ³ ³
白蟻	p a ¹ ³ ⁻ ⁴ ² y ɒ ¹ ¹
白話	p a ¹ ³ ⁻ ⁴ ² u a ¹ ¹
白話字	p a ¹ ³ ⁻ ¹ ¹ u a ¹ ¹ ⁻ ⁴ ² l i ¹ ¹
白酒	p a ¹ ³ ⁻ ¹ ¹ l i u ⁴ ⁵ ³
白銀	p a ¹ ³ ⁻ ¹ ¹ ŋ y ŋ ¹ ³
白露	p a ¹ ³ ⁻ ⁵ ⁵ l ɔ u ⁴ ²
百	p a ¹ ¹
百	p ɛ ʔ ² ¹
百姓	p a ¹ ¹ ⁻ ⁵ ⁵ l a ⁴ ²
百日	p a ¹ ¹ ⁻ ⁵ ⁵ l i ʔ ⁴
百歲	p a ¹ ¹ ⁻ ⁵ ⁵ u e i ⁴ ²
百歲蘭	p ɛ ʔ ² ¹ h u e i ⁴ ² ⁻ ⁵ ⁵ l a ŋ ¹ ³
百靈	p ɛ ʔ ² ¹ ⁻ ⁴ ⁵ l ɛ ŋ ¹ ³
癿	k a ⁵ ³ ³
的	t ɛ ʔ ² ¹
的士	t ɛ ʔ ² ¹ ⁻ ⁴ ² ɬ o ¹ ¹
皇	h ɒ ŋ ¹ ³
皇帝	h ɒ ŋ ¹ ³ ⁻ ⁵ ⁵ n e ⁴ ²
皇帝豆	h ɒ ŋ ¹ ³ ⁻ ¹ ¹ n e ⁴ ² l a u ¹ ¹
皖	u a ŋ ⁴ ⁵ ³
皙	ɬ i ʔ ² ¹
皤	p ɒ ⁵ ³ ³
皫	pʰ i e u ⁴ ⁵ ³
皮	pʰ i ¹ ³
皮	pʰ u e i ¹ ³
皮帶	pʰ u e i ¹ ³ ⁻ ⁵ ⁵ l u a ⁴ ²
皮毛	pʰ i ¹ ³ ⁻ ¹ ¹ m ɒ ¹ ³
皮肉	pʰ u e i ¹ ³ ⁻ ¹ ¹ n œ ʔ ⁴
皮鞋	pʰ u e i ¹ ³ ⁻ ¹ ¹ e ¹ ³
皿	m i ŋ ⁴ ⁵ ³
盅	t͡s œ ŋ ⁵ ³ ³
盆	pʰ ɔ ŋ ¹ ³
盈	i ŋ ¹ ³
益	i a ¹ ¹
益	i ʔ ² ¹
益州	i ʔ ² ¹ ⁻ ⁴ ⁵ t͡s i u ⁵ ³ ³
益處	i ʔ ² ¹ ⁻ ⁴ ⁵ t͡sʰ y ⁴ ²
盒	a ʔ ⁴
盒	ɒ ʔ ⁴
盛名	ɬ i ŋ ¹ ¹ m i ŋ ¹ ³
盜	t ɒ ¹ ¹
盞	t͡s a ŋ ⁴ ⁵ ³
盞	t͡s u a ⁴ ⁵ ³
盟	m ɛ ŋ ¹ ³
盟約	m ɛ ŋ ¹ ³ ⁻ ⁴ ² y ɒ ʔ ² ¹
盡	t͡s i ŋ ¹ ¹
監	k a ŋ ⁴ ²
監	k a ŋ ⁵ ³ ³
監獄	k a ŋ ⁵ ³ ³ ⁻ ¹ ¹ k œ ʔ ⁴
盤	p u a ¹ ³
盤	p u a ŋ ¹ ³
盤桶	p u a ¹ ³ ⁻ ¹ ¹ l a ŋ ⁴ ⁵ ³
盤纏	p u a ŋ ¹ ³ ⁻ ¹ ¹ n i ŋ ¹ ³
盤點	p u a ŋ ¹ ³ ⁻ ¹ ¹ t i ɛ ŋ ⁴ ⁵ ³
盥	kʰ u a ŋ ⁴ ⁵ ³
盧	l ɔ u ¹ ³
盨	ɬ y ⁵ ³ ³
盪喙	t u ŋ ¹ ¹ ⁻ ⁵ ⁵ t͡sʰ u i ⁴ ²
目	m a ʔ ⁴
目	p a ʔ ⁴
目	p ɒ ʔ ⁴
目尾	m a ʔ ⁴ ⁻ ² ¹ p u e i ⁴ ⁵ ³
目屎	m a ʔ ⁴ ⁻ ² ¹ ɬ a i ⁴ ⁵ ³
目屎膏	m a ʔ ⁴ ⁻ ² ¹ ɬ a i ⁴ ⁵ ³ ⁻ ¹ ¹ k o ⁵ ³ ³
目標	p ɒ ʔ ⁴ ⁻ ² ¹ p i e u ⁵ ³ ³
目滓	m a ʔ ⁴ ⁻ ² ¹ t͡s a i ⁴ ⁵ ³
目珠紅	m a ʔ ⁴ ⁻ ² ¹ t͡s i u ⁵ ³ ³ ⁻ ⁵ ⁵ a ŋ ¹ ³
目的	p ɒ ʔ ⁴ ⁻ ⁴ ² t ɛ ʔ ² ¹
目眉	m a ʔ ⁴ ⁻ ² ¹ p a i ¹ ³
目眉毛	m a ʔ ⁴ ⁻ ² ¹ p a i ¹ ³ ⁻ ¹ ¹ m u ŋ ¹ ³
目睭	m a ʔ ⁴ ⁻ ² ¹ t͡s i u ⁵ ³ ³
目睭毛	m a ʔ ⁴ ⁻ ² ¹ t͡s i u ⁵ ³ ³ ⁻ ¹ ¹ m u ŋ ¹ ³
目藥水	m a ʔ ⁴ ⁻ ² ¹ i e u ¹ ³ ⁻ ¹ ¹ l u i ⁴ ⁵ ³
目錄	p ɒ ʔ ⁴ ⁻ ² ¹ l œ ʔ ⁴
目鏡	m a ʔ ⁴ k i a ⁴ ²
目鏡生	m a ʔ ⁴ ⁻ ² ¹ k i a ⁴ ² ⁻ ⁵ ⁵ l ɛ ŋ ⁵ ³ ³
盯	t ɛ ŋ ⁴ ²
盱	h y ⁵ ³ ³
盲	m a ¹ ³
盲	m ɒ ŋ ¹ ³
直	t i ʔ ⁴
直屬	t i ʔ ⁴ ⁻ ² ¹ ɬ œ ʔ ⁴
直捷	t i ʔ ⁴ ⁻ ² ¹ t͡s ɛ ʔ ⁴
直接	t i ʔ ⁴ ⁻ ⁴ ² t͡s i ɛ ʔ ² ¹
直播	t i ʔ ⁴ ⁻ ² ¹ p ɒ ⁵ ³ ³
直是	t i ʔ ⁴ ɬ i ¹ ¹
直線	t i ʔ ⁴ ɬ y ɒ ⁴ ²
直達	t i ʔ ⁴ ⁻ ² ¹ t a ʔ ⁴
相	ɬ i e u ⁴ ²
相	ɬ y ɒ ŋ ⁴ ²
相	ɬ y ɒ ŋ ⁵ ³ ³
相公	ɬ i e u ⁴ ² ⁻ ⁵ ⁵ a ŋ ⁵ ³ ³
相底	ɬ y ɒ ŋ ⁴ ² ⁻ ⁵ ⁵ t e ⁴ ⁵ ³
相片	ɬ y ɒ ŋ ¹ ¹ ⁻ ⁵ ⁵ m ɛ ŋ ⁴ ²
相片底	ɬ y ɒ ŋ ⁴ ² ⁻ ¹ ¹ m ɛ ŋ ⁴ ² ⁻ ⁵ ⁵ t e ⁴ ⁵ ³
相片簿	ɬ y ɒ ŋ ¹ ¹ m ɛ ŋ ⁴ ² m ɔ u ¹ ¹
相關	ɬ y ɒ ŋ ⁵ ³ ³ ⁻ ¹ ¹ k u a ŋ ⁵ ³ ³
盹	t ɔ ŋ ⁴ ⁵ ³
盾	t ɔ ŋ ⁴ ⁵ ³
省	ɬ a ⁴ ⁵ ³
省	ɬ i ŋ ⁴ ⁵ ³
省	ɬ ɛ ŋ ⁴ ⁵ ³
省道	ɬ ɛ ŋ ⁴ ⁵ ³ ⁻ ¹ ³ n ɒ ¹ ¹
省長	ɬ ɛ ŋ ⁴ ⁵ ³ ⁻ ¹ ¹ n y ɒ ŋ ⁴ ⁵ ³
眄	m ɛ ŋ ¹ ¹
眉	p a i ¹ ³
眉	p i ¹ ³
看	kʰ a ŋ ⁴ ²
看	kʰ u a ⁴ ²
看冊	kʰ u a ⁴ ² t͡sʰ a ¹ ¹
看命	kʰ u a ⁴ ² m i a ¹ ¹
看命先生	kʰ u a ⁴ ² ⁻ ⁵ ⁵ m i a ¹ ¹ l ɛ ŋ ⁵ ³ ³ ⁻ ¹ ¹ n a ⁵ ³ ³
看戲	kʰ u a ⁴ ² ⁻ ⁵ ⁵ i ⁴ ²
看法	kʰ u a ⁴ ² h a ʔ ² ¹
看見	kʰ u a ⁴ ² ⁻ ⁵ ⁵ i ŋ ⁴ ²
看重	kʰ u a ⁴ ² t œ ŋ ¹ ¹
看顧	kʰ a ŋ ⁴ ² ⁻ ⁵ ⁵ ŋ ɔ u ⁴ ²
真	t͡s i ŋ ⁵ ³ ³
真	t͡s ɛ ŋ ⁵ ³ ³
真理	t͡s i ŋ ⁵ ³ ³ ⁻ ¹ ¹ l i ⁴ ⁵ ³
眠	m i ŋ ¹ ³
眠	m ɛ ŋ ¹ ³
眠床	m i ŋ ¹ ³ ⁻ ¹ ¹ n u ŋ ¹ ³
眩	h œ ŋ ¹ ¹
眩船	h y ŋ ¹ ³ ⁻ ¹ ¹ n ɔ ŋ ¹ ³
眩車	h y ŋ ¹ ³ ⁻ ¹ ¹ n i a ⁵ ³ ³
眶	kʰ ɒ ŋ ⁵ ³ ³
眷	k œ ŋ ⁴ ²
眼	ŋ a ŋ ⁴ ⁵ ³
眼	ŋ e ⁴ ⁵ ³
