'day	d a j
kangalanan	k a ŋ a l a n a n
kangga	k a ŋ ɡ a
kangga	k a ŋ ɡ a ʔ
kanggaru	k a ŋ ɡ a ɾ u
kanggreho	k a ŋ ɡ ɾ e h o
kangina	k a ŋ i n a
kangkaro	k a ŋ k a ɾ o
kangkaroso	k a ŋ k a ɾ o s o
kangkong	k a ŋ k o ŋ
kangkungan	k a ŋ k u ŋ a n
kangreho	k a ŋ ɡ ɾ e h o
kanibal	k a n i b a l
kanibalismo	k a n i b a l i s m o
kaniguan	k a n i ɡ u ʔ a n
kanila	k a n i l a
kanilado	k a n i l a d o
kanilya	k a n i l j a
kanilyado	k a n i l j a d o
kanin	k a n i n
kanina	k a n i n a
kanino	k a n i n o
kanisid	k a n i s i d
kaniya	k a n i a
kaniyugan	k a n i u ɡ a n
kankaro	k a ŋ k a ɾ o
kanlong	k a n l o ŋ
kanlungan	k a n l u ŋ a n
kanluran	k a n l u ɾ a n
kanoa	k a n o a
kanonisasyon	k a n o n i s a s j o n
kanowa	k a n o a
kansa	k a n s a
kanselasyon	k a n s e l a s j o n
kanser	k a n s e ɾ
kansi	k a n s i
kansilyer	k a n s i l j e ɾ
kansing	k a n s i ŋ
kanta	k a n t a
kantahan	k a n t a h a n
kantahin	k a n t a h i n
kantarilya	k a n t a ɾ i l j a
kanti	k a n t i ʔ
kantidad	k a n t i d a d
kantin	k a n t i n
kanto	k a n t o
kantog	k a n t o ɡ
kanton	k a n t o n
kantot	k a n t o t
kantunan	k a n t u n a n
kantutan	k a n t u t a n
kantutay	k a n t u t a j
kantutero	k a n t u t e ɾ o
kantutin	k a n t u t i n
kanugnog	k a n u ɡ n o ɡ
kanula	k a n u l a
kanumay	k a n u m a j
kanunuan	k a n u n u ʔ a n
kanya	k a n j a
kanya	k a n j a ʔ
kanyaw	k a n j a w
kanyon	k a n j o n
kaoba	k a o b a
kaoba	k a ʔ o b a
kaon	k a ʔ o n
kaopisina	k a ʔ o p i s i n a
kaos	k a o s
kaotiko	k a o t i k o
kapabayaan	k a p a b a j a ʔ a n
kapabilidad	k a p a b i l i d a d
kapag	k a p a ɡ
kapagdaka	k a p a ɡ d a k a
kapagka	k a p a ɡ k a ʔ
kapahamakan	k a p a h a m a k a n
kapak	k a p a k
kapakanan	k a p a k a n a n
kapal	k a p a l
kapalaluan	k a p a l a l u ʔ a n
kapalan	k a p a l a n
kapalaran	k a p a l a ɾ a n
kapalit	k a p a l i t
kapalutan	k a p a l u t a n
kapamilya	k a p a m i l j a
kapanahunan	k a p a n a h u n a n
kapananampalataya	k a p a n a n a m p a l a t a j a
kapandakan	k a p a n d a k a n
kapangahasan	k a p a ŋ a h a s a n
kapanganakan	k a p a ŋ a n a k a n
kapangitan	k a p a ŋ i t a n
kapangyarihan	k a p a ŋ j a ɾ i h a n
kapanlikhaan	k a p a n l i k a ʔ a n
kapansanan	k a p a n s a n a n
kaparangan	k a p a ɾ a ŋ a n
kapas	k a p a s
kapasidad	k a p a s i d a d
kapat	k a p a t
kapatagan	k a p a t a ɡ a n
kapatas	k a p a t a s
kapatawaran	k a p a t a w a ɾ a n
kapatid	k a p a t i d
kapatiran	k a p a t i ɾ a n
kapayapaan	k a p a j a p a ʔ a n
kapayatan	k a p a j a t a n
kapayiran	k a p a j i ɾ a n
kapbiling	k a p b i l i ŋ
kapbisa	k a p b i s a ʔ
kapbulog	k a p b u l o ɡ
kape	k a p e
kapehan	k a p e h a n
kapeina	k a p e j n a
kapetera	k a p e t e ɾ a
kapeyna	k a p e j n a
kaphay	k a p h a j
kapid	k a p i d
kapidbahay	k a p i d b a h a j
kapihan	k a p i h a n
kapilya	k a p i l j a
kapingahan	k a p i ŋ a h a n
kapiraso	k a p i ɾ a s o
kapirasuhan	k a p i ɾ a s u h a n
kapirayt	k a p i ɾ a j t
kapis	k a p i s
kapisanan	k a p i s a n a n
kapit	k a p i t
kapitalismo	k a p i t a l i s m o
kapitalista	k a p i t a l i s t a
kapitalistiko	k a p i t a l i s t i k o
kapitan	k a p i t a n
kapitbahay	k a p i t b a h a j
kapitbahayan	k a p i t b a h a j a n
kapitbansa	k a p i t b a n s a ʔ
kapitbisig	k a p i t b i s i ɡ
kapitolyo	k a p i t o l j o
kapitulo	k a p i t u l o
kapkapan	k a p k a p a n
kapkeyk	k a p k e j k
kaplamuman	k a p l a m u m a n
kaplastikan	k a p l a s t i k a n
kapnayan	k a p n a j a n
kapok	k a p o k
kapol	k a p o l
kapon	k a p o n
kapos	k a p o s
kapote	k a p o t e
kapoti	k a p o t i
kapre	k a p ɾ e
kaprisyosa	k a p ɾ i s j o s a
kaprisyoso	k a p ɾ i s j o s o
kapritso	k a p ɾ i t s o
kapritso	k a p ɾ i t͡ʃ o
kapritsosa	k a p ɾ i t s o s a
kapritsosa	k a p ɾ i t͡ʃ o s a
kapritsoso	k a p ɾ i t s o s o
kapritsoso	k a p ɾ i t͡ʃ o s o
kapsira	k a p s i ɾ a ʔ
kapsula	k a p s u l a
kapukan	k a p u k a n
kapulisan	k a p u l i s a n
kapuluan	k a p u l u ʔ a n
kapulungan	k a p u l u ŋ a n
kapuno	k a p u n o ʔ
kapurko	k a p u ɾ k o
kaputan	k a p u t a n
kaputian	k a p u t i ʔ a n
kaputol	k a p u t o l
kapuwa	k a p u a ʔ
kapuwang	k a p u a ŋ
kapwa	k a p w a ʔ
kapyari	k a p j a ɾ i ʔ
kar	k a ɾ
karaage	k a ɾ a ɡ e
karaage	k a ɾ a ʔ a ɡ e
karabaw	k a ɾ a b a w
karagatan	k a ɾ a ɡ a t a n
karagdagan	k a ɾ a ɡ d a ɡ a n
karagilapan	k a ɾ a ɡ i l a p a n
karagragan	k a ɾ a ɡ ɾ a ɡ a n
karagsinan	k a ɾ a ɡ s i n a n
karahasan	k a ɾ a h a s a n
karahay	k a ɾ a h a j
karakoa	k a ɾ a k o a
karakter	k a ɾ a k t e ɾ
karamba	k a ɾ a m b a
karambola	k a ɾ a m b o l a
karamelo	k a ɾ a m e l o
karamihan	k a ɾ a m i h a n
karampatan	k a ɾ a m p a t a n
karampot	k a ɾ a m p o t
karanasan	k a ɾ a n a s a n
karang	k a ɾ a ŋ
karangalan	k a ɾ a ŋ a l a n
karaniwan	k a ɾ a n i w a n
karantso	k a ɾ a n t s o
karantso	k a ɾ a n t͡ʃ o
karaoke	k a ɾ a ʔ o k e
karapatan	k a ɾ a p a t a n
kararampot	k a ɾ a ɾ a m p o t
karate	k a ɾ a t e
karatig	k a ɾ a t i ɡ
karatula	k a ɾ a t u l a
karay	k a ɾ a j
karayama	k a ɾ a j a m a
karayom	k a ɾ a j o m
karbin	k a ɾ b i n
karbon	k a ɾ b o n
karbono	k a ɾ b o n o
karbungko	k a ɾ b u ŋ k o
karbungkulo	k a ɾ b u ŋ k u l o
karburador	k a ɾ b u ɾ a d o ɾ
kard	k a ɾ d
kardbord	k a ɾ d b o ɾ d
kardenal	k a ɾ d e n a l
kardenalato	k a ɾ d e n a l a t o
kardiyologo	k a ɾ d i o l o ɡ o
kardiyolohiya	k a ɾ d i o l o h i a
karelebo	k a ɾ e l e b o
karelyebo	k a ɾ e l j e b o
karengkeng	k a ɾ e ŋ k e ŋ
karera	k a ɾ e ɾ a
karerahan	k a ɾ e ɾ a h a n
kareta	k a ɾ e t a
karetela	k a ɾ e t e l a
karetera	k a ɾ e t e ɾ a
karetero	k a ɾ e t e ɾ o
karetilya	k a ɾ e t i l j a
kargamento	k a ɾ ɡ a m e n t o
kari	k a ɾ i
karibal	k a ɾ i b a l
karihan	k a ɾ i h a n
karikaturista	k a ɾ i k a t u ɾ i s t a
kariktan	k a ɾ i k t a n
karilyo	k a ɾ i l j o
karilyon	k a ɾ i l j o n
kariman	k a ɾ i m a n
karimlan	k a ɾ i m l a n
karinderia	k a ɾ i n d e ɾ i a
karinderiya	k a ɾ i n d e ɾ i a
karinderya	k a ɾ i n d e ɾ j a
karinyo	k a ɾ i n j o
karinyosa	k a ɾ i n j o s a
karinyuhan	k a ɾ i n j u h a n
karipas	k a ɾ i p a s
karir	k a ɾ i ɾ
karirin	k a ɾ i ɾ i n
karisma	k a ɾ i s m a
karit	k a ɾ i t
karitela	k a ɾ i t e l a
kariton	k a ɾ i t o n
karlingga	k a ɾ l i ŋ ɡ a
karlubang	k a ɾ l u b a ŋ
karma	k a ɾ m a
karmahin	k a ɾ m a h i n
karmin	k a ɾ m i n
karnabal	k a ɾ n a b a l
karnap	k a ɾ n a p
karnaper	k a ɾ n a p e ɾ
karne	k a ɾ n e
karnero	k a ɾ n e ɾ o
karo	k a ɾ o
karoling	k a ɾ o l i ŋ
karomata	k a ɾ o m a t a
karosa	k a ɾ o s a
karot	k a ɾ o t
karpa	k a ɾ p a
karpet	k a ɾ p e t
karpintero	k a ɾ p i n t e ɾ o
karpiyo	k a ɾ p i o
karpyo	k a ɾ p j o
karsada	k a ɾ s a d a
karsel	k a ɾ s e l
karsonsilyo	k a ɾ s o n s i l j o
karta	k a ɾ t a
kartabon	k a ɾ t a b o n
kartada	k a ɾ t a d a
kartamoneda	k a ɾ t a m o n e d a
kartero	k a ɾ t e ɾ o
kartesyanismo	k a ɾ t e s j a n i s m o
kartesyano	k a ɾ t e s j a n o
kartograpiya	k a ɾ t o ɡ ɾ a p i a
karton	k a ɾ t o n
kartunis	k a ɾ t u n i s
kartunist	k a ɾ t u n i s t
kartunista	k a ɾ t u n i s t a
karumhan	k a ɾ u m h a n
karumihan	k a ɾ u m i h a n
karunungan	k a ɾ u n u ŋ a n
karupukan	k a ɾ u p u k a n
karuwagan	k a ɾ u a ɡ a n
karwahe	k a ɾ w a h e
kas	k a s
kasa	k a s a
kasa	k a s a ʔ
kasaba	k a s a b a
kasabayan	k a s a b a j a n
kasabihan	k a s a b i h a n
kasabwat	k a s a b w a t
kasag	k a s a ɡ
kasaganaan	k a s a ɡ a n a ʔ a n
kasagwilan	k a s a ɡ w i l a n
kasaksi	k a s a k s i
kasal	k a s a l
kasalanan	k a s a l a n a n
kasalaulaan	k a s a l a ʔ u l a ʔ a n
kasali	k a s a l e
kasali	k a s a l i
kasalikupan	k a s a l i k u p a n
kasalimuotan	k a s a l i m u ʔ o t a n
kasalimuutan	k a s a l i m u ʔ u t a n
kasalukuyan	k a s a l u k u j a n
kasalungat	k a s a l u ŋ a t
kasama	k a s a m a
kasamaan	k a s a m a ʔ a n
kasamahin	k a s a m a h i n
kasamantalahan	k a s a m a n t a l a h a n
kasambahay	k a s a m b a h a j
kasanaan	k a s a n a ʔ a n
kasangbahay	k a s a ŋ b a h a j
kasangga	k a s a ŋ ɡ a ʔ
kasanyuan	k a s a n j u ʔ a n
kasapi	k a s a p i ʔ
kasapuwego	k a s a p u e ɡ o
kasapwego	k a s a p w e ɡ o
kasarian	k a s a ɾ i ʔ a n
kasarilihan	k a s a ɾ i l i h a n
kasarilinan	k a s a ɾ i l i n a n
kasarinlan	k a s a ɾ i n l a n
kasat	k a s a t
kasawian	k a s a w i ʔ a n
kasayahan	k a s a j a h a n
kasayapan	k a s a j a p a n
kasaykasay	k a s a j k a s a j
kasaysayan	k a s a j s a j a n
kasehoda	k a s e h o d a
kasekway	k a s e k w a j
kasera	k a s e ɾ a
kasero	k a s e ɾ o
kaserola	k a s e ɾ o l a
kash	k a s
kash	k a ʃ
kasi	k a s i
kasi	k a s i ʔ
kasiguraduhan	k a s i ɡ u ɾ a d u h a n
kasikatan	k a s i k a t a n
kasili	k a s i l i
kasilonawan	k a s i l o n a w a n
kasilyas	k a s i l j a s
kasim	k a s i m
kasimbuti	k a s i m b u t i
kasingkahulugan	k a s i ŋ k a h u l u ɡ a n
kasiningan	k a s i n i ŋ a n
kasinlaki	k a s i n l a k i
kasinluwat	k a s i n l u a t
kasino	k a s i n o
kasintahan	k a s i n t a h a n
kasinungalingan	k a s i n u ŋ a l i ŋ a n
kasinway	k a s i n w a j
kasinwayin	k a s i n w a j i n
kasiraan	k a s i ɾ a ʔ a n
kasiya	k a s i a
kasiyahan	k a s i a h a n
kaskaho	k a s k a h o
kaskaron	k a s k a ɾ o n
kaskas	k a s k a s
kaskasero	k a s k a s e ɾ o
kasko	k a s k o
kasmura	k a s m u ɾ a ʔ
kaso	k a s o
kason	k a s o n
kasosyo	k a s o s j o
kasoy	k a s o j
kastanet	k a s t a n e t
kastanitas	k a s t a n i t a s
kastaniyas	k a s t a n i a s
kastanyas	k a s t a n j a s
kastanyetas	k a s t a n j e t a s
kastanyo	k a s t a n j o
kastigo	k a s t i ɡ o
kastiguhin	k a s t i ɡ u h i n
kastilyo	k a s t i l j o
kastor	k a s t o ɾ
kastuli	k a s t u l i ʔ
kasubha	k a s u b h a ʔ
kasubhain	k a s u b h a ʔ i n
kasukasuan	k a s u k a s u ʔ a n
kasula	k a s u l a
kasulatan	k a s u l a t a n
kasulinawan	k a s u l i n a w a n
kasultanan	k a s u l t a n a n
kasulya	k a s u l j a
kasumba	k a s u m b a
kasundaluhan	k a s u n d a l u h a n
kasunduan	k a s u n d u ʔ a n
kasunlaran	k a s u n l a ɾ a n
kasunuran	k a s u n u ɾ a n
kasuotan	k a s u ʔ o t a n
kasuutan	k a s u ʔ u t a n
kasuy	k a s u j
kaswalti	k a s w a l t i
kaswaryo	k a s w a ɾ j o
kaswela	k a s w e l a
kasya	k a s j a
kata	k a t a
kata	k a t a ʔ
kataba	k a t a b a ʔ
katabi	k a t a b e
katabi	k a t a b i
kataga	k a t a ɡ a ʔ
katahimikan	k a t a h i m i k a n
katakata	k a t a k a t a ʔ
katakawan	k a t a k a w a n
kataksilan	k a t a k s i l a n
katal	k a t a l
katalaghayan	k a t a l a ɡ h a j a n
katalamitam	k a t a l a m i t a m
katalamitan	k a t a l a m i t a n
katalepsiya	k a t a l e p s i a
katalinuhan	k a t a l i n u h a n
kataliwasan	k a t a l i w a s a n
katalo	k a t a l o
katalog	k a t a l o ɡ
katalogo	k a t a l o ɡ o
katalona	k a t a l o n a
katalonan	k a t a l o n a n
katalubata	k a t a l u b a t a ʔ
katalunan	k a t a l u n a n
katam	k a t a m
katamaran	k a t a m a ɾ a n
katambukan	k a t a m b u k a n
katan	k a t a n
katana	k a t a n a ʔ
katang	k a t a ŋ
katangahan	k a t a ŋ a h a n
katangian	k a t a ŋ i ʔ a n
katanungan	k a t a n u ŋ a n
katanway	k a t a n w a j
katapat	k a t a p a t
katapatan	k a t a p a t a n
katapusan	k a t a p u s a n
katarata	k a t a ɾ a t a
katarungan	k a t a ɾ u ŋ a n
katas	k a t a s
katastrope	k a t a s t ɾ o p e
katatagan	k a t a t a ɡ a n
katauhan	k a t a ʔ u h a n
katawan	k a t a w a n
katay	k a t a j
katayan	k a t a j a n
katayin	k a t a j i n
katayuwat	k a t a j u a t
katedral	k a t e d ɾ a l
kategorikal	k a t e ɡ o ɾ i k a l
kategorya	k a t e ɡ o ɾ j a
katekismo	k a t e k i s m o
katekista	k a t e k i s t a
kateks	k a t e k s
katerba	k a t e ɾ b a
katerpilar	k a t e ɾ p i l a ɾ
katesismo	k a t e s i s m o
katha	k a t h a ʔ
kathambuhay	k a t h a m b u h a j
kati	k a t i
kati	k a t i ʔ
katib	k a t i b
katibayan	k a t i b a j a n
katig	k a t i ɡ
katigalan	k a t i ɡ a l a n
katigan	k a t i ɡ a n
katiglan	k a t i ɡ l a n
katihan	k a t i h a n
katimawaan	k a t i m a w a ʔ a n
katimon	k a t i m o n
katinig	k a t i n i ɡ
katinisan	k a t i n i s a n
katipan	k a t i p a n
katipunan	k a t i p u n a n
katisismo	k a t i s i s m o
katiter	k a t i t e ɾ
katitikan	k a t i t i k a n
katitis	k a t i t i s
katiwala	k a t i w a l a ʔ
katiwalian	k a t i w a l i ʔ a n
katiyaw	k a t i a w
katlabi	k a t l a b i ʔ
katleya	k a t l e a
katlo	k a t l o
katlo	k a t l o ʔ
katmon	k a t m o n
kato	k a t o ʔ
katog	k a t o ɡ
katok	k a t o k
katokayo	k a t o k a j o
katol	k a t o l
katoliko	k a t o l i k o
katolonan	k a t o l o n a n
katorse	k a t o ɾ s e
katoto	k a t o t o
katotohanan	k a t o t o h a n a n
katrabaho	k a t ɾ a b a h o
katre	k a t ɾ e
katropa	k a t ɾ o p a
katsa	k a t s a
katsa	k a t͡ʃ a
katsakahan	k a t s a k a h a n
katsakahan	k a t͡ʃ a k a h a n
katsang	k a t s a ŋ
katsang	k a t͡ʃ a ŋ
katsarita	k a t s a ɾ i t a
katsarita	k a t͡ʃ a ɾ i t a
katser	k a t s e ɾ
katser	k a t͡ʃ e ɾ
katsismisan	k a t s i s m i s a n
katsismisan	k a t͡ʃ i s m i s a n
katsot	k a t s o t
katsot	k a t͡ʃ o t
katsumba	k a t s u m b a
katsumba	k a t͡ʃ u m b a
katsurita	k a t s u ɾ i t a
katsurita	k a t͡ʃ u ɾ i t a
katukayo	k a t u k a j o
katulad	k a t u l a d
katulalaan	k a t u l a l a ʔ a n
katulong	k a t u l o ŋ
katulunan	k a t u l u n a n
katumbas	k a t u m b a s
katunayan	k a t u n a j a n
katunggakan	k a t u ŋ ɡ a k a n
katunggali	k a t u ŋ ɡ a l i ʔ
katungkulan	k a t u ŋ k u l a n
katuparan	k a t u p a ɾ a n
katuray	k a t u ɾ a j
katuruan	k a t u ɾ u ʔ a n
katutak	k a t u t a k
katutubo	k a t u t u b o ʔ
katutuyutan	k a t u t u j u t a n
katuwaan	k a t u a ʔ a n
katuwang	k a t u a ŋ
katuwiran	k a t u i ɾ a n
katwiran	k a t w i ɾ a n
katyaw	k a t j a w
kaugnayan	k a ʔ u ɡ n a j a n
kaulapan	k a ʔ u l a p a n
kaulatan	k a ʔ u l a t a n
kaungasan	k a ʔ u ŋ a s a n
kaunlaran	k a ʔ u n l a ɾ a n
kaunti	k a ʔ u n t i ʔ
kaunti	k o n t e ʔ
kaunti	k o n t i ʔ
kauntian	k a ʔ u n t i ʔ a n
kausap	k a ʔ u s a p
kausapin	k a ʔ u s a p i n
kautalan	k a ʔ u t a l a n
kautusan	k a ʔ u t u s a n
kaw	k a w
kawa	k a w a
kawad	k a w a d
kawal	k a w a l
kawalan	k a w a l a n
kawali	k a w a l i ʔ
kawan	k a w a n
kawanggawa	k a w a ŋ ɡ a w a ʔ
kawani	k a w a n i
kawanihan	k a w a n i h a n
kawasa	k a w a s a ʔ
kawatan	k a w a t a n
kawawa	k a w a w a ʔ
kawawaan	k a w a w a ʔ a n
kaway	k a w a j
kawayan	k a w a j a n
kawayanan	k a w a j a n a n
kawboy	k a w b o j
kawi	k a w i ʔ
kawil	k a w i l
kawing	k a w i ŋ
kawingan	k a w i ŋ a n
kawit	k a w i t
kawkaw	k a w k a w
kawkawin	k a w k a w i n
kawsa	k a w s a
kay	k a j
kaya	k a j a
kaya	k a j a ʔ
kayabangan	k a j a b a ŋ a n
kayabungan	k a j a b u ŋ a n
kayag	k a j a ɡ
kayagangan	k a j a ɡ a ŋ a n
kayagungan	k a j a ɡ u ŋ a n
kayakyakan	k a j a k j a k a n
kayamanan	k a j a m a n a n
kayamuan	k a j a m u ʔ a n
kayan	k a j a n
kayapahan	k a j a p a h a n
kayarian	k a j a ɾ i ʔ a n
kayat	k a j a t
kayawa	k a j a w a ʔ
kayeluhan	k a j e l u h a n
kayeput	k a j e p u t
kayepute	k a j e p u t e
kaykay	k a j k a j
kaymito	k a j m i t o
kayo	k a j o
kayod	k a j o d
kayog	k a j o ɡ
kaypala	k a j p a l a ʔ
kayrel	k a j ɾ e l
kaysa	k a j s a
kaysa	k e s a
kayumanggi	k a j u m a ŋ ɡ i
kayumanis	k a j u m a n i s
kayumkom	k a j u m k o m
kayuran	k a j u ɾ a n
kayuyo	k a j u j o ʔ
kayuyuan	k a j u j u ʔ a n
ke	k e
ke	k e ʔ
keber	k e b e ɾ
kebs	k e b s
keha	k e h a
keik	k e j k
kek	k e k
kekok	k e k o k
kekyam	k e k j a m
kelan	k e j l a n
kelan	k e l a n
kelot	k e l o t
keluwa	k e l u a ʔ
kembot	k e m b o t
kemikal	k e m i k a l
kemistri	k e m i s t ɾ i
kendeng	k e n d e ŋ
kendi	k e n d i
kendo	k e n d o
kengkoy	k e ŋ k o j
kenopodyo	k e n o p o d j o
kepo	k e p o
kepo	k i p o
kepweng	k e p w e ŋ
kerelya	k e ɾ e l j a
kerengkeng	k e ɾ e ŋ k e ŋ
keri	k e ɾ i
kerida	k e ɾ i d a
kerido	k e ɾ i d o
kerosin	k e ɾ o s i n
kerot	k e ɾ o t
kerots	k e ɾ o t s
kerubin	k e ɾ u b i n
kerubines	k e ɾ u b i n e s
kerwe	k e ɾ w e ʔ
kesa	k e s a
kesehoda	k e s e h o d a
keso	k e s o
kesyo	k e s j o
ket	k e t
ketay	k e t a j
ketong	k e t o ŋ
ketongan	k e t o ŋ a n
ketongin	k e t o ŋ i n
ketsap	k e t s a p
ketsap	k e t͡ʃ a p
ketsapan	k e t s a p a n
ketsapan	k e t͡ʃ a p a n
ketungan	k e t u ŋ a n
ketungin	k e t u ŋ i n
key	k e j
keyboardista	k i b o ɾ d i s t a
keyk	k e j k
kiay	k i ʔ a j
kiba	k i b a
kibal	k i b a l
kibit	k i b i t
kibits	k i b i t s
kibitser	k i b i t s e ɾ
kibla	k i b l a
kibo	k i b o ʔ
kibord	k i b o ɾ d
kibordista	k i b o ɾ d i s t a
kidkid	k i d k i d
kidlat	k i d l a t
kidnap	k i d n a p
kidnaper	k i d n a p e ɾ
kidsulid	k i d s u l i d
kidya	k i d j a
kihol	k i h o l
kiit	k i ʔ i t
kikay	k i k a j
kiki	k i k i
kiki	k i k i ʔ
kikiam	k i k j a m
kikig	k i k i ɡ
kikik	k i k i k
kikil	k i k i l
kikilan	k i k i l a n
kikiligin	k i k i l i ɡ i n
kikinsot	k i k i n s o t
kikiyam	k i k i a m
kikoy	k i k o j
kikyam	k i k j a m
kila	k i l a
kilabot	k i l a b o t
kilabutan	k i l a b u t a n
kilala	k i l a l a
kilates	k i l a t e s
kilatis	k i l a t i s
kilaw	k i l a w
kilawin	k i l a w i n
kilay	k i l a j
kilig	k i l i ɡ
kiligin	k i l i ɡ i n
kilik	k i l i k
kilikili	k i l i k i l i
kilikiti	k i l i k i t i ʔ
kiling	k i l i ŋ
kiliti	k i l i t i ʔ
kilitiin	k i l i t i ʔ i n
kilitis	k i l i t i s
kilo	k i l o
kilo	k i l o ʔ
kilogramo	k i l o ɡ ɾ a m o
kilometrahe	k i l o m e t ɾ a h e
kilometro	k i l o m e t ɾ o
kilos	k i l o s
kilusan	k i l u s a n
kiluwa	k i l u a ʔ
kilyawan	k i l j a w a n
kima	k i m a
kima	k i m a ʔ
kimaw	k i m a w
kimi	k i m i ʔ
kimika	k i m i k a
kimiko	k i m i k o
kimkim	k i m k i m
kimlo	k i m l o
kimona	k i m o n a
kimono	k i m o n o
kimpal	k i m p a l
kina	k i n a
kinabukasan	k i n a b u k a s a n
kinagabihan	k i n a ɡ a b i h a n
kinahapunan	k i n a h a p u n a n
kinahig	k i n a h i ɡ
kinahinatnan	k i n a h i n a t n a n
kinain	k i n a ʔ i n
kinakapatid	k i n a k a p a t i d
kinakastigo	k i n a k a s t i ɡ o
kinakausap	k i n a k a ʔ u s a p
kinakawayan	k i n a k a w a j a n
kinalabasan	k i n a l a b a s a n
kinalabaw	k i n a l a b a w
kinalabsan	k i n a l a b s a n
kinalaman	k i n a l a m a n
kinalunesan	k i n a l u n e s a n
kinalunisan	k i n a l u n i s a n
kinamiyerkolesan	k i n a m i e ɾ k o l e s a n
kinang	k i n a ŋ
kinasabaduhan	k i n a s a b a d u h a n
kinastigo	k i n a s t i ɡ o
kinatawan	k i n a t a w a n
kinaumagahan	k i n a ʔ u m a ɡ a h a n
kinauukulan	k i n a ʔ u ʔ u k u l a n
kinawayan	k i n a w a j a n
kindat	k i n d a t
kinday	k i n d a j
kinding	k i n d i ŋ
kingke	k i ŋ k e
kingpin	k i ŋ p i n
kinig	k i n i ɡ
kinigsipat	k i n i ɡ s i p a t
kinigsulat	k i n i ɡ s u l a t
kinikilig	k i n i k i l i ɡ
kinilig	k i n i l i ɡ
kinina	k i n i n a
kinokonsenti	k i n o k o n s e n t i
kinokontak	k i n o k o n t a k
kinonsenti	k i n o n s e n t i
kinontak	k i n o n t a k
kinse	k i n s e
kintab	k i n t a b
kintsay	k i n t s a j
kintsay	k i n t͡ʃ a j
kinudkod	k i n u d k o d
kinukudkod	k i n u k u d k o d
kinyang	k i n j a ŋ
kinyentos	k i n j e n t o s
kipangkipang	k i p a ŋ k i p a ŋ
kipot	k i p o t
kirat	k i ɾ a t
kirey	k i ɾ e j
kiri	k i ɾ i
kirimpot	k i ɾ i m p o t
kirlat	k i ɾ l a t
kiromansiya	k i ɾ o m a n s i a
kiropraktiko	k i ɾ o p ɾ a k t i k o
kirot	k i ɾ o t
kisa	k i s a ʔ
kisame	k i s a m e
kisap	k i s a p
kisapmata	k i s a p m a t a
kisay	k i s a j
kisig	k i s i ɡ
kiskis	k i s k i s
kislap	k i s l a p
kislot	k i s l o t
kiso	k i s o
kita	k i t a
kita	k i t a ʔ
kitaipon	k i t a ʔ i p o n
kitakits	k i t a k i t s
kitaypone	k i t a j p o n e
kitdi	k i t d i
kiti	k i t i ʔ
kitib	k i t i b
kitid	k i t i d
kitig	k i t i ɡ
kitikiti	k i t i k i t i
kitil	k i t i l
kitir	k i t i ɾ
kitkit	k i t k i t
kitse	k i t s e
kitse	k i t͡ʃ e
kiya	k i a ʔ
kiyakis	k i a k i s
kiyamoy	k i a m o j
kiyampong	k i a m p o ŋ
kiyang	k i a ŋ
kiyapo	k i a p o ʔ
kiyas	k i a s
kiyaw	k i a w
kiyeme	k i e m e
kiyo	k i o ʔ
kiyosko	k i o s k o
klab	k l a b
klabo	k l a b o
klabos	k l a b o s
klaridad	k l a ɾ i d a d
klarin	k l a ɾ i n
klarinete	k l a ɾ i n e t e
klaripikasyon	k l a ɾ i p i k a s j o n
klaro	k l a ɾ o
klaroskuro	k l a ɾ o s k u ɾ o
klase	k l a s e
klasikal	k l a s i k a l
klasipikasyon	k l a s i p i k a s j o n
klaskard	k l a s k a ɾ d
klasmeyt	k l a s m e j t
klasrum	k l a s ɾ u m
klebe	k l e b e
klerigo	k l e ɾ i ɡ o
klerk	k l e ɾ k
klibe	k l i b e
klima	k l i m a
klinik	k l i n i k
klinika	k l i n i k a
klirans	k l i ɾ a n s
kliyente	k l i e n t e
kliyentela	k l i e n t e l a
klorin	k l o ɾ i n
kloropila	k l o ɾ o p i l a
kloropormo	k l o ɾ o p o ɾ m o
klub	k l u b
ko	k o
koalisyon	k o a l i s j o n
kober	k o b e ɾ
koboy	k o b o j
kobra	k o b ɾ a
kobrador	k o b ɾ a d o ɾ
kodak	k o d a k
kodeina	k o d e j n a
kodeina	k o d e ʔ i n a
kodeyna	k o d e j n a
kodigo	k o d i ɡ o
kodipikasyon	k o d i p i k a s j o n
koed	k o ʔ e d
kognado	k o ɡ n a d o
kok	k o k
kokaina	k o k a i n a
kokaina	k o k a j n a
kokaina	k o k a ʔ i n a
kokak	k o k a k
kokang	k o k a ŋ
kokayna	k o k a j n a
kokomban	k o k o m b a n
kokomband	k o k o m b a n d
kokonsentihin	k o k o n s e n t i h i n
kokontakin	k o k o n t a k i n
kokote	k o k o t e
kokwa	k o k w a
kolado	k o l a d o
kolads	k o l a d s
kolateral	k o l a t e ɾ a l
kolehiyal	k o l e h i a l
kolehiyala	k o l e h i a l a
kolehiyo	k o l e h i o
kolektibo	k o l e k t i b o
kolera	k o l e ɾ a
koles	k o l e s
kolesterol	k o l e s t e ɾ o l
kolget	k o l ɡ e t
kolgeyt	k o l ɡ e j t
koliplawer	k o l i p l a w e ɾ
koliplor	k o l i p l o ɾ
