á	aː
loviť	ɫ ɔ v i c
lovný	l ɔ v n iː
lož	l ɔ ʃ
ložisko	l ɔ ʒ i s k ɔ
lôžko	l u̯ o ʃ k ɔ
lôžkový	l u̯ ɔ ʃ k ɔ v iː
ľstivý	ʎ s c i v iː
Luanda	l u a n d a
Ľuba	ʎ u b a
Ľubica	ʎ u b i t͡s a
ľúbiť	ʎ uː b i c
Ľubľana	ʎ u b ʎ a n a
Ľubo	ʎ u b ɔ
Ľubomír	ʎ u b ɔ m iː r
Ľubomíra	ʎ u b ɔ m iː r a
Ľubor	ʎ u b ɔ r
Ľuborom	ʎ u b ɔ r ɔ m
Ľuboš	ʎ u b ɔ ʃ
Ľuboslav	ʎ u b ɔ s ɫ a u̯
Ľuboslava	ʎ u b ɔ s l a v a
lúč	l uː t͡ʃ
lúča	l uː t͡ʃ a
lučba	l u d͡ʒ b a
lúče	l uː t͡ʃ e
Lučenec	l u t͡ʃ e ɲ e t͡s
lúči	l uː t͡ʃ i
Lucia	l u t͡s i a
lúčka	l uː t͡ʃ k a
Lucký	l u t͡s k iː
lúčny	l uː t͡ʃ n i
lúču	l uː t͡ʃ u
ľud	ʎ u t
Ľuda	ʎ u d a
ľudí	ʎ u ɟ iː
ľudia	ʎ u ɟ ɪ̯ a
ľuďmi	ʎ u ɟ m i
Ľudmila	ʎ u d m i l a
Ľudo	ʎ u d ɔ
ľuďoch	ʎ u ɟ ɔ x
ľuďom	ʎ u ɟ ɔ m
Ľudomil	ʎ u d ɔ m i ɫ
Ľudomila	ʎ u d ɔ m i l a
Ľudovít	ʎ u d ɔ v iː t
ľudstvo	ʎ u t͡s t v ɔ
ľuft	ʎ u f t
luhal	l u ɦ a l
luhala	l u ɦ a l a
luhali	l u ɦ a ʎ i
luhár	l u ɦ aː r
luhať	l u ɦ a c
Luhový	l u ɦ ɔ v iː
Lujza	l u j z a
luk	l u k
Luk	ɫ u k
lúk	l uː k
lúka	l uː k a
Lukáč	l u k aː t͡ʃ
lúkach	l uː k a x
Lukačovič	l u k a t͡ʃ ɔ v i t͡ʃ
lúkam	l uː k a m
lúkami	l uː k a m i
Lukas	l u k a s
Lukáš	ɫ u k aː ʃ
lúke	l uː k e
Lukeš	l u k e ʃ
lukmi	l u k m i
lukoch	l u k ɔ x
lukom	l u k ɔ m
lukostrelca	l u k ɔ s t r e l t͡s a
lukostrelec	l u k ɔ s t r e ʎ e t͡s
lúkou	l uː k ɔ v
lukov	l u k ɔ v
lukový	l u k ɔ v iː
lukratívny	l u k r a t iː v n i
luku	l u k u
lúku	l uː k u
luky	l u k i
lúky	l uː k i
ľuľok	ʎ u ʎ ɔ k
Lumnitzer	l u m ɲ i d͡zː e r
lumpenproletár	l u m p e n p r ɔ l e t aː r
lún	l uː n
luna	l u n a
lunách	l u n aː x
Luňák	l u ɲ aː k
lunám	l u n aː m
lunami	l u n a m i
lune	l u ɲ e
lunou	l u n ɔ v
Lunter	l u n c e r
lunu	l u n u
luny	l u n i
lúpež	l uː p e ʃ
lupina	l u p i n a
Lupták	l u p t aː k
Ľupták	ʎ u p t aː k
Lusaka	l u s a k a
Lušňák	l u ʃ ɲ aː k
lutécium	ɫ u t ɛː t͡s ɪ j ʊ m
ľúteho	ʎ uː t e ɦ ɔ
ľútej	ʎ uː c e j
ľútejší	ʎ uː c e j ʃ iː
ľútemu	ʎ uː c e m u
luterán	l u t e r aː n
luteránstvo	l u t e r aː n s t v ɔ
Lutka	l u t k a
ľútom	ʎ uː t ɔ m
ľúty	ʎ uː t i
ľútych	ʎ uː t i x
ľútym	ʎ uː t i m
luxemburčina	l u k s e m b u r t͡ʃ i n a
Luxembursko	l u k s e m b u r s k ɔ
luže	l u ʒ e
lužem	l u ʒ e m
lužeme	l u ʒ e m e
lužeš	l u ʒ e ʃ
lužete	l u ʒ e c e
Lužica	l u ʒ i t͡s a
Lužný	l u ʒ n iː
lužú	l u ʒ uː
Lýdia	l iː d i a
lyko	l i k ɔ
lýra	l iː r a
lysiek	l i s ɪ̯ e k
Lysík	l i s iː k
lysina	l i s i n a
lysinka	l i s i n k a
lyska	l i s k a
lyskou	l i s k ɔ v
lysku	l i s k u
lysky	l i s k i
Lyso	l i s ɔ
Lysý	l i s iː
lýtko	l iː t k ɔ
lýtkový	l iː t k ɔ v iː
lyža	l i ʒ a
lyže	l i ʒ e
lyžiar	l i ʒ ɪ̯ a r
lyžiarka	l i ʒ ɪ̯ a r k a
lyžiarstvo	l i ʒ ɪ̯ a r s t v ɔ
lyžica	l i ʒ i t͡s a
lží	l̩ ʒ iː
m	m
ma	m a
má	m aː
Mác	m aː t͡s
mačací	m a t͡ʃ a t͡s iː
Máčaj	m aː t͡ʃ a j
macedónčina	m a t͡s e d ɔː n t͡ʃ i n a
Macedónsko	m a t͡s e d ɔː n s k ɔ
Macejech	m a t͡s e j e x
Macejka	m a t͡s e j k a
Mačejovský	m a t͡ʃ e j ɔ v s k iː
Macek	m a t͡s e k
Maček	m a t͡ʃ e k
Mach	m a x
mach	m a x
Macháč	m a x aː t͡ʃ
Macháček	m a x aː t͡ʃ e k
Machaj	m a x a j
Machala	m a x a l a
Machata	m a x a t a
machiavelizmus	m a k i a v ɛ l i z m u s
machiavellizmus	m a k i a v ɛ l i z m u s
machom	m a x ɔ m
machov	m a x ɔ v
Machová	m a x ɔ v aː
Machovič	m a x ɔ v i t͡ʃ
machový	m a x ɔ v iː
machu	m a x u
machuľa	m a x u ʎ a
machuľka	m a x u ʎ k a
Machút	m a x uː t
Machyniak	m a x i ɲ ɪ̯ a k
Mačica	m a t͡ʃ i t͡s a
mačica	m a t͡ʃ i t͡s a
mačička	m a t͡ʃ i t͡ʃ k a
mačiek	m a t͡ʃ ɪ̯ e k
Macík	m a t͡s iː k
mačka	m a t͡ʃ k a
mačkách	m a t͡ʃ k aː x
mačkám	m a t͡ʃ k aː m
mačkami	m a t͡ʃ k a m i
mačke	m a t͡ʃ k e
Macko	m a t͡s k ɔ
mačkou	m a t͡ʃ k ɔ v
Mačková	m a t͡ʃ k ɔ v aː
Mackových	m a t͡s k ɔ v iː x
Mackovýchová	m a t͡s k ɔ v iː x ɔ v aː
mačku	m a t͡ʃ k u
mačky	m a t͡ʃ k i
Maco	m a t͡s ɔ
Mačo	m a t͡ʃ ɔ
Mácsai	m aː t͡s s a i
Macúch	m a t͡s uː x
Mačuga	m a t͡ʃ u ɡ a
Mačutek	m a t͡ʃ u c e k
Madagaskar	m a d a ɡ a s k a r
madam	m a d a m
Maďar	m a ɟ a r
Maďara	m a ɟ a r a
maďarčina	m a ɟ a r t͡ʃ i n a
Maďarič	m a ɟ a r i t͡ʃ
Maďarka	m a ɟ a r k a
Maďarsko	m a ɟ a r s k ɔ
maďarský	m a ɟ a r s k iː
Madrid	m a d r i t
Madzin	m a d͡z i n
Maga	m a ɡ a
Magál	m a ɡ aː l
Magdaléna	m a ɡ d a l eː n a
Magdolen	m a ɡ d ɔ ʎ e n
magľajz	m a ɡ ʎ a j s
magľajzu	m a ɡ ʎ a j z u
magnet	m a ɡ n e t
magnetický	m a ɡ n ɛ t i t͡s k iː
magnetizácia	m a ɡ n e t i z aː t͡s i a
magnetizmus	m a ɡ n e t i z m u s
magnetizovať	m a ɡ ɲ e c i z ɔ v a c
magor	m a ɡ ɔ r
magora	m a ɡ ɔ r a
magori	m a ɡ ɔ r i
Maháraštra	m a ɦ aː r a ʃ t r a
Mahút	m a ɦ uː t
Maine	m e j n
maj	m a j
máj	m aː j
maják	m a j aː k
Maják	m a j aː k
Majchrák	m a j x r aː k
Majdan	m a j d a n
Majer	m a j e r
Majerčík	m a j e r t͡ʃ iː k
majme	m a j m e
majonéza	m a j ɔ n eː z a
Majoroš	m a j ɔ r ɔ ʃ
májový	m aː j ɔ v iː
majster	m a j s t e r
majstre	m a j s t r e
Majtán	m a j t aː n
majte	m a j c e
majú	m a j uː
mak	m a k
Mak	m a k
mäkčeň	m æ k t͡ʃ e ɲ
mäkčeňa	m æ k t͡ʃ e ɲ a
mäkčene	m æ k t͡ʃ e ɲ e
Makiš	m a k i ʃ
mäkká	m æ kː aː
mäkké	m æ kː eː
mäkkí	m æ kː iː
mäkkú	m æ kː uː
mäkký	m æ k iː
mäkký	m e k iː
mäkkýš	m æ kː iː ʃ
mäkkýší	m æ kː iː ʃ iː
maklér	m a k l eː r
makový	m a k ɔ v iː
Makula	m a k u l a
mal	m a l
mala	m a l a
malá	m a l aː
Malachiáš	m a ɫ a x i aː ʃ
Malachovský	m a l a x ɔ v s k iː
malajálamčina	m a l a j aː l a m t͡ʃ i n a
malajčina	m a ɫ a j t͡ʃ i n a
Malajec	m a ɫ a j ɛ t͡s
Malajzia	m a l a j z i a
Maľar	m a ʎ a r
Malček	m a l t͡ʃ e k
Malčovský	m a l t͡ʃ ɔ v s k iː
malé	m a l eː
Malec	m a ʎ e t͡s
malej	m a ʎ e j
Málek	m aː ʎ e k
malému	m a l eː m u
mali	m a ʎ i
malí	m a ʎ iː
maliar	m a ʎ ɪ̯ a r
Maliar	m a ʎ ɪ̯ a r
maliara	m a ʎ ɪ̯ a r a
maliarka	m a ʎ ɪ̯ a r k a
maliarmi	m a ʎ ɪ̯ a r m i
maliarsky	m a ʎ ɪ̯ a r s k i
maliarstvo	m a ʎ ɪ̯ a r s t v ɔ
Malík	m a ʎ iː k
malina	m a ʎ i n a
Malina	m a ʎ i n a
Maliňák	m a ʎ i ɲ aː k
malinový	m a ʎ i n ɔ v iː
Malko	m a l k ɔ
malo	m a l ɔ
Malo	m a l ɔ
málo	m aː l ɔ
malom	m a l ɔ m
malou	m a l ɔ v
málp	m aː l p
malpa	m a l p a
Malta	m a l t a
malta	m a l t a
maltčina	m a l t͡ʃː i n a
Malte	m a l c e
Maltou	m a l t ɔ v
Maltu	m a l t u
Malty	m a l c i
malú	m a l uː
malvér	m a ɫ v ɛː r
Malvína	m a l v iː n a
malý	m a l iː
Malý	m a l iː
mám	m aː m
mama	m a m a
máme	m aː m e
mamo	m a m ɔ
Mamojka	m a m ɔ j k a
Managua	m a n a ɡ u a
Maňák	m a ɲ aː k
Manáma	m a n aː m a
manažér	m a n a ʒ eː r
manažment	m a n a ʒ m ɛ n t
manažmentmi	m a n a ʒ m e n t m i
manažmentu	m a n a ʒ m e n t u
manažmenty	m a n a ʒ m e n t i
mančina	m a n t͡ʃ i n a
mandarínka	m a n d a r iː n k a
mandarínkovník	m a n d a r iː n k ɔ v ɲ iː k
Mandinec	m a n ɟ i ɲ e t͡s
mangán	m a ŋ ɡ aː n
Manila	m a ɲ i l a
Manitoba	m a ɲ i t ɔ b a
Maňka	m a ɲ k a
Manko	m a n k ɔ
mantinel	m a n t i n ɛ ɫ
maňuška	m a ɲ u ʃ k a
manžel	m a n ʒ e l
manželiek	m a n ʒ e ʎ ɪ̯ e k
manželka	m a n ʒ e l k a
manželke	m a n ʒ e l k e
manželôčka	m a n ʒ e l u̯ ɔ t͡ʃ k a
manželôčky	m a n ʒ e l u̯ ɔ t͡ʃ k i
manželôčok	m a n ʒ e l u̯ ɔ t͡ʃ ɔ k
mapa	m a p a
mapový	m a p ɔ v iː
Maputo	m a p u t ɔ
már	m aː r
márach	m aː r a x
máram	m aː r a m
márami	m aː r a m i
Marcel	m a r t͡s e l
Marcela	m a r t͡s e l a
Marcinech	m a r t͡s i ɲ e x
Marcinko	m a r t͡s i n k ɔ
marcový	m a r t͡s ɔ v iː
marec	m a r e t͡s
Marec	m a r e t͡s
Marecký	m a r e t͡s k iː
Marek	m a r e k
marena	m a r e n a
Mareš	m a r e ʃ
margaréta	m a r ɡ a r e̞ː t a
Margaréta	m a r ɡ a r eː t a
margarétka	m a r ɡ a r eː t k a
Margita	m a r ɡ i t a
Marhanský	m a r ɦ a n s k iː
marhuľa	m a r ɦ u ʎ a
Mária	m aː r i a
Mariak	m a r ɪ̯ a k
Marián	m a r i aː n
Mariánko	m a r i aː n k ɔ
Marianna	m a r i a n a
Marika	m a r i k a
Marína	m a r iː n a
Mário	m aː r i ɔ
Markech	m a r k e x
Markoš	m a r k ɔ ʃ
Markovic	m a r k ɔ v i t͡s
marmeláda	m a r m e l aː d a
Marmor	m a r m ɔ r
márna	m aː r n a
márne	m aː r n e
márnejší	m aː r ɲ e j ʃ iː
márni	m aː r n i
márnica	m aː r ɲ i t͡s a
márnici	m aː r ɲ i t͡s i
márničný	m aː r ɲ i t͡ʃ n iː
márnicou	m aː r ɲ i t͡s ɔ v
márnicu	m aː r ɲ i t͡s u
márnomyseľný	m aː r n ɔ m i s e ʎ n iː
márny	m aː r n i
Maro	m a r ɔ
maród	m a r ɔː t
Maroko	m a r ɔ k ɔ
Maron	m a r ɔ n
Marônek	m a r u̯ ɔ ɲ e k
Maroš	m a r ɔ ʃ
Maroško	m a r ɔ ʃ k ɔ
marshallčina	m a r z ɦ a lː t͡ʃ i n a
Marta	m a r t a
Martin	m a r t i n
Martina	m a r t i n a
Martinát	m a r c i n aː t
Martinides	m a r t i n i d e s
Martinkových	m a r c i n k ɔ v iː x
Martinkovýchová	m a r c i n k ɔ v iː x ɔ v aː
Martinovič	m a r c i n ɔ v i t͡ʃ
Martinusík	m a r c i n u s iː k
Martvoň	m a r t v ɔ ɲ
Marušinec	m a r u ʃ i ɲ e t͡s
marxizmu	m a r k s i z m u
marxizmus	m a r k s i z m u s
máry	m aː r i
Maryland	m e r i ʎ e n t
máš	m aː ʃ
mäsa	m æ s a
mäsá	m æ s aː
mäsách	m æ s aː x
mäsám	m æ s aː m
mäsami	m æ s a m i
Masár	m a s aː r
mäse	m æ s e
Mašek	m a ʃ e k
Maseru	m a s e r u
mäsiar	m æ s ɪ̯ a r
Mäsiar	m æ s ɪ̯ a r
mäsiarka	m æ s ɪ̯ a r k a
masielka	m a s ɪ̯ e l k a
masielko	m a s ɪ̯ e l k ɔ
mašina	m a ʃ i n a
mäsko	m æ s k ɔ
maskot	m a s k ɔ t
maškrta	m a ʃ k r̩ t a
Mašlej	m a ʃ ʎ e j
masliak	m a s ʎ ɪ̯ a k
maslo	m a s l ɔ
maslový	m a s l ɔ v iː
Masný	m a s n iː
mäso	m æ s ɔ
mäsom	m æ s ɔ m
mäsový	m æ s ɔ v iː
mäsožravec	m æ s ɔ ʒ r a v e t͡s
mäsožravý	m æ s ɔ ʒ r a v iː
Massachusetts	m e s e t͡ʃ uː s e t͡s
masť	m a s c
maštaľ	m a ʃ t a ʎ
masťami	m a s c a m i
masti	m a s c i
mastí	m a s c iː
mastiach	m a s c ɪ̯ a x
mastiam	m a s c ɪ̯ a m
Mastihuba	m a s c i ɦ u b a
Mastiľák	m a s c i ʎ aː k
masťou	m a s c ɔ v
masturbácia	m a s t u r b aː t͡s i a
masturbovať	m a s t u r b ɔ v a c
mäsu	m æ s u
mat	m a t
mať	m a c
mät	m ɛ t
mät	m æ t
mäta	m æ t a
Maťaš	m a c a ʃ
máte	m aː c e
mäte	m ɛ c ɛ
mäte	m æ c ɛ
Mateides	m a t e i d e s
Matej	m a c e j
Matejíček	m a c e j iː t͡ʃ e k
Matejka	m a c e j k a
Matejko	m a c e j k ɔ
Matejovič	m a c e j ɔ v i t͡ʃ
Matejovie	m a c e j ɔ v ɪ̯ e
matematička	m a t ɛ m a t i t͡ʃ k a
matematik	m a t e m a t i k
matematika	m a t ɛ m a t i k a
mater	m a c ɛ r
matere	m a c e r e
materi	m a c e r i
materinský	m a c e r i n s k iː
maternica	m a c e r ɲ i t͡s a
materou	m a c e r ɔ v
materský	m a c e r s k iː
Mati	m a c i
matica	m a c i t͡s a
matiek	m a c ɪ̯ e k
matika	m a t i k a
Matilda	m a t i l d a
Matis	m a c i s
matka	m a t k a
matkin	m a t k i n
Matlo	m a t l ɔ
Maťo	m a c ɔ
mátoha	m aː t ɔ ɦ a
Matoušek	m a t ɔ u ʃ e k
matový	m a t ɔ v iː
matrac	m a t r a t͡s
matracový	m a t r a t͡s ɔ v iː
matrioška	m a t r i ɔ ʃ k a
matronymikum	m a t r ɔ n i m i k u m
Maťuga	m a c u ɡ a
Matula	m a t u l a
Matus	m a t u s
Matúš	m a t uː ʃ
Matušek	m a t u ʃ e k
Matušík	m a t u ʃ iː k
Matuška	m a t u ʃ k a
Matušovic	m a t u ʃ ɔ v i t͡s
Matušovič	m a t u ʃ ɔ v i t͡ʃ
Mauritánia	m a v r i t aː n i a
mauritánsky	m a u r i t aː n s k i
Maximilián	m a k s i m i l i aː n
Mazáč	m a z aː t͡ʃ
Mázik	m aː z i k
Mazúch	m a z uː x
meander	m e a n d e r
meč	m e t͡ʃ
meča	m e t͡ʃ a
mech	m e x
mechanizácia	m e x a n i z aː t͡s i a
mechúr	m e x uː r
mečom	m e t͡ʃ ɔ m
mečový	m e t͡ʃ ɔ v iː
med	m e t
meď	m e c
Méd	m eː t
Meda	m e d a
Medard	m ɛ d a r d
mede	m e ɟ e
medi	m e ɟ i
mediácia	m e d i aː t͡s i a
medián	m e d i aː n
mediánový	m e ɟ i aː n ɔ v iː
Medina	m e ɟ i n a
Medňanský	m e d ɲ a n s k iː
Medo	m e d ɔ
medom	m e d ɔ m
meďou	m e ɟ ɔ v
medovina	m e d ɔ v i n a
medový	m e d ɔ v iː
medu	m e d u
medúza	m e d uː z a
Medvecký	m e d v e t͡s k iː
medveď	m e d v e c
medveďa	m e d v e ɟ a
medvede	m e d v e ɟ e
medvedi	m e d v e ɟ i
medvedica	m e d v e ɟ i t͡s a
medvedice	m e d v e ɟ i t͡s e
medveďom	m e d v e ɟ ɔ m
Medviď	m e d v i c
medvieďa	m e d v ɪ̯ e ɟ a
medvieďatko	m e d v ɪ̯ e ɟ a t k ɔ
medzi	m ɛ d͡z i
medzinárodný	m e d͡z i n aː r ɔ d n iː
meitnerium	m a i̯ t n ɛ r ɪ j ʊ m
meitnérium	m a i̯ t n ɛ r ɪ j ʊ m
mekáč	m e k aː t͡ʃ
mekáča	m e k aː t͡ʃ a
mekáče	m e k aː t͡ʃ e
Melánia	m e l aː n i a
Melbourne	m e l b ø r n
Meleg	m e ʎ e k
Melicherík	m e ʎ i x e r iː k
Meliš	m e ʎ i ʃ
Melko	m e l k ɔ
Meľko	m e ʎ k ɔ
melódia	m ɛ ɫ ɔː d i a
Melúch	m e l uː x
mena	m e n a
mená	m e n aː
menách	m e n aː x
menám	m e n aː m
menami	m e n a m i
Menda	m e n d a
mendelevium	m ɛ n d ɛ l ɛ v ɪ j ʊ m
mendelévium	m ɛ n d ɛ l ɛ v ɪ j ʊ m
mene	m e ɲ e
menej	m e ɲ e j
meniny	m e ɲ i n i
meniť	m e ɲ i c
meno	m e n ɔ
menom	m e n ɔ m
menou	m e n ɔ v
menovec	m e n ɔ v e t͡s
menovkýň	m e n ɔ v k iː ɲ
menovkyňa	m e n ɔ v k i ɲ a
menovkyne	m e n ɔ v k i ɲ e
menší	m e n ʃ iː
Menšík	m e n ʃ iː k
menšina	m e n ʃ i n a
menštruácia	m e n ʃ t r u aː t͡s i a
mentalita	m e n t a ʎ i t a
mentálny	m e n t aː l n i
Mentel	m e n c e l
menu	m e n u
menu	m e n u
menu	m e n y
meny	m e n i
meranie	m ɛ r a ɲ i̯ ɛ
Mereš	m e r e ʃ
Mergeš	m e r ɡ e ʃ
Merkúr	m e r k uː r
Merta	m e r t a
Mertan	m e r t a n
mesačník	m e s a t͡ʃ ɲ iː k
mesačný	m e s a t͡ʃ n iː
mesiac	m e s ɪ̯ a t͡s
Mesiac	m ɛ s i̯ a t͡s
mesiačik	m ɛ s i̯ a t͡ʃ i k
Mesík	m e s iː k
mešita	m ɛ ʃ i t a
mestách	m e s t aː x
mešťan	m e ʃ c a n
mešťana	m e ʃ c a n a
mešťania	m e ʃ c a ɲ ɪ̯ a
mestečko	m e s c e t͡ʃ k ɔ
meštiansky	m e ʃ c ɪ̯ a n s k i
mesto	m e s t ɔ
mestský	m e s k iː
méta	m eː t a
metajazyk	m e t a j a z i k
metamorfóza	m ɛ t a m ɔ r f ɔː z a
meteorit	m e t e ɔ r i t
meteorológia	m e t e ɔ r ɔ l ɔː ɡ i a
meter	m e c e r
metla	m e t l a
metlobal	m e t l ɔ b a l
metlobalový	m e t l ɔ b a l ɔ v iː
metro	m e t r ɔ
mexicky	m e k s i t͡s k i
mexický	m e k s i t͡s k iː
Mexiko	m e k s i k ɔ
Mezej	m e z e j
Mezopotámia	m ɛ z ɔ p ɔ t aː m i a
mi	m i
Miami	m a j a m i
Miartuš	m ɪ̯ a r t u ʃ
mias	m i̯ a s
miazga	m ɪ̯ a z ɡ a
miazgový	m ɪ̯ a z ɡ ɔ v iː
miazma	m i a z m a
Mičaň	m i t͡ʃ a ɲ
Mičátek	m i t͡ʃ aː c e k
Miček	m i t͡ʃ e k
Michaela	m i x a e l a
Michal	m i x a l
Michalák	m i x a l aː k
Michalanský	m i x a l a n s k iː
Michalco	m i x a l t͡s ɔ
Michalides	m i x a l i d e s
michalka	m i x a l k a
Michalov	m i x a l ɔ v
Michalovce	m i x a l ɔ v t͡s e
Micheáš	m i x ɛ aː ʃ
Michigan	m i ʃ i ɡ e n
Michna	m i x n a
Michút	m i x uː t
Mičian	m i t͡ʃ ɪ̯ a n
Mičkovic	m i t͡ʃ k ɔ v i t͡s
Mičúch	m i t͡ʃ uː x
Mieč	m ɪ̯ e t͡ʃ
mien	m ɪ̯ e n
mieň	m ɪ̯ e ɲ
mieňa	m ɪ̯ e ɲ a
miene	m ɪ̯ e ɲ e
mier	m ɪ̯ e r
miere	m ɪ̯ e r e
mieri	m ɪ̯ e r i
mierom	m ɪ̯ e r ɔ m
mierou	m ɪ̯ e r ɔ v
mieru	m ɪ̯ e r u
miery	m ɪ̯ e r i
miešačka	m ɪ̯ e ʃ a t͡ʃ k a
mieška	m ɪ̯ e ʃ k a
mieškom	m ɪ̯ e ʃ k ɔ m
miešku	m ɪ̯ e ʃ k u
miešok	m ɪ̯ e ʃ ɔ k
miest	m i̯ e s t
miestenka	m ɪ̯ e s c e n k a
miestnosť	m ɪ̯ e s t n ɔ s c
miesto	m i̯ ɛ s t ɔ
miezd	m i̯ e s t
Migo	m i ɡ ɔ
mih	m i x
Mihál	m i ɦ aː l
Mihálek	m i ɦ aː ʎ e k
Mihálik	m i ɦ aː ʎ i k
mihalnica	m i ɦ a l ɲ i t͡s a
mihmi	m i ɦ m i
Mihok	m i ɦ ɔ k
mihom	m i ɦ ɔ m
mihu	m i ɦ u
mihy	m i ɦ i
Miker	m i k e r
Mikes	m i k e s
Mikeš	m i k e ʃ
Mikláš	m i k l aː ʃ
Mikloš	m i k l ɔ ʃ
Miko	m i k ɔ
Mikolaj	m i k ɔ l a j
Mikovčák	m i k ɔ v t͡ʃ aː k
mikrobus	m i k r ɔ b u s
mikrometer	m i k r ɔ m e c e r
mikrosekunda	m i k r ɔ s e k u n d a
mikroskop	m i k r ɔ s k ɔ p
mikroskopový	m i k r ɔ s k ɔ p ɔ v iː
Mikula	m i k u l a
Mikuláš	m i k u ɫ aː ʃ
Mikulášových	m i k u l aː ʃ ɔ v iː x
Mikulec	m i k u ʎ e t͡s
Mikulík	m i k u ʎ iː k
Mikuš	m i k u ʃ
Mikušovič	m i k u ʃ ɔ v i t͡ʃ
Milada	m i l a d a
Milan	m i ɫ a n
Milanmi	m i l a n m i
Milčo	m i l t͡ʃ ɔ
Milena	m i ʎ e n a
milenca	m i ʎ e n t͡s a
milenec	m i ʎ e ɲ e t͡s
milenecký	m i ʎ e ɲ e t͡s k iː
milénium	m i l eː n i u m
miliarda	m i l i a r d a
miliardtý	m i l i a r tː iː
Milica	m i l i t͡s a
mililiter	m i l i l i t e r
mililitrový	m i ʎ i ʎ i t r ɔ v iː
milión	m i ʎ i ɔː n
miliónty	m i ʎ i ɔː n t i
Milko	m i l k ɔ
Milo	m i l ɔ
Miľo	m i ʎ ɔ
Miloš	m i ɫ ɔ ʃ
Miloslav	m i ɫ ɔ s ɫ a u̯
Miloslava	m i l ɔ s l a v a
milosť	m i l ɔ s c
milôt	m i l u̯ ɔ t
Milota	m i l ɔ t a
milota	m i l ɔ t a
milovať	m i l ɔ v a c
milý	m i l iː
Milý	m i l iː
mimo	m i m ɔ
mimoriadny	m i m ɔ r ɪ̯ a d n i
Mináč	m i n aː t͡ʃ
Minár	m i n aː r
Minárik	m i n aː r i k
Minarovjech	m i n a r ɔ v j e x
minca	m i n t͡s a
Minčič	m i n t͡ʃ i t͡ʃ
mincovňa	m i n t͡s ɔ v ɲ a
mineralógia	m i n e r a l ɔː ɡ i a
Minka	m i n k a
Minko	m i n k ɔ
Minnesota	m i n ɲ e s ɔ t a
Mintál	m i n t aː l
minuloročný	m i n u l ɔ r ɔ t͡ʃ n iː
minúta	m i n uː t a
Mirga	m i r ɡ a
Miriam	m i r i a m
Miriama	m i r i a m a
Miro	m i r ɔ
Miroslav	m i r ɔ s ɫ a u̯
Miroslava	m i r ɔ s l a v a
Mišanko	m i ʃ a n k ɔ
Mišeje	m i ʃ e j e
Mišiak	m i ʃ ɪ̯ a k
Miškech	m i ʃ k e x
Miškovec	m i ʃ k ɔ v ɛ t͡s
Miškovič	m i ʃ k ɔ v i t͡ʃ
Mislovič	m i s l ɔ v i t͡ʃ
Mišovic	m i ʃ ɔ v i t͡s
Mišovie	m i ʃ ɔ v ɪ̯ e
Mississippi	m i s i s i p i
Missouri	m i s u r i
Missouri	m i z u r i
mištička	m i ʃ c i t͡ʃ k a
Mistrík	m i s t r iː k
mišung	m i ʃ u n k
Mišút	m i ʃ uː t
Mitas	m i t a s
Mitka	m i t k a
mitochondria	m i t ɔ x ɔ n d r i a
mitra	m i t r a
Mitro	m i t r ɔ
Mitúch	m i t uː x
Mižigar	m i ʒ i ɡ a r
Mjanmarsko	m j a n m a r s k ɔ
Mlacek	m l a t͡s e k
mláčka	m l aː t͡ʃ k a
mladá	m ɫ a d aː
mláďa	m ɫ aː ɟ a
mláďat	m l aː ɟ a t
mláďatá	m l aː ɟ a t aː
mláďatám	m l aː ɟ a t aː m
mláďatami	m l aː ɟ a t a m i
mláďatko	m ɫ aː ɟ a t k ɔ
mládež	m l aː ɟ e ʃ
mladoň	m l a d ɔ ɲ
mladosť	m l a d ɔ s c
mladoženích	m l a d ɔ ʒ e ɲ iː x
mladoženísi	m l a d ɔ ʒ e ɲ iː s i
mladucha	m l a d u x a
mladý	m l a d iː
Mlaka	m l a k a
mláka	m l aː k a
Mlatec	m l a c e t͡s
mláto	m l aː t ɔ
mlč	m l̩ t͡ʃ
mlčanie	m l̩ t͡ʃ a ɲ ɪ̯ e
mledzivo	m l ɛ d͡z i v ɔ
mliečko	m l i̯ ɛ t͡ʃ k ɔ
mliečny	m ʎ ɪ̯ e t͡ʃ n i
mliekar	m ʎ ɪ̯ e k a r
mlieko	m l i̯ ɛ k ɔ
mĺkvejší	m l̩ː k v e j ʃ iː
mĺkvy	m l̩ː k v i
mlyn	m l i n
Mlynár	m l i n aː r
mlz	m l̩ s
mĺzť	m l̩ː s c
mňa	m ɲ a
mňaukať	m ɲ a u k a c
mních	m ɲ iː x
Mníchov	m ɲ iː x ɔ u̯
mníšik	m ɲ iː ʃ i k
mnoho	m n ɔ ɦ ɔ
mnohouholník	m n ɔ ɦ ɔ u ɦ ɔ l ɲ iː k
mnou	m n ɔ v
množina	m n ɔ ʒ i n a
močiar	m ɔ t͡ʃ ɪ̯ a r
močiť	m ɔ t͡ʃ i c
močový	m ɔ t͡ʃ ɔ v iː
môcť	m u̯ ɔ t͡s c
móda	m ɔː d a
Moder	m ɔ ɟ e r
Móder	m ɔː ɟ e r
modernejší	m ɔ ɟ e r ɲ e j ʃ iː
moderný	m ɔ d e r n iː
modlivka	m ɔ d ʎ i v k a
módny	m ɔː d n i
modrák	m ɔ d r aː k
