Амыщ	aː m ə ɕ
хъыбый	χ ə b ə j
хъыен	χ ə j a n
хъыжъэн	χ ə ʐ a n
хъызмэт	χ ə z m a t
хъыкӏы	χ ə t͡ʃʼ ə
хъырбыдз	χ ə r b ə d͡ʒ
хъырцэ	χ ə r t͡s a
хъытыу	χ ə t ə w
хъыу	χ ə w
хъэ	χ a
хъэбар	χ a b aː r
хъэдз	χ a d͡z
хъэдэн	χ a d a n
хъэн	χ a n
хъэпрашъо	χ a p r aː ʂʷ a
хъэрен	χ a r a j n
хъэхалъэ	χ a x aː ɬ a
хъяр	χ ə j aː r
хъяркӏэ	χ ə j aː r t͡ʃʼ a
хы	x ə
хыбзу	x ə b z ə w
хыблыгу	x ə b l ə ɡʷ ə
хыгъунэ	x ə ʁʷ ə n a
хыгъэхъун	x ə ʁ a χʷ ə n
хыгъэхъунэныкъу	x ə ʁ a χʷ ə n a n ə qʷ ə
хыкум	x ə kʷ ə m
хыкъо	x ə qʷ a
хыкъохъу	x ə qʷ a χʷ
хыкъу	x ə qʷ ə
хыкъумэ	x ə qʷ ə m a
хымацӏ	x ə m aː t͡s
хымэ	x ə m a
хыор	x ə w a r
хырыкӏ	x ə r ə t͡ʃ
хысыдж	x ə s ə d͡ʒ
хытыгъужъ	x ə t ə ʁʷ ə ʐ
хытӏуал	x ə tʷʼ a l
хыуай	x ə w a j
хыуалъэ	x ə w aː ɬ a
хыхьэ	x ə ħ a
хыӏушъо	x ə ʔʷ ə ʃʷ a
хьа	ħ aː
хьабзы	ħ aː b z ə
хьаблыу	ħ aː b l ə w
хьадагъэ	ħ aː d aː ʁ a
хьаджыгъэ	ħ aː d͡ʒ ə ʁ a
хьаджыгъэпс	ħ aː d͡ʒ ə ʁ a p s
хьаджын	ħ aː d͡ʒ ə n
хьадэ	ħ aː d a
хьадэгъу	ħ aː d a ʁʷ
хьадэгъущ	ħ aː d a ʁʷ ə ɕ
хьадэгъущэ	ħ aː d a ʁʷ ə ɕ a
хьадэпчэмыӏу	ħ aː d a p t͡ʃ a m ə ʔʷ
хьазыр	ħ aː z ə r
хьазырын	ħ aː z ə r ə n
хьайнап	ħ a j ə n aː p
хьайнапэ	ħ a j ə n aː p
хьаку	ħ aː kʷ
хьакуако	ħ a kʷ aː kʷ a
хьакъун	ħ aː qʷ ə n
хьакӏэ	ħ aː t͡ʃ a
хьакӏэкъуакӏэ	ħ aː t͡ʃʼ a qʷ aː t͡ʃʼ a
хьакӏэщ	ħ aː t͡ʃʼ a ɕ
хьалжъогъуан	ħ aː l ʐʷ a ʁʷ aː n
хьалы	ħ aː l ə
хьалыгъу	ħ aː l ə ʁʷ
хьалыгъущапӏэ	ħ aː l ə ʁʷ ɕ aː pʼ a
хьалыжъощыхьагъэ	ħ aː l ə ʐʷ a ɕ ə ħ aː ʁ a
хьалэмэт	ħ aː l a m a t
хьамлашкӏу	ħ aː m ɮ aː ʃ kʷʼ
хьамлыу	ħ a m l ə w
хьамплъыжь	ħ aː m p ɬ ə ʑ
хьан	ħ aː n
хьандзу	ħ aː n d͡zʷ ə
хьандзуачӏ	ħ aː n d͡zʷ aː t͡ʃ
хьантхъупсы	ħ aː n t χʷ ə p s ə
хьантыкъуакъу	ħ a n t ə qʷ aː qʷ
хьантӏаркъу	ħ a n t aː r qʷ
хьанцэ	ħ a n t͡s a
хьапкӏ	ħ aː p t͡ʃʼ
хьаплъы	ħ aː p ɬ ə
хьаплъэ	ħ a p ɬ a
хьапщ	ħ a p ɕ
хьарз	ħ a r z
хьарзэ	ħ aː p z a
хьарыпӏ	ħ aː r ə pʼ
хьарыф	ħ aː r ə f
хьасэ	ħ aː s a
хьасэтх	ħ aː s a t x
хьатыр	ħ aː t ə r
хьатыякӏо	ħ aː t ə j aː kʷʼ a
хьау	ħ a w
хьаулый	ħ aː w ə l ə j
хьаумэ	ħ aː w m a
хьацэ	ħ aː t͡s a
хьацэгъуй	ħ aː t͡s a ʁʷ ə j
хьацэпӏацэ	ħ aː t͡s a pʼ aː t͡s a
хьашъо	ħ aː ʂʷ a
хьаӏ	ħ aː ʔ
хьаӏьэ	ħ aː ʔʲ a
хьилэ	ħ ə j l a
хьылъэ	ħ ə ɬ a
хьын	ħ ə n
хьэ	ħ a
хьэб	ħ a b
хьэбадзэ	ħ a b aː d͡z a
хьэбзу	ħ a b z ə w
хьэблыу	ħ a b l ə w
хьэгъошӏыгъу	ħ a ʁʷ a ʃʼ ə ʁʷ
хьэджашъу	ħ a d͡ʒ aː ʂʷ
хьэдэгъу	ħ a d a ʁʷ
хьэдэджадэ	ħ a d a d͡ʒ aː d a
хьэдэкъаз	ħ a d a q aː z
хьэдэпчэмыӏу	ħ a d a p t͡ʃ a m ə ʔʷ
хьэжъ	ħ a ʐ
хьэжъу	ħ a ʐʷ
хьэинап	ħ a j ə n aː p
хьэкуаку	ħ a kʷ aː kʷ
хьэкуку	ħ a kʷ ə kʷ
хьэкъуашъо	ħ a qʷ aː ʃʷ a
хьэкъухъ	ħ a qʷ ə ʐ
хьэкӏапӏэ	ħ a t͡ʃʼ aː pʼ a
хьэкӏутӏэ	ħ a kʷʼ ə tʼ a
хьэлжъо	ħ a l ʐʷ a
хьэлъэбакъо	ħ a ɬ a w b aː q
хьэлъэбакъу	ħ a ɬ a w b aː q
хьэлъэубакъу	ħ a ɬ a w b aː q
хьэлэбэлыкъ	ħ a ɮ a b a ɮ ə q
хьэлэгъу	ħ a l a w
хьэлэгъу	ħ a ɮ a w
хьэмашэ	ħ a m aː ʃ a
хьэнтӏэрэпӏый	ħ a n t a r a p ə j
хьэнцэ	ħ a n t͡s a
хьэнчэмыӏу	ħ a n t͡ʃ a m ə ʔʷ
хьэпс	ħ a p s
хьэпӏацӏэ	ħ a pʼ aː t͡sʼ a
хьэтӏрэпӏый	ħ a t r a p ə j
хьэуарзэ	ħ a w aː r z a
хьэубыт	ħ a w b ə t
хьэцэ	ħ a t͡s a
хьэцэӏукь	ħ a t͡s a ʔʷ ə kʲ
хьэцэӏукӏ	ħ a t͡s a ʔʷ ə t͡ʃ
хьэшхъурэӏу	ħ a ʃ χʷ ə r a ʔʷ
хьэшъобыдз	ħ a ʂʷ a b ə d͡z
хьэшъутыубат	ħ a ʃʷ ə t ə w ə b aː t
хьэят	ħ a j aː t
хьэӏу	ħ a ʔʷ ə
хьэӏуцӏ	ħ a ʔʷ ə t͡sʼ
хэгущыӏэхьан	x a ɡʷ ə ɕ ə ʔ a ħ aː n
хэгъозэн	x a ʁʷ a z a n
хэгъолъхьан	x a ʁʷ a ɬ ħ aː n
хэгъошъхьаӏу	x a ʁʷ a ʂ ħ a ʔʷ
хэгъощэн	x a ʁʷ a ɕ a n
хэгъуашъхьэ	x a ʁʷ aː ʂ ħ a
хэгъэгу	x a ʁ a ɡʷ
хэгъэгэжьын	x a ʁ a n a ʑ ə n
хэгъэдэн	x a ʁ a d a n
хэгъэкӏын	x a ʁ a t͡ʃ ə n
хэгъэон	x a ʁ a w a n
хэгъэхъон	x a ʁ a χʷ a n
хэгъэщын	x a ʁ a ɕ ə n
хэдзын	x a d͡z ə n
хэдэн	x a d a n
хэку	x a kʷ
хэкъутыхьан	x a qʷ ə t ə ħ aː n
хэкъэхьын	x a q a ħ ə n
хэкӏ	x a t͡ʃʼ
хэкӏодыкӏын	x a kʷʼ a d ə t͡ʃʼ ə m
хэкӏодэн	x a ʁʷ a ɕ a n
хэкӏодэхьын	x a kʷʼ a d a ħ ə n
хэкӏон	x a kʷʼ a n
хэкӏотагъ	x a kʷʼ a t aː ʁ
хэкӏутэн	x a kʷʼ ə t a n
хэкӏы	x a t͡ʃʼ ə
хэкӏын	x a kʲʼ ə n
хэкӏын	x a t͡ʃʼ ə n
хэкӏьын	x a kʲʼ ə n
хэкӏьэн	x a kʲʼ a n
хэкӏэн	x a t͡ʃʼ a n
хэлъхьан	x a ɬ ħ aː n
хэлъын	x a ɬ ə n
хэлъэшъон	x a ɬ a ʃʷ a n
хэнэжьын	x a n a ʑ ə n
хэнэн	x a n a n
хэон	x a w a n
хэпкӏьэн	x a p kʲ a n
хэпкӏэн	x a p t͡ʃ a n
хэплъын	x a p ɬ ə n
хэплъэн	x a p ɬ a n
хэпыгьэн	x a p ə ɡʲ a n
хэпыджэн	x a p ə d͡ʒ a n
хэпэзэн	x a p a z a n
хэстыхьан	x a s t ə ħ a n
хэсэн	x a s a n
хэт	x a t
хэтэрыкӏ	x a t a r ə t͡ʃ
хэузыкӏын	x a w z ə t͡ʃ ə n
хэузыкӏьын	x a w z ə kʲ ə n
хэукъон	x a w qʷ a n
хэукӏэхьэн	x a w kʲ a ħ a n
хэупсӏэн	x a w p sʼ a n
хэупцӏэн	x a w p t͡sʼ a n
хэутын	x a w t ə n
хэуцон	x a w t͡sʷ ə n
хэуцон	x a w t͡ʃʷ ə n
хэуӏэн	x a w ʔ a n
хэхъон	x a χʷ a n
хэхын	x a x ə n
хэхьан	x a ħ aː n
хэшъон	x a ʂʷ a n
хэшӏагъ	x a ʃʼ aː ʁ
хэшӏыкӏын	x a ʃʼ ə t͡ʃʼ ə n
хэшӏыкӏьын	x a ʃʼ ə kʲ ə n
хэшӏэн	x a ʃʼ a n
хэщтыхьын	x a q a ħ ə n
хэщыжьын	x a ɕ ə ʑ ə n
хэщын	x a ɕ ə n
хэщэн	x a ɕ a n
хэӏалъ	x a ʔ aː ɬ
хэӏон	x a ʔʷ a n
хэӏуагъ	x a ʔʷ a ʁ
хэӏун	x a ʔʷ ə n
хэӏэбэн	x a ʔ a b a n
хэӏэжьын	x a ʔ a ʑ ə n
цагэ	t͡s aː ɣ a
цадльэ	d͡z aː ʒ a
цадльэ	t͡s aː ɣ a
цако	t͡s aː kʷ a
цакӏьэ	t͡s aː kʲʼ a
цакӏэ	t͡s aː t͡ʃʼ a
цау	t͡s aː w
цацэ	t͡s aː t͡s a
цокъэкӏыхь	t͡ʃʷ a q a kʲʼ ə ħ
цолъын	t͡ʃʷ a ɬ ə n
цохъон	t͡sʷ a χʷ a n
цу	t͡ʃʷ ə
цуабзэ	t͡sʷ aː b z a
цуакъо	t͡sʷ aː qʷ a
цуакъэ	t͡sʷ aː q a
цугу	t͡sʷ ə ɡʷ
цугу	t͡ʃʷ ə ɡʷ
цужъ	t͡sʷ ə ʐ
цуманэ	t͡sʷ ə m aː n
цумпэ	t͡sʷ ə m p a
цумпэ	t͡ʃʷ ə m p a
цумпэӏэрыс	t͡sʷ ə m p a ʔ a r ə s
цумпэӏэрыс	t͡ʃʷ ə m p a ʔ a r ə s
цунды	t͡sʷ ə n d ə
цунтхъэн	t͡ʃʷ ə n t χ a n
цуэкъокӏэхь	t͡sʷ a qʷ a kʲʼ a ħ
цуэкъокӏэхь	t͡sʷ a qʷ a t͡ʃʼ a ħ
цуэкъокӏэхь	t͡ʃʷ a qʷ a kʲʼ a ħ
цуэкъокӏэхь	t͡ʃʷ a qʷ a t͡ʃʼ a ħ
цуӏ	t͡ʃʷ ə ʔ
цы	t͡s ə
цыгъо	t͡s ə ʁʷ a
цыгъон	t͡s ə ʁʷ a n
цыгьан	t͡s ə ɡʲ aː n
цыджанэ	t͡s ə d͡ʒ aː n a
цые	t͡s ə j a
цыз	t͡s ə z
цызэ	t͡s ə z a
цыпэ	t͡s ə p a
цыулэ	t͡s ə w l a
цыхьэ	t͡s ə ħ a
цыхьэмышӏ	t͡sʼ ə ħ a m ə ʃʼ
цэ	t͡s a
цэкъэн	t͡s a q a n
цэлъэкӏ	t͡s a ɬ a t͡ʃ
цэлъэкӏалъэ	t͡s a ɬ a t͡ʃʼ aː ɬ a
цэлы	t͡s a l ə
цэф	t͡s a f
цэхь	t͡s a ħ
цӏакӏэ	t͡sʼ aː t͡ʃ a
цӏапӏэ	t͡sʼ aː pʼ a
цӏашъутэ	t͡sʼ aː ʃʷ t a
цӏуцӏэ	ʃʷʼ ə sʼ a
цӏуцӏэ	ʃʷʼ ə t͡sʼ a
цӏы	t͡sʼ ə
цӏыкӏужъый	t͡sʼ ə kʷʼ ə ʐ ə j
цӏыкӏуинтӏэ	t͡sʼ ə kʷʼ ə j n tʼ a
цӏыкӏунау	t͡sʼ ə kʷʼ ə n aː w
цӏын	t͡sʼ ə n
цӏынэ	t sʼ ə n a
цӏыон	t͡sʼ ə w a n
цӏыотэн	t͡sʼ ə w a t a n
цӏыун	t͡sʼ ə w ə n
цӏыфхэ	t͡sʼ ə f x a
цӏыфы	t͡sʼ ə f ə
цӏыфыгъэ	t͡sʼ ə f ə ʁ a
цӏыфышъхьэ	t͡sʼ ə f ə ʂ ħ a
цӏыцӏын	t͡sʼ ə t͡sʼ ə n
цӏыӏргъ	t s ə ʔ r ʁ
цӏэ	t͡sʼ a
цӏэжьын	t͡sʼ a ʑ ə n
цӏэлъэн	t͡sʼ a ɬ a n
цӏэлэн	t͡sʼ a l a n
цӏэнлъэн	t͡sʼ a ɬ a n
цӏэпапкӏ	t͡sʼ a p aː p t͡ʃʼ
цӏэпӏэжъ	t͡sʼ a pʼ a ʐ
цӏэрыӏу	t͡sʼ a r ə ʔʷ
цӏэтхъун	t͡sʼ a t χʷ ə n
цӏэтхъын	t͡sʼ a t χ ə n
цӏэтхын	t͡sʼ a t x ə n
цӏэцӏэн	t͡sʼ a t͡sʼ a n
цӏэшъутэн	t͡sʼ a ʃʷ t a n
чабэ	t͡ʃ aː b a
чан	t͡ʃ aː n
чап	t͡ʃ aː p
чатэ	t͡ʃ aː t a
чхыӏан	t͡ʃ x ə ʔ aː n
чъохъон	t͡ʃʷ a χʷ a n
чъу	t͡ʃʷ ə
чъуакъо	t͡ʃʷ aː qʷ a
чъужъ	t͡ʃʷ ə ʐ
чъуман	t͡ʃʷ ə m aː n
чъыг	t ʂ ə ɣ
чъыгай	t ʂ ə ɣ aː j
чъыглэныстэ	t ʂ ə ɣ l a n ə s t a
чъыгу	t͡ʃʼ ə ɡʷ ə
чъыгхатэ	t͡ʂ ə ɣ x aː t a
чъыгшъхьацыз	t͡ʃ ə ɣ ʂ ħ aː t͡ʃ ə z
чъыгы	t͡ʂ ə ɣ ə
чъыгыпкъы	t͡ʂ ə ɣ ə p q ə
чъыгышъхьэцыз	t͡ʂ ə ɣ ə ʂ ħ a t͡s ə z
чъые	t͡ʂ ə j a
чъыен	t͡ʂ ə j a n
чъын	t͡ʂ ə n
чъыяпӏэ	t͡ʂ ə j aː pʼ a
чъыӏалӏэ	t͡ʂ ə ʔ aː ɬʼ a
чъыӏаӏо	t͡ʂ ə ʔ aː ʔʷ a
чъыӏыхэн	t͡ʂ ə ʔ ə x a n
чъыӏэ	t͡ʂ ə ʔ a
чъэкӏыгъэ	t͡ʂ a t͡ʃʼ ə ʁ a
чъэн	t ʂ a n
чъэныр	t͡ʃ a n ə r
чъэпыогъумаз	t͡ʂ a p ə w a ʁʷ ə m aː z
чъэхъун	t͡ʂ a χʷ ə n
чы	t͡ʃ ə
чыдан	t͡ʃ ə d aː n
чыжьэ	t͡ʃ ə ʑ a
чыжьэу	t͡ʃ ə ʑ a w
чызмэ	t͡ʃ ə z m a
чый	t͡ʃ ə j
чылапхъ	t͡ʃ ə l aː p χ
чылмэ	t͡ʃ ə l m a
чылыс	t͡ʃ ə ɮ ə s
чылысы	t͡ʃ ə l ə s ə
чылэ	t͡ʃ ə l a
чылэ	t͡ʃ ə ɮ a
чылэгъу	t͡ʃ ə ɮ a ʁʷ
чылэдэс	t͡ʃ ə ɮ a d a s
чынасыу	t͡ʃ ə n aː s ə w
чырбыч	t͡ʃ ə r b ə t͡ʃ
чырбыщ	t͡ʃ ə r b ə ɕ
чыфыт	t͡ʃ ə f ə t
чыян	t͡ʃ ə j aː a n
чыӏу	t͡ʃʼ ə ʔʷ
чыӏун	t͡ʃ ə ʔʷ ə n
чыӏхэн	t͡ʃ ə ʔ x a n
чэ	t͡ʃ a
чэгый	t͡ʃ a ɣ ə j
чэзыу	t͡ʃ a z ə w
чэкӏошъыкӏын	t͡ʃ a kʷʼ a ʂ ə kʲ ə n
чэл	t͡ʃ a l
чэм	t͡ʃ a m
чэмахъо	t͡ʃ a m aː χʷ a
чэмы	t͡ʃ a m ə
чэмыбгъэ	t͡ʃ a m ə b ʁ a
чэмыл	t͡ʃ a m ə l
чэмышъо	t͡ʃ a m ə ʃʷ a
чэмыӏо	t͡ʃ a m ə ʔʷ a
чэмэдан	t͡ʃ a m a d aː n
чэн	t͡ʃ a n
чэндж	t͡ʃ a n d͡ʒ
чэпзэхэогъу	t͡ʃ a p z a x a w a ʁʷ
чэркэс	t͡ʃ a r k a s
чэрэгъун	t͡ʃ a r a ʁʷ ə n
чэрэз	t͡ʃ a r a z
чэрэзын	t͡ʃ a r a z ə n
чэрэуан	k a r a w aː n
чэсэй	t͡ʃ a s a j
чэтапэ	t͡ʃ a t aː p a
чэтжъые	t͡ʃʼ a t ʐ ə j
чэтхъэн	t͡ʃʼ a t χ a n
чэты	t͡ʃ a t ə
чэтыл	t͡ʃ a t ə l
чэтыу	t͡ʃ a t ə w
чэтышх	t͡ʃ a t ə ʃ x
чэу	t͡ʃʼ a w
чэупчъэ	t͡ʃ a w ə p t͡ʂ a
чэфы	t͡ʃ a f ə
чэфын	t͡ʃ a f ə n
чэфынчъэ	t͡ʃ a f ə n t͡ʂ a
чэфынчъэн	t͡ʃ a f ə n t͡ʂ a n
чэфыныпхъ	t͡ʃ a f ə n ə p χ
чэщ	t͡ʃ a ɕ
чэщдэс	t͡ʃ a ɕ d a s
чэщныкъо	t͡ʃ a ɕ ə n ə qʷ a
чэщтао	t͡ʃ a ɕ t aː w a
чэщтеу	t͡ʃ a ɕ t a j w
чэщы	t͡ʃ a ɕ ə
чэщыбзыу	t͡ʃ a ʃ ə b s ə w
чӏитхъун	t͡ʃʼ ə j t χʷ ə n
чӏы	t͡ʂʼ ə
чӏыбгъэ	ħ aː s a t x
чӏыбжь	t͡ʃ ə b ʑ
чӏыбзу	t͡ʃ ə b z ə w
чӏыгу	t͡ʃʼ ə ɡʷ ə
чӏыгъыкӏэлъыбз	t͡ʃ ə ʁ ə t͡ʃ a ɬ ə b z
чӏыдагъ	t͡ʃ ə d aː ʁ
чӏыкъу	t͡ʃ ə qʷ
чӏыкӏухьныкъу	t͡ʃ ə kʷ ə ħ n ə qʷ
чӏылъ	t͡ʃʼ ə ɬ
чӏылъэ	t͡ʃʼ ə ɬ a
чӏылъэныкъу	t͡ʃ ə ɬ a n ə qʷ
чӏылъэтеплъ	t͡ʃ ə ɬ a t a j p ɬ
чӏымэтх	t͡ʃ ə m a t x
чӏыопс	t͡ʃ ə w a p s
чӏыплъ	t͡ʃ ə p ɬ
чӏыпӏалъэ	t͡ʂʼ ə pʼ aː ɬ a
чӏыпӏэ	t͡ʂʼ ə pʼ a
чӏыпӏэрыс	t͡ʂʼ ə pʼ a r ə s
чӏыр	t͡ʃʼ ə r
чӏырыгъыс	t͡ʃʼ ə r ə ʁ ə s
чӏырыкӏу	t͡ʃ ə r ə kʷ
чӏытхъыцэхэр	t͡ʃ ə t χ ə t͡s a x a r
чӏыунэ	w n aː ʂ ħ a
чӏыфэ	t͡ʂʼ ə f a
чӏышъутын	t͡ʂʼ ə ʃʷ t ə n
чӏэ	t͡ʃʼ a
чӏэбын	t͡ʂʼ a b ə n
чӏэгъолъхьан	t͡ʃʼ a ʁʷ a ɬ ħ aː n
чӏэгъэкӏын	t͡ʂʼ a ʁ a t͡ʃʼ ə n
чӏэгъэсӏэн	t͡ʃʼ a ʁ a sʼ a n
чӏэгъэцӏэн	t͡ʂʼ a t͡sʼ a n
чӏэкӏын	t͡ʂʼ a t͡ʃʼ ə n
чӏэкӏьын	t͡ʂʼ a kʼ ə n
чӏэлъхьан	t͡ʂʼ a ɬ ħ a n
чӏэлъэтыкӏьын	t͡ʃʼ a ɬ a t ə kʲ ə n
чӏэн	t͡ʃʼ a n
чӏэнэн	t͡ʃ a n a n
чӏэрэп	t͡ʂʼ a r a p
чӏэсэн	t͡ʂʼ a s a n
чӏэсӏэн	t͡ʃʼ a sʼ a n
чӏэтэкъун	t͡ʂʼ a t a qʷ ə n
чӏэухъубэн	t͡ʂʼ a w χʷ ə b a n
чӏэухъумэ	t͡ʂʼ a w χʷ ə m a
чӏэухъумэн	t͡ʂʼ a w χʷ ə m a n
чӏэхьан	t͡ʂʼ ə ħ a n
чӏэхьапкӏэ	t͡ʃʼ a ħ aː p t͡ʃ a
чӏэцӏэн	t͡ʂʼ a t͡sʼ a n
чӏэшъутын	t͡ʂʼ a ʃʷ t ə n
чӏэщыкӏьын	t ʂ a ɕ ə kʼ ə n
чӏэӏотыкӏын	t͡ʂʼ a ʔʷ a t ə t͡ʃʼ ə n
чӏэӏотыкӏьын	t͡ʂʼ a ʔʷ a t ə kʲʼ ə n
шакӏо	ʃ aː kʷʼ a
шамгьэн	ʃ a m ɡʲ a n
шамйэ	ʃ aː m j a
шапсыгъэбзэ	ʃ a p s ə ʁ a b z a
шапхъэ	ʃ aː p χ a
шашыф	ʃ aː ʃ ə f
шкӏэ	ʃ kʼ a
штэ	ɕ t a
штэн	ʃ t a n
шу	ʃ ə w
шхапӏэ	ʃ x aː pʼ a
шхъогъон	ʃ χʷ a ʁʷ a n
шхъомч	ʃ χʷ a m t͡ʃ
шхъуантӏэ	ʃ χʷ aː n tʼ a
шхъуатӏэ	ʃ χʷ aː tʼ a
шхэкӏын	ʃ x a t͡ʃʼ ə n
шхэн	ʃ x a n
шъабэ	ʂ aː b a
шъагъэ	ʂ aː ʁ a
шъао	ʂ aː w a
шъо	ʃʷ a
шъоблыр	ʃʷ a b ɮ ə r
шъоджан	ʃʷ a d͡ʒ aː n
шъодэны	ʃʷ a d ə n ə
шъойцый	ʃʷ a j t͡s ə j
шъомпӏэжъ	ʃʷ a m pʼ a ʐ
шъоны	ʃʷ a n ə
шъорышӏ	ʃʷ a r ə ʃʼ
шъорышӏын	ʃʷ a r ə ʃʼ ə n
шъотехьэтекӏ	ʂʷ a t a j ħ a t a j t͡ʃ
шъотэгын	ʂʷ a t a ɣ ə n
шъоу	ʂʷ a w
шъоуалъэ	ʃʷ a w aː ɬ a
шъоущыгъу	ʃʷ a w ɕ ə ʁʷ
шъофбзыу	ʂʷ a f b z ə w
шъофы	ʂʷ a f ə
шъохътан	ʃʷ a χ t aː n
шъуабгъо	ʃʷ aː b ʁʷ aː
шъуаджэ	ʃʷ aː d͡ʒ a
шъуае	ʂʷ aː j a
шъуакӏо	ʂʷ aː kʷʼ a
шъуалъэ	ʂʷ aː ɬ a
шъуамбгъо	ʂʷ aː m b ʁʷ aː
шъуампӏэ	ʃʷʼ aː m pʼ a
шъуапэ	ʂʷ aː p a
шъуапӏэ	ʃʷʼ aː pʼ a
шъуатэ	ʃʷ aː t a
шъуашэ	ʃʷ aː ʃ a
шъугъон	ʃʷ ʁʷ a n
шъугъун	ʃʷ ə ʁʷ ə n
шъуен	ʃʷ ə j a n
шъуз	ʂʷ ə z ə
шъузабэ	ʃʷ ə z aː b a
шъуил	ʃʷ ə j aː ɮ
шъуин	ʃʷ ə j a n
шъун	ʃʷ ə n
шъуты	ʃʷ ə t ə
шъутыгъуанэ	ʃʷ ə t ə ʁʷ aː n a
шъутыжъ	ʃʷ ə t ə ʐ
шъутыпашъо	ʃʷ ə t ə p aː ʃʷ a
шъутыпсӏэ	ʃʷ ə t ə p sʼ a
шъутыпцӏэ	ʃʷ ə t ə p sʼ a
шъутырын	ʃʷ ə t ə r a n
шъутырэхьын	ʃʷ ə t ə r a ħ ə n
шъухъогъон	ʃʷ ə χʷ a ʁʷ a n
шъуял	ʃʷ ə j aː ɮ
шъуялъэ	ʃʷ ə j aː ɬ a
шъхъэи	ʂ ħ a j ə
шъхьадж	ʂ ħ aː d͡ʒ
шъхьадэхьан	ʂ ħ aː d a ħ aː n n
шъхьае	ʂ ħ aː j a
шъхьакӏо	ʂ ħ aː kʷʼ a
шъхьакӏун	ʂ ħ aː kʷʼ ə n
шъхьакӏэ	ʂ ħ aː t͡ʃʼ a
шъхьалы	ʂ ħ aː l ə
шъхьангъупчъэ	ʂ ħ aː n ʁʷ ə p t ʂ a
шъхьанд	ʂ ħ aː n d
шъхьантэ	ʂ ħ aː n t a
шъхьапсӏэ	ʂ ħ aː p t͡sʼ a
шъхьапцӏэ	ʂ ħ aː p t͡sʼ a
шъхьарыгущыӏ	ʂ ħ aː r ə ɡʷ ə ɕ ə ʔ
шъхьарыхъон	ʂ ə ħ aː r ə χʷ a n
шъхьас	ʂ ħ aː s
шъхьасын	ʂ ħ aː s ə n
шъхьатэ	ʂ ħ aː t a
шъхьафы	ʂ ħ aː f ə
шъхьахын	ʂ ħ aː x ə n
шъхьацы	ʂ ħ aː t͡s ə
шъхьацышъо	ʂ ħ aː t͡s ə ʃʷ a
шъхьач	ʂ ħ aː t͡ʃ
шъхьашыгу	ʂ ħ aː ʃ ə ɡʷ
шъхьэ	ʂ ħ a
шъхьэатынгъэ	ʂ ħ a ʔ aː t ə n ʁ a
шъхьэгъусэ	ʂ ħ a ʁʷ ə s a
шъхьэгьашъу	ʂ ħ a ɡʲ aː ʃʷ
шъхьэджашъу	ʂ ħ a d͡ʒ aː ʃʷ
шъхьэкъуй	ʂ ħ a qʷ ə j
шъхьэкӏафэ	ʂ ħ a t͡ʃʼ aː f a
шъхьэкӏьэ	ʂ ħ a kʲʼ a
шъхьэкӏэфэныгъ	ʂ ħ a t͡ʃʼ a f a n ə ʁ
шъхьэмажьэ	ʂ ħ a m aː ʑ a
шъхьэнгъупчъэ	ʂ ħ a n ʁʷ ə p t ʂ a
шъхьэныкъо	ʂ ħ a n ə qʷ a
шъхьэпай	ʂ ħ a p aː j
шъхьэпразэ	ʂ ħ a p r aː z a
шъхьэпылъапӏэ	ʂ ħ a p ə ɬ aː pʼ a
шъхьэпэкӏын	ʂ ħ a p a t͡ʃʼ ə n
шъхьэпэкӏьын	ʂ ħ a p a kʲʼ ə n
шъхьэталъхьэ	ʂ ħ a t aː ɬ ħ a
шъхьэтелъхьэ	ʂ ħ a t a j ɬ ħ a
шъхьэтепхъу	ʂ ħ a t a j p χʷ
шъхьэтехъу	ʂ ħ a t a j χʷ
шъхьэубат	ʂ ħ a w b aː t
шъхьэубэтагъ	ʂ ħ a w b aː t
шъхьэузы	ʂ ħ a w ə z ə
шъхьэукъэн	ʂ ħ a w q a n
шъхьэфэшӏужь	ʂ ħ a f a ʃʷʼ ə ʑ
шъхьэхъу	ʂ ħ a χʷ
шъхьэц	ʂ ħ a t͡s
шъхьэщытхъужь	ʂ ħ a ɕ ə t ə χ ə ʑ
шъхьэӏатынгъэ	ʂ ħ a ʔ aː t ə n ʁ a
шъхьэӏужъу	ʂ ħ a ʔʷ ə ʐʷ
шъхьэӏух	ʂ ħ a ʔʷ ə x
шъыбын	ʂ ə b ə n
шъыгъо	ʂ ə ʁʷ a
шъыд	ʂ ə d
шъыда	ʂ ə d aː
шъыдгъо	ʂ ə d ʁʷ a
шъыдигъо	ʂ ə d ʁʷ a
шъыдэу	ʂ ə d a w
шъыкӏэ	ʂ ə kʲ a
шъынэ	ʂ ə n a
шъыпкъэ	ʂ ə p q a
шъыпкъэмкӏэ	ʂ ə p q a m t͡ʃʼ a
шъыпкъэу	ʂ ə p q a w
шъырыт	ʂ ə r ə t
шъыхь	ʂ ə ħ
шъыхьэ	ʂ ə ħ a
шъэ	ʂ a
шъэгьашъ	ʂ a ɡʲ aː ʂ
шъэджашъ	ʂ a d͡ʒ aː ʂ
шъэджэшъэжъ	ʂ a d͡ʒ aː ʂ ə ʐ
шъэжъые	ʂ a ʐ ə j a
шъэжъыяц	ʂ a ʐ ə j aː t͡s
шъэн	ʂ a n
шъэнэкъо	ʂ a n a qʷ a
