Abae	aː b e
līquerēre	l i kʷ e r ɛː r e
līquerēris	l i kʷ e r ɛː r i s
līquerētur	l i kʷ e r ɛː t u r
līquerīmus	l i kʷ e r iː m u s
līquerītis	l i kʷ e r iː t i s
līquerō	l iː kʷ e r o
līquier	l iː kʷ i e r
līquiminī	l i kʷ iː m i n i
līquimur	l iː kʷ i m u r
līquimus	l iː kʷ i m u s
līquisse	l i kʷ i s s e
līquissem	l i kʷ i s s e m
līquissent	l i kʷ i s s e n t
līquisset	l i kʷ i s s e t
līquissēmus	l i kʷ i s s ɛː m u s
līquissēs	l i kʷ i s s e s
līquissētis	l i kʷ i s s ɛː t i s
līquistis	l i kʷ i s t i s
līquistī	l i kʷ i s t i
līquit	l iː kʷ i t
līquitor	l iː kʷ i t o r
līquitur	l iː kʷ i t u r
līquor	l iː kʷ o r
līquuntor	l i kʷ u n t o r
līquuntur	l i kʷ u n t u r
līquāminī	l i kʷ aː m i n i
līquāmur	l i kʷ aː m u r
līquāre	l i kʷ aː r e
līquāris	l i kʷ aː r i s
līquātur	l i kʷ aː t u r
līquēbantur	l i kʷ e b a n t u r
līquēbar	l i kʷ ɛː b a r
līquēbāminī	l i kʷ e b aː m i n i
līquēbāmur	l i kʷ e b aː m u r
līquēbāre	l i kʷ e b aː r e
līquēbāris	l i kʷ e b aː r i s
līquēbātur	l i kʷ e b aː t u r
līquēminī	l i kʷ ɛː m i n i
līquēmur	l i kʷ ɛː m u r
līquēns	l iː kʷ e n s
līquēre	l i kʷ ɛː r e
līquērunt	l i kʷ ɛː r u n t
līquētur	l i kʷ ɛː t u r
līquī	l iː kʷ i
lītera	l iː t e r a
lītigandō	l i t i ɡ a n d o
lītigante	l i t i ɡ a n t e
lītigantēs	l i t i ɡ a n t e s
lītigantī	l i t i ɡ a n t i
lītigantō	l i t i ɡ a n t o
lītigem	l iː t i d͡ʒ e m
lītiger	l iː t i d͡ʒ e r
lītigiōsa	l i t i d͡ʒ i ɔː s̬ a
lītigiōse	l i t i d͡ʒ i ɔː s̬ e
lītigiōsās	l i t i d͡ʒ i ɔː s̬ a s
lītigiōsī	l i t i d͡ʒ i ɔː s̬ i
lītigiōsō	l i t i d͡ʒ i ɔː s̬ o
lītigiōsōs	l i t i d͡ʒ i ɔː s̬ o s
lītigor	l iː t i ɡ o r
lītigā	l iː t i ɡ a
lītigārem	l i t i ɡ aː r e m
lītigārās	l i t i ɡ aː r a s
lītigārēs	l i t i ɡ aː r e s
lītigās	l iː t i ɡ a s
lītigāsse	l i t i ɡ a s s e
lītigāssem	l i t i ɡ a s s e m
lītigāssēs	l i t i ɡ a s s e s
lītigāta	l i t i ɡ aː t a
lītigāte	l i t i ɡ aː t e
lītigātis	l i t i ɡ aː t i s
lītigātī	l i t i ɡ aː t i
lītigātīs	l i t i ɡ aː t i s
lītigātō	l i t i ɡ aː t o
lītigāverimus	l i t i ɡ a v e r iː m u s
lītigāverimus	l i t i ɡ a v ɛː r i m u s
lītigāveris	l i t i ɡ aː v e r i s
lītigāveritis	l i t i ɡ a v e r iː t i s
lītigāveritis	l i t i ɡ a v ɛː r i t i s
lītigēs	l iː t i d͡ʒ e s
lītus	l iː t u s
lītī	l iː t i
līvida	l iː v i d a
līvidae	l iː v i d e
līvidam	l iː v i d a m
līvide	l iː v i d e
līvidissime	l i v i d i s s i m e
līvidius	l i v iː d i u s
līvidum	l iː v i d u m
līvidārum	l i v i d aː r u m
līvidās	l iː v i d a s
līvidē	l iː v i d e
līvidī	l iː v i d i
līvidīs	l iː v i d i s
līvidō	l iː v i d o
līvidōrum	l i v i d ɔː r u m
līvidōs	l iː v i d o s
līvērī	l i v ɛː r i
līvōrī	l i v ɔː r i
līāre	l i aː r e
lōripede	l o r iː p e d e
lōripedem	l o r iː p e d e m
lōripedia	l o r i p ɛː d i a
lōripedibus	l o r i p ɛː d i b u s
lōripedis	l o r iː p e d i s
lōripedium	l o r i p ɛː d i u m
lōripedēs	l o r iː p e d e s
lōripedī	l o r iː p e d i
lōrārie	l o r aː r i e
lōrārium	l o r aː r i u m
lōrāriī	l o r aː r i i
lōrāriīs	l o r aː r i i s
lōrāriō	l o r aː r i o
lōrāriōrum	l o r a r i ɔː r u m
lōrāriōs	l o r aː r i o s
lōrārī	l o r aː r i
lōrētum	l o r ɛː t u m
lōrīca	l o r iː k a
lōrīcā	l o r iː k a
lōrīcās	l o r iː k a s
lōrīcāte	l o r i k aː t e
lōrīcātis	l o r i k aː t i s
lōrīcātus	l o r i k aː t u s
lōrīcātīs	l o r i k aː t i s
lōrīcātō	l o r i k aː t o
lōrīcāvit	l o r i k aː v i t
lōtrīce	l o t r iː t͡ʃ e
lōtus	l ɔː t u s
lōtī	l ɔː t i
lōtō	l ɔː t o
lōtūra	l o t uː r a
lōtūrae	l o t uː r e
lōtūram	l o t uː r a m
lōtūre	l o t uː r e
lōtūrum	l o t uː r u m
lōtūrus	l o t uː r u s
lōtūrā	l o t uː r a
lōtūrārum	l o t u r aː r u m
lōtūrās	l o t uː r a s
lōtūrī	l o t uː r i
lōtūrīs	l o t uː r i s
lōtūrō	l o t uː r o
lōtūrōrum	l o t u r ɔː r u m
lōtūrōs	l o t uː r o s
lūbricat	l uː b r i k a t
lūbricāte	l u b r i k aː t e
lūbricō	l uː b r i k o
lūce	l uː t͡ʃ e
lūceam	l uː t͡ʃ e a m
lūceant	l uː t͡ʃ e a n t
lūceantur	l u t͡ʃ e a n t u r
lūcear	l uː t͡ʃ e a r
lūceat	l uː t͡ʃ e a t
lūcem	l uː t͡ʃ e m
lūcenda	l u t͡ʃ ɛ n d a
lūcendae	l u t͡ʃ ɛ n d e
lūcendam	l u t͡ʃ ɛ n d a m
lūcende	l u t͡ʃ ɛ n d e
lūcendum	l u t͡ʃ ɛ n d u m
lūcendā	l u t͡ʃ ɛ n d a
lūcendārum	l u t͡ʃ e n d aː r u m
lūcendās	l u t͡ʃ ɛ n d a s
lūcendī	l u t͡ʃ ɛ n d i
lūcendīs	l u t͡ʃ ɛ n d i s
lūcendō	l u t͡ʃ ɛ n d o
lūcendōrum	l u t͡ʃ e n d ɔː r u m
lūcendōs	l u t͡ʃ ɛ n d o s
lūcent	l uː t͡ʃ e n t
lūcente	l u t͡ʃ ɛ n t e
lūcentem	l u t͡ʃ ɛ n t e m
lūcentia	l u t͡ʃ ɛ n t͡s i a
lūcentibus	l u t͡ʃ ɛ n t i b u s
lūcentis	l u t͡ʃ ɛ n t i s
lūcentium	l u t͡ʃ ɛ n t͡s i u m
lūcentor	l u t͡ʃ ɛ n t o r
lūcentur	l u t͡ʃ ɛ n t u r
lūcentēs	l u t͡ʃ ɛ n t e s
lūcentī	l u t͡ʃ ɛ n t i
lūcentīs	l u t͡ʃ ɛ n t i s
lūcentō	l u t͡ʃ ɛ n t o
lūceor	l uː t͡ʃ e o r
lūcet	l uː t͡ʃ e t
lūceāminī	l u t͡ʃ e aː m i n i
lūceāmur	l u t͡ʃ e aː m u r
lūceāmus	l u t͡ʃ e aː m u s
lūceāre	l u t͡ʃ e aː r e
lūceāris	l u t͡ʃ e aː r i s
lūceās	l uː t͡ʃ e a s
lūceātis	l u t͡ʃ e aː t i s
lūceātur	l u t͡ʃ e aː t u r
lūcibilis	l u t͡ʃ iː b i l i s
lūcibus	l uː t͡ʃ i b u s
lūcidō	l uː t͡ʃ i d o
lūcis	l uː t͡ʃ i s
lūciī	l uː t͡ʃ i i
lūctificō	l u k t iː f i k o
lūctus	l u k t u s
lūcum	l uː k u m
lūcē	l uː t͡ʃ e
lūcēbam	l u t͡ʃ ɛː b a m
lūcēbant	l u t͡ʃ ɛː b a n t
lūcēbantur	l u t͡ʃ e b a n t u r
lūcēbar	l u t͡ʃ ɛː b a r
lūcēbat	l u t͡ʃ ɛː b a t
lūcēbere	l u t͡ʃ ɛː b e r e
lūcēberis	l u t͡ʃ ɛː b e r i s
lūcēbiminī	l u t͡ʃ e b iː m i n i
lūcēbimur	l u t͡ʃ ɛː b i m u r
lūcēbimus	l u t͡ʃ ɛː b i m u s
lūcēbis	l u t͡ʃ ɛː b i s
lūcēbit	l u t͡ʃ ɛː b i t
lūcēbitis	l u t͡ʃ ɛː b i t i s
lūcēbitur	l u t͡ʃ ɛː b i t u r
lūcēbor	l u t͡ʃ ɛː b o r
lūcēbunt	l u t͡ʃ ɛː b u n t
lūcēbuntur	l u t͡ʃ e b u n t u r
lūcēbāminī	l u t͡ʃ e b aː m i n i
lūcēbāmur	l u t͡ʃ e b aː m u r
lūcēbāmus	l u t͡ʃ e b aː m u s
lūcēbāre	l u t͡ʃ e b aː r e
lūcēbāris	l u t͡ʃ e b aː r i s
lūcēbās	l u t͡ʃ ɛː b a s
lūcēbātis	l u t͡ʃ e b aː t i s
lūcēbātur	l u t͡ʃ e b aː t u r
lūcēbō	l u t͡ʃ ɛː b o
lūcēminī	l u t͡ʃ ɛː m i n i
lūcēmur	l u t͡ʃ ɛː m u r
lūcēmus	l u t͡ʃ ɛː m u s
lūcēre	l u t͡ʃ ɛː r e
lūcērem	l u t͡ʃ ɛː r e m
lūcērent	l u t͡ʃ ɛː r e n t
lūcērentur	l u t͡ʃ e r ɛ n t u r
lūcērer	l u t͡ʃ ɛː r e r
lūcēret	l u t͡ʃ ɛː r e t
lūcēris	l u t͡ʃ ɛː r i s
lūcērēminī	l u t͡ʃ e r ɛː m i n i
lūcērēmur	l u t͡ʃ e r ɛː m u r
lūcērēmus	l u t͡ʃ e r ɛː m u s
lūcērēre	l u t͡ʃ e r ɛː r e
lūcērēris	l u t͡ʃ e r ɛː r i s
lūcērēs	l u t͡ʃ ɛː r e s
lūcērētis	l u t͡ʃ e r ɛː t i s
lūcērētur	l u t͡ʃ e r ɛː t u r
lūcērī	l u t͡ʃ ɛː r i
lūcēs	l uː t͡ʃ e s
lūcēte	l u t͡ʃ ɛː t e
lūcētis	l u t͡ʃ ɛː t i s
lūcētor	l u t͡ʃ ɛː t o r
lūcētur	l u t͡ʃ ɛː t u r
lūcētō	l u t͡ʃ ɛː t o
lūcētōte	l u t͡ʃ e t ɔː t e
lūcī	l uː t͡ʃ i
lūcīs	l uː t͡ʃ i s
lūcīscō	l u t͡ʃ i s k o
lūcō	l uː k o
lūcōrum	l u k ɔː r u m
lūcōs	l uː k o s
lūdicrus	l uː d i k r u s
lūdificandō	l u d i f i k a n d o
lūdificā	l u d iː f i k a
lūdificārem	l u d i f i k aː r e m
lūdificārās	l u d i f i k aː r a s
lūdificārēs	l u d i f i k aː r e s
lūdificās	l u d iː f i k a s
lūdificāsse	l u d i f i k a s s e
lūdificāssem	l u d i f i k a s s e m
lūdificāssēs	l u d i f i k a s s e s
lūdō	l uː d o
lūgubre	l uː ɡ u b r e
lūmināre	l u m i n aː r e
lūminātor	l u m i n aː t o r
lūnae	l uː n e
lūnam	l uː n a m
lūnārum	l u n aː r u m
lūnārēs	l u n aː r e s
lūnās	l uː n a s
lūnēs	l uː n e s
lūnīs	l uː n i s
lūnō	l uː n o
lūrīca	l u r iː k a
lūstrāmina	l u s t r aː m i n a
lūstrāmine	l u s t r aː m i n e
lūstrāminibus	l u s t r a m iː n i b u s
lūstrāminis	l u s t r aː m i n i s
lūstrāminum	l u s t r aː m i n u m
lūstrātis	l u s t r aː t i s
lūstrātīs	l u s t r aː t i s
lūstrāverimus	l u s t r a v e r iː m u s
lūstrāverimus	l u s t r a v ɛː r i m u s
lūstrāveris	l u s t r aː v e r i s
lūstrāveritis	l u s t r a v e r iː t i s
lūstrāveritis	l u s t r a v ɛː r i t i s
lūstrō	l u s t r o
lūteolus	l u t ɛː o l u s
lūteum	l uː t e u m
lūteus	l uː t e u s
lūtum	l uː t u m
lūtēr	l uː t e r
lūxeram	l u k s e r a m
lūxerant	l u k s e r a n t
lūxerat	l u k s e r a t
lūxerim	l u k s e r i m
lūxerimus	l u k s ɛː r i m u s
lūxerint	l u k s e r i n t
lūxeris	l u k s e r i s
lūxerit	l u k s e r i t
lūxeritis	l u k s ɛː r i t i s
lūxerāmus	l u k s e r aː m u s
lūxerās	l u k s e r a s
lūxerātis	l u k s e r aː t i s
lūxerīmus	l u k s e r iː m u s
lūxerīs	l u k s e r i s
lūxerītis	l u k s e r iː t i s
lūxerō	l u k s e r o
lūximus	l u k s i m u s
lūxisse	l u k s i s s e
lūxissem	l u k s i s s e m
lūxissent	l u k s i s s e n t
lūxisset	l u k s i s s e t
lūxissēmus	l u k s i s s ɛː m u s
lūxissēs	l u k s i s s e s
lūxissētis	l u k s i s s ɛː t i s
lūxistis	l u k s i s t i s
lūxistī	l u k s i s t i
lūxit	l u k s i t
lūxēre	l u k s ɛː r e
lūxērunt	l u k s ɛː r u n t
lūxī	l u k s i
lū̆ctātor	l u k t aː t o r
lū̆custa	l u k u s t a
lū̆xe	l u k s e
lū̆xuriātis	l u k s u r i aː t i s
lū̆xuriātīs	l u k s u r i aː t i s
lū̆xuriāverimus	l u k s u r i a v e r iː m u s
lū̆xuriāverimus	l u k s u r i a v ɛː r i m u s
lū̆xuriāveris	l u k s u r i aː v e r i s
lū̆xuriāveritis	l u k s u r i a v e r iː t i s
lū̆xuriāveritis	l u k s u r i a v ɛː r i t i s
lū̆xuriēs	l u k s uː r i e s
lū̆xus	l u k s u s
lū̆xō	l u k s o
macla	m aː k l a
macrochaetae	m a k r o k ɛː t e
macrum	m aː k r u m
mactātis	m a k t aː t i s
mactātīs	m a k t aː t i s
mactāverimus	m a k t a v e r iː m u s
mactāverimus	m a k t a v ɛː r i m u s
mactāveris	m a k t aː v e r i s
mactāveritis	m a k t a v e r iː t i s
mactāveritis	m a k t a v ɛː r i t i s
mactō	m a k t o
maculātis	m a k u l aː t i s
maculātīs	m a k u l aː t i s
maculāverimus	m a k u l a v e r iː m u s
maculāverimus	m a k u l a v ɛː r i m u s
maculāveris	m a k u l aː v e r i s
maculāveritis	m a k u l a v e r iː t i s
maculāveritis	m a k u l a v ɛː r i t i s
macēre	m a t͡ʃ ɛː r e
madefactus	m a d e f a k t u s
madentō	m a d ɛ n t o
maderius	m a d ɛː r i u s
maderēnsis	m a d e r ɛ n s i s
madeātur	m a d e aː t u r
madē	m aː d e
madēbitur	m a d ɛː b i t u r
madēbātur	m a d e b aː t u r
madērētur	m a d e r ɛː t u r
madērī	m a d ɛː r i
madēte	m a d ɛː t e
madētor	m a d ɛː t o r
madētur	m a d ɛː t u r
madētō	m a d ɛː t o
madētōte	m a d e t ɔː t e
maeste	m ɛ s t e
maestificō	m e s t iː f i k o
maestē	m ɛ s t e
maestō	m ɛ s t o
maga	m aː ɡ a
magdalenēnsis	m a ɡ d a l e n ɛ n s i s
mage	m aː d͡ʒ e
magis	m aː d͡ʒ i s
magisteriālis	m a d͡ʒ i s t e r i aː l i s
magistrō	m a d͡ʒ i s t r o
magna	m a ɲ ɲ a
magnae	m a ɲ ɲ e
magnam	m a ɲ ɲ a m
magne	m a ɲ ɲ e
magnicristātus	m a ɲ ɲ i k r i s t aː t u s
magnifice	m a ɲ ɲ iː f i t͡ʃ e
magnificē	m a ɲ ɲ iː f i t͡ʃ e
magniloquācem	m a ɲ ɲ i l o kʷ aː t͡ʃ e m
magniloquācia	m a ɲ ɲ i l o kʷ aː t͡ʃ i a
magniloquācibus	m a ɲ ɲ i l o kʷ aː t͡ʃ i b u s
magniloquācis	m a ɲ ɲ i l o kʷ aː t͡ʃ i s
magniloquācium	m a ɲ ɲ i l o kʷ aː t͡ʃ i u m
magniloquācēs	m a ɲ ɲ i l o kʷ aː t͡ʃ e s
magniloquācī	m a ɲ ɲ i l o kʷ aː t͡ʃ i
magnipapillātus	m a ɲ ɲ i p a p i l l aː t u s
magnum	m a ɲ ɲ u m
magnā	m a ɲ ɲ a
magnārius	m a ɲ ɲ aː r i u s
magnārum	m a ɲ ɲ aː r u m
magnāte	m a ɲ ɲ aː t e
magnātem	m a ɲ ɲ aː t e m
magnātibus	m a ɲ ɲ aː t i b u s
magnātis	m a ɲ ɲ aː t i s
magnātum	m a ɲ ɲ aː t u m
magnātēs	m a ɲ ɲ aː t e s
magnātī	m a ɲ ɲ aː t i
magnātīs	m a ɲ ɲ aː t i s
magnātō	m a ɲ ɲ aː t o
magnātōrum	m a ɲ ɲ a t ɔː r u m
magnātōs	m a ɲ ɲ aː t o s
magnēsia	m a ɲ ɲ ɛː s̬ i a
magnēsium	m a ɲ ɲ ɛː s̬ i u m
magnēticī	m a ɲ ɲ ɛː t i t͡ʃ i
magnēticō	m a ɲ ɲ ɛː t i k o
magnētoscopium	m a ɲ ɲ e t o s k ɔː p i u m
magnētum	m a ɲ ɲ ɛː t u m
magnī	m a ɲ ɲ i
magnīs	m a ɲ ɲ i s
magnō	m a ɲ ɲ o
magnōrum	m a ɲ ɲ ɔː r u m
magnōs	m a ɲ ɲ o s
magīs	m aː d͡ʒ i s
maius	m aː j u s
maiōra	m a j ɔː r a
maiōrana	m a j ɔː r a n a
maiōre	m a j ɔː r e
maiōrem	m a j ɔː r e m
maiōrī	m a j ɔː r i
major	m aː j o r
majusculus	m a j u s k u l u s
majōrānus	m a j o r aː n u s
majōrēs	m a j ɔː r e s
mala	m aː l a
malabaricus	m a l a b aː r i k u s
malabarēnsis	m a l a b a r ɛ n s i s
malaccēnsis	m a l a t t͡ʃ ɛ n s i s
malae	m aː l e
malaiēnsis	m a l a j ɛ n s i s
malaria	m a l aː r i a
malayānus	m a l a j aː n u s
malayēnsis	m a l a j ɛ n s i s
maledica	m a l ɛː d i k a
maledīcere	m a l e d iː t͡ʃ e r e
maledīcī	m a l e d iː t͡ʃ i
maleficiātus	m a l e f i t͡ʃ i aː t u s
maleficiō	m a l e f iː t͡ʃ i o
maleficāre	m a l e f i k aː r e
maleficō	m a l ɛː f i k o
malefit	m aː l e f i t
malesānus	m a l e s̬ aː n u s
malevolentēs	m a l e v o l ɛ n t e s
malevolentī	m a l e v o l ɛ n t i
maligna	m a l i ɲ ɲ a
maligne	m a l i ɲ ɲ e
malignās	m a l i ɲ ɲ a s
malignēs	m a l i ɲ ɲ e s
malignī	m a l i ɲ ɲ i
malignō	m a l i ɲ ɲ o
malignōs	m a l i ɲ ɲ o s
malivolus	m a l iː v o l u s
malivolēns	m a l iː v o l e n s
malleātus	m a l l e aː t u s
malum	m aː l u m
malus	m aː l u s
malō	m aː l o
mamillātus	m a m i l l aː t u s
mammae	m a m m e
mammam	m a m m a m
mammillātus	m a m m i l l aː t u s
mammārum	m a m m aː r u m
mammās	m a m m a s
mammīs	m a m m i s
mamōna	m a m ɔː n a
mancipāberis	m a n̠ʲ t͡ʃ i p aː b e r i s
mandarinicus	m a n d a r iː n i k u s
mander	m a n d e r
mandibula	m a n d iː b u l a
mandibulae	m a n d iː b u l e
mandibulāris	m a n d i b u l aː r i s
mandibulārēs	m a n d i b u l aː r e s
mandshuricus	m a n d s uː r i k u s
mandārēs	m a n d aː r e s
mandātis	m a n d aː t i s
mandātor	m a n d aː t o r
mandātī	m a n d aː t i
mandātīs	m a n d aː t i s
mandātō	m a n d aː t o
mandāverimus	m a n d a v e r iː m u s
mandāverimus	m a n d a v ɛː r i m u s
mandāveris	m a n d aː v e r i s
mandāveritis	m a n d a v e r iː t i s
mandāveritis	m a n d a v ɛː r i t i s
mandēlāna	m a n d e l aː n a
mandēlānae	m a n d e l aː n e
mandēlānam	m a n d e l aː n a m
mandēlāne	m a n d e l aː n e
mandēlānum	m a n d e l aː n u m
mandēlānārum	m a n d e l a n aː r u m
mandēlānās	m a n d e l aː n a s
mandēlānī	m a n d e l aː n i
mandēlānīs	m a n d e l aː n i s
mandēlānō	m a n d e l aː n o
mandēlānōrum	m a n d e l a n ɔː r u m
mandēlānōs	m a n d e l aː n o s
mandō	m a n d o
mandūcō	m a n d uː k o
mandūcōne	m a n d u k ɔː n e
mandūcōnem	m a n d u k ɔː n e m
mandūcōnibus	m a n d u k ɔː n i b u s
mandūcōnis	m a n d u k ɔː n i s
mandūcōnum	m a n d u k ɔː n u m
mandūcōnēs	m a n d u k ɔː n e s
mandūcōnī	m a n d u k ɔː n i
manear	m aː n e a r
manganoxydāns	m a ŋ ɡ a n ɔ k s i d a n s
manganum	m a ŋ ɡ a n u m
manhattēnsis	m a n a t t ɛ n s i s
mania	m aː n i a
manifeste	m a n i f ɛ s t e
manifestum	m a n i f ɛ s t u m
manifestō	m a n i f ɛ s t o
manifēstantī	m a n i f e s t a n t i
manifēstātis	m a n i f e s t aː t i s
manifēstātīs	m a n i f e s t aː t i s
manifēstāverimus	m a n i f e s t a v e r iː m u s
manifēstāverimus	m a n i f e s t a v ɛː r i m u s
manifēstāveris	m a n i f e s t aː v e r i s
manifēstāveritis	m a n i f e s t a v e r iː t i s
manifēstāveritis	m a n i f e s t a v ɛː r i t i s
maniplus	m aː n i p l u s
manipurēnsis	m a n i p u r ɛ n s i s
manubiīs	m a n uː b i i s
manus	m aː n u s
manutergia	m a n u t ɛ r d͡ʒ i a
manuātus	m a n u aː t u s
manē	m aː n e
manēs	m aː n e s
maoricus	m a ɔː r i k u s
mara	m aː r a
marathicus	m a r aː t i k u s
marcam	m a r k a m
marcus	m a r k u s
mare	m aː r e
marem	m aː r e m
maria	m aː r i a
mariannēnsis	m a r i a n n ɛ n s i s
maribus	m aː r i b u s
marionēnsis	m a r i o n ɛ n s i s
maris	m aː r i s
mariscus	m a r i s k u s
maritumus	m a r iː t u m u s
marium	m aː r i u m
marmur	m a r m u r
marmōtus	m a r m ɔː t u s
maroccānus	m a r o k k aː n u s
marrubiōrum	m a r r u b i ɔː r u m
marsūpiālis	m a r s u p i aː l i s
marte	m a r t e
marum	m aː r u m
marēs	m aː r e s
marī	m aː r i
marīna	m a r iː n a
marīnelle	m a r i n ɛ l l e
marīnellum	m a r i n ɛ l l u m
marīnellī	m a r i n ɛ l l i
marīnellīs	m a r i n ɛ l l i s
marīnellō	m a r i n ɛ l l o
marīnellōrum	m a r i n e l l ɔː r u m
marīnellōs	m a r i n ɛ l l o s
marīs	m aː r i s
marītālis	m a r i t aː l i s
marītātis	m a r i t aː t i s
marītātīs	m a r i t aː t i s
marītāverimus	m a r i t a v e r iː m u s
marītāverimus	m a r i t a v ɛː r i m u s
marītāveris	m a r i t aː v e r i s
marītāveritis	m a r i t a v e r iː t i s
marītāveritis	m a r i t a v ɛː r i t i s
marō	m aː r o
marōrum	m a r ɔː r u m
mascle	m a s k l e
masclum	m a s k l u m
masclus	m a s k l u s
masclī	m a s k l i
masclīs	m a s k l i s
masclō	m a s k l o
masclōrum	m a s k l ɔː r u m
masclōs	m a s k l o s
mascula	m a s k u l a
masculae	m a s k u l e
masculam	m a s k u l a m
mascule	m a s k u l e
masculum	m a s k u l u m
masculārum	m a s k u l aː r u m
masculās	m a s k u l a s
masculāta	m a s k u l aː t a
masculātae	m a s k u l aː t e
masculātam	m a s k u l aː t a m
masculāte	m a s k u l aː t e
masculātum	m a s k u l aː t u m
masculātus	m a s k u l aː t u s
masculātārum	m a s k u l a t aː r u m
masculātās	m a s k u l aː t a s
masculātī	m a s k u l aː t i
masculātīs	m a s k u l aː t i s
masculātō	m a s k u l aː t o
masculātōrum	m a s k u l a t ɔː r u m
masculātōs	m a s k u l aː t o s
masculēta	m a s k u l ɛː t a
masculētī	m a s k u l ɛː t i
masculētīs	m a s k u l ɛː t i s
masculētō	m a s k u l ɛː t o
masculētōrum	m a s k u l e t ɔː r u m
masculī	m a s k u l i
masculīna	m a s k u l iː n a
masculīnae	m a s k u l iː n e
masculīnam	m a s k u l iː n a m
masculīne	m a s k u l iː n e
masculīnitāte	m a s k u l i n i t aː t e
masculīnitātem	m a s k u l i n i t aː t e m
masculīnitātibus	m a s k u l i n i t aː t i b u s
masculīnitātis	m a s k u l i n i t aː t i s
masculīnitātum	m a s k u l i n i t aː t u m
masculīnitātēs	m a s k u l i n i t aː t e s
masculīnitātī	m a s k u l i n i t aː t i
masculīnum	m a s k u l iː n u m
masculīnārum	m a s k u l i n aː r u m
masculīnās	m a s k u l iː n a s
masculīnī	m a s k u l iː n i
masculīnīs	m a s k u l iː n i s
masculīnō	m a s k u l iː n o
masculīnōrum	m a s k u l i n ɔː r u m
masculīnōs	m a s k u l iː n o s
masculīs	m a s k u l i s
masculō	m a s k u l o
masculōrum	m a s k u l ɔː r u m
masculōs	m a s k u l o s
masticat	m a s t i k a t
masturbandum	m a s t u r b a n d u m
masturbandī	m a s t u r b a n d i
masturbandō	m a s t u r b a n d o
masturbante	m a s t u r b a n t e
masturbantem	m a s t u r b a n t e m
masturbantia	m a s t u r b a n t͡s i a
masturbantibus	m a s t u r b a n t i b u s
masturbantis	m a s t u r b a n t i s
masturbantium	m a s t u r b a n t͡s i u m
masturbantor	m a s t u r b a n t o r
masturbantur	m a s t u r b a n t u r
masturbantēs	m a s t u r b a n t e s
masturbantī	m a s t u r b a n t i
masturbentur	m a s t u r b ɛ n t u r
masturber	m a s t u r b e r
masturbābantur	m a s t u r b a b a n t u r
masturbābar	m a s t u r b aː b a r
masturbābere	m a s t u r b aː b e r e
masturbāberis	m a s t u r b aː b e r i s
masturbābiminī	m a s t u r b a b iː m i n i
masturbābimur	m a s t u r b aː b i m u r
masturbābitur	m a s t u r b aː b i t u r
masturbābor	m a s t u r b aː b o r
masturbābuntur	m a s t u r b a b u n t u r
masturbābāminī	m a s t u r b a b aː m i n i
masturbābāmur	m a s t u r b a b aː m u r
masturbābāre	m a s t u r b a b aː r e
masturbābāris	m a s t u r b a b aː r i s
masturbābātur	m a s t u r b a b aː t u r
masturbāminī	m a s t u r b aː m i n i
masturbāmur	m a s t u r b aː m u r
masturbāre	m a s t u r b aː r e
masturbārentur	m a s t u r b a r ɛ n t u r
masturbārer	m a s t u r b aː r e r
masturbāris	m a s t u r b aː r i s
masturbārēminī	m a s t u r b a r ɛː m i n i
masturbārēmur	m a s t u r b a r ɛː m u r
masturbārēre	m a s t u r b a r ɛː r e
masturbārēris	m a s t u r b a r ɛː r i s
masturbārētur	m a s t u r b a r ɛː t u r
masturbārī	m a s t u r b aː r i
masturbāta	m a s t u r b aː t a
masturbātae	m a s t u r b aː t e
masturbātam	m a s t u r b aː t a m
masturbāte	m a s t u r b aː t e
masturbātum	m a s t u r b aː t u m
masturbātur	m a s t u r b aː t u r
masturbātārum	m a s t u r b a t aː r u m
masturbātās	m a s t u r b aː t a s
masturbātī	m a s t u r b aː t i
masturbātīs	m a s t u r b aː t i s
masturbātō	m a s t u r b aː t o
masturbātōre	m a s t u r b a t ɔː r e
masturbātōrem	m a s t u r b a t ɔː r e m
masturbātōribus	m a s t u r b a t ɔː r i b u s
masturbātōris	m a s t u r b a t ɔː r i s
masturbātōrum	m a s t u r b a t ɔː r u m
masturbātōrēs	m a s t u r b a t ɔː r e s
masturbātōrī	m a s t u r b a t ɔː r i
masturbātōs	m a s t u r b aː t o s
masturbātū	m a s t u r b aː t u
masturbātūra	m a s t u r b a t uː r a
masturbātūrae	m a s t u r b a t uː r e
masturbātūram	m a s t u r b a t uː r a m
masturbātūre	m a s t u r b a t uː r e
