Abel	ǎː b e l
oligarhija	o l i ɡ ǎ r x i j a
oligarhijski	o l i ɡ ǎ r x iː j s k i
oligarhijski	o l i ɡ ǎ r x iː j s k iː
olimpijski	o l ǐ m p iː j s k i
olimpijski	o l ǐ m p iː j s k iː
olimpizam	o l i m p ǐ z a m
oličavati	o l i t͡ʃ ǎː ʋ a t i
oličenje	o l i t͡ʃ ěː ɲ e
oličiti	o l ǐː t͡ʃ i t i
oljuštiti	o ʎ ǔː ʃ t i t i
olovan	ô l oː ʋ a n
olovo	ô l o ʋ o
ološ	ô l o ʃ
oltar	ǒ l t aː r
oltarni	ǒ l t aː r n iː
oluja	o l ǔː j a
olujni	ǒ l uː j n iː
oluk	ǒ l u k
olupina	ǒ l u p i n a
omalen	ô m a l e n
omalovažavati	o m a l o ʋ a ʒ ǎː ʋ a t i
omalovažiti	o m a l o ʋ ǎː ʒ i t i
omamiti	o m ǎː m i t i
omamljiv	o m ǎ m ʎ i ʋ
omamljivati	o m a m ʎ ǐː ʋ a t i
oman	ǒ m a n
omanji	ô m a ɲ iː
omaška	ǒ m a ʃ k a
ombudsman	o m b ǔ d z m a n
omekšati	o m ě k ʃ a t i
omekšavati	o m e k ʃ ǎː ʋ a t i
omekšivač	o m e k ʃ ǐ ʋ aː t͡ʃ
omesti	ǒ m eː s t i
ometati	o m ěː t a t i
omiljen	ǒ m i ʎ e n
ominozan	ô m i n oː z a n
omiški	ǒ m iː ʃ k iː
omladina	ǒ m l a d i n a
omladinac	o m l a d ǐː n a t͡s
omofor	o m ǒ f oː r
omogućavati	o m o ɡ u t͡ɕ ǎː ʋ a t i
omogućiti	o m o ɡ ǔː t͡ɕ i t i
omogućivati	o m o ɡ u t͡ɕ ǐː ʋ a t i
omot	ǒ m o t
omotati	o m ǒ t a t i
omotač	o m ǒ t aː t͡ʃ
omražen	ǒ m r a ʒ e n
on	ôː n
ona	ǒ n a
onakav	o n ǎ k aː ʋ
onako	o n ǎ k oː
onamo	ǒ n aː m o
onanija	o n ǎ n i j a
onanirati	o n a n ǐː r a t i
onda	ô n d aː
ondašnji	ǒ n d a ʃ ɲ iː
onde	ǒː n d e
ondje	ǒː n d j e
one	ǒ n e
onemogućavati	o n e m o ɡ u t͡ɕ ǎː ʋ a t i
onemogućiti	o n e m o ɡ ǔː t͡ɕ i t i
onemogućivati	o n e m o ɡ u t͡ɕ ǐː ʋ a t i
onesposobiti	o n e s p o s ǒ b i t i
onesposobljavati	o n e s p o s o b ʎ ǎː ʋ a t i
onesposobljivati	o n e s p o s o b ʎ ǐː ʋ a t i
onečistiti	o n ě t͡ʃ i s t i t i
onečišćenje	o n e t͡ʃ i ʃ t͡ɕ ěː ɲ e
onečišćenost	o n ě t͡ʃ i ʃ t͡ɕ e n oː s t
onečišćivati	o n e t͡ʃ i ʃ t͡ɕ ǐː ʋ a t i
onečišćivač	o n e t͡ʃ i ʃ t͡ɕ ǐ ʋ aː t͡ʃ
oni	ǒ n i
onkologija	o n k o l ǒ ɡ i j a
ono	ǒ n o
onolik	o n ǒ l i k
onoliko	o n o l ǐ k oː
onomastika	o n o m ǎ s t i k a
onomatopeja	o n o m a t o p ěː j a
ontogeneza	o n t o ɡ ě n e z a
ontogenija	o n t o ɡ ě n i j a
ontologija	o n t o l ǒ ɡ i j a
ontološki	o n t ǒ l o ʃ k iː
onud	ǒ n u d
onuda	ǒ n u d a
opadati	o p ǎː d a t i
opak	ô p aː k
opako	ô p aː k o
opakost	ô p aː k oː s t
opanak	ǒ p a n a k
opasan	ô p aː s a n
opasati	o p ǎ s a t i
opasač	o p ǎ s aː t͡ʃ
opasivati	o p a s ǐː ʋ a t i
opaska	ǒ p a s k a
opasno	ô p aː s n o
opasnost	o p ǎː s n oː s t
opasti	ǒ p a s t i
opat	ǒ p a t
opatica	o p ǎ t i t͡s a
opaziti	ǒ p a z i t i
opačina	o p ǎ t͡ʃ i n a
opažati	o p ǎː ʒ a t i
opeka	ô p e k a
opekotina	o p e k ǒ t i n a
opera	ô p e r a
operativan	ô p e r a t iː ʋ a n
operator	o p ě r aː t o r
opereta	o p e r ě t a
opet	ô p eː t
opeći	ǒ p e t͡ɕ i
ophoditi	o p x ǒ d i t i
ophodni	ǒ p x o d n iː
opica	ǒ p i t͡s a
opijat	o p ǐ j aː t
opijati	o p ǐː j a t i
opijum	ǒ p i j uː m
opip	ǒ p i p
opipati	ǒ p i p a t i
opipavati	o p i p ǎː ʋ a t i
opipljiv	o p ǐ p ʎ i ʋ
opirati	o p i r a t i
opis	ǒ p i s
opisati	o p ǐː s a t i
opisiv	o p ǐ s i ʋ
opisivati	o p i s ǐː ʋ a t i
opiti	ǒ p i t i
opizditi	o p ǐː z d i t i
opklada	ô p k l a d a
opkop	ǒ p k o p
oplata	ô p l a t a
oplemeniti	o p l e m ě n i t i
oplemenjivati	o p l e m e ɲ ǐː ʋ a t i
oplećak	ǒ p l e t͡ɕ a k
oplećje	ǒ p l eː t͡ɕ j e
opljačkati	ǒ p ʎ a t͡ʃ k a t i
oplodan	ǒ p l o d a n
oploditi	o p l ǒ d i t i
oplodnja	o p l ǒ d ɲ a
oploviti	o p l ǒ ʋ i t i
oplođivati	o p l o d͡ʑ ǐː ʋ a t i
opna	ǒ p n a
opojan	ǒ p oː j a n
opomena	ô p o m e n a
opomenuti	o p o m ěː n u t i
opominjati	o p ǒ m i ɲ a t i
oponašati	o p o n ǎː ʃ a t i
oponent	o p ǒ n e n t
oponirati	o p o n ǐː r a t i
opor	ô p o r
oporavak	o p ǒ r a ʋ a k
oporaviti	o p ǒ r a ʋ i t i
oporavljati	o p ǒ r a ʋ ʎ a t i
oporba	ǒ p o r b a
oporeziv	o p o r ě z i ʋ
oporezivati	o p o r e z ǐː ʋ a t i
oporezovati	o p ǒ r e z o ʋ a t i
oporeći	o p ǒ r e t͡ɕ i
oporicati	o p ǒ r i t͡s a t i
oportun	ô p o r t uː n
oportunizam	o p o r t u n ǐ z a m
oposum	ô p o s u m
opovrgavati	o p o ʋ r ɡ ǎː ʋ a t i
opovrgnuti	o p ǒ ʋ r ɡ n u t i
opovrći	o p ǒ ʋ r̩ t͡ɕ i
opozicija	o p o z ǐː t͡s i j a
opozivati	o p o z ǐː ʋ a t i
opozvati	o p ǒ z ʋ a t i
oprati	ǒ p r a t i
opravdan	ǒ p r aː ʋ d aː n
opravdanje	o p r a ʋ d ǎː ɲ e
opravdano	ǒ p r aː ʋ d a n o
opravdati	ǒ p r aː ʋ d a t i
opraštati	o p r ǎː ʃ t a t i
opredeliti	o p r e d ěː l i t i
opredeljivati	o p r e d e ʎ ǐː ʋ a t i
opredijeliti	o p r e d j ěː l i t i
opredjeljivati	o p r e d j e ʎ ǐː ʋ a t i
opreka	ô p r e k a
oprema	ô p r e m a
opremati	o p r ěː m a t i
opremiti	o p r ěː m i t i
opresija	o p r ě s i j a
oprez	ô p r eː z
oprezan	ô p r eː z a n
oprezno	ô p r eː z n o
oprečan	ô p r e t͡ʃ a n
opričati	o p r ǐː t͡ʃ a t i
oprjeka	ô p r e k a
oprječan	ô p r j e t͡ʃ a n
oprost	ǒ p r o s t
oprostite	o p r ǒ s t i t e
oprostiti	o p r ǒ s t i t i
opruga	ô p r u ɡ a
opsada	ô p s a d a
opscen	ô p s t͡s e n
opsedati	o p s ěː d a t i
opseg	ô p s eː ɡ
opsena	ô p s e n a
opservatorij	o p s e r ʋ ǎ t oː r iː j
opsesija	o p s ě s i j a
opsesivan	ô p s e s iː ʋ a n
opsesivno	ô p s e s iː ʋ n o
opsesti	ǒ p s e s t i
opsežan	ô p s eː ʒ a n
opsežno	ô p s eː ʒ n o
opsidijan	o p s i d ǐ j aː n
opsjedati	o p s j ěː d a t i
opsjena	ô p s j e n a
opsjesti	ǒ p s j e s t i
opskuran	ô p s k uː r a n
opsovati	o p s ǒ ʋ a t i
opstanak	ǒ p s t a n a k
opstati	ǒ p s t a t i
opstojati	ǒ p s t o j a t i
opstrukcija	o p s t r ǔ k t͡s i j a
opteretiti	o p t ě r e t i t i
opterećivati	o p t e r e t͡ɕ ǐː ʋ a t i
optika	ǒ p t i k a
optimalan	ô p t i m aː l a n
optimalno	ô p t i m aː l n o
optimizam	o p t i m ǐ z a m
optužba	ǒ p t u ʒ b a
optuženik	o p t u ʒ ě n iː k
optužiti	o p t ǔː ʒ i t i
optuživati	o p t u ʒ ǐː ʋ a t i
optužnica	ǒ p t u ʒ n i t͡s a
opulentan	o p u l ě n t a n
opustiti	o p ǔ s t i t i
opustiti	o p ǔː s t i t i
opuštati	o p ǔː ʃ t a t i
općenit	o p t͡ɕ ě n i t
općenito	o p t͡ɕ ě n i t o
opći	ô p t͡ɕ iː
općina	ô p t͡ɕ i n a
općinski	ô p t͡ɕ iː n s k iː
općutiti	o p t͡ɕ u t i t i
opčiniti	o p t͡ʃ ǐ n i t i
opčinjavati	o p t͡ʃ i ɲ ǎː ʋ a t i
opširan	ô p ʃ iː r a n
opširno	ô p ʃ iː r n o
opšti	ô p ʃ t iː
opština	ô p ʃ t i n a
orah	ǒ r a x
orahov	ǒ r a x o ʋ
orangutan	o r a n ɡ ǔ t aː n
orangutanski	o r a n ɡ ǔ t aː n s k i
orangutanski	o r a n ɡ ǔ t aː n s k iː
oranica	o r ǎ n i t͡s a
orao	ǒ r a o
orati	ǒ r a t i
orator	ǒ r aː t o r
orač	ǒ r aː t͡ʃ
orački	ǒ r aː t͡ʃ k iː
organ	ǒ r ɡ aː n
organizacija	o r ɡ a n i z ǎː t͡s i j a
organizam	o r ɡ a n ǐ z a m
organizator	o r ɡ a n ǐ z aː t o r
organizirati	o r ɡ a n i z ǐː r a t i
organski	ǒ r ɡ aː n s k iː
orgazam	o r ɡ ǎ z a m
orgazmički	o r ɡ ǎ z m i t͡ʃ k iː
orgija	ǒ r ɡ i j a
orgulje	ǒ r ɡ u ʎ e
original	o r i ɡ ǐ n aː l
originalan	ô r i ɡ i n aː l a n
originalno	ô r i ɡ i n aː l n o
orijaš	o r ǐ j aː ʃ
orijentalan	ô r i j e n t aː l a n
oriz	ǒ r i z
orjašica	o r j ǎ ʃ i t͡s a
orkan	ǒ r k aː n
orkanski	ǒ r k aː n s k iː
orkestar	ǒ r k e s t a r
orkestracija	o r k e s t r ǎː t͡s i j a
orlov	ǒ r l o ʋ
orlovski	ǒ r l o ʋ s k iː
orman	ǒ r m aː n
ormar	ǒ r m aː r
ornitolog	o r n i t ǒ l oː ɡ
ornitologija	o r n i t o l ǒ ɡ i j a
ornitološki	o r n i t ǒ l o ʃ k i
ornitološki	o r n i t ǒ l o ʃ k iː
oro	ǒː r o
oronuo	o r ǒ n u o
oroz	ô r oː z
ortak	ǒ r t aː k
ortodoksan	o r t ǒ d o k s a n
ortodoksija	o r t o d ǒ k s i j a
ortodoksno	o r t ǒ d o k s n o
ortopedija	o r t o p ě d i j a
oruđe	ǒ r uː d͡ʑ e
oružan	ǒ r u ʒ aː n
oružati	o r ǔ ʒ a t i
oružje	ǒ r uː ʒ j e
os	ôː s
osakatiti	o s ǎ k a t i t i
osakaćivati	o s a k a t͡ɕ ǐː ʋ a t i
osam	ô s a m
osama	ô s a m a
osamljen	ǒ s aː m ʎ e n
osamljenost	ǒ s aː m ʎ e n oː s t
osao	ô s a o
osedlati	ǒ s e d l a t i
osedlavati	o s e d l ǎː ʋ a t i
oseka	ô s e k a
osenj	o s e ɲ
osetan	ǒ s e t a n
osetiti	ǒ s e t i t i
osetljiv	o s ě t ʎ i ʋ
osetljivo	o s ě t ʎ i ʋ o
osetno	ǒ s e t n o
osećajan	ô s e t͡ɕ aː j a n
osećajno	ô s e t͡ɕ aː j n o
osećajnost	o s e t͡ɕ ǎː j n oː s t
osećati	ǒ s e t͡ɕ a t i
osica	ǒ s i t͡s a
osifikacija	o s i f i k ǎː t͡s i j a
osiguranje	o s i ɡ u r ǎː ɲ e
osigurati	o s i ɡ ǔ r a t i
osiguravati	o s i ɡ u r ǎː ʋ a t i
osim	ô s iː m
osip	ǒ s i p
osiromašiti	o s i r ǒ m a ʃ i t i
osiromašivati	o s i r o m a ʃ ǐː ʋ a t i
osjetan	ǒ s j e t a n
osjetiti	ǒ s j e t i t i
osjetljiv	o s j ě t ʎ i ʋ
osjetljivo	o s j ě t ʎ i ʋ o
osjetno	ǒ s j e t n o
osjećajan	ô s j e t͡ɕ aː j a n
osjećajno	ô s j e t͡ɕ aː j n o
osjećajnost	o s j e t͡ɕ ǎː j n oː s t
osjećati	ǒ s j e t͡ɕ a t i
osječki	ô s j e t͡ʃ k iː
oskudan	ǒ s k u d a n
oskudica	ǒ s k u d i t͡s a
oskudno	ǒ s k u d n o
oslabeti	ǒ s l a b e t i
oslabiti	ǒ s l a b i t i
oslabjeti	ǒ s l a b j e t i
oslanjati	ǒ s l a ɲ a t i
oslobađati	o s l o b ǎː d͡ʑ a t i
oslobodilac	o s l o b ǒ d i l a t͡s
oslobodilački	o s l o b ǒ d i l a t ʃ k i
oslobodilački	o s l o b ǒ d i l a t ʃ k iː
osloboditelj	o s l o b ǒ d i t e ʎ
osloboditi	o s l o b ǒ d i t i
oslobođenje	o s l o b o d͡ʑ ěː ɲ e
oslonac	ǒ s l o n a t͡s
osloniti	o s l ǒ n i t i
osmanlijski	o s m ǎ n l iː j s k i
osmanlijski	o s m ǎ n l iː j s k iː
osmanski	ǒ s m a n s k i
osmanski	ǒ s m a n s k iː
osmatrati	o m ǎː t r a t i
osmi	ô s m iː
osmica	ǒ s m i t͡s a
osmina	o s m ǐ n a
osmorica	o s m ǒ r i t͡s a
osmotriti	o s m ǒ t r i t i
osmrtnica	ǒ s m r t n i t͡s a
osnivati	o s n ǐː ʋ a t i
osnivač	o s n ǐ ʋ aː t͡ʃ
osnivačica	o s n i ʋ ǎ t͡ʃ i t͡s a
osnivački	o s n ǐ ʋ aː t͡ʃ k iː
osnovan	ô s n o ʋ aː n
osnovati	o s n ǒ ʋ a t i
osnovica	o s n o v i t͡s a
osnovni	ǒ s n oː ʋ n iː
osoba	ô s o b a
osoban	ǒ s o b a n
osobit	ǒ s o b i t
osobito	ǒ s o b i t o
osoblje	ǒ s oː b ʎ e
osobno	ǒ s o b n o
osokoliti	o s o k ǒ l i t i
osoran	ô s oː r a n
osorno	ô s oː r n o
osovina	o s ǒ ʋ i n a
osporavati	o s p o r ǎː ʋ a t i
osporiti	o s p ǒ r i t i
osporiv	o s p ǒ r i ʋ
osramotiti	o s r a m ǒ t i t i
osramoćivati	o s r a m o t͡ɕ ǐː ʋ a t i
osrednji	ô s r e d ɲ iː
ostajati	ǒ s t a j a t i
ostali	ǒ s t aː l iː
ostan	ǒ s t a n
ostanak	ǒ s t a n a k
ostatak	o s t ǎː t a k
ostati	ǒ s t a t i
ostava	ô s t a ʋ a
ostaviti	ǒ s t a ʋ i t i
ostavka	ǒ s t aː ʋ k a
ostavljati	ǒ s t a ʋ ʎ a t i
osteopatija	o s t e o p ǎ t i j a
ostrvo	ô s t r ʋ o
ostvariti	o s t ʋ ǎː r i t i
ostvarivati	o s t ʋ a r ǐː ʋ a t i
osuda	ô s u d a
osuditi	o s ǔː d i t i
osumnjičiti	o s ǔ m ɲ i t͡ʃ i t i
osunčati	o s ǔ n t͡ʃ a t i
osuđenik	o s u d͡ʑ ě n iː k
osuđenički	o s u d ʑ ě n iː t ʃ k i
osuđenički	o s u d ʑ ě n iː t ʃ k iː
osuđivati	o s u d͡ʑ ǐː ʋ a t i
osušiti	o s ǔː ʃ i t i
osvajanje	o s ʋ ǎː j aː ɲ e
osvajati	o s ʋ ǎː j a t i
osvajač	o s ʋ ǎ j aː t͡ʃ
osvajački	o s ʋ ǎ j aː t͡ʃ k iː
osvanjivati	o s ʋ a ɲ ǐː ʋ a t i
osvanuti	o s ʋ ǎ n u t i
osveta	ô s ʋ e t a
osvetiti	o s ʋ ěː t i t i
osvetljiv	o s ʋ ě t ʎ i ʋ
osvetnik	ǒ s ʋ e t n iː k
osvetoljubiv	o s ʋ e t o ʎ ǔ b i ʋ
osvećivati	o s ʋ e t͡ɕ ǐː ʋ a t i
osvežavati	o s ʋ e ʒ ǎː ʋ a t i
osvežiti	ǒ s ʋ e ʒ i t i
osvit	ǒ s ʋ i t
osvježavati	o s ʋ j e ʒ ǎː ʋ a t i
osvježiti	ǒ s ʋ j e ʒ i t i
osvojiti	o s ʋ ǒ j i t i
osvojiv	o s ʋ ǒ j i ʋ
osvrt	ǒ s ʋ r t
otac	ǒ t a t͡s
otadžbina	ǒ t a d͡ʒ b i n a
otapati	o t ǎː p a t i
otarasiti	o t a r ǎː s i t i
otegotan	ô t e ɡ o t a n
oteknuti	ǒ t e k n u t i
oterati	ǒ t e r a t i
oteti	ǒ t eː t i
oteći	ǒ t e t ɕ i
oticati	ǒ t i t͡s a t i
otimati	ǒ t i m a t i
otirač	o t ǐ r aː t͡ʃ
otisak	ǒ t i s a k
otići	ǒ t iː t͡ɕ i
otjecati	ǒ t j e t͡s a t i
otjerati	ǒ t j e r a t i
otkad	ǒ t k a d
otkako	ǒ t k a k o
otkaz	ô t k aː z
otkazati	o t k ǎː z a t i
otkazivati	o t k a z ǐː ʋ a t i
otkidati	o t k ǐː d a t i
otkinuti	ǒ t k i n u t i
otklanjati	ǒ t k l a ɲ a t i
otkloniti	o t k l ǒ n i t i
otkopati	o t k ǒ p a t i
otkopavati	o t k o p ǎː ʋ a t i
otkriti	ǒ t k r i t i
otkrivati	o t k r ǐː ʋ a t i
otkriće	o t k r ǐː t͡ɕ e
otkud	ǒ t k u d
otkuda	ǒ t k u d a
otkup	ǒ t k u p
otmen	ô t m e n
otmičar	ǒ t m i t͡ʃ aː r
otmjen	ô t m j e n
otok	ô t oː k
otok	ǒ t o k
otomanski	ô t o m aː n s k iː
otopiti	o t ǒ p i t i
otorinolaringolog	o t o r i n o l a r i n ɡ ǒ l o ɡ
otorinolaringologija	o t o r i n o l a r i n ɡ o l ǒ ɡ i j a
otočić	ǒ t o t͡ʃ i t͡ɕ
otočje	ǒ t oː t͡ʃ j e
otpad	ô t p aː d
otpadati	ǒ t p a d a t i
otpadnica	ǒ t p a d n i t͡s a
otpadnik	ǒ t p a d n iː k
otpasti	ǒ t p a s t i
otpiliti	o t p ǐː l i t i
otpisati	o t p ǐː s a t i
otpisivati	o t p i s ǐː ʋ a t i
otpiti	ǒ t p i t i
otplivati	ǒ t p l i ʋ a t i
otploviti	o t p l ǒ ʋ i t i
otpor	ǒ t p o r
otporan	ǒ t p oː r a n
otpočeti	o t p ǒ t͡ʃ eː t i
otpočinuti	o t p ǒ t͡ʃ i n u t i
otpočivati	o t p o t͡ʃ ǐː ʋ a t i
otpraviti	ǒ t p r a ʋ i t i
otpravljati	ǒ t p r a ʋ ʎ a t i
otpravnik	ǒ t p r aː ʋ n iː k
otpre	ǒ t p r e
otprije	ǒ t p r i j e
otprilike	o t p r ǐː l i k eː
otpustiti	o t p ǔ s t i t i
otputovati	o t p u t ǒ ʋ a t i
otpuštati	o t p ǔː ʃ t a t i
otrov	ǒ t r o ʋ
otrovan	ǒ t r oː ʋ a n
otrovati	o t r ǒ ʋ a t i
otuđenost	ǒ t uː d͡ʑ e n oː s t
otuđiti	o t ǔː d͡ʑ i t i
otuđiv	o t ǔ d͡ʑ i ʋ
otuđivati	o t u d͡ʑ ǐː ʋ a t i
otvarati	o t ʋ ǎː r a t i
otvarač	o t ʋ ǎ r aː t͡ʃ
otvor	ǒ t ʋ o r
otvoren	ǒ t ʋ o r e n
otvoreno	ǒ t ʋ o r e n o
otvoriti	o t ʋ ǒ r i t i
ova	ǒ ʋ aː
ovaj	ǒ ʋ aː j
ovakav	o ʋ ǎ k aː ʋ
ovako	o ʋ ǎ k oː
ovalan	ǒ ʋ aː l a n
ovamo	ǒ ʋ aː m o
ovan	ǒː ʋ a n
ovas	ǒ ʋ a s
ovca	ǒː ʋ t͡s a
ovdašnji	ǒ ʋ d a ʃ ɲ iː
ovde	ǒː ʋ d e
ovdje	ǒː ʋ d j e
ovenčati	o ʋ ě n t͡ʃ a t i
ovenčavati	o ʋ e n t͡ʃ ǎː ʋ a t i
overa	ô ʋ e r a
overavati	o ʋ e r ǎː ʋ a t i
overiti	ǒ ʋ e r i t i
ovisan	ǒ ʋ i s a n
ovisiti	ǒ ʋ i s i t i
ovisno	ǒ ʋ i s n o
ovisnost	ǒ ʋ i s n oː s t
ovjenčati	o ʋ j ě n t͡ʃ a t i
ovjenčavati	o ʋ j e n t͡ʃ ǎː ʋ a t i
ovjera	ô ʋ j e r a
ovjeravati	o ʋ j e r ǎː ʋ a t i
ovjeriti	ǒ ʋ j e r i t i
ovladati	o ʋ l ǎː d a t i
ovladavati	o ʋ l a d ǎː ʋ a t i
ovlast	ô ʋ l aː s t
ovlastiti	o ʋ l ǎː s t i t i
ovlašćivati	o ʋ l a ʃ t͡ɕ ǐː ʋ a t i
ovo	ǒ ʋ oː
ovoj	ǒ ʋ o j
ovolik	o ʋ ǒ l i k
ovoliko	o ʋ o l ǐ k oː
ovratnik	ǒ ʋ r a t n iː k
ovrha	ô ʋ r x a
ovsen	ô ʋ s e n
ovud	ǒ ʋ u d
ovuda	ǒ ʋ u d a
ovčar	ǒ ʋ t͡ʃ aː r
ovčarski	ǒ ʋ t͡ʃ aː r s k iː
ovčarstvo	o ʋ t͡ʃ ǎː r s t ʋ o
ovđe	ǒː ʋ d͡ʑ e
ozbiljan	ô z b iː ʎ a n
ozbiljno	ô z b iː ʎ n o
ozbiljnost	o z b ǐː ʎ n oː s t
ozdo	ǒ z d oː
ozleda	ô z l e d a
ozlediti	o z l ěː d i t i
ozleđen	ǒ z l eː d͡ʑ e n
ozleđivati	o z l e d͡ʑ ǐː ʋ a t i
ozlijediti	o z l j ěː d i t i
ozlijeđen	ǒ z l i j eː d͡ʑ e n
ozljeda	ô z ʎ e d a
ozljeđivati	o z ʎ e d͡ʑ ǐː ʋ a t i
oznaka	ô z n a k a
označavati	o z n a t͡ʃ ǎː ʋ a t i
označiti	o z n ǎː t͡ʃ i t i
označivač	o z n a t͡ʃ ǐ ʋ aː t͡ʃ
ozon	ǒ z oː n
ozonski	ǒ z oː n s k iː
ozvuka	o z v u k a
očaj	ô t͡ʃ aː j
očajan	ô t͡ʃ aː j a n
očale	o t͡ʃ ǎː l e
očarati	o t͡ʃ ǎː r a t i
očaravati	o t͡ʃ a r ǎː ʋ a t i
očekivan	o t͡ʃ ě k iː ʋ aː n
očekivanje	o t͡ʃ e k ǐː ʋ aː ɲ e
očekivano	o t͡ʃ ě k iː ʋ aː n o
očekivati	o t͡ʃ e k ǐː ʋ a t i
očeličiti	o t͡ʃ ě l i t͡ʃ i t i
očev	ǒ t͡ʃ e ʋ
očevidac	o t͡ʃ e ʋ ǐː d a t͡s
očevidan	ô t͡ʃ e ʋ iː d a n
očigledan	ô t͡ʃ i ɡ l eː d a n
očigledno	ô t͡ʃ i ɡ l eː d n o
očinski	ô t ʃ iː n s k i
očinski	ô t ʃ iː n s k iː
očinstvo	ô t͡ʃ iː n s t ʋ o
očistiti	ǒ t͡ʃ i s t i t i
očito	ǒ t͡ʃ i t o
očuvati	o t͡ʃ ǔː ʋ a t i
ođe	ǒː d͡ʑ e
ošamariti	o ʃ ǎ m a r i t i
ošišati	o ʃ ǐː ʃ a t i
oštar	ô ʃ t a r
oštarija	o ʃ t ǎ r i j a
oštetiti	ǒ ʃ t e t i t i
oštećivati	o ʃ t e t͡ɕ ǐː ʋ a t i
oštrica	ǒ ʃ t r i t͡s a
oštrilo	ǒ ʃ t r i l o
oštrina	o ʃ t r ǐ n a
oštriti	ǒ ʃ t r i t i
oštro	ô ʃ t r o
oštrouman	ô ʃ t r o uː m a n
oštroumlje	o ʃ t r ǒ uː m ʎ e
oštroumno	ô ʃ t r o uː m n o
oženiti	o ʒ ě n i t i
ožiljak	ǒ ʒ i ʎ a k
ožiljni	ǒ ʒ iː ʎ n iː
oživeti	o ʒ ǐː ʋ e t i
oživiti	o ʒ ǐː ʋ i t i
oživjeti	o ʒ ǐː ʋ j e t i
oživljavati	o ʒ i ʋ ʎ ǎː ʋ a t i
oživotvoravati	o ʒ i ʋ o t ʋ o r ǎː ʋ a t i
oživotvoriti	o ʒ i ʋ o t ʋ ǒ r i t i
ožujak	ǒ ʒ u j a k
ožujski	ǒ ʒ u j s k iː
p	p
pa	p a
pacifizam	p a t͡s i f ǐ z a m
pacifički	p a t͡s ǐ f i t͡ʃ k iː
pacijent	p a t͡s i j ě n t
pacijent	p a t͡s ǐ j e n t
pad	p âː d
padaline	p â d a l i n e
padati	p â d a t i
padavica	p â d a ʋ i t͡s a
padavine	p â d a ʋ i n e
padela	p ǎ d e l a
padež	p ǎː d e ʒ
padobran	p â d o b r aː n
padobranac	p a d o b r ǎː n a t͡s
paganizam	p a ɡ a n ǐ z a m
paginirati	p a ɡ i n ǐː r a t i
pagoda	p ǎ ɡ o d a
pahulja	p ǎ x u ʎ a
pahuljica	p a x ǔ ʎ i t͡s a
pajser	p ǎ j s e r
pajzl	p ǎ j z l
pak	p â k
pakao	p ǎ k a o
paket	p ǎ k eː t
paketić	p a k ě t i t͡ɕ
pakirati	p a k ǐː r a t i
pakistanski	p â k i s t aː n s k iː
paklen	p ǎ k l e n
pakosnik	p â k o s n iː k
pakosno	p â k o s n o
pakost	p â k oː s t
pakostan	p â k o s t a n
pakovati	p â k o ʋ a t i
palac	p â l a t͡s
palanka	p ǎ l aː n k a
palatal	p a l ǎ t aː l
palatalni	p â l a t aː l n iː
palača	p ǎ l a t͡ʃ a
palačinka	p a l a t͡ʃ ǐː n k a
palenta	p ǎ l eː n t a
paleografija	p a l e o ɡ r ǎ f i j a
paleontolog	p a l e o n t ǒ l o ɡ
paleontologija	p a l e o n t o l ǒ ɡ i j a
paleontološki	p a l e o n t ǒ l o ʃ k i
paleontološki	p a l e o n t ǒ l o ʃ k iː
paleozoik	p a l e o z ǒ i k
palestinski	p a l ě s t iː n s k i
palestinski	p a l ě s t iː n s k iː
palež	p ǎː l e ʒ
pali	p âː l i
palica	p â l i t͡s a
palimpsest	p a l ǐ m p s e s t
paliti	p ǎː l i t i
paljba	p ǎ ʎ b a
palma	p âː l m a
palmin	p âː l m i n
paluba	p â l u b a
pamet	p â m eː t
pametan	p â m e t a n
pametnjaković	p a m e t ɲ ǎː k o ʋ i t͡ɕ
pametno	p â m e t n o
pamflet	p ǎ m f l eː t
pamfletist	p a m f l ě t i s t
pamtiti	p âː m t i t i
pamtivek	p ǎ m t i ʋ eː k
pamtivijek	p ǎ m t i ʋ i j eː k
pamuk	p ǎ m u k
pamučan	p ǎ m u t͡ʃ a n
panaceja	p a n a t͡s ěː j a
panamski	p ǎ n a m s k iː
pancir	p ǎ n t͡s iː r
pancirka	p ǎ n t͡s iː r k a
panda	p ǎː n d a
pandur	p ǎ n d uː r
pandža	p âː n d͡ʒ a
panegirik	p a n e ɡ ǐ r i k
panelirati	p a n e l ǐː r a t i
panenteizam	p a n e n t e ǐ z a m
panika	p ǎ n i k a
paničan	p ǎ n i t͡ʃ a n
paničarka	p ǎ n i t͡ʃ aː r k a
panično	p ǎ n i t͡ʃ n o
panj	p âː ɲ
panorama	p a n o r ǎː m a
panpsihizam	p a n p s i x ǐ z a m
pansion	p a n s ǐ oː n
panslavist	p a n s l ǎ ʋ i s t
panslavistički	p a n s l a ʋ ǐ s t i t͡ʃ k i
panslavistički	p a n s l a ʋ ǐ s t i t͡ʃ k iː
panslavizam	p a n s l a ʋ ǐ z a m
pantalone	p a n t a l ǒː n e
panteist	p a n t ě i s t
panteistički	p a n t e ǐ s t i t ʃ k i
panteistički	p a n t e ǐ s t i t ʃ k iː
panteizam	p a n t e ǐ z a m
panteon	p ǎ n t e oː n
