'tamo'	t̪ a m o
franquicia	f ɾ ã ŋ k i s j a
franquiciada	f ɾ ã ŋ k i s j a ð̞ a
franquiciadas	f ɾ ã ŋ k i s j a ð̞ a s
franquiciado	f ɾ ã ŋ k i s j a ð̞ o
franquiciador	f ɾ ã ŋ k i s j a ð̞ o ɾ
franquiciadora	f ɾ ã ŋ k i s j a ð̞ o ɾ a
franquiciados	f ɾ ã ŋ k i s j a ð̞ o s
franquiciar	f ɾ ã ŋ k i s j a ɾ
franquincienso	f ɾ ã ŋ k ĩ n s j ẽ n s o
franquismo	f ɾ ã ŋ k i z m o
franquista	f ɾ ã ŋ k i s t̪ a
frapita	f ɾ a p i t̪ a
frapitas	f ɾ a p i t̪ a s
frappuccino	f ɾ a p u t͡ʃ i n o
frapé	f ɾ a p e
frasco	f ɾ a s k o
frase	f ɾ a s e
fraseada	f ɾ a s e a ð̞ a
fraseadas	f ɾ a s e a ð̞ a s
fraseado	f ɾ a s e a ð̞ o
fraseados	f ɾ a s e a ð̞ o s
fraseando	f ɾ a s e ã n̪ d̪ o
frasear	f ɾ a s e a ɾ
frasecilla	f ɾ a s e s i ʃ a
frasecilla	f ɾ a s e s i ʝ a
frasecita	f ɾ a s e s i t̪ a
fraseo	f ɾ a s e o
fraseológico	f ɾ a s e o l o x i k o
frasquillo	f ɾ a s k i ʝ o
frasquito	f ɾ a s k i t̪ o
fraterna	f ɾ a t̪ e ɾ n a
fraternal	f ɾ a t̪ e ɾ n a l
fraternales	f ɾ a t̪ e ɾ n a l e s
fraternidad	f ɾ a t̪ e ɾ n i ð̞ a ð̞
fraterniza	f ɾ a t̪ e ɾ n i s a
fraternizada	f ɾ a t̪ e ɾ n i s a ð̞ a
fraternizadas	f ɾ a t̪ e ɾ n i s a ð̞ a s
fraternizado	f ɾ a t̪ e ɾ n i s a ð̞ o
fraternizados	f ɾ a t̪ e ɾ n i s a ð̞ o s
fraternizamos	f ɾ a t̪ e ɾ n i s a m o s
fraternizando	f ɾ a t̪ e ɾ n i s ã n̪ d̪ o
fraternizar	f ɾ a t̪ e ɾ n i s a ɾ
fraternizara	f ɾ a t̪ e ɾ n i s a ɾ a
fraternizaras	f ɾ a t̪ e ɾ n i s a ɾ a s
fraternizareis	f ɾ a t̪ e ɾ n i s a ɾ e i̯ s
fraternizaremos	f ɾ a t̪ e ɾ n i s a ɾ e m o s
fraternizares	f ɾ a t̪ e ɾ n i s a ɾ e s
fraternizará	f ɾ a t̪ e ɾ n i s a ɾ a
fraternizarás	f ɾ a t̪ e ɾ n i s a ɾ a s
fraternizaréis	f ɾ a t̪ e ɾ n i s a ɾ e i̯ s
fraternizaría	f ɾ a t̪ e ɾ n i s a ɾ i a
fraternizaríamos	f ɾ a t̪ e ɾ n i s a ɾ i a m o s
fraternizarías	f ɾ a t̪ e ɾ n i s a ɾ i a s
fraternizas	f ɾ a t̪ e ɾ n i s a s
fraternizaste	f ɾ a t̪ e ɾ n i s a s t̪ e
fraternizo	f ɾ a t̪ e ɾ n i s o
fraternizáis	f ɾ a t̪ e ɾ n i s a i̯ s
fraternizáramos	f ɾ a t̪ e ɾ n i s a ɾ a m o s
fraterno	f ɾ a t̪ e ɾ n o
fratricida	f ɾ a t̪ i s i ð̞ a
fratricida	f ɾ a t̪ ɾ i s i ð̞ a
fratricidio	f ɾ a t̪ i s i ð̞ j o
fratricidio	f ɾ a t̪ ɾ i s i ð̞ j o
fraude	f ɾ a u̯ ð̞ e
fraudulenta	f ɾ a u̯ ð̞ u l ẽ n̪ t̪ a
fraudulentas	f ɾ a u̯ ð̞ u l ẽ n̪ t̪ a s
fraudulento	f ɾ a u̯ ð̞ u l ẽ n̪ t̪ o
fraudulentos	f ɾ a u̯ ð̞ u l ẽ n̪ t̪ o s
frazada	f ɾ a s a ð̞ a
freatomagmático	f ɾ e a t̪ o m a ɣ̞ m a t̪ i k o
frecuencia	f ɾ e k w ẽ n s j a
frecuentada	f ɾ e k w ẽ n̪ t̪ a ð̞ a
frecuentadas	f ɾ e k w ẽ n̪ t̪ a ð̞ a s
frecuentado	f ɾ e k w ẽ n̪ t̪ a ð̞ o
frecuentador	f ɾ e k w ẽ n̪ t̪ a ð̞ o ɾ
frecuentadora	f ɾ e k w ẽ n̪ t̪ a ð̞ o ɾ a
frecuentados	f ɾ e k w ẽ n̪ t̪ a ð̞ o s
frecuentar	f ɾ e k w ẽ n̪ t̪ a ɾ
frecuentativo	f ɾ e k w ẽ n̪ t̪ a t̪ i β̞ o
frecuente	f ɾ e k w ẽ n̪ t̪ e
frecuentemente	f ɾ e k w ẽ n̪ t̪ e m ẽ n̪ t̪ e
frecuentes	f ɾ e k w ẽ n̪ t̪ e s
frecuentísimo	f ɾ e k w ẽ n̪ t̪ i s i m o
fredo	f ɾ e ð̞ o
freelance	f ɾ i l ã n s
freelancer	f ɾ i l ã n s e ɾ
freestyle	f ɾ i s t̪ a i̯ l
fregada	f ɾ e ɣ̞ a ð̞ a
fregadas	f ɾ e ɣ̞ a ð̞ a s
fregadero	f ɾ e ɣ̞ a ð̞ e ɾ o
fregado	f ɾ e ɣ̞ a ð̞ o
fregados	f ɾ e ɣ̞ a ð̞ o s
fregar	f ɾ e ɣ̞ a ɾ
fregona	f ɾ e ɣ̞ o n a
fregotear	f ɾ e ɣ̞ o t̪ e a ɾ
fregoteo	f ɾ e ɣ̞ o t̪ e o
freguesia	f ɾ e ɣ̞ e s j a
freguesía	f ɾ e ɣ̞ e s i a
freidora	f ɾ e i ð̞ o ɾ a
freidora	f ɾ e i̯ ð̞ o ɾ a
freiduría	f ɾ e i̯ ð̞ u ɾ i a
frejol	f ɾ e x o l
frenada	f ɾ e n a ð̞ a
frenadas	f ɾ e n a ð̞ a s
frenado	f ɾ e n a ð̞ o
frenados	f ɾ e n a ð̞ o s
frenaje	f ɾ e n a x e
frenar	f ɾ e n a ɾ
frenazo	f ɾ e n a s o
frenazos	f ɾ e n a s o s
frenesí	f ɾ e n e s i
frenillo	f ɾ e n i ʝ o
freno	f ɾ e n o
frenocólico	f ɾ e n o k o l i k o
frenología	f ɾ e n o l o x i a
frenopática	f ɾ e n o p a t̪ i k a
frenopáticas	f ɾ e n o p a t̪ i k a s
frenopático	f ɾ e n o p a t̪ i k o
frenopáticos	f ɾ e n o p a t̪ i k o s
frente	f ɾ ẽ n̪ t̪ e
frentear	f ɾ ẽ n̪ t̪ e a ɾ
frentera	f ɾ ẽ n̪ t̪ e ɾ a
frentero	f ɾ ẽ n̪ t̪ e ɾ o
frentes	f ɾ ẽ n̪ t̪ e s
frentirrojo	f ɾ ẽ n̪ t̪ i r o x o
frentista	f ɾ ẽ n̪ t̪ i s t̪ a
frentona	f ɾ ẽ n̪ t̪ o n a
frentonas	f ɾ ẽ n̪ t̪ o n a s
frentones	f ɾ ẽ n̪ t̪ o n e s
frentudo	f ɾ ẽ n̪ t̪ u ð̞ o
frentón	f ɾ ẽ n̪ t̪ õ n
frenuloplastia	f ɾ e n u l o p l a s t̪ j a
frenéticamente	f ɾ e n e t̪ i k a m ẽ n̪ t̪ e
frenético	f ɾ e n e t̪ i k o
frenón	f ɾ e n õ n
frepasista	f ɾ e p a s i s t̪ a
fresa	f ɾ e s a
fresada	f ɾ e s a ð̞ a
fresadas	f ɾ e s a ð̞ a s
fresado	f ɾ e s a ð̞ o
fresador	f ɾ e s a ð̞ o ɾ
fresadora	f ɾ e s a ð̞ o ɾ a
fresados	f ɾ e s a ð̞ o s
fresar	f ɾ e s a ɾ
fresca	f ɾ e s k a
frescamente	f ɾ e s k a m ẽ n̪ t̪ e
fresco	f ɾ e s k o
frescor	f ɾ e s k o ɾ
frescura	f ɾ e s k u ɾ a
fresera	f ɾ e s e ɾ a
fresita	f ɾ e s i t̪ a
fresno	f ɾ e z n o
fresquita	f ɾ e s k i t̪ a
fresquitas	f ɾ e s k i t̪ a s
fresquito	f ɾ e s k i t̪ o
fresquitos	f ɾ e s k i t̪ o s
fresquísimo	f ɾ e s k i s i m o
fresón	f ɾ e s õ n
fretada	f ɾ e t̪ a ð̞ a
fretadas	f ɾ e t̪ a ð̞ a s
fretado	f ɾ e t̪ a ð̞ o
fretados	f ɾ e t̪ a ð̞ o s
fretar	f ɾ e t̪ a ɾ
frete	f ɾ e t̪ e
freudiana	f ɾ e u̯ ð̞ j a n a
freudiana	f ɾ o i̯ ð̞ j a n a
freudianas	f ɾ e u̯ ð̞ j a n a s
freudianas	f ɾ o i̯ ð̞ j a n a s
freudiano	f ɾ e u̯ ð̞ j a n o
freudiano	f ɾ o i̯ ð̞ j a n o
freudianos	f ɾ e u̯ ð̞ j a n o s
freudianos	f ɾ o i̯ ð̞ j a n o s
frevo	f ɾ e β̞ o
freza	f ɾ e s a
frezar	f ɾ e s a ɾ
freí	f ɾ e i
freíd	f ɾ e i ð̞
freímos	f ɾ e i m o s
freír	f ɾ e i ɾ
freírsela	f ɾ e i ɾ s e l a
freís	f ɾ e i s
freíste	f ɾ e i s t̪ e
freísteis	f ɾ e i s t̪ e i̯ s
freón	f ɾ e õ n
friabilidad	f ɾ j a β̞ i l i ð̞ a ð̞
friable	f ɾ j a β̞ l e
friais	f ɾ j a i̯ s
friaje	f ɾ j a x e
frialdad	f ɾ j a l̪ d̪ a ð̞
friambre	f ɾ j ã m b ɾ e
friamos	f ɾ j a m o s
frias	f ɾ j a s
fricandó	f ɾ i k ã n̪ d̪ o
fricasé	f ɾ i k a s e
fricativa	f ɾ i k a t̪ i β̞ a
fricativas	f ɾ i k a t̪ i β̞ a s
fricativo	f ɾ i k a t̪ i β̞ o
fricativos	f ɾ i k a t̪ i β̞ o s
friccional	f ɾ i ɣ̞ s j o n a l
friccionar	f ɾ i ɣ̞ s j o n a ɾ
fricción	f ɾ i ɣ̞ s j õ n
friegaplatos	f ɾ j e ɣ̞ a p l a t̪ o s
friend	f ɾ ẽ n̪ d̪
friera	f ɾ j e ɾ a
frieron	f ɾ j e ɾ õ n
frigia	f ɾ i x j a
frigider	f ɾ i x i ð̞ e ɾ
frigidez	f ɾ i x i ð̞ e s
frigidísimo	f ɾ i x i ð̞ i s i m o
frigio	f ɾ i x j o
frigo	f ɾ i ɣ̞ o
frigorífico	f ɾ i ɣ̞ o ɾ i f i k o
frijol	f ɾ i x o l
frijolada	f ɾ i x o l a ð̞ a
frijolar	f ɾ i x o l a ɾ
frijolero	f ɾ i x o l e ɾ o
frijoles	f ɾ i x o l e s
frijolito	f ɾ i x o l i t̪ o
friki	f ɾ i k i
frikiplaza	f ɾ i k i p l a s a
frikirap	f ɾ i k i r a p
frikismo	f ɾ i k i z m o
frio	f ɾ j o
frior	f ɾ j o ɾ
friqueada	f ɾ i k e a ð̞ a
friqueadas	f ɾ i k e a ð̞ a s
friqueado	f ɾ i k e a ð̞ o
friqueados	f ɾ i k e a ð̞ o s
friquear	f ɾ i k e a ɾ
friqui	f ɾ i k i
frisa	f ɾ i s a
frisada	f ɾ i s a ð̞ a
frisadas	f ɾ i s a ð̞ a s
frisado	f ɾ i s a ð̞ o
frisados	f ɾ i s a ð̞ o s
frisar	f ɾ i s a ɾ
frisca	f ɾ i s k a
frisia	f ɾ i s j a
frisio	f ɾ i s j o
friso	f ɾ i s o
frisona	f ɾ i s o n a
frisos	f ɾ i s o s
frisuelo	f ɾ i s w e l o
frisón	f ɾ i s õ n
frita	f ɾ i t̪ a
fritada	f ɾ i t̪ a ð̞ a
fritadas	f ɾ i t̪ a ð̞ a s
fritado	f ɾ i t̪ a ð̞ o
fritados	f ɾ i t̪ a ð̞ o s
fritamos	f ɾ i t̪ a m o s
fritanga	f ɾ i t̪ ã ŋ ɡ a
fritar	f ɾ i t̪ a ɾ
fritas	f ɾ i t̪ a s
frito	f ɾ i t̪ o
fritura	f ɾ i t̪ u ɾ a
friulano	f ɾ j u l a n o
frivolidad	f ɾ i β̞ o l i ð̞ a ð̞
frivolizada	f ɾ i β̞ o l i s a ð̞ a
frivolizadas	f ɾ i β̞ o l i s a ð̞ a s
frivolizado	f ɾ i β̞ o l i s a ð̞ o
frivolizados	f ɾ i β̞ o l i s a ð̞ o s
frivolizar	f ɾ i β̞ o l i s a ɾ
frizar	f ɾ i s a ɾ
frizz	f ɾ i s
froga	f ɾ o ɣ̞ a
fronda	f ɾ õ n̪ d̪ a
fronde	f ɾ õ n̪ d̪ e
frondicismo	f ɾ õ n̪ d̪ i s i z m o
frondicista	f ɾ õ n̪ d̪ i s i s t̪ a
frondizismo	f ɾ õ n̪ d̪ i s i z m o
frondosamente	f ɾ õ n̪ d̪ o s a m ẽ n̪ t̪ e
frondoso	f ɾ õ n̪ d̪ o s o
frondosísimo	f ɾ õ n̪ d̪ o s i s i m o
frontal	f ɾ õ n̪ t̪ a l
frontales	f ɾ õ n̪ t̪ a l e s
fronte	f ɾ õ n̪ t̪ e
frontera	f ɾ õ n̪ t̪ e ɾ a
fronterizo	f ɾ õ n̪ t̪ e ɾ i s o
frontero	f ɾ õ n̪ t̪ e ɾ o
frontis	f ɾ õ n̪ t̪ i s
frontispicio	f ɾ õ n̪ t̪ i s p i s j o
frontobasal	f ɾ õ n̪ t̪ o β̞ a s a l
frontotemporal	f ɾ õ n̪ t̪ o t̪ ẽ m p o ɾ a l
frontotemporales	f ɾ õ n̪ t̪ o t̪ ẽ m p o ɾ a l e s
frontón	f ɾ õ n̪ t̪ õ n
frotación	f ɾ o t̪ a s j õ n
frotada	f ɾ o t̪ a ð̞ a
frotadas	f ɾ o t̪ a ð̞ a s
frotado	f ɾ o t̪ a ð̞ o
frotador	f ɾ o t̪ a ð̞ o ɾ
frotados	f ɾ o t̪ a ð̞ o s
frotamiento	f ɾ o t̪ a m j ẽ n̪ t̪ o
frotar	f ɾ o t̪ a ɾ
frote	f ɾ o t̪ e
frotis	f ɾ o t̪ i s
frotársela	f ɾ o t̪ a ɾ s e l a
fructificación	f ɾ u ɣ̞ t̪ i f i k a s j õ n
fructificada	f ɾ u ɣ̞ t̪ i f i k a ð̞ a
fructificadas	f ɾ u ɣ̞ t̪ i f i k a ð̞ a s
fructificado	f ɾ u ɣ̞ t̪ i f i k a ð̞ o
fructificados	f ɾ u ɣ̞ t̪ i f i k a ð̞ o s
fructificar	f ɾ u ɣ̞ t̪ i f i k a ɾ
fructosa	f ɾ u ɣ̞ t̪ o s a
fructuoso	f ɾ u ɣ̞ t̪ w o s o
fructífera	f ɾ u ɣ̞ t̪ i f e ɾ a
fructíferas	f ɾ u ɣ̞ t̪ i f e ɾ a s
fructífero	f ɾ u ɣ̞ t̪ i f e ɾ o
fructíferos	f ɾ u ɣ̞ t̪ i f e ɾ o s
frugal	f ɾ u ɣ̞ a l
frugalidad	f ɾ u ɣ̞ a l i ð̞ a ð̞
frugívoro	f ɾ u x i β̞ o ɾ o
fruición	f ɾ w i s j õ n
fruida	f ɾ w i ð̞ a
fruidas	f ɾ w i ð̞ a s
fruido	f ɾ w i ð̞ o
fruidos	f ɾ w i ð̞ o s
fruir	f ɾ u i ɾ
frula	f ɾ u l a
frunce	f ɾ ũ n s e
frunces	f ɾ ũ n s e s
fruncida	f ɾ ũ n s i ð̞ a
fruncidas	f ɾ ũ n s i ð̞ a s
fruncido	f ɾ ũ n s i ð̞ o
fruncidos	f ɾ ũ n s i ð̞ o s
fruncimiento	f ɾ ũ n s i m j ẽ n̪ t̪ o
fruncir	f ɾ ũ n s i ɾ
fruslería	f ɾ u s l e ɾ i a
frustra	f ɾ u s t̪ ɾ a
frustración	f ɾ u s t̪ ɾ a s j õ n
frustrada	f ɾ u s t̪ ɾ a ð̞ a
frustradas	f ɾ u s t̪ ɾ a ð̞ a s
frustrado	f ɾ u s t̪ ɾ a ð̞ o
frustrados	f ɾ u s t̪ ɾ a ð̞ o s
frustramos	f ɾ u s t̪ ɾ a m o s
frustrando	f ɾ u s t̪ ɾ ã n̪ d̪ o
frustrante	f ɾ u s t̪ ɾ ã n̪ t̪ e
frustrantemente	f ɾ u s t̪ ɾ ã n̪ t̪ e m ẽ n̪ t̪ e
frustrantes	f ɾ u s t̪ ɾ ã n̪ t̪ e s
frustrar	f ɾ u s t̪ ɾ a ɾ
frustrara	f ɾ u s t̪ ɾ a ɾ a
frustraras	f ɾ u s t̪ ɾ a ɾ a s
frustrareis	f ɾ u s t̪ ɾ a ɾ e i̯ s
frustraremos	f ɾ u s t̪ ɾ a ɾ e m o s
frustrares	f ɾ u s t̪ ɾ a ɾ e s
frustrará	f ɾ u s t̪ ɾ a ɾ a
frustrarás	f ɾ u s t̪ ɾ a ɾ a s
frustraríamos	f ɾ u s t̪ ɾ a ɾ i a m o s
frustras	f ɾ u s t̪ ɾ a s
frustraste	f ɾ u s t̪ ɾ a s t̪ e
frustre	f ɾ u s t̪ ɾ e
frustremos	f ɾ u s t̪ ɾ e m o s
frustres	f ɾ u s t̪ ɾ e s
frustro	f ɾ u s t̪ ɾ o
frustráramos	f ɾ u s t̪ ɾ a ɾ a m o s
fruta	f ɾ u t̪ a
frutabomba	f ɾ u t̪ a β̞ õ m b a
frutal	f ɾ u t̪ a l
frutalidad	f ɾ u t̪ a l i ð̞ a ð̞
frutar	f ɾ u t̪ a ɾ
frutas	f ɾ u t̪ a s
frutera	f ɾ u t̪ e ɾ a
frutero	f ɾ u t̪ e ɾ o
frutería	f ɾ u t̪ e ɾ i a
fruticoso	f ɾ u t̪ i k o s o
frutifantástico	f ɾ u t̪ i f ã n̪ t̪ a s t̪ i k o
frutilla	f ɾ u t̪ i ʝ a
fruto	f ɾ u t̪ o
frutícola	f ɾ u t̪ i k o l a
frágil	f ɾ a x i l
frágiles	f ɾ a x i l e s
frágilmente	f ɾ a x i l m ẽ n̪ t̪ e
frámea	f ɾ a m e a
fráncico	f ɾ ã n s i k o
frémito	f ɾ e m i t̪ o
frémitos	f ɾ e m i t̪ o s
frénica	f ɾ e n i k a
frénicas	f ɾ e n i k a s
frénico	f ɾ e n i k o
frénicos	f ɾ e n i k o s
fría	f ɾ i a
frían	f ɾ i ã n
frías	f ɾ i a s
fríe	f ɾ i e
fríen	f ɾ i ẽ n
fríes	f ɾ i e s
frígida	f ɾ i x i ð̞ a
frígido	f ɾ i x i ð̞ o
fríjol	f ɾ i x o l
frío	f ɾ i o
fríos	f ɾ i o s
frívola	f ɾ i β̞ o l a
frívolamente	f ɾ i β̞ o l a m ẽ n̪ t̪ e
frívolas	f ɾ i β̞ o l a s
frívolo	f ɾ i β̞ o l o
frívolos	f ɾ i β̞ o l o s
frónesis	f ɾ o n e s i s
ftalato	e f t̪ a l a t̪ o
ftalato	f t̪ a l a t̪ o
ftalocianina	e f t̪ a l o s j a n i n a
ftalocianina	f t̪ a l o s j a n i n a
ftálico	e f t̪ a l i k o
ftálico	f t̪ a l i k o
fu	f u
fua	f w a
fuca	f u k a
fucha	f u t͡ʃ a
fuchi	f u t͡ʃ i
fuck	f a k
fuck	f o k
fucking	f a k ĩ n
fucking	f o k ĩ n
fucsia	f u ɣ̞ s j a
fucsina	f u ɣ̞ s i n a
fucú	f u k u
fue	f w e
fuego	f w e ɣ̞ o
fueguina	f w e ɣ̞ i n a
fueguino	f w e ɣ̞ i n o
fuelle	f w e ʝ e
fuelles	f w e ʝ e s
fuelóleo	f w e l o l e o
fuente	f w ẽ n̪ t̪ e
fuentecilla	f w ẽ n̪ t̪ e s i ʃ a
fuentecilla	f w ẽ n̪ t̪ e s i ʝ a
fuera	f w e ɾ a
fuerais	f w e ɾ a i̯ s
fueran	f w e ɾ ã n
fueras	f w e ɾ a s
fuere	f w e ɾ e
fuereis	f w e ɾ e i̯ s
fueren	f w e ɾ ẽ n
fueres	f w e ɾ e s
fuereña	f w e ɾ e ɲ a
fuereño	f w e ɾ e ɲ o
fuerismo	f w e ɾ i z m o
fuero	f w e ɾ o
fueron	f w e ɾ õ n
fuerte	f w e ɾ t̪ e
fuertecito	f w e ɾ t̪ e s i t̪ o
fuertemente	f w e ɾ t̪ e m ẽ n̪ t̪ e
fuertísimo	f w e ɾ t̪ i s i m o
fuerza	f w e ɾ s a
fuerzas	f w e ɾ s a s
fuerzo	f w e ɾ s o
fuese	f w e s e
fueseis	f w e s e i̯ s
fuesen	f w e s ẽ n
fueses	f w e s e s
fuet	f u e t̪
fuetazo	f w e t̪ a s o
fuetazos	f w e t̪ a s o s
fuete	f w e t̪ e
fuetes	f w e t̪ e s
fuets	f u e t̪ s
fufada	f u f a ð̞ a
fufadas	f u f a ð̞ a s
fufado	f u f a ð̞ o
fufados	f u f a ð̞ o s
fufar	f u f a ɾ
fufo	f u f o
fufurufa	f u f u ɾ u f a
fufurufo	f u f u ɾ u f o
fufú	f u f u
fuga	f u ɣ̞ a
fugaces	f u ɣ̞ a s e s
fugacidad	f u ɣ̞ a s i ð̞ a ð̞
fugar	f u ɣ̞ a ɾ
fugarse	f u ɣ̞ a ɾ s e
fugas	f u ɣ̞ a s
fugaz	f u ɣ̞ a s
fugaza	f u ɣ̞ a s a
fugir	f u x i ɾ
fugitiva	f u x i t̪ i β̞ a
fugitivas	f u x i t̪ i β̞ a s
fugitivo	f u x i t̪ i β̞ o
fugitivos	f u x i t̪ i β̞ o s
fugues	f u ɣ̞ e s
fugá	f u ɣ̞ a
fui	f w i
fuimos	f w i m o s
fuir	f u i ɾ
fuiste	f w i s t̪ e
fuisteis	f w i s t̪ e i̯ s
fujimorazo	f u x i m o ɾ a s o
fujimorazo	f u ʝ i m o ɾ a s o
fujimorazos	f u x i m o ɾ a s o s
fujimorazos	f u ʝ i m o ɾ a s o s
fujimorista	f u x i m o ɾ i s t̪ a
fukú	f u k u
ful	f u l
fulana	f u l a n a
fulanito	f u l a n i t̪ o
fulano	f u l a n o
fular	f u l a ɾ
fulbo	f u l β̞ o
fulcro	f u l k ɾ o
fulear	f u l e a ɾ
fulero	f u l e ɾ o
fulgir	f u l x i ɾ
fulgor	f u l ɣ̞ o ɾ
fulguración	f u l ɣ̞ u ɾ a s j õ n
fulgurada	f u l ɣ̞ u ɾ a ð̞ a
fulguradas	f u l ɣ̞ u ɾ a ð̞ a s
fulgurado	f u l ɣ̞ u ɾ a ð̞ o
fulgurados	f u l ɣ̞ u ɾ a ð̞ o s
fulgurar	f u l ɣ̞ u ɾ a ɾ
fulguroso	f u l ɣ̞ u ɾ o s o
fulguré	f u l ɣ̞ u ɾ e
fulita	f u l i t̪ a
full	f u l
fullereno	f u ʝ e ɾ e n o
fullero	f u ʝ e ɾ o
fulmar	f u l m a ɾ
fulminada	f u l m i n a ð̞ a
fulminadas	f u l m i n a ð̞ a s
fulminado	f u l m i n a ð̞ o
fulminados	f u l m i n a ð̞ o s
fulminante	f u l m i n ã n̪ t̪ e
fulminar	f u l m i n a ɾ
fulminea	f u l m i n e a
fulmineas	f u l m i n e a s
fulmineos	f u l m i n e o s
fulmínea	f u l m i n e a
fulmíneas	f u l m i n e a s
fulmíneo	f u l m i n e o
fulmíneos	f u l m i n e o s
fuma	f u m a
fumable	f u m a β̞ l e
fumables	f u m a β̞ l e s
fumada	f u m a ð̞ a
fumadas	f u m a ð̞ a s
fumadito	f u m a ð̞ i t̪ o
fumado	f u m a ð̞ o
fumador	f u m a ð̞ o ɾ
fumadora	f u m a ð̞ o ɾ a
fumadoras	f u m a ð̞ o ɾ a s
fumadores	f u m a ð̞ o ɾ e s
fumados	f u m a ð̞ o s
fumamos	f u m a m o s
fumar	f u m a ɾ
fumarola	f u m a ɾ o l a
fumarólico	f u m a ɾ o l i k o
fumbleada	f ũ m b l e a ð̞ a
fumbleadas	f ũ m b l e a ð̞ a s
fumbleado	f ũ m b l e a ð̞ o
fumbleados	f ũ m b l e a ð̞ o s
fumigada	f u m i ɣ̞ a ð̞ a
fumigadas	f u m i ɣ̞ a ð̞ a s
fumigado	f u m i ɣ̞ a ð̞ o
fumigadora	f u m i ɣ̞ a ð̞ o ɾ a
fumigados	f u m i ɣ̞ a ð̞ o s
fumigante	f u m i ɣ̞ ã n̪ t̪ e
fumigar	f u m i ɣ̞ a ɾ
fumigares	f u m i ɣ̞ a ɾ e s
fumo	f u m o
fumígeno	f u m i x e n o
funa	f u n a
funambulesco	f u n ã m b u l e s k o
funar	f u n a ɾ
funcada	f ũ ŋ k a ð̞ a
funcadas	f ũ ŋ k a ð̞ a s
funcado	f ũ ŋ k a ð̞ o
funcados	f ũ ŋ k a ð̞ o s
funcar	f ũ ŋ k a ɾ
funchar	f ũ nʲ t͡ʃ a ɾ
funcionada	f ũ n s j o n a ð̞ a
funcionadas	f ũ n s j o n a ð̞ a s
funcionado	f ũ n s j o n a ð̞ o
funcionados	f ũ n s j o n a ð̞ o s
funcional	f ũ n s j o n a l
funcionalidad	f ũ n s j o n a l i ð̞ a ð̞
funcionalismo	f ũ n s j o n a l i z m o
funcionalización	f ũ n s j o n a l i s a s j õ n
funcionalizada	f ũ n s j o n a l i s a ð̞ a
funcionalizadas	f ũ n s j o n a l i s a ð̞ a s
funcionalizado	f ũ n s j o n a l i s a ð̞ o
funcionalizados	f ũ n s j o n a l i s a ð̞ o s
funcionalizar	f ũ n s j o n a l i s a ɾ
funcionalmente	f ũ n s j o n a l m ẽ n̪ t̪ e
funcionamiento	f ũ n s j o n a m j ẽ n̪ t̪ o
funcionamos	f ũ n s j o n a m o s
funcionando	f ũ n s j o n ã n̪ d̪ o
funcionar	f ũ n s j o n a ɾ
funcionaria	f ũ n s j o n a ɾ j a
funcionariado	f ũ n s j o n a ɾ j a ð̞ o
funcionario	f ũ n s j o n a ɾ j o
función	f ũ n s j õ n
funda	f ũ n̪ d̪ a
fundacional	f ũ n̪ d̪ a s j o n a l
fundación	f ũ n̪ d̪ a s j õ n
fundada	f ũ n̪ d̪ a ð̞ a
fundadas	f ũ n̪ d̪ a ð̞ a s
fundado	f ũ n̪ d̪ a ð̞ o
fundador	f ũ n̪ d̪ a ð̞ o ɾ
fundadora	f ũ n̪ d̪ a ð̞ o ɾ a
fundadoras	f ũ n̪ d̪ a ð̞ o ɾ a s
fundadores	f ũ n̪ d̪ a ð̞ o ɾ e s
fundados	f ũ n̪ d̪ a ð̞ o s
fundamenta	f ũ n̪ d̪ a m ẽ n̪ t̪ a
fundamentación	f ũ n̪ d̪ a m ẽ n̪ t̪ a s j õ n
fundamentada	f ũ n̪ d̪ a m ẽ n̪ t̪ a ð̞ a
fundamentadas	f ũ n̪ d̪ a m ẽ n̪ t̪ a ð̞ a s
fundamentado	f ũ n̪ d̪ a m ẽ n̪ t̪ a ð̞ o
fundamentados	f ũ n̪ d̪ a m ẽ n̪ t̪ a ð̞ o s
fundamental	f ũ n̪ d̪ a m ẽ n̪ t̪ a l
fundamentalistas	f ũ n̪ d̪ a m ẽ n̪ t̪ a l i s t̪ a s
fundamentalmente	f ũ n̪ d̪ a m ẽ n̪ t̪ a l m ẽ n̪ t̪ e
fundamentamos	f ũ n̪ d̪ a m ẽ n̪ t̪ a m o s
fundamentando	f ũ n̪ d̪ a m ẽ n̪ t̪ ã n̪ d̪ o
fundamentar	f ũ n̪ d̪ a m ẽ n̪ t̪ a ɾ
fundamentara	f ũ n̪ d̪ a m ẽ n̪ t̪ a ɾ a
fundamentaras	f ũ n̪ d̪ a m ẽ n̪ t̪ a ɾ a s
fundamentareis	f ũ n̪ d̪ a m ẽ n̪ t̪ a ɾ e i̯ s
fundamentaremos	f ũ n̪ d̪ a m ẽ n̪ t̪ a ɾ e m o s
fundamentares	f ũ n̪ d̪ a m ẽ n̪ t̪ a ɾ e s
fundamentará	f ũ n̪ d̪ a m ẽ n̪ t̪ a ɾ a
fundamentarás	f ũ n̪ d̪ a m ẽ n̪ t̪ a ɾ a s
fundamentaríamos	f ũ n̪ d̪ a m ẽ n̪ t̪ a ɾ i a m o s
fundamentas	f ũ n̪ d̪ a m ẽ n̪ t̪ a s
