AB	ɑː b eː
sädgås	s ɛː d ɡ oː s
säfferot	s ɛ f e r uː t
säfferoten	s ɛ f e r uː t e n
säfferotens	s ɛ f e r uː t e n s
säfferots	s ɛ f e r uː t s
säfferötter	s ɛ f e r œ t ɛ r
säfferötterna	s ɛ f e r œ t ɛ r n a
säfferötternas	s ɛ f e r œ t ɛ r n a s
säfferötters	s ɛ f e r œ t ɛ r s
säga	² s ɛ jː a
säkerhetsläge	s ɛː k ɛ r h eː t s l ɛː ɡ ə
säl	s ɛː l
sälarna	s æː l a ɳ a
sälg	s ɛ l j
sälja	s ɛ lː j a
säljare	s ɛ l j a r e
säll	s ɛ l
sällsynt	² s ɛ l s yː n t
säng	s ɛ ŋː
sängram	s ɛ ŋ r ɑː m
särbo	s ɛː r b ʊ
särbo	² s ɛː r b uː
särskild	s ɛ̂ː r ɧ ɪ l d
särskild	ɧ
särskrivning	² s ɛː r s k r iː v n ɪ ŋ
sätt	s ɛ tː
sävsångare	s ɛː v s ɔ ŋ a r ɛ
så	s oː
såg	s oː ɡ
sågverk	s oː ɡ v ɛ r k
sån	s oː n
sån	s ɔ nː
sång	s ɔ ŋː
sångröst	² s ɔ ŋ r œ s t
sångsvan	s ɔ ŋ s v ɑː n
sånär	s ɔ n ɛː r
sår	s oː r
såra	s oː r a
sås	s oː s
såt	s oː t
såvida	s ɔ v iː d a
söder	s øː d ɛ r
söka	² s øː k a
sökbar	² s ø k b ɑː r
söm	s œ m
sömn	s œ m n
sömntuta	s œ m tʰ ʉː t a
söndag	s œ n d a
söndag	s œ n d ɑː ɡ
söt	s øː t
sötebröd	² s øː t ɛ b r øː d
sötebrödsdagar	² s øː t ɛ b r øː d s d ɑː ɡ a r
sött	s œ t
t	t eː
ta	t ɑː
tabbe	² t a b ɛ
tabberas	t a b ɛ r ɑː s
tack	t a k
tack	t ɑ k
tag	t ɑː ɡ
taggstjärtseglare	t a ɡ ɧ ɛ ʈ s eː ɡ l a ɾ ɛ
taiwanmes	t a j w a n m eː s
tajgasädgås	t a j ɡ a ɡ oː s
tajgasångare	t a j ɡ a s ɔ ŋ a r ɛ
tak	t ɑː k
tala	t ɑː l a
talang	t a l a ŋ
talko	t a l k ɔ
talko	t a lː k ɔ
tall	t a l
tallbit	t a l b iː t
tallgråmes	t a l ɡ ɾ oː m eː s
tallrik	t a l r ɪ k
talong	t a l ɔ ŋ
tambur	t a m b ʉː r
tand	t a n d
tangent	t a n j ɛ n t
tangent	t a n ɡ ɛ n t
tango	t a ŋ ɡ ʊ
tanig	t ɑː n ɪ ɡ
tanke	² t a ŋː k ɛ
tanken	² t a n k ɛ n
tanken	¹ t a n k ɛ n
tankesmedja	² t a ŋ k ɛ s m eː d j a
tant	t a n t
tasse	² t a s ɛ
tassemark	² t a s ɛ m a r k
tatarfalk	t a t ɑː r f a l k
tatta	² t a tː a
tattare	t a tː a r e
tatuera	t a t ɵ eː r a
taxi	t a kː s ɪ
te	t eː
team	t iː m
teater	t e ɑː t ɛ r
teatern	t e ɑː t ɛ r n
teaterns	t e ɑː t ɛ r n s
teaterpjäs	t e ɑː t e r p j ɛː s
teaters	t e ɑː t ɛ r s
teatrar	t e ɑː t r a r
teatrarna	t e ɑː t r a r n a
teatrarnas	t e ɑː t r a r n a s
teatrars	t e ɑː t r a r s
teg	t eː ɡ
telefon	t e l e f uː n
telefon	t ɛ l ɛ f oː n
telefon	t ɛ l ɛ f uː n
television	t ɛ l ɛ v ɪ ɧ uː n
teoretiker	t ɛ ʊ r eː t ɪ k ɛ r
teoretisk	t ɛ ʊ r eː t ɪ s k
teori	t ɛ ʊ r iː
tepartyrörelse	t eː p a r t yː r œː r ɛ l s ə
tepumla	² t eː p ɵ m l a
tequila	t e k iː l ɑ
terapeut	t æ r a p œ j t
terapeut	t æ r a p ɛ f t
terapeut	t æ r a p ɛ v t
terapeutisk	t e r a p e f t ɪ s k
terbium	t ɛ r b ɪ ɵ m
tereksnäppa	t ɛ r ɛ k s n ɛ p a
termit	t ɛ r m iː t
terror	t ɛ r ɔ r
terrorism	t ɛ r ɔ r ɪ s m
testimonium	t ɛ s t ɪ m uː n ɪ ʊ m
teve	t eː v eː
teve	t eː v ɛ
tid	t iː d
tiden	t iː d ɛ n
tiden	t iː n
tidning	² t iː n ɪ ŋ
tiger	¹ t iː ɡ ɛ r
tik	t iː k
tikar	t iː k a r
tiken	t iː k ɛ n
til	t iː l
till	t eː
till	t ɪ
till	t ɪ l
tillbaka	t ɪ l b ɑː k a
tillförordnad	² t ɪ l f œː r oː r d n a d
tillhandahålla	t ɪ l ² h a n d a h ɔ l a
tills	t ɪ l s
tills	t ɪ s
tillsammans	t ɪ l s a m a n s
tillsammans	t ɪ s a m a n s
tillverkare	² t ɪ l v ɛ r k a r ɛ
tillägnan	² t ɪ l ɛ ŋ n a n
timma	² t ɪ m a
timmar	t ɪ mː a r
timme	² t ɪ m ɛ
ting	t ɪ ŋ
tio	t iː ɛ
tio	t iː ʊ
tionde	t iː ɔ n d ɛ
tisdag	t iː s d a
tisdag	t iː s d ɑː ɡ
titan	t ɪ t ɑː n
titel	t iː t ɛ l
titel	t ɪ t ɛ l
titta	² t ɪ t a
tivoli	t iː v ɔ l iː
tivoli	t iː v ʊ l iː
tivoli	t ɪ v ɔ l iː
tivoli	t ɪ v ʊ l iː
tja	t ɕ ɑː
tja	t͡ɕ ɑ
tja	ɕ a
tja	ɕ ɑː
tjabba	ɕ a b a
tjabo	¹ ɕ ɑː b ʊ
tjack	ɕ a kː
tjalla	² ɕ a l a
tjeck	ɕ ɛ kː
tjej	ɕ ɛ j
tjena	t͡ɕ eː n ɑ
tjena	ɕ eː n a
tjenare	t͡ɕ eː n ɑ r e
tjenare	² ɕ eː n a r ɛ
tjenixen	ɕ e n ɪ k s ɛ n
tji	ɕ iː
tjock	ɕ ɔ k
tjockfot	ɧ ɔ k f uː t
tjog	ɕ oː ɡ
tjoller	t ɕ ɔ lː e̞ r
tjomme	² ɕ ʊ mː ɛ
tjorre	² ɕ ɔ r ɛ
tjuga	ɕ ʉː ɡ a
tjugo	t ɕ ʉː ɡ ʉ
tjugo	t ɕ ʉː ɡ ʊ
tjugo	² ɕ ʉː ɡ ɛ
tjugo	² ɕ ʉː ɡ ɪ
tjugo	² ɕ ʉː ɡ ʊ
tjugo	ɕ ɵ
tjugonde	ɕ ʉː ɡ ɔ n d ɛ
tjugotredje	ɕ ʉː ɡ ʊ t r eː d j e
tjugoåttonde	ɕ ʉː ɡ ʊ ɔ tː ɔ n d ə
tjur	ɕ ʉː r
tjuring	² ɕ ʉ̟ː r ɪ ŋ
tjusa	² ɕ ʉː s a
tjuta	² ɕ ʉː t a
tjuv	ɕ ʉː v
tjuvsena	ɕ ʉ v s eː n a
tjäna	² ɕ ɛː n a
tjänare	t͡ɕ eː n ɑ r e
tjänare	² ɕ ɛː n a r ɛ
tjänixen	ɕ ɛ n ɪ k s ɛ n
tjänst	ɕ ɛ n s t
tjära	ɕ ɛː r a
tjärn	ɕ ɛː ɳ
tjôta	² ɕ œː t a
tjöta	² ɕ œː t a
toa	² t uː a
toalett	t uː a l ɛ t
tobak	t uː b a k
tobisgrissla	t uː b ɪ s ɡ r ɪ s l a
toffelhjälte	² t ɔ f ɛ l j ɛ l t ɛ
tofflor	t ɔ f l ʊ ɹ
tofslunne	t ɔ f s l ɵ n ɛ
tofsvipa	t ɔ f s v iː p a
tog	t uː ɡ
tok	t uː k
tolfte	t ɔ l f t ɛ
tolv	t ɔ l v
tom	t oː m
tom	t uː m
tomt	t uː m t
tomt	t ɔ m t
tomte	t ɔ m t e
tomten	t ɔ m t ɛ n
tomten	² t ɔ m t ɛ n
ton	t uː n
ton	t ɔ n
tonartshöjning	² t uː n a r t s h œ j n ɪ ŋ
tongång	t ɔ n ɡ ɔ ŋ
toppskarv	t ɔ p s k a r v
torg	t ɔ r j
torium	t uː r ɪ ɵ m
tornedalsfinska	t oː r n ɛ d ɑː l s f ɪ n s k a
tornseglare	t uː ŋ s eː ɡ l a ɾ ɛ
torp	t ɔ rː p
torrfälla	t ɔ r f ɛ lː a
torsdag	t uː r s d ɑ
torsdag	t uː r s d ɑː ɡ
torsk	t ɔ r s k
toscakaka	t ɔ s k a k ɑː k a
total	t ʊ t ɑː l
tradition	t r a d ɪ ɧ uː n
trafikverk	t r a f iː k v ɛ r k
tragedi	t r a ɧ ɛ d iː
tragedi	ɧ
trams	t r a m s
tramsa	² t r a m s a
trapp	t ɾ a p
trappa	² t r a p a
trast	¹ t r a s t
trastsångare	t r a s t s ɔ ŋ a r ɛ
tre	t r eː
tredeciljon	t r e d ɛ s ɪ l j uː n
tredje	t r eː d j ɛ
trehjuling	² t r eː j ʉː l ɪ ŋ
tremänning	² t r eː m æ nː ɪ ŋ
tremänning	¹ t r ɛ m æ nː ɪ ŋ
tretal	t r eː t ɑː l
trettio	² t r ɛ t ɪ
trettio	² t r ɛ t ɪ ʊ
tretton	t r ɛ tː ɔ n
triathlon	t r iː a t l ɔ n
triljard	t r ɪ l j ɑː r d
triljon	t r ɪ l j uː n
trivas	t r iː v a s
trivsel	t r ɪ f s e lː
trivsel	t r ɪ v s e lː
tro	t r uː
tro't	t r uː t
troké	t r ʊ k eː
troll	t r ɔ lː
trolla	t r ɔ lː a
tron	t r uː n
trona	t r ûː n a
tror	t r uː r
trosa	t r uː s a
truga	t r ʉː ɡ a
trumpet	t r ɵ m p eː t
trä	t r ɛː
träd	t r ɛː
träd	t r ɛː d
trädgård	t r ɛ ɡ oː ɖ
trädgård	t r ɛ ɡ ɔ ɖ
trädgård	t r ɛː ɡ oː ɖ
trädgård	t r ɛː ɡ ɔ ɖ
trädmås	t r ɛ d m oː s
trädpiplärka	t r ɛ d p iː p l ɛ r k a
träl	t r ɛː l
träldom	t r ɛː l d ʊ m
träna	t r ɛː n a
träna	² t r ɛː n a
tränar	² t r ɛː n a r
tränga	t r ɛ ŋː a
träsmak	t r ɛː s m ɑː k
tråd	t r oː d
tråg	t r oː ɡ
tröja	² t r œ j a
trött	t r œ tː
tsar	s ɑː r
tsar	t s ɑː r
tsunami	s ɵ n ɑː m ɪ
tsunami	s ʉː n ɑː m ɪ
tsunami	t s ɵ n ɑː m ɪ
tsunami	t s ʉː n ɑː m ɪ
tuff	t ɵ f
tukan	t ɵ k ɑː n
tun	t ʉː n
tundrasnäppa	t ɵ n d r aː s n ɛ p a
tundravarg	² t ɵ n d r a v a r j
tung	t ɵ ŋ
tunga	² t ɵ ŋ a
tungel	t ɵ ŋ ɛ l
tunn	t ɵ n
tunnbröd	² t ɵ n b r œː
tunnbröd	² t ɵ n b r œː d
tunnbrödsrulle	² t ɵ n b r œː d s r ɵ l ɛ
tunnbrödsrulle	² t ɵ n b r œː s r ɵ l ɛ
tunnel	² t ɵ n ɛ l
tunnelbana	t ɵ n ɛ l b ɑː n a
tupp	t ɵ p
tura	² t ʉː r a
turban	t ɵ r b ɑː n
turism	t ɵ r ɪ s m
turkestantörnskata	t ɵ r k ɛ s t ɑː n t øː r n s k ɑː t a
tusan	² t ʉː s a n
tusen	t ʉː s ɛ n
tuvsnäppa	t ʉː v s n ɛ p a
tv	t eː v eː
tv	t eː v ɛ
tvedräkt	² t v eː d r ɛ k t
tveeggad	² t v eː ɛ ɡ a d
tvegifte	² t v eː j ɪ f t ɛ
tvehågsen	² t v eː h oː ɡ s ɛ n
tvehövdad	² t v eː h œ v d a d
tvenne	t v ɛ n ɛ
tvesovla	² t v eː s oː v l a
tvestjärt	² t v eː ɧ ɛ r t
tvivla	t v iː v l a
tvärtom	t v ɛː ʈ ɔ m
tvätta	t v ɛ tː a
tvättbjörn	t v ɛ t b j øː ɳ
tvätterska	t v ɛ t ɛ ʂ k a
tvättmedel	t v ɛ t m eː d ɛ l
två	t v oː
tvåhundra	² t v oː h ɵ n d r a
tvång	t v ɔ ŋ
tvångssvenska	t v o ŋ s s v e n s k ɑ
tvångssvenska	² t v ɔ ŋ s s v ɛ n s k a
ty	t yː
tycka	t ʏ kː a
tycke	² t ʏ k ɛ
tycker	t ʏ kː ɛ r
tyda	² t yː d a
tyg	t yː ɡ
tygelmes	t yː ɡ ɛ l m eː s
tygeltärna	t yː ɡ ɛ l t ɜ r n a
tykobrahedag	t ʏ k ʊ b r ɑː ɛ d ɑː ɡ
tyngst	t ʏ ŋ s t
tyr	t yː r
tysk	t ʏ sː k
tyska	² t ʏ s k a
tyst	t ʏ sː t
tzatziki	t s a t s iː k ɪ
täcke	² t ɛ kː ɛ
täckt	t ɛ k t
täkt	t ɛ k t
tälta	² t ɛ lː t a
tältar	² t ɛ lː t a r
tända	² t ɛ n d a
tändlåga	t ɛ n l oː ɡ a
tänkare	² t ɛ ŋː k a r ɛ
tänkte	t ɛ ŋ k t ɛ
tänkte	t ɛ ŋ t ɛ
tärnmås	t ɛː r n m oː s
tå	t oː
tåg	t oː ɡ
tågskryt	t oː ɡ s k r yː t
tågvärd	t oː ɡ v æː ɖ
tåla	² t oː l a
tår	t oː r
tårar	t oː r a r
tårta	² t oː ʈ a
tö	t øː
tömma	² t œ m a
töras	² t øː r a s
törnekrona	² t øː r n ɛ k r uː n a
törnskata	t øː r n s k ɑː t a
u	ɵ
u	ʉː
uer	ʉː ɛ r
ufo	ʉː f ʊ
ugn	ɵ ŋ n
ukulele	ɵ k ɵ l eː l ɛ
ull	ɵ lː
ulv	ɵ l v
undeciljon	ʉ n d ɛ s ɪ l j uː n
under	ɵ n d ɛ r
underbar	ɵ n d ɛ r b ɑː r
underläge	ɵ n d ɛ r l ɛː ɡ ɛ
undervärdera	ɵ nː d ɛ r v ɛː r d eː r a
ung	ɵ ŋː
unge	² ɵ ŋː ɛ
ungefär	ɵ n j e f æː r
ungefär	ɵ n j e f ɛː r
ungefär	ɵ ŋ e f ɛː r
ungefär	ɵ ŋ j ɛ f æː r
ungefär	ɵ ŋ ɛ f æː r
universitet	ɵ n ɪ v ɛ ʂ ɪ t eː t
upp	ɵ p
uppe	² ɵ p ɛ
uppehålla	² ɵ pː ɛ h ɔ lː a
uppmärksamma	² ɵ pː m æ r k s ² a mː a
uppriktig	ɵ p r ɪ k t ɪ ɡ
upprätt	² ɵ p r ɛ t
upprätthålla	² ɵ p r ɛ t h ɔ l a
uppsaliensisk	ɵ p s a l ɪ ɛ n s ɪ s k
uppseendeväckande	ɵ p s eː ɛ n d ɛ v ɛː k ɑ n d ɛ
uppstyrdhet	² ɵ p s t yː r d h eː t
uppträda	ɵ pː t r ɛː d a
uppträdande	ɵ p t r ɛː d a n d e
uppvisning	² ɵ p v iː s n ɪ ŋ
uppå	² ɵ p oː
uppå	¹ ɵ p oː
ur	ʉː r
uran	ɵ r ɑː n
urbefolkning	ʉː r b e f u l k n ɪ ŋ
urgammal	ɵ rː ɡ a mː a l
ursäkta	ʉː r s ɛ k t a
ursäkta	ʉ̟ː ʂ ɛ k t a
usch	ɵ ɧː
usel	ʉː s ɛ l
ut	ʉː t
utan	ʉː t a n
utanför	ʉː t a n f øː r
utbrott	² ʉː t b r ɔ t
utdelningsandel	ʉː t d ɛ l n ɪ ŋ s a n d ɛ l
ute	² ʉː t ɛ
utestänga	ʉː t ɛ s t ɛ ŋ a
utflykt	yː t f l ʏ k t
utförsåkare	² ʉː t f œ r ² s oː k a r ɛ
utge	² ʉː t j eː
utgång	ʉː t ɡ ɔ ŋ
utom	² ʉ̟ː t ɔ m
utrikes	² ʉː t r iː k ɛ s
utropa	² ʉː t r uː p a
utslag	ʉː t s l ɑː ɡ
utslagsgivande	ʉː t s l ɑː ɡ s j iː v a n d ɛ
utsökt	ʉː t s øː k t
uttal	ʉ t ɑː l
uttala	ʉː t ɑː l a
uttryck	ʉː t t r ʏ kː
utvisa	² ʉː t v iː s a
utvisning	² ʉː t v iː s n ɪ ŋ
uv	ʉː v
uvular	ɵ v ɵ l ɑː r
uzbek	ɵ s b eː k
va	v a
va	v ɑː
vabba	² v a b a
vaccin	v a k s iː n
vacker	v a k k ɛ r
vad	v ɑː
vad	v ɑː d
vafan	v ä f äː n
vafan	v ɑ f ɑː n
vaggvisa	v a ɡ v iː s a
vagnmakare	v a ŋ n m ɑː k a r ɛ
vaj	v a j
vaja	² v a j a
vajsing	² v a j s ɪ ŋ
vakna	² v ɑː k n a
vakta	² v a k t a
vaktel	v ɑ k t ɛ l
val	v ɑː l
valack	v a l a k
valacka	v a l a k a
valfläsk	v ɑː l f l ɛ s k
valk	v a l k
valka	² v a l k a
valkning	² v a l k n ɪ ŋ
valsverk	v a l s v ɛ r k
vampyr	v a m p yː r
van	v ɑː n
vandrare	v a n d r a r ɛ
vandringsord	v a n d r ɪ ŋ s uː r d
vann	v a n
vante	² v a n t ɛ
vapen	¹ v ɑː p ɛ n
vapenhus	v ɑː p ɛ n h ʉː s
vapenhusdörr	v ɑː p ɛ n h ʉː s d œ rː
vapenhusdörrar	v ɑː p ɛ n h ʉː s d œ rː a r
vapenhusdörren	v ɑː p ɛ n h ʉː s d œ rː ɛ n
vapenhusvägg	v ɑː p ɛ n h ʉː s v ɛ ɡ
vapensigill	v ɑː p ɛ n s ɪ j ɪ lː
vapensigillen	v ɑː p ɛ n s ɪ j ɪ lː ɛ n
vapensigillens	v ɑː p ɛ n s ɪ j ɪ lː ɛ n s
vapensigillet	v ɑː p ɛ n s ɪ j ɪ lː ɛ t
vapensigillets	v ɑː p ɛ n s ɪ j ɪ lː ɛ t s
vapensigills	v ɑː p ɛ n s ɪ j ɪ l s
var	v ɑː r
vara	v ɑː
vara	² v ɑː r a
varandra	v a r a n d r a
varann	v a r a n
vare	² v ɑː r ɛ
varest	v ɑː r ɛ s t
varfågel	v ɑː r f oː ɡ ɛ l
varför	¹ v a r f œ r
varför	¹ v ɑː r f œ r
varg	v a r j
vargatid	² v a r j a t iː d
vargavinter	² v a r j a v ɪ n t ɛ r
vargaväder	² v a r j a v ɛː d ɛ r
vargbiten	² v a r j b iː t ɛ n
vargflock	² v a r j f l ɔ k
varggrin	² v a r j ɡ r iː n
varggrop	² v a r j ɡ r uː p
varghagel	² v a r j h ɑː ɡ ɛ l
varghund	² v a r j h ɵ n d
varginna	² v a r j ɪ n a
vargjakt	² v a r j j a k t
vargpar	² v a r j p ɑː r
vargpäls	² v a r j p ɛ l s
vargrevir	² v a r j r ɛ v iː r
vargskinn	² v a r j ɧ ɪ n
vargspår	² v a r j s p oː r
vargstam	² v a r j s t a m
vargtimma	² v a r j t ɪ m a
vargtimme	² v a r j t ɪ m e
vargtjut	² v a r j ɕ ʉː t
vargton	² v a r j t uː n
vargunge	² v a r j ɵ ŋ ɛ
vargvalp	² v a r j v a l p
varit	v a ʈ
varit	v ɑː r ɪ t
varit	v ɑː ʈ
varken	v a r k ɛ n
varlig	² v ɑː ɭ ɪ
varlig	² v ɑː ɭ ɪ ɡ
varm	v a r m
varmt	v a r m t
vars	v a r s
vars	v ɑː r s
varse	² v a ʂ ɛ
varse	² v ɑː ʂ ɛ
varsågod	v ɑː r s ɔ ɡ uː d
vart	v a r t
vart	v ɑː r t
varv	v a r v
vas	v ɑː s
vasa	v a s ɑː
vass	v a s
vatten	¹ v a tː ɛ n
vattenförsörjning	v a tː ɛ n f œ̞ː r s œ̞ː r j n ɪ ŋ
vattenmelon	v a tː ɛ n m ɛ l uː n
vattenrall	v a t ɛ n ɾ a l
vattensångare	v a t ɛ n s ɔ ŋ a r ɛ
vattentorn	v a t ɛ n t ɵː ɳ
vattnen	v a tː n ɛ n
vattnet	v a tː n ɛ t
ve	v eː
vecka	² v ɛ kː a
veckopeng	v ɛ k ʊ p ɛ ŋ
vederlägga	v eː d ɛ r l ɛ ɡː a
vegetarian	v e ɡ e t a r i a n
vek	v eː k
velar	v ɛ l ɑː r
velar	² v eː l a r
velociped	v ɛ l ɔ s ɪ p eː d
velociped	v ɛ l ʊ s ɪ p eː d
vem	v ɛ mː
verk	v ɛ r k
verka	v ɛ r k a
verkligen	v æ ɾ k l ɪ ɡ ɛ̌ n
verklighetsflykt	² v ɛ r k l ɪ h eː t s f l ʏ k t
verklighetsflykt	² v ɛ r k l ɪ ɡ h eː t s f l ʏ k t
verkstad	v e r k s t a
vessla	v ɛ s l a
veta	² v eː t a
vete	v ɛ t ɛ
vete	² v eː t ɛ
veteran	v ɛ t ɛ r ɑː n
vetja	v ɛ t j a
vi	v iː
vid	v iː d
vidareutbilda	v iː d a r ɛ ʉː t b ɪ l d a
vidareutbildning	v iː d a r ɛ ʉː t b ɪ l d n ɪ ŋ
video	v iː d j ʊ
video	v iː d ɛ ʊ
videsångare	v iː d ɛ s ɔ ŋ a r ɛ
vidskepelse	² v iː d ɧ eː p ɛ l s ɛ
vidskeplig	² v iː d ɧ eː p l ɪ ɡ
vig	v iː ɡ
viga	v îː ɡ a
vigsel	¹ v ɪ k s e l
viking	² v iː k ɪ ŋ
vikt	v iː k t
vikt	v ɪ k t
viktig	² v ɪ k t ɪ
viktig	² v ɪ k t ɪ ɡ
vilja	² v ɪ lː j a
viljelös	v ɪ l j ə l øː s
vilka	v ɪ k a
vilka	v ɪ l k a
vilken	v ɪ k ɛ n
vilken	v ɪ l k ɛ n
vilket	v ɪ k ɛ t
vilket	v ɪ l k ɛ t
vill	v ɪ l
villa	² v ɪ l a
ville	² v ɪ lː ɛ
vin	v iː n
vind	v ɪ n d
vindtunnel	² v ɪ n d t ɵ n ɛ l
viner	² v iː n ɛ r
viner	¹ v iː n ɛ r
vinge	v ɪ ŋ ɛ
vinna	² v ɪ n a
vinst	v ɪ n s t
vinstgivande	v ɪ n s t j iː v ɑː n d ɛ
vinter	v ɪ n t ɛ r
vintertid	v ɪ n t ɛ r t iː d
vintras	² v ɪ n t r a s
viol	v ɪ uː l
violinist	v ɪ ʊ l ɪ n ɪ s t
vipa	v iː p a
virre	² v ɪ r ɛ
virus	v iː r ɵ s
vis	v iː s
visa	v iː s a
vischan	² v ɪ ɧ a n
vision	v ɪ ɧ uː n
visir	v ɪ s iː r
vismut	v ɪ s m ɵ t
viss	v ɪ sː
visthusbod	v ɪ s t h ʉː s b uː d
vit	v iː t
vitgumpseglare	v iː t ɡ ɵ m p s eː ɡ l a ɾ ɛ
vitgumpsnäppa	v iː t ɡ ɵ m p s n ɛ p a
vitlök	v iː t l øː k
vitrysk	² v iː t r ʏ s k
vitryska	² v iː t r ʏ s k a
vitsenap	v iː t s eː n a p
vittrut	v iː t t r ʉː t
viv	v iː v
vodka	v ɔ d k a
voff	v ʊ f
vokal	v ʊ k ɑː l
volfram	v ɔ l f r a m
volleyboll	v ɔ l ʏ b ɔ l
von	f ɔ n
vore	² v uː r ɛ
voss	v ɔ s
votum	² v uː t ɵ m
vov	v ʊ v
vred	v r eː d
vredesdom	² v r eː d ɛ s d ʊ m
vresig	v r eː s ɪ ɡ
vret	v r eː t
vril	v r iː l
vulkan	v ɵ l k ɑː n
vuxen	v ɵ k s ɛ n
vy	v yː
vykort	v yː k ʊ r t
väcka	² v ɛ k a
väderprognos	v ɛː d ɛ r p r ɔ ɡ n oː s
väg	v ɛː ɡ
vägg	v ɛ ɡ
vägra	² v ɛː ɡ r a
väl	v æː l
väl	v ɛ lː
väl	v ɛː l
välbehag	² v ɛː l b ɛ h ɑː ɡ
väldigt	² v ɛ lː d ɪ t
välja	² v ɛ lː j a
välklädd	² v ɛ l k l ɛ dː
välkommen	² v ɛː l k ɔ mː ɛ n
vän	v ɛ nː
vän	v ɛː n
vänlig	² v ɛ n l ɪ
vänlig	² v ɛ n l ɪ ɡ
vänlig	² v ɛː n l ɪ
vänlig	² v ɛː n l ɪ ɡ
vännen	v ɛ nː ɛ n
vänster	v ɛ nː s t ɛ r
vänta	² v ɛ nː t a
väntan	² v ɛ n t a n
värd	v ɛː r d
värde	² v ɛː r d ɛ
värdeavi	v ɛ r d ɛ a v iː
värden	v æː ɖ ɛ n
värdera	v ɛ r d eː r a
värderare	v ɛː r d eː r a r e
värdighet	² v ɛː r d ɪ ɡ h eː t
värdnation	² v ɛ r d n a t ɧ uː n
värld	v ɛː r d
världen	v æː ɖ ɛ n
världens	v æː ɖ ɛ n s
världsdel	v ɛ r d s d eː l
världsmedborgare	v ɛː r d s m eː d b ɔ rː j a r ɛ
värmlandskorv	² v ɛ r m l a n d s k ɔ r v
värmlandskorv	² v ɛ r m l a n s k ɔ r v
värnpliktig	² v ɛː r n p l ɪ k t ɪ
värnpliktig	² v ɛː r n p l ɪ k t ɪ ɡ
värpa	² v æ r p a
värsta	² v æ ʂ ʈ a
värsting	² v æ ʂ ʈ ɪ ŋ
värva	² v æ r v a
väsa	² v ɛː s a
väsen	v ɛː s ɛ n
väska	² v ɛ sː k a
väst	v ɛ s t
väst	v ɛː s t
väster	v ɛ sː t ɛ r
västgöte	v ɛ s t j øː t ɛ
västgöte	v ɛ ɧ œ t ɛ
västgötska	v ɛ s t j øː t s k a
västgötska	v ɛ ɧ œ t s k a
västkustskt	v ɛ sː t k ɵ s t s k t
väte	v ɛː t ɛ
väteperoxid	v ɛː t ɛ p ɛ r ɔ k s iː d
växellåda	v ɛ k s ɛ l l oː d a
växt	v ɛ k s t
växthus	v ɛ k s t h ʉː s
våda	² v oː d a
vådaskjuten	² v oː d a ² ɧ ʉː t uː n
vådlig	² v oː d l ɪ
vådlig	² v oː d l ɪ ɡ
våg	v oː ɡ
våga	² v oː ɡ a
vågform	v oː ɡ f ɔ ɾ m
vålnad	v oː l n a d
vån	v oː n
vång	v ɔ ŋ
vår	v oː r
våradonis	v oː r a d uː n ɪ s
våras	² v oː r a s
vård	v oː r d
vårdagjämning	² v oː r d aː ɡ j ɛ m n ɪ ŋ
vårdslös	² v oː r d s l øː s
vårdslös	² v oː r s l øː s
vårting	² v oː r t ɪ ŋ
vårting	² v oː r ʈ ɪ ŋ
vårtsvin	v oː ʈ s v iː n
våt	v oː t
w	d ɵ b ɛ l v eː
w	v
w	w
watt	v a t
watten	¹ v a tː ɛ n
weekend	v iː k ɛ n d
weekend	w iː k ɛ n d
whiteboard	w a j t b oː r d
wiccan	v ɪ kː a n
wiccan	w ɪ kː a n
wiki	v iː k ɪ
wiki	v ɪ k ɪ
wiki	w iː k ɪ
wiki	w ɪ k ɪ
wilsonsimsnäppa	w ɪ l s ɔ n s ɪ m s n ɛ p a
xantippa	k s a n ² t ɪ p a
xantippa	s a n ² t ɪ p a
xylofon	s ʏ l ɔ f oː n
yes	j ɛ s
yngla	² ʏ ŋ l a
yr	yː r
yrke	ʏ rː k ɛ
ystad	ʏ s t a d
ytterdörr	ʏ t eː r d œ̞ r
yttra	² ʏ tː r a
yttrande	² ʏ tː r a n d ɛ
yttrandefrihet	ʏ tː r a n d ɛ f r iː h eː t
yttrium	ʏ t r ɪ ɵ m
yvas	² yː v a s
yxa	ʏ kː s a
z	s
z	s ɛ̂ː t a
zebra	² s eː b r a
ziggis	s ɪ ɡ ɪ s
zink	s ɪ n k
zloty	s l ɔ t ʏ
zombie	s ɔ m b ɪ
zon	s uː n
zoo	s uː
Ä	ɛ
Ä	ɛː
Älmtaryd	ɛ l m t a r yː d
Å	oː
Å	ɔ
Åberg	oː b ɛ r j
Ågren	oː ɡ r eː n
Åke	oː k ɛ
Åkerlund	oː k ɛ r l ʊ n d
Åkerman	oː k ɛ r m a n
Åkerström	oː k ɛ r s t r œ m
Åland	oː l a n d
Åland	oː l ɑ n d
Ångermanland	ɔ ŋ ɛ r m a n l a n d
Ångström	² ɔ ŋ s t r œ m
Åslund	oː s l ʊ n d
Ö	øː
Ö	œ
Öland	øː l a n d
Örebro	œ r ɛ b r uː
Öregrund	ø r ɛ ɡ r ɵ n d
Österbybruk	œ s t ɛ r b y b r ʉː k
Östergötland	øː s t ɛ r j øː t l a n d
Österrike	œ s t ɛ r iː k ɛ
