abeag	ɑː b æ͜ɑː ɣ
mæssesange	m æ s s e s ɑ ŋ ɡ e
mæssesanges	m æ s s e s ɑ ŋ ɡ e s
mæssesangum	m æ s s e s ɑ ŋ ɡ u m
mæting	m æː t i ŋ ɡ
mætinga	m æː t i ŋ ɡ ɑ
mætinge	m æː t i ŋ ɡ e
mætingum	m æː t i ŋ ɡ u m
mæþa	m æː ð ɑ
mæþe	m æː ð e
mæþel	m æ ð e l
mæþelern	m æ ð e l e rˠ n
mæþera	m æː ð e r ɑ
mæþeras	m æː ð e r ɑ s
mæþere	m æː ð e r e
mæþeres	m æː ð e r e s
mæþerum	m æː ð e r u m
mæþes	m æː ð e s
Mæþhere	m æː θ h e r e
mæþlan	m æ ð l ɑ n
mæþle	m æ ð l e
mæþles	m æ ð l e s
mæþleþ	m æ ð l e θ
mæþum	m æː ð u m
maga	m ɑ ɣ ɑ
maga	m ɑ ɣ ɑ
maga	m ɑː ɣ ɑ
maga	m ɑː ɣ ɑ
maga	m ɑ ɣ ɑ
magan	m ɑ ɣ ɑ n
magas	m ɑː ɣ ɑ s
mage	m ɑ ɣ e
mage	m ɑː ɣ e
magena	m ɑ ɣ e n ɑ
magena	m ɑː ɣ e n ɑ
magende	m ɑ ɣ e n d e
magian	m ɑ ɣ i ɑ n
mago	m ɑ ɣ o
magode	m ɑ ɣ o d e
magodriht	m ɑ ɣ o d r i ç t
magu	m ɑ ɣ u
magudryht	m ɑ ɣ u d r y ç t
magudryhta	m ɑ ɣ u d r y ç t ɑ
magudryhte	m ɑ ɣ u d r y ç t e
magudryhtum	m ɑ ɣ u d r y ç t u m
maguþegn	m ɑ ɣ u θ e j n
maguþegna	m ɑ ɣ u θ e j n ɑ
maguþegnas	m ɑ ɣ u θ e j n ɑ s
maguþegne	m ɑ ɣ u θ e j n e
maguþegnes	m ɑ ɣ u θ e j n e s
maguþegnum	m ɑ ɣ u θ e j n u m
Malculf	m ɑ ɫ k u ɫ f
malscrung	m ɑ ɫ s k r u ŋ ɡ
malscrunge	m ɑ ɫ ʃ r u ŋ ɡ e
malt	m ɑ ɫ t
man	m ɑ n
man	m ɔ n
manaþa	m ɑː n ɑː ð ɑ
manaþe	m ɑː n ɑː ð e
manbryne	m ɑ n b r y n e
mancwealm	m ɑ n k w æ͜ɑ ɫ m
mancynn	m ɑ n k y n
manfulla	m ɑː n v u ɫ ɫ ɑ
manfullan	m ɑː n v u ɫ ɫ ɑ n
manfulle	m ɑː n v u ɫ ɫ e
manfulles	m ɑː n v u ɫ ɫ e s
manfulra	m ɑː n v u ɫ r ɑ
manfulre	m ɑː n v u ɫ r e
mangaþ	m ɑ ŋ ɡ ɑ θ
mangere	m ɑ ŋ ɡ e r e
mangeres	m ɑ ŋ ɡ e r e s
mangian	m ɑ ŋ ɡ i ɑ n
mangige	m ɑ ŋ ɡ i j e
mangod	m ɑ ŋ ɡ o d
mangode	m ɑ ŋ ɡ o d e
mangung	m ɑ ŋ ɡ u ŋ ɡ
mangunga	m ɑ ŋ ɡ u ŋ ɡ ɑ
mangunge	m ɑ ŋ ɡ u ŋ ɡ e
mangunghus	m ɑ ŋ ɡ u ŋ ɡ h uː s
mangunghusa	m ɑ ŋ ɡ u ŋ ɡ h uː z ɑ
mangunghuse	m ɑ ŋ ɡ u ŋ ɡ h uː z e
mangunghuses	m ɑ ŋ ɡ u ŋ ɡ h uː z e s
mangunghusum	m ɑ ŋ ɡ u ŋ ɡ h uː s u m
mangungum	m ɑ ŋ ɡ u ŋ ɡ u m
manigfeald	m ɑ n i j f æ͜ɑ ɫ d
manigfealda	m ɑ n i j f æ͜ɑ ɫ d ɑ
manigfealdan	m ɑ n i j f æ͜ɑ ɫ d ɑ n
manigfealdaþ	m ɑ n i j v æ͜ɑ ɫ d ɑ θ
manigfealde	m ɑ n i j f æ͜ɑ ɫ d e
manigfealdes	m ɑ n i j v æ͜ɑ ɫ d e s
manigfealdian	m ɑ n i j f æ͜ɑ ɫ d i ɑ n
manigfealdiaþ	m ɑ n i j v æ͜ɑ ɫ d i ɑ θ
manigfealdige	m ɑ n i j v æ͜ɑ ɫ d i j e
manigfealdlic	m ɑ n i j f æ͜ɑ ɫ d l iː t͡ʃ
manigfealdlice	m ɑ n i j f æ͜ɑ ɫ d l iː t͡ʃ e
manigfealdlicu	m ɑ n i j v æ͜ɑ ɫ d l iː t͡ʃ u
manigfealdne	m ɑ n i j f æ͜ɑ ɫ d n e
manigfealdnes	m ɑ n i j f æ͜ɑ ɫ d n e s
manigfealdnesse	m ɑ n i j v æ͜ɑ ɫ d n e s s e
manigfealdra	m ɑ n i j f æ͜ɑ ɫ d r ɑ
manigfealdre	m ɑ n i j f æ͜ɑ ɫ d r e
manigfealdum	m ɑ n i j f æ͜ɑ ɫ d u m
mann	m ɑ n
mann	m ɔ n
Mann	m ɑ n
mannbære	m ɑ n b æː r e
mannbot	m ɑ n b oː t
mannbote	m ɑ n b oː t e
manndryhten	m ɑ n d r y ç t e n
manndryhtne	m ɑ n d r y ç t n e
manndryhtnes	m ɑ n d r y ç t n e s
mannleas	m ɑ n l æ͜ɑː s
mannlease	m ɑ n l æ͜ɑː s e
mannlice	m ɑ n l iː t͡ʃ e
mannweorþ	m ɑ n w e͜o rˠ θ
manscyldgan	m ɑː n ʃ y ɫ d j ɑ n
manscyldge	m ɑː n ʃ y ɫ d j e
manscyldgum	m ɑː n ʃ y ɫ d j u m
manscyldig	m ɑː n ʃ y ɫ d i j
manscyldiga	m ɑː n ʃ y ɫ d i j ɑ
manscyldigan	m ɑː n ʃ y ɫ d i j ɑ n
manscyldige	m ɑː n ʃ y ɫ d i j e
manscyldigne	m ɑː n ʃ y ɫ d i j n e
manscyldigo	m ɑː n ʃ y ɫ d i j o
manscyldigra	m ɑː n ʃ y ɫ d i j r ɑ
manscyldigum	m ɑː n ʃ y ɫ d i j u m
manslaga	m ɑ n s l ɑ ɣ ɑ
manslagan	m ɑ n s l ɑ ɣ ɑ n
manslagena	m ɑ n s l ɑ ɣ e n ɑ
manslagum	m ɑ n s l ɑ ɣ u m
mansliht	m ɑ n s l i ç t
manslihte	m ɑ n s l i ç t e
manslihtum	m ɑ n s l i ç t u m
manswerian	m ɑː n s w e rˠ j ɑ n
manwyrþ	m ɑ n w y rˠ θ
mapolder	m ɑ p o ɫ d e r
mapulder	m ɑ p u ɫ d e r
mapuldor	m ɑ p u ɫ d o r
marc	m ɑ rˠ k
Marces	m ɑ rˠ k e s
Marcus	m ɑ rˠ k u s
market	m ɑ rˠ k e t
marma	m ɑ rˠ m ɑ
marman	m ɑ rˠ m ɑ n
marmanstan	m ɑ rˠ m ɑ n s t ɑː n
marmorstan	m ɑ rˠ m o rˠ s t ɑː n
marmstan	m ɑ rˠ m s t ɑː n
martyra	m ɑ rˠ t y r ɑ
martyras	m ɑ rˠ t y r ɑ s
martyrcynne	m ɑ rˠ t y r k y n n e
martyrcynnes	m ɑ rˠ t y r k y n n e s
martyrdome	m ɑ rˠ t y rˠ d oː m e
martyrdomes	m ɑ rˠ t y rˠ d oː m e s
martyre	m ɑ rˠ t y r e
martyres	m ɑ rˠ t y r e s
martyrhada	m ɑ rˠ t y rˠ h ɑː d ɑ
martyrhades	m ɑ rˠ t y rˠ h ɑː d e s
martyrum	m ɑ rˠ t y r u m
martyrunga	m ɑ rˠ t y r u ŋ ɡ ɑ
martyrunge	m ɑ rˠ t y r u ŋ ɡ e
martyrungum	m ɑ rˠ t y r u ŋ ɡ u m
mase	m ɑː z e
Matheo	m ɑ t h oː
Matheum	m ɑ t h eː u m
maþa	m ɑ ð ɑ
maþan	m ɑ ð ɑ n
maþelaþ	m ɑ ð e l ɑ θ
maþelian	m ɑ ð e l i ɑ n
maþeliaþ	m ɑ ð e l i ɑ θ
maþeliende	m ɑ ð e l i e n d e
maþm	m ɑː ð m
maþmas	m ɑː ð m ɑ s
maþmgiefa	m ɑː ð m j i͜y v ɑ
maþmhierde	m ɑː ð m h i͜y rˠ d e
maþmhus	m ɑː ð m h uː s
maþmum	m ɑː ð m u m
maþþumgyfa	m ɑː θ θ u m j y v ɑ
maþum	m ɑː ð u m
maxwyrt	m ɑː k s w y rˠ t
maxwyrta	m ɑː k s w y rˠ t ɑ
maxwyrte	m ɑː k s w y rˠ t e
maxwyrtum	m ɑː k s w y rˠ t u m
meagle	m æ͜ɑ ɣ l e
meaglum	m æ͜ɑ ɣ l u m
meagol	m æ͜ɑ ɣ o l
mealc	m æ͜ɑ ɫ k
mealm	m æ͜ɑ ɫ m
mealmiht	m æ͜ɑ ɫ m i ç t
mealmihtan	m æ͜ɑ ɫ m i ç t ɑ n
mealmstan	m æ͜ɑ ɫ m s t ɑː n
mealmstane	m æ͜ɑ ɫ m s t ɑː n e
mealmstanes	m æ͜ɑ ɫ m s t ɑː n e s
mealt	m æ͜ɑ ɫ t
mealthus	m æ͜ɑ ɫ t h uː s
mealwan	m æ͜ɑ ɫ w ɑ n
mealwe	m æ͜ɑ ɫ w e
mearc	m æ͜ɑ rˠ k
mearca	m æ͜ɑ rˠ k ɑ
mearcast	m æ͜ɑ rˠ k ɑ s t
mearcaþ	m æ͜ɑ rˠ k ɑ θ
mearce	m æ͜ɑ rˠ k e
mearcian	m æ͜ɑ rˠ k i ɑ n
mearciaþ	m æ͜ɑ rˠ k i ɑ θ
mearcige	m æ͜ɑ rˠ k i j e
mearcland	m æ͜ɑ rˠ k l ɑ n d
mearcod	m æ͜ɑ rˠ k o d
mearcode	m æ͜ɑ rˠ k o d e
mearcodon	m æ͜ɑ rˠ k o d o n
mearcum	m æ͜ɑ rˠ k u m
mearcung	m æ͜ɑ rˠ k u ŋ ɡ
mearcunga	m æ͜ɑ rˠ k u ŋ ɡ ɑ
mearcunge	m æ͜ɑ rˠ k u ŋ ɡ e
mearcungum	m æ͜ɑ rˠ k u ŋ ɡ u m
meard	m æ͜ɑ rˠ d
mearg	m æ͜ɑ rˠ ɣ
mearga	m æ͜ɑ rˠ ɣ ɑ
mearge	m æ͜ɑ rˠ ɣ e
mearh	m æ͜ɑ rˠ x
mearþ	m æ͜ɑ rˠ θ
mearþa	m æ͜ɑ rˠ ð ɑ
mearþas	m æ͜ɑ rˠ ð ɑ s
mearþe	m æ͜ɑ rˠ ð e
mearþes	m æ͜ɑ rˠ ð e s
mearþum	m æ͜ɑ rˠ ð u m
mecefisca	m eː t͡ʃ e v i s k ɑ
mecefiscas	m eː t͡ʃ e v i s k ɑ s
mecefisce	m eː t͡ʃ e v i ʃ ʃ e
mecefisces	m eː t͡ʃ e v i ʃ ʃ e s
mecefiscum	m eː t͡ʃ e v i s k u m
mecg	m e d͡ʒ
mecgan	m e d d͡ʒ ɑ n
mecge	m e d d͡ʒ e
meddern	m eː d d e rˠ n
medern	m eː d e rˠ n
medmicelne	m e d m i t͡ʃ e ɫ n e
medmicelre	m e d m i t͡ʃ e ɫ r e
medodrinc	m e d o d r i ŋ k
medodrince	m e d o d r i ŋ k e
meduærn	m e d u æ rˠ n
medudrinc	m e d u d r i ŋ k
medudrince	m e d u d r i ŋ k e
meduheall	m e d u h æ͜ɑ ɫ
meduhealle	m e d u h æ͜ɑ ɫ ɫ e
meduwyrt	m e d u w y rˠ t
meduwyrte	m e d u w y rˠ t e
medwisne	m e d w iː z n e
medwisra	m e d w iː z r ɑ
meht	m e ç t
mehte	m e ç t e
mehten	m e ç t e n
mehton	m e ç t o n
melc	m e ɫ k
melcan	m e ɫ k ɑ n
melce	m e ɫ k e
melcenne	m e ɫ k e n n e
melda	m e ɫ d ɑ
meldan	m e ɫ d ɑ n
meldena	m e ɫ d e n ɑ
meldian	m e ɫ d i ɑ n
meldiaþ	m e ɫ d i ɑ θ
meldiende	m e ɫ d i e n d e
meldige	m e ɫ d i j e
meldod	m e ɫ d o d
meldode	m e ɫ d o d e
meldum	m e ɫ d u m
meltan	m e ɫ t ɑ n
meltaþ	m e ɫ t ɑ θ
melte	m e ɫ t e
meltende	m e ɫ t e n d e
meltenne	m e ɫ t e n n e
melting	m e ɫ t i ŋ ɡ
meltinge	m e ɫ t i ŋ ɡ e
meltung	m e ɫ t u ŋ ɡ
meltunge	m e ɫ t u ŋ ɡ e
melwe	m e ɫ w e
melwes	m e ɫ w e s
mencgan	m e n d͡ʒ ɑ n
mencge	m e n d͡ʒ e
mencged	m e n d͡ʒ e d
mencgende	m e n d͡ʒ e n d e
mencgeþ	m e n d͡ʒ e θ
meng	m e n d͡ʒ
mengan	m e n d͡ʒ ɑ n
mengaþ	m e n d͡ʒ ɑ θ
mengde	m e ŋ ɡ d e
mengdest	m e ŋ ɡ d e s t
mengdon	m e ŋ ɡ d o n
menge	m e n d͡ʒ e
menged	m e n d͡ʒ e d
mengende	m e n d͡ʒ e n d e
mengest	m e n d͡ʒ e s t
mengeþ	m e n d͡ʒ e θ
menn	m ɛ n
meoduheall	m e͜o d u h æ͜ɑ ɫ
meoduhealle	m e͜o d u h æ͜ɑ ɫ ɫ e
meolc	m e͜o ɫ k
meolca	m e͜o ɫ k ɑ
meolcan	m e͜o ɫ k ɑ n
meolcaþ	m e͜o ɫ k ɑ θ
meolce	m e͜o ɫ k e
meolcen	m e͜o ɫ k e n
meolcende	m e͜o ɫ k e n d e
meolcfæt	m e͜o ɫ k f æ t
meolcfæte	m e͜o ɫ k f æ t e
meolcfætes	m e͜o ɫ k f æ t e s
meolcfata	m e͜o ɫ k f ɑ t ɑ
meolcfatu	m e͜o ɫ k f ɑ t u
meolcfatum	m e͜o ɫ k f ɑ t u m
meolchwit	m e͜o ɫ k ʍ iː t
meolchwita	m e͜o ɫ k ʍ iː t ɑ
meolchwitan	m e͜o ɫ k ʍ iː t ɑ n
meolchwite	m e͜o ɫ k ʍ iː t e
meolchwites	m e͜o ɫ k ʍ iː t e s
meolchwitne	m e͜o ɫ k ʍ iː t n e
meolchwitra	m e͜o ɫ k ʍ iː t r ɑ
meolchwitre	m e͜o ɫ k ʍ iː t r e
meolchwitum	m e͜o ɫ k ʍ iː t u m
meolcian	m e͜o ɫ k i ɑ n
meolciende	m e͜o ɫ k i e n d e
meolcige	m e͜o ɫ k i j e
meolcodon	m e͜o ɫ k o d o n
meolcum	m e͜o ɫ k u m
meord	m e͜o rˠ d
meorþ	m e͜o rˠ θ
meose	m e͜oː z e
meoses	m e͜oː z e s
meoxbearwe	m e͜o k s b æ͜ɑ rˠ w e
Merce	m e rˠ t͡ʃ e
mercels	m e rˠ t͡ʃ e ɫ s
mercelse	m e rˠ t͡ʃ e ɫ z e
mercelses	m e rˠ t͡ʃ e ɫ z e s
Mercna	m e rˠ k n ɑ
Mercum	m e rˠ t͡ʃ u m
merde	m e rˠ d e
merden	m e rˠ d e n
merdes	m e rˠ d e s
merdon	m e rˠ d o n
merdun	m e rˠ d u n
meredeaþa	m e r e d æ͜ɑː ð ɑ
meredeaþas	m e r e d æ͜ɑː ð ɑ s
meredeaþe	m e r e d æ͜ɑː ð e
meredeaþes	m e r e d æ͜ɑː ð e s
meredeaþum	m e r e d æ͜ɑː ð u m
mereflode	m e r e v l oː d e
merehengest	m e r e h e n d͡ʒ e s t
merehus	m e r e h uː s
mereliþend	m e r e l iː ð e n d
mereswina	m e r e z w iː n ɑ
mereswinum	m e r e z w iː n u m
merewerges	m e r e w eː rˠ j e s
merga	m e rˠ j ɑ
mergan	m e rˠ j ɑ n
merge	m e rˠ j e
merges	m e rˠ j e s
mergþ	m e rˠ x θ
mergum	m e rˠ j u m
merian	m e rˠ j ɑ n
merran	m e rˠ rˠ ɑ n
merranne	m e rˠ rˠ ɑ n n e
merraþ	m e rˠ rˠ ɑ θ
merre	m e rˠ rˠ e
merred	m e rˠ rˠ e d
merren	m e rˠ rˠ e n
merrende	m e rˠ rˠ e n d e
merrenne	m e rˠ rˠ e n n e
merru	m e rˠ rˠ u
mersc	m e rˠ ʃ
mersce	m e rˠ ʃ e
merscig	m e rˠ ʃ i j
merscland	m e rˠ ʃ l ɑ n d
merscmealwan	m e rˠ ʃ m æ͜ɑ ɫ w ɑ n
merscmealwe	m e rˠ ʃ m æ͜ɑ ɫ w e
merscum	m e rˠ ʃ u m
merþ	m e rˠ θ
mesa	m e z ɑ
mesan	m eː z ɑ n
metegian	m e t e ɣ i ɑ n
metegode	m e t e ɣ o d e
metegung	m e t e ɣ u ŋ ɡ
metegunge	m e t e ɣ u ŋ ɡ e
meterfers	m e t e r v e rˠ s
meterfersa	m e t e r f e rˠ z ɑ
meterferse	m e t e r f e rˠ z e
meterwyrhta	m e t e r w y rˠ x t ɑ
meterwyrhtan	m e t e r w y rˠ x t ɑ n
meterwyrhtena	m e t e r w y rˠ x t e n ɑ
meterwyrhtum	m e t e r w y rˠ x t u m
meteswamm	m e t e s w ɑ m
meteþearfende	m e t e θ æ͜ɑ rˠ v e n d e
metgaþ	m e t ɣ ɑ θ
metgian	m e t ɣ i ɑ n
metgode	m e t ɣ o d e
meting	m eː t i ŋ ɡ
metinga	m eː t i ŋ ɡ ɑ
metinge	m eː t i ŋ ɡ e
metingum	m eː t i ŋ ɡ u m
metsung	m e t s u ŋ ɡ
metsunga	m e t s u ŋ ɡ ɑ
metsunge	m e t s u ŋ ɡ e
metsungum	m e t s u ŋ ɡ u m
meþa	m eː ð ɑ
meþan	m eː ð ɑ n
meþe	m eː ð e
meþel	e ð e l
meþena	m eː ð e n ɑ
meþes	m eː ð e s
meþgian	m eː ð ɣ i ɑ n
meþian	m eː ð i ɑ n
meþig	m eː ð i j
meþige	m eː ð i j e
meþigne	m eː ð i j n e
meþne	m eː ð n e
meþnes	m eː ð n e s
meþnesse	m eː ð n e s s e
meþnis	m eː ð n i s
meþo	m eː ð o
meþra	m eː ð r ɑ
meþre	m eː ð r e
meþu	m eː ð u
meþum	m eː ð u m
micclian	m i t͡ʃ l i ɑ n
micellices	m i t͡ʃ e ɫ ɫ iː t͡ʃ e s
micelmod	m i t͡ʃ e ɫ m oː d
micelne	m i t͡ʃ e ɫ n e
micelnesse	m i t͡ʃ e ɫ n e s s e
micelra	m i t͡ʃ e ɫ r ɑ
micelre	m i t͡ʃ e ɫ r e
micgan	m i d d͡ʒ ɑ n
micge	m i d d͡ʒ e
micgern	m i d d͡ʒ e rˠ n
micgerna	m i d d͡ʒ e rˠ n ɑ
micgerne	m i d d͡ʒ e rˠ n e
micgernes	m i d d͡ʒ e r n e s
micgernu	m i d d͡ʒ e rˠ n u
micgernum	m i d d͡ʒ e rˠ n u m
Michahel	m i k ɑ h e l
Michahele	m i k h ɑ h e l e
Michaheles	m i k h ɑ h e l e s
midd	m i d
middægsang	m i d d æ j s ɑ ŋ ɡ
middaneard	m i d d ɑ n æ͜ɑ rˠ d
middanearde	m i d d ɑ n æ͜ɑ rˠ d e
middaneardes	m i d d ɑ n æ͜ɑ rˠ d e s
middangeard	m i d d ɑ n j æ͜ɑ rˠ d
middangearde	m i d d ɑ n j æ͜ɑ rˠ d e
middangeardes	m i d d ɑ n j æ͜ɑ rˠ d e s
Middelengla	m i d d e l e ŋ ɡ l ɑ
Middelengle	m i d d e l e ŋ ɡ l e
Middelenglum	m i d d e l e ŋ ɡ l u m
middelfinger	m i d d e l f i ŋ ɡ e r
middelniht	m i d d e l n i ç t
Middelseaxe	m i d d e ɫ z æ͜ɑ k s e
midhrif	m i d r̥ i f
midhrife	m i d r̥ i v e
midirne	m i d i rˠ n e
midniht	m i d n i ç t
midþeahtiaþ	m i d ð æ͜ɑ x t i ɑ θ
midþeahtiende	m i d ð æ͜ɑ x t i͜y n d e
midþeahtigen	m i d ð æ͜ɑ x t i j e n
midþeahtodon	m i d ð æ͜ɑ x t o d o n
midwyrhta	m i d w y rˠ x t ɑ
midwyrhtan	m i d w y rˠ x t ɑ n
midwyrhtena	m i d w y rˠ x t e n ɑ
midwyrhtum	m i d w y rˠ x t u m
mieht	m i͜y ç t
mielt	m i͜y ɫ t
mieltan	m i͜y ɫ t ɑ n
mielte	m i͜y ɫ t e
mielted	m i͜y ɫ t e d
mieltende	m i͜y ɫ t e n d e
mieltenne	m i͜y ɫ t e n n e
Mierce	m i͜y rˠ t͡ʃ e
miercels	m i͜y rˠ t͡ʃ e ɫ s
miercelse	m i͜y rˠ t͡ʃ e ɫ z e
miercelses	m i͜y rˠ t͡ʃ e ɫ z e s
Miercisc	m i͜y rˠ t͡ʃ i ʃ
Miercisca	m i͜y rˠ t͡ʃ i ʃ ʃ ɑ
Mierciscan	m i͜y rˠ t͡ʃ i ʃ ʃ ɑ n
Miercisce	m i͜y rˠ t͡ʃ i ʃ ʃ e
Mierciscena	m i͜y rˠ t͡ʃ i ʃ ʃ e n ɑ
Miercisces	m i͜y rˠ t͡ʃ i ʃ ʃ e s
Mierciscne	m i͜y rˠ t͡ʃ i ʃ n e
Mierciscra	m i͜y rˠ t͡ʃ i ʃ r ɑ
Mierciscre	m i͜y rˠ t͡ʃ i ʃ r e
Mierciscum	m i͜y rˠ t͡ʃ i ʃ ʃ u m
Miercna	m i͜y rˠ k n ɑ
Miercum	m i͜y rˠ t͡ʃ u m
mierde	m i͜y rˠ d e
mierran	m i͜y rˠ rˠ ɑ n
mierraþ	m i͜y rˠ rˠ ɑ θ
mierre	m i͜y rˠ rˠ e
mierþ	m i͜y rˠ θ
migan	m iː ɣ ɑ n
migaþ	m iː ɣ ɑ θ
migon	m i ɣ o n
migoþa	m i ɣ o θ ɑ
migoþan	m i ɣ o θ ɑ n
migoþum	m i ɣ o θ u m
miht	m i ç t
mihtan	m i ç t ɑ n
mihte	m i ç t e
mihtelic	m i ç t e l iː t͡ʃ
mihtga	m i ç t j ɑ
mihtgan	m i ç t j ɑ n
mihtge	m i ç t j e
mihtges	m i ç t j e s
mihtgum	m i ç t j u m
mihtig	m i ç t i j
mihtiga	m i ç t i j ɑ
mihtigan	m i ç t i j ɑ n
mihtige	m i ç t i j e
mihtiges	m i ç t i j e s
mihtigne	m i ç t i j n e
mihtigra	m i ç t i j r ɑ
mihtigre	m i ç t i j r e
mihtigu	m i ç t i j u
mihtigum	m i ç t i j u m
mihtleas	m i ç t l æ͜ɑː s
mihtlease	m i ç t l æ͜ɑː s e
mihtlic	m i ç t l iː t͡ʃ
mihtlice	m i ç t l iː t͡ʃ e
mihton	m i ç t o n
milc	m i ɫ k
milca	m i ɫ k ɑ
milce	m i ɫ k e
milcum	m i ɫ k u m
milde	m i ɫ d e
mildeaw	m i ɫ d æ͜ɑː w
mildelice	m i ɫ d e l iː t͡ʃ e
mildena	m i ɫ d e n ɑ
Mildgyþ	m i ɫ d ɡ yː θ
mildheort	m i ɫ d h e͜o rˠ t
mildheorta	m i ɫ d h e͜o rˠ t ɑ
mildheortan	m i ɫ d h e͜o rˠ t ɑ n
mildheorte	m i ɫ d h e͜o rˠ t e
mildheortlic	m i ɫ d h e͜o rˠ t l iː t͡ʃ
mildheortlicre	m i ɫ d h e͜o rˠ t l iː k r e
mildheortlicum	m i ɫ d h e͜o rˠ t l iː t͡ʃ u m
mildheortnes	m i ɫ d h e͜o rˠ t n e s
mildheortum	m i ɫ d h e͜o rˠ t u m
mildo	m i ɫ d o
mildre	m i ɫ d r e
Mildþryþ	m i ɫ d θ r yː θ
Mildþryþe	m i ɫ d θ r yː ð e
mildu	m i ɫ d u
mildum	m i ɫ d u m
milst	m i ɫ s t
miltan	m i ɫ t ɑ n
milte	m i ɫ t e
milted	m i ɫ t e d
miltende	m i ɫ t e n d e
miltenne	m i ɫ t e n n e
miltheortnis	m i ɫ t h e͜o rˠ t n i s
milts	m i ɫ t s
miltsast	m i ɫ t s ɑ s t
miltsaþ	m i ɫ t s ɑ θ
miltse	m i ɫ t s e
miltsian	m i ɫ t s i ɑ n
miltsiende	m i ɫ t s i e n d e
miltsige	m i ɫ t s i j e
miltsod	m i ɫ t s o d
miltsode	m i ɫ t s o d e
miltst	m i ɫ t s t
miltsung	m i ɫ t s u ŋ ɡ
miltsunga	m i ɫ t s u ŋ ɡ ɑ
miltsunge	m i ɫ t s u ŋ ɡ e
miltsungum	m i ɫ t s u ŋ ɡ u m
Mimming	m i m m i ŋ ɡ
minsode	m i n z o d e
mircan	m i rˠ k ɑ n
mirce	m i rˠ k e
mircels	m i rˠ t͡ʃ e ɫ s
mircelse	m i rˠ k e ɫ z e
mircelses	m i rˠ k e ɫ z e s
mircne	m i rˠ k n e
mirþ	m i rˠ θ
misbead	m i z b æ͜ɑː d
misbeod	m i z b e͜oː d
misbeodan	m i z b e͜oː d ɑ n
misbeodaþ	m i z b e͜oː d ɑ θ
misbeode	m i z b e͜oː d e
misbeoden	m i z b e͜oː d e n
misbeodende	m i z b e͜oː d e n d e
misbeodenne	m i z b e͜oː d e n n e
misbiett	m i z b i͜yː t
misboden	m i z b o d e n
misbude	m i z b u d e
misbuden	m i z b u d e n
misbudon	m i z b u d o n
miscennung	m i s k e n n u ŋ ɡ
miscennunge	m i s k e n n u ŋ ɡ e
miscweþan	m i s k w e ð ɑ n
miscweþaþ	m i s k w e ð ɑ θ
miscweþe	m i s k w e ð e
miscweþen	m i s k w e ð e n
miscweþende	m i s k w e ð e n d e
miscweþenne	m i s k w e ð e n n e
miscyrde	m i s t͡ʃ y rˠ d e
miscyrdest	m i s t͡ʃ y rˠ d e s t
miscyrdon	m i s t͡ʃ y rˠ d o n
miscyrran	m i s t͡ʃ y rˠ rˠ ɑ n
miscyrraþ	m i ʃ ʃ y rˠ rˠ ɑ θ
miscyrre	m i ʃ ʃ y rˠ rˠ e
miscyrred	m i s t͡ʃ y rˠ rˠ e d
miscyrrende	m i s t͡ʃ y rˠ rˠ e n d e
misdæd	m i z d æː d
misdæda	m i z d æː d ɑ
misdæde	m i z d æː d e
misdædum	m i z d æː d u m
misdest	m i z d eː s t
misdeþ	m i z d eː θ
misdo	m i z d oː
misdon	m i z d oː n
misdonde	m i z d oː n d e
misdoþ	m i z d oː θ
misdyde	m i z d y d e
misdyden	m i z d y d e n
misdydest	m i z d y d e s t
misdydon	m i z d y d o n
misfærst	m i s f æ rˠ s t
misfærþ	m i s f æ rˠ θ
misfangen	m i s f ɑ ŋ ɡ e n
misfeng	m i s f eː ŋ ɡ
misfenga	m i s f e ŋ ɡ ɑ
misfenge	m i s f eː ŋ ɡ e
misfengen	m i s f eː ŋ ɡ e n
misfengon	m i s f eː ŋ ɡ o n
misheald	m i s h æ͜ɑ ɫ d
mishealdan	m i s h æ͜ɑ ɫ d ɑ n
mishealdaþ	m i s h æ͜ɑ ɫ d ɑ θ
mishealde	m i s h æ͜ɑ ɫ d e
mishealden	m i s h æ͜ɑ ɫ d e n
mishealdende	m i s h æ͜ɑ ɫ d e n d e
mishealdenne	m i s h æ͜ɑ ɫ d e n n e
misheold	m i s h e͜oː ɫ d
misheoldon	m i s h e͜oː ɫ d o n
mishielt	m i s h i͜y ɫ t
mishier	m i s h i͜yː r
mishieran	m i s h i͜yː r ɑ n
mishieraþ	m i s h i͜yː r ɑ θ
mishierde	m i s h i͜yː rˠ d e
mishierden	m i s h i͜yː rˠ d e n
mishierdest	m i s h i͜yː rˠ d e s t
mishierdon	m i s h i͜yː rˠ d o n
mishiere	m i s h i͜yː r e
mishiered	m i s h i͜yː r e d
mishieren	m i s h i͜yː r e n
mishierende	m i s h i͜yː r e n d e
mishierenne	m i s h i͜yː r e n n e
mishierest	m i s h i͜yː r e s t
mishiereþ	m i s h i͜yː r e θ
mishierst	m i s h i͜yː rˠ s t
mishierþ	m i s h i͜yː rˠ θ
mishwearf	m i s ʍ æ͜ɑ rˠ f
mishweorfan	m i s ʍ e͜o rˠ v ɑ n
mishweorfaþ	m i s ʍ e͜o rˠ v ɑ θ
mishweorfe	m i s ʍ e͜o rˠ v e
mishweorfende	m i s ʍ e͜o rˠ v e n d e
