'ntós	n̪ t̪ o s
ḷḷ	t͡s
ḷḷ	d ʐ
ḷḷ	t ʂ
ḷḷ	ɖ
Ḷḷ	t s
Ḷḷ	d z
Ḷḷ	t ʂ
Ḷḷ	d ʐ
Ḷḷ	ɖ
ḷḷe	t͡ʂ e
ḷḷeite	t͡ʂ e i̯ t̪ i
ḷḷeite	ɖ e i̯ t̪ i
Ḷḷena	t͡s e n a
