aa	aː
maladie	m a l a d iː ə
maladie	m a l a d iː
maladie	m a l ə d iː ə
maladie	m a l ə d iː
malard	m a l a r d
malard	m a u̯ l a r d
malard	m a l a r d
malard	m a u̯ l a r d
male	m aː l ə
male	m aː l
male	m aː l ə
male	m aː l
male	m aː l
malediccion	m a l ɛ d i k s j u n
malediccion	m a l ɛ d i k s i oː n
malemorte	m aː l ə m ɔ r t ə
malemorte	m aː l ə m ɔ r t
malemorte	m aː l m ɔ r t ə
malemorte	m aː l m ɔ r t
malencolie	m a l ə n k ɔː l iː ə
malencolie	m a l ə n k ɔː l iː
malencolie	m a l ɛ n k ɔ l iː ə
malencolie	m a l ɛ n k ɔ l iː
malencolie	m ɛ l ə n k ɔː l iː ə
malencolie	m ɛ l ə n k ɔː l iː
malencolie	m ɛ l ɛ n k ɔ l iː ə
malencolie	m ɛ l ɛ n k ɔ l iː
malencolien	m a l ə n k ɔː l iː ɛ n
malencolien	m a l ɛ n k ɔ l iː ɛ n
malencolien	m ɛ l ə n k ɔː l iː ɛ n
malencolien	m ɛ l ɛ n k ɔ l iː ɛ n
malencolik	m a l ə n k ɔː l i k
malencolik	m a l ɛ n k ɔ l i k
malencolik	m ɛ l ə n k ɔː l i k
malencolik	m ɛ l ɛ n k ɔ l i k
malencolious	m a l ə n k ɔː l i uː s
malencolious	m a l ɛ n k ɔː l i uː s
malencolious	m ɛ l ə n k ɔː l i uː s
malencolious	m ɛ l ɛ n k ɔː l i uː s
maligne	m a l iː n ə
maligne	m a l iː n
maligne	m a l i n ɡ n ə
maligne	m a l i n ɡ n
maligne	m a l i ɡ n ə
maligne	m a l i ɡ n
malignen	m a l iː n ə n
malignen	m a l i n ɡ n ə n
malignen	m a l i ɡ n ə n
malisoun	m a l i s uː n
malisoun	m a l i s u n
malisoun	m a l i z uː n
malisoun	m a l i z u n
malmesye	m a l m ɛ z iː ə
malmesye	m a l m ɛ z iː
malmesye	m a l m ɛ z iː ə
malmesye	m a l m ɛ z iː
malt	m a l t
malt	m a u̯ l t
maltalent	m a l t a l ɛ n t
maltalent	m a u̯ t a l ɛ n t
maltalent	m aː l t a l ɛ n t
maltestere	m a l t ə s t ə r ə
maltestere	m a l t ə s t ə r
maltestere	m a l t s t ə r ə
maltestere	m a l t s t ə r
maltestere	m a l s t ə r ə
maltestere	m a l s t ə r
Malverne	m a l v ə r n ə
Malverne	m a l v ə r n
malvesye	m a l v ɛ z iː ə
malvesye	m a l v ɛ z iː
malvesye	m a l v ɛ z iː ə
malvesye	m a l v ɛ z iː
malwe	m a l w ə
malwe	m a l ɔ u̯ ə
malwe	m a l ɔ u̯
malwe	m a l uː
malwe	m a l v ə
malwe	m a l v
malwe	m a l i u̯ ə
malwe	m a l i u̯
man	m a n
man	m ɔ n
manace	m a n aː s ə
manace	m a n aː s
manace	m a n a s ə
manace	m a n a s
manacen	m a n aː s ə n
manacen	m a n a s ə n
manchet	m a n t͡ʃ ɛː t
manchet	m a n t͡ʃ ɛ t
mane	m aː n ə
mane	m aː n
maner	m a n ɛː r
maner	m a n ɔ i̯ r
maner	m a n ə r
manere	m a n eː r ə
manere	m a n eː r
manere	m a n ə r ə
manere	m a n ə r
manere	m aː n eː r ə
manere	m aː n eː r
manere	m aː n ə r ə
manere	m aː n ə r
manered	m a n eː r ə d
manered	m a n ə r ə d
manered	m aː n eː r ə d
manered	m aː n ə r ə d
manerely	m a n eː r ə l iː
manerely	m a n eː r l iː
manerely	m a n ə r ə l iː
manerely	m a n ə r l iː
manful	m a n f u l
manfully	m a n f u l l iː
manfully	m a n f u l iː
manfulnesse	m a n f u l n ɛ s ə
manfulnesse	m a n f u l n ɛ s
manfulnesse	m ɔ n f u l n ɛ s ə
manfulnesse	m ɔ n f u l n ɛ s
manger	m aː n d ʒ uː r
manger	m aː n d ʒ ə r
mangerie	m aː n d͡ʒ ə r iː ə
mangerie	m aː n d͡ʒ ə r iː
mangerie	m a u̯ n d͡ʒ ə r iː ə
mangerie	m a u̯ n d͡ʒ ə r iː
mangerie	m aː n d͡ʒ ə r iː ə
mangerie	m aː n d͡ʒ ə r iː
mangerie	m a u̯ n d͡ʒ ə r iː ə
mangerie	m a u̯ n d͡ʒ ə r iː
mani	m a n iː
manifestour	m a n i f ɛ s t uː r
mankyn	m a n k i n
mankyn	m a n k ɛ n
mankyn	m ɔ n k y n
mankynde	m a n k iː n d ə
mankynde	m a n k iː n d
mankynde	m a n k iː n d ə
mankynde	m a n k iː n d
mankynde	m a n k eː n d ə
mankynde	m a n k eː n d
mankynde	m a n k eː n d ə
mankynde	m a n k eː n d
mankynde	m ɔ n k yː n d ə
mankynde	m ɔ n k yː n d
mankynde	m ɔ n k yː n d ə
mankynde	m ɔ n k yː n d
manly	m a n l iː
manly	m ɔ n l iː
manly	m a n l iː
manly	m ɔ n d l iː
manquellere	m a n k w ɛ l ə r ə
manquellere	m a n k w ɛ l ə r
manquellere	m ɔ n k w ɛ l ə r ə
manquellere	m ɔ n k w ɛ l ə r
manrede	m a n r ɛː d ə
manrede	m a n r ɛː d
manrede	m a n r ɛː d ə n
mansioun	m a n s j uː n
mansioun	m a n s j u n
mantel	m a n t ə l
mantel	m a n t ɛː l
mantellen	m a n t ə l ə n
mantellen	m a n t l ə n
mapel	m aː p ə l
mapel	m a p ə l
mare	m aː r ə
mare	m aː r
mare	m ɛ̞ː r ə
mare	m ɛ̞ː r
mare	m y r ə
mare	m y r
mare	m aː r ə
mare	m aː r
mareys	m a r æ i̯ s
mareys	m a r i s
mareys	m a r i ʃ
margyn	m a r d͡ʒ iː n
margyn	m a r d͡ʒ i n
Marie	m a r iː ə
Marie	m a r iː
marien	m a r iː ə n
marin	m a r iː n
marin	m a r i n
marinel	m a r i n ɛː l
marinel	m a r i n ɛ l
mariner	m a r i n eː r
mariner	m a r i n ə r
maris	m a r iː s
maris	m a r i s
market	m a r k eː t
market	m a r k a t
market	m a r k ɛ t
market	θ
market	m a r k ɛː θ
market	m a r k ɛ θ
marle	m a r l ə
marle	m a r l
marle	m aː r l ə
marle	m aː r l
marlen	m a r l ə n
marow	m a r ɔ u̯
marow	m a r uː
marow	m a r x
marow	m a r iː
marow	m a r i x
marow	m a r x
marow	m ɛ r i x
marow	m ɛ r x
marowy	m a r ɔ u̯ iː
marowy	m ɛ r ɔ u̯ iː
Mars	m a r s
marschal	m a r i s t͡ʃ a l
marschal	m a r s t͡ʃ a l
marschal	m a r t͡ʃ a l
marschal	m a r ʃ a l
marschal	m a r i s t͡ʃ a l
marschal	m a r t͡ʃ a l
marschal	m a r ʃ a l
masculyn	m a s k i u̯ l iː n ə
masculyn	m a s k i u̯ l iː n
masculyn	m a s k i u̯ l i n ə
masculyn	m a s k i u̯ l i n
mase	m aː z ə
mase	m aː z
mased	m aː z ə d
mased	m aː z d
masedliche	m aː z ə d l iː t ʃ ə
masedliche	m aː z ə d l iː t ʃ
masedliche	m aː z d l iː t ʃ ə
masedliche	m aː z d l iː t ʃ
masedliche	m aː z ə d l iː
masedliche	m aː z d l iː
masen	m aː z ə n
maser	m aː z ə r
maser	m aː z ɛː r
masse	m a s ə
masse	m a s
massif	m a s i f
massy	m a s iː
mastik	m a s t i k
mastyf	m a s t iː f
mastyf	m a s t i f
mat	m aː t
mat	m a t
mat	m aː t
mat	m a t
mate	m aː t ə
mate	m aː t
maten	m aː t ə n
materas	m a t ə r ə s
materas	m a t r ə s
materas	m a t ə r a s
materas	m a t r a s
materas	m a t ə r aː s
materas	m a t r aː s
matere	m a t ɛː r ə
matere	m a t ɛː r
matere	m a t ə r ə
matere	m a t ə r
matere	m aː t ə r ə
matere	m aː t ə r
matere	m aː t ə r
material	m a t ɛː r i a l
material	m a t ɛː r i a l
material	m a t ɛː r i ɛː l
material	m a t ɛː r i ɛ l
materialy	m a t ɛ r i aː l iː
materialy	m aː t ɛ r i aː l iː
materialy	m a t ɛː r i a l iː
materialy	m a t ɛː r i a l iː t ʃ ə
materialy	m a t ɛː r i a l iː t ʃ
matrice	m aː t r iː s ə
matrice	m aː t r iː s
matrice	m aː t r i s ə
matrice	m aː t r i s
matrone	m aː t r oː n ə
matrone	m aː t r oː n
matrone	m aː t r uː n ə
matrone	m aː t r uː n
matrone	m aː t r ɔ n ə
matrone	m aː t r ɔ n
matrone	m aː t r u n ə
matrone	m aː t r u n
matte	m a t ə
matte	m a t
mattok	m a t ɔ k
maturacioun	m aː t i u̯ r aː s j u n
maturacioun	m aː t i u̯ r aː s i uː n
maturatif	m aː t i u̯ r aː t i f
maturatif	m aː t i u̯ r aː t iː f
mature	m a t i u̯ r ə
mature	m a t i u̯ r
mature	m aː t i u̯ r ə
mature	m aː t i u̯ r
maturen	m aː t i u̯ r ə n
maturen	m a t i u̯ r ə n
maturynge	m aː t i u̯ r i n ɡ ə
maturynge	m aː t i u̯ r i n ɡ
maturynge	m a t i u̯ r i n ɡ ə
maturynge	m a t i u̯ r i n ɡ
matyns	m a t iː n s
matyns	m a t i n s
maunde	m a u̯ n d eː
maunde	m a n d eː
maunde	m a u̯ n d ə
maunde	m a u̯ n d
maundement	m a u̯ n d i m ɛ n t
maundement	m a u̯ n d m ɛ n t
maundement	m a n d i m ɛ n t
maundement	m a n d m ɛ n t
mavys	m aː v iː s
mavys	m aː v i s
mawe	m a u̯ ə
mawe	m a u̯
mawe	m a ɣ ə
mawe	m aː ɣ
mawe	m a ɣ
mawmene	m a u̯ m ɛ n eː
mawmene	m a m ɛ n eː
mawmene	m a u̯ m ɛ n eː
mawmene	m a m ɛ n eː
mawmet	m a u̯ m ɛː t
mawmet	m a u̯ m ɛ t
mawmet	m a u̯ m ɛ n t
mawmetrie	m a u̯ m ɛː t r iː ə
mawmetrie	m a u̯ m ɛː t r iː
mawmetrie	m a u̯ m ɛ t r iː ə
mawmetrie	m a u̯ m ɛ t r iː
mawmetrie	m a u̯ m ɛ n t r iː ə
mawmetrie	m a u̯ m ɛ n t r iː
may	m æ i̯
mayde	m æ i̯ d ə
mayde	m æ i̯ d
mayden	m æ i̯ d ə n
maydenhede	m æ i̯ d ə n h ɛ̝ː d ə
maydenhede	m æ i̯ d ə n h ɛ̝ː d
maydenhede	m æ i̯ d ə n h ɔ̝ː d ə
maydenhede	m æ i̯ d ə n h ɔ̝ː d
mayle	m æ i̯ l ə
mayle	m æ i̯ l
mayled	m æ i̯ l ə d
maylet	m æ i̯ l ɛ t
maylet	m a l ɛ t
maylet	m æ i̯ l ɛ t
maylet	m a l ɛ t
maym	m æ i̯ m
maym	m æ i̯ n
maymen	m æ i̯ m ə n
maymen	m æ i̯ n ə n
maymen	m a æ i̯ m ə n
maymen	m æ i̯ æ i̯ m ə n
maymen	m æ i̯ ɲ ə
maymen	m a ɲ ə
maymen	m ɛ ɲ ə
mayn	m a j ə n
mayn	m æ i̯ n
maynful	m æ i̯ n f u l
maynlond	m æ i̯ n l a n d
maynlond	m æ i̯ n l ɔ n d
maynly	m æ i̯ n l iː
maynly	m æ i̯ n l iː t ʃ ə
maynly	m æ i̯ n l iː t ʃ
maynouren	m æ i̯ n uː r ə n
maynouren	m æ i̯ n u r ə n
maynouren	m æ i̯ n ə r ə n
maynouren	m a n i u̯ r ə n
maythe	m æ i̯ ð ə
maythe	m æ i̯ ð
maythe	m a u̯ ð ə
maythe	m a u̯ ð
mazidnesse	m aː z ə d n ɛ s
mazidnesse	m aː z d n ɛ s
me	m eː
mecche	m ɛ t͡ʃ ə
mecche	m ɛ t͡ʃ
mecche	m a t͡ʃ ə
mecche	m a t͡ʃ
meche	m eː t͡ʃ ə
meche	m eː t͡ʃ
meche	m ɛː t͡ʃ ə
meche	m ɛː t͡ʃ
mede	m ɛ̞ː d ə
mede	m ɛ̞ː d
mede	m ɛː θ
mede	m ɛ̝ː d ə
mede	m ɛ̝ː d
mede	m eː d ə
mede	m eː d
mede	m eː d ə
mede	m eː d
medeful	m eː d ə f u l
medeful	m eː d f u l
medefully	m eː d ə f u l iː
medefully	m eː d f u l iː
meden	m eː d ə n
medewax	m ɛː d ə w a k s
medewax	m ɛː d w a k s
medewax	m ɛː d ə w ɛ k s
medewax	m ɛː d w ɛ k s
medewort	m ɛ̞ː d ə w u r t
medewort	m ɛ̞ː d w u r t
medewort	m ɛ̝ː d ə w u r t
medewort	m ɛ̝ː d w u r t
medewort	m eː d ə w u r t
medewort	m eː d w u r t
medle	m ɛ d l ə
medle	m ɛ d ə l
medle	m ɛː l ə
medle	m ɛː l
medler	m ɛ d l eː r
medler	m ɛ d l ə r
medwe	m ɛ d w ə
medwe	m ɛ d ɔ u̯ ə
medwe	m ɛ d ɔ u̯
medwe	m ɛ d uː
medwe	m i d w ə
medwe	m i d ɔ u̯ ə
medwe	m i d ɔ u̯
medwe	m i d uː
medwe	m ɛ d i u̯ ə
medwe	m ɛ d i u̯
megre	m ɛː ɡ ə r
megre	m ɛː ɡ r ə
mekanyk	m ɛː k a n iː k ə
mekanyk	m ɛː k a n iː k
mekanyk	m ɛː k a n i k ə
mekanyk	m ɛː k a n i k
mel	m ɛ̝ː l
mele	m ɛ̞ː l ə
mele	m ɛ̞ː l
melodie	m ɛ l ɔ d iː ə
melodie	m ɛ l ɔ d iː
melodie	m ɛ l ɔ d iː ə
melodie	m ɛ l ɔ d iː
melodie	m ɛ l ə d iː ə
melodie	m ɛ l ə d iː
melodie	m ɛ l ə d iː ə
melodie	m ɛ l ə d iː
melodious	m ɛ l ɔː d i uː s
melodious	m ɛ l ɔː d i u s
melodious	m ɛ l ɔ d i uː s
melodious	m ɛ l ɔ d i uː s
melodious	m ɛ l ə d i uː s
melodious	m ɛ l ə d i uː s
melten	m ɛ l t ə n
melten	m i l t ə n
melten	m a l t ə n
melten	m u l t ə
menage	m æ i̯ n aː d͡ʒ ə
menage	m æ i̯ n aː d͡ʒ
menage	m ɛ n aː d͡ʒ ə
menage	m ɛ n aː d͡ʒ
menage	m ɛː n aː d͡ʒ ə
menage	m ɛː n aː d͡ʒ
menden	m ɛ n d ə n
menowe	m ɛ n ɔ u̯ ə
menowe	m ɛ n ɔ u̯
menowe	m ɛ n uː
menowe	m ɛ n i u̯ ə
menowe	m ɛ n i u̯
menowe	m i n i u̯ ə
menowe	m i n i u̯
mensk	m ɛ n s k ə
mensk	m ɛ n s k
menske	m ɛ n s k ə
menske	m ɛ n s k
menske	m ɛ n k ə
menske	m ɛ n k
mensken	m ɛ n s k ə n
menskful	m ɛ n s k ə f u l
menskful	m ɛ n s k f u l
menskfully	m ɛ n s k ə f u l l iː
menskfully	m ɛ n s k ə f u l iː
menskfully	m ɛ n s k f u l l iː
menskfully	m ɛ n s k f u l iː
menskly	m ɛ n s k ə l iː
menskly	m ɛ n s k l iː
menuse	m ɛ n i u̯ s ə
menuse	m ɛ n i u̯ s
menuse	m ɛ n i s ə
menuse	m ɛ n i s
menuse	m ɛ n u s ə
menuse	m ɛ n u s
merche	m ɛ r t͡ʃ ə
merche	m ɛ r t͡ʃ
merche	m a r t͡ʃ ə
merche	m a r t͡ʃ
Mercurie	m ɛ r k i u̯ r iː ə
Mercurie	m ɛ r k i u̯ r iː
Mercurie	m a r k i u̯ r iː ə
Mercurie	m a r k i u̯ r iː
mereswyn	m ɛ̞ː r ə s w iː n
mereswyn	m ɛ̞ː r s w iː n
mereswyn	m ɛ r ə s w iː n
mereswyn	m ɛ r s w iː n
merlioun	ɛ m ɛ r l i uː n
merlioun	m ɛ r l i uː n
merlioun	ɛ m ɛ r l j u n
merlioun	m ɛ r l j u n
merlioun	m ɛ r l i n
merren	m a r ə n
merren	m ɛ r ə n
merren	m a r
merren	m ɛ r
merren	m aː r
merren	m ɛ̞ː r
merssh	m ɛ r ʃ
merssh	m a r ʃ
mersshy	m ɛ r ʃ iː
mersshy	m a r ʃ iː
merveile	m ɛ r v æ i̯ l ə
merveile	m ɛ r v æ i̯ l
merveile	m ɛ r v ɛ l ə
merveile	m ɛ r v ɛ l
merveile	m ɛ r v ə l ə
merveile	m ɛ r v ə l
merveilen	m ɛ r v æ i̯ l ə n
merveilen	m ɛ r v ɛ l ə n
merveilous	m ɛ r v ɛ l uː s
merveilous	m ɛ r v ɛ l u s
merveilous	m ɛ r v ə l ə s
merveilously	m ɛ r v ɛ l uː s l iː
merveilously	m ɛ r v ɛ l u s l iː
merveilously	m ɛ r v ə l ə s l iː
merveilously	m ɛ r v ɛ l uː s l i t͡ʃ ə
merveilously	m ɛ r v ɛ l uː s l i t͡ʃ
merveilously	m ɛ r v ɛ l u s l i t͡ʃ ə
merveilously	m ɛ r v ɛ l u s l i t͡ʃ
merveilynge	m ɛ r v æ i̯ l i n ɡ ə
merveilynge	m ɛ r v æ i̯ l i n ɡ
merveilynge	m ɛ r v ɛ l i n ɡ ə
merveilynge	m ɛ r v ɛ l i n ɡ
merveilynge	m ɛ r v ə l i n ɡ ə
merveilynge	m ɛ r v ə l i n ɡ
messe	m ɛ s ə
messe	m ɛ s
messen	m ɛ s ə n
messen	m ɛ s ə n
Messyas	m ɛ s iː a s
Messyas	m ɛ s iː a
Messyas	m ɛ s iː ə
Messyas	m ɛ s iː
metal	m ɛ t a l
metal	m ɛ t a l
metal	m ɛ t ə l
mete	m ɛ̞ː t ə
mete	m ɛ̞ː t
mete	m ɛ t ə
mete	m ɛ t
mete	m ɛː t ə
mete	m ɛː t
mete	m ɛ̝ː t ə
mete	m ɛ̝ː t
mete	m eː t ə
mete	m eː t
meteles	m ɛ̞ː t ə l ɛ̝ː s
meteles	m ɛ̞ː t l ɛ̝ː s
meteles	m ɛ t l ɛ̝ː s
metropol	m ɛː t r ɔ p ɔ l
metropol	m ɛ t r ɔ p ɔ l
mette	m ɛ t ə
mette	m ɛ t
mewe	m ɛ u̯
mewe	m i u̯ ə
mewe	m i u̯
mewen	m i u̯ ə n
mewen	m ɛ u̯ ə n
mewynge	m i u̯ i n ɡ
meyne	m æ i̯ n eː
meyne	m æ i̯ n eː
meyne	m ɛː n eː
meyneal	m æ i̯ n eː a l
meyneal	m æ i̯ n i a l
meyneal	m æ i̯ n a l
meyneal	m ɛː n i a l
meyneal	m ɛː n a l
mi	m iː
mi	m i
Michel	m i x ə l
Michel	m iː x ə l
Michel	m i t͡ʃ a ɛː l
Michel	m i t͡ʃ ɛː l
Michel	m i t͡ʃ ɛ l
Michel	m iː k a ɛː l
Michel	m iː k ɛː l
Michel	m iː k ɛ l
Michelmasse	m i x ə l m a s ə
Michelmasse	m i x ə l m a s
Michelmasse	m iː x ə l m a s ə
Michelmasse	m iː x ə l m a s
Michelmasse	m iː ə l m a s ə
Michelmasse	m iː ə l m a s
Michelmasse	m iː k ɛ l m a s ə
Michelmasse	m iː k ɛ l m a s
Michelmasse	m iː k ɛ l m ɛ s ə
Michelmasse	m iː k ɛ l m ɛ s
mid	m i d
mid	m i d
miȝen	m iː ɣ ə n
miȝen	m iː ə n
mile	m iː l
mile	m i l
milioun	m i l i uː n
milioun	m i l j u n
milk	m i l k
milte	m i l t ə
milte	m i l t
min	m iː n
mincen	m i n s ə n
mincen	m i n t ʃ ə n
ministracioun	m i n i s t r aː s i uː n
ministracioun	m i n s t r aː s i uː n
ministracioun	m i n i s t r aː s j u n
ministracioun	m i n s t r aː s j u n
ministre	m i n i s t ə r
ministre	m i n ə s t ə r
ministre	m i n s t ə r
mire	m iː r ə
mire	m iː r
mire	m yː r ə
mire	m yː r
mire	m iː r ə
mire	m iː r
mirour	m i r uː r
mirour	m ɛ r uː r
mirour	m i r u r
mirour	m ɛ r u r
mirre	m i r ə
mirre	m i r
miserie	m i z ɛ r iː
misgang	m i s ɡ a n ɡ
misleren	m i s l ɛː r ə n
mistel	m i s t ə l
mistelto	m i s t ə l t ə n
mistelto	m i s t ə l t ə
mistelto	m i s t ə l t ɔː
misten	m i s t ə n
mister	m i s t ɛː r
mister	m i s t ə r
mithen	m iː ð ə n
mo	m ɔː
moddrie	m ɔ d r iː ə
moddrie	m ɔ d r iː
mode	m oː d
mode	m ɔː d ə
mode	m ɔː d
mode	m oː d ə
mode	m oː d
moder	m oː d ə r
moder	m uː ð ə r
moderhede	m oː d ə r h ɛː d
moderhede	m oː d ə r h ɔː d
moderhede	m oː d ə r h oː d
moderles	m oː d ə r l ɛ̝ː s
moderles	m oː d ə r l ɛ s
moderly	m oː d ə r l iː
moderly	m oː d ə r l iː t ʃ
moderwort	m oː d ə r w u r t
modilich	m oː d iː l iː k ə
modilich	m oː d iː l iː k
modilich	m oː d iː l iː t ʃ ə
modilich	m oː d iː l iː t ʃ
modilich	m oː d iː l iː
modinesse	m oː d iː n ɛ s
mody	m oː d iː
moiste	m ɔ i̯ s t ə
moiste	m ɔ i̯ s t
moisten	m ɔ i̯ s t ə n
moistinge	m ɔ i̯ s t i n ɡ
moistnesse	m ɔ i̯ s t ə n ɛ s
moistnesse	m ɔ i̯ s t n ɛ s
moisture	m ɔ i̯ s t i u̯ r ə
moisture	m ɔ i̯ s t i u̯ r
moisture	m ɔ i̯ s t u r ə
moisture	m ɔ i̯ s t u r
moisture	m ɔ i̯ s t ə r ə
moisture	m ɔ i̯ s t ə r
mokadour	m u k ə d uː r
mokadour	m u k ə d u r
molde	m ɔ l d ə
molde	m ɔ l d
molde	m oː l d ə
molde	m oː l d
moldebred	m ɔ l d ə b r ɛ d ə
moldebred	m ɔ l d ə b r ɛ d
moldebred	m ɔ l d b r ɛ d ə
moldebred	m ɔ l d b r ɛ d
moldebred	m oː l d ə b r ɛ d ə
moldebred	m oː l d ə b r ɛ d
moldebred	m oː l d b r ɛ d ə
moldebred	m oː l d b r ɛ d
molden	m ɔː l d ə n
moldere	m ɔː l d ə r ə
moldere	m ɔː l d ə r
moldewarpe	m ɔ l d ə w ɛ r p ə
moldewarpe	m ɔ l d ə w ɛ r p
moldewarpe	m ɔ l d w ɛ r p ə
moldewarpe	m ɔ l d w ɛ r p
moldewarpe	m ɔ l d ə w a r p ə
moldewarpe	m ɔ l d ə w a r p
moldewarpe	m ɔ l d w a r p ə
moldewarpe	m ɔ l d w a r p
moldyng	m ɔː l d i n ɡ ə
moldyng	m ɔː l d i n ɡ
molesten	m ɔ l ɛ s t ə n
moleyne	m u l æ i̯ n ə
moleyne	m u l æ i̯ n
moleyne	m u l i n ə
moleyne	m u l i n
molle	m ɔ l ə
molle	m ɔ l
molle	m ɔ l
molle	m u l
mollen	m ɔ l ə n
mollen	m u l ə n
mollen	m u i̯ l ə n
mollifien	m ɔ l i f iː ə n
Monday	m oː n d æ i̯
Monday	m u n d æ i̯
Monday	m oː n ə n d æ i̯
Monday	m oː n ə d æ i̯
Monday	m u n ə n d æ i̯
Monday	m u n ə d æ i̯
mone	m ɔ̝ː n ə
mone	m ɔ̝ː n
mone	m aː n
mone	m oː n ə
mone	m oː n
mone	m u n ə
mone	m u n
monen	m u n ə n
monen	m ɔː n ə n
moneth	m oː n ə θ
moneth	m oː n θ
moneth	m u n ə θ
moneth	m u n θ
moneye	m u n æ i̯ ə
moneye	m u n æ i̯
moneye	m u n æ i̯ ə
moneye	m u n æ i̯
moneyeles	m u n æ i̯ ə l ɛ̝ː s
moneyeles	m u n æ i̯ l ɛ̝ː s
moneyeles	m u n æ i̯ ə l ɛ̝ː s
moneyeles	m u n æ i̯ l ɛ̝ː s
moneyen	m u n æ i̯ ə n
moneyen	m u n æ i̯ ə n
moneyour	m u n æ i̯ uː r
moneyour	m u n æ i̯ u r
moneyour	m u n i u r
moneyour	m u n æ i̯ ə r
moneyour	m u n i u̯ r
mongere	m ɔ n ɡ ə r ə
mongere	m ɔ n ɡ ə r
monk	m u n k
monk	m u n ə k
monk	m u n ɔ k
monstre	m ɔ n s t ə r
monstre	m ɔ n s t r ə
monstruous	m ɔ n s t r i u̯ uː s
monstruous	m ɔ n s t r uː s
monymaker	m u n æ i̯ m aː k ə r ə
monymaker	m u n æ i̯ m aː k ə r
monymaker	m u n i m aː k ə r ə
monymaker	m u n i m aː k ə r
mor	m oː r
more	m ɔ̝ː r ə
more	m ɔ̝ː r
more	m ɑː r ə
more	m aː r
more	m ɔ̞ː r ə
more	m ɔ̞ː r
morgage	m ɔ r ɡ aː d͡ʒ ə
morgage	m ɔ r ɡ aː d͡ʒ
mornen	m u r n ə n
mornen	m uː r n ə n
morsel	m ɔ r s ɛ l
morsel	m ɔ r s ə l
morsel	m u r s ɛ l
morsel	m u r s ə l
morsel	m ɔ s ɛ l
morsel	m ɔ s ə l
morsel	m u s ɛ l
morsel	m u s ə l
morsure	m ɔ r s i u̯ r ə
morsure	m ɔ r s i u̯ r
morter	m ɔ r t eː r
morter	m ɔ r t ɛ r
morter	m ɔː r t ɛ r
morteys	m ɔ r t æ i̯ s
morteys	m ɔ r t i s
morther	m ɔ r ð ə r
morther	m u r ð ə r
morther	m u r d ə r
morwe	m ɔ r w ə
morwe	m ɔ r ɔ u̯ ə
morwe	m ɔ r ɔ u̯
morwe	m ɔ r uː
morwe	m ɔ r i u̯ ə
morwe	m ɔ r i u̯
morwe	m a r i u̯ ə
morwe	m a r i u̯
morwen	m ɔ r w ə n
morwen	m ɔ r ɔ u̯ ə n
morwen	m ɔ r u n
morwen	m ɔ r i u̯ ə n
morwen	m oː r n
morwen	m ɔ r n
morwenynge	m ɔ r w ə n i n ɡ ə
morwenynge	m ɔ r w ə n i n ɡ
morwenynge	m ɔ r ɔ u̯ ə n i n ɡ ə
morwenynge	m ɔ r ɔ u̯ ə n i n ɡ
morwenynge	m ɔ r ɔ u̯ n i n ɡ ə
morwenynge	m ɔ r ɔ u̯ n i n ɡ
morwenynge	m ɔ r u n i n ɡ ə
morwenynge	m ɔ r u n i n ɡ
morwenynge	m ɔ r i u̯ ə n i n ɡ ə
morwenynge	m ɔ r i u̯ ə n i n ɡ
morwenynge	m ɔ r i u̯ n i n ɡ ə
morwenynge	m ɔ r i u̯ n i n ɡ
morwenynge	m ɔ r n i n ɡ ə
morwenynge	m ɔ r n i n ɡ
morwenynge	m oː r n i n ɡ ə
morwenynge	m oː r n i n ɡ
morwenynge	m a r n i n ɡ ə
morwenynge	m a r n i n ɡ
morwenynge	m aː r n i n ɡ ə
morwenynge	m aː r n i n ɡ
morwynge	m ɔ r w i n ɡ ə
morwynge	m ɔ r w i n ɡ
morwynge	m ɔ r ɔ u̯ i n ɡ ə
morwynge	m ɔ r ɔ u̯ i n ɡ
morwynge	m ɔ r i u̯ i n ɡ ə
morwynge	m ɔ r i u̯ i n ɡ
mot	m ɔː t
mot	m oː t
mote	m ɔː t ə
mote	m ɔː t
moten	m oː t ə n
moten	m oː t ə n
motoun	m u t uː n
motoun	m u t u n
motoun	m u t ə n
mounde	m uː n d ə
mounde	m uː n d
mount	m uː n t
mount	m u n t
mountant	m uː n t a n t
mountant	m u n t a u̯ n t
mountayne	m uː n t æ i̯ n ə
mountayne	m uː n t æ i̯ n
mountayne	m u n t æ i̯ n ə
mountayne	m u n t æ i̯ n
mountayne	m uː n t i n ə
mountayne	m uː n t i n
mounten	m uː n t ə n
mounten	m u n t ə n
mountuous	m uː n t i u̯ uː s
mountuous	m u n t i u̯ uː s
mounture	m uː n t i u̯ r ə
mounture	m uː n t i u̯ r
mous	m uː s
mousen	m uː s ə n
mousen	m uː z ə n
mousere	m uː s ɛː r ə
mousere	m uː s ɛː r
mouspese	m uː s p ɛ̞ː z ə
mouspese	m uː s p ɛ̞ː z
mouspese	m uː s p eː z ə
mouspese	m uː s p eː z
mouth	m uː θ
mowe	m ɔ u̯ ə
mowe	m ɔ u̯
mowe	m a u̯ ə
mowe	m a u̯
mowe	m uː ə
mowe	m uː
mowe	m uː x
mowe	m u x
mowe	m ɔ u̯ ə
mowe	m ɔ u̯
mowen	m uː ə n
mowen	m ɔ u̯ ə n
mowen	m u ɣ ə n
mowen	m a ɣ ə n
mowen	m uː
