'day	d a i
kaunti	k ɔ n t ɛ ʔ
kausap	k a u s a p
kausapin	k a u s a p i n
kautusan	k a u t u s a n
kawad	k a w a d
kay	k a i
kaya	k aː ɪ a
kaya	k a ɪ a ʔ
kayamanan	k a j a m a n a n
kayumanggi	k a j u m a ŋ ɡ i
keiko	k e i k o
kelan	k e l a n
kelot	k ɛ l ɔ t
kemikal	k e m i k a l
kemistri	k e m i s t ɾ i
kendi	k e n d i
kenji	k e n d͡ʒ i
kenzo	k e n s o
keri	k ɛ ɾ i
kerida	k e ɾ i d a
kerosin	k e ɾ o s i n
kerry	k e ɾ ɾ i
kerubin	k e ɾ u b i n
keso	k e s o
kesyo	k e s j o
ketong	k e t o ŋ
ketongin	k e t o ŋ i n
ketsap	k e t͡ʃ a p
keyk	k e i k
khoo	k uː
kiamzon	k i a m s o n
kidlat	k i d l a t
kidnaper	k i d n a p e ɾ
kidsulid	k i d s u l i d
kidya	k i d j a
kikil	k i k i l
kiko	k i k o ʔ
kiko	k i k o
kikuko	k i k u k o
kikyam	k i k j a m
kikyam	k i k j a m
kilabot	k i l a b o t
kilates	k i l a t e s
kilay	k i l a i
kilikili	k i l i k i l i
kilikiti	k i l i k i t i ʔ
kiling	k i l i ŋ
kiling	k i l i ŋ
kiling	k i l i ŋ
kilitis	k i l i t i s
kilo	k i l o ʔ
kilo	k i l o
kilogramo	k i l o ɡ ɾ a m o
kilometrahe	k i l o m e t ɾ a h e
kilometro	k i l o m e t ɾ o
kilos	k i l o s
kilusan	k i l u s a n
kilusan	k i l u s a n
kilusan	k i l u s a n
kimika	k i m i k a
kimiko	k i m i k o
kimkim	k i m k i m
kimona	k i m o n a
kimono	k i m o n o
kinabukasan	k i n a b u k a s a n
kinakapatid	k i n a k a p a t i d
kinalabasan	k i n a l a b a s a n
kinalaman	k i n a l a m a n
kinang	k i n a ŋ
kinatawan	k i n a t a w a n
kinauukulan	k i n a u u k u l a n
kindat	k i n ʔ d a t
king	k i ŋ
kingpin	k i ŋ p i n
kinina	k i n i n a
kintsay	k i n t͡ʃ a i
kita	k i t a
kita	k i t a
kita	k i t a
kitikiti	k i t i k i t i
kiyampong	k i a m p o ŋ
kiyo	k i j o ʔ
kiyoko	k i o k o
klaro	k l a ɾ o
klima	k l i m a
klinik	k l i n i k
klinika	k l i n i k a
kliyente	k l i e n t e
kloropila	k l o ɾ o p i l a
ko	k o
ko	k ɔ
koalisyon	k o a l i s j o n
kobra	k o b ɾ a
kobrador	k o b ɾ a d o ɾ
kodigo	k o d i ɡ o
kodipikasyon	k o d i p i k a s j o n
koji	k o d͡ʒ i
kolado	k o l a d o
kolateral	k o l a t e ɾ a l
kolera	k o l e ɾ a
kolombiya	k o l o m b i a
kolonya	k o l o n j a
kolonyalismo	k o l o n j a l i s m o
komadrona	k o m a d ɾ o n a
komander	k o m a n d ɛ ɾ
kombinasyon	k o m b i n a s j o n
komedya	k o m e d j a
komedyante	k o m e d j a n t e
komentarista	k o m e n t a ɾ i s t a
komento	k o m e n t o
kometa	k o m e t a
kompanya	k o m p a n j a
kompartment	k o m p a ɾ t m e n t
kompleto	k o m p l e t o
komplikasyon	k o m p l i k a s j o n
komposisyon	k o m p o s i s j o n
kompositor	k o m p o s i t o ɾ
kompresor	k o m p ɾ e s o ɾ
komunidad	k o m u n i d a d
komunikasyon	k o m u n i k a s j o n
komunismo	k o m u n i s m o
komunista	k o m u n i s t a
komunyon	k o m u n j o n
kondenahin	k o n d e n a h i n
kondensada	k o n d e n s a d a
kondimento	k o n d i m e n t o
kondisyon	k o n d i s j o n
kondisyoner	k o n d i s j o n e ɾ
kondom	k o n d o m
kondominyum	k o n d o m i n j u m
konduktor	k o n d u k t o ɾ
koneksiyon	k o n e k s i o n
kong	k ɔ ŋ
kongregasyon	k o ŋ ɡ ɾ e ɡ a s j o n
konotasyon	k o n o t a s j o n
konsehal	k o n s e h a l
konseho	k o n s e h o
konsensiya	k o n s e n s i a
konsensya	k o n s e n s j a
konsentidor	k o n s e n t i d o ɾ
konsentihin	k o n s e n t i h i n
konsentrasyon	k o n s e n t ɾ a s j o n
konserbatibo	k o n s e ɾ b a t i b o
konserbatismo	k o n s e ɾ b a t i s m o
konserbatoryo	k o n s e ɾ b a t o ɾ j o
konsiyensiya	k o n s i e n s i a
konstelasyon	k o n s t e l a s j o n
konstitusyon	k o n s t i t u s j o n
konsul	k o n s u l
konsulado	k o n s u l a d o
konsultant	k o n s u l t a n t
konsumido	k o n s u m i d o
konsumisyon	k o n s u m i s j o n
konsumo	k o n s u m o
kontador	k o n t a d o ɾ
kontak	k o n t a k
kontakin	k o n t a k i n
kontento	k o n t e n t o
kontestant	k o n t e s t a n t
kontorsiyonista	k o n t o ɾ s i o n i s t a
kontrabando	k o n t ɾ a b a n d o
kontrobersiya	k o n t ɾ o b e ɾ s j a
kontrobersiya	k o n t ɾ o b e ɾ s i a
konyo	k o n j o
kopya	k o p j a
korap	k o ɾ a p
korea	k o ɾ e a
koredor	k o ɾ e d o ɾ
koreograpiya	k o ɾ e o ɡ ɾ a p i a
korinto	k o ɾ i n t o
korola	k o ɾ o l a
korona	k o ɾ o n a
koronahan	k o ɾ o n a h a n
koronel	k o ɾ o n ɛ l
korporasyon	k o ɾ p o ɾ a s j o n
korte	k o ɾ t e
kortina	k o ɾ t i n a
korupsiyon	k o ɾ u p s i o n
kosta	k o s t a
kostado	k o s t a d o
kotilyon	k o t i l j o n
kotse	k o t͡ʃ e
kotse	k o t s e
kredensiyal	k ɾ e d e n s i a l
krimen	k ɾ i m e n
kriminal	k ɾ i m i n a l
krisantemo	k ɾ i s a n t e m o
krisma	k ɾ i s m a
kristiyanismo	k ɾ i s t i a n i s m o
kristiyano	k ɾ i s t i a n o
kristo	k ɾ i s t o
kristo	k ɾ i s t o
kritiko	k ɾ i t i k o
kritisismo	k ɾ i t i s i s m o
kromatina	k r o m ɐ t i n ɐ
kromosoma	k r o m o s o m ɐ
kroni	k ɾ o n i
kroniyismo	k ɾ o n i j i s m o
kronolohiya	k ɾ o n o l o h i a
krus	k ɾ u s
krusipiho	k ɾ u s i p i h o
kua	k w a
kua	k u w a
kuba	k u b a ʔ
kubeta	k u b e t a
kubo	k u b o
kubrekama	k u b ɾ e k a m a
kudkurin	k u d k u ɾ i n
kugon	k u ɡ o n
kuha	k u h a
kuha	k u h a ʔ
kulambo	k u l a m b o ʔ
kulangi	k u l a ŋ i ʔ
kulangot	k u l a ŋ o t
kulantro	k u l a n t ɾ o
kulasi	k u l a s i
kulasi	k u l a s e
kulasim	k u l a s i m
kulasisi	k u l a s i s i
kulay	k u l a i
kulayin	k u l a j i n
kulaylawas	k u l a j l a w a s
kulayputol	k u l a j p u t o l
kulig	k u l i ɡ
kuliglig	k u l i ɡ l i ɡ
kulilipaw	k u l i l i p a u
kulimlim	k u l i m l i m
kulisap	k u l i s a p
kuliti	k u l i t i ʔ
kulog	k u l o ɡ
kulos	k u l o s
kulugo	k u l u ɡ o
kulungan	k u l u ŋ a n
kumabig	k u m a b i ɡ
kumain	k u m a ʔ i n
kumanta	k u m a n t a
kumbensiyon	k u m b e n s i o n
kumbensiyonal	k u m b e n s i o n a l
kumbento	k u m b e n t o
kumbinsihin	k u m b i n s i h i n
kumbulsiyon	k u m b u l s i o n
kumiko	k u m i k o
kumintab	k u m i n t a b
kumot	k u m o t
kumpas	k u m p a s
kumpederasyon	k u m p e d e ɾ a s j o n
kumpirmasyon	k u m p i ɾ m a s j o n
kumpisal	k u m p i s a l
kumpiska	k u m p i s k a
kumpyansa	k u m p j a n s a
kumuha	k u m u h a
kumulang	k u m u l a ŋ
kumulimlim	k u m u l i m l i m
kumunoy	k u m u n o i
kumupas	k u m u p a s
kumusta	k u m u s t a
kumuyakoy	k u m u j a k o i
kunan	k u n a n
kunat	k u n a t
kundena	k u n d e n a
kuneho	k u n e h o
kung	k u ŋ
kungyari	k u ŋ j a ɾ i
kungyari	k u ŋ j a ɾ ɛ
kuniko	k u n i k o
kunin	k u n i n
kunwari	k u n w a ɾ i ʔ
kunwari	k u n w a ɾ i ʔ
kunwari	k u n w a ɾ e ʔ
kupad	k u p a d
kupal	k uː p a l
kupas	k u p a s
kupas	k u p a s
kupido	k u p i d o
kupit	k u p i t
kupon	k u p o n
kurag	k u ɾ a ɡ
kural	k u ɾ a l
kurap	k u ɾ a p
kurarap	k u ɾ a ɾ a p
kurba	k u ɾ b a
kurbata	k u ɾ b a t a
kurikong	k u ɾ i k o ŋ
kuripot	k u ɾ i p o t
kurot	k u ɾ o t
kurse	k u ɾ s e
kursonada	k u ɾ s o n a d a
kuryusidad	k u r j u s i d a d
kusa	k u s a ʔ
kusi	k u s i
kusina	k u s i n a
kuskos	k u s k o s
kustodiya	k u s t o d i a
kuting	k u t i ŋ
kutis	k u t i s
kuto	k u t o
kuto	k u t o ʔ
kutsara	k u t͡ʃ a ɾ a
kutsara	k u t s a ɾ a
kutsarita	k u t͡ʃ a r i t a
kutson	k u t͡ʃ o n
kutya	k u t j a ʔ
kuwadra	k u a d ɾ a
kuwan	k u a n
kuwapaw	k w a p a u
kuya	k u j a
kwok	k w o k
kyoko	k j o k o
kyut	k j u t
la	l a
laab	l a b a
laan	l a ʔ a n
laas	l a ʔ a s
laas	l a ʔ a s
laba	l a b a
laba	l a b a
laba	l a b a ʔ
laba	l a b a ʔ
lababo	l a b a b o
labada	l a b a d a
labadora	l a b a d o ɾ a
labag	l a b a ɡ
labahan	l a b a h a n
labahan	l a b a h a n
labahin	l a b a h i n
labak	l a b a k
labakara	l a b a k a ɾ a
laban	l a b a n
labandera	l a b a n d e ɾ a
labandero	l a b a n d e ɾ o
labanos	l a b a n o s
labas	l a b a s
labas	l a b a s
labasan	l a b a s a n
labasan	l a b a s a n
labaskaphay	l a b a s k a p h a i
labastida	l a b a s t i d a
labatiba	l a b a t i b a
labaw	l a b a u
labawsugnayan	l a b a u s u ɡ n a j a n
laberinto	l a b e ɾ i n t o
labhan	l a b h a n
labi	l a b i ʔ
labi	l a b i
labi	l a b i ʔ
labimpito	l a b i m p i t o
labimpito	l a b i m p i t o
labindalawa	l a b i n d a l a w a
labindalawa	l a b i n d a l a w a
labing	l a b i ŋ
labingwalo	l a b i ŋ w a l o
labingwalo	l a b i ŋ w a l o
labinlima	l a b i n l i m a
labinlima	l a b i n l i m a
labinsiyam	l a b i n s i a m
labinsiyam	l a b i n s i a m
labintador	l a b i n t a d o ɾ
labintatlo	l a b i n t a t l o
labintatlo	l a b n t a t l o
labis	l a b i s
lablab	l a b l a b
labnaw	l a b n a u
labnot	l a b n o t
labo	l a b o ʔ
labo	l a b o ʔ
labo	l a b o
labo	l a b o
labon	l a b o n
labon	l a b o n
labong	l a b o ŋ
laboratoryo	l a b o ɾ a t o ɾ j o
laboy	l a b o i
labso	l a b s o ʔ
labtik	l a b t i k
labuyo	l a b u j o ʔ
lacambra	l a k a m b ɾ a
lacap	l a k a p
ladlad	l a d l a d
ladrilyo	l a d ɾ i l j o
ladya	l a d j a ʔ
ladya	l a d j a
ladya	l a d j a
laga	l a ɡ a ʔ
lagabag	l a ɡ a b a ɡ
lagablab	l a ɡ a b l a b
lagabog	l a ɡ a b o ɡ
lagak	l a ɡ a k
lagaklak	l a ɡ a k l a k
lagalag	l a ɡ a l a ɡ
lagalag	l a ɡ a l a ɡ
laganap	l a ɡ a n a p
laganas	l a ɡ a n a s
lagap	l a ɡ a p
lagapak	l a ɡ a p a k
lagari	l a ɡ a ɾ i ʔ
lagari	l a ɡ a ɾ i ʔ
lagas	l a ɡ a s
lagas	l a ɡ a s
lagasaw	l a ɡ a s a u
lagaslas	l a ɡ a s l a s
lagay	l a ɡ a i
lagayan	l a ɡ a j a n
lagayan	l a ɡ a j a n
lagaylay	l a ɡ a i l a i
lagda	l a ɡ d a ʔ
lagdameo	l a ɡ d a m e o
lagi	l a ɡ i ʔ
lagi	l a ɡ i
lagibas	l a ɡ i b a s
lagikway	l a ɡ i k w a i
lagim	l a ɡ i m
laginit	l a ɡ i n i t
lagis	l a ɡ i s
lagislis	l a ɡ i s l i s
lagitik	l a ɡ i t i k
lagitlit	l a ɡ i t l i t
lagkit	l a ɡ k i t
laglag	l a ɡ l a ɡ
lagmak	l a ɡ m a k
lagmay	l a ɡ m a i
lagnat	l a ɡ n a t
lagnatin	l a ɡ n a t i n
lagnatin	l a ɡ n a t i n
lago	l a ɡ o ʔ
lago	l a ɡ o
lago	l a ɡ o
lagod	l a ɡ o d
lagod	l a ɡ o d
lagok	l a ɡ o k
lagom	l a ɡ o m
lagong	l a ɡ o ŋ
lagos	l a ɡ o s
lagot	l a ɡ o t
lagpak	l a ɡ p a k
lagpas	l a ɡ p a s
lagsang	l a ɡ s a ŋ
lagumba	l a ɡ u m b a
lagumlalangin	l a ɡ u m l a l a ŋ i n
lagumlalangin	l a ɡ u m l a l a ŋ i n
laguna	l a ɡ u n a
lagundi	l a ɡ u n d i ʔ
lagusan	l a ɡ u s a n
lagusan	l a ɡ u s a n
laguslos	l a ɡ u s l o s
lagutok	l a ɡ u t o k
laguyo	l a ɡ u j o ʔ
lagwat	l a ɡ w a t
lagwerta	l a ɡ w e ɾ t a
lagyo	l a ɡ j o ʔ
lahad	l a h a d
lahad	l a h a d
lahat	l a h a t
lahi	l a h i ʔ
lahid	l a h i d
laho	l a h o ʔ
lahok	l a h o k
lahoy	l a h o i
lain	l a i n
laing	l a ʔ i ŋ
laing	l a ʔ i ŋ
lait	l a ʔ i t
laitin	l a ʔ i t i n
lakad	l a k a d
lakad	l a k a d
lakambini	l a k a m b i n i
lakambini	l a k a m b i n i
lakan	l a k a n
lakan	l a k a n
lakandiwa	l a k a n d i w a ʔ
lakansugo	l a k a n s u ɡ o ʔ
lakas	l a k a s
lakatan	l a k a t a n
lakbay	l a k b a i
lakdang	l a k d a ŋ
lakdaw	l a k d a u
lakdawkaphay	l a k d a u k a p h a i
lakdawyugto	l a k d a u j u ɡ t o ʔ
lakhan	l a k h a n
laki	l a k i
lakihan	l a k i h a n
lakip	l a k i p
lakip	l a k i p
lakit	l a k i t
laklak	l a k l a k
lako	l a k o ʔ
lako	l a k o
lakre	l a k ɾ e
laksa	l a k s a ʔ
laksa	l a k s a
laksante	l a k s a n t e
laksatiba	l a k s a t i b a
laktaw	l a k t a u
laktosa	l a k t o s a
lakwatsa	l a k w a t͡ʃ a
lakwatsera	l a k w a t͡ʃ e ɾ a
lakwatsero	l a k w a t͡ʃ e ɾ o
lala	l a l a ʔ
lala	l a l a
lala	l a l a
lala	l a l a ʔ
lalab	l a l a b
lalaban	l a l a b a n
lalad	l a l a d
lalagukan	l a l a ɡ u k a n
lalagukan	l a l a ɡ u k a n
lalagyan	l a l a ɡ j a n
lalagyan	l a l a ɡ j a n
lalaki	l a l a k i
lalaki	l a l a k i
lalamunan	l a l a m u n a n
lalan	l a l a n
lalang	l a l a ŋ
lalanghutan	l a l a ŋ h u t a n
lalanghutan	l a l a ŋ h u t a n
lalawigan	l a l a w i ɡ a n
lalay	l a l a i
lali	l a l i
lalik	l a l i k
lalim	l a l i m
lalin	l a l i n
lalo	l a l o ʔ
lam	l a m
lamad	l a m a d
laman	l a m a n
lamang	l a m a ŋ
lamang	l a m a ŋ
lamas	l a m a s
lamas	l a m a s
lamasin	l a m a s i n
lamat	l a m a t
lamay	l a m a i
lamba	l a m b a ʔ
lamba	l a m b a
lambak	l a m b a k
lambal	l a m b a l
lambang	l a m b a ŋ
lambanog	l a m b a n o ɡ
lambanog	l a m b a n o ɡ
lambanog	l a m b a n o ɡ
lambat	l a m b a t
lambayog	l a m b a j o ɡ
lambi	l a m b i ʔ
lambing	l a m b i ŋ
lambitin	l a m b i t i n
lambo	l a m b o
lambo	l a m b o ʔ
lambot	l a m b o t
lamesa	l a m e s a
lamesita	l a m e s i t a
lamig	l a m i ɡ
lamira	l a m i ɾ a ʔ
lamira	l a m i ɾ a ʔ
lamo	l a m o ʔ
lamod	l a m o d
lamog	l a m o ɡ
lamok	l a m o k
lamok	l a m o k
lamon	l a m o n
lampa	l a m p a
lampara	l a m p a ɾ a
lampas	l a m p a s
lampaso	l a m p a s o
lampik	l a m p i k
lampin	l a m p i n
lamuga	l a m u ɡ a ʔ
lamukos	l a m u k o s
lamukos	l a m u k o s
lamuymoy	l a m u i m o i
lamyerda	l a m j e ɾ d a
lana	l a n a
lanab	l a n a b
lanao	l a n a u
lanap	l a n a p
lanap	l a n a p
lanaw	l a n a u
lanaw	l a n a u
lanay	l a n a i
lanay	l a n a i
lanay	l a n a i
landa	l a n d a
landas	l a n d a s
landas	l a n d a s
landas	l a n d a s
landi	l a n d i ʔ
landit	l a n d i t
landrito	l a n d ɾ i t o
lang	l a ŋ
langal	l a ŋ a l
langaray	l a ŋ a ɾ a i
langasngas	l a ŋ a s ŋ a s
langaw	l a ŋ a u
langayak	l a ŋ a j a k
langgam	l a ŋ ɡ a m
langgas	l a ŋ ɡ a s
langgotse	l a ŋ ɡ o t͡ʃ e
langhap	l a ŋ h a p
langhapan	l a ŋ h a p a n
langib	l a ŋ i b
langil	l a ŋ i l
langis	l a ŋ i s
langit	l a ŋ i t
langitngit	l a ŋ i t ŋ i t
langka	l a ŋ k a ʔ
langkaan	l a ŋ k a ʔ a n
langkal	l a ŋ k a l
langkap	l a ŋ k a p
langkas	l a ŋ k a s
langkaw	l a ŋ k a u
langkay	l a ŋ k a i
langkayan	l a ŋ k a j a n
langlang	l a ŋ l a ŋ
lango	l a ŋ o
langoy	l a ŋ o i
langyot	l a ŋ j o t
lanip	l a n i p
lanlan	l a n l a n
lanog	l a n o ɡ
lansa	l a n s a
lansa	l a n s a
lansang	l a n s a ŋ
lansangan	l a n s a ŋ a n
lansina	l a n s i n a ʔ
lansones	l a n s o n e s
lanta	l a n t a
lantad	l a n t a d
lantak	l a n t a k
lantaka	l a n t a k a ʔ
lantana	l a n t a n a ʔ
lantay	l a n t a i
lanting	l a n t i ŋ
lanting	l a n t i ŋ
lantod	l a n t o d
lantong	l a n t o ŋ
lantot	l a m b i ŋ
lantsa	l a n t͡ʃ a
lantutay	l a n t u t a i
lanubo	l a n u b o ʔ
lanunab	l a n u n a b
lanuza	l a n u s a
lao	l a u
laoag	l a w a ɡ
laog	l a ʔ o ɡ
laon	l a ʔ o n
laon	l a ʔ o n
laos	l a ʔ o s
laos	l a ʔ o s
laot	l a ʔ o t
lapad	l a p a d
lapad	l a p a d
lapag	l a p a ɡ
lapas	l a p a s
lapastangan	l a p a s t a ŋ a n
lapat	l a p a t
lapat	l a p a t
lapay	l a p a i
lapay	l a p a i
lapi	l a p i ʔ
lapida	l a p i d a
lapig	l a p i ɡ
laping	l a p i ŋ
lapirot	l a p i ɾ o t
lapirot	l a p i ɾ o t
lapis	l a p i s
lapisa	l a p i s a ʔ
lapit	l a p i t
lapit	l a p i t
laplap	l a p l a p
lapnis	l a p n i s
lapnit	l a p n i t
lapnos	l a p n o s
lapok	l a p o k
lapok	l a p o k
lapot	l a p o t
lapulapu	l a p u l a p u
lapurit	l a p u ɾ i t
lapurit	l a p u ɾ i t
lapuz	l a p u s
lapya	l a p j a ʔ
lapyad	l a p j a d
laquindanum	l a k i n d a n u m
larang	l a ɾ a ŋ
larangan	l a ɾ a ŋ a n
larawan	l a ɾ a w a n
laray	l a ɾ a i
larga	l a ɾ ɡ a
larga	l a ɾ ɡ a
laris	l a ɾ i s
laro	l a ɾ o ʔ
laro	l a ɾ o
larot	l a ɾ o t
laroy	l a ɾ o i
laroy	l a ɾ o i
laruan	l a ɾ u ʔ a n
laruan	l a ɾ u ʔ a n
laryo	l a ɾ j o
lasa	l a s a
lasa	l a s a ʔ
lasa	l a s a ʔ
lasak	l a s a k
lasak	l a s a k
lasap	l a s a p
lasaw	l a s a u
lasaw	l a s a u
lascano	l a s k a n o
lasenggera	l a s e ŋ ɡ e ɾ a
lasenggero	l a s e ŋ ɡ e ɾ o
lasenggo	l a s e ŋ ɡ o
lasgas	l a s ɡ a s
lasing	l a s i ŋ
lasinggera	l a s i ŋ ɡ e ɾ a
lasinggero	l a s i ŋ ɡ e ɾ o
laskuta	l a s k u t a ʔ
laslas	l a s l a s
laso	l a s o
laso	l a s o ʔ
laso	l a s o ʔ
lasog	l a s o ɡ
lason	l a s o n
laspag	l a s p a ɡ
lastag	l a s t a ɡ
lastay	l a s t a i
lastiko	l a s t i k o
lasuna	l a s u n a ʔ
lasunin	l a s u n i n
laswa	l a s w a ʔ
lata	l a t a
lata	l a t a ʔ
latag	l a t a ɡ
latag	l a t a ɡ
latak	l a t a k
latak	l a t a k
latay	l a t a i
latayan	l a t a j a n
lathala	l a t h a l a ʔ
lathala	l a t h a l a ʔ
lati	l a t i ʔ
latigo	l a t i ɡ o
latik	l a t i k
latin	l a t i n
latitud	l a t i t u d
latok	l a t o k
latok	l a t o k
latok	l a t o k
latundan	l a t u n d a n
lauriat	l o ɾ j a t
lawa	l a w a ʔ
lawaan	l a w a ʔ a n
lawaan	l a w a ʔ a n
lawak	l a w a k
laway	l a w a i
laway	l a w a i
lawi	l a w i
lawig	l a w i ɡ
lawig	l a w i ɡ
lawin	l a w i n
lawing	l a w i ŋ
lawit	l a w i t
lawit	l a w i t
lawlaw	l a u l a u
laxamana	l a k s a m a n a
laya	l a j a ʔ
laya	l a j a ʔ
laya	l a j a
layag	l a j a ɡ
layag	l a j a ɡ
layak	l a j a k
layas	l a j a s
layas	l a j a s
layaw	l a j a u
layaw	l a j a u
laygo	l a i ɡ o
laylay	l a i l a i
laylayan	l a i l a j a n
laylo	l a i l o
layno	l a i n o
layo	l a j o ʔ
layo	l a j o ʔ
layog	l a j o ɡ
layon	l a j o n
layon	l a j o n
layter	l a i t e ɾ
lazarte	l a s a ɾ t e
lazatin	l a s a t i n
lebadura	l e b a d u ɾ a
lebel	l e b e l
lechias	l e t͡ʃ i a s
lee	l i
leeg	l e ʔ e ɡ
legal	l e ɡ a l
legalidad	l e ɡ a l i d a d
legazpi	l e ɡ a s p i
legwas	l e ɡ w a s
lehislasyon	l e h i s l a s j o n
lehislatura	l e h i s l a t u ɾ a
lehitimo	l e h i t i m o
lehiya	l e h i a
lehiya	l e h i a
leksikograpiko	l e k s i k o ɡ ɾ a p i k o
leksikograpiya	l e k s i k o ɡ ɾ a p i a
leksikograpo	l e k s i k o ɡ ɾ a p o
leksiyon	l e k s i o n
leksiyon	l i k s j o n
lelang	l e l a ŋ
lelong	l e l o ŋ
lemur	l e m u ɾ
lengguwahe	l e ŋ ɡ u a h e
lente	l e n t e
lentehas	l e n t e h a s
leon	l e o n
leong	l j o ŋ
leopardo	l e o p a ɾ d o
lesbiyana	l e s b i a n a
lesbyana	l e s b j a n a
lespu	l e s p u
lete	l e t e
leteng	l e t e ŋ
letmaku	l e t m a k u
letra	l e t ɾ a
letse	l e t͡ʃ e
letson	l e t͡ʃ o n
letsugas	l e t͡ʃ u ɡ a s
leung	l j u ŋ
lew	l ʊ
leynes	l e i n e s
leyte	l e i t e
li	l i
libag	l i b a ɡ
libak	l i b a k
liban	l i b a n
liban	l i b a n
libang	l i b a ŋ
libano	l i b a n o
libay	l i b a i
liberal	l i b e ɾ a l
liberalisasyon	l i b e ɾ a l i s a s j o n
liberasyon	l i b e ɾ a s j o n
libid	l i b i d
libid	l i b i d
libing	l i b i ŋ
libingan	l i b i ŋ a n
libingan	l i b i ŋ a n
libis	l i b i s
liblib	l i b l i b
libo	l i b o
libog	l i b o ɡ
libot	l i b o t
libot	l i b o t
libra	l i b ɾ a
libradilla	l i b ɾ a d i l l a
libre	l i b ɾ e
libre	l i b ɾ e
libro	l i b ɾ o
libtos	l i b t o s
libumbon	l i b u m b o n
libuntaon	l i b u n t a ʔ o n
libya	l i b j a
lichauco	l i t͡ʃ a u k o
licup	l i k u p
lider	l i d e ɾ
liderato	l i d e ɾ a t o
liga	l i ɡ a
ligalig	l i ɡ a l i ɡ
ligalig	l i ɡ a l i ɡ
ligamento	l i ɡ a m e n t o
ligamgam	l i ɡ a m ɡ a m
ligao	l i ɡ a u
ligat	l i ɡ a t
ligata	l i ɡ a t a ʔ
ligaw	l i ɡ a u
ligaw	l i ɡ a u
ligawgaw	l i ɡ a u ɡ a u
ligaya	l i ɡ a j a
ligid	l i ɡ i d
ligid	l i ɡ i d
ligis	l i ɡ i s
ligo	l i ɡ o ʔ
ligo	l i ɡ o ʔ
ligo	l i ɡ o
ligoy	l i ɡ o i
ligpit	l i ɡ p i t
ligpitin	l i ɡ p i t i n
ligta	l i ɡ t a ʔ
ligtas	l i ɡ t a s
ligwak	l i ɡ w a k
ligwan	l i ɡ w a n
liha	l i h a
liha	l i h a
liha	l i h a ʔ
liham	l i h a m
lihi	l i h i
lihi	l i h i ʔ
lihim	l i h i m
lihim	l i h i m
lihis	l i h i s
lihiya	l i h i a
lihiya	l i h i a
liho	l i h o ʔ
lihukan	l i h u k a n
liig	l i ʔ i ɡ
liing	l i ʔ i ŋ
liit	l i ʔ i t
likas	l i k a s
likas	l i k a s
likas	l i k a s
likat	l i k a t
likaw	l i k a u
likaw	l i k a u
likha	l i k h a ʔ
likha	l i k h a
likido	l i k i d o
liknayan	l i k n a j a n
liko	l i k o ʔ
likod	l i k o d
likom	l i k o m
likom	l i k o m
likop	l i k o p
likop	l i k o p
likot	l i k o t
liksi	l i k s i ʔ
likuran	l i k u ɾ a n
lila	l i l a
lila	l i l a ʔ
lilik	l i l i k
lilim	l i l i m
liling	l i l i ŋ
lilip	l i l i p
lilip	l i l i p
lilo	l i l o
lilok	l i l o k
lilok	l i l o k
lilom	l i l o m
lim	l i m
lima	l i m a
limahi	l i m a h i ʔ
limahi	l i m a h i ʔ
limahid	l i m a h i d
limahid	l i m a h i d
limampu	l i m a m p u ʔ
limandaan	l i m a n d a ʔ a n
limanlaksa	l i m a n l a k s a ʔ
limas	l i m a s
limatik	l i m a t i k
limatik	l i m a t i k
limay	l i m a i
limay	l i m a i
limbag	l i m b a ɡ
limbaga	l i m b a ɡ a
limbay	l i m b a i
limi	l i m i ʔ
limi	l i m i
limi	l i m i ʔ
limit	l i m i t
limita	l i m i t a
limitado	l i m i t a d o
limitasyon	l i m i t a s j o n
limjoco	l i m d͡ʒ o k o
limlim	l i m l i m
limon	l i m o n
limonada	l i m o n a d a
limonsito	l i m o n s i t o
limos	l i m o s
limot	l i m o t
limot	l i m o t
limot	l i m o t
limpa	l i m p a ʔ
limpak	l i m p a k
limpal	l i m p a l
limpik	l i m p i k
limsiha	l i m s i h a ʔ
limusina	l i m u s i n a
linab	l i n a b
linang	l i n a ŋ
linatoc	l i n a t o k
linatsay	l i n a t͡ʃ a i
linaw	l i n a u
linay	l i n a i
linay	l i n a i
lindayag	l i n d a j a ɡ
lindol	l i n d o l
lindulin	l i n d u l i n
linga	l i ŋ a
linga	l i ŋ a ʔ
linga	l i ŋ a ʔ
lingad	l i ŋ a d
lingaw	l i ŋ a u
lingaw	l i ŋ a u
lingawngaw	l i ŋ a u ŋ a u
linggal	l i ŋ ɡ a l
linggatong	l i ŋ ɡ a t o ŋ
linggaw	l i ŋ ɡ a u
linggi	l i ŋ ɡ i ʔ
linggit	l i ŋ ɡ i t
linggo	l i ŋ ɡ o
linggo	l i ŋ ɡ o
lingguwista	l i ŋ ɡ u i s t a
lingguwistika	l i ŋ ɡ u i s t i k a
lingid	l i ŋ i d
lingil	l i ŋ i l
lingil	l i ŋ i l
lingindayat	l i ŋ i n d a j a t
lingindayat	l i ŋ i n d a j a t
lingkaw	l i ŋ k a u
lingkod	l i ŋ k o d
lingming	l i ŋ m i ŋ
lingo	l i ŋ o
lingon	l i ŋ o n
linib	l i n i b
linis	l i n i s
linis	l i n i s
linisan	l i n i s a n
linisan	l i n i s a n
linisin	l i n i s i n
