Ⴁ	b
მიხედვით	m i x ɛ d v i tʰ
მიხეილ	m i x ɛ i l
მიხეილი	m i x ɛ i l i
მიხვედრილობა	m i x v ɛ d r i l ɔ b a
მიჯნური	m i d͡ʒ n u r i
მიჰყავს	m i h qʼ a v s
მკაფიო	m kʼ a pʰ i ɔ
მკაფიოდ	m kʼ a pʰ i ɔ d
მკაცრად	m kʼ a t͡s r a d
მკაცრი	m kʼ a t͡s r i
მკერდამდე	m kʼ ɛ r d a m d ɛ
მკერდი	m kʼ ɛ r d i
მკვდარი	m kʼ v d a r i
მკვეთრად	m kʼ v ɛ tʰ r a d
მკვეთრი	m kʼ v ɛ tʰ r i
მკვეხარა	m kʼ v ɛ x a r a
მკვიდრი	m kʼ v i d r i
მკვირცხლად	m kʼ v i r t͡s x l a d
მკვირცხლი	m kʼ v i r t͡s x l i
მკვლევარი	m kʼ v l ɛ v a r i
მკვლელი	m kʼ v l ɛ l i
მკვლელობა	m kʼ v l ɛ l ɔ b a
მკვრივად	m kʼ v r i v a d
მკვრივი	m kʼ v r i v i
მკიდია	m kʼ i d i a
მკითხველი	m kʼ i tʰ x v ɛ l i
მკრეხელობა	m kʼ r ɛ x ɛ l ɔ b a
მკრეხელურად	m kʼ r ɛ x ɛ l u r a d
მკრთალად	m kʼ r tʰ a l a d
მკრთალი	m kʼ r tʰ a l i
მკურნალი	m kʼ u r n a l i
მკურნალობა	m kʼ u r n a l ɔ b a
მლაშე	m l a ʃ ɛ
მლაშობი	m l a ʃ ɔ b i
მლიქვნელობა	m l i kʰ v n ɛ l ɔ b a
მლიქვნელური	m l i kʰ v n ɛ l u r i
მლოცვარე	m l ɔ t͡s v a r ɛ
მმართველი	m m a r tʰ v ɛ l i
მმართველობა	m m a r tʰ v ɛ l ɔ b a
მმართველობამ	m m a r tʰ v ɛ l ɔ b a m
მმართველობას	m m a r tʰ v ɛ l ɔ b a s
მმართველობის	m m a r tʰ v ɛ l ɔ b i s
მნათე	m n a tʰ ɛ
მნათობი	m n a tʰ ɔ b i
მნემონიკა	m n ɛ m ɔ n i kʼ a
მნემონიკური	m n ɛ m ɔ n i kʼ u r i
მნიშვნელობა	m n i ʃ v n ɛ l ɔ b a
მნიშვნელოვანი	m n i ʃ v n ɛ l ɔ v a n i
მნიშვნელოვნად	m n i ʃ v n ɛ l ɔ v n a d
მოაგონდება	m ɔ a ɡ ɔ n d ɛ b a
მოაზროვნე	m ɔ a z r ɔ v n ɛ
მოასულიერებს	m ɔ a s u l i ɛ r ɛ b s
მოახლე	m ɔ a x l ɛ
მოაჯირებიანი	m ɔ a d͡ʒ i r ɛ b i a n i
მოაჯირი	m ɔ a d͡ʒ i r i
მობილიზაცია	m ɔ b i l i z a t͡s i a
მობილური	m ɔ b i l u r i
მობილურობა	m ɔ b i l u r ɔ b a
მობოდიშებით	m ɔ b ɔ d i ʃ ɛ b i tʰ
მოგება	m ɔ ɡ ɛ b a
მოგების	m ɔ ɡ ɛ b i s
მოგეწონე	m ɔ ɡ ɛ t͡sʼ ɔ n ɛ
მოგვი	m ɔ ɡ v i
მოგვიანებით	m ɔ ɡ v i a n ɛ b i tʰ
მოგზაური	m ɔ ɡ z a u r i
მოგზაურობა	m ɔ ɡ z a u r ɔ b a
მოგზაურობს	m ɔ ɡ z a u r ɔ b s
მოგრძო	m ɔ ɡ r d͡z ɔ
მოდა	m ɔ d a
მოდალობა	m ɔ d a l ɔ b a
მოდგმა	m ɔ d ɡ m a
მოდელი	m ɔ d ɛ l i
მოდერატორი	m ɔ d ɛ r a tʼ ɔ r i
მოდერი	m ɔ d ɛ r i
მოდერნიზაცია	m ɔ d ɛ r n i z a t͡s i a
მოდერნიზმი	m ɔ d ɛ r n i z m i
მოდერნისტი	m ɔ d ɛ r n i s tʼ i
მოდერნისტული	m ɔ d ɛ r n i s tʼ u l i
მოდი	m ɔ d i
მოდიდო	m ɔ d i d ɔ
მოდიოდა	m ɔ d i ɔ d a
მოდის	m ɔ d i s
მოდულაცია	m ɔ d u l a t͡s i a
მოდული	m ɔ d u l i
მოდუნებულად	m ɔ d u n ɛ b u l a d
მოდუნებულობა	m ɔ d u n ɛ b u l ɔ b a
მოდურად	m ɔ d u r a d
მოდური	m ɔ d u r i
მოდურობა	m ɔ d u r ɔ b a
მოედანი	m ɔ ɛ d a n i
მოენატრება	m ɔ ɛ n a tʼ r ɛ b a
მოვა	m ɔ v a
მოვალეობა	m ɔ v a l ɛ ɔ b a
მოვარდისფრო	m ɔ v a r d i s pʰ r ɔ
მოვიდა	m ɔ v i d a
მოვილაპარაკებთ	m ɔ v i l a pʼ a r a kʼ ɛ b tʰ
მოვლენა	m ɔ v l ɛ n a
მოვლის	m ɔ v l i s
მოზაიკა	m ɔ z a i kʼ a
მოზაიკური	m ɔ z a i kʼ u r i
მოზამბიკი	m ɔ z a m b i kʼ i
მოთეთრო	m ɔ tʰ ɛ tʰ r ɔ
მოთმინება	m ɔ tʰ m i n ɛ b a
მოთმინებით	m ɔ tʰ m i n ɛ b i tʰ
მოთხოვნა	m ɔ tʰ x ɔ v n a
მოთხრობა	m ɔ tʰ x r ɔ b a
მოთხრობითი	m ɔ tʰ x r ɔ b i tʰ i
მოიგეთ	m ɔ i ɡ ɛ tʰ
მოითხოვეთ	m ɔ i tʰ x ɔ v ɛ tʰ
მოითხოვს	m ɔ i tʰ x ɔ v s
მოისმენს	m ɔ i s m ɛ n s
მოიცა	m ɔ i t͡s a
მოიცადე	m ɔ i t͡s a d ɛ
მოიჯარე	m ɔ i d͡ʒ a r ɛ
მოკავშირე	m ɔ kʼ a v ʃ i r ɛ
მოკაზმულობა	m ɔ kʼ a z m u l ɔ b a
მოკასინი	m ɔ kʼ a s i n i
მოკაშკაშე	m ɔ kʼ a ʃ kʼ a ʃ ɛ
მოკეტე	m ɔ kʼ ɛ tʼ ɛ
მოკვალთული	m ɔ kʼ v a l tʰ u l i
მოკვლა	m ɔ kʼ v l a
მოკირვა	m ɔ kʼ i r v a
მოკლავს	m ɔ kʼ l a v s
მოკლე	m ɔ kʼ l ɛ
მოკლედ	m ɔ kʼ l ɛ d
მოკლევადიანი	m ɔ kʼ l ɛ v a d i a n i
მოკრივე	m ɔ kʼ r i v ɛ
მოკრძალება	m ɔ kʼ r d͡z a l ɛ b a
მოკრძალებულად	m ɔ kʼ r d͡z a l ɛ b u l a d
მოლაპარაკება	m ɔ l a pʼ a r a kʼ ɛ b a
მოლარე	m ɔ l a r ɛ
მოლაღური	m ɔ l a ɣ u r i
მოლაყბე	m ɔ l a qʼ b ɛ
მოლბერტი	m ɔ l b ɛ r tʼ i
მოლდოვა	m ɔ l d ɔ v a
მოლეკულა	m ɔ l ɛ kʼ u l a
მოლეკულური	m ɔ l ɛ kʼ u l u r i
მოლიბდენი	m ɔ l i b d ɛ n i
მოლოდინი	m ɔ l ɔ d i n i
მოლოქა	m ɔ l ɔ kʰ a
მოლუსკი	m ɔ l u s kʼ i
მოლხენილად	m ɔ l x ɛ n i l a d
მომაბეზრებელი	m ɔ m a b ɛ z r ɛ b ɛ l i
მომაბეზრებლად	m ɔ m a b ɛ z r ɛ b l a d
მომავალი	m ɔ m a v a l i
მომავალში	m ɔ m a v a l ʃ i
მომაკვდინებლად	m ɔ m a kʼ v d i n ɛ b l a d
მომართავს	m ɔ m a r tʰ a v s
მომაღლო	m ɔ m a ɣ l ɔ
მომგებიანად	m ɔ m ɡ ɛ b i a n a d
მომგებიანი	m ɔ m ɡ ɛ b i a n i
მომდევნო	m ɔ m d ɛ v n ɔ
მომენატრე	m ɔ m ɛ n a tʼ r ɛ
მომენატრებით	m ɔ m ɛ n a tʼ r ɛ b i tʰ
მომენტალური	m ɔ m ɛ n tʼ a l u r i
მომენტი	m ɔ m ɛ n tʼ i
მომთაბარე	m ɔ m tʰ a b a r ɛ
მომთაბარეობა	m ɔ m tʰ a b a r ɛ ɔ b a
მომიჯნავედ	m ɔ m i d͡ʒ n a v ɛ d
მომლაშო	m ɔ m l a ʃ ɔ
მომლოდინედ	m ɔ m l ɔ d i n ɛ d
მომჟავო	m ɔ m ʒ a v ɔ
მომრგვალო	m ɔ m r ɡ v a l ɔ
მომღერალი	m ɔ m ɣ ɛ r a l i
მომჩივანი	m ɔ m t͡ʃ i v a n i
მომწამლავად	m ɔ m t͡sʼ a m l a v a d
მომწვანო	m ɔ m t͡sʼ v a n ɔ
მომწონს	m ɔ m t͡sʼ ɔ n s
მომჭირნე	m ɔ m t͡ʃʼ i r n ɛ
მომჭირნედ	m ɔ m t͡ʃʼ i r n ɛ d
მომჭირნეობა	m ɔ m t͡ʃʼ i r n ɛ ɔ b a
მომხიბვლელი	m ɔ m x i b v l ɛ l i
მომხიბლავად	m ɔ m x i b l a v a d
მომხიბლავი	m ɔ m x i b l a v i
მომხიბლაობა	m ɔ m x i b l a ɔ b a
მომხიბლველად	m ɔ m x i b l v ɛ l a d
მომხმარებელი	m ɔ m x m a r ɛ b ɛ l i
მონა	m ɔ n a
მონადირე	m ɔ n a d i r ɛ
მონაზონი	m ɔ n a z ɔ n i
მონათესავე	m ɔ n a tʰ ɛ s a v ɛ
მონათმფლობელობა	m ɔ n a tʰ m pʰ l ɔ b ɛ l ɔ b a
მონაკო	m ɔ n a kʼ ɔ
მონანიებით	m ɔ n a n i ɛ b i tʰ
მონარქი	m ɔ n a r kʰ i
მონარქია	m ɔ n a r kʰ i a
მონარქიზმი	m ɔ n a r kʰ i z m i
მონარქისტი	m ɔ n a r kʰ i s tʼ i
მონარქიული	m ɔ n a r kʰ i u l i
მონასტერი	m ɔ n a s tʼ ɛ r i
მონასტრული	m ɔ n a s tʼ r u l i
მონაცემები	m ɔ n a t͡s ɛ m ɛ b i
მონაცვლეობა	m ɔ n a t͡s v l ɛ ɔ b a
მონაცრისფრო	m ɔ n a t͡s r i s pʰ r ɔ
მონეტა	m ɔ n ɛ tʼ a
მონიკა	m ɔ n i kʼ a
მონიტორი	m ɔ n i tʼ ɔ r i
მონობა	m ɔ n ɔ b a
მონოგამია	m ɔ n ɔ ɡ a m i a
მონოგრამა	m ɔ n ɔ ɡ r a m a
მონოგრაფია	m ɔ n ɔ ɡ r a pʰ i a
მონოთეიზმი	m ɔ n ɔ tʰ ɛ i z m i
მონოთეისტი	m ɔ n ɔ tʰ ɛ i s tʼ i
მონოთეისტური	m ɔ n ɔ tʰ ɛ i s tʼ u r i
მონოკლი	m ɔ n ɔ kʼ l i
მონოლითი	m ɔ n ɔ l i tʰ i
მონოლითური	m ɔ n ɔ l i tʰ u r i
მონოლოგი	m ɔ n ɔ l ɔ ɡ i
მონომანია	m ɔ n ɔ m a n i a
მონოპლანი	m ɔ n ɔ pʼ l a n i
მონოპოლია	m ɔ n ɔ pʼ ɔ l i a
მონოპოლისტი	m ɔ n ɔ pʼ ɔ l i s tʼ i
მონოტონურად	m ɔ n ɔ tʼ ɔ n u r a d
მონოტონური	m ɔ n ɔ tʼ ɔ n u r i
მონოტონურობა	m ɔ n ɔ tʼ ɔ n u r ɔ b a
მონრეალი	m ɔ n r ɛ a l i
მონტაჟი	m ɔ n tʼ a ʒ i
მონტენეგრო	m ɔ n tʼ ɛ n ɛ ɡ r ɔ
მონტიორი	m ɔ n tʼ i ɔ r i
მონუმენტი	m ɔ n u m ɛ n tʼ i
მონუმენტური	m ɔ n u m ɛ n tʼ u r i
მონურად	m ɔ n u r a d
მონური	m ɔ n u r i
მონღოლეთი	m ɔ n ɣ ɔ l ɛ tʰ i
მონღოლი	m ɔ n ɣ ɔ l i
მონღოლური	m ɔ n ɣ ɔ l u r i
მორალი	m ɔ r a l i
მორალისტი	m ɔ r a l i s tʼ i
მორალისტური	m ɔ r a l i s tʼ u r i
მორალურად	m ɔ r a l u r a d
მორატორიუმი	m ɔ r a tʼ ɔ r i u m i
მორგანატული	m ɔ r ɡ a n a tʼ u l i
მორგვი	m ɔ r ɡ v i
მორგი	m ɔ r ɡ i
მორევი	m ɔ r ɛ v i
მორთულობა	m ɔ r tʰ u l ɔ b a
მორი	m ɔ r i
მორიდებულად	m ɔ r i d ɛ b u l a d
მორიდებულობა	m ɔ r i d ɛ b u l ɔ b a
მორიელი	m ɔ r i ɛ l i
მორისი	m ɔ r i s i
მორმონები	m ɔ r m ɔ n ɛ b i
მორფემა	m ɔ r pʰ ɛ m a
მორფემული	m ɔ r pʰ ɛ m u l i
მორფი	m ɔ r pʰ i
მორფოლოგია	m ɔ r pʰ ɔ l ɔ ɡ i a
მორფოლოგიურად	m ɔ r pʰ ɔ l ɔ ɡ i u r a d
მორფოლოგიური	m ɔ r pʰ ɔ l ɔ ɡ i u r i
მორჩი	m ɔ r t͡ʃ i
მორჩილად	m ɔ r t͡ʃ i l a d
მორჩილაძე	m ɔ r t͡ʃ i l a d͡z ɛ
მორჩილობა	m ɔ r t͡ʃ i l ɔ b a
მორცხვად	m ɔ r t͡s x v a d
მორცხვი	m ɔ r t͡s x v i
მორცხვობა	m ɔ r t͡s x v ɔ b a
მორწმუნე	m ɔ r t͡sʼ m u n ɛ
მოსავალი	m ɔ s a v a l i
მოსამართლე	m ɔ s a m a r tʰ l ɛ
მოსამსახურე	m ɔ s a m s a x u r ɛ
მოსაჩვენებლად	m ɔ s a t͡ʃ v ɛ n ɛ b l a d
მოსაწყენად	m ɔ s a t͡sʼ qʼ ɛ n a d
მოსახლეობა	m ɔ s a x l ɛ ɔ b a
მოსახლეობად	m ɔ s a x l ɛ ɔ b a d
მოსახლეობამ	m ɔ s a x l ɛ ɔ b a m
მოსახლეობას	m ɔ s a x l ɛ ɔ b a s
მოსახლეობით	m ɔ s a x l ɛ ɔ b i tʰ
მოსახლეობის	m ɔ s a x l ɛ ɔ b i s
მოსვლა	m ɔ s v l a
მოსთხოვს	m ɔ s tʰ x ɔ v s
მოსკოვად	m ɔ s kʼ ɔ v a d
მოსკოვი	m ɔ s kʼ ɔ v i
მოსკოვით	m ɔ s kʼ ɔ v i tʰ
მოსკოვის	m ɔ s kʼ ɔ v i s
მოსკოვმა	m ɔ s kʼ ɔ v m a
მოსკოვს	m ɔ s kʼ ɔ v s
მოსპობს	m ɔ s pʼ ɔ b s
მოსულელო	m ɔ s u l ɛ l ɔ
მოსულელოდ	m ɔ s u l ɛ l ɔ d
მოსულიერება	m ɔ s u l i ɛ r ɛ b a
მოსწავლე	m ɔ s t͡sʼ a v l ɛ
მოსწონს	m ɔ s t͡sʼ ɔ n s
მოტეხილობა	m ɔ tʼ ɛ x i l ɔ b a
მოტივაცია	m ɔ tʼ i v a t͡s i a
მოტივი	m ɔ tʼ i v i
მოტკბო	m ɔ tʼ kʼ b ɔ
მოტოციკლეტი	m ɔ tʼ ɔ t͡s i kʼ l ɛ tʼ i
მოტოციკლი	m ɔ tʼ ɔ t͡s i kʼ l i
მოტყნული	m ɔ tʼ qʼ n u l i
მოტყუებით	m ɔ tʼ qʼ u ɛ b i tʰ
მოუახლოვდება	m ɔ u a x l ɔ v d ɛ b a
მოუბარი	m ɔ u b a r i
მოუთმენლად	m ɔ u tʰ m ɛ n l a d
მოუთმენლობა	m ɔ u tʰ m ɛ n l ɔ b a
მოულოდნელად	m ɔ u l ɔ d n ɛ l a d
მოულოდნელობა	m ɔ u l ɔ d n ɛ l ɔ b a
მოუნანიებლად	m ɔ u n a n i ɛ b l a d
მოურიდებლად	m ɔ u r i d ɛ b l a d
მოურიდებლობა	m ɔ u r i d ɛ b l ɔ b a
მოუსვენრად	m ɔ u s v ɛ n r a d
მოუსვენრობა	m ɔ u s v ɛ n r ɔ b a
მოუფიქრებლად	m ɔ u pʰ i kʰ r ɛ b l a d
მოუქნელად	m ɔ u kʰ n ɛ l a d
მოუქნელობა	m ɔ u kʰ n ɛ l ɔ b a
მოუწესრიგებელი	m ɔ u t͡sʼ ɛ s r i ɡ ɛ b ɛ l i
მოუხერხებლად	m ɔ u x ɛ r x ɛ b l a d
მოუხეშო	m ɔ u x ɛ ʃ ɔ
მოფარიკავე	m ɔ pʰ a r i kʼ a v ɛ
მოფერება	m ɔ pʰ ɛ r ɛ b a
მოქალაქე	m ɔ kʰ a l a kʰ ɛ
მოქალაქეობა	m ɔ kʰ a l a kʰ ɛ ɔ b a
მოქანდაკე	m ɔ kʰ a n d a kʼ ɛ
მოქლონი	m ɔ kʰ l ɔ n i
მოქმედება	m ɔ kʰ m ɛ d ɛ b a
მოქმედებითი	m ɔ kʰ m ɛ d ɛ b i tʰ i
მოქმედი	m ɔ kʰ m ɛ d i
მოქნილად	m ɔ kʰ n i l a d
მოქნილი	m ɔ kʰ n i l i
მოქნილობა	m ɔ kʰ n i l ɔ b a
მოქცევა	m ɔ kʰ t͡s ɛ v a
მოღალატეობა	m ɔ ɣ a l a tʼ ɛ ɔ b a
მოღალატურად	m ɔ ɣ a l a tʼ u r a d
მოღალატური	m ɔ ɣ a l a tʼ u r i
მოღვაწე	m ɔ ɣ v a t͡sʼ ɛ
მოღვაწეობა	m ɔ ɣ v a t͡sʼ ɛ ɔ b a
მოღრეცილად	m ɔ ɣ r ɛ t͡s i l a d
მოღუშულად	m ɔ ɣ u ʃ u l a d
მოღუშული	m ɔ ɣ u ʃ u l i
მოყავისფრო	m ɔ qʼ a v i s pʰ r ɔ
მოყვარე	m ɔ qʼ v a r ɛ
მოყვარული	m ɔ qʼ v a r u l i
მოყვითალო	m ɔ qʼ v i tʰ a l ɔ
მოშავო	m ɔ ʃ a v ɔ
მოშლა	m ɔ ʃ l a
მოშლის	m ɔ ʃ l i s
მოშორებით	m ɔ ʃ ɔ r ɛ b i tʰ
მოჩვენებითად	m ɔ t͡ʃ v ɛ n ɛ b i tʰ a d
მოჩვენებითი	m ɔ t͡ʃ v ɛ n ɛ b i tʰ i
მოცალეობა	m ɔ t͡s a l ɛ ɔ b a
მოციგურავე	m ɔ t͡s i ɡ u r a v ɛ
მოციმციმე	m ɔ t͡s i m t͡s i m ɛ
მოციქული	m ɔ t͡s i kʰ u l i
მოცულობა	m ɔ t͡s u l ɔ b a
მოცურავე	m ɔ t͡s u r a v ɛ
მოცხარი	m ɔ t͡s x a r i
მოძველო	m ɔ d͡z v ɛ l ɔ
მოძრაობა	m ɔ d͡z r a ɔ b a
მოძღვარი	m ɔ d͡z ɣ v a r i
მოძღვრები	m ɔ d͡z ɣ v r ɛ b i
მოწამე	m ɔ t͡sʼ a m ɛ
მოწამეობა	m ɔ t͡sʼ a m ɛ ɔ b a
მოწაფე	m ɔ t͡sʼ a pʰ ɛ
მოწევა	m ɔ t͡sʼ ɛ v a
მოწითალო	m ɔ t͡sʼ i tʰ a l ɔ
მოწინავე	m ɔ t͡sʼ i n a v ɛ
მოწიფულობა	m ɔ t͡sʼ i pʰ u l ɔ b a
მოწიწება	m ɔ t͡sʼ i t͡sʼ ɛ b a
მოწიწებით	m ɔ t͡sʼ i t͡sʼ ɛ b i tʰ
მოწმე	m ɔ t͡sʼ m ɛ
მოწმობა	m ɔ t͡sʼ m ɔ b a
მოწოდება	m ɔ t͡sʼ ɔ d ɛ b a
მოწონებით	m ɔ t͡sʼ ɔ n ɛ b i tʰ
მოწყალება	m ɔ t͡sʼ qʼ a l ɛ b a
მოწყალედ	m ɔ t͡sʼ qʼ a l ɛ d
მოწყენილობა	m ɔ t͡sʼ qʼ ɛ n i l ɔ b a
მოწყობილობა	m ɔ t͡sʼ qʼ ɔ b i l ɔ b a
მოჭარბებულად	m ɔ t͡ʃʼ a r b ɛ b u l a d
მოჭიდავე	m ɔ t͡ʃʼ i d a v ɛ
მოჭიმულად	m ɔ t͡ʃʼ i m u l a d
მოჭრის	m ɔ t͡ʃʼ r i s
მოხარშვა	m ɔ x a r ʃ v a
მოხდა	m ɔ x d a
მოხელე	m ɔ x ɛ l ɛ
მოხერხებულად	m ɔ x ɛ r x ɛ b u l a d
მოხერხებული	m ɔ x ɛ r x ɛ b u l i
მოხრილობა	m ɔ x r i l ɔ b a
მოხსენება	m ɔ x s ɛ n ɛ b a
მოხუცებულობა	m ɔ x u t͡s ɛ b u l ɔ b a
მოხუცი	m ɔ x u t͡s i
მჟავე	m ʒ a v ɛ
მჟავედ	m ʒ a v ɛ d
მჟავური	m ʒ a v u r i
მჟაუნა	m ʒ a u n a
მრავალგვარი	m r a v a l ɡ v a r i
მრავალი	m r a v a l i
მრავალმნიშვნელოვანი	m r a v a l m n i ʃ v n ɛ l ɔ v a n i
მრავალმნიშვნელოვნად	m r a v a l m n i ʃ v n ɛ l ɔ v n a d
