Abae	a b a e̯
morātā	m ɔ r aː t aː
morātārum	m ɔ r aː t aː r ũː
morātās	m ɔ r aː t aː s
morātī	m ɔ r aː t iː
morātīs	m ɔ r aː t iː s
morātō	m ɔ r aː t oː
morātōre	m ɔ r aː t oː r ɛ
morātōrem	m ɔ r aː t oː r ẽː
morātōria	m ɔ r aː t oː r i a
morātōria	m ɔ r aː t oː r i aː
morātōriae	m ɔ r aː t oː r i a e̯
morātōriam	m ɔ r aː t oː r i ãː
morātōribus	m ɔ r aː t oː r ɪ b ʊ s
morātōrie	m ɔ r aː t oː r i ɛ
morātōris	m ɔ r aː t oː r ɪ s
morātōrium	m ɔ r aː t oː r i ũː
morātōriārum	m ɔ r aː t oː r i aː r ũː
morātōriās	m ɔ r aː t oː r i aː s
morātōriī	m ɔ r aː t oː r i iː
morātōriīs	m ɔ r aː t oː r i iː s
morātōriō	m ɔ r aː t oː r i oː
morātōriōrum	m ɔ r aː t oː r i oː r ũː
morātōriōs	m ɔ r aː t oː r i oː s
morātōrum	m ɔ r aː t oː r ũː
morātōrēs	m ɔ r aː t oː r eː s
morātōrī	m ɔ r aː t oː r iː
morātōs	m ɔ r aː t oː s
morēminī	m ɔ r eː m ɪ n iː
morēmur	m ɔ r eː m ʊ r
morēre	m ɔ r eː r ɛ
morēris	m ɔ r eː r ɪ s
morētur	m ɔ r eː t ʊ r
morī	m ɔ r iː
morīre	m ɔ r iː r ɛ
morīrentur	m ɔ r iː r ɛ n t ʊ r
morīrer	m ɔ r iː r ɛ r
morīris	m ɔ r iː r ɪ s
morīrēminī	m ɔ r iː r eː m ɪ n iː
morīrēmur	m ɔ r iː r eː m ʊ r
morīrēre	m ɔ r iː r eː r ɛ
morīrēris	m ɔ r iː r eː r ɪ s
morīrētur	m ɔ r iː r eː t ʊ r
morīrī	m ɔ r iː r iː
morī̆minī	m ɔ r iː m ɪ n iː
morī̆minī	m ɔ r ɪ m ɪ n iː
morī̆mur	m ɔ r iː m ʊ r
morī̆mur	m ɔ r ɪ m ʊ r
morī̆tor	m ɔ r iː t ɔ r
morī̆tor	m ɔ r ɪ t ɔ r
morī̆tur	m ɔ r iː t ʊ r
morī̆tur	m ɔ r ɪ t ʊ r
morōsitās	m ɔ r oː s ɪ t aː s
morōsus	m ɔ r oː s ʊ s
mosarabicus	m ɔ s a r a b ɪ k ʊ s
mossambīcus	m ɔ s s a m b iː k ʊ s
movēre	m oː w eː r ɛ
movēre	m ɔ w eː r ɛ
mucosālis	m ʊ k ɔ s aː l ɪ s
mulcta	m ʊ ɫ k t a
mulcātis	m ʊ ɫ k aː t ɪ s
mulcātīs	m ʊ ɫ k aː t iː s
mulcāverimus	m ʊ ɫ k aː w ɛ r iː m ʊ s
mulcāverimus	m ʊ ɫ k aː w ɛ r ɪ m ʊ s
mulcāveris	m ʊ ɫ k aː w ɛ r iː s
mulcāveris	m ʊ ɫ k aː w ɛ r ɪ s
mulcāveritis	m ʊ ɫ k aː w ɛ r iː t ɪ s
mulcāveritis	m ʊ ɫ k aː w ɛ r ɪ t ɪ s
mulgentia	m ʊ ɫ ɡ ɛ n t i a
mulgentiae	m ʊ ɫ ɡ ɛ n t i a e̯
muliebre	m ʊ l i ɛ b r ɛ
muliebrōsus	m ʊ l i ɛ b r oː s ʊ s
mulierem	m ʊ l i ɛ r ẽː
mulsa	m ʊ ɫ s a
mulsa	m ʊ ɫ s aː
multa	m ʊ ɫ t a
multa	m ʊ ɫ t aː
multam	m ʊ ɫ t ãː
multandō	m ʊ ɫ t a n d oː
multanime	m ʊ ɫ t a n ɪ m ɛ
multanimem	m ʊ ɫ t a n ɪ m ẽː
multanimia	m ʊ ɫ t a n ɪ m i a
multanimibus	m ʊ ɫ t a n ɪ m ɪ b ʊ s
multanimium	m ʊ ɫ t a n ɪ m i ũː
multanimēs	m ʊ ɫ t a n ɪ m eː s
multanimī	m ʊ ɫ t a n ɪ m iː
multaticia	m ʊ ɫ t aː t iː k i a
multe	m ʊ ɫ t ɛ
multem	m ʊ ɫ t ẽː
multicolōrēs	m ʊ ɫ t ɪ k ɔ ɫ oː r eː s
multicolōrī	m ʊ ɫ t ɪ k ɔ ɫ oː r iː
multifida	m ʊ ɫ t ɪ f ɪ d a
multifidae	m ʊ ɫ t ɪ f ɪ d a e̯
multifidam	m ʊ ɫ t ɪ f ɪ d ãː
multifide	m ʊ ɫ t ɪ f ɪ d ɛ
multifidi	m ʊ ɫ t ɪ f ɪ d ɪ
multifido	m ʊ ɫ t ɪ f ɪ d ɔ
multifidum	m ʊ ɫ t ɪ f ɪ d ũː
multifidārum	m ʊ ɫ t ɪ f ɪ d aː r ũː
multifidās	m ʊ ɫ t ɪ f ɪ d aː s
multifidīs	m ʊ ɫ t ɪ f ɪ d iː s
multifidōrum	m ʊ ɫ t ɪ f ɪ d oː r ũː
multifidōs	m ʊ ɫ t ɪ f ɪ d oː s
multigenus	m ʊ ɫ t ɪ ɡ ɛ n ʊ s
multiloqua	m ʊ ɫ t ɪ ɫ ɔ kʷ a
multiloqua	m ʊ ɫ t ɪ ɫ ɔ kʷ aː
multiloquum	m ʊ ɫ t ɪ ɫ ɔ k ũː
multinucleātus	m ʊ ɫ t ɪ n ʊ k ɫ e aː t ʊ s
multiplicāte	m ʊ ɫ t ɪ p l ɪ k aː t ɛ
multiplicātis	m ʊ ɫ t ɪ p l ɪ k aː t ɪ s
multiplicātīs	m ʊ ɫ t ɪ p l ɪ k aː t iː s
multiplicātīvus	m ʊ ɫ t ɪ p l ɪ k aː t iː w ʊ s
multiplicāverimus	m ʊ ɫ t ɪ p l ɪ k aː w ɛ r iː m ʊ s
multiplicāverimus	m ʊ ɫ t ɪ p l ɪ k aː w ɛ r ɪ m ʊ s
multiplicāveris	m ʊ ɫ t ɪ p l ɪ k aː w ɛ r iː s
multiplicāveris	m ʊ ɫ t ɪ p l ɪ k aː w ɛ r ɪ s
multiplicāveritis	m ʊ ɫ t ɪ p l ɪ k aː w ɛ r iː t ɪ s
multiplicāveritis	m ʊ ɫ t ɪ p l ɪ k aː w ɛ r ɪ t ɪ s
multum	m ʊ ɫ t ũː
multā	m ʊ ɫ t a
multā	m ʊ ɫ t aː
multāre	m ʊ ɫ t aː r ɛ
multārem	m ʊ ɫ t aː r ẽː
multārās	m ʊ ɫ t aː r aː s
multārēs	m ʊ ɫ t aː r eː s
multās	m ʊ ɫ t aː s
multāsse	m ʊ ɫ t aː s s ɛ
multāssem	m ʊ ɫ t aː s s ẽː
multāssēs	m ʊ ɫ t aː s s eː s
multātica	m ʊ ɫ t aː t ɪ k a
multātica	m ʊ ɫ t aː t ɪ k aː
multāticae	m ʊ ɫ t aː t ɪ k a e̯
multāticam	m ʊ ɫ t aː t ɪ k ãː
multātice	m ʊ ɫ t aː t ɪ k ɛ
multāticum	m ʊ ɫ t aː t ɪ k ũː
multāticārum	m ʊ ɫ t aː t ɪ k aː r ũː
multāticās	m ʊ ɫ t aː t ɪ k aː s
multāticī	m ʊ ɫ t aː t ɪ k iː
multāticīs	m ʊ ɫ t aː t ɪ k iː s
multāticō	m ʊ ɫ t aː t ɪ k oː
multāticōrum	m ʊ ɫ t aː t ɪ k oː r ũː
multāticōs	m ʊ ɫ t aː t ɪ k oː s
multātis	m ʊ ɫ t aː t ɪ s
multātīs	m ʊ ɫ t aː t iː s
multāverimus	m ʊ ɫ t aː w ɛ r iː m ʊ s
multāverimus	m ʊ ɫ t aː w ɛ r ɪ m ʊ s
multāveris	m ʊ ɫ t aː w ɛ r iː s
multāveris	m ʊ ɫ t aː w ɛ r ɪ s
multāveritis	m ʊ ɫ t aː w ɛ r iː t ɪ s
multāveritis	m ʊ ɫ t aː w ɛ r ɪ t ɪ s
multēs	m ʊ ɫ t eː s
multī	m ʊ ɫ t iː
multō	m ʊ ɫ t oː
mulvius	m ʊ ɫ w i ʊ s
mundus	m ʊ n d ʊ s
mundānās	m ʊ n d aː n aː s
mundānō	m ʊ n d aː n oː
mundānōs	m ʊ n d aː n oː s
mundī	m ʊ n d ɪ
mundō	m ʊ n d oː
muraena	m ʊ r a e̯ n a
muricola	m ʊ r ɪ k ɔ ɫ a
muricola	m ʊ r ɪ k ɔ ɫ aː
muricole	m ʊ r ɪ k ɔ ɫ ɛ
muricolus	m ʊ r ɪ k ɔ ɫ ʊ s
muricolī	m ʊ r ɪ k ɔ l iː
muricolō	m ʊ r ɪ k ɔ ɫ oː
muriēs	m ʊ r i eː s
murmillō	m ʊ r m ɪ l l oː
murmure	m ʊ r m ʊ r ɛ
murmuris	m ʊ r m ʊ r ɪ s
murmurās	m ʊ r m ʊ r aː s
murmurātis	m ʊ r m ʊ r aː t ɪ s
murmurātīs	m ʊ r m ʊ r aː t iː s
murmurāverimus	m ʊ r m ʊ r aː w ɛ r iː m ʊ s
murmurāverimus	m ʊ r m ʊ r aː w ɛ r ɪ m ʊ s
murmurāveris	m ʊ r m ʊ r aː w ɛ r iː s
murmurāveris	m ʊ r m ʊ r aː w ɛ r ɪ s
murmurāveritis	m ʊ r m ʊ r aː w ɛ r iː t ɪ s
murmurāveritis	m ʊ r m ʊ r aː w ɛ r ɪ t ɪ s
murmurī	m ʊ r m ʊ r iː
murra	m ʊ r r a
murreus	m ʊ r r e ʊ s
murrinum	m ʊ r r ɪ n ũː
murriō	m ʊ r r i oː
murrātus	m ʊ r r aː t ʊ s
murtātum	m ʊ r t aː t ũː
murtētum	m ʊ r t eː t ũː
mussitātis	m ʊ s s ɪ t aː t ɪ s
mussitātīs	m ʊ s s ɪ t aː t iː s
mussitāverimus	m ʊ s s ɪ t aː w ɛ r iː m ʊ s
mussitāverimus	m ʊ s s ɪ t aː w ɛ r ɪ m ʊ s
mussitāveris	m ʊ s s ɪ t aː w ɛ r iː s
mussitāveris	m ʊ s s ɪ t aː w ɛ r ɪ s
mussitāveritis	m ʊ s s ɪ t aː w ɛ r iː t ɪ s
mussitāveritis	m ʊ s s ɪ t aː w ɛ r ɪ t ɪ s
mussātis	m ʊ s s aː t ɪ s
mussātīs	m ʊ s s aː t iː s
mussāverimus	m ʊ s s aː w ɛ r iː m ʊ s
mussāverimus	m ʊ s s aː w ɛ r ɪ m ʊ s
mussāveris	m ʊ s s aː w ɛ r iː s
mussāveris	m ʊ s s aː w ɛ r ɪ s
mussāveritis	m ʊ s s aː w ɛ r iː t ɪ s
mussāveritis	m ʊ s s aː w ɛ r ɪ t ɪ s
mutilō	m ʊ t ɪ ɫ oː
muttō	m ʊ t t oː
muttōne	m ʊ t t oː n ɛ
muttōnem	m ʊ t t oː n ẽː
muttōnibus	m ʊ t t oː n ɪ b ʊ s
muttōnis	m ʊ t t oː n ɪ s
muttōnum	m ʊ t t oː n ũː
muttōnēs	m ʊ t t oː n eː s
muttōnī	m ʊ t t oː n iː
mutōnia	m ʊ t oː n i a
mutōnium	m ʊ t oː n i ũː
mutōniī	m ʊ t oː n i iː
mutōniīs	m ʊ t oː n i iː s
mutōniō	m ʊ t oː n i oː
mutōniōrum	m ʊ t oː n i oː r ũː
mutūniāta	m ʊ t uː n i aː t a
mutūniāta	m ʊ t uː n i aː t aː
mutūniātae	m ʊ t uː n i aː t a e̯
mutūniātam	m ʊ t uː n i aː t ãː
mutūniāte	m ʊ t uː n i aː t ɛ
mutūniātum	m ʊ t uː n i aː t ũː
mutūniātārum	m ʊ t uː n i aː t aː r ũː
mutūniātās	m ʊ t uː n i aː t aː s
mutūniātī	m ʊ t uː n i aː t iː
mutūniātīs	m ʊ t uː n i aː t iː s
mutūniātō	m ʊ t uː n i aː t oː
mutūniātōrum	m ʊ t uː n i aː t oː r ũː
mutūniātōs	m ʊ t uː n i aː t oː s
mylohȳoīdeī	m y ɫ o yː o iː d e iː
mylohȳoīdeī	m y ɫ o ɦ yː o iː d e iː
myocardium	m y ɔ k a r d i ũː
myrobalanī	m y r ɔ b a ɫ a n iː
myrobalanō	m y r ɔ b a ɫ a n oː
myrra	m y r r a
myrrha	m y r rʰ a
myrrhinus	m y r rʰ ɪ n ʊ s
myrrhītēs	m y r rʰ iː t eː s
myrte	m y r t ɛ
myrtille	m y r t ɪ l l ɛ
myrtillō	m y r t ɪ l l oː
myrtillōs	m y r t ɪ l l oː s
myrtinus	m y r t ɪ n ʊ s
myrtum	m y r t ũː
myrtī	m y r t iː
mysta	m y s t a
mystērius	m y s t eː r i ʊ s
mācedonī	m aː k ɛ d ɔ n iː
mācerat	m aː k ɛ r a t
mācerem	m a k eː r ẽː
mācerem	m aː k ɛ r ẽː
mācerent	m a k eː r ɛ n t
mācerent	m aː k ɛ r ɛ n t
māceret	m a k eː r ɛ t
māceret	m aː k ɛ r ɛ t
mācerā	m aː k ɛ r aː
mācerāte	m aː k ɛ r aː t ɛ
mācerātis	m aː k ɛ r aː t ɪ s
mācerātīs	m aː k ɛ r aː t iː s
mācerāverimus	m aː k ɛ r aː w ɛ r iː m ʊ s
mācerāverimus	m aː k ɛ r aː w ɛ r ɪ m ʊ s
mācerāveris	m aː k ɛ r aː w ɛ r iː s
mācerāveris	m aː k ɛ r aː w ɛ r ɪ s
mācerāveritis	m aː k ɛ r aː w ɛ r iː t ɪ s
mācerāveritis	m aː k ɛ r aː w ɛ r ɪ t ɪ s
mācerēmus	m a k eː r eː m ʊ s
mācerēmus	m aː k ɛ r eː m ʊ s
mācerēs	m a k eː r eː s
mācerēs	m aː k ɛ r eː s
mācerētis	m a k eː r eː t ɪ s
mācerētis	m aː k ɛ r eː t ɪ s
māla	m aː ɫ a
mālente	m aː ɫ ɛ n t ɛ
mālentem	m aː ɫ ɛ n t ẽː
mālentia	m aː ɫ ɛ n t i a
mālentibus	m aː ɫ ɛ n t ɪ b ʊ s
mālentis	m aː ɫ ɛ n t iː s
mālentis	m aː ɫ ɛ n t ɪ s
mālentium	m aː ɫ ɛ n t i ũː
mālentēs	m aː ɫ ɛ n t eː s
mālentī	m aː ɫ ɛ n t iː
mālet	m aː ɫ ɛ t
māllēs	m aː l l eː s
mālum	m aː ɫ ũː
mālus	m aː ɫ ʊ s
mālēns	m aː ɫ ẽː s
mālō	m aː ɫ oː
māne	m aː n ɛ
mānem	m aː n ẽː
mānia	m aː n i a
mānium	m aː n i ũː
mānsuem	m ãː sʷ ẽː
mānsuia	m ãː sʷ i a
mānsuibus	m ãː sʷ ɪ b ʊ s
mānsuis	m ãː sʷ ɪ s
mānsuium	m ãː sʷ i ũː
mānsuēte	m ãː s u eː t eː
mānsuēte	m ãː s u eː t ɛ
mānsuētem	m ãː sʷ eː t ẽː
mānsuētia	m ãː sʷ eː t i a
mānsuētibus	m ãː sʷ eː t ɪ b ʊ s
mānsuētis	m ãː sʷ eː t ɪ s
mānsuētium	m ãː sʷ eː t i ũː
mānsuētē	m ãː s u eː t eː
mānsuētē	m ãː s u eː t ɛ
mānsuētēs	m ãː sʷ eː t eː s
mānsuētī	m ãː sʷ eː t iː
mānsuētīs	m ãː sʷ eː t iː s
mānsuī	m ãː sʷ iː
mānus	m aː n ʊ s
mānā	m aː n aː
mānēs	m aː n eː s
mānī	m aː n iː
māoriānus	m aː ɔ r i aː n ʊ s
mārsicus	m aː r s ɪ k ʊ s
mārtius	m aː r t i ʊ s
mārtiālis	m aː r t i aː l ɪ s
māscarpiōnem	m aː s k a r p i oː n ẽː
māteriārius	m aː t ɛ r i aː r i ʊ s
māteriēs	m aː t ɛ r i eː s
māternitātem	m aː t ɛ r n ɪ t aː t ẽː
māternitātis	m aː t ɛ r n ɪ t aː t ɪ s
mātrimōnia	m aː t r ɪ m oː n i a
mātrimōniī	m aː t r ɪ m oː n i iː
mātrimōniīs	m aː t r ɪ m oː n i iː s
mātrimōniō	m aː t r ɪ m oː n i oː
mātrimōniōrum	m aː t r ɪ m oː n i oː r ũː
mātrimōnī	m aː t r ɪ m oː n iː
mātrī	m aː t r iː
mātrī̆ma	m aː t r iː m a
mātrī̆ma	m aː t r ɪ m a
mātrī̆mae	m aː t r iː m a e̯
mātrī̆mae	m aː t r ɪ m a e̯
mātrī̆mam	m aː t r iː m ãː
mātrī̆mam	m aː t r ɪ m ãː
mātrī̆me	m aː t r iː m ɛ
mātrī̆me	m aː t r ɪ m ɛ
mātrī̆mum	m aː t r iː m ũː
mātrī̆mum	m aː t r ɪ m ũː
mātrī̆mā	m aː t r iː m aː
mātrī̆mā	m aː t r ɪ m aː
mātrī̆mārum	m aː t r iː m aː r ũː
mātrī̆mārum	m aː t r ɪ m aː r ũː
mātrī̆mās	m aː t r iː m aː s
mātrī̆mās	m aː t r ɪ m aː s
mātrī̆mī	m aː t r iː m iː
mātrī̆mī	m aː t r ɪ m iː
mātrī̆mīs	m aː t r iː m iː s
mātrī̆mīs	m aː t r ɪ m iː s
mātrī̆mō	m aː t r iː m oː
mātrī̆mō	m aː t r ɪ m oː
mātrī̆mōrum	m aː t r iː m oː r ũː
mātrī̆mōrum	m aː t r ɪ m oː r ũː
mātrī̆mōs	m aː t r iː m oː s
mātrī̆mōs	m aː t r ɪ m oː s
mātrōnāle	m aː t r oː n aː ɫ ɛ
mātrōnālī	m aː t r oː n aː l iː
mātūre	m aː t uː r ɛ
mātūrātis	m aː t uː r aː t ɪ s
mātūrātīs	m aː t uː r aː t iː s
mātūrāverimus	m aː t uː r aː w ɛ r iː m ʊ s
mātūrāverimus	m aː t uː r aː w ɛ r ɪ m ʊ s
mātūrāveris	m aː t uː r aː w ɛ r iː s
mātūrāveris	m aː t uː r aː w ɛ r ɪ s
mātūrāveritis	m aː t uː r aː w ɛ r iː t ɪ s
mātūrāveritis	m aː t uː r aː w ɛ r ɪ t ɪ s
mātūrē	m aː t uː r eː
mātūtīna	m aː t uː t iː n a
mātūtīna	m aː t uː t iː n aː
mātūtīnās	m aː t uː t iː n aː s
mātūtīnō	m aː t uː t iː n oː
mātūtīnōs	m aː t uː t iː n oː s
mēchanicae	m ɛ kʰ a n ɪ k a e̯
mēd	m eː d
mēiam	m eː j ãː
mēiant	m eː j a n t
mēiantur	m eː j a n t ʊ r
mēiar	m eː j a r
mēiat	m eː j a t
mēie	m eː j ɛ
mēienda	m eː j ɛ n d a
mēienda	m eː j ɛ n d aː
mēiendae	m eː j ɛ n d a e̯
mēiendam	m eː j ɛ n d ãː
mēiende	m eː j ɛ n d ɛ
mēiendum	m eː j ɛ n d ũː
mēiendārum	m eː j ɛ n d aː r ũː
mēiendās	m eː j ɛ n d aː s
mēiendī	m eː j ɛ n d iː
mēiendīs	m eː j ɛ n d iː s
mēiendō	m eː j ɛ n d oː
mēiendōrum	m eː j ɛ n d oː r ũː
mēiendōs	m eː j ɛ n d oː s
mēient	m eː j ɛ n t
mēiente	m eː j ɛ n t ɛ
mēientem	m eː j ɛ n t ẽː
mēientia	m eː j ɛ n t i a
mēientibus	m eː j ɛ n t ɪ b ʊ s
mēientis	m eː j ɛ n t iː s
mēientis	m eː j ɛ n t ɪ s
mēientium	m eː j ɛ n t i ũː
mēientur	m eː j ɛ n t ʊ r
mēientēs	m eː j ɛ n t eː s
mēientī	m eː j ɛ n t iː
mēieram	m eː j ɛ r ãː
mēierant	m eː j ɛ r a n t
mēierat	m eː j ɛ r a t
mēierem	m eː j ɛ r ẽː
mēierent	m eː j ɛ r ɛ n t
mēierentur	m eː j ɛ r ɛ n t ʊ r
mēierer	m eː j ɛ r ɛ r
mēieret	m eː j ɛ r ɛ t
mēierim	m eː j ɛ r ĩː
mēierimus	m eː j ɛ r iː m ʊ s
mēierimus	m eː j ɛ r ɪ m ʊ s
mēierint	m eː j ɛ r ɪ n t
mēieris	m eː j eː r ɪ s
mēieris	m eː j ɛ r iː s
mēieris	m eː j ɛ r ɪ s
mēierit	m eː j ɛ r ɪ t
mēieritis	m eː j ɛ r iː t ɪ s
mēieritis	m eː j ɛ r ɪ t ɪ s
mēierāmus	m eː j ɛ r aː m ʊ s
mēierās	m eː j ɛ r aː s
mēierātis	m eː j ɛ r aː t ɪ s
mēierēminī	m eː j ɛ r eː m ɪ n iː
mēierēmur	m eː j ɛ r eː m ʊ r
mēierēmus	m eː j ɛ r eː m ʊ s
mēierēre	m eː j ɛ r eː r ɛ
mēierēris	m eː j ɛ r eː r ɪ s
mēierēs	m eː j ɛ r eː s
mēierētis	m eː j ɛ r eː t ɪ s
mēierētur	m eː j ɛ r eː t ʊ r
mēierō	m eː j ɛ r oː
mēiet	m eː j ɛ t
mēiiminī	m eː j ɪ m ɪ n iː
mēiimur	m eː j ɪ m ʊ r
mēiimus	m eː j ɪ m ʊ s
mēiis	m eː j ɪ s
mēiisse	m eː j ɪ s s ɛ
mēiissem	m eː j ɪ s s ẽː
mēiissent	m eː j ɪ s s ɛ n t
mēiisset	m eː j ɪ s s ɛ t
mēiissēmus	m eː j ɪ s s eː m ʊ s
mēiissēs	m eː j ɪ s s eː s
mēiissētis	m eː j ɪ s s eː t ɪ s
mēiistis	m eː j ɪ s t ɪ s
mēiistī	m eː j ɪ s t iː
mēiit	m eː j ɪ t
mēiite	m eː j ɪ t ɛ
mēiitis	m eː j ɪ t ɪ s
mēiitor	m eː j ɪ t ɔ r
mēiitur	m eː j ɪ t ʊ r
mēiitō	m eː j ɪ t oː
mēiitōte	m eː j ɪ t oː t ɛ
mēior	m eː j ɔ r
mēiunt	m eː j ʊ n t
mēiuntor	m eː j ʊ n t ɔ r
mēiuntur	m eː j ʊ n t ʊ r
mēiuntō	m eː j ʊ n t oː
mēiāminī	m eː j aː m ɪ n iː
mēiāmur	m eː j aː m ʊ r
mēiāmus	m eː j aː m ʊ s
mēiāre	m eː j aː r ɛ
mēiāris	m eː j aː r ɪ s
mēiās	m eː j aː s
mēiātis	m eː j aː t ɪ s
mēiātur	m eː j aː t ʊ r
mēiēbam	m eː j eː b ãː
mēiēbant	m eː j eː b a n t
mēiēbantur	m eː j eː b a n t ʊ r
mēiēbar	m eː j eː b a r
mēiēbat	m eː j eː b a t
mēiēbāminī	m eː j eː b aː m ɪ n iː
mēiēbāmur	m eː j eː b aː m ʊ r
mēiēbāmus	m eː j eː b aː m ʊ s
mēiēbāre	m eː j eː b aː r ɛ
mēiēbāris	m eː j eː b aː r ɪ s
mēiēbās	m eː j eː b aː s
mēiēbātis	m eː j eː b aː t ɪ s
mēiēbātur	m eː j eː b aː t ʊ r
mēiēminī	m eː j eː m ɪ n iː
mēiēmur	m eː j eː m ʊ r
mēiēmus	m eː j eː m ʊ s
mēiēre	m eː j eː r ɛ
mēiēre	m eː j ɛ r ɛ
mēiērunt	m eː j eː r ʊ n t
mēiēs	m eː j eː s
mēiētis	m eː j eː t ɪ s
mēiētur	m eː j eː t ʊ r
mēiī	m eː j iː
mēlem	m eː ɫ ẽː
mēlis	m eː l ɪ s
mēlōne	m eː ɫ oː n ɛ
mēlōnī	m eː ɫ oː n iː
mēnia	m eː n i a
mēniī	m eː n i iː
mēniīs	m eː n i iː s
mēniō	m eː n i oː
mēniōrum	m eː n i oː r ũː
mēnogenīa	m eː n ɔ ɡ ɛ n iː a
mēnogenīī	m eː n ɔ ɡ ɛ n iː iː
mēnogenīīs	m eː n ɔ ɡ ɛ n iː iː s
mēnogenīō	m eː n ɔ ɡ ɛ n iː oː
mēnogenīōrum	m eː n ɔ ɡ ɛ n iː oː r ũː
mēnsa	m ẽː s a
mēnse	m ẽː s ɛ
mēnsem	m ẽː s ẽː
mēnsibus	m ẽː s ɪ b ʊ s
mēnsis	m ẽː s ɪ s
mēnsium	m ẽː s i ũː
mēnstruum	m ẽː s t r u ũː
mēnstruāta	m ẽː s t r u aː t a
mēnstruāta	m ẽː s t r u aː t aː
mēnstruō	m ẽː s t r u oː
mēnsus	m eː t i ɔ r
mēnsālis	m ẽː s aː l ɪ s
mēnsārī	m ẽː s aː r iː
mēnsēs	m ẽː s eː s
mēnsī	m ẽː s iː
mēnsīs	m ẽː s ɪ s
mēnsō	m ẽː s oː
mēnsūra	m ẽː s uː r a
mēnsūrā	m ẽː s uː r a
mēnsūrātor	m ẽː s uː r aː t ɔ r
mēstus	m eː s t ʊ s
mētam	m eː t ãː
mēter	m eː t ɛ r
mētor	m eː t ɔ r
mētropolītāna	m eː t r ɔ p ɔ l iː t aː n a
mētropolītāna	m eː t r ɔ p ɔ l iː t aː n aː
mētās	m eː t aː s
mēum	m eː ũː
mē̆xicāna	m eː k s ɪ k aː n a
mē̆xicāna	m eː k s ɪ k aː n aː
mē̆xicāna	m ɛ k s ɪ k aː n a
mē̆xicāna	m ɛ k s ɪ k aː n aː
mē̆xicānās	m eː k s ɪ k aː n aː s
mē̆xicānās	m ɛ k s ɪ k aː n aː s
mē̆xicānō	m eː k s ɪ k aː n oː
mē̆xicānō	m ɛ k s ɪ k aː n oː
mē̆xicānōs	m eː k s ɪ k aː n oː s
mē̆xicānōs	m ɛ k s ɪ k aː n oː s
mī	m iː
mīcta	m iː k t a
mīcta	m iː k t aː
mīctae	m iː k t a e̯
mīctam	m iː k t ãː
mīcte	m iː k t ɛ
mīctum	m iː k t ũː
mīctārum	m iː k t aː r ũː
mīctās	m iː k t aː s
mīctī	m iː k t iː
mīctīs	m iː k t iː s
mīctō	m iː k t oː
mīctōrum	m iː k t oː r ũː
mīctōs	m iː k t oː s
mīctū	m iː k t uː
mīctūra	m iː k t uː r a
mīctūra	m iː k t uː r aː
mīctūrae	m iː k t uː r a e̯
mīctūram	m iː k t uː r ãː
mīctūre	m iː k t uː r ɛ
mīctūrum	m iː k t uː r ũː
mīctūrārum	m iː k t uː r aː r ũː
mīctūrās	m iː k t uː r aː s
mīctūrī	m iː k t uː r iː
mīctūrīs	m iː k t uː r iː s
mīctūrō	m iː k t uː r oː
mīctūrōrum	m iː k t uː r oː r ũː
mīctūrōs	m iː k t uː r oː s
mīlitiae	m iː l ɪ t i a e̯
mīlitiam	m iː l ɪ t i ãː
mīlitāriē	m iː l ɪ t aː r i eː
mīlitātis	m iː l ɪ t aː t ɪ s
mīlitātīs	m iː l ɪ t aː t iː s
mīlitāverimus	m iː l ɪ t aː w ɛ r iː m ʊ s
mīlitāverimus	m iː l ɪ t aː w ɛ r ɪ m ʊ s
mīlitāveris	m iː l ɪ t aː w ɛ r iː s
mīlitāveris	m iː l ɪ t aː w ɛ r ɪ s
mīlitāveritis	m iː l ɪ t aː w ɛ r iː t ɪ s
mīlitāveritis	m iː l ɪ t aː w ɛ r ɪ t ɪ s
mīlitēs	m iː l ɪ t eː s
mīlium	m iː l i ũː
mīlle	m iː l l ɛ
mīllifōrmis	m iː l l ɪ f oː r m ɪ s
mīluus	m iː ɫ u ʊ s
mīluīnus	m iː ɫ u iː n ʊ s
mīma	m iː m a
mīmīs	m iː m iː s
mīna	m iː n a
mīncta	m iː ŋ k t a
mīncta	m iː ŋ k t aː
mīnctae	m iː ŋ k t a e̯
mīnctam	m iː ŋ k t ãː
mīncte	m iː ŋ k t ɛ
mīnctum	m iː ŋ k t ũː
mīnctārum	m iː ŋ k t aː r ũː
mīnctās	m iː ŋ k t aː s
mīnctī	m iː ŋ k t iː
mīnctīs	m iː ŋ k t iː s
mīnctō	m iː ŋ k t oː
mīnctōrum	m iː ŋ k t oː r ũː
mīnctōs	m iː ŋ k t oː s
mīnctū	m iː ŋ k t uː
mīnctūra	m iː ŋ k t uː r a
mīnctūra	m iː ŋ k t uː r aː
mīnctūrae	m iː ŋ k t uː r a e̯
mīnctūram	m iː ŋ k t uː r ãː
mīnctūre	m iː ŋ k t uː r ɛ
mīnctūrum	m iː ŋ k t uː r ũː
mīnctūrārum	m iː ŋ k t uː r aː r ũː
mīnctūrās	m iː ŋ k t uː r aː s
mīnctūrī	m iː ŋ k t uː r iː
mīnctūrīs	m iː ŋ k t uː r iː s
mīnctūrō	m iː ŋ k t uː r oː
mīnctūrōrum	m iː ŋ k t uː r oː r ũː
