Ѓ	ɟ ə
криминализирање	k r i m i n a l i z i ɾ a ɲ ɛ
криминалистика	k r i m i n a l i s t i k a
криминалистички	k r i m i n a l i s t i t͡ʃ k i
криминалитет	k r i m i n a l i t ɛ t
криминалка	k r i m i n a ɫ k a
криминално	k r i m i n a ɫ n ɔ
криминалци	k r i m i n a ɫ t͡s i
криминолог	k r i m i n ɔ ɫ ɔ k
криминологија	k r i m i n ɔ ɫ ɔ ɡ i j a
криминолошки	k r i m i n ɔ ɫ ɔ ʃ k i
кримски	k r i m s k i
кримтехника	k r i m t ɛ x n i k a
крин	k r i n
кринов	k r i n ɔ f
крипта	k r i p t a
криптира	k r i p t i ɾ a
криптиран	k r i p t i ɾ a n
криптирање	k r i p t i ɾ a ɲ ɛ
криптовалута	k r i p t ɔ v a ɫ u t a
криптограф	k r i p t ɔ ɡ r a f
криптографија	k r i p t ɔ ɡ r a f i j a
криптографски	k r i p t ɔ ɡ r a f s k i
криптолог	k r i p t ɔ ɫ ɔ k
криптологија	k r i p t ɔ ɫ ɔ ɡ i j a
криптолошки	k r i p t ɔ ɫ ɔ ʃ k i
криптон	k r i p t ɔ n
криптонит	k r i p t ɔ n i t
кристал	k r i s t a ɫ
кристален	k r i s t a l ɛ n
кристализација	k r i s t a l i z a t͡s i j a
кристализира	k r i s t a l i z i ɾ a
кристализиран	k r i s t a l i z i ɾ a n
кристализирање	k r i s t a l i z i ɾ a ɲ ɛ
кристалче	k r i s t a ɫ t͡ʃ ɛ
критериум	k r i t ɛ ɾ i j u m
критериуми	k r i t ɛ r i j u m i
критериуми	k r i t ɛ ɾ i j u m i
критика	k r i t i k a
критикува	k r i t i k u v a
критикувам	k r i t i k u v a m
критикуван	k r i t i k u v a n
критикување	k r i t i k u v a ɲ ɛ
критичар	k r i t i t͡ʃ a r
критичарски	k r i t i t͡ʃ a r s k i
критичен	k r i t i t͡ʃ ɛ n
критично	k r i t i t͡ʃ n ɔ
критичност	k r i t i t͡ʃ n ɔ s t
критски	k r i t s k i
криумчар	k r i j u m t͡ʃ a r
криумчарење	k r i j u m t͡ʃ a ɾ ɛ ɲ ɛ
кришум	k r i ʃ u m
криља	k r i ʎ a
крка	k r̩ k a
кркан	k r̩ k a n
кркање	k r̩ k a ɲ ɛ
кркнат	k r̩ k n a t
кркне	k r̩ k n ɛ
кркнува	k r̩ k n u v a
кркнуван	k r̩ k n u v a n
кркнување	k r̩ k n u v a ɲ ɛ
кркорење	k r̩ k ɔ ɾ ɛ ɲ ɛ
кркори	k r̩ k ɔ ɾ i
кркушка	k r̩ k u ʃ k a
крлеж	k r̩ l ɛ ʃ
крлежи	k r̩ l ɛ ʒ i
крлук	k r̩ ɫ u k
крлуков	k r̩ ɫ u k ɔ f
крлукон	k r̩ ɫ u k ɔ n
крлукот	k r̩ ɫ u k ɔ t
крлуку	k r̩ ɫ u k u
крлуци	k r̩ ɫ u t͡s i
крлуциве	k r̩ ɫ u t͡s i v ɛ
крлуцине	k r̩ ɫ u t͡s i n ɛ
крлуците	k r̩ ɫ u t͡s i t ɛ
крлушка	k r̩ ɫ u ʃ k a
крлушки	k r̩ ɫ u ʃ k i
крма	k r̩ m a
крмак	k r̩ m a k
крмар	k r̩ m a r
крмари	k r̩ m a ɾ i
крнтија	k r̩ n t i j a
кроасан	k r ɔ a s a n
кров	k r ɔ f
кровен	k r ɔ v ɛ n
кровови	k r ɔ v ɔ v i
кровче	k r ɔ f t͡ʃ ɛ
кроен	k r ɔ ɛ n
кроејќи	k r ɔ ɛ j c i
кроење	k r ɔ ɛ ɲ ɛ
крои	k r ɔ i
крокодил	k r ɔ k ɔ d i ɫ
крокодилски	k r ɔ k ɔ d i ɫ s k i
крокодилче	k r ɔ k ɔ d i ɫ t͡ʃ ɛ
кромид	k r ɔ m i t
кромидарник	k r ɔ m i d a r n i k
кромидиште	k r ɔ m i d i ʃ t ɛ
кромидов	k r ɔ m i d ɔ f
кромитче	k r ɔ m i t t͡ʃ ɛ
кромпир	k r ɔ m p i r
кромпири	k r ɔ m p i ɾ i
кротен	k r ɔ t ɛ n
кротење	k r ɔ t ɛ ɲ ɛ
кроти	k r ɔ t i
кротко	k r ɔ t k ɔ
кроткост	k r ɔ t k ɔ s t
кроток	k r ɔ t ɔ k
крофна	k r ɔ f n a
крофне	k r ɔ f n ɛ
крофни	k r ɔ f n i
крофниче	k r ɔ f n i t͡ʃ ɛ
крофничка	k r ɔ f n i t͡ʃ k a
крофнички	k r ɔ f n i t͡ʃ k i
кроце	k r ɔ t͡s ɛ
крошна	k r ɔ ʃ n a
крошни	k r ɔ ʃ n i
крошничка	k r ɔ ʃ n i t͡ʃ k a
крој	k r ɔ j
кројач	k r ɔ j a t͡ʃ
кројачи	k r ɔ j a t͡ʃ i
кројачка	k r ɔ j a t͡ʃ k a
кројачки	k r ɔ j a t͡ʃ k i
кројка	k r ɔ j k a
крпа	k r̩ p a
крпеж	k r̩ p ɛ ʃ
крпен	k r̩ p ɛ n
крпеница	k r̩ p ɛ n i t͡s a
крпење	k r̩ p ɛ ɲ ɛ
крпи	k r̩ p i
крпичка	k r̩ p i t͡ʃ k a
крпиште	k r̩ p i ʃ t ɛ
крпче	k r̩ p t͡ʃ ɛ
крсмет	k r̩ s m ɛ t
крсметот	k r̩ s m ɛ t ɔ t
крст	k r̩ s t
крстен	k r̩ s t ɛ n
крстење	k r̩ s t ɛ ɲ ɛ
крсти	k r̩ s t i
крстител	k r̩ s t i t ɛ ɫ
крстови	k r̩ s t ɔ v i
крстозбор	k r̩ s t ɔ z b ɔ r
крстозбори	k r̩ s t ɔ z b ɔ ɾ i
крстоносен	k r̩ s t ɔ n ɔ s ɛ n
крстоносец	k r̩ s t ɔ n ɔ s ɛ t͡s
крстоносна	k r̩ s t ɔ n ɔ s n a
крстопат	k r̩ s t ɔ p a t
крстословка	k r̩ s t ɔ s ɫ ɔ f k a
крстосница	k r̩ s t ɔ s n i t͡s a
крстосници	k r̩ s t ɔ s n i t͡s i
крт	k r̩ t
кртечина	k r̩ t ɛ t͡ʃ i n a
кртина	k r̩ t i n a
кртица	k r̩ t i t͡s a
кртови	k r̩ t ɔ v i
кртче	k r̩ t t͡ʃ ɛ
крувче	k r u f t͡ʃ ɛ
круг	k r u k
круга	k r u ɡ a
кругови	k r u ɡ ɔ v i
кругче	k r u k t͡ʃ ɛ
кружен	k r u ʒ ɛ n
кружење	k r u ʒ ɛ ɲ ɛ
кружи	k r u ʒ i
кружница	k r u ʒ n i t͡s a
кружници	k r u ʒ n i t͡s i
кружно	k r u ʒ n ɔ
крукче	k r u k t͡ʃ ɛ
круна	k r u n a
крунест	k r u n ɛ s t
круни	k r u n i
круниса	k r u n i s a
крунисан	k r u n i s a n
крунисува	k r u n i s u v a
крунисуван	k r u n i s u v a n
крунисување	k r u n i s u v a ɲ ɛ
круничка	k r u n i t͡ʃ k a
крупен	k r u p ɛ n
крупник	k r u p n i k
крупно	k r u p n ɔ
крут	k r u t
круто	k r u t ɔ
крутост	k r u t ɔ s t
круша	k r u ʃ a
крушевски	k r u ʃ ɛ f s k i
крушевско	k r u ʃ ɛ f s k ɔ
крушевчанец	k r u ʃ ɛ f t͡ʃ a n ɛ t͡s
крушевчанка	k r u ʃ ɛ f t͡ʃ a ŋ k a
крушест	k r u ʃ ɛ s t
круши	k r u ʃ i
крушка	k r u ʃ k a
крушки	k r u ʃ k i
крушов	k r u ʃ ɔ f
крушорадски	k r u ʃ ɔ ɾ a t s k i
крц	k r̩ t͡s
крцка	k r̩ t͡s k a
крцкав	k r̩ t͡s k a f
крцкаво	k r̩ t͡s k a v ɔ
крцкавост	k r̩ t͡s k a v ɔ s t
крцкање	k r̩ t͡s k a j c i
крцне	k r̩ t͡s n ɛ
крцнува	k r̩ t͡s n u v a
крцнување	k r̩ t͡s n u v a ɲ ɛ
крчен	k r̩ t͡ʃ ɛ n
крчење	k r̩ t͡ʃ ɛ ɲ ɛ
крчи	k r̩ t͡ʃ i
крчка	k r̩ t͡ʃ k a
крчкање	k r̩ t͡ʃ k a ɲ ɛ
крчма	k r̩ t͡ʃ m a
крчмар	k r̩ t͡ʃ m a r
крчмари	k r̩ t͡ʃ m a ɾ i
крчмарка	k r̩ t͡ʃ m a r k a
крчмарски	k r̩ t͡ʃ m a r s k i
крчмиче	k r̩ t͡ʃ m i t͡ʃ ɛ
крчмичка	k r̩ t͡ʃ m i t͡ʃ k a
крш	k r̩ ʃ
кршен	k r̩ ʃ ɛ n
кршење	k r̩ ʃ ɛ ɲ ɛ
крши	k r̩ ʃ i
кршлив	k r̩ ʃ l i f
кршливо	k r̩ ʃ l i v ɔ
кршливост	k r̩ ʃ l i v ɔ s t
крштален	k r̩ ʃ t a l ɛ n
кршталник	k r̩ ʃ t a ɫ n i k
крштева	k r̩ ʃ t ɛ v a
крштеван	k r̩ ʃ t ɛ v a n
крштевање	k r̩ ʃ t ɛ v a ɲ ɛ
крштевка	k r̩ ʃ t ɛ f k a
крштевки	k r̩ ʃ t ɛ f k i
крштелен	k r̩ ʃ t ɛ l ɛ n
крштеница	k r̩ ʃ t ɛ n i t͡s a
крџалии	k r̩ d͡ʒ a l i i
крџалија	k r̩ d͡ʒ a l i j a
ксенон	k s ɛ n ɔ n
ксенофоб	k s ɛ n ɔ f ɔ p
ксенофоби	k s ɛ n ɔ f ɔ b i
ксенофобичен	k s ɛ n ɔ f ɔ b i t͡ʃ ɛ n
ксенофобично	k s ɛ n ɔ f ɔ b i t͡ʃ n ɔ
ксенофобија	k s ɛ n ɔ f ɔ b i j a
кси	k s i
ксилем	k s i l ɛ m
ксилофон	k s i ɫ ɔ f ɔ n
ктитор	k t i t ɔ r
ктиторски	k t i t ɔ r s k i
куалалумпурец	k u a ɫ a ɫ u m p u ɾ ɛ t͡s
куалалумпурка	k u a ɫ a ɫ u m p u r k a
куалалумпурски	k u a ɫ a ɫ u m p u r s k i
куб	k u p
кубански	k u b a n s k i
кубатура	k u b a t u ɾ a
кубе	k u b ɛ
кубен	k u b ɛ n
кубест	k u b ɛ s t
кубење	k u b ɛ ɲ ɛ
кубизам	k u b i z a m
кубик	k u b i k
кубира	k u b i ɾ a
кубиран	k u b i ɾ a
кубирање	k u b i ɾ a ɲ ɛ
кубист	k u b i s t
кубистички	k u b i s t i t͡ʃ k i
кубистка	k u b i s t k a
кубиња	k u b i ɲ a
кубур	k u b u r
кубури	k u b u ɾ i
кубуришта	k u b u ɾ i ʃ t a
кубуриште	k u b u ɾ i ʃ t ɛ
кувар	k u v a r
куварка	k u v a r k a
кувајтски	k u v a j t s k i
кугла	k u ɡ ɫ a
куглана	k u ɡ ɫ a n a
куглар	k u ɡ ɫ a r
кугларница	k u ɡ ɫ a r n i t͡s a
куглање	k u ɡ ɫ a ɲ ɛ
кугли	k u ɡ l i
кугличка	k u ɡ l i t͡ʃ k a
куден	k u d ɛ n
кудење	k u d ɛ ɲ ɛ
куди	k u d i
кузнај	k u z n a j
кузум	k u z u m
кузња	k u z ɲ a
кузњи	k u z ɲ i
кука	k u k a
кукавица	k u k a v i t͡s a
кукавици	k u k a v i t͡s i
кукавички	k u k a v i t͡ʃ k i
кукавичлук	k u k a v i t͡ʃ ɫ u k
кукање	k u k a ɲ ɛ
кукест	k u k ɛ s t
куки	k u k i
кукиче	k u k i t͡ʃ ɛ
кукичка	k u k i t͡ʃ k a
кукла	k u k ɫ a
куклар	k u k ɫ a r
куклари	k u k ɫ a ɾ i
кукларски	k u k ɫ a r s k i
кукларство	k u k ɫ a r s t v ɔ
кукле	k u k l ɛ
куклен	k u k l ɛ n
кукличе	k u k l i t͡ʃ ɛ
кукличка	k u k l i t͡ʃ k a
куко	k u k ɔ
кукумјавка	k u k u m j a f k a
кукумјавки	k u k u m j a f k i
кукумјавчење	k u k u m j a f t͡ʃ ɛ ɲ ɛ
кукумјавчи	k u k u m j a f t͡ʃ i
кукурек	k u k u ɾ ɛ k
кукуреци	k u k u ɾ ɛ t͡s i
кукурика	k u k u r i k a
кукурикање	k u k u r i k a ɲ ɛ
кукурику	k u k u r i k u
кукушанец	k u k u ʃ a n ɛ t͡s
кукушани	k u k u ʃ a n i
кукушанка	k u k u ʃ a ŋ k a
кукушанки	k u k u ʃ a ŋ k i
кукушки	k u k u ʃ k i
кукушко	k u k u ʃ k ɔ
кула	k u ɫ a
кулен	k u l ɛ n
кулинарен	k u l i n a ɾ ɛ n
кулинарно	k u l i n a r n ɔ
кулминационен	k u ɫ m i n a t͡s i ɔ n ɛ n
кулминациски	k u ɫ m i n a t͡s i s k i
кулминација	k u ɫ m i n a t͡s i j a
кулминира	k u ɫ m i n i ɾ a
кулминирање	k u ɫ m i n i ɾ a ɲ ɛ
култ	k u ɫ t
култивација	k u ɫ t i v a t͡s i j a
култивира	k u ɫ t i v i ɾ a
култивиран	k u ɫ t i v i ɾ a n
култивирање	k u ɫ t i v i ɾ a ɲ ɛ
култура	k u ɫ t u ɾ a
културен	k u ɫ t u ɾ ɛ n
културно	k u ɫ t u r n ɔ
кум	k u m
кума	k u m a
кумановец	k u m a n ɔ v ɛ t͡s
кумановка	k u m a n ɔ f k a
кумановски	k u m a n ɔ f s k i
кумановско	k u m a n ɔ f s k ɔ
кумановци	k u m a n ɔ f t͡s i
кумановчанец	k u m a n ɔ f t͡ʃ a n ɛ t͡s
кумановчанка	k u m a n ɔ f t͡ʃ a ŋ k a
кумашин	k u m a ʃ i n
куме	k u m ɛ
куми	k u m i
кумин	k u m i n
кумо	k u m ɔ
кумов	k u m ɔ f
кумова	k u m ɔ v a
кумови	k u m ɔ v i
кумовски	k u m ɔ f s k i
кумон	k u m ɔ n
кумот	k u m ɔ t
кумплуг	k u m p ɫ u k
кумство	k u m s t v ɔ
кумува	k u m u v a
кумување	k u m u v a ɲ ɛ
кумулативен	k u m u ɫ a t i v ɛ n
кумулативно	k u m u ɫ a t i v n ɔ
кумулација	k u m u ɫ a t͡s i j a
кумулонимбус	k u m u ɫ ɔ n i m b u s
кумулонимбусен	k u m u ɫ ɔ n i m b u s ɛ n
кумулус	k u m u ɫ u s
кумулусен	k u m u ɫ u s ɛ n
кумче	k u m t͡ʃ ɛ
куна	k u n a
кундак	k u n d a k
кунилингус	k u n i l i ŋ ɡ u s
куп	k u p
купатила	k u p a t i ɫ a
купатило	k u p a t i ɫ ɔ
купе	k u p ɛ
купеа	k u p ɛ a
купен	k u p ɛ n
купечки	k u p ɛ t͡ʃ k i
купи	k u p i
купишта	k u p i ʃ t a
купиште	k u p i ʃ t ɛ
куплераи	k u p l ɛ r a i
куплерај	k u p l ɛ r a j
куплет	k u p l ɛ t
куплунг	k u p ɫ u ŋ k
куповен	k u p ɔ v ɛ n
купови	k u p ɔ v i
купола	k u p ɔ ɫ a
купон	k u p ɔ n
купонски	k u p ɔ n s k i
купонче	k u p ɔ n t͡ʃ ɛ
купопродажба	k u p ɔ p r ɔ d a ʒ b a
купува	k u p u v a
купувач	k u p u v a t͡ʃ
купувачи	k u p u v a t͡ʃ i
купувачка	k u p u v a t͡ʃ k a
купувачки	k u p u v a t͡ʃ k i
купување	k u p u v a ɲ ɛ
купуе	k u p u ɛ
купусарен	k u p u s a ɾ ɛ n
купусарење	k u p u s a ɾ ɛ ɲ ɛ
купусари	k u p u s a ɾ i
купче	k u p t͡ʃ ɛ
кур	k u r
курански	k u ɾ a n s k i
куратор	k u r a t ɔ r
курбан	k u r b a n
курбани	k u r b a n i
курбла	k u r b ɫ a
курбли	k u r b l i
курва	k u r v a
курварство	k u r v a r s t v ɔ
курвање	k u r v a ɲ ɛ
курветина	k u r v ɛ t i n a
курветини	k u r v ɛ t i n i
курви	k u r v i
курвин	k u r v i n
курвински	k u r v i n s k i
курвинство	k u r v i n s t v ɔ
курвиче	k u r v i t͡ʃ ɛ
курвичка	k u r v i t͡ʃ k a
курвишта	k u r v i ʃ t a
курвиште	k u r v i ʃ t ɛ
курдиса	k u r d i s a
курдисан	k u r d i s a n
куре	k u ɾ ɛ
курикулум	k u r i k u ɫ u m
куриозитет	k u ɾ i j ɔ z i t ɛ t
курир	k u r i r
курир	k u ɾ i r
курирски	k u ɾ i r s k i
курија	k u ɾ i j a
куркума	k u r k u m a
курна	k u r n a
курни	k u r n i
куров	k u ɾ ɔ f
курови	k u ɾ ɔ v i
курон	k u ɾ ɔ n
куропецање	k u ɾ ɔ p ɛ t͡s a ɲ ɛ
куропушач	k u ɾ ɔ p u ʃ a t͡ʃ
курот	k u ɾ ɔ t
курс	k u r s
курсен	k u r s ɛ n
курсист	k u r s i s t
курсистка	k u r s i s t k a
курташак	k u r t a ʃ a k
куртезана	k u r t ɛ z a n a
куртизана	k u r t i z a n a
куртоазен	k u r t ɔ a z ɛ n
куртоазија	k u r t ɔ a z i j a
куртоазно	k u r t ɔ a z n ɔ
куртон	k u r t ɔ n
куртулиса	k u r t u l i s a
куртулисан	k u r t u l i s a n
курчен	k u r t͡ʃ ɛ n
курчење	k u r t͡ʃ ɛ ɲ ɛ
курчи	k u r t͡ʃ i
куршлус	k u r ʃ ɫ u s
куршум	k u r ʃ u m
куршумен	k u r ʃ u m ɛ n
куршуми	k u r ʃ u m i
куршумче	k u r ʃ u m t͡ʃ ɛ
кус	k u s
куси	k u s i
кусичок	k u s i t͡ʃ ɔ k
кускуле	k u s k u l ɛ
кускулест	k u s k u l ɛ s t
кусо	k u s ɔ
кусогледост	k u s ɔ ɡ l ɛ d ɔ s t
кусок	k u s ɔ k
кусур	k u s u r
кутар	k u t a r
кутер	k u t ɛ r
кутери	k u t ɛ ɾ i
кутивче	k u t i f t͡ʃ ɛ
кутии	k u t i i
кутииште	k u t i i ʃ t ɛ
кутија	k u t i j a
кутлача	k u t ɫ a t͡ʃ a
кутнат	k u t n a t
кутне	k u t n ɛ
кутнува	k u t n u v a
кутнуван	k u t n u v a n
кутнување	k u t n u v a ɲ ɛ
кутре	k u t r ɛ
кутренце	k u t r ɛ n t͡s ɛ
кутриња	k u t r i ɲ a
куфер	k u f ɛ r
куфери	k u f ɛ ɾ i
куфериште	k u f ɛ ɾ i ʃ t ɛ
куферче	k u f ɛ r t͡ʃ ɛ
куц	k u t͡s
куца	k u t͡s a
куцан	k u t͡s a n
куцање	k u t͡s a ɲ ɛ
куцка	k u t͡s k a
куцкајќи	k u t͡s k a j c i
куцкање	k u t͡s k a ɲ ɛ
куцнат	k u t͡s n a t
куцне	k u t͡s n ɛ
куцнува	k u t͡s n u v a
куцнуван	k u t͡s n u v a n
куцнување	k u t͡s n u v a ɲ ɛ
куче	k u t͡ʃ ɛ
кучево	k u t͡ʃ ɛ v ɔ
кучено	k u t͡ʃ ɛ n ɔ
кученца	k u t͡ʃ ɛ n t͡s a
кученце	k u t͡ʃ ɛ n t͡s ɛ
кучето	k u t͡ʃ ɛ t ɔ
кучешки	k u t͡ʃ ɛ ʃ k i
кучиште	k u t͡ʃ i ʃ t ɛ
кучиња	k u t͡ʃ i ɲ a
кучињава	k u t͡ʃ i ɲ a v a
кучињана	k u t͡ʃ i ɲ a n a
кучињата	k u t͡ʃ i ɲ a t a
кучка	k u t͡ʃ k a
кучкар	k u t͡ʃ k a r
кучкари	k u t͡ʃ k a ɾ i
кучкарка	k u t͡ʃ k a r k a
кучкарки	k u t͡ʃ k a r k i
кучкарник	k u t͡ʃ k a r n i k
кучкарници	k u t͡ʃ k a r n i t͡s i
кучки	k u t͡ʃ k i
кучкин	k u t͡ʃ k i n
кучуле	k u t͡ʃ u l ɛ
кушет	k u ʃ ɛ t
кушети	k u ʃ ɛ t i
кујна	k u j n a
кујни	k u j n i
кујниче	k u j n i t͡ʃ ɛ
кујничка	k u j n i t͡ʃ k a
кујнски	k u j n s k i
кујунџии	k u j u n d͡ʒ i i
кујунџија	k u j u n d͡ʒ i j a
куќа	k u c a
куќарка	k u c a r k a
куќен	k u c ɛ n
куќи	k u c i
куќиче	k u c i t͡ʃ ɛ
куќичка	k u c i t͡ʃ k a
куќиште	k u c i ʃ t ɛ
куќна	k u c n a
куќни	k u c n i
куќно	k u c n ɔ
куќо	k u c ɔ
куќуле	k u c u l ɛ
кљакуш	k ʎ a k u ʃ
кљанка	k ʎ a ŋ k a
кљанкач	k ʎ a ŋ k a t͡ʃ
кљанкање	k ʎ a ŋ k a ɲ ɛ
кљафтење	k ʎ a f t ɛ ɲ ɛ
кљукање	k ʎ u k a ɲ ɛ
кљусе	k ʎ u s ɛ
кљусиња	k ʎ u s i ɲ a
кључ	k ʎ u t͡ʃ
к’смет	k ə s m ɛ t
к’сметот	k ə s m ɛ t ɔ t
л	ɫ ə
ла	ɫ a
лабав	ɫ a b a f
лабаво	ɫ a b a v ɔ
лабавост	ɫ a b a v ɔ s t
лабилен	ɫ a b i l ɛ n
лабилно	ɫ a b i ɫ n ɔ
лабилност	ɫ a b i ɫ n ɔ s t
лабијал	ɫ a b i j a ɫ
лаборант	ɫ a b ɔ r a n t
лаборантка	ɫ a b ɔ r a n t k a
лабораториски	ɫ a b ɔ ɾ a t ɔ ɾ i s k i
лабораторија	ɫ a b ɔ ɾ a t ɔ ɾ i j a
лабрадор	ɫ a b r a d ɔ r
лабрадорка	ɫ a b r a d ɔ r k a
лав	ɫ a f
лава	ɫ a v a
лавабо	ɫ a v a b ɔ
лавабоа	ɫ a v a b ɔ a
лавалетски	ɫ a v a l ɛ t s k i
лавалеќанец	ɫ a v a l ɛ c a n ɛ t͡s
лавалеќанка	ɫ a v a l ɛ c a ŋ k a
лаванда	ɫ a v a n d a
лавелјанец	ɫ a v ɛ ʎ a n ɛ t͡s
лавелјанка	ɫ a v ɛ ʎ a ŋ k a
лавелјански	ɫ a v ɛ ʎ a n s k i
лавина	ɫ a v i n a
лавини	ɫ a v i n i
лавиринт	ɫ a v i r i n t
лавиринтски	ɫ a v i r i n t s k i
лавица	ɫ a v i t͡s a
лавици	ɫ a v i t͡s i
лавиште	ɫ a v i ʃ t ɛ
лавне	ɫ a v n ɛ
лавнува	ɫ a v n u v a
лавнување	ɫ a v n u v a ɲ ɛ
лавов	ɫ a v ɔ f
лавови	ɫ a v ɔ v i
лавовски	ɫ a v ɔ f s k i
лавор	ɫ a v ɔ r
лаворов	ɫ a v ɔ ɾ ɔ f
лавој	ɫ a v ɔ j
лавра	ɫ a v r a
лаврак	ɫ a v r a k
лаври	ɫ a v r i
лавроносец	ɫ a v r ɔ n ɔ s ɛ t͡s
лавроносци	ɫ a v r ɔ n ɔ s t͡s i
лаву	ɫ a v u
лавче	ɫ a f t͡ʃ ɛ
лавчиња	ɫ a f t͡ʃ i ɲ a
лаг	ɫ a k
лага	ɫ a ɡ a
лагадинец	ɫ a ɡ a d i n ɛ t͡s
лагадинка	ɫ a ɡ a d i ŋ k a
лагадински	ɫ a ɡ a d i n s k i
лагата	ɫ a ɡ a t a
лагер	ɫ a ɡ ɛ r
лаги	ɫ a ɡ i
лагови	ɫ a ɡ ɔ v i
лагоден	ɫ a ɡ ɔ d ɛ n
лагодно	ɫ a ɡ ɔ d n ɔ
лагот	ɫ a ɡ ɔ t
лад	ɫ a t
ладала	ɫ a d a ɫ a
ладало	ɫ a d a ɫ ɔ
ладен	ɫ a d ɛ n
ладење	ɫ a d ɛ ɲ ɛ
лади	ɫ a d i
ладилен	ɫ a d i l ɛ n
ладилник	ɫ a d i ɫ n i k
ладникав	ɫ a d n i k a f
ладничок	ɫ a d n i t͡ʃ ɔ k
ладно	ɫ a d n ɔ
ладнокрвен	ɫ a d n ɔ k r̩ v ɛ n
ладнокрвно	ɫ a d n ɔ k r̩ v n ɔ
ладнокрвност	ɫ a d n ɔ k r̩ v n ɔ s t
ладовина	ɫ a d ɔ v i n a
ладовинка	ɫ a d ɔ v i ŋ k a
лае	ɫ a ɛ
лаеж	ɫ a ɛ ʃ
лаен	ɫ a ɛ n
лаејќи	ɫ a ɛ j c i
лаење	ɫ a ɛ ɲ ɛ
лажга	ɫ a ʒ ɡ a
лажго	ɫ a ʒ ɡ ɔ
лажговци	ɫ a ʒ ɡ ɔ f t͡s i
лаже	ɫ a ʒ ɛ
лажен	ɫ a ʒ ɛ n
лажење	ɫ a ʒ ɛ ɲ ɛ
лажира	ɫ a ʒ i ɾ a
лажиран	ɫ a ʒ i ɾ a n
лажирање	ɫ a ʒ i ɾ a ɲ ɛ
лажица	ɫ a ʒ i t͡s a
лажици	ɫ a ʒ i t͡s i
лажичарник	ɫ a ʒ i t͡ʃ a r n i k
лажичарници	ɫ a ʒ i t͡ʃ a r n i t͡s i
лажичарниците	ɫ a ʒ i t͡ʃ a r n i t͡s i t ɛ
лажиче	ɫ a ʒ i t͡ʃ ɛ
лажичиште	ɫ a ʒ i t͡ʃ i ʃ t ɛ
лажичка	ɫ a ʒ i t͡ʃ k a
лажлив	ɫ a ʒ l i f
лажливец	ɫ a ʒ l i v ɛ t͡s
