ȁ	â
zašiljiti	z a ʃ ǐː ʎ i t i
zašiljivati	z a ʃ i ʎ ǐː ʋ a t i
zaštićivati	z a ʃ t i t͡ɕ ǐː ʋ a t i
zaštita	z âː ʃ t i t a
zaštititi	z a ʃ t ǐː t i t i
zaštitni	z ǎː ʃ t i t n iː
zaštitnica	z ǎː ʃ t i t n i t͡s a
zaštitnički	z ǎː ʃ t i t n i t͡ʃ k iː
zaštitnički	z ǎː ʃ t i t n i t͡ʃ k i
zaštitnik	z ǎː ʃ t i t n iː k
zaštitništvo	z ǎː ʃ t i t n iː ʃ t ʋ o
zašto	z â ʃ t o
zatajiti	z a t ǎː j i t i
zatajivati	z a t a j ǐː ʋ a t i
zatalasati	z a t a l ǎ s a t i
zatalasavati	z a t a l a s ǎː ʋ a t i
zataškati	z ǎ t a ʃ k a t i
zataškavati	z a t a ʃ k ǎː ʋ a t i
zateći	z ǎ t e t͡ɕ i
zategnuti	z a t ěː ɡ n u t i
zatezati	z a t ěː z a t i
zatiljak	z ǎː t i ʎ a k
zatiljni	z ǎː t iː ʎ n iː
zatim	z ǎ t iː m
zatišje	z ǎː t iː ʃ j e
zato	z ǎ t oː
zatočenica	z a t o t͡ʃ ě n i t͡s a
zatočenik	z a t o t͡ʃ ě n iː k
zatočeništvo	z a t o t͡ʃ e n ǐː ʃ t ʋ o
zatočiti	z a t ǒ t͡ʃ i t i
zatočnik	z ǎː t o t͡ʃ n iː k
zatomiti	z a t ǒ m i t i
zatomljivati	z a t o m ʎ ǐː ʋ a t i
zaton	z ǎː t o n
zatražiti	z a t r ǎː ʒ i t i
zatrovati	z a t r ǒ ʋ a t i
zatvarati	z a t ʋ ǎː r a t i
zatvor	z ǎː t ʋ o r
zatvoren	z ǎ t ʋ o r e n
zatvorenica	z a t ʋ o r ě n i t͡s a
zatvorenik	z a t ʋ o r ě n iː k
zatvoriti	z a t ʋ ǒ r i t i
zaudarati	z a ǔ d a r a t i
zaustaviti	z a ǔ s t a ʋ i t i
zaustavljati	z a ǔ s t a ʋ ʎ a t i
zauvek	z ǎ u ʋ eː k
zauvijek	z ǎ u ʋ i j eː k
zauzdati	z a ǔ z d a t i
zauzdavati	z a u z d ǎː ʋ a t i
zauzeti	z a ǔ z eː t i
zauzimati	z a ǔ z i m a t i
zauzvrat	z â u z ʋ r aː t
zavada	z âː ʋ a d a
zavada	z ǎː ʋ a d a
zavaditi	z ǎ ʋ a d i t i
zavala	z â ʋ a l a
zavarati	z ǎ ʋ a r a t i
zavaravati	z a ʋ a r ǎː ʋ a t i
zavazda	z ǎ ʋ a z d a
zavera	z âː ʋ e r a
zavesa	z âː ʋ e s a
zavesti	z ǎ ʋ e s t i
zavet	z ǎː ʋ e t
zavetrina	z ǎː ʋ e t r i n a
zavezati	z a ʋ ěː z a t i
zavezivati	z a ʋ e z ǐː ʋ a t i
zavičaj	z â ʋ i t͡ʃ aː j
zavidan	z ǎː ʋ i d a n
zavideti	z ǎː ʋ i d e t i
zavidjeti	z ǎː ʋ i d j e t i
zavidljiv	z a ʋ ǐ d ʎ i ʋ
zavidljivac	z a ʋ ǐ d ʎ i ʋ a t͡s
zavidnik	z ǎː ʋ i d n iː k
zavidno	z ǎː ʋ i d n o
zaviđati	z a ʋ ǐː d͡ʑ a t i
zavijati	z a ʋ ǐː j a t i
zaviriti	z a ʋ ǐː r i t i
zavirivati	z a ʋ i r ǐː ʋ a t i
zavisan	z ǎː ʋ i s a n
zavisiti	z ǎː ʋ i s i t i
zavisno	z ǎː ʋ i s n o
zavisnost	z ǎː ʋ i s n oː s t
zavist	z ǎː ʋ i s t
zaviti	z ǎ ʋ i t i
zavjera	z ǎː ʋ j e r a
zavjera	z âː ʋ j e r a
zavjera	z ǎ ʋ j e r a
zavjesa	z âː ʋ j e s a
zavjet	z ǎː ʋ j e t
zavjetrina	z ǎː ʋ j e t r i n a
zavlačiti	z a ʋ l ǎː t͡ʃ i t i
zavladati	z a ʋ l ǎː d a t i
zavladavati	z a ʋ l a d ǎː ʋ a t i
zavod	z ǎː ʋ o d
zavoditi	z a ʋ ǒ d i t i
zavodljiv	z a ʋ ǒ d ʎ i ʋ
zavodljivo	z a ʋ ǒ d ʎ i ʋ o
zavodljivost	z a ʋ ǒ d ʎ i ʋ oː s t
zavodnica	z ǎː ʋ o d n i t͡s a
zavodnički	z ǎː ʋ o d n i t͡ʃ k iː
zavodnik	z ǎː ʋ o d n iː k
zavoj	z ǎː ʋ o j
zavojit	z ǎː ʋ o j i t
zavojnica	z ǎː ʋ oː j n i t͡s a
zavoleti	z a ʋ ǒ l e t i
zavoljeti	z a ʋ ǒ ʎ e t i
zavredeti	z a ʋ r ěː d e t i
zavređivati	z a ʋ r e d͡ʑ ǐː ʋ a t i
zavrijediti	z a ʋ r j ěː d i t i
zavrijedjeti	z a ʋ r j ěː d j e t i
završavati	z a ʋ r ʃ ǎː ʋ a t i
završetak	z a ʋ r ʃ ěː t a k
završiti	z a ʋ řː ʃ i t i
završni	z ǎː ʋ r ʃ n iː
zavući	z a ʋ ǔː t͡ɕ i
zažaliti	z ǎ ʒ â l i t i
zaželeti	z a ʒ ě l e t i
zaželjeti	z a ʒ ě ʎ e t i
zbijati	z b ǐː j a t i
zbilja	z b î ʎ a
zbilja	z b ǐː ʎ a
zbiljski	z b îː ʎ s k iː
zbir	z b îː r
zbirka	z b îː r k a
zbiti	z b î t i
zbiti	z b î t i
zbivati	z b ǐː ʋ a t i
zbližavati	z b l i ʒ ǎː ʋ a t i
zbližiti	z b l ǐː ʒ i t i
zbog	z b ô ɡ
zbogom	z b ô ɡ o m
zboj	z b ô j
zbor	z b ôː r
zboriti	z b ǒ r i t i
zbornik	z b ôː r n iː k
zbrajati	z b r ǎː j a t i
zbrinuti	z b r î n u t i
zbrinjavati	z b r i ɲ ǎː ʋ a t i
zbrisati	z b r î s a t i
zbrka	z b r̂ k a
zbroj	z b r ôː j
zbrojiti	z b r ǒ j i t i
zbuniti	z b ǔː n i t i
zbunjen	z b ûː ɲ e n
zbunjeno	z b ûː ɲ e n o
zbunjivati	z b u ɲ ǐː ʋ a t i
zdaj	z d a j
zdela	z d ê l a
zdenac	z d ěː n a t͡s
Zdenkica	z d e n k i t͡s a
Zdenko	z d ěː n k o
zdepast	z d ê p a s t
Zdeslav	z d ê s l a ʋ
zdjela	z d j ê l a
zdrav	z d r â ʋ
Zdravko	z d r ǎː ʋ k o
zdravlje	z d r âː ʋ ʎ e
zdravo	z d r â ʋ o
zdravstveni	z d r ǎ ʋ s t ʋ e n iː
zdravstveno	z d r ǎ ʋ s t ʋ e n o
zdravstvo	z d r ǎ ʋ s t ʋ o
zdrkanac	z d r̩ k ǎː n a t͡s
združiti	z d r ǔː ʒ i t i
združivati	z d r u ʒ ǐː ʋ a t i
zeba	z ěː b a
Zebec	z ě b e t͡s
zebra	z ê b r a
zec	z êː t͡s
Zec	z êː t͡s
zečić	z ě t͡ʃ i t͡ɕ
zečji	z ě t͡ʃ j iː
zehciger	z ě x t͡s i ɡ e r
zeherli	z e x ě r l i
zejtin	z ě j t iː n
zekat	z ě k aː t
zeko	z ěː k o
zelen	z ě l e n
zelen	z ê l eː n
zelenaš	z e l ě n aː ʃ
zelenaški	z e l ě n aː ʃ k iː
zelenaški	z e l ě n aː ʃ k i
zelenilo	z e l ě n i l o
zelenkast	z e l ě n k a s t
Zelić	z ěː l i t͡ɕ
zelot	z ě l oː t
zelje	z êː ʎ e
zemaljac	z e m ǎː ʎ a t͡s
zemaljski	z e m ǎ ʎ s k iː
zemlja	z ě m ʎ a
Zemlja	z ě m ʎ a
zemljan	z ě m ʎ a n
Zemljin	z ě m ʎ i n
zemljište	z ê m ʎ iː ʃ t e
zemljište	z ě m ʎ iː ʃ t e
zemljopis	z ê m ʎ o p iː s
zemljopisni	z ê m ʎ o p iː s n iː
zemljoposednik	z e m ʎ o p ǒː s e d n iː k
zemljoposjednik	z e m ʎ o p ǒː s j e d n iː k
zemljoradnik	z e m ʎ ǒ r aː d n iː k
zemljoradnja	z e m ʎ o r ǎː d ɲ a
zemljotres	z ê m ʎ o t r eː s
zemljovid	z ê m ʎ o ʋ iː d
zemunica	z e m ǔ n i t͡s a
zena	z ê n a
zenica	z ě n i t͡s a
Zenica	z ê n i t͡s a
Zeničak	z e n ǐ t͡ʃ aː k
zenični	z ě n i t͡ʃ n iː
zenit	z ě n iː t
zepsti	z êː p s t i
zerdelica	z e r d ě l i t͡s a
zerzevat	z e r z ě ʋ aː t
zerzevata	z e r z e ʋ ǎː t a
zerzevata	z e r z e ʋ ǎː t aː
zet	z ê t
zeti	z eː t i
zeugma	z e ǔ ɡ m a
zevati	z ěː ʋ a t i
zevnuti	z ěː ʋ n u t i
zezati	z ê z a t i
zgaditi	z ɡ â d i t i
zgađenost	z ɡ â d͡ʑ e n oː s t
zglob	z ɡ l ô b
zglobni	z ɡ l ô b n iː
zgoda	z ɡ ô d a
zgodan	z ɡ ô d a n
zgrabiti	z ɡ r â b i t i
zgrada	z ɡ r â d a
zgradurina	z ɡ r a d ǔ r i n a
zgražati	z ɡ r ǎː ʒ a t i
zgražavati	z ɡ r a ʒ ǎː ʋ a t i
zgrejati	z ɡ r e j a t i
zgrejavati	z ɡ r e j ǎː ʋ a t i
zgrijati	z ɡ r î j a t i
zgrijavati	z ɡ r i j ǎː ʋ a t i
zgristi	z ɡ r î s t i
zgrnuti	z ɡ řː n u t i
zgromiti	z ɡ r ǒ m i t i
zgroziti	z ɡ r ǒ z i t i
zgrtati	z ɡ r̂ t a t i
zgrušati	z ɡ r ǔ ʃ a t i
zgrušavati	z ɡ r u ʃ ǎː ʋ a t i
zguriti	z ɡ û r i t i
zgusnuti	z ɡ û s n u t i
zgušnjavati	z ɡ u ʃ ɲ ǎː ʋ a t i
zgužvati	z ɡ ǔ ʒ ʋ a t i
zibati	z ǐː b a t i
zid	z îː d
zidar	z ǐ d aː r
zidarstvo	z i d ǎː r s t ʋ o
zidati	z ǐː d a t i
zidina	z ǐ d i n a
zidni	z îː d n iː
ziheraš	z i x ě r aː ʃ
zijati	z ǐː j a t i
zijev	z j êː ʋ
zijevati	z j ěː ʋ a t i
zijevnuti	z j ěː ʋ n u t i
zima	z ǐː m a
zimi	z îː m i
zimnica	z ǐ m n i t͡s a
zimovanje	z i m ǒ ʋ aː ɲ e
zimovati	z i m ǒ ʋ a t i
zimovište	z ǐ m o ʋ iː ʃ t e
zimski	z îː m s k iː
zimus	z ǐ m uː s
zimzelen	z î m z e l eː n
zimzelen	z î m z e l eː n
Zinaida	ʒ î ʋ o j i n
Zineta	z i n e t a
Zinka	z i n k a
zinuti	z î n u t i
zipka	z î p k a
zjapiti	z j ǎː p i t i
zjapnuti	z j â p n u t i
zjena	z j ê n a
zjenica	z j ě n i t͡s a
zjenični	z j ě n i t͡ʃ n iː
Zlata	z l âː t a
zlatan	z l ǎː t a n
Zlatan	z l ǎ t a n
zlatar	z l ǎ t aː r
Zlatar	z l ǎ t aː r
zlatarnica	z l ǎ t aː r n i t͡s a
Zlatica	z l ǎ t i t͡s a
zlatiti	z l ǎː t i t i
Zlatko	z l â t k o
zlatnik	z l âː t n iː k
zlatnina	z l a t n ǐ n a
zlato	z l âː t o
zlatom	z l âː t o m
Zlatomir	z l â t o m iː r
zlatoust	z l a t ǒ u s t
zlica	z l î t͡s a
zlikovac	z l î k o ʋ a t͡s
zlo	z l ô
zloba	z l ǒ b a
zloban	z l ô b a n
zlobnik	z l ô b n iː k
zločest	z l ǒ t͡ʃ e s t
zločesto	z l ǒ t͡ʃ e s t o
zločin	z l ǒ t͡ʃ i n
zločinac	z l ǒ t͡ʃ i n a t͡s
zločinski	z l ǒ t͡ʃ iː n s k iː
zločinstvo	z l ǒ t͡ʃ iː n s t ʋ o
zloća	z l ǒ t͡ɕ a
zloćudan	z l ǒ t͡ɕ u d a n
zloćudnost	z l ǒ t͡ɕ u d n oː s t
zlodelo	z l ǒ d e l o
zlodjelo	z l ǒ d j e l o
zloduh	z l ǒ d u x
zloglasan	z l ǒ ɡ l a s a n
zloglasnik	z l ǒ ɡ l aː s n iː k
zloglasno	z l ǒ ɡ l a s n o
zlokob	z l ô k oː b
zlokoban	z l ǒ k o b a n
zlokobno	z l ǒ k o b n o
zlonameran	z l o n ǎː m eː r a n
zlonamernik	z l o n ǎː m eː r n iː k
zlonamerno	z l o n ǎː m eː r n o
zlonamernost	z l o n ǎː m eː r n oː s t
zlonamjeran	z l o n ǎː m j eː r a n
zlonamjernik	z l o n ǎː m j eː r n iː k
zlonamjerno	z l o n ǎː m j eː r n o
zlonamjernost	z l o n ǎː m j eː r n oː s t
zlopatiti	z l ǒ p a t i t i
zlorabiti	z l o r ǎː b i t i
zloradost	z l ǒ r a d oː s t
zloslutan	z l ǒ s l u t a n
zloslutno	z l ǒ s l u t n o
zlostavljati	z l ǒ s t a ʋ ʎ a t i
zlotvor	z l ô t ʋ o r
zlotvoran	z l ô t ʋ oː r a n
zlouporaba	z l o ǔ p o r a b a
zloupotreba	z l ô u p o t r e b a
zloupotrebiti	z l o u p o t r ěː b i t i
zloupotrebljavati	z l o u p o t r e b ʎ ǎː ʋ a t i
zloupotrijebiti	z l o u p o t r j ěː b i t i
zlovolja	z l ǒ ʋ o ʎ a
zlovoljan	z l ǒ ʋ oː ʎ a n
zlovoljno	z l ǒ ʋ oː ʎ n o
zlurad	z l ǔ r a d
zlurado	z l ǔ r a d o
zluradost	z l ǔ r a d oː s t
zmaj	z m â j
zmajev	z m â j e ʋ
zmija	z m ǐ j a
zmijast	z m î j a s t
Zmijavci	z m ǐː j aː ʋ t͡s i
zmijica	z m ǐ j i t͡s a
zmijin	z m ǐ j i n
zmijolik	z m i j ǒ l i k
zmijolovac	z m i j o l ǒː ʋ a t͡s
zmijski	z m îː j s k iː
zmijski	z m îː j s k i
zmijurina	z m i j ǔ r i n a
Zmirajević	z m i j ǎː r e ʋ i t͡ɕ
značaj	z n â t͡ʃ aː j
značajan	z n â t͡ʃ aː j a n
značajka	z n â t͡ʃ aː j k a
značajno	z n â t͡ʃ aː j n o
značajnost	z n a t͡ʃ ǎː j n oː s t
značenje	z n ǎː t͡ʃ eː ɲ e
značiti	z n ǎː t͡ʃ i t i
značka	z n â t͡ʃ k a
znak	z n âː k
znakovit	z n a k ǒ ʋ i t
znalac	z n ǎː l a t͡s
znamen	z n â m eː n
znamenit	z n a m ě n i t
znamenitost	z n a m ě n i t oː s t
znamenka	z n ǎ m eː n k a
znamenje	z n ǎ m eː ɲ e
znan	z n âː n
znanac	z n ǎː n a t͡s
znanica	z n ǎ n i t͡s a
znanost	z n â n oː s t
znanstven	z n ǎ n s t ʋ e n
znanstvenica	z n ǎ n s t ʋ e n i t͡s a
znanstvenik	z n ǎ n s t ʋ e n iː k
znanstveno	z n ǎ n s t ʋ e n o
znanje	z n ǎː ɲ e
znatan	z n â t a n
znati	z n â t i
znatiželja	z n â t i ʒ e ʎ a
znatiželjan	z n â t i ʒ eː ʎ a n
znatiželjno	z n â t i ʒ eː ʎ n o
znatno	z n â t n o
znoj	z n ôː j
znojan	z n ǒː j a n
znojav	z n ô j a ʋ
znojiti	z n ǒ j i t i
znojnica	z n ǒː j n i t͡s a
zob	z ôː b
zobati	z ǒ b a t i
zoben	z ǒ b e n
zodijak	z ǒ d i j aː k
Zogović	z o ɡ o ʋ i t͡ɕ
zoolog	z o ǒ l o ɡ
zoologija	z o o l ǒ ɡ i j a
zoološki	z o ǒ l o ʃ k iː
zor	z ôː r
zor	z ôː r
zora	z ǒ r a
Zora	z ǒ r a
Zoran	z ǒ r a n
zoran	z ǒː r a n
Zorana	z ǒ r a n a
Zorica	z ô r i t͡s a
Zorić	z ǒː r i t͡ɕ
Zorislav	z ǒ r i s l a ʋ
zorom	z ǒ r oː m
zov	z ôː ʋ
zova	z ǒː ʋ a
zove	z ǒ ʋ e
zove	z ǒː ʋ e
zovem	z ǒ ʋ e m
zovemo	z ǒ ʋ e m o
zoveš	z ǒ ʋ e ʃ
zovete	z ǒ ʋ e t e
zovu	z ǒ ʋ u
zovu	z ǒː ʋ u
zračan	z r ǎː t͡ʃ a n
zračenje	z r ǎː t͡ʃ eː ɲ e
zračiti	z r ǎː t͡ʃ i t i
zrak	z r âː k
zraka	z r â k a
zrakast	z r â k a s t
zrakasto	z r â k a s t o
zrakomlat	z r â k o m l aː t
zrakoplov	z r â k o p l oː ʋ
zrakoplovac	z r a k o p l ǒː ʋ a t͡s
zrakoplovni	z r â k o p l oː ʋ n iː
zrakoplovstvo	z r a k o p l ǒ ʋ s t ʋ o
zrakoprazan	z r â k o p r aː z a n
zrelina	z r e l ǐ n a
zrelost	z r ê l oː s t
zreo	z r ê o
zreti	z r ê t i
zreti	z r ěː t i
zrijeti	z r i j ěː t i
zrikavac	z r ǐː k a ʋ a t͡s
Zrinka	z r îː n k a
Zrinko	z r îː n k o
zrnast	z ř n a s t
zrnat	z ř n a t
zrnatost	z ř n a t oː s t
zrno	z r̂ n o
zrnje	z r̂ː ɲ e
zub	z ûː b
zuba	z ǔː b aː
zubac	z ǔː b a t͡s
zubalo	z ǔ b a l o
zubar	z ǔ b aː r
zubarica	z u b ǎ r i t͡s a
zubarski	z ǔ b aː r s k iː
zubarski	z ǔ b aː r s k i
zubić	z ǔ b i t͡ɕ
zubina	z ǔ b i n a
zublja	z ǔː b ʎ a
zubni	z ûː b n iː
zubnousneni	z u b n o ǔ s n e n iː
zubobolja	z u b ǒ b o ʎ a
zujara	z ǔ j a r a
zulum	z ǔ l u m
zumbul	z ǔ m b u l
zupčanik	z u p t͡ʃ ǎ n iː k
zuriti	z ǔː r i t i
zutra	z û t r a
zvaničan	z ʋ ǎ n i t͡ʃ a n
zvanično	z ʋ ǎ n i t͡ʃ n o
zvanje	z ʋ ǎː ɲ e
zvati	z ʋ â t i
zvečarka	z ʋ ě t͡ʃ aː r k a
zvek	z ʋ êː k
zver	z ʋ êː r
zvezda	z ʋ ěː z d a
zvezdan	z ʋ ě z d a n
zvezdan	z ʋ ě z d a n
zvezdica	z ʋ ě z d i t͡s a
zvijer	z ʋ i j êː r
zvijezda	z ʋ i j ěː z d a
zvir	z ʋ îː r
zvizda	z ʋ ǐː z d a
zviždač	z ʋ ǐ ʒ d aː t͡ʃ
zviždačica	z ʋ i ʒ d ǎ t͡ʃ i t͡s a
zviždati	z ʋ ǐ ʒ d a t i
zvjezdan	z ʋ j ě z d a n
zvjezdan	z ʋ j ě z d a n
Zvjezdan	z ʋ j ě z d a n
Zvjezdana	z ʋ j ě z d a n a
zvjezdar	z ʋ j ě z d aː r
zvjezdica	z ʋ j ě z d i t͡s a
zvjezdogled	z ʋ j ê z d o ɡ l eː d
zvjezdonauk	z ʋ j e z d o n ǎ u k
zvjezdoplov	z ʋ j e z d o p l oː ʋ
zvjezdoslov	z ʋ j ê z d o s l oː ʋ
zvjezdoslovlje	z ʋ j ê z d o s l oː ʋ ʎ e
zvjezdoznanstvo	z ʋ j e z d o z n ǎː n s t ʋ o
zvjezdozor	z ʋ j e z d ǒ z o r
zvocati	z ʋ ô t͡s a t i
zvon	z ʋ ô n
zvonik	z ʋ ǒ n iː k
Zvonimir	z ʋ ô n i m iː r
zvoniti	z ʋ ǒ n i t i
Zvonko	z ʋ ǒː n k o
zvono	z ʋ ô n o
Zvornik	z ʋ ǒ r n iː k
zvrk	z ʋ r̂ː k
zvučan	z ʋ ûː t͡ʃ a n
zvučati	z ʋ ǔː t͡ʃ a t i
zvučno	z ʋ ûː t͡ʃ n o
zvuk	z ʋ ûː k
ž	ʒ
žaba	ʒ â b a
žabac	ʒ ǎː b a t͡s
žabar	ʒ â b aː r
Žabčić	ʒ ǎ b t͡ʃ i t͡ɕ
žabetina	ʒ a b ě t i n a
žabica	ʒ â b i t͡s a
žabin	ʒ â b i n
žablji	ʒ â b ʎ iː
žaga	ʒ ǎː ɡ a
žagati	ʒ ǎː ɡ a t i
žagor	ʒ âː ɡ o r
Žakanje	ʒ ǎ k a ɲ e
Žaklina	ʒ a k l ǐː n a
žal	ʒ âː l
žal	ʒ âː l
žalac	ʒ ǎː l a t͡s
žalba	ʒ ǎ l b a
žalfija	ʒ ǎ l f i j a
žalilac	ʒ ǎ l i l a t͡s
žaliti	ʒ â l i t i
žalo	ʒ ǎː l o
žalosno	ʒ â l o s n o
žalost	ʒ â l oː s t
žalostan	ʒ â l o s t a n
žalostiti	ʒ a l ǒ s t i t i
žalovati	ʒ â l o ʋ a t i
žaljenje	ʒ â ʎ eː ɲ e
žamor	ʒ âː m o r
žandar	ʒ ǎ n d aː r
žandar	ʒ â n d a r
žandar	ʒ â n d aː r
žandarmerija	ʒ a n d a r m ě r i j a
žao	ʒ â o
žaoka	ʒ â o k a
žar	ʒ âː r
žardinijera	ʒ a r d i n i j ěː r a
žargon	ʒ ǎ r ɡ oː n
Žarić	ʒ ǎː r i t͡ɕ
žarište	ʒ â r iː ʃ t e
Žarka	ʒ a r k a
žarki	ʒ âː r k iː
Žarko	ʒ ǎː r k o
žarulja	ʒ ǎ r u ʎ a
žbica	ʒ b î t͡s a
žbir	ʒ b îː r
žbuka	ʒ b û k a
žbukati	ʒ b û k a t i
žbun	ʒ b ûː n
žbunje	ʒ b ûː ɲ e
žderač	ʒ d ě r aː t͡ʃ
žderačica	ʒ d e r ǎ t͡ʃ i t͡s a
žderancija	ʒ d e r ǎ n t͡s i j a
žderati	ʒ d ě r a t i
žderonja	ʒ d ěː r o ɲ a
ždral	ʒ d r âː l
ždreb	ʒ d r êː b
ždrebac	ʒ d r ěː b a t͡s
ždrebad	ʒ d r ê b aː d
ždrebati	ʒ d r ěː b a t i
ždrebe	ʒ d r êː b e
ždrebetina	ʒ d r ě b e t i n a
ždrebica	ʒ d r ě b i t͡s a
ždrebna	ʒ d r ê b n a
ždrelo	ʒ d r ěː l o
ždrijeb	ʒ d r i j êː b
ždrijebac	ʒ d r i j ěː b a t͡s
ždrijebati	ʒ d r i j ěː b a t i
ždrijebe	ʒ d r j êː b e
ždrijelnjak	ʒ d r i j êː l ɲ aː k
ždrijelo	ʒ d r j ěː l o
žeći	ʒ ě t ɕ i
žeći	ʒ ê t ɕ i
žedan	ʒ ěː d a n
žedneti	ʒ ě d n e t i
žedno	ʒ êː d n o
žednjeti	ʒ ě d ɲ e t i
žeđ	ʒ êː d͡ʑ
žeđa	ʒ êː d͡ʑ a
žeđati	ʒ ěː d͡ʑ a t i
žega	ʒ ê ɡ a
želatinast	ʒ e l a t ǐ n a s t
žele	ʒ ě l eː
želeti	ʒ ě l e t i
železan	ʒ ě l e z a n
železnica	ʒ ě l e z n i t͡s a
železnički	ʒ ě l e z n i t͡ʃ k iː
železo	ʒ ě l e z o
Želimir	ʒ ê l i m iː r
želučani	ʒ ě l u t͡ʃ a n iː
želudac	ʒ ě l u d a t͡s
želva	ʒ êː l ʋ aː
želja	ʒ ě ʎ a
željan	ʒ ê ʎ a n
Željan	ʒ ê ʎ a n
željeti	ʒ ě ʎ e t i
željezan	ʒ ě ʎ e z a n
željeznica	ʒ ě ʎ e z n i t͡s a
željeznički	ʒ ě ʎ e z n i t͡ʃ k iː
željezo	ʒ ě ʎ e z o
Željka	ʒ êː ʎ k a
Željkica	ʒ e ʎ k i t͡s a
Željko	ʒ êː ʎ k o
željkovati	ʒ ê ʎ k o ʋ a t i
željno	ʒ ěː ʎ n o
žemlja	ʒ ê m ʎ a
žena	ʒ ě n a
Ženeva	ʒ e n ěː ʋ a
ženevski	ʒ ě n e ʋ s k iː
ženica	ʒ ě n i t͡s a
ženidba	ʒ ě n i d b a
ženik	ʒ ě n iː k
ženin	ʒ ě n i n
ženiti	ʒ ě n i t i
ženka	ʒ êː n k a
ženskar	ʒ ě n s k aː r
ženski	ʒ ě n s k iː
ženski	ʒ ě n s k i
ženskost	ʒ ê n s k oː s t
ženstven	ʒ ě n s t ʋ e n
ženstvenost	ʒ ě n s t ʋ e n oː s t
žep	ʒ ê p
Žepak	ʒ ě p aː k
Žepče	ʒ ě p t͡ʃ e
Žepić	ʒ ěː p i t͡ɕ
žerav	ʒ ě r aː ʋ
žestina	ʒ e s t ǐ n a
žestiti	ʒ ěː s t i t i
žestok	ʒ ě s t o k
žestoko	ʒ e s t ǒ k o
žeti	ʒ ê t i
žetva	ʒ ê t ʋ a
žetveni	ʒ ê t ʋ e n iː
žezlo	ʒ ě z l o
žganica	ʒ ɡ ǎ n i t͡s a
žgaravica	ʒ ɡ â r a ʋ i t͡s a
žgoljav	ʒ ɡ ô ʎ a ʋ
žica	ʒ î t s a
žica	ʒ î t s a
žiće	ʒ ǐː t͡ɕ e
Židov	ʒ ǐ d o ʋ
Židov	ʒ î d o ʋ
židovski	ʒ ǐ d o ʋ s k iː
žig	ʒ îː ɡ
žigolo	ʒ î ɡ o l o
žila	ʒ î l a
žilav	ʒ î l a ʋ
žilavost	ʒ î l a ʋ oː s t
žilet	ʒ ǐ l e t
žilet	ʒ i l ě t
žilnica	ʒ ǐː l n i t͡s a
žir	ʒ îː r
žitak	ʒ ǐː t a k
žitarica	ʒ i t ǎ r i t͡s a
žitelj	ʒ ǐː t e ʎ
žitnica	ʒ î t n i t͡s a
žito	ʒ î t o
živ	ʒ îː ʋ
živa	ʒ î ʋ a
živac	ʒ ǐ ʋ a t͡s
živahan	ʒ î ʋ aː x a n
živahno	ʒ î ʋ aː x n o
živahnost	ʒ î ʋ aː x n oː s t
živcirati	ʒ i ʋ t͡s ǐː r a t i
živčan	ʒ ǐ ʋ t͡ʃ a n
živeti	ʒ ǐː ʋ e t i
živica	ʒ ǐ ʋ i t͡s a
živina	ʒ i ʋ ǐ n a
živjeti	ʒ ǐː ʋ j e t i
Živko	ʒ i ʋ k o
Živković	ʒ ǐː ʋ k o ʋ i t͡ɕ
živo	ʒ îː ʋ o
Živojin	ʒ î ʋ o j i n
živopisan	ʒ î ʋ o p iː s a n
živopisno	ʒ î ʋ o p iː s n o
živopisnost	ʒ î ʋ o p i s n oː s t
živost	ʒ î ʋ oː s t
život	ʒ ǐ ʋ o t
životan	ʒ ǐ ʋ o t a n
životinja	ʒ i ʋ ǒ t i ɲ a
životinjski	ʒ i ʋ ǒ t iː ɲ s k iː
životinjski	ʒ i ʋ ǒ t iː ɲ s k i
životopis	ʒ i ʋ o t ǒ p i s
životopis	ʒ î ʋ o t o p i s
žiža	ʒ ǐː ʒ a
žleb	ʒ l êː b
žlezda	ʒ l ěː z d a
žlica	ʒ l î t͡s a
žlijeb	ʒ l j êː b
žlijezda	ʒ l j ěː z d a
žmaha	ʒ m a x a
Žminj	ʒ m îː ɲ
Žminjština	ʒ m ǐː ɲ ʃ t i n a
žmukler	ʒ m û k l e r
žohar	ʒ ô x aː r
žongler	ʒ ǒ n ɡ l eː r
žonglirati	ʒ o n ɡ l ǐː r a t i
žrec	ʒ r êː t͡s
žrtva	ʒ r̂ t ʋ a
žuborika	ʒ u b ǒ r i k a
žuč	ʒ ûː t͡ʃ
žučljiv	ʒ ǔ t͡ʃ ʎ i ʋ
žudeti	ʒ ǔː d e t i
žudjeti	ʒ ǔː d j e t i
žudnja	ʒ ǔː d ɲ a
žulj	ʒ ûː ʎ
žumance	ʒ u m ǎː n t͡s e
žumanjak	ʒ u m ǎː ɲ a k
Žumberak	ʒ ǔ m b e r a k
žuna	ʒ ǔː n a
župa	ʒ ǔː p a
župan	ʒ ǔ p a n
županija	ʒ u p ǎ n i j a
županijski	ʒ u p ǎ n iː j s k iː
Županja	ʒ ǔ p a ɲ a
župnik	ʒ ûː p n iː k
žurba	ʒ ǔ r b a
žuriti	ʒ ǔː r i t i
žurka	ʒ û r k a
žurnalist	ʒ u r n ǎ l i s t
žurnalistika	ʒ u r n a l ǐ s t i k a
