á	aː
Macedónsko	m a t͡s e d ɔː n̠ s k ɔ
Macejech	m a t͡s e j e x
Macejka	m a t͡s e ɪ̯ k a
Mačejovský	m a t͡ʃ e j ɔ u̯ s k iː
Macek	m a t͡s e k
Maček	m a t͡ʃ e k
Mach	m a x
mach	m a x
Macháč	m a x aː t͡ʃ
Macháček	m a x aː t͡ʃ e k
Machaj	m a x a ɪ̯
Machala	m a x a l a
Machata	m a x a t a
machom	m a x ɔ m
machov	m a x ɔ u̯
Machová	m a x ɔ ʋ aː
Machovič	m a x ɔ ʋ i t͡ʃ
machový	m a x ɔ ʋ iː
machu	m a x u
machuľa	m a x u ʎ a
machuľa	m a x u l a
machuľka	m a x u ʎ k a
machuľka	m a x u l k a
Machút	m a x uː t
Machyniak	m a x i ɲ ɪ̯ a k
Mačica	m a t͡ʃ i t͡s a
mačica	m a t͡ʃ i t͡s a
mačička	m a t͡ʃ i t͡ʃ k a
mačiek	m a t͡ʃ ɪ̯ e k
Macík	m a t͡s iː k
mačka	m a t͡ʃ k a
mačkách	m a t͡ʃ k aː x
mačkám	m a t͡ʃ k aː m
mačkami	m a t͡ʃ k a m i
mačke	m a t͡ʃ k e
Macko	m a t͡s k ɔ
mačkou	m a t͡ʃ k ɔ u̯
Mačková	m a t͡ʃ k ɔ ʋ aː
Mackových	m a t͡s k ɔ ʋ iː x
Mackovýchová	m a t͡s k ɔ ʋ iː x ɔ ʋ aː
mačku	m a t͡ʃ k u
mačky	m a t͡ʃ k i
Maco	m a t͡s ɔ
Mačo	m a t͡ʃ ɔ
Mácsai	m aː t͡s s a i
Macúch	m a t͡s uː x
Mačuga	m a t͡ʃ u ɡ a
Mačutek	m a t͡ʃ u c e k
Madagaskar	m a d a ɡ a s k a r
madam	m a d a m
Maďar	m a ɟ a r
Maďara	m a ɟ a r a
maďarčina	m a ɟ a r t͡ʃ i n a
Maďarič	m a ɟ a r i t͡ʃ
Maďarka	m a ɟ a r k a
Maďarsko	m a ɟ a r s k ɔ
maďarský	m a ɟ a r s k iː
Madrid	m a d r i t
Madzin	m a d͡z i n
Maga	m a ɡ a
Magál	m a ɡ aː l
Magdaléna	m a ɡ d a l eː n a
Magdolen	m a ɡ d ɔ ʎ e n
Magdolen	m a ɡ d ɔ l e n
magľajz	m a ɡ ʎ a ɪ̯ s
magľajz	m a ɡ l a ɪ̯ s
magľajzu	m a ɡ ʎ a ɪ̯ z u
magľajzu	m a ɡ l a ɪ̯ z u
magnet	m a ɡ n e t
magnetizácia	m a ɡ n e t i z aː t͡s i a
magnetizmus	m a ɡ n e t i z m u s
magnetizovať	m a ɡ ɲ e c i z ɔ ʋ a c
magor	m a ɡ ɔ r
magora	m a ɡ ɔ r a
magori	m a ɡ ɔ r i
Maháraštra	m a ɦ aː r a ʃ t r a
Mahút	m a ɦ uː t
Maine	m e ɪ̯ n
maj	m a ɪ̯
máj	m aː ɪ̯
maják	m a j aː k
Maják	m a j aː k
Majchrák	m a ɪ̯ x r aː k
Majdan	m a ɪ̯ d a n
Majer	m a j e r
Majerčík	m a j e r t͡ʃ iː k
majme	m a ɪ̯ m e
majonéza	m a j ɔ n eː z a
Majoroš	m a j ɔ r ɔ ʃ
májový	m aː j ɔ ʋ iː
majster	m a ɪ̯ s t e r
majstre	m a ɪ̯ s t r e
Majtán	m a ɪ̯ t aː n
majte	m a ɪ̯ c e
majú	m a j uː
mak	m a k
Mak	m a k
mäkčeň	m ɛ ɐ̯ k t͡ʃ e ɲ
mäkčeň	m e k t͡ʃ e ɲ
mäkčeňa	m ɛ ɐ̯ k t͡ʃ e ɲ a
mäkčeňa	m e k t͡ʃ e ɲ a
mäkčene	m ɛ ɐ̯ k t͡ʃ e ɲ e
mäkčene	m e k t͡ʃ e ɲ e
Makiš	m a k i ʃ
mäkká	m ɛ ɐ̯ kː aː
mäkká	m e kː aː
mäkké	m ɛ ɐ̯ kː eː
mäkké	m e kː eː
mäkkí	m ɛ ɐ̯ kː iː
mäkkí	m e kː iː
mäkkú	m ɛ ɐ̯ kː uː
mäkkú	m e kː uː
mäkkýš	m ɛ ɐ̯ kː iː ʃ
mäkkýš	m e kː iː ʃ
mäkkýší	m ɛ ɐ̯ kː iː ʃ iː
mäkkýší	m e kː iː ʃ iː
maklér	m a k l eː r
makový	m a k ɔ ʋ iː
Makula	m a k u l a
mal	m a l
mala	m a l a
malá	m a l aː
Malachovský	m a l a x ɔ u̯ s k iː
malajálamčina	m a l a j aː l a m t͡ʃ i n a
Malajzia	m a l a ɪ̯ z i a
Maľar	m a ʎ a r
Maľar	m a l a r
Malček	m a l t͡ʃ e k
Malčovský	m a l t͡ʃ ɔ u̯ s k iː
malé	m a l eː
Malec	m a ʎ e t͡s
Malec	m a l e t͡s
malej	m a ʎ e ɪ̯
malej	m a l e ɪ̯
Málek	m aː ʎ e k
Málek	m aː l e k
malému	m a l eː m u
mali	m a ʎ i
mali	m a l i
malí	m a ʎ iː
malí	m a l iː
maliar	m a ʎ ɪ̯ a r
maliar	m a l ɪ̯ a r
Maliar	m a ʎ ɪ̯ a r
Maliar	m a l ɪ̯ a r
maliara	m a ʎ ɪ̯ a r a
maliara	m a l ɪ̯ a r a
maliarka	m a ʎ ɪ̯ a r k a
maliarka	m a l ɪ̯ a r k a
maliarmi	m a ʎ ɪ̯ a r m i
maliarmi	m a l ɪ̯ a r m i
maliarsky	m a ʎ ɪ̯ a r s k i
maliarsky	m a l ɪ̯ a r s k i
maliarstvo	m a ʎ ɪ̯ a r s t ʋ ɔ
maliarstvo	m a l ɪ̯ a r s t ʋ ɔ
Malík	m a ʎ iː k
Malík	m a l iː k
malina	m a ʎ i n a
malina	m a l i n a
Malina	m a ʎ i n a
Malina	m a l i n a
Maliňák	m a ʎ i ɲ aː k
Maliňák	m a l i ɲ aː k
malinový	m a ʎ i n ɔ ʋ iː
malinový	m a l i n ɔ ʋ iː
Malko	m a l k ɔ
malo	m a l ɔ
Malo	m a l ɔ
málo	m aː l ɔ
malom	m a l ɔ m
malou	m a l ɔ u̯
málp	m aː l p
malpa	m a l p a
Malta	m a l t a
malta	m a l t a
maltčina	m a l t͡ʃː i n a
Malte	m a l c e
Maltou	m a l t ɔ u̯
Maltu	m a l t u
Malty	m a l c i
malú	m a l uː
Malvína	m a l ʋ iː n a
malý	m a l iː
Malý	m a l iː
mám	m aː m
mama	m a m a
máme	m aː m e
mamo	m a m ɔ
Mamojka	m a m ɔ ɪ̯ k a
Managua	m a n a ɡ u a
Maňák	m a ɲ aː k
Manáma	m a n aː m a
manažér	m a n a ʒ eː r
manažmentmi	m a n a ʒ m e n t m i
manažmentu	m a n a ʒ m e n t u
manažmenty	m a n a ʒ m e n t i
mančina	m a n t͡ʃ i n a
mandarínka	m a n d a r iː ŋ k a
mandarínkovník	m a n d a r iː ŋ k ɔ u̯ ɲ iː k
mandarínkovník	m a n d a r iː ŋ k ɔ ʋ ɲ iː k
Mandinec	m a n ɟ i ɲ e t͡s
Manila	m a ɲ i l a
Manitoba	m a ɲ i t ɔ b a
Maňka	m a ɲ k a
Manko	m a ŋ k ɔ
maňuška	m a ɲ u ʃ k a
manžel	m a n ʒ e l
manžel	m a n̠ ʒ e l
manželiek	m a n ʒ e ʎ ɪ̯ e k
manželiek	m a n̠ ʒ e ʎ ɪ̯ e k
manželiek	m a n ʒ e l ɪ̯ e k
manželiek	m a n̠ ʒ e l ɪ̯ e k
manželka	m a n ʒ e l k a
manželka	m a n̠ ʒ e l k a
manželke	m a n ʒ e l k e
manželke	m a n̠ ʒ e l k e
manželôčka	m a n ʒ e l u̯ ɔ t͡ʃ k a
manželôčka	m a n̠ ʒ e l u̯ ɔ t͡ʃ k a
manželôčky	m a n ʒ e l u̯ ɔ t͡ʃ k i
manželôčky	m a n̠ ʒ e l u̯ ɔ t͡ʃ k i
manželôčok	m a n ʒ e l u̯ ɔ t͡ʃ ɔ k
manželôčok	m a n̠ ʒ e l u̯ ɔ t͡ʃ ɔ k
mapa	m a p a
mapový	m a p ɔ ʋ iː
Maputo	m a p u t ɔ
már	m aː r
márach	m aː r a x
máram	m aː r a m
márami	m aː r a m i
Marcel	m a r t͡s e l
Marcela	m a r t͡s e l a
Marcinech	m a r t͡s i ɲ e x
Marcinko	m a r t͡s i ŋ k ɔ
marcový	m a r t͡s ɔ ʋ iː
marec	m a r e t͡s
Marec	m a r e t͡s
Marecký	m a r e t͡s k iː
Marek	m a r e k
marena	m a r e n a
Mareš	m a r e ʃ
Margaréta	m a r ɡ a r eː t a
Margita	m a r ɡ i t a
Marhanský	m a r ɦ a n s k iː
Marhanský	m a r ɦ a n̠ s k iː
marhuľa	m a r ɦ u ʎ a
marhuľa	m a r ɦ u l a
Mária	m aː r i a
Mariak	m a r ɪ̯ a k
Marián	m a r i aː n
Mariánko	m a r i aː ŋ k ɔ
Marika	m a r i k a
Marína	m a r iː n a
Mário	m aː r i ɔ
Markech	m a r k e x
Markoš	m a r k ɔ ʃ
Markovic	m a r k ɔ ʋ i t͡s
marmeláda	m a r m e l aː d a
Marmor	m a r m ɔ r
márna	m aː r n a
márne	m aː r n e
márnejší	m aː r ɲ e ɪ̯ ʃ iː
márni	m aː r n i
márnica	m aː r ɲ i t͡s a
márnici	m aː r ɲ i t͡s i
márničný	m aː r ɲ i t͡ʃ n iː
márnicou	m aː r ɲ i t͡s ɔ u̯
márnicu	m aː r ɲ i t͡s u
márnomyseľný	m aː r n ɔ m i s e ʎ n iː
márnomyseľný	m aː r n ɔ m i s e l n iː
márny	m aː r n i
Maro	m a r ɔ
maród	m a r ɔː t
Maron	m a r ɔ n
Marônek	m a r u̯ ɔ ɲ e k
Maroš	m a r ɔ ʃ
Maroško	m a r ɔ ʃ k ɔ
marshallčina	m a r z ɦ a lː t͡ʃ i n a
Marta	m a r t a
Martin	m a r t i n
Martina	m a r t i n a
Martinát	m a r c i n aː t
Martinides	m a r t i n i d e s
Martinkových	m a r c i ŋ k ɔ ʋ iː x
Martinkovýchová	m a r c i ŋ k ɔ ʋ iː x ɔ ʋ aː
Martinovič	m a r c i n ɔ ʋ i t͡ʃ
Martinusík	m a r c i n u s iː k
Martvoň	m a r t ʋ ɔ ɲ
Marušinec	m a r u ʃ i ɲ e t͡s
marxizmu	m a r k s i z m u
marxizmus	m a r k s i z m u s
máry	m aː r i
Maryland	m e r i ʎ e n t
Maryland	m e r i l e n t
máš	m aː ʃ
mäsa	m ɛ ɐ̯ s a
mäsa	m e s a
mäsá	m ɛ ɐ̯ s aː
mäsá	m e s aː
mäsách	m ɛ ɐ̯ s aː x
mäsách	m e s aː x
mäsám	m ɛ ɐ̯ s aː m
mäsám	m e s aː m
mäsami	m ɛ ɐ̯ s a m i
mäsami	m e s a m i
Masár	m a s aː r
mäse	m ɛ ɐ̯ s e
mäse	m e s e
Mašek	m a ʃ e k
Maseru	m a s e r u
mäsiar	m ɛ ɐ̯ s ɪ̯ a r
mäsiar	m e s ɪ̯ a r
Mäsiar	m ɛ ɐ̯ s ɪ̯ a r
Mäsiar	m e s ɪ̯ a r
mäsiarka	m ɛ ɐ̯ s ɪ̯ a r k a
mäsiarka	m e s ɪ̯ a r k a
masielka	m a s ɪ̯ e l k a
masielko	m a s ɪ̯ e l k ɔ
mašina	m a ʃ i n a
mäsko	m ɛ ɐ̯ s k ɔ
mäsko	m e s k ɔ
maskot	m a s k ɔ t
maškrta	m a ʃ k r̩ t a
Mašlej	m a ʃ ʎ e ɪ̯
Mašlej	m a ʃ l e ɪ̯
masliak	m a s ʎ ɪ̯ a k
masliak	m a s l ɪ̯ a k
maslo	m a s l ɔ
maslový	m a s l ɔ ʋ iː
Masný	m a s n iː
mäso	m ɛ ɐ̯ s ɔ
mäso	m e s ɔ
mäsom	m ɛ ɐ̯ s ɔ m
mäsom	m e s ɔ m
mäsový	m ɛ ɐ̯ s ɔ ʋ iː
mäsový	m e s ɔ ʋ iː
mäsožravec	m ɛ ɐ̯ s ɔ ʒ r a ʋ e t͡s
mäsožravec	m e s ɔ ʒ r a ʋ e t͡s
mäsožravý	m ɛ ɐ̯ s ɔ ʒ r a ʋ iː
mäsožravý	m e s ɔ ʒ r a ʋ iː
Massachusetts	m e s e t͡ʃ uː s e t͡s
maštaľ	m a ʃ t a ʎ
maštaľ	m a ʃ t a l
masťami	m a s c a m i
masti	m a s c i
mastí	m a s c iː
mastiach	m a s c ɪ̯ a x
mastiam	m a s c ɪ̯ a m
Mastihuba	m a s c i ɦ u b a
Mastiľák	m a s c i ʎ aː k
Mastiľák	m a s c i l aː k
masťou	m a s c ɔ u̯
masturbácia	m a s t u r b aː t͡s i a
masturbovať	m a s t u r b ɔ ʋ a c
mäsu	m ɛ ɐ̯ s u
mäsu	m e s u
mat	m a t
mať	m a c
mäta	m ɛ ɐ̯ t a
mäta	m e t a
Maťaš	m a c a ʃ
máte	m aː c e
Mateides	m a t e i d e s
Matej	m a c e ɪ̯
Matejíček	m a c e j iː t͡ʃ e k
Matejka	m a c e ɪ̯ k a
Matejko	m a c e ɪ̯ k ɔ
Matejovič	m a c e j ɔ ʋ i t͡ʃ
Matejovie	m a c e j ɔ ʋ ɪ̯ e
matematik	m a t e m a t i k
matere	m a c e r e
materi	m a c e r i
materinský	m a c e r i n s k iː
materinský	m a c e r i n̠ s k iː
maternica	m a c e r ɲ i t͡s a
materou	m a c e r ɔ u̯
materský	m a c e r s k iː
Mati	m a c i
matica	m a c i t͡s a
matiek	m a c ɪ̯ e k
matika	m a t i k a
Matilda	m a t i l d a
Matis	m a c i s
matka	m a t k a
matkin	m a t k i n
Matlo	m a t l ɔ
Maťo	m a c ɔ
mátoha	m aː t ɔ ɦ a
Matoušek	m a t ɔ u ʃ e k
matový	m a t ɔ ʋ iː
matrac	m a t r a t͡s
matracový	m a t r a t͡s ɔ ʋ iː
matrioška	m a t r i ɔ ʃ k a
matronymikum	m a t r ɔ n i m i k u m
Maťuga	m a c u ɡ a
Matula	m a t u l a
Matus	m a t u s
Matúš	m a t uː ʃ
Matušek	m a t u ʃ e k
Matušík	m a t u ʃ iː k
Matuška	m a t u ʃ k a
Matušovic	m a t u ʃ ɔ ʋ i t͡s
Matušovič	m a t u ʃ ɔ ʋ i t͡ʃ
Mauritánia	m a u̯ r i t aː n i a
mauritánsky	m a u r i t aː n s k i
mauritánsky	m a u r i t aː n̠ s k i
Mazáč	m a z aː t͡ʃ
Mázik	m aː z i k
Mazúch	m a z uː x
meander	m e a n d e r
meč	m e t͡ʃ
meča	m e t͡ʃ a
mech	m e x
mechanizácia	m e x a n i z aː t͡s i a
mechúr	m e x uː r
mečom	m e t͡ʃ ɔ m
mečový	m e t͡ʃ ɔ ʋ iː
med	m e t
meď	m e c
Méd	m eː t
Meda	m e d a
mede	m e ɟ e
medi	m e ɟ i
mediácia	m e d i aː t͡s i a
medián	m e d i aː n
mediánový	m e ɟ i aː n ɔ ʋ iː
Medina	m e ɟ i n a
Medňanský	m e d ɲ a n s k iː
Medňanský	m e d ɲ a n̠ s k iː
Medo	m e d ɔ
medom	m e d ɔ m
meďou	m e ɟ ɔ u̯
medovina	m e d ɔ ʋ i n a
medový	m e d ɔ ʋ iː
medu	m e d u
medúza	m e d uː z a
Medvecký	m e d ʋ e t͡s k iː
medveď	m e d ʋ e c
medveďa	m e d ʋ e ɟ a
medvede	m e d ʋ e ɟ e
medvedi	m e d ʋ e ɟ i
medvedica	m e d ʋ e ɟ i t͡s a
medvedice	m e d ʋ e ɟ i t͡s e
medveďom	m e d ʋ e ɟ ɔ m
Medviď	m e d ʋ i c
medvieďa	m e d ʋ ɪ̯ e ɟ a
medvieďatko	m e d ʋ ɪ̯ e ɟ a t k ɔ
medzinárodný	m e d͡z i n aː r ɔ d n iː
mekáč	m e k aː t͡ʃ
mekáča	m e k aː t͡ʃ a
mekáče	m e k aː t͡ʃ e
Melánia	m e l aː n i a
Melbourne	m e l b ø r n
Meleg	m e ʎ e k
Meleg	m e l e k
Melicherík	m e ʎ i x e r iː k
Melicherík	m e l i x e r iː k
Meliš	m e ʎ i ʃ
Meliš	m e l i ʃ
Melko	m e l k ɔ
Meľko	m e ʎ k ɔ
Meľko	m e l k ɔ
Melúch	m e l uː x
mena	m e n a
mená	m e n aː
menách	m e n aː x
menám	m e n aː m
menami	m e n a m i
Menda	m e n d a
mene	m e ɲ e
meniny	m e ɲ i n i
meniť	m e ɲ i c
meno	m e n ɔ
menom	m e n ɔ m
menou	m e n ɔ u̯
menovec	m e n ɔ ʋ e t͡s
menovkýň	m e n ɔ u̯ k iː ɲ
menovkyňa	m e n ɔ u̯ k i ɲ a
menovkyne	m e n ɔ u̯ k i ɲ e
menší	m e n ʃ iː
menší	m e n̠ ʃ iː
Menšík	m e n ʃ iː k
Menšík	m e n̠ ʃ iː k
menšina	m e n ʃ i n a
menšina	m e n̠ ʃ i n a
menštruácia	m e n ʃ t r u aː t͡s i a
menštruácia	m e n̠ ʃ t r u aː t͡s i a
mentalita	m e n t a ʎ i t a
mentalita	m e n t a l i t a
mentálny	m e n t aː l n i
Mentel	m e n c e l
menu	m e n u
menu	m e n u
menu	m e n y
meny	m e n i
Mereš	m e r e ʃ
Mergeš	m e r ɡ e ʃ
Merkúr	m e r k uː r
Merta	m e r t a
Mertan	m e r t a n
mesačník	m e s a t͡ʃ ɲ iː k
mesačný	m e s a t͡ʃ n iː
mesiac	m e s ɪ̯ a t͡s
Mesík	m e s iː k
mestách	m e s t aː x
mešťan	m e ʃ c a n
mešťana	m e ʃ c a n a
mešťania	m e ʃ c a ɲ ɪ̯ a
mestečko	m e s c e t͡ʃ k ɔ
meštiansky	m e ʃ c ɪ̯ a n s k i
meštiansky	m e ʃ c ɪ̯ a n̠ s k i
mesto	m e s t ɔ
mestský	m e s k iː
méta	m eː t a
metajazyk	m e t a j a z i k
meteorit	m e t e ɔ r i t
meteorológia	m e t e ɔ r ɔ l ɔː ɡ i a
meter	m e c e r
metla	m e t l a
metlobal	m e t l ɔ b a l
metlobalový	m e t l ɔ b a l ɔ ʋ iː
metro	m e t r ɔ
mexicky	m e k s i t͡s k i
mexický	m e k s i t͡s k iː
Mexiko	m e k s i k ɔ
Mezej	m e z e ɪ̯
mi	m i
Miami	m a j a m i
Miartuš	m ɪ̯ a r t u ʃ
miazga	m ɪ̯ a z ɡ a
miazgový	m ɪ̯ a z ɡ ɔ ʋ iː
miazma	m i a z m a
Mičaň	m i t͡ʃ a ɲ
Mičátek	m i t͡ʃ aː c e k
Miček	m i t͡ʃ e k
Michaela	m i x a e l a
Michal	m i x a l
Michalák	m i x a l aː k
Michalanský	m i x a l a n s k iː
Michalanský	m i x a l a n̠ s k iː
Michalco	m i x a l t͡s ɔ
Michalides	m i x a l i d e s
michalka	m i x a l k a
Michalov	m i x a l ɔ u̯
Michalovce	m i x a l ɔ u̯ t͡s e
Michigan	m i ʃ i ɡ e n
Michna	m i x n a
Michút	m i x uː t
Mičian	m i t͡ʃ ɪ̯ a n
Mičkovic	m i t͡ʃ k ɔ ʋ i t͡s
Mičúch	m i t͡ʃ uː x
Mieč	m ɪ̯ e t͡ʃ
mien	m ɪ̯ e n
mieň	m ɪ̯ e ɲ
mieňa	m ɪ̯ e ɲ a
miene	m ɪ̯ e ɲ e
mier	m ɪ̯ e r
miere	m ɪ̯ e r e
mieri	m ɪ̯ e r i
mierom	m ɪ̯ e r ɔ m
mierou	m ɪ̯ e r ɔ u̯
mieru	m ɪ̯ e r u
miery	m ɪ̯ e r i
miešačka	m ɪ̯ e ʃ a t͡ʃ k a
mieška	m ɪ̯ e ʃ k a
mieškom	m ɪ̯ e ʃ k ɔ m
miešku	m ɪ̯ e ʃ k u
miešok	m ɪ̯ e ʃ ɔ k
miestenka	m ɪ̯ e s c e ŋ k a
miestnosť	m ɪ̯ e s t n ɔ s c
Migo	m i ɡ ɔ
mih	m i x
Mihál	m i ɦ aː l
Mihálek	m i ɦ aː ʎ e k
Mihálek	m i ɦ aː l e k
Mihálik	m i ɦ aː ʎ i k
Mihálik	m i ɦ aː l i k
mihalnica	m i ɦ a l ɲ i t͡s a
mihmi	m i ɦ m i
Mihok	m i ɦ ɔ k
mihom	m i ɦ ɔ m
mihu	m i ɦ u
mihy	m i ɦ i
Miker	m i k e r
Mikes	m i k e s
Mikeš	m i k e ʃ
Mikláš	m i k l aː ʃ
Mikloš	m i k l ɔ ʃ
Miko	m i k ɔ
Mikolaj	m i k ɔ l a ɪ̯
Mikovčák	m i k ɔ u̯ t͡ʃ aː k
mikrometer	m i k r ɔ m e c e r
mikrosekunda	m i k r ɔ s e k u n d a
mikroskop	m i k r ɔ s k ɔ p
mikroskopový	m i k r ɔ s k ɔ p ɔ ʋ iː
Mikula	m i k u l a
Mikulášových	m i k u l aː ʃ ɔ ʋ iː x
Mikulec	m i k u ʎ e t͡s
Mikulec	m i k u l e t͡s
Mikulík	m i k u ʎ iː k
Mikulík	m i k u l iː k
Mikuš	m i k u ʃ
Mikušovič	m i k u ʃ ɔ ʋ i t͡ʃ
Milada	m i l a d a
Milanmi	m i l a n m i
Milčo	m i l t͡ʃ ɔ
Milena	m i ʎ e n a
Milena	m i l e n a
milenca	m i ʎ e n t͡s a
milenca	m i l e n t͡s a
milenec	m i ʎ e ɲ e t͡s
milenec	m i l e ɲ e t͡s
milenecký	m i ʎ e ɲ e t͡s k iː
milenecký	m i l e ɲ e t͡s k iː
milénium	m i l eː n i u m
miliarda	m i l i a r d a
miliardtý	m i l i a r tː iː
mililiter	m i l i l i t e r
mililitrový	m i ʎ i ʎ i t r ɔ ʋ iː
mililitrový	m i l i l i t r ɔ ʋ iː
milión	m i ʎ i ɔː n
milión	m i l i ɔː n
miliónty	m i ʎ i ɔː n t i
miliónty	m i l i ɔː n t i
Milko	m i l k ɔ
Milo	m i l ɔ
Miľo	m i ʎ ɔ
Miľo	m i l ɔ
Miloslava	m i l ɔ s l a ʋ a
milosť	m i l ɔ s c
milôt	m i l u̯ ɔ t
Milota	m i l ɔ t a
milota	m i l ɔ t a
milovať	m i l ɔ ʋ a c
milý	m i l iː
Milý	m i l iː
mimo	m i m ɔ
mimoriadny	m i m ɔ r ɪ̯ a d n i
Mináč	m i n aː t͡ʃ
Minár	m i n aː r
Minárik	m i n aː r i k
Minarovjech	m i n a r ɔ u̯ j e x
minca	m i n t͡s a
Minčič	m i n t͡ʃ i t͡ʃ
mincovňa	m i n t͡s ɔ u̯ ɲ a
mincovňa	m i n t͡s ɔ ʋ ɲ a
mineralógia	m i n e r a l ɔː ɡ i a
Minka	m i ŋ k a
Minko	m i ŋ k ɔ
Minnesota	m i n ɲ e s ɔ t a
Minsk	m i n s k
Mintál	m i n t aː l
minuloročný	m i n u l ɔ r ɔ t͡ʃ n iː
minúta	m i n uː t a
Mirga	m i r ɡ a
Miriama	m i r i a m a
Miro	m i r ɔ
Miroslava	m i r ɔ s l a ʋ a
Mišanko	m i ʃ a ŋ k ɔ
Mišeje	m i ʃ e j e
Mišiak	m i ʃ ɪ̯ a k
Miškech	m i ʃ k e x
Miškovič	m i ʃ k ɔ ʋ i t͡ʃ
Mislovič	m i s l ɔ ʋ i t͡ʃ
Mišovic	m i ʃ ɔ ʋ i t͡s
Mišovie	m i ʃ ɔ ʋ ɪ̯ e
Mississippi	m i s i s i p i
Missouri	m i s u r i
Missouri	m i z u r i
Mistrík	m i s t r iː k
mišung	m i ʃ u ŋ k
Mišút	m i ʃ uː t
Mitas	m i t a s
Mitka	m i t k a
mitochondria	m i t ɔ x ɔ n d r i a
mitra	m i t r a
Mitro	m i t r ɔ
Mitúch	m i t uː x
Mižigar	m i ʒ i ɡ a r
Mjanmarsko	m ɪ̯ a n m a r s k ɔ
Mjanmarsko	m j a n m a r s k ɔ
Mlacek	m l a t͡s e k
mláčka	m l aː t͡ʃ k a
mláďat	m l aː ɟ a t
mláďatá	m l aː ɟ a t aː
mláďatám	m l aː ɟ a t aː m
mláďatami	m l aː ɟ a t a m i
mládež	m l aː ɟ e ʃ
mladoň	m l a d ɔ ɲ
mladosť	m l a d ɔ s c
mladoženích	m l a d ɔ ʒ e ɲ iː x
mladoženísi	m l a d ɔ ʒ e ɲ iː s i
mladucha	m l a d u x a
mladý	m l a d iː
Mlaka	m l a k a
mláka	m l aː k a
Mlatec	m l a c e t͡s
mláto	m l aː t ɔ
mlč	m l̩ t͡ʃ
mlčanie	m l̩ t͡ʃ a ɲ ɪ̯ e
mliečny	m ʎ ɪ̯ e t͡ʃ n i
mliečny	m l ɪ̯ e t͡ʃ n i
mliekar	m ʎ ɪ̯ e k a r
mliekar	m l ɪ̯ e k a r
mĺkvejší	m l̩ː k ʋ e ɪ̯ ʃ iː
mĺkvy	m l̩ː k ʋ i
mlyn	m l i n
Mlynár	m l i n aː r
mlz	m l̩ s
mĺzť	m l̩ː s c
mňa	m ɲ a
mňaukať	m ɲ a u k a c
mních	m ɲ iː x
mníšik	m ɲ iː ʃ i k
mnoho	m n ɔ ɦ ɔ
mnohouholník	m n ɔ ɦ ɔ u ɦ ɔ l ɲ iː k
mnou	m n ɔ u̯
množina	m n ɔ ʒ i n a
močiar	m ɔ t͡ʃ ɪ̯ a r
močiť	m ɔ t͡ʃ i c
močový	m ɔ t͡ʃ ɔ ʋ iː
môcť	m u̯ ɔ t͡s c
móda	m ɔː d a
Moder	m ɔ ɟ e r
Móder	m ɔː ɟ e r
modernejší	m ɔ ɟ e r ɲ e ɪ̯ ʃ iː
moderný	m ɔ d e r n iː
modlivka	m ɔ d ʎ i u̯ k a
modlivka	m ɔ d l i u̯ k a
módny	m ɔː d n i
modrák	m ɔ d r aː k
Modrák	m ɔ d r aː k
modráky	m ɔ d r aː k i
modrejší	m ɔ d r e ɪ̯ ʃ iː
modrý	m ɔ d r iː
mohyla	m ɔ ɦ i l a
môj	m u̯ ɔ ɪ̯
môj	m u̯ ɔ j
Mojš	m ɔ ɪ̯ ʃ
Mojžíš	m ɔ ɪ̯ ʒ iː ʃ
Mokoš	m ɔ k ɔ ʃ
mokrí	m ɔ k r iː
mokrina	m ɔ k r i n a
mokrinka	m ɔ k r i ŋ k a
Mokroš	m ɔ k r ɔ ʃ
mokrý	m ɔ k r iː
moľ	m ɔ ʎ
moľ	m ɔ l
moľa	m ɔ ʎ a
moľa	m ɔ l a
Molčan	m ɔ l t͡ʃ a n
Moldavčan	m ɔ l d a u̯ t͡ʃ a n
Moldavčanka	m ɔ l d a u̯ t͡ʃ a ŋ k a
Moldavsko	m ɔ l d a u̯ s k ɔ
molej	m ɔ ʎ e ɪ̯
molej	m ɔ l e ɪ̯
molí	m ɔ ʎ iː
molí	m ɔ l iː
molia	m ɔ ʎ ɪ̯ a
molia	m ɔ l ɪ̯ a
molích	m ɔ ʎ iː x
molích	m ɔ l iː x
molie	m ɔ ʎ ɪ̯ e
molie	m ɔ l ɪ̯ e
molím	m ɔ ʎ iː m
molím	m ɔ l iː m
moliu	m ɔ ʎ ɪ̯ u
moliu	m ɔ l ɪ̯ u
Molnár	m ɔ l n aː r
moľom	m ɔ ʎ ɔ m
moľom	m ɔ l ɔ m
moľou	m ɔ ʎ ɔ u̯
moľou	m ɔ l ɔ u̯
momentu	m ɔ m e n t u
Monako	m ɔ n a k ɔ
monarcha	m ɔ n a r x a
monarchia	m ɔ n a r x i a
Mongolsko	m ɔ ŋ ɡ ɔ l s k ɔ
Monika	m ɔ n i k a
monoftongizácia	m ɔ n ɔ f t ɔ ŋ ɡ i z aː t͡s i a
monoftongizačný	m ɔ n ɔ f t ɔ ŋ ɡ i z a t͡ʃ n iː
Moňok	m ɔ ɲ ɔ k
monoteizmus	m ɔ n ɔ t e i z m u s
Montana	m ɔ n t a n a
Montevideo	m ɔ n c e ʋ i ɟ e ɔ
Montreal	m ɔ n t r e a l
mops	m ɔ p s
