a.K.	a k o
libervole	l i b e r v o l e
libia	l i b i a
Libio	l i b i o
Libion	l i b i o n
libraro	l i b r a r o
libraroj	l i b r a r o i̯
librejo	l i b r e j o
libreto	l i b r e t o
Librevilo	l i b r e v i l o
libro	l i b r o
librobreto	l i b r o b r e t o
libroj	l i b r o i̯
librojn	l i b r o i̯ n
libron	l i b r o n
libropruntejo	l i b r o p r u n t e j o
libroŝranko	l i b r o ʃ r a n k o
librovendejo	l i b r o v e n d e j o
licenco	l i t͡s e n t͡s o
liceo	l i t͡s e o
lieno	l i e n o
lifto	l i f t o
liftoj	l i f t o i̯
liftojn	l i f t o i̯ n
lifton	l i f t o n
ligas	l i ɡ a s
ligi	l i ɡ i
ligiĝi	l i ɡ i d͡ʒ i
ligilo	l i ɡ i l o
ligis	l i ɡ i s
ligna	l i ɡ n a
lignaj	l i ɡ n a i̯
lignajn	l i ɡ n a i̯ n
lignan	l i ɡ n a n
ligno	l i ɡ n o
lignofajro	l i ɡ n o f a i̯ r o
lignofajroj	l i ɡ n o f a i̯ r o i̯
lignofajrojn	l i ɡ n o f a i̯ r o i̯ n
lignofajron	l i ɡ n o f a i̯ r o n
lignokarbo	l i ɡ n o k a r b o
ligo	l i ɡ o
ligoj	l i ɡ o i̯
ligojn	l i ɡ o i̯ n
ligon	l i ɡ o n
ligos	l i ɡ o s
ligu	l i ɡ u
ligus	l i ɡ u s
ligverbo	l i ɡ v e r b o
ligverboj	l i ɡ v e r b o i̯
ligverbojn	l i ɡ v e r b o i̯ n
ligverbon	l i ɡ v e r b o n
liĥtenŝtejnanino	l i x t e n ʃ t e i̯ n a n i n o
liĥtenŝtejnano	l i x t e n ʃ t e i̯ n a n o
liĥtenŝtejnanoj	l i x t e n ʃ t e i̯ n a n o i̯
liĥtenŝtejnanojn	l i x t e n ʃ t e i̯ n a n o i̯ n
liĥtenŝtejnanon	l i x t e n ʃ t e i̯ n a n o n
Liĥtenŝtejno	l i x t e n ʃ t e i̯ n o
Liĥtenŝtejnon	l i x t e n ʃ t e i̯ n o n
likanta	l i k a n t a
likante	l i k a n t e
likanto	l i k a n t o
likas	l i k a s
likata	l i k a t a
likate	l i k a t e
likato	l i k a t o
likeno	l i k e n o
liki	l i k i
likinta	l i k i n t a
likinte	l i k i n t e
likinto	l i k i n t o
likis	l i k i s
likita	l i k i t a
likite	l i k i t e
likito	l i k i t o
likonta	l i k o n t a
likonte	l i k o n t e
likonto	l i k o n t o
likos	l i k o s
likota	l i k o t a
likote	l i k o t e
likoto	l i k o t o
liku	l i k u
likus	l i k u s
likva	l i k v a
likvaj	l i k v a i̯
likvajn	l i k v a i̯ n
likvan	l i k v a n
likvidanta	l i k v i d a n t a
likvidantaj	l i k v i d a n t a i̯
likvidantajn	l i k v i d a n t a i̯ n
likvidantan	l i k v i d a n t a n
likvidante	l i k v i d a n t e
likvidanto	l i k v i d a n t o
likvidantoj	l i k v i d a n t o i̯
likvidantojn	l i k v i d a n t o i̯ n
likvidanton	l i k v i d a n t o n
likvidas	l i k v i d a s
likvidata	l i k v i d a t a
likvidataj	l i k v i d a t a i̯
likvidatajn	l i k v i d a t a i̯ n
likvidatan	l i k v i d a t a n
likvidate	l i k v i d a t e
likvidato	l i k v i d a t o
likvidatoj	l i k v i d a t o i̯
likvidatojn	l i k v i d a t o i̯ n
likvidaton	l i k v i d a t o n
likvidebleco	l i k v i d e b l e t͡s o
likvidi	l i k v i d i
likvidinta	l i k v i d i n t a
likvidintaj	l i k v i d i n t a i̯
likvidintajn	l i k v i d i n t a i̯ n
likvidintan	l i k v i d i n t a n
likvidinte	l i k v i d i n t e
likvidinto	l i k v i d i n t o
likvidintoj	l i k v i d i n t o i̯
likvidintojn	l i k v i d i n t o i̯ n
likvidinton	l i k v i d i n t o n
likvidis	l i k v i d i s
likvidita	l i k v i d i t a
likviditaj	l i k v i d i t a i̯
likviditajn	l i k v i d i t a i̯ n
likviditan	l i k v i d i t a n
likvidite	l i k v i d i t e
likvidito	l i k v i d i t o
likviditoj	l i k v i d i t o i̯
likviditojn	l i k v i d i t o i̯ n
likviditon	l i k v i d i t o n
likvidonta	l i k v i d o n t a
likvidontaj	l i k v i d o n t a i̯
likvidontajn	l i k v i d o n t a i̯ n
likvidontan	l i k v i d o n t a n
likvidonte	l i k v i d o n t e
likvidonto	l i k v i d o n t o
likvidontoj	l i k v i d o n t o i̯
likvidontojn	l i k v i d o n t o i̯ n
likvidonton	l i k v i d o n t o n
likvidos	l i k v i d o s
likvidota	l i k v i d o t a
likvidotaj	l i k v i d o t a i̯
likvidotajn	l i k v i d o t a i̯ n
likvidotan	l i k v i d o t a n
likvidote	l i k v i d o t e
likvidoto	l i k v i d o t o
likvidotoj	l i k v i d o t o i̯
likvidotojn	l i k v i d o t o i̯ n
likvidoton	l i k v i d o t o n
likvidu	l i k v i d u
likvidus	l i k v i d u s
likvo	l i k v o
likvoj	l i k v o i̯
likvojn	l i k v o i̯ n
likvon	l i k v o n
likvoro	l i k v o r o
lilio	l i l i o
liliputa	l i l i p u t a
liliputaj	l i l i p u t a i̯
liliputajn	l i l i p u t a i̯ n
liliputan	l i l i p u t a n
liliputo	l i l i p u t o
Lillo	l i l l o
Lillon	l i l l o n
Lilongvo	l i l o n ɡ v o
lima	l i m a
limaj	l i m a i̯
limajn	l i m a i̯ n
limako	l i m a k o
liman	l i m a n
limanta	l i m a n t a
limantaj	l i m a n t a i̯
limantajn	l i m a n t a i̯ n
limantan	l i m a n t a n
limante	l i m a n t e
limanto	l i m a n t o
limantoj	l i m a n t o i̯
limantojn	l i m a n t o i̯ n
limanton	l i m a n t o n
limas	l i m a s
limata	l i m a t a
limataj	l i m a t a i̯
limatajn	l i m a t a i̯ n
limatan	l i m a t a n
limate	l i m a t e
limato	l i m a t o
limatoj	l i m a t o i̯
limatojn	l i m a t o i̯ n
limaton	l i m a t o n
Limburgo	l i m b u r ɡ o
limdato	l i m d a t o
limekolora	l i m e k o l o r a
limeo	l i m e o
limeriko	l i m e r i k o
limeso	l i m e s o
limfo	l i m f o
limfoj	l i m f o i̯
limfojn	l i m f o i̯ n
limfon	l i m f o n
limfrekvenco	l i m f r e k v e n t͡s o
limfrekvencoj	l i m f r e k v e n t͡s o i̯
limfrekvencojn	l i m f r e k v e n t͡s o i̯ n
limfrekvencon	l i m f r e k v e n t͡s o n
limi	l i m i
limigi	l i m i ɡ i
liminta	l i m i n t a
limintaj	l i m i n t a i̯
limintajn	l i m i n t a i̯ n
limintan	l i m i n t a n
liminte	l i m i n t e
liminto	l i m i n t o
limintoj	l i m i n t o i̯
limintojn	l i m i n t o i̯ n
liminton	l i m i n t o n
limis	l i m i s
limita	l i m i t a
limitaj	l i m i t a i̯
limitajn	l i m i t a i̯ n
limitan	l i m i t a n
limite	l i m i t e
limito	l i m i t o
limitoj	l i m i t o i̯
limitojn	l i m i t o i̯ n
limiton	l i m i t o n
limo	l i m o
Limo	l i m o
limoj	l i m o i̯
limojn	l i m o i̯ n
limon	l i m o n
limonado	l i m o n a d o
limonta	l i m o n t a
limontaj	l i m o n t a i̯
limontajn	l i m o n t a i̯ n
limontan	l i m o n t a n
limonte	l i m o n t e
limonto	l i m o n t o
limontoj	l i m o n t o i̯
limontojn	l i m o n t o i̯ n
limonton	l i m o n t o n
limos	l i m o s
limota	l i m o t a
limotaj	l i m o t a i̯
limotajn	l i m o t a i̯ n
limotan	l i m o t a n
limote	l i m o t e
limoto	l i m o t o
limotoj	l i m o t o i̯
limotojn	l i m o t o i̯ n
limoton	l i m o t o n
limu	l i m u
limus	l i m u s
lin	l i n
linĉas	l i n t͡ʃ a s
linĉi	l i n t͡ʃ i
linĉis	l i n t͡ʃ i s
linĉos	l i n t͡ʃ o s
linĉu	l i n t͡ʃ u
linĉus	l i n t͡ʃ u s
linda	l i n d a
lineara	l i n e a r a
linearaj	l i n e a r a i̯
linearajn	l i n e a r a i̯ n
linearan	l i n e a r a n
lingva	l i n ɡ v a
lingvaj	l i n ɡ v a i̯
lingvajn	l i n ɡ v a i̯ n
lingvaĵo	l i n ɡ v a ʒ o
lingvaĵoj	l i n ɡ v a ʒ o i̯
lingvaĵojn	l i n ɡ v a ʒ o i̯ n
lingvaĵon	l i n ɡ v a ʒ o n
lingvan	l i n ɡ v a n
lingvano	l i n ɡ v a n o
lingvaro	l i n ɡ v a r o
lingvaroj	l i n ɡ v a r o i̯
lingvarojn	l i n ɡ v a r o i̯ n
lingvaron	l i n ɡ v a r o n
lingve	l i n ɡ v e
lingviko	l i n ɡ v i k o
lingvistika	l i n ɡ v i s t i k a
lingvistiko	l i n ɡ v i s t i k o
lingvistikon	l i n ɡ v i s t i k o n
lingvisto	l i n ɡ v i s t o
lingvistoj	l i n ɡ v i s t o i̯
lingvistojn	l i n ɡ v i s t o i̯ n
lingviston	l i n ɡ v i s t o n
lingvo	l i n ɡ v o
lingvoj	l i n ɡ v o i̯
lingvojn	l i n ɡ v o i̯ n
lingvon	l i n ɡ v o n
lingvoscienca	l i n ɡ v o s t͡s i e n t͡s a
lingvosciencaj	l i n ɡ v o s t͡s i e n t͡s a i̯
lingvosciencajn	l i n ɡ v o s t͡s i e n t͡s a i̯ n
lingvosciencan	l i n ɡ v o s t͡s i e n t͡s a n
lingvoscienco	l i n ɡ v o s t͡s i e n t͡s o
lingvosciencon	l i n ɡ v o s t͡s i e n t͡s o n
linia	l i n i a
linias	l i n i a s
linie	l i n i e
linii	l i n i i
liniilo	l i n i i l o
liniis	l i n i i s
linio	l i n i o
linioj	l i n i o i̯
liniojn	l i n i o i̯ n
linion	l i n i o n
linios	l i n i o s
liniu	l i n i u
linius	l i n i u s
linko	l i n k o
Linko	l i n k o
linkoj	l i n k o i̯
linkojn	l i n k o i̯ n
linkon	l i n k o n
lino	l i n o
Lino	l i n o
linoleo	l i n o l e o
linoleumo	l i n o l e u m o
Linukso	l i n u k s o
lipangulo	l i p a n ɡ u l o
lipharoj	l i p h a r o i̯
lipido	l i p i d o
lipo	l i p o
lipobalzamo	l i p o b a l z a m o
lipogramo	l i p o ɡ r a m o
lipoj	l i p o i̯
lipojn	l i p o i̯ n
lipon	l i p o n
lipruĝo	l i p r u d͡ʒ o
lirika	l i r i k a
lirikeco	l i r i k e t͡s o
lirikisto	l i r i k i s t o
liriko	l i r i k o
lirlas	l i r l a s
lirli	l i r l i
lirlis	l i r l i s
lirlos	l i r l o s
lirlu	l i r l u
lirlus	l i r l u s
liro	l i r o
Liro	l i r o
Lisbono	l i s b o n o
lispi	l i s p i
listigi	l i s t i ɡ i
listo	l i s t o
litaĵo	l i t a ʒ o
litanio	l i t a n i o
literatura	l i t e r a t u r a
literaturaj	l i t e r a t u r a i̯
literaturajn	l i t e r a t u r a i̯ n
literaturaĵo	l i t e r a t u r a ʒ o
literaturaĵoj	l i t e r a t u r a ʒ o i̯
literaturaĵojn	l i t e r a t u r a ʒ o i̯ n
literaturaĵon	l i t e r a t u r a ʒ o n
literaturan	l i t e r a t u r a n
literaturo	l i t e r a t u r o
literaturoj	l i t e r a t u r o i̯
literaturojn	l i t e r a t u r o i̯ n
literaturon	l i t e r a t u r o n
litero	l i t e r o
literoj	l i t e r o i̯
literojn	l i t e r o i̯ n
literon	l i t e r o n
literumi	l i t e r u m i
litio	l i t i o
litkovrilo	l i t k o v r i l o
lito	l i t o
litografi	l i t o ɡ r a f i
litografio	l i t o ɡ r a f i o
litoj	l i t o i̯
litojn	l i t o i̯ n
liton	l i t o n
litotuko	l i t o t u k o
litotukoj	l i t o t u k o i̯
litotukojn	l i t o t u k o i̯ n
litotukon	l i t o t u k o n
litova	l i t o v a
litovaj	l i t o v a i̯
litovajn	l i t o v a i̯ n
litovan	l i t o v a n
Litovio	l i t o v i o
litovo	l i t o v o
Litovujo	l i t o v u j o
litro	l i t r o
litroj	l i t r o i̯
litrojn	l i t r o i̯ n
litron	l i t r o n
liturgia	l i t u r ɡ i a
liturgiaj	l i t u r ɡ i a i̯
liturgiajn	l i t u r ɡ i a i̯ n
liturgian	l i t u r ɡ i a n
liturgio	l i t u r ɡ i o
liva	l i v a
livaj	l i v a i̯
livajn	l i v a i̯ n
livan	l i v a n
live	l i v e
liven	l i v e n
liveranto	l i v e r a n t o
liveri	l i v e r i
livermorio	l i v e r m o r i o
livermorion	l i v e r m o r i o n
livermorumo	l i v e r m o r u m o
livero	l i v e r o
liverontan	l i v e r o n t a n
livreo	l i v r e o
livulo	l i v u l o
livuma	l i v u m a
livume	l i v u m e
lizino	l i z i n o
lizosomo	l i z o s o m o
Ljubljano	l j u b l j a n o
lo	l o
lobo	l o b o
loboj	l o b o i̯
logaritmo	l o ɡ a r i t m o
logaritmoj	l o ɡ a r i t m o i̯
logaritmojn	l o ɡ a r i t m o i̯ n
logaritmon	l o ɡ a r i t m o n
logas	l o ɡ a s
logbuklo	l o ɡ b u k l o
logi	l o ɡ i
logika	l o ɡ i k a
logikaj	l o ɡ i k a i̯
logikajn	l o ɡ i k a i̯ n
logikan	l o ɡ i k a n
logike	l o ɡ i k e
logiko	l o ɡ i k o
logis	l o ɡ i s
logogrifo	l o ɡ o ɡ r i f o
logos	l o ɡ o s
logu	l o ɡ u
logus	l o ɡ u s
loĝantaro	l o d͡ʒ a n t a r o
loĝantejo	l o d͡ʒ a n t e j o
loĝanto	l o d͡ʒ a n t o
loĝantoj	l o d͡ʒ a n t o i̯
loĝantojn	l o d͡ʒ a n t o i̯ n
loĝas	l o d͡ʒ a s
loĝdenso	l o d͡ʒ d e n s o
loĝdensoj	l o d͡ʒ d e n s o i̯
loĝdensojn	l o d͡ʒ d e n s o i̯ n
loĝdenson	l o d͡ʒ d e n s o n
loĝejo	l o d͡ʒ e j o
loĝi	l o d͡ʒ i
loĝio	l o d͡ʒ i o
loĝis	l o d͡ʒ i s
loĝloko	l o d͡ʒ l o k o
loĝos	l o d͡ʒ o s
loĝu	l o d͡ʒ u
loĝus	l o d͡ʒ u s
lojala	l o j a l a
lojto	l o i̯ t o
lojtoj	l o i̯ t o i̯
lojtojn	l o i̯ t o i̯ n
lojton	l o i̯ t o n
loĵbana	l o ʒ b a n a
loĵbanaj	l o ʒ b a n a i̯
loĵbanajn	l o ʒ b a n a i̯ n
loĵbanan	l o ʒ b a n a n
loĵbane	l o ʒ b a n e
loĵbanisto	l o ʒ b a n i s t o
Loĵbano	l o ʒ b a n o
Loĵbanujo	l o ʒ b a n u j o
loka	l o k a
lokaj	l o k a i̯
lokajn	l o k a i̯ n
lokan	l o k a n
lokigi	l o k i ɡ i
lokiĝi	l o k i d͡ʒ i
loko	l o k o
lokoj	l o k o i̯
lokomobilo	l o k o m o b i l o
lokomotivo	l o k o m o t i v o
lokusto	l o k u s t o
lombardejo	l o m b a r d e j o
Lomeo	l o m e o
londonano	l o n d o n a n o
Londono	l o n d o n o
longa	l o n ɡ a
longaj	l o n ɡ a i̯
longajn	l o n ɡ a i̯ n
longan	l o n ɡ a n
longatempe	l o n ɡ a t e m p e
longe	l o n ɡ e
longigi	l o n ɡ i ɡ i
longiĝi	l o n ɡ i d͡ʒ i
longitudo	l o n ɡ i t u d o
longo	l o n ɡ o
lonicero	l o n i t͡s e r o
lontana	l o n t a n a
lontanaj	l o n t a n a i̯
lontanajn	l o n t a n a i̯ n
lontanan	l o n t a n a n
lordo	l o r d o
Loreno	l o r e n o
lorneto	l o r n e t o
lorno	l o r n o
loterio	l o t e r i o
loti	l o t i
lotumi	l o t u m i
lotusnimfeo	l o t u s n i m f e o
lotuso	l o t u s o
Loveno	l o v e n o
loza	l o z a
lozaj	l o z a i̯
lozajn	l o z a i̯ n
lozan	l o z a n
lozanĝo	l o z a n d͡ʒ o
loze	l o z e
Luando	l u a n d o
Luandon	l u a n d o n
luanto	l u a n t o
luas	l u a s
lubrikado	l u b r i k a d o
lubrikaĵo	l u b r i k a ʒ o
lubriki	l u b r i k i
lucerno	l u t͡s e r n o
Lucerno	l u t͡s e r n o
luciferazo	l u t͡s i f e r a z o
luciferazoj	l u t͡s i f e r a z o i̯
luciferazojn	l u t͡s i f e r a z o i̯ n
luciferazon	l u t͡s i f e r a z o n
luciferino	l u t͡s i f e r i n o
ludanta	l u d a n t a
ludanto	l u d a n t o
ludas	l u d a s
ludata	l u d a t a
ludeco	l u d e t͡s o
ludejo	l u d e j o
ludi	l u d i
ludilo	l u d i l o
ludinta	l u d i n t a
ludis	l u d i s
ludistino	l u d i s t i n o
ludisto	l u d i s t o
ludita	l u d i t a
ludkartaro	l u d k a r t a r o
ludkartaroj	l u d k a r t a r o i̯
ludkartarojn	l u d k a r t a r o i̯ n
ludkartaron	l u d k a r t a r o n
ludkarto	l u d k a r t o
ludkartoj	l u d k a r t o i̯
ludkartojn	l u d k a r t o i̯ n
ludkarton	l u d k a r t o n
ludkubo	l u d k u b o
ludlisto	l u d l i s t o
ludlistoj	l u d l i s t o i̯
ludlistojn	l u d l i s t o i̯ n
ludliston	l u d l i s t o n
ludo	l u d o
ludoj	l u d o i̯
ludoni	l u d o n i
ludonta	l u d o n t a
ludos	l u d o s
ludota	l u d o t a
ludoteorio	l u d o t e o r i o
ludpluredro	l u t p l u r e d r o
ludpluredro	l u d p l u r e d r o
ludu	l u d u
ludus	l u d u s
lui	l u i
luiganto	l u i ɡ a n t o
luigi	l u i ɡ i
luis	l u i s
Luiziano	l u i z i a n o
luko	l u k o
lukoj	l u k o i̯
lukojn	l u k o i̯ n
lukon	l u k o n
lukra	l u k r a
lukraj	l u k r a i̯
lukrajn	l u k r a i̯ n
lukran	l u k r a n
lukras	l u k r a s
lukri	l u k r i
lukris	l u k r i s
lukro	l u k r o
lukron	l u k r o n
lukros	l u k r o s
lukru	l u k r u
lukrus	l u k r u s
luksa	l u k s a
luksaj	l u k s a i̯
luksajn	l u k s a i̯ n
luksaĵo	l u k s a ʒ o
luksan	l u k s a n
Luksemburgio	l u k s e m b u r ɡ i o
Luksemburgo	l u k s e m b u r ɡ o
Luksemburgon	l u k s e m b u r ɡ o n
lukso	l u k s o
luksoj	l u k s o i̯
luksojn	l u k s o i̯ n
lukson	l u k s o n
lukti	l u k t i
lukto	l u k t o
lukumo	l u k u m o
lulas	l u l a s
luli	l u l i
lulilo	l u l i l o
lulis	l u l i s
lulkanto	l u l k a n t o
lulkantoj	l u l k a n t o i̯
lulkantojn	l u l k a n t o i̯ n
lulkanton	l u l k a n t o n
lulos	l u l o s
lulu	l u l u
lulus	l u l u s
luma	l u m a
lumaj	l u m a i̯
lumajn	l u m a i̯ n
luman	l u m a n
lumas	l u m a s
lumbaĵo	l u m b a ʒ o
lumbo	l u m b o
lumboj	l u m b o i̯
lumbojn	l u m b o i̯ n
lumbon	l u m b o n
lumbotuko	l u m b o t u k o
lumbriko	l u m b r i k o
lumglavo	l u m ɡ l a v o
lumgravuro	l u m ɡ r a v u r o
lumi	l u m i
lumigi	l u m i ɡ i
lumigo	l u m i ɡ o
lumiĝi	l u m i d͡ʒ i
lumineska	l u m i n e s k a
lumineskaj	l u m i n e s k a i̯
lumineskajn	l u m i n e s k a i̯ n
lumineskaĵo	l u m i n e s k a ʒ o
lumineskaĵoj	l u m i n e s k a ʒ o i̯
lumineskaĵojn	l u m i n e s k a ʒ o i̯ n
lumineskaĵon	l u m i n e s k a ʒ o n
lumineskan	l u m i n e s k a n
lumineski	l u m i n e s k i
luminesko	l u m i n e s k o
lumineskon	l u m i n e s k o n
lumis	l u m i s
lumjaro	l u m j a r o
lumjaroj	l u m j a r o i̯
lumo	l u m o
lumoj	l u m o i̯
lumojn	l u m o i̯ n
lumon	l u m o n
lumorgano	l u m o r ɡ a n o
lumorganoj	l u m o r ɡ a n o i̯
lumorganojn	l u m o r ɡ a n o i̯ n
lumorganon	l u m o r ɡ a n o n
lumos	l u m o s
lumrapideco	l u m r a p i d e t͡s o
lumrapidecon	l u m r a p i d e t s o n
lumŝirmilo	l u m ʃ i r m i l o
lumturo	l u m t u r o
lumturoj	l u m t u r o i̯
lumturojn	l u m t u r o i̯ n
lumturon	l u m t u r o n
lumu	l u m u
lumus	l u m u s
luna	l u n a
lunaj	l u n a i̯
lunajn	l u n a i̯ n
lunan	l u n a n
lunarco	l u n a r t͡s o
lunarcoj	l u n a r t͡s o i̯
lunarcojn	l u n a r t͡s o i̯ n
lunarcon	l u n a r t͡s o n
lunatika	l u n a t i k a
lunatiko	l u n a t i k o
lunĉas	l u n t͡ʃ a s
lunĉi	l u n t͡ʃ i
lunĉis	l u n t͡ʃ i s
lunĉo	l u n t͡ʃ o
lunĉoj	l u n t͡ʃ o i̯
lunĉojn	l u n t͡ʃ o i̯ n
lunĉon	l u n t͡ʃ o n
lunĉos	l u n t͡ʃ o s
lunĉu	l u n t͡ʃ u
lunĉus	l u n t͡ʃ u s
lunde	l u n d e
lundo	l u n d o
lunlumita	l u n l u m i t a
lunlumo	l u n l u m o
lunlumon	l u n l u m o n
luno	l u n o
Luno	l u n o
lunoj	l u n o i̯
lunojn	l u n o i̯ n
lunon	l u n o n
luo	l u o
luos	l u o s
lupa	l u p a
lupaj	l u p a i̯
lupajn	l u p a i̯ n
lupan	l u p a n
luparo	l u p a r o
lupeo	l u p e o
lupfantomo	l u p f a n t o m o
lupfantomon	l u p f a n t o m o n
lupfiŝo	l u p f i ʃ o
lupfiŝoj	l u p f i ʃ o i̯
lupfiŝojn	l u p f i ʃ o i̯ n
lupfiŝon	l u p f i ʃ o n
lupido	l u p i d o
lupino	l u p i n o
lupinon	l u p i n o n
lupo	l u p o
Lupo	l u p o
lupoj	l u p o i̯
lupojn	l u p o i̯ n
lupolo	l u p o l o
lupon	l u p o n
lupuso	l u p u s o
Lusako	l u s a k o
lusoldato	l u s o l d a t o
lustro	l u s t r o
lustroj	l u s t r o i̯
lustrojn	l u s t r o i̯ n
lustron	l u s t r o n
lutas	l u t a s
lutecio	l u t e t͡s i o
luteino	l u t e i n o
luterana	l u t e r a n a
luterano	l u t e r a n o
Lutero	l u t e r o
luti	l u t i
lutilo	l u t i l o
lutis	l u t i s
lutos	l u t o s
lutra	l u t r a
lutreolo	l u t r e o l o
lutro	l u t r o
lutroj	l u t r o i̯
lutrojn	l u t r o i̯ n
lutron	l u t r o n
lutu	l u t u
lutus	l u t u s
luu	l u u
luus	l u u s
luzerno	l u z e r n o
Lvivo	l v i v o
Lvovo	l v o v o
m	m
m	m o
maceri	m a t͡s e r i
maco	m a t͡s o
macoj	m a t͡s o i̯
macojn	m a t͡s o i̯ n
macon	m a t͡s o n
maĉeto	m a t͡ʃ e t o
maĉetoj	m a t͡ʃ e t o i̯
maĉetojn	m a t͡ʃ e t o i̯ n
maĉeton	m a t͡ʃ e t o n
maĉgumo	m a t͡ʃ ɡ u m o
maĉgumojn	m a t͡ʃ ɡ u m o i̯ n
maĉi	m a t͡ʃ i
maĉismo	m a t͡ʃ i s m o
maĉo	m a t͡ʃ o
maĉstomako	m a t͡ʃ s t o m a k o
Madagaskaro	m a d a ɡ a s k a r o
madamo	m a d a m o
madono	m a d o n o
Madrido	m a d r i d o
madzo	m a d͡z o
mafino	m a f i n o
mafio	m a f i o
Mafio	m a f i o
magazeno	m a ɡ a z e n o
magazino	m a ɡ a z i n o
magenta	m a ɡ e n t a
magia	m a ɡ i a
magiaj	m a ɡ i a i̯
magiajn	m a ɡ i a i̯ n
magiaĵo	m a ɡ i a ʒ o
magian	m a ɡ i a n
magie	m a ɡ i e
magiistino	m a ɡ i i s t i n o
magiisto	m a ɡ i i s t o
magio	m a ɡ i o
magistrato	m a ɡ i s t r a t o
magmo	m a ɡ m o
magmoj	m a ɡ m o i̯
magmojn	m a ɡ m o i̯ n
magmon	m a ɡ m o n
magnato	m a ɡ n a t o
magneta	m a ɡ n e t a
magnetan	m a ɡ n e t a n
magnetigi	m a ɡ n e t i ɡ i
magnetismo	m a ɡ n e t i s m o
magneto	m a ɡ n e t o
magnetofono	m a ɡ n e t o f o n o
magnetoj	m a ɡ n e t o i̯
magnetojn	m a ɡ n e t o i̯ n
magneton	m a ɡ n e t o n
magnezio	m a ɡ n e z i o
mago	m a ɡ o
Magrebo	m a ɡ r e b o
maĝango	m a d͡ʒ a n ɡ o
mahagono	m a h a ɡ o n o
mahometano	m a h o m e t a n o
Mahometo	m a h o m e t o
Maĥnovŝĉino	m a x n o v ʃ t͡ʃ i n o
maizfloko	m a i z f l o k o
maizflokoj	m a i z f l o k o i̯
maizflokojn	m a i z f l o k o i̯ n
maizflokon	m a i z f l o k o n
maizkampo	m a i z k a m p o
maizkampoj	m a i z k a m p o i̯
maizkampojn	m a i z k a m p o i̯ n
maizkampon	m a i z k a m p o n
maizo	m a i z o
maizpano	m a i z p a n o
Majenco	m a j e n t͡s o
majesta	m a j e s t a
Majno	m a i̯ n o
Majnon	m a i̯ n o n
majo	m a j o
Majo	m a j o
majoliko	m a j o l i k o
majonezo	m a j o n e z o
majoro	m a j o r o
Majoto	m a j o t o
majstre	m a i̯ s t r e
majstro	m a i̯ s t r o
majstroj	m a i̯ s t r o i̯
majstrojn	m a i̯ s t r o i̯ n
majstron	m a i̯ s t r o n
majstroverko	m a i̯ s t r o v e r k o
majŝo	m a i̯ ʃ o
majŝoj	m a i̯ ʃ o i̯
majŝojn	m a i̯ ʃ o i̯ n
majŝon	m a i̯ ʃ o n
majuskla	m a j u s k l a
majusklaj	m a j u s k l a i̯
majusklajn	m a j u s k l a i̯ n
majusklan	m a j u s k l a n
majuskleto	m a j u s k l e t o
majusklo	m a j u s k l o
majuskloj	m a j u s k l o i̯
majusklojn	m a j u s k l o i̯ n
majusklon	m a j u s k l o n
makabra	m a k a b r a
makabraj	m a k a b r a i̯
makabrajn	m a k a b r a i̯ n
makabran	m a k a b r a n
makadamo	m a k a d a m o
makajro	m a k a i̯ r o
makajroj	m a k a i̯ r o i̯
makajrojn	m a k a i̯ r o i̯ n
makajron	m a k a i̯ r o n
makako	m a k a k o
Makao	m a k a o
makaronioj	m a k a r o n i o i̯
Makedonio	m a k e d o n i o
Makemako	m a k e m a k o
makleri	m a k l e r i
makleristo	m a k l e r i s t o
makrokosmo	m a k r o k o s m o
maksimo	m a k s i m o
maksimuma	m a k s i m u m a
maksimumaj	m a k s i m u m a i̯
maksimumajn	m a k s i m u m a i̯ n
maksimuman	m a k s i m u m a n
maksimume	m a k s i m u m e
maksimumo	m a k s i m u m o
makuli	m a k u l i
makulita	m a k u l i t a
makulo	m a k u l o
makulu	m a k u l u
makulus	m a k u l u s
makzelo	m a k z e l o
mala	m a l a
Malabo	m a l a b o
Malabon	m a l a b o n
malaboni	m a l a b o n i
malabrupta	m a l a b r u p t a
malabrupte	m a l a b r u p t e
malabunda	m a l a b u n d a
malabundaj	m a l a b u n d a i̯
malabundajn	m a l a b u n d a i̯ n
malabundan	m a l a b u n d a n
malabundo	m a l a b u n d o
malabundoj	m a l a b u n d o i̯
malabundojn	m a l a b u n d o i̯ n
malabundon	m a l a b u n d o n
malaĉa	m a l a t͡ʃ a
malafabla	m a l a f a b l a
malafablaj	m a l a f a b l a i̯
malafablajn	m a l a f a b l a i̯ n
malafablan	m a l a f a b l a n
malafable	m a l a f a b l e
malagnoskas	m a l a ɡ n o s k a s
malagnoski	m a l a ɡ n o s k i
malagnoskis	m a l a ɡ n o s k i s
malagnoskos	m a l a ɡ n o s k o s
malagnosku	m a l a ɡ n o s k u
malagnoskus	m a l a ɡ n o s k u s
malagrabla	m a l a ɡ r a b l a
malagrablaj	m a l a ɡ r a b l a i̯
malagrablajn	m a l a ɡ r a b l a i̯ n
malagrablaĵo	m a l a ɡ r a b l a ʒ o
malagrablaĵoj	m a l a ɡ r a b l a ʒ o i̯
malagrablaĵojn	m a l a ɡ r a b l a ʒ o i̯ n
malagrablaĵon	m a l a ɡ r a b l a ʒ o n
