ஃ	ɐ hᵄ
நெற்றி	n̪ e rː i
நெல்லி	n̪ e l l i
நெளை	n̪ e ɭ a ɪ̯
நேசி	n̪ eː t͡ɕ i
நேத்து	n̪ eː t̪ː u
நேரப்பட	n̪ eː ɾ ɐ pː ɐ ɖ ɐ
நேரம்	n̪ eː ɾ ɐ m
நேர்ச்சி	n̪ eː ɾ t͡ɕː i
நேர்த்தி	n̪ eː ɾ t̪ː i
நேர்பாடு	n̪ eː ɾ b aː ɖ u
நேர்முகத்தேர்வு	n̪ eː ɾ m u ɡ ɐ t̪ː eː ɾ ʋ u
நேர்மை	n̪ eː ɾ m a ɪ̯
நேர்விடை	n̪ eː ɾ ʋ i ɖ a ɪ̯
நேர்வு	n̪ eː ɾ ʋ u
நேற்று	n̪ eː rː u
நேற்று	n̪ eː ʈː u
நேற்றுமுந்தாநாள்	n̪ eː rː u m u n̪ d̪ aː n̪ aː ɭ
நேற்றையதினம்	n̪ eː rː a ɪ̯ j ɐ d̪ i n ɐ m
நைட்ரஜன்	n̪ a ɪ̯ ʈ ɾ ɐ d͡ʑ ɐ n
நைனா	n̪ a ɪ̯ n aː
நொடி	n̪ o ɖ i
நொடிப்பு	n̪ o ɖ i pː u
நொர்ஸ்க்	n̪ o ɾ s k
நொறுக்கு	n̪ o r u kː u
நொறுங்கு	n̪ o r u ŋ ɡ u
நோக்காடு	n̪ oː kː aː ɖ u
நோக்கு	n̪ oː kː u
நோண்டு	n̪ oː ɳ ɖ u
நோன்பு	n̪ oː n b u
நோய்	n̪ oː j
ந்	i n̪ d̪
ந்	i n̪ d̪ ɯ
ந்	n̪
ன	n ɐ
ன்	n
ப	p ɐ
பஃறி	p ɐ ɦ r i
பகடி	p ɐ ɡ ɐ ɖ i
பகடையாட்டம்	p ɐ ɡ ɐ ɖ a ɪ̯ j aː ʈː ɐ m
பகதத்தன்	p ɐ ɡ ɐ d̪ ɐ t̪ː ɐ n
பகன்	p ɐ ɡ ɐ n
பகரம்	p ɐ ɡ ɐ ɾ ɐ m
பகர்	p ɐ ɡ ɐ ɾ
பகர்ச்சி	p ɐ ɡ ɐ ɾ t͡ɕː i
பகர்த்து	p ɐ ɡ ɐ ɾ t̪ː u
பகல்	p ɐ ɡ ɐ l
பகவான்	b ɐ ɡ ɐ ʋ aː n
பகு	p ɐ ɡ u
பகுதி	p ɐ ɡ u d̪ i
பகுத்தறிவு	p ɐ ɡ u t̪ː ɐ r i ʋ u
பகுத்தல்	p ɐ ɡ u t̪ː ɐ l
பகுப்பாய்வு	p ɐ ɡ u pː aː j ʋ u
பகை	p ɐ ɡ a ɪ̯
பகைவன்	p ɐ ɡ a ɪ̯ ʋ ɐ n
பக்கம்	p ɐ kː ɐ m
பக்குவம்	p ɐ kː u ʋ ɐ m
பக்குவாசயம்	p ɐ kː u ʋ aː t͡ɕ ɐ j ɐ m
பக்தி	b ɐ k t̪ i
பக்ரித்	b ɐ k ɾ i t̪
பக்ஷி	p ɐ k ʂ i
பங்கம்	p ɐ ŋ ɡ ɐ m
பங்களா	b ɐ ŋ ɡ ɐ ɭ aː
பங்களி	p ɐ ŋ ɡ ɐ ɭ i
பங்களிப்பு	p ɐ ŋ ɡ ɐ ɭ i pː u
பங்குனி	p ɐ ŋ ɡ u n i
பங்குரம்	p ɐ ŋ ɡ u ɾ ɐ m
பசலிப்பழம்	p ɐ t͡ɕ ɐ l i pː ɐ ɻ ɐ m
பசளி	p ɐ t͡ɕ ɐ ɭ i
பசி	p ɐ t͡ɕ i
பசியம்	p ɐ t͡ɕ i j ɐ m
பசியாறை	p ɐ t͡ɕ i j aː r a ɪ̯
பசு	p ɐ t͡ɕ u
பசுங்கோலா	p ɐ t͡ɕ u ŋ ɡ oː l aː
பசுப்பு	p ɐ t͡ɕ u pː u
பசுமுன்னை	p ɐ t͡ɕ u m u nː a ɪ̯
பசுமை	p ɐ t͡ɕ u m a ɪ̯
பசை	p ɐ t͡ɕ a ɪ̯
பச்சிலை	p ɐ t͡ɕː i l a ɪ̯
பச்சுளி	p ɐ t͡ɕː u ɭ i
பச்சை	p ɐ t͡ɕː a ɪ̯
பச்சைக்கல்	p ɐ t͡ɕː a ɪ̯ kː ɐ l
பச்சோந்தி	p ɐ t͡ɕː oː n̪ d̪ i
பச்சோந்திகள்	p ɐ t͡ɕː oː n̪ d̪ i ɡ ɐ ɭ
பஞ்சம்	p ɐ ɲ d͡ʑ ɐ m
பஞ்சரம்	p ɐ ɲ d͡ʑ ɐ ɾ ɐ m
பஞ்சாப்	p ɐ ɲ d͡ʑ aː p
பஞ்சாயத்து	p ɐ ɲ d͡ʑ aː j ɐ t̪ː u
பஞ்சு	p ɐ ɲ d͡ʑ u
பஞ்சை	p ɐ ɲ d͡ʑ a ɪ̯
படகு	p ɐ ɖ ɐ ɡ u
படங்கள்	p ɐ ɖ ɐ ŋ ɡ ɐ ɭ
படப்பு	p ɐ ɖ ɐ pː u
படப்பை	p ɐ ɖ ɐ pː a ɪ̯
படமி	p ɐ ɖ ɐ m i
படமிகள்	p ɐ ɖ ɐ m i ɡ ɐ ɭ
படம்	p ɐ ɖ ɐ m
படல்	p ɐ ɖ ɐ l
படி	p ɐ ɖ i
படிக்காரம்	p ɐ ɖ i kː aː ɾ ɐ m
படிப்பறிவு	p ɐ ɖ i pː ɐ r i ʋ u
படிப்பு	p ɐ ɖ i pː u
படிமம்	p ɐ ɖ i m ɐ m
படிவம்	p ɐ ɖ i ʋ ɐ m
படு	p ɐ ɖ u
படுகுழி	p a ɖ u k u ɻ i
படுகை	p ɐ ɖ u ɡ a ɪ̯
படுக்கை	p ɐ ɖ u kː a ɪ̯
படுக்கைகள்	p ɐ ɖ u kː a ɪ̯ ɡ ɐ ɭ
படுத்து	p ɐ ɖ u t̪ː u
படை	p ɐ ɖ a ɪ̯
படைப்பு	p ɐ ɖ a ɪ̯ pː u
படையாளன்	p ɐ ɖ a ɪ̯ j aː ɭ ɐ n
பட்சி	p ɐ ʈ t͡ɕ i
பட்டணம்	p ɐ ʈː ɐ ɳ ɐ m
பட்டபோது	p a ʈː a p oː d̪ u
பட்டபோது	p ɐ ʈː ɐ p oː d̪ ɯ
பட்டாணி	p ɐ ʈː aː ɳ i
பட்டாம்பூச்சி	p ɐ ʈː aː m b uː t͡ɕː i
பட்டாம்பூச்சிகள்	p ɐ ʈː aː m b uː t͡ɕː i ɡ ɐ ɭ
பட்டி	p ɐ ʈː i
பட்டினி	p ɐ ʈː i n i
பட்டு	p ɐ ʈː u
பட்டுப்பூச்சி	p ɐ ʈː u pː uː t͡ɕː i
பட்டை	p ɐ ʈː a ɪ̯
பணப்பை	p ɐ ɳ ɐ pː a ɪ̯
பணம்	p ɐ ɳ ɐ m
பணவன்	p ɐ ɳ ɐ ʋ ɐ n
பணவீக்கம்	p ɐ ɳ ɐ ʋ iː kː ɐ m
பணாகரம்	p ɐ ɳ aː ɡ ɐ ɾ ɐ m
பணி	p ɐ ɳ i
பணிகோள்	p ɐ ɳ i ɡ oː ɭ
பணிக்கன்	p ɐ ɳ i kː ɐ n
பணிதி	p ɐ ɳ i d̪ i
பணிமுட்டு	p ɐ ɳ i m u ʈː u
பணியாரம்	p ɐ ɳ i j aː ɾ ɐ m
பணிவு	p ɐ ɳ i ʋ u
பணையம்	p ɐ ɳ a ɪ̯ j ɐ m
பண்டபதார்த்தம்	p ɐ ɳ ɖ ɐ b ɐ d̪ aː ɾ t̪ː ɐ m
பண்டம்	p ɐ ɳ ɖ ɐ m
பண்டாரம்	p ɐ ɳ ɖ aː ɾ ɐ m
பண்டாரவாய்க்கால்	p ɐ ɳ ɖ aː ɾ ɐ ʋ aː j kː aː l
பண்டிகை	p ɐ ɳ ɖ i ɡ a ɪ̯
பண்டிதன்	p ɐ ɳ ɖ i d̪ ɐ n
பண்டிதம்	p ɐ ɳ ɖ i d̪ ɐ m
பண்ணவன்	p ɐ ɳː ɐ ʋ ɐ n
பண்ணு	p ɐ ɳː u
பண்ணை	p ɐ ɳː a ɪ̯
பண்பாடு	p ɐ ɳ b aː ɖ u
பண்பு	p ɐ ɳ b u
பதக்கம்	p ɐ d̪ ɐ kː ɐ m
பதப்படுத்து	p ɐ d̪ ɐ pː ɐ ɖ u t̪ː u
பதற்றம்	p ɐ d̪ ɐ rː ɐ m
பதலை	p ɐ d̪ ɐ l a ɪ̯
பதவி	p ɐ d̪ ɐ ʋ i
பதாகை	p ɐ d̪ aː ɡ a ɪ̯
பதி	p ɐ d̪ i
பதினான்கு	p ɐ d̪ i n aː n ɡ u
பதினாறு	p ɐ d̪ i n aː r u
பதினெட்டு	p ɐ d̪ i n e ʈː u
பதினேழு	p ɐ d̪ i n eː ɻ u
பதினைந்து	p ɐ d̪ i n a ɪ̯ n̪ d̪ u
பதினொன்று	p ɐ d̪ i n o n r u
பதிப்பகம்	p ɐ d̪ i pː ɐ ɡ ɐ m
பதிப்பு	p ɐ d̪ i pː u
பதிப்புரிமை	p ɐ d̪ i pː u ɾ i m a ɪ̯
பதிமுகம்	p ɐ d̪ i m u ɡ ɐ m
பதிமூன்று	p ɐ d̪ i m uː n r u
பதியம்	p ɐ d̪ i j ɐ m
பதில்	b ɐ d̪ i l
பதில்	p ɐ d̪ i l
பதிவகம்	p ɐ d̪ i ʋ ɐ ɡ ɐ m
பதிவிறக்கம்	p ɐ d̪ i ʋ i r ɐ kː ɐ m
பதிவு	p ɐ d̪ i ʋ u
பதிவேற்றம்	p ɐ d̪ i ʋ eː rː ɐ m
பதுமம்	p ɐ d̪ u m ɐ m
பத்ததி	p ɐ t̪ː ɐ d̪ i
பத்தனம்திட்டா	p ɐ t̪ː ɐ n ɐ m t̪ i ʈː aː
பத்தர்	p ɐ t̪ː ɐ ɾ
பத்தா	p ɐ t̪ː aː
பத்தி	p ɐ t̪ː i
பத்தினி	p ɐ t̪ː i n i
பத்திமை	p ɐ t̪ː i m a ɪ̯
பத்தியம்	p ɐ t̪ː i j ɐ m
பத்து	p ɐ t̪ː u
பத்துப்பாட்டு	p ɐ t̪ː u pː aː ʈː u
பத்தொன்பது	p ɐ t̪ː o n b ɐ d̪ u
பந்தனம்	p ɐ n̪ d̪ ɐ n ɐ m
பந்தர்	p ɐ n̪ d̪ ɐ ɾ
பந்தா	b ɐ n̪ d̪ aː
பந்து	p ɐ n̪ d̪ u
பனாயிப்பு	p ɐ n aː j i pː u
பனி	p ɐ n i
பனிக்காற்று	p ɐ n i kː aː rː u
பனிக்கூழ்	p ɐ n i kː uː ɻ
பனிமூட்டம்	p ɐ n i m uː ʈː ɐ m
பனியன்	b ɐ n i j ɐ n
பனியன்கள்	p ɐ n i j ɐ n ɡ ɐ ɭ
பனை	p ɐ n a ɪ̯
பன்னாட்டு	p ɐ nː aː ʈː u
பன்னி	p ɐ nː i
பன்னிரண்டு	p ɐ nː i ɾ ɐ ɳ ɖ u
பன்னீர்	p ɐ nː iː ɾ
பன்றி	p ɐ n r i
பன்றிக்குட்டி	p ɐ n r i kː u ʈː i
பப்பாளி	p ɐ pː aː ɭ i
பம்பரம்	b ɐ m b ɐ ɾ ɐ m
பம்பரம்	p ɐ m b ɐ ɾ ɐ m
பம்பை	p ɐ m b a ɪ̯
பயணம்	p ɐ j ɐ ɳ ɐ m
பயணி	p ɐ j ɐ ɳ i
பயனர்	p ɐ j ɐ n ɐ ɾ
பயன்	p ɐ j ɐ n
பயன்படு	p ɐ j ɐ n b ɐ ɖ u
பயன்பாடு	p ɐ j ɐ n b aː ɖ u
பயப்படு	b ɐ j ɐ pː ɐ ɖ u
பயமுறுத்து	b ɐ j ɐ m u r u t̪ː u
பயம்	p ɐ j ɐ m
பயிரடைப்பு	p ɐ j i ɾ ɐ ɖ a ɪ̯ pː u
பயிரிடு	p ɐ j i ɾ i ɖ u
பயிருழவு	p ɐ j i ɾ u ɻ ɐ ʋ u
பயிர்	p ɐ j i ɾ
பயிர்க்குடி	p ɐ j i ɾ kː u ɖ i
பயிர்க்குழி	p ɐ j i ɾ kː u ɻ i
பயிர்ச்செலவு	p ɐ j i ɾ t͡ɕː e l ɐ ʋ u
பயிர்த்தொழில்	p ɐ j i ɾ t̪ː o ɻ i l
பயிர்வழி	p ɐ j i ɾ ʋ ɐ ɻ i
பயிற்சி	p ɐ j i r t͡ɕ i
பயிற்சியாளர்	p ɐ j i r t͡ɕ i j aː ɭ ɐ ɾ
பயில்	p ɐ j i l
பய்யன்	p ɐ jː ɐ n
பரங்கி	p ɐ ɾ ɐ ŋ ɡ i
பரணி	p ɐ ɾ ɐ ɳ i
பரதநாட்டியம்	b ɐ ɾ ɐ d̪ ɐ n̪ aː ʈː i j ɐ m
பரதநாட்டியம்	p ɐ ɾ ɐ d̪ ɐ n̪ aː ʈː i j ɐ m
பரப்பு	p ɐ ɾ ɐ pː u
பரமபதம்	p ɐ ɾ ɐ m ɐ p ɐ d̪ ɐ m
பரம்பொருள்	p a ɾ̪ a m p o ɾ̪ u ɭ
பரலோகம்	p ɐ ɾ ɐ l oː ɡ ɐ m
பரவசம்	p ɐ ɾ ɐ ʋ ɐ t͡ɕ ɐ m
பரவல்	p ɐ ɾ ɐ ʋ ɐ l
பரவு	p ɐ ɾ ɐ ʋ u
பரவெளி	p ɐ ɾ ɐ ʋ e ɭ i
பராசக்தி	p ɐ ɾ aː t͡ɕ ɐ k t̪ i
பராமரி	p ɐ ɾ aː m ɐ ɾ i
பராமரிப்பு	p ɐ ɾ aː m ɐ ɾ i pː u
பரி	p ɐ ɾ i
பரிசில்	p ɐ ɾ i t͡ɕ i l
பரிசீலனை	p ɐ ɾ i t͡ɕ iː l ɐ n a ɪ̯
பரிசு	p ɐ ɾ i t͡ɕ u
பரிசுத்த	p ɐ ɾ i t͡ɕ u t̪ː ɐ
பரிசுத்தம்	p ɐ ɾ i t͡ɕ u t̪ː ɐ m
பரிசுத்தாவி	p ɐ ɾ i t͡ɕ u t̪ː aː ʋ i
பரிசோதனை	p ɐ ɾ i t͡ɕ oː d̪ ɐ n a ɪ̯
பரிட்சை	p ɐ ɾ i ʈ t͡ɕ a ɪ̯
பரிதானம்	p ɐ ɾ i d̪ aː n ɐ m
பரிதி	p ɐ ɾ i d̪ i
பரிதியம்	p ɐ ɾ i d̪ i j ɐ m
பரிமளம்	p ɐ ɾ i m ɐ ɭ ɐ m
பரிமாற்றம்	p ɐ ɾ i m aː rː ɐ m
பரிவாரம்	p ɐ ɾ i ʋ aː ɾ ɐ m
பரிவு	p ɐ ɾ i ʋ u
பரீட்சை	p ɐ ɾ iː ʈ t͡ɕ a ɪ̯
பருந்து	p ɐ ɾ u n̪ d̪ u
பருப்பதம்	p ɐ ɾ u pː ɐ d̪ ɐ m
பருப்பு	p ɐ ɾ u pː u
பருப்பொருள்	p ɐ ɾ u pː o ɾ u ɭ
பருவக்காற்று	p ɐ ɾ u ʋ ɐ kː aː rː u
பருவங்கள்	p ɐ ɾ u ʋ ɐ ŋ ɡ ɐ ɭ
பருவதம்	p ɐ ɾ u ʋ ɐ d̪ ɐ m
பருவமழை	p ɐ ɾ u ʋ ɐ m ɐ ɻ a ɪ̯
பருவுழவு	p ɐ ɾ u ʋ u ɻ ɐ ʋ u
பரோட்டா	b ɐ ɾ oː ʈː aː
பரோட்டா	p ɐ ɾ oː ʈː aː
பர்ணம்	p ɐ ɾ ɳ ɐ m
பர்வதம்	p ɐ ɾ ʋ ɐ d̪ ɐ m
பற	p ɐ r ɐ
பறக்கும்தட்டு	p ɐ r ɐ kː u m t̪ ɐ ʈː u
பறந்தலை	p ɐ r ɐ n̪ d̪ ɐ l a ɪ̯
பறப்பன்	p ɐ r ɐ pː ɐ n
பறவை	p ɐ r ɐ ʋ a ɪ̯
பறவையியல்	p ɐ r ɐ ʋ a ɪ̯ j i j ɐ l
பறி	p ɐ r i
பறை	p ɐ r a ɪ̯
பற்கள்	p ɐ r k ɐ ɭ
பற்தூரிகை	p ɐ r t̪ uː ɾ i ɡ a ɪ̯
பற்பசை	p ɐ r p ɐ t͡ɕ a ɪ̯
பற்றவை	p ɐ rː ɐ ʋ a ɪ̯
பற்றாக்குறை	p ɐ rː aː kː u r a ɪ̯
பற்றி	p ɐ rː i
பல	p ɐ l ɐ
பலகை	p ɐ l ɐ ɡ a ɪ̯
பலப்பம்	p ɐ l ɐ pː ɐ m
பலம்	b ɐ l ɐ m
பலம்	p ɐ l ɐ m
பலர்	p ɐ l ɐ ɾ
பலவீனம்	b ɐ l ɐ ʋ iː n ɐ m
பலவு	p ɐ l ɐ ʋ u
பலா	p ɐ l aː
பலாசம்	p ɐ l aː t͡ɕ ɐ m
பலாப்பழம்	p ɐ l aː pː ɐ ɻ ɐ m
பலி	b ɐ l i
பலி	p ɐ l i
பலிகடா	p ɐ l i k ɐ ɖ aː
பலிபீடம்	b ɐ l i b iː ɖ ɐ m
பலுக்கல்	p ɐ l u kː ɐ l
பல்	p ɐ l
பல்கலைக்கழகம்	p ɐ l ɡ ɐ l a ɪ̯ kː ɐ ɻ ɐ ɡ ɐ m
பல்காலும்	p ɐ l ɡ aː l u m
பல்லக்கு	p ɐ l l ɐ kː u
பல்லணம்	p ɐ l l ɐ ɳ ɐ m
பல்லவர்	p ɐ l l ɐ ʋ ɐ ɾ
பல்லாண்டு	p ɐ l l aː ɳ ɖ u
பல்லி	b ɐ l l i
பல்லி	p ɐ l l i
பல்வலம்	p ɐ l ʋ ɐ l ɐ m
பல்வேறு	p ɐ l ʋ eː r u
பல்வைத்தியன்	p ɐ l ʋ a ɪ̯ t̪ː i j ɐ n
பளகு	p ɐ ɭ ɐ ɡ u
பளக்கு	p ɐ ɭ ɐ kː u
பளபள	p a ɭ a p a ɭ a
பளிச்சிடு	p ɐ ɭ i t͡ɕː i ɖ u
பளு	p ɐ ɭ u
பள்ளக்குடி	p ɐ ɭː ɐ kː u ɖ i
பள்ளத்தாக்கு	p ɐ ɭː ɐ t̪ː aː kː u
பள்ளம்	p ɐ ɭː ɐ m
பள்ளி	p ɐ ɭː i
பள்ளிக்கல்வி	p ɐ ɭː i kː ɐ l ʋ i
பள்ளிக்கூடம்	p ɐ ɭː i kː uː ɖ ɐ m
பள்ளிவாசல்	p ɐ ɭː i ʋ aː t͡ɕ ɐ l
பழகு	p ɐ ɻ ɐ ɡ u
பழக்கம்	p ɐ ɻ ɐ kː ɐ m
பழச்சாறு	p ɐ ɻ ɐ t͡ɕː aː r u
பழந்தமிழ்	p ɐ ɻ ɐ n̪ d̪ ɐ m i ɻ
பழமை	p ɐ ɻ ɐ m a ɪ̯
பழமொழி	p ɐ ɻ ɐ m o ɻ i
பழம்	p ɐ ɻ ɐ m
பழம்பாடம்	p ɐ ɻ ɐ m b aː ɖ ɐ m
பழிச்சு	p ɐ ɻ i t͡ɕː u
பழீயம்	p ɐ ɻ iː j ɐ m
பழு	p ɐ ɻ u
பழுது	p ɐ ɻ u d̪ u
பழுவம்	p ɐ ɻ u ʋ ɐ m
பழைய	p ɐ ɻ a ɪ̯ j ɐ
பவளங்கள்	p ɐ ʋ ɐ ɭ ɐ ŋ ɡ ɐ ɭ
பவளப்பாறை	p ɐ ʋ ɐ ɭ ɐ pː aː r a ɪ̯
பவளம்	p ɐ ʋ ɐ ɭ ɐ m
பவழம்	p ɐ ʋ ɐ ɻ ɐ m
பவிகம்	p ɐ ʋ i ɡ ɐ m
பவிஷு	p ɐ ʋ i ʂ u
பவுல்	p ɐ ʋ u l
பவ்வம்	p ɐ ʋː ɐ m
பாகம்	b aː ɡ ɐ m
பாகம்	p aː ɡ ɐ m
பாகற்காய்	p aː ɡ ɐ r k aː j
பாகு	p aː ɡ u
பாசம்	p aː t͡ɕ ɐ m
பாசி	p aː t͡ɕ i
பாசுரம்	p aː t͡ɕ u ɾ ɐ m
பாசை	b aː t͡ɕ a ɪ̯
பாசை	p aː t͡ɕ a ɪ̯
பாடகர்	p aː ɖ ɐ ɡ ɐ ɾ
பாடசாலை	p aː ɖ ɐ t͡ɕ aː l a ɪ̯
பாடணம்	p aː ɖ ɐ ɳ ɐ m
பாடம்	p aː ɖ ɐ m
பாடம்போற்று	p aː ɖ ɐ m b oː rː u
பாடல்	p aː ɖ ɐ l
பாடு	p aː ɖ u
பாட்டன்	p aː ʈː ɐ n
பாட்டி	p aː ʈː i
பாட்டு	p aː ʈː u
பாணன்	b aː ɳ ɐ n
பாணன்	p aː ɳ ɐ n
பாணம்	b aː ɳ ɐ m
பாண்டிச்சேரி	p aː ɳ ɖ i t͡ɕː eː ɾ i
பாண்டியர்	p aː ɳ ɖ i j ɐ ɾ
பாதம்	p aː d̪ ɐ m
பாதலத்தாம்பி	p aː d̪ ɐ l ɐ t̪ː aː m b i
பாதாளம்	p aː d̪ aː ɭ ɐ m
பாதி	b aː d̪ i
பாதி	p aː d̪ i
பாதிச்சாமம்	p aː d̪ i t͡ɕː aː m ɐ m
பாதிடு	p aː d̪ i ɖ u
பாதிப்பு	b aː d̪ i pː u
பாதிரியார்	p aː d̪ i ɾ i j aː ɾ
பாதுகா	p aː d̪ u ɡ aː
பாதுகாப்பு	p aː d̪ u ɡ aː pː u
பாதை	p aː d̪ a ɪ̯
பாதைகள்	p aː d̪ a ɪ̯ ɡ ɐ ɭ
பாத்திரம்	p aː t̪ː i ɾ ɐ m
பானம்	b aː n ɐ m
பானை	p aː n a ɪ̯
பாப்பா	p aː pː aː
பாம்பன்	p aː m b ɐ n
பாம்பாட்டி	p aː m b aː ʈː i
பாம்பு	p aː m b u
பாயசம்	p aː j ɐ t͡ɕ ɐ m
பாயா	p aː j aː
பாய்	p aː j
பாய்மரம்	p aː j m ɐ ɾ ɐ m
பாரசீகம்	p aː ɾ ɐ t͡ɕ iː ɡ ɐ m
பாரதம்	b aː ɾ ɐ d̪ ɐ m
பாரம்	b aː ɾ ɐ m
பாரம்	p aː ɾ ɐ m
பாரம்பரியம்	p aː ɾ ɐ m b ɐ ɾ i j ɐ m
பாராட்டு	p aː ɾ aː ʈː u
பாராளுமன்றம்	p aː ɾ aː ɭ u m ɐ n r ɐ m
பாரிசவாதம்	p aː ɾ i t͡ɕ ɐ ʋ aː d̪ ɐ m
பாரியை	p aː ɾ i j a ɪ̯
பாரிஸ்	p aː ɾ i s
பார்	p aː ɾ
பார்லி	p aː ɾ l i
பார்வை	p aː ɾ ʋ a ɪ̯
பார்வையாளர்	p aː ɾ ʋ a ɪ̯ j aː ɭ ɐ ɾ
பாறை	p aː r a ɪ̯
பாறையியல்	p aː r a ɪ̯ j i j ɐ l
பாற்கடல்	p aː r k ɐ ɖ ɐ l
பாற்பசு	p aː r p ɐ t͡ɕ u
பாலக்காடு	p aː l ɐ kː aː ɖ u
பாலாறு	p aː l aː r u
பாலினம்	p aː l i n ɐ m
பாலுறவு	p aː l u r ɐ ʋ u
பாலூட்டி	p aː l uː ʈː i
பாலூட்டிகள்	p aː l uː ʈː i ɡ ɐ ɭ
பாலை	p aː l a ɪ̯
பாலைவனம்	p aː l a ɪ̯ ʋ ɐ n ɐ m
பால்	p aː l
பால்புதுமை	p aː l b u d̪ u m a ɪ̯
பாழ்	p aː ɻ
பாவம்	p aː ʋ ɐ m
பாவிப்பு	p aː ʋ i pː u
பாஷை	b aː ʂ a ɪ̯
பாஷ்கொர்டொஸ்தான்	b aː ʂ k o ɾ ɖ o s t̪ aː n
பாஷ்தூ	p aː ʂ t̪ uː
பிகு	p i ɡ u
பிகுபண்ணு	p i ɡ u b ɐ ɳː u
பிகுப்பட்டை	p i ɡ u pː ɐ ʈː a ɪ̯
பிகுவேற்று	p i ɡ u ʋ eː rː u
பிக்ஷு	b i k ʂ u
பிங்கதிருட்டி	p i ŋ ɡ ɐ d̪ i ɾ u ʈː i
பிங்கம்	p i ŋ ɡ ɐ m
பிங்கலகேசி	p i ŋ ɡ ɐ l ɐ ɡ eː t͡ɕ i
பிங்கலம்	p i ŋ ɡ ɐ l ɐ m
பிங்கலை	p i ŋ ɡ ɐ l a ɪ̯
பிசகு	p i t͡ɕ ɐ ɡ u
பிசகுசொல்லு	p i t͡ɕ ɐ ɡ u t͡ɕ o l l u
பிசகுநாறு	p i t͡ɕ ɐ ɡ u n̪ aː r u
பிசக்கு	p i t͡ɕ ɐ kː u
பிசங்கம்	p i t͡ɕ ɐ ŋ ɡ ɐ m
பிசங்கற்சீலை	p i t͡ɕ ɐ ŋ ɡ ɐ r t͡ɕ iː l a ɪ̯
பிசங்கு	p i t͡ɕ ɐ ŋ ɡ u
பிசண்டம்	p i t͡ɕ ɐ ɳ ɖ ɐ m
பிசண்டிலன்	p i t͡ɕ ɐ ɳ ɖ i l ɐ n
பிசனம்	p i t͡ɕ ɐ n ɐ m
பிசம்	p i t͡ɕ ɐ m
பிசறு	p i t͡ɕ ɐ r u
பிசறுதல்	p i t͡ɕ ɐ r u d̪ ɐ l
பிசாசக்கை	p i t͡ɕ aː t͡ɕ ɐ kː a ɪ̯
பிசாசடித்தல்	p i t͡ɕ aː t͡ɕ ɐ ɖ i t̪ː ɐ l
பிசாசன்	p i t͡ɕ aː t͡ɕ ɐ n
பிசாசர்	p i t͡ɕ aː t͡ɕ ɐ ɾ
பிசாசாடுதல்	p i t͡ɕ aː t͡ɕ aː ɖ u d̪ ɐ l
பிசாசுபிடித்தல்	p i t͡ɕ aː t͡ɕ u b i ɖ i t̪ː ɐ l
பிசாத்து	p i t͡ɕ aː t̪ː u
பிசான்	p i t͡ɕ aː n
பிசி	p i t͡ɕ i
பிசிதாசனர்	p i t͡ɕ i d̪ aː t͡ɕ ɐ n ɐ ɾ
பிசினரக்கு	p i t͡ɕ i n ɐ ɾ ɐ kː u
பிசினரிசி	p i t͡ɕ i n ɐ ɾ i t͡ɕ i
பிசினி	p i t͡ɕ i n i
பிசின்	p i t͡ɕ i n
பிசின்பட்டை	p i t͡ɕ i n b ɐ ʈː a ɪ̯
பிசிர்தல்	p i t͡ɕ i ɾ d̪ ɐ l
பிசிறுலாடு	p i t͡ɕ i r u l aː ɖ u
பிசுகு	p i t͡ɕ u ɡ u
பிசுகுதல்	p i t͡ɕ u ɡ u d̪ ɐ l
பிசுக்கோத்து	p i t͡ɕ u kː oː t̪ː u
பிசுனம்	p i t͡ɕ u n ɐ m
பிசுபிசு	p i t͡ɕ u b i t͡ɕ u
பிசுபிசுத்தல்	p i t͡ɕ u b i t͡ɕ u t̪ː ɐ l
பிசுபிசுத்தவன்	p i t͡ɕ u b i t͡ɕ u t̪ː ɐ ʋ ɐ n
பிசுபிசெனல்	p i t͡ɕ u b i t͡ɕ e n ɐ l
பிசுமந்தச்சூரணம்	p i t͡ɕ u m ɐ n̪ d̪ ɐ t͡ɕː uː ɾ ɐ ɳ ɐ m
பிசை	p i t͡ɕ a ɪ̯
பிசைதல்	p i t͡ɕ a ɪ̯ d̪ ɐ l
பிச்சு	p i t͡ɕː u
பிச்சுநெட்டி	p i t͡ɕː u n̪ e ʈː i
பிச்சுப்பை	p i t͡ɕː u pː a ɪ̯
பிச்சை	p i t͡ɕː a ɪ̯
பிச்சைத்தனம்	p i t͡ɕː a ɪ̯ t̪ː ɐ n ɐ m
பிச்சைவாரி	p i t͡ɕː a ɪ̯ ʋ aː ɾ i
பிஞ்சிற்பழு	p i ɲ d͡ʑ i r p ɐ ɻ u
பிடுங்கு	p i ɖ u ŋ ɡ u
பிட்கு	p i ʈ k u
பிணந்தின்னி	p i ɳ ɐ n̪ d̪ i nː i
பிணம்	p i ɳ ɐ m
பிதா	p i d̪ aː
பித்தப்பை	p i t̪ː ɐ pː a ɪ̯
பித்தம்	p i t̪ː ɐ m
பின்	p i n
பின்கட்டுமாறுகட்டு	p i n ɡ ɐ ʈː u m aː r u ɡ ɐ ʈː u
பின்னப்படுத்து	p i nː ɐ pː ɐ ɖ u t̪ː u
