㑚	n a ² ³
毛髮	m ɔ ² ² f a ʔ ⁴ ⁴
毫	ɦ ɔ ² ³
毯	tʰ e ³ ⁴
毯	tʰ e ⁵ ³
毯子	tʰ e ⁵ ⁵ t͡s z̩ ² ¹
毻	tʰ u ³ ⁴
毻毛	tʰ u ⁴ ⁴ m ɔ ² ³
毽	t͡ɕ i ³ ⁴
氈	t͡s ø ⁵ ³
氏	z z̩ ² ³
民	m i n ² ³
民主	m i n ² ² t͡s z̩ ⁴ ⁴
民主主義	m i n ² ² t͡s z̩ ⁵ ⁵ t͡s z̩ ³ ³ n̠ʲ i ² ¹
民俗	m i n ² ² z o ʔ ⁴ ⁴
民初	m i n ² ² t͡sʰ u ⁴ ⁴
民國	m i n ² ² k o ʔ ⁴ ⁴
民族	m i n ² ² z o ʔ ⁴ ⁴
民族主義	m i n ² ² z o ʔ ⁵ ⁵ t͡s z̩ ³ ³ n̠ʲ i ² ¹
民歌	m i n ² ² k u ⁴ ⁴
民間	m i n ² ² t͡ɕ i ⁴ ⁴
氖	n e ² ³
氙	ɕ i ⁵ ³
氡	t o ŋ ⁵ ³
氣	t͡ɕʰ i ³ ⁴
氣候	t͡ɕʰ i ³ ³ ɦ ɤ ⁴ ⁴
氣候變化	t͡ɕʰ i ³ ³ ɦ ɤ ⁴ ⁴ p i ³ ³ h o ⁴ ⁴
氣候變遷	t͡ɕʰ i ³ ³ ɦ ɤ ⁴ ⁴ p i ³ ³ t͡ɕʰ i ⁴ ⁴
氣力	t͡ɕʰ i ³ ³ l i ɪ ʔ ⁴ ⁴
氣功	t͡ɕʰ i ³ ³ k o ŋ ⁴ ⁴
氣味	t͡ɕʰ i ³ ³ m i ⁴ ⁴
氣派	t͡ɕʰ i ³ ³ pʰ a ⁴ ⁴
氣球	t͡ɕʰ i ³ ³ t͡ɕ i ɤ ⁴ ⁴
氣質	t͡ɕʰ i ³ ³ t͡s ə ʔ ⁴ ⁴
氣體	t͡ɕʰ i ³ ³ tʰ i ⁴ ⁴
氦	ɦ e ² ³
氧	ɦ i ã ² ³
氪	kʰ ə ʔ ⁵ ⁵
氫	t͡ɕʰ i n ⁵ ³
氮	d e ² ³
氯	l o ʔ ¹ ²
氯硝西泮	l o ʔ ¹ ¹ ɕ i ɔ ² ² ɕ i ² ² pʰ ø ² ³
水	s z̩ ³ ⁴
水仙	s z̩ ³ ³ ɕ i ⁴ ⁴
水作	s z̩ ³ ³ t͡s o ʔ ⁴ ⁴
水吧	s z̩ ³ ³ p a ⁴ ⁴
水庫	s z̩ ³ ³ kʰ u ⁴ ⁴
水族館	s z̩ ³ ³ z o ʔ ⁵ ⁵ k u ø ² ¹
水星	s z̩ ³ ³ ɕ i n ⁴ ⁴
水晶	s z̩ ³ ³ t͡ɕ i n ⁴ ⁴
水晶球	s z̩ ³ ³ t͡ɕ i n ⁵ ⁵ d͡ʑ i ɤ ² ¹
水果	s z̩ ³ ³ k u ⁴ ⁴
水桶	s z̩ ³ ³ d o ŋ ⁴ ⁴
水橋	s z̩ ³ ³ d͡ʑ i ɔ ⁴ ⁴
水汀	s z̩ ³ ³ t i n ⁴ ⁴
水汪汪	s z̩ ³ ³ u ɑ̃ ⁵ ⁵ u ɑ̃ ² ¹
水泡	s z̩ ³ ³ pʰ ɔ ⁴ ⁴
水泡泡	s z̩ ³ ³ pʰ ɔ ⁵ ⁵ pʰ ɔ ² ¹
水泥	s z̩ ³ ³ n̠ʲ i ⁴ ⁴
水浮蓮	s z̩ ³ ³ v u ⁵ ⁵ l i ² ¹
水溝	s z̩ ³ ³ k ɤ ⁴ ⁴
水潭	s z̩ ³ ³ d e ⁴ ⁴
水潭	s z̩ ³ ³ d ø ⁴ ⁴
水潭潭	s z̩ ³ ³ d e ⁵ ⁵ d e ² ¹
水潭潭	s z̩ ³ ³ d ø ⁵ ⁵ d ø ² ¹
水潽蛋	s z̩ ³ ³ pʰ u ⁵ ⁵ d e ² ¹
水潽雞蛋	s z̩ ³ ³ pʰ u ⁵ ⁵ t͡ɕ i ³ ³ d e ² ¹
水牛	s z̩ ³ ³ n i ɤ ⁴ ⁴
水牯牛	s z̩ ³ ³ k u ⁵ ⁵ n̠ʲ i ɤ ² ¹
水田	s z̩ ³ ³ d i ⁴ ⁴
水療	s z̩ ³ ³ l i ɔ ⁴ ⁴
水磨粉	s z̩ ³ ³ m o ⁵ ⁵ f ə n ² ¹
水綠	s z̩ ³ ³ l o ʔ ⁴ ⁴
水芹	s z̩ ³ ³ d͡ʑ i n ⁴ ⁴
水草	s z̩ ³ ³ t͡sʰ ɔ ⁴ ⁴
水菜	s z̩ ³ ³ t͡sʰ e ⁴ ⁴
水菜肉	s z̩ ³ ³ t͡sʰ e ⁵ ⁵ n̠ʲ i o ʔ ² ¹
水葫蘆	s z̩ ³ ³ ɦ u ⁵ ⁵ l u ² ¹
水蕩	s z̩ ³ ³ d ɑ̃ ⁴ ⁴
水蕩蕩	s z̩ ³ ³ d ɑ̃ ⁵ ⁵ d ɑ̃ ² ¹
水蛇	s z̩ ³ ³ z o ⁴ ⁴
水蜓蚰	s z̩ ³ ³ ɦ i ⁵ ⁵ ɦ i ɤ ² ¹
水蜜桃	s z̩ ³ ³ m i ɪ ʔ ⁵ ⁵ d ɔ ² ¹
水費	s z̩ ³ ³ f i ⁴ ⁴
水車	s z̩ ³ ³ t͡sʰ o ⁴ ⁴
水道	s z̩ ³ ³ d ɔ ⁴ ⁴
水銀	s z̩ ³ ³ n̠ʲ i n ⁴ ⁴
水錶	s z̩ ³ ³ p i ɔ ⁴ ⁴
水門汀	s z̩ ³ ³ m ə n ⁵ ⁵ tʰ i n ² ¹
水雞	s z̩ ³ ³ t͡ɕ i ⁴ ⁴
水雷	s z̩ ³ ³ l e ⁴ ⁴
水餃	s z̩ ³ ³ t͡ɕ i ɔ ⁴ ⁴
水餃子	s z̩ ³ ³ t͡ɕ i ɔ ⁵ ⁵ t͡s z̩ ² ¹
水龍頭	s z̩ ³ ³ l o ŋ ⁵ ⁵ d ɤ ² ¹
永	i o ŋ ³ ⁴
永嘉	i o ŋ ³ ³ k a ⁴ ⁴
永遠	i o ŋ ³ ³ ɦ y ø ⁴ ⁴
氽	tʰ ə n ³ ⁴
汀	tʰ i n ⁵ ³
汁	t͡s ə ʔ ⁵ ⁵
求	d͡ʑ i ɤ ² ³
求籤	d͡ʑ i ɤ ² ² t͡ɕʰ i ⁴ ⁴
求籤	d͡ʑ i ɤ ³ ³ t͡ɕʰ i ⁵ ³
汊	t͡sʰ a ³ ⁴
汊	t͡sʰ o ³ ⁴
汏	d a ² ³
汏手	d a ³ ³ s ɤ ³ ⁴
汏浴	d a ² ² ɦ i o ʔ ⁴ ⁴
汏浴	d a ² ² ɦ y ɪ ʔ ⁴ ⁴
汏浴	d a ³ ³ ɦ i o ʔ ¹ ²
汏浴間	d a ² ² ɦ i o ʔ ⁵ ⁵ k e ² ¹
汏牙齒	d a ³ ³ ŋ a ² ² t͡sʰ z̩ ⁴ ⁴
汏腦子	d a ³ ³ n ɔ ² ² t͡s z̩ ⁴ ⁴
汏衣裳作	d a ² ² i ⁵ ⁵ z ɑ̃ ³ ³ t͡s o ʔ ² ¹
汏衣裳機	d a ² ² i ⁵ ⁵ z ɑ̃ ³ ³ t͡ɕ i ² ¹
汏衣裳粉	d a ² ² i ⁵ ⁵ z ɑ̃ ³ ³ f ə n ² ¹
汏頭	d a ² ² d ɤ ⁴ ⁴
汏頭	d a ³ ³ d ɤ ² ³
汐	ʑ i ɪ ʔ ¹ ²
汕	s e ⁵ ³
汗	ɦ ø ² ³
汗衫	ɦ ø ² ² s e ⁴ ⁴
汝	l u ² ³
汝	z z̩ ² ³
汞	k o ŋ ³ ⁴
江	k ɑ̃ ⁵ ³
江	t͡ɕ i ã ⁵ ³
江北	k ɑ̃ ⁵ ⁵ p o ʔ ² ¹
江北人	k ɑ̃ ⁵ ⁵ p o ʔ ³ ³ n̠ʲ i n ² ¹
江南	k ɑ̃ ⁵ ⁵ n ø ² ¹
江山	k ɑ̃ ⁵ ⁵ s e ² ¹
江左	k ɑ̃ ⁵ ⁵ t͡s u ² ¹
江戶	k ɑ̃ ⁵ ⁵ ɦ u ² ¹
江東	k ɑ̃ ⁵ ⁵ t o ŋ ² ¹
江淮	k ɑ̃ ⁵ ⁵ ɦ u a ² ¹
江湖	k ɑ̃ ⁵ ⁵ ɦ u ² ¹
江蘇	k ɑ̃ ⁵ ⁵ s u ² ¹
江西	k ɑ̃ ⁵ ⁵ ɕ i ² ¹
江西閒話	k ɑ̃ ⁵ ⁵ ɕ i ² ¹ ɦ e ² ² ɦ o ⁴ ⁴
江西閒話	k ɑ̃ ⁵ ⁵ ɕ i ³ ³ ɦ e ³ ³ ɦ o ² ¹
池	z z̩ ² ³
池塘	z z̩ ² ² d ɑ̃ ⁴ ⁴
池州	z z̩ ² ² t͡s ɤ ⁴ ⁴
污	u ³ ⁴
污	u ⁵ ³
污騰蒼蠅	u ³ ³ t ə n ⁵ ⁵ t͡sʰ ɑ̃ ³ ³ i n ² ¹
汪	u ɑ̃ ⁵ ³
汪汪	u ɑ̃ ⁵ ⁵ u ɑ̃ ² ¹
汪汪狗	u ɑ̃ ⁵ ⁵ u ɑ̃ ³ ³ k ɤ ² ¹
汲	t͡ɕ i ɪ ʔ ⁵ ⁵
決	t͡ɕ i o ʔ ⁵ ⁵
決	t͡ɕ y ɪ ʔ ⁵ ⁵
決定	t͡ɕ i o ʔ ³ ³ d i n ⁴ ⁴
決定	t͡ɕ y ɪ ʔ ³ ³ d i n ⁴ ⁴
決明	t͡ɕ y ɪ ʔ ³ ³ m i n ⁴ ⁴
決明子	t͡ɕ y ɪ ʔ ³ ³ m i n ⁵ ⁵ t͡s z̩ ² ¹
汽	t͡ɕʰ i ³ ⁴
汽水	t͡ɕʰ i ³ ³ s z̩ ⁴ ⁴
汽水	t͡ɕʰ i ⁵ ⁵ s z̩ ² ¹
汽油	t͡ɕʰ i ³ ³ ɦ i ɤ ⁴ ⁴
汽燈	t͡ɕʰ i ³ ³ t ə n ⁴ ⁴
汽笛	t͡ɕʰ i ³ ³ d i ɪ ʔ ⁴ ⁴
汽船	t͡ɕʰ i ³ ³ z ø ⁴ ⁴
汽車	t͡ɕʰ i ³ ³ t͡sʰ o ⁴ ⁴
汽車夫	t͡ɕʰ i ³ ³ t͡sʰ o ⁵ ⁵ f u ² ¹
沂	ɦ i ² ³
沃	o ʔ ⁵ ⁵
沈	s ə n ³ ⁴
沉	z ə n ² ³
沌	d ə n ² ³
沏	t͡ɕʰ i ɪ ʔ ⁵ ⁵
沐	m o ʔ ¹ ²
沒	m ə ʔ ¹ ²
沒潭潭	s z̩ ³ ³ d e ⁵ ⁵ d e ² ¹
沒潭潭	s z̩ ³ ³ d ø ⁵ ⁵ d ø ² ¹
沒用場	m ə ʔ ¹ ¹ ɦ i o ŋ ² ² z ã ² ³
沖	t͡sʰ o ŋ ⁵ ³
沖淋房	t͡sʰ o ŋ ⁵ ⁵ l i n ³ ³ v ɑ̃ ² ¹
沖茶	t͡sʰ o ŋ ⁴ ⁴ z o ² ³
沙	s a ⁵ ³
沙	s o ⁵ ³
沙丁	s o ⁵ ⁵ t i n ² ¹
沙丁魚	s o ⁵ ⁵ t i n ³ ³ ŋ̍ ² ¹
沙冰	s o ⁵ ⁵ p i n ² ¹
沙司	s o ⁵ ⁵ s z̩ ² ¹
沙嗲	s o ⁵ ⁵ d i a ² ¹
沙地	s o ⁵ ⁵ d i ² ¹
沙子	s o ⁵ ⁵ t͡s z̩ ² ¹
沙泥地	s o ⁵ ⁵ n̠ʲ i ³ ³ d i ² ¹
沙漠	s o ⁵ ⁵ m o ʔ ² ¹
沙灘	s o ⁵ ⁵ tʰ e ² ¹
沙爹	s o ⁵ ⁵ d i a ² ¹
沙發	s o ⁵ ⁵ f a ʔ ² ¹
沙發椅	s o ⁵ ⁵ f a ʔ ³ ³ y ² ¹
沙發薯	s o ⁵ ⁵ f a ʔ ³ ³ z z̩ ² ¹
沫	m ə ʔ ¹ ²
河	ɦ u ² ³
河北	ɦ u ² ² p o ʔ ⁴ ⁴
河南	ɦ u ² ² n ø ⁴ ⁴
河塘	ɦ u ² ² d ɑ̃ ⁴ ⁴
河洛	ɦ u ² ² l o ʔ ⁴ ⁴
河洛人	ɦ u ² ² l o ʔ ⁵ ⁵ n̠ʲ i n ² ¹
河流	ɦ u ² ² l i ɤ ⁴ ⁴
河浜	ɦ u ² ² p ã ⁴ ⁴
河源	ɦ u ² ² n̠ʲ y ø ⁴ ⁴
河灘	ɦ u ² ² tʰ e ⁴ ⁴
河灘地	h u ³ ³ tʰ e ⁵ ⁵ d i ² ¹
河灘頭	ɦ u ² ² tʰ e ⁵ ⁵ d ɤ ² ¹
河粉	ɦ u ² ² f ə n ⁴ ⁴
河蚌	ɦ u ² ² b ã ⁴ ⁴
河蟹	ɦ u ² ² h a ⁴ ⁴
河豚魚	ɦ u ² ² d ə n ⁵ ⁵ ŋ̍ ² ¹
河馬	ɦ u ² ² m o ⁴ ⁴
河鯽魚	ɦ u ² ² t͡ɕ i ⁵ ⁵ ŋ̍ ² ¹
沸騰	f i ³ ³ d ə n ⁴ ⁴
油	ɦ i ɤ ² ³
油咖哩	ɦ i ɤ ² ² k a ⁵ ⁵ l i ² ¹
油墨	ɦ i ɤ ² ² m ə ʔ ⁴ ⁴
油條	ɦ i ɤ ² ² d i ɔ ⁴ ⁴
油條子	ɦ i ɤ ² ² d i ɔ ⁵ ⁵ t͡s z̩ ² ¹
油煠	ɦ i ɤ ² ² z a ʔ ⁴ ⁴
油煠鬼	ɦ i ɤ ² ² z a ʔ ⁵ ⁵ k u e ² ¹
油爆蝦	ɦ i ɤ ² ² p ɔ ⁵ ⁵ h o ² ¹
油爆蝦	ɦ i ɤ ² ² p ɔ ⁵ ⁵ h ø ² ¹
油畫棒	ɦ i ɤ ² ² ɦ o ⁵ ⁵ b ɑ̃ ² ¹
油肉	ɦ i ɤ ² ² n̠ʲ i o ʔ ⁴ ⁴
油膩	ɦ i ɤ ² ² n̠ʲ i ⁴ ⁴
油船	ɦ i ɤ ² ² z ø ⁴ ⁴
油菜	ɦ i ɤ ² ² t͡sʰ e ⁴ ⁴
油菜籽	ɦ i ɤ ² ² t͡sʰ e ⁵ ⁵ t͡s z̩ ² ¹
油葫蘆	ɦ i ɤ ² ² ɦ u ⁵ ⁵ l u ² ¹
油豆腐	ɦ i ɤ ² ² d ɤ ⁵ ⁵ v u ² ¹
油豆腐	ɦ i ɤ ² ² d ɤ ⁵ ⁵ ɦ u ² ¹
油酥	ɦ i ɤ ² ² s u ⁵ ⁵ p i n ² ¹
油酥餅	ɦ i ɤ ² ² s u ⁵ ⁵ p i n ² ¹
油饊子	ɦ i ɤ ² ² s e ⁵ ⁵ t͡s z̩ ² ¹
油鹽醬醋	ɦ i ɤ ² ² ɦ i ⁵ ⁵ t͡ɕ i ã ³ ³ t͡sʰ u ² ¹
油麻地	ɦ i ɤ ² ² m o ⁵ ⁵ d i ² ¹
治	z z̩ ² ³
治安	z z̩ ² ² ø ⁴ ⁴
治病	z z̩ ³ ³ b i n ² ³
治療	z z̩ ² ² l i ɔ ⁴ ⁴
沼	t͡s ɔ ⁵ ³
沿	ɦ i ² ³
沿了	ɦ i ² ² l ə ʔ ⁴ ⁴
沿沿頭	ɦ i ² ² ɦ i ⁵ ⁵ d ɤ ² ¹
沿馬路	ɦ i ² ² m o ⁵ ⁵ l u ² ¹
沿馬路	ɦ i ³ ³ m o ² ² l u ⁴ ⁴
況	h u ɑ̃ ³ ⁴
況	kʰ u ɑ̃ ³ ⁴
況且	kʰ u ɑ̃ ³ ³ t͡ɕʰ i ⁴ ⁴
泉	ʑ i ² ³
泉州	ʑ i ² ² t͡s ɤ ⁴ ⁴
泉水	ʑ i ² ² s z̩ ⁴ ⁴
泊	b o ʔ ¹ ²
泊	pʰ a ʔ ⁵ ⁵
泐	l ə ʔ ¹ ²
泔	k ø ⁵ ³
泔腳	k ø ⁵ ⁵ t͡ɕ i a ʔ ² ¹
泔腳水	k ø ⁵ ⁵ t͡ɕ i a ʔ ³ ³ s z̩ ² ¹
法	f a ʔ ⁵ ⁵
法令	f a ʔ ³ ³ l i n ⁴ ⁴
法國	f a ʔ ³ ³ k o ʔ ⁴ ⁴
法國冬青	f a ʔ ³ ³ k o ʔ ⁵ ⁵ t o ŋ ³ ³ t͡ɕʰ i n ² ¹
法國梧桐	f a ʔ ³ ³ k o ʔ ⁵ ⁵ ŋ u ³ ³ d o ŋ ² ¹
法國號	f a ʔ ³ ³ k o ʔ ⁵ ⁵ ɦ ɔ ² ¹
法國閒話	f a ʔ ³ ³ k o ʔ ⁴ ⁴ ɦ e ² ² ɦ o ⁴ ⁴
法國閒話	f a ʔ ³ ³ k o ʔ ⁵ ⁵ ɦ e ³ ³ ɦ o ² ¹
法子	f a ʔ ³ ³ t͡s z̩ ⁴ ⁴
法定	f a ʔ ³ ³ d i n ⁴ ⁴
法幣	f a ʔ ³ ³ b i ⁴ ⁴
法庭	f a ʔ ³ ³ d i n ⁴ ⁴
法律	f a ʔ ³ ³ l i ɪ ʔ ⁴ ⁴
法文	f a ʔ ³ ³ v ə n ⁴ ⁴
法眼	f a ʔ ³ ³ ŋ e ⁴ ⁴
法羅群島	f a ʔ ³ ³ l u ⁴ ⁴ d͡ʑ y n ² ² t ɔ ⁴ ⁴
法老	f a ʔ ³ ³ l ɔ ⁴ ⁴
法蘭西	f a ʔ ³ ³ l e ⁵ ⁵ ɕ i ² ¹
法螺	f a ʔ ³ ³ l u ⁴ ⁴
法語	f a ʔ ³ ³ n̠ʲ y ⁴ ⁴
法身	f a ʔ ³ ³ s ə n ⁴ ⁴
法輪	f a ʔ ³ ³ l ə n ⁴ ⁴
法門	f a ʔ ³ ³ m ə n ⁴ ⁴
泗	s z̩ ³ ⁴
泛	f e ³ ⁴
泡沫	pʰ ɔ ³ ³ m ə ʔ ⁴ ⁴
泡泡	pʰ ɔ ⁵ ⁵ pʰ ɔ ² ¹
泡立水	pʰ ɔ ⁵ ⁵ l i ɪ ʔ ³ ³ s z̩ ² ¹
泡芙	pʰ ɔ ⁵ ⁵ f u ² ¹
泡茶	pʰ ɔ ⁴ ⁴ z o ² ³
泡菜	pʰ ɔ ³ ³ t͡sʰ e ⁴ ⁴
泡菜	pʰ ɔ ⁵ ⁵ t͡sʰ e ² ¹
泡飯	pʰ ɔ ⁵ ⁵ v e ² ¹
波	p o ʔ ⁵ ⁵
波	p u ⁵ ³
波德戈里察	p u ⁵ ⁵ t ə ʔ ³ ³ k u ³ ³ l i ³ ³ t͡sʰ a ʔ ² ¹
波德里查	p u ⁵ ⁵ t ə ʔ ³ ³ l i ³ ³ z o ² ¹
波斯尼亞	p o ʔ ³ ³ s z̩ ⁵ ⁵ n i ³ ³ i a ² ¹
波斯尼亞和黑塞哥維那	p o ʔ ³ ³ s z̩ ⁵ ⁵ n i ³ ³ i a ³ ³ ɦ u ³ ³ h ə ʔ ³ ³ s ə ʔ ⁵ ⁵ k u ³ ³ v i ³ ³ n a ² ¹
波斯貓	p u ⁵ ⁵ s z̩ ³ ³ m ɔ ² ¹
波蘭	p u ⁵ ⁵ l e ² ¹
波長	p u ⁵ ⁵ z ã ² ¹
波鞋	p u ⁵ ⁵ ɦ a ² ¹
泥	n̠ʲ i ² ³
泥水匠	n̠ʲ i ² ² s z̩ ⁵ ⁵ ʑ i ã ² ¹
泥漿水	n̠ʲ i ² ² t͡ɕ i ã ⁵ ⁵ s z̩ ² ¹
泥頭	n̠ʲ i ² ² d ɤ ⁴ ⁴
泥鰍	n̠ʲ i ² ² t͡ɕʰ i ɤ ⁴ ⁴
注	t͡s z̩ ³ ⁴
注意	t͡s z̩ ³ ³ i ⁴ ⁴
注意力	t͡s z̩ ³ ³ i ⁵ ⁵ l i ɪ ʔ ² ¹
注明	t͡s z̩ ³ ³ m i n ⁴ ⁴
泰	tʰ a ³ ⁴
泰國	tʰ a ³ ³ k o ʔ ⁴ ⁴
泰山	tʰ a ³ ³ s e ⁴ ⁴
泰州	tʰ a ³ ³ t͡s ɤ ⁴ ⁴
泳	i o ŋ ³ ⁴
洋	ɦ i ã ² ³
洋	ɦ ã ² ³
洋人	ɦ i ã ² ² n̠ʲ i n ⁴ ⁴
洋傘	ɦ i ã ² ² s e ⁴ ⁴
洋山芋	ɦ i ã ² ² s e ⁵ ⁵ ɦ y ² ¹
洋油	ɦ i ã ² ² ɦ i ɤ ⁴ ⁴
洋涇浜	ɦ i ã ² ² t͡ɕ i n ⁵ ⁵ p ã ² ¹
洋涇浜英語	ɦ i ã ² ² t͡ɕ i n ⁵ ⁵ p ã ³ ³ i n ³ ³ n̠ʲ y ² ¹
洋火	ɦ i ã ² ² h u ⁴ ⁴
洋灰	ɦ i ã ² ² h u e ⁴ ⁴
洋秈米	ɦ i ã ² ² ɕ i ⁵ ⁵ m i ² ¹
洋紅	ɦ i ã ² ² ɦ o ŋ ⁴ ⁴
洋紅色	ɦ i ã ² ² ɦ o ŋ ⁵ ⁵ s ə ʔ ² ¹
洋老蟲	ɦ i ã ² ² l ɔ ⁵ ⁵ z o ŋ ² ¹
洋芋艿	ɦ i ã ² ² ɦ y ⁵ ⁵ n a ² ¹
洋菜	ɦ i ã ² ² t͡sʰ e ⁴ ⁴
洋蔥	ɦ i ã ² ² t͡sʰ o ŋ ⁴ ⁴
洋蔥頭	ɦ i ã ² ² t͡sʰ o ŋ ⁵ ⁵ d ɤ ² ¹
洋蠟燭	ɦ i ã ² ² l a ʔ ⁵ ⁵ t͡s o ʔ ² ¹
洋行	ʑ i ² ² t͡s ɑ̃ ⁴ ⁴
洋裝	ɦ i ã ² ² t͡s ɑ̃ ⁴ ⁴
洋裝癟三	ɦ i ã ² ² t͡s ɑ̃ ⁵ ⁵ p i ɪ ʔ ³ ³ s e ² ¹
洋襪	ɦ i ã ² ² m a ʔ ⁴ ⁴
洋貨	ɦ i ã ² ² h o ⁴ ⁴
洋辣子	ɦ i ã ² ² l a ʔ ⁵ ⁵ t͡s z̩ ² ¹
洋釘	ɦ i ã ² ² t i n ⁴ ⁴
洋鈿	ɦ i ã ² ² d i ⁴ ⁴
洋鈿	ɦ ã ² ² d i ⁴ ⁴
洋鈿	ɦ ã ² ² l i ⁴ ⁴
洋鉛	ɦ i ã ² ² kʰ e ⁴ ⁴
洋鉛皮	ɦ i ã ² ² kʰ e ⁵ ⁵ b i ² ¹
洋鎬	ɦ i ã ² ² k ɔ ⁴ ⁴
洋鐵鋪	ɦ i ã ² ² tʰ i ɪ ʔ ⁵ ⁵ pʰ u ² ¹
洋雞	ɦ i ã ² ² t͡ɕ i ⁴ ⁴
洗	ɕ i ³ ⁴
洗劑	ɕ i ³ ³ t͡ɕ i ⁴ ⁴
洗手液	ɕ i ³ ³ s ɤ ⁵ ⁵ h i ɪ ʔ ² ¹
洗手間	ɕ i ³ ³ s ɤ ⁵ ⁵ k e ² ¹
洗衣店	ɕ i ³ ³ i ⁵ ⁵ t i ² ¹
洗衣機	ɕ i ³ ³ i ⁵ ⁵ t͡ɕ i ² ¹
洗車	ɕ i ³ ³ t͡sʰ o ⁴ ⁴
洛	l o ʔ ¹ ²
洛陽	l o ʔ ¹ ¹ ɦ i ã ² ³
洞	d o ŋ ² ³
洞房	d o ŋ ² ² v ɑ̃ ⁴ ⁴
洞洞眼	d o ŋ ² ² d o ŋ ⁵ ⁵ ŋ e ² ¹
洞疘	d o ŋ ² ² k o ŋ ⁴ ⁴
津	t͡ɕ i n ⁵ ³
洨	ɦ ɔ ² ³
洩漏	ɕ i ɪ ʔ ³ ³ l ɤ ⁴ ⁴
洪	ɦ o ŋ ² ³
洪水	ɦ o ŋ ² ² s z̩ ⁴ ⁴
洱	ɦ ə l ² ³
洲	t͡s ɤ ⁵ ³
活	ɦ u ə ʔ ¹ ²
活動	ɦ u ə ʔ ¹ ¹ d o ŋ ² ³
活猻	ɦ u ə ʔ ¹ ¹ s ə n ² ³
活結	ɦ u ə ʔ ¹ ¹ t͡ɕ i ɪ ʔ ² ³
派	pʰ a ³ ⁴
派上用場	pʰ a ³ ³ z ɑ̃ ⁴ ⁴ ɦ i o ŋ ² ² z ã ⁴ ⁴
派出所	pʰ a ³ ³ t͡sʰ ə ʔ ⁵ ⁵ s u ² ¹
派司	pʰ a ⁵ ⁵ s z̩ ² ¹
派對	pʰ a ⁵ ⁵ t e ² ¹
派用場	pʰ a ⁴ ⁴ ɦ i o ŋ ² ² z ã ⁴ ⁴
派頭	pʰ a ³ ³ d ɤ ⁴ ⁴
流	l i ɤ ² ³
流星	l i ɤ ² ² ɕ i n ⁴ ⁴
流氓	l i ɤ ² ² m ɑ̃ ⁴ ⁴
流產	l i ɤ ² ² t͡sʰ e ⁴ ⁴
流眼淚	l i ɤ ³ ³ ŋ e ² ² l i ⁴ ⁴
流行	l i ɤ ² ² ɦ i n ⁴ ⁴
流飛	l i ɤ ² ² f i ⁴ ⁴
流鼻涕	l i ɤ ³ ³ b i ɪ ʔ ¹ ¹ tʰ i ² ³
浙	t͡s ə ʔ ⁵ ⁵
浙江	t͡s ə ʔ ³ ³ k ɑ̃ ⁴ ⁴
浜	p ã ⁵ ³
浜兜	p ã ⁵ ⁵ t ɤ ² ¹
浜灘	p ã ⁵ ⁵ tʰ e ² ¹
浣	u ø ³ ⁴
浦	pʰ u ³ ⁴
浦東	pʰ u ³ ³ t o ŋ ⁴ ⁴
浦東三黃雞	pʰ u ³ ³ t o ŋ ⁴ ⁴ s e ⁵ ⁵ ɦ u ɑ̃ ³ ³ t͡ɕ i ² ¹
浦西	pʰ u ³ ³ ɕ i ⁴ ⁴
浩	ɦ ɔ ² ³
浪	l ɑ̃ ² ³
浪向	l ɑ̃ ² ² ɕ i ã ⁴ ⁴
浪漫	l ɑ̃ ² ² m e ⁴ ⁴
浪費	l ɑ̃ ² ² f i ⁴ ⁴
浪頭	l ɑ̃ ² ² d ɤ ⁴ ⁴
浮	v u ² ³
浮	v ɤ ² ³
浮屍	v ɤ ² ² s z̩ ⁴ ⁴
浮萍	v ɤ ² ² b i n ⁴ ⁴
浴	ɦ i o ʔ ¹ ²
浴	ɦ y ɪ ʔ ¹ ²
浴帽	ɦ i o ʔ ¹ ¹ m ɔ ² ³
浴盆	ɦ i o ʔ ¹ ¹ b ə n ² ³
浴間	ɦ i o ʔ ¹ ¹ k e ² ³
海	h e ³ ⁴
海冰	h e ³ ³ p i n ⁴ ⁴
海南	h e ³ ³ n ø ⁴ ⁴
海南人	h e ³ ³ n ø ⁵ ⁵ n̠ʲ i n ² ¹
海南島	h e ³ ³ n ø ⁵ ⁵ t ɔ ² ¹
海參	h e ³ ³ s ə n ⁴ ⁴
海口	h e ³ ³ kʰ ɤ ⁴ ⁴
海外	h e ³ ³ ŋ a ⁴ ⁴
海威	h e ⁵ ⁵ u e ² ¹
海帶	h e ³ ³ t a ⁴ ⁴
海棠	h e ³ ³ d ɑ̃ ⁴ ⁴
海水	h e ³ ³ s z̩ ⁴ ⁴
海洋	h e ³ ³ ɦ i ã ⁴ ⁴
海洛英	h e ³ ³ l o ʔ ⁵ ⁵ i n ² ¹
海派	h e ³ ³ pʰ a ⁴ ⁴
海浪	h e ³ ³ l ɑ̃ ⁴ ⁴
海狗	h e ³ ³ k ɤ ⁴ ⁴
海王星	h e ³ ³ ɦ u ɑ̃ ⁵ ⁵ ɕ i n ² ¹
海瓜子	h e ³ ³ k o ⁵ ⁵ t͡s z̩ ² ¹
海碗	h e ³ ³ u ø ⁴ ⁴
海苔	h e ³ ³ d e ⁴ ⁴
海蜇	h e ³ ³ z ə ʔ ⁴ ⁴
