㐁	tʰ ʌ m H
瑽	t͡sʰ ɨ o ŋ
瑾	ɡˠ i ɪ n H
璀	t͡sʰ u ʌ i X
璀璨	t͡sʰ u ʌ i X
璂	ɡ ɨ
璃	l i ᴇ
璄	ʔˠ i æ ŋ X
璅	t͡s ɑ u X
璆	ɡ ɨ u
璇	z i u ᴇ n
璇璣	z i u ᴇ n
璉	l i ᴇ n X
璊	m u ə n
璋	t͡ɕ ɨ ɐ ŋ
璏	ɦˠ i u ᴇ i H
璐	l u o H
璑	m ɨ o
璒	t ə ŋ
璖	ɡ ɨ ʌ
璗	d ɑ ŋ X
璘	l i ɪ n
璘彬	l i ɪ n
璘霦	l i ɪ n
璙	l e u
璜	ɦ w ɑ ŋ
璞	pʰˠ ʌ k̚
璞玉	pʰˠ ʌ k̚
璟	ʔˠ i æ ŋ X
璠	b ʉ ɐ n
璣	k ɨ i
璥	kˠ i æ ŋ X
璦	ʔ ʌ i H
璧	p i ᴇ k̚
璧日	p i ᴇ k̚
璧流離	p i ᴇ k̚
璨	t͡sʰ ɑ n H
璩	ɡ ɨ ʌ
璪	t͡s ɑ u X
璫	t ɑ ŋ
璬	k e u X
璭	k u ə n H
環	ɦˠ u a n
璱	ʃ ɪ t̚
璲	z i u ɪ H
璵	j ɨ ʌ
璷	l ɨ ʌ
璹	d͡ʑ ɨ u X
璺	m ɨ u n H
璽	s i ᴇ X
璿	z i u ᴇ n
瓁	ŋ w ɑ k̚
瓃	l i u ɪ
瓄	d u k̚
瓅	l e k̚
瓈	l e i
瓉	d͡z ɑ n X
瓊	ɡ w i ᴇ ŋ
瓏	l u ŋ
瓔	ʔ i ᴇ ŋ
瓖	s ɨ ɐ ŋ
瓗	j i u ᴇ H
瓘	k u ɑ n H
瓛	ɦ u ɑ n
瓜	kˠ u a
瓜葛	kˠ u a
瓝	bˠ ʌ k̚
瓞	d e t̚
瓟	bˠ a u
瓠	ɦ u o
瓠	ɦ u o H
瓡	t͡ɕ i ɪ p̚
瓢	b i ᴇ u
瓣	bˠ ɛ n H
瓤	ȵ ɨ ɐ ŋ
瓦	ŋˠ u a H
瓦	ŋˠ u a X
瓦解	ŋˠ u a X
瓪	p u ɑ n X
瓬	p ʉ ɐ ŋ X
瓭	t ʌ m X
瓳	ɦ u o
瓴	l e ŋ
瓵	j ɨ
瓶	b e ŋ
瓷	d͡z i ɪ
瓹	k w e n H
瓺	ɖ ɨ ɐ ŋ
瓻	ʈʰˠ i ɪ
瓽	t ɑ ŋ H
瓿	b ɨ o
甀	ɖˠ i u ᴇ
甂	p e n
甃	t͡ʃ ɨ u H
甄	t͡ɕ i ɪ n
甄別	t͡ɕ i ɪ n
甈	ŋ e i H
甉	ɦˠ a m
甊	l ə u X
甋	t e k̚
甌	ʔ ə u
甌越	ʔ ə u
甍	mˠ ɛ ŋ
甐	l i ɪ n H
甑	t͡s ɨ ŋ H
甒	m ɨ o X
甓	b e k̚
甔	t ʌ m
甕	ʔ u ŋ H
甗	ŋ ɨ ɐ n
甘	k ɑ m
甘美	k ɑ m
甘藍	k ɑ m
甘露	k ɑ m
甚	d͡ʑ i ɪ m X
甜	d e m
甝	ɦ ɑ m
生	ʃˠ æ ŋ
生命	ʃˠ æ ŋ
生子	ʃˠ æ ŋ
生徒	ʃˠ æ ŋ
生得	ʃˠ æ ŋ
生擒	ʃˠ æ ŋ
生日	ʃˠ æ ŋ
生死	ʃˠ æ ŋ
生死存亡	ʃˠ æ ŋ
生活	ʃˠ æ ŋ
生物	ʃˠ æ ŋ
生理	ʃˠ æ ŋ
生生	ʃˠ æ ŋ
甡	ʃ ɪ n
產	ʃˠ ɛ n X
甤	ȵ i u ɪ
甥	ʃˠ æ ŋ
甦	s u o
用	j ɨ o ŋ H
甫	p ɨ o X
甬	j ɨ o ŋ X
甬道	j ɨ o ŋ X
田	d e n
田園	d e n
田鼠	d e n
由	j ɨ u
由來	j ɨ u
由延	j ɨ u
由旬	j ɨ u
甲	kˠ a p̚
甲士	kˠ a p̚
申	ɕ i ɪ n
甶	p ɨ u t̚
男	n ʌ m
男女	n ʌ m
男子	n ʌ m
甸	d e n H
甹	pʰ e ŋ
町	tʰ e n X
町	tʰ e ŋ
町疃	tʰ e n X
甾	t͡ʃ ɨ
甿	mˠ ɛ ŋ
畀	p i ɪ H
畁	ɡ ɨ
畇	s i u ɪ n
畇畇	j i u ɪ n
畈	p ʉ ɐ n H
畋	d e n
畋漁	d e n
畋獵	d e n
界	kˠ ɛ i H
畎	k w e n X
畏	ʔ ʉ i H
畏懼	ʔ ʉ i H
畏日	ʔ ʉ i H
畏景	ʔ ʉ i H
畏首畏尾	ʔ ʉ i H
畐	b ɨ u k̚
畔	b u ɑ n H
畖	ʔˠ u a
留	l ɨ u
留	l ɨ u H
留守	l ɨ u
留戀	l ɨ u
畚	p u ə n X
畛	t͡ɕ i ɪ n
畜	h ɨ u k̚
畜	ʈʰ ɨ u H
畜生	ʈʰ ɨ u H
畝	m ə u X
畟	t͡ʃʰ ɨ k̚
畟然	t͡ʃʰ ɨ k̚
畟畟	t͡ʃʰ ɨ k̚
畢	p i ɪ t̚
畢竟	p i ɪ t̚
畢羅	p i ɪ t̚
畢逋	p i ɪ t̚
畣	t ʌ p̚
畤	t͡ɕ ɨ X
略	l ɨ ɐ k̚
畦	ɦ w e i
番	b ʉ ɐ n
番	p u ɑ
番	pʰ u ɑ n
番	pʰ ʉ ɐ n
番人	pʰ ʉ ɐ n
番番	p u ɑ
番禺	pʰ u ɑ n
畫	ɦˠ u ɛ H
畫	ɦˠ w ɛ k̚
畫圖	ɦˠ u ɛ H
畫圖	ɦˠ w ɛ k̚
畫師	ɦˠ w ɛ k̚
畬	j ɨ ʌ
畯	t͡s i u ɪ n H
異	j ɨ H
異客	j ɨ H
異常	j ɨ H
異於	j ɨ H
異言	j ɨ H
異邦	j ɨ H
異鄉	j ɨ H
畲	ɕ i a
當	t ɑ ŋ
當	t ɑ ŋ H
當今	t ɑ ŋ
當時	t ɑ ŋ
畷	ʈˠ i u ᴇ i H
畸	kˠ i ᴇ
畹	ʔ ʉ ɐ n X
畼	ʈʰ ɨ ɐ ŋ H
畾	l u ʌ i
畿	ɡ ɨ i
疀	t͡ʃʰˠ ɛ p̚
疁	l ɨ u
疃	tʰ u ɑ n X
疄	l i ɪ n
疆	k ɨ ɐ ŋ
疆埸	k ɨ ɐ ŋ
疇	ɖ ɨ u
疊	d e p̚
疊子	d e p̚
疊燮	d e p̚
疋	ʃ ɨ ʌ
疌	d͡z i ᴇ p̚
疏	ʃ ɨ ʌ
疏	ʃ ɨ ʌ H
疏勒	ʃ ɨ ʌ
疐	t e i H
疐	ʈˠ i ɪ H
疑	ŋ ɨ
疑問	ŋ ɨ
疑惑	ŋ ɨ
疑慮	ŋ ɨ
疒	d͡ʒ ɨ ɐ ŋ
疓	ȵ ʌ i X
疕	pʰ i ᴇ X
疙	ŋ ɨ t̚
疚	k ɨ u H
疛	ʈ ɨ u X
疝	ʃˠ ɛ n
疝氣	ʃˠ ɛ n
疢	ʈʰˠ i ɪ n H
疣	ɦ ɨ u
疥	kˠ ɛ i H
疦	h w e t̚
疦	k w e t̚
疧	ɡ i ᴇ
疨	hˠ a
疫	j w i ᴇ k̚
疰	t͡ɕ ɨ o H
疲	bˠ i ᴇ
疵	d͡z i ᴇ
疶	s i ᴇ t̚
疷	ʈˠ i ɪ
疸	t ɑ n X
疹	t͡ɕ i ɪ n X
疻	t͡ɕ i ᴇ
疼	d u o ŋ
疽	t͡sʰ ɨ ʌ
疾	d͡z i ɪ t̚
疾走	d͡z i ɪ t̚
痀	k ɨ o
痁	t e m H
痁	ɕ i ᴇ m
痂	kˠ a
痃	ɦ e n
痄	t͡ʃˠ a X
病	bˠ i æ ŋ H
病死	bˠ i æ ŋ H
痆	ɳˠ ɛ t̚
痊	t͡sʰ i u ᴇ n
痋	d u o ŋ
痌	tʰ u ŋ
痍	j i ɪ
痎	kˠ ɛ i
痏	ɦˠ i u ɪ X
痑	tʰ ɑ n
痒	z ɨ ɐ ŋ
痓	t͡ɕʰ i ɪ H
痔	ɖ ɨ X
痕	ɦ ə n
痗	m u ʌ i H
痙	ɡ i ᴇ ŋ X
痛	tʰ u ŋ H
痛心	tʰ u ŋ H
痝	mˠ ʌ ŋ
痞	pˠ i ɪ X
痟	s i ᴇ u
痠	s u ɑ n
痡	pʰ ɨ o
痢	l i ɪ H
痣	t͡ɕ ɨ H
痤	d͡z u ɑ
痬	j i ᴇ k̚
痮	ʈ ɨ ɐ ŋ H
痯	k u ɑ n X
痰	d ɑ m
痱	b ʉ i
痲	mˠ a
痳	l i ɪ m
痴	ʈʰ ɨ
痵	ɡ i u ɪ H
痶	tʰ e n X
痸	t͡ɕʰ i ᴇ i H
痺	p i ᴇ
痼	k u o H
痾	ʔ ɑ
痿	ʔˠ i u ᴇ
痿疾	ʔˠ i u ᴇ
瘀	ʔ ɨ ʌ H
瘁	d͡z i u ɪ H
瘃	ʈ ɨ o k̚
瘊	ɦ ə u
瘌	l ɑ t̚
瘍	j ɨ ɐ ŋ
瘎	d͡ʑ i ɪ m
瘏	d u o
瘑	k u ɑ
瘒	ŋ u ə n
瘓	tʰ u ɑ n X
瘕	kˠ a
瘖	ʔˠ i ɪ m
瘙	s ɑ u H
瘚	k ʉ ɐ t̚
瘛	ɦ e i H
瘛瘲	t͡ɕʰ i ᴇ i H
瘜	s ɨ k̚
瘞	ʔˠ i ᴇ i H
瘠	d͡z i ᴇ k̚
瘡	t͡ʃʰ ɨ ɐ ŋ
瘡痍	t͡ʃʰ ɨ ɐ ŋ
瘢	b u ɑ n
瘢痕	b u ɑ n
瘣	ɦ u ʌ i X
瘤	l ɨ u
瘥	d͡z ɑ
瘥	t͡ʃʰˠ ɛ H
瘦	ʃ ɨ u H
瘧	ŋ ɨ ɐ k̚
瘨	t e n
瘭	p i ᴇ u
瘮	ʃˠ i ɪ m X
瘯	t͡sʰ u k̚
瘰	l u ɑ X
瘲	t͡s ɨ o ŋ H
瘳	ʈʰ ɨ u
瘴	t͡ɕ ɨ ɐ ŋ H
瘵	t͡ʃˠ ɛ i H
瘶	s ə u H
瘸	ɡ ɨ u ɑ
瘹	t e u H
瘻	l ə u H
瘻	l ɨ o
瘼	m ɑ k̚
瘽	ɡ ɨ n
癀	ɦ w ɑ ŋ
療	l i ᴇ u H
癃	l ɨ u ŋ
癆	l ɑ u H
癇	ɦˠ ɛ n
癈	p ʉ ɐ i H
癉	t ɑ n
癊	ʔˠ i ɪ m H
癏	kˠ u a n
癑	n u ŋ H
癒	j ɨ o
癓	m ʉ i
癔	ʔ ɨ k̚
癖	pʰ i ᴇ k̚
癗	l u ʌ i X
癘	l i ᴇ i H
癙	ɕ ɨ ʌ X
癛	l i ɪ m X
癟	b e t̚
癠	d͡z e i
癡	ʈʰ ɨ
癢	j ɨ ɐ ŋ X
癤	t͡s e t̚
癥	ʈ ɨ ŋ
癧	l e k̚
癨	h w ɑ k̚
癩	l ɑ i H
癬	s i ᴇ n X
癭	ʔ i ᴇ ŋ X
癮	ʔ ɨ n X
癯	ɡ ɨ o
癰	ʔ ɨ o ŋ
癰疽	ʔ ɨ o ŋ
癲	t e n
癶	p u ɑ t̚
癸	k i u ɪ X
癹	b u ɑ t̚
登	t ə ŋ
登即	t ə ŋ
登高	t ə ŋ
發	p ʉ ɐ t̚
發憤	p ʉ ɐ t̚
發明	p ʉ ɐ t̚
發號施令	p ʉ ɐ t̚
發達	p ʉ ɐ t̚
白	bˠ æ k̚
白事	bˠ æ k̚
白兔	bˠ æ k̚
白兔赤烏	bˠ æ k̚
白國	bˠ æ k̚
白大	bˠ æ k̚
白左	bˠ æ k̚
白文	bˠ æ k̚
白景	bˠ æ k̚
白暗	bˠ æ k̚
白玉樓	bˠ æ k̚
白疊	bˠ æ k̚
白痴	bˠ æ k̚
白礬	bˠ æ k̚
白蓮	bˠ æ k̚
白身	bˠ æ k̚
白身人	bˠ æ k̚
白雪	bˠ æ k̚
白雲	bˠ æ k̚
白露	bˠ æ k̚
白首	bˠ æ k̚
白馬	bˠ æ k̚
白駒	bˠ æ k̚
白駒過隙	bˠ æ k̚
白骨	bˠ æ k̚
白髮	bˠ æ k̚
百	pˠ æ k̚
百合	pˠ æ k̚
百姓	pˠ æ k̚
百年之後	pˠ æ k̚
百戰百勝	pˠ æ k̚
百濟	pˠ æ k̚
百草	pˠ æ k̚
百越	pˠ æ k̚
百靈	pˠ æ k̚
皀	h ɨ ɐ ŋ
的	t e k̚
皆	kˠ ɛ i
皆大歡喜	kˠ ɛ i
皇	ɦ w ɑ ŋ
皇上	ɦ w ɑ ŋ
皇后	ɦ w ɑ ŋ
皇天	ɦ w ɑ ŋ
皇天后土	ɦ w ɑ ŋ
皇太后	ɦ w ɑ ŋ
皇威	ɦ w ɑ ŋ
皇州	ɦ w ɑ ŋ
皇帝	ɦ w ɑ ŋ
皇皇	ɦ w ɑ ŋ
皈依	k ʉ i
皉	t͡sʰ e i X
皋	k ɑ u
皎	k e u X
皎日	k e u X
皎潔	k e u X
皎皎	k e u X
皏	pʰˠ ɛ ŋ X
皓	ɦ ɑ u X
皔	ɦ ɑ n X
皕	p ɨ k̚
皖	ɦˠ u a n X
皙	s e k̚
皚	ŋ ʌ i
皛	pʰˠ æ k̚
皛	ɦ e u X
皝	ɦ w ɑ ŋ X
皞	ɦ ɑ u X
皟	t͡ʃʰˠ ɛ k̚
皠	t͡sʰ u ʌ i X
皢	h e u X
皣	ɦˠ i ᴇ p̚
皤	b u ɑ
皦	k e u X
皦日	k e u X
皦皦	k e u X
皪	l e k̚
皫	pʰ i ᴇ u X
皭	t͡s i ᴇ u H
皮	bˠ i ᴇ
皮膚	bˠ i ᴇ
皮裡陽秋	bˠ i ᴇ
皮革	bˠ i ᴇ
皯	k ɑ n X
皰	pʰˠ a u H
皴	t͡sʰ i u ɪ n
皵	t͡sʰ ɨ ɐ k̚
皸	k ɨ u n
皺	t͡ʃ ɨ u H
皻	t͡ʃˠ a
皽	t͡ɕ i ᴇ u
皾	d u k̚
皿	mˠ i æ ŋ X
盂	ɦ ɨ o
盂蘭	ɦ ɨ o
盂蘭盆	ɦ ɨ o
盄	t͡ɕ i ᴇ u
盅	ɖ ɨ u ŋ
盆	b u ə n
盈	j i ᴇ ŋ
盉	ɦ u ɑ
益	ʔ i ᴇ k̚
益友	ʔ i ᴇ k̚
益壽	ʔ i ᴇ k̚
盍	ɦ ɑ p̚
盎	ʔ ɑ ŋ X
盒	ɦ ʌ p̚
盓	ʔ u o
盔	kʰ u ʌ i
盛	d͡ʑ i ᴇ ŋ
盛	d͡ʑ i ᴇ ŋ H
盛事	d͡ʑ i ᴇ ŋ H
盛壯	d͡ʑ i ᴇ ŋ H
盛夏	d͡ʑ i ᴇ ŋ H
盛暑	d͡ʑ i ᴇ ŋ H
盛筵	d͡ʑ i ᴇ ŋ H
盜	d ɑ u H
盜用	d ɑ u H
盜竊	d ɑ u H
盜賊	d ɑ u H
盝	l u k̚
盞	t͡ʃˠ ɛ n X
盟	mˠ i æ ŋ
盟	mˠ æ ŋ H
盟主	mˠ i æ ŋ
盠	l e i
盡	d͡z i ɪ n X
盡善盡美	d͡z i ɪ n X
監	kˠ a m
監	kˠ a m H
監督	kˠ a m
盤	b u ɑ n
盤古	b u ɑ n
盤旋	b u ɑ n
盤桓	b u ɑ n
盤盓	b u ɑ n
盤盤	b u ɑ n
盥	k u ɑ n X
盦	ʔ ʌ m
盧	l u o
盧訶寧俱沙	l u o
盨	ʃ ɨ ʌ X
盩	ʈ ɨ u
盪	tʰ ɑ ŋ
盬	k u o
目	m ɨ u k̚
目眩	m ɨ u k̚
盯	ɖˠ æ ŋ
盰	k ɑ n H
盱	h ɨ o
盱眙	h ɨ o
盲	mˠ æ ŋ
直	ɖ ɨ k̚
直情	ɖ ɨ k̚
直是	ɖ ɨ k̚
直須	ɖ ɨ k̚
盵	kʰ ɨ i H
盷	ɦ w e n
相	s ɨ ɐ ŋ
相	s ɨ ɐ ŋ H
相似	s ɨ ɐ ŋ
相公	s ɨ ɐ ŋ H
相國	s ɨ ɐ ŋ H
相安	s ɨ ɐ ŋ
相撲	s ɨ ɐ ŋ
相敬如賓	s ɨ ɐ ŋ
相濡以沫	s ɨ ɐ ŋ
相羊	s ɨ ɐ ŋ
相與	s ɨ ɐ ŋ
相見	s ɨ ɐ ŋ
相逢	s ɨ ɐ ŋ
相隨	s ɨ ɐ ŋ
盹	t͡ɕ i u ɪ n H
盻	ŋ e i H
盼	pʰˠ ɛ n H
盾	ʑ i u ɪ n X
盿	mˠ i ɪ n
省	s i ᴇ ŋ X
省	ʃˠ i æ ŋ X
眂	d͡ʑ i ᴇ
眄	m e n X
眅	pʰˠ a n
眇	m i ᴇ u X
眈	d ʌ m
眉	mˠ i ɪ
眊	m ɑ u H
看	kʰ ɑ n
看	kʰ ɑ n H
眎	d͡ʑ i ɪ X
眏	ʔ ɑ ŋ
眐	t͡ɕ i ᴇ ŋ
眑	ʔˠ a u
眒	ɕ i ɪ n
眓	h u ɑ t̚
眔	d ʌ p̚
眕	t͡ɕ i ɪ n X
眗	ɡ ɨ o
眙	j ɨ
眙	ʈʰ ɨ H
眚	ʃˠ i æ ŋ X
眛	m u ʌ i H
眜	m u ɑ t̚
眝	ɖ ɨ ʌ X
真	t͡ɕ i ɪ n
真主	t͡ɕ i ɪ n
真實	t͡ɕ i ɪ n
真珠	t͡ɕ i ɪ n
真番	t͡ɕ i ɪ n
真空	t͡ɕ i ɪ n
眠	m e n
眠床	m e n
眡	t e i
眣	ʈʰˠ i ɪ t̚
眥	d͡z i ᴇ H
眧	t͡ɕʰ i ᴇ u X
眨	t͡ʃˠ ɛ p̚
眩	ɦ w e n
眭	h i u ᴇ
眭	s i u ᴇ
眭	ɦ w e i
眮	d u ŋ
眯	m e i X
眱	j i ɪ
眲	ȵ ɨ H
眳	m i ᴇ ŋ X
眴	s i u ɪ n
眵	t͡ɕ i ᴇ
眶	kʰ ʉ ɐ ŋ
眷	kˠ i u ᴇ n H
眷戀	kˠ i u ᴇ n H
眷顧	kˠ i u ᴇ n H
眸	m ɨ u
眹	ɖˠ i ɪ n X
眺	tʰ e u H
眻	j ɨ ɐ ŋ
眼	ŋˠ ɛ n X
眾	t͡ɕ ɨ u ŋ
眾	t͡ɕ ɨ u ŋ H
眾人	t͡ɕ ɨ u ŋ H
眾多	t͡ɕ ɨ u ŋ H
眾生	t͡ɕ ɨ u ŋ H
睅	ɦˠ u a n X
睆	ɦˠ u a n X
睇	tʰ e i
睈	ʈʰ i ᴇ ŋ X
睉	d͡z u ɑ
睊	k w e n
睋	ŋ ɑ
睍	ɦ e n X
睍睍	ɦ e n X
睎	h ɨ i
睒	ɕ i ᴇ m X
睔	ɦ u ə n X
睕	ʔ ʉ ɐ n X
睖	ʈʰ ɨ ŋ
睖瞪	ʈʰ ɨ ŋ
睗	ɕ i ᴇ k̚
睘	ɡ w i ᴇ ŋ
睚	ŋˠ ɛ H
睚眥	ŋˠ ɛ H
睛	t͡s i ᴇ ŋ
睛	t͡sʰ i ᴇ ŋ X
睜	d͡z i ᴇ ŋ X
睞	l ʌ i H
睟	s i u ɪ H
睡	d͡ʑ i u ᴇ H
睡覺	d͡ʑ i u ᴇ H
睢	h i u ᴇ
督	t u o k̚
睥	pʰ e i H
睥睨	pʰ e i H
睦	m ɨ u k̚
睨	ŋ e i H
睩	l u k̚
睪	j i ᴇ k̚
睫	t͡s i ᴇ p̚
睰	mˠ ɛ t̚
睲	s i ᴇ ŋ X
睳	h w e i
睴	ɦ u ə n X
睵	t͡s ʌ i
睹	t u o X
睼	tʰ e n H
睽	kʰ w e i
睽睽	kʰ w e i
睿	j i u ᴇ i H
瞀	m ə u H
瞁	h w i ᴇ k̚
瞂	b ʉ ɐ t̚
瞉	kʰ ə u H
瞋	t͡ɕʰ i ɪ n
瞋恚	t͡ɕʰ i ɪ n
瞍	s e u
瞎	hˠ a t̚
瞐	mˠ ʌ k̚
瞑	m e n
瞑	m e n H
瞑	m e ŋ
瞗	t e u
瞘	ʔ ə u
瞙	m ɑ k̚
瞚	ɕ i u ɪ n H
瞜	l ə u
瞜	l ɨ o
瞞	m u ɑ n
瞟	pʰ i ᴇ u
瞠	ʈʰˠ æ ŋ
瞡	k i u ᴇ H
瞢	m ɨ u ŋ
瞤	ȵ i u ɪ n
瞥	pʰ e t̚
瞦	h ɨ
瞨	b u o k̚
瞪	ɖˠ ɛ ŋ
瞫	ɕ i ɪ m X
瞬	ɕ i u ɪ n H
瞭	l e u
瞭悟	l e u
瞯	ɦˠ ɛ n
瞰	kʰ ɑ m H
瞱	ɦˠ i ᴇ p̚
瞲	h w e t̚
瞳	d u ŋ
瞴	m ɨ o
瞵	l i ɪ n
瞶	j i u ɪ H
瞺	ʔ u ɑ i H
瞻	t͡ɕ i ᴇ m
瞼	kˠ i ᴇ m X
瞽	k u o X
瞿	k ɨ o H
瞿	ɡ ɨ o
瞿曇	ɡ ɨ o
矆	h ʉ ɐ k̚
矇	m u ŋ
矉	p i ɪ n
矊	m i ᴇ n
矌	kʰ w ɑ ŋ H
矍	k ʉ ɐ k̚
矎	h w e n
矏	m e n
矐	h ɑ k̚
矔	k u ɑ n H
矕	mˠ a n X
矖	l i ᴇ
矖	ʃˠ i ᴇ X
矗	t͡ʃʰ ɨ u k̚
矘	tʰ ɑ ŋ X
矚	t͡ɕ ɨ o k̚
矛	m ɨ u
矛盾	m ɨ u
矜	k ɨ ŋ
矜	ɡˠ i ɪ n
矜恤	k ɨ ŋ
矜憐	k ɨ ŋ
矜憫	k ɨ ŋ
矜誇	k ɨ ŋ
矞	j i u ɪ t̚
矟	ʃˠ ʌ k̚
矠	d͡ʒˠ ɛ k̚
矢	ɕˠ i ɪ X
矢石	ɕˠ i ɪ X
矣	ɦ ɨ X
知	ʈ i ᴇ
知己	ʈ i ᴇ
知性	ʈ i ᴇ
知悉	ʈ i ᴇ
知情	ʈ i ᴇ
知曉	ʈ i ᴇ
知識	ʈ i ᴇ
知道	ʈ i ᴇ
知音	ʈ i ᴇ
矧	ɕ i ɪ n X
矨	ŋ e ŋ X
矩	k ɨ o X
矪	ʈ ɨ u
矬	d͡z u ɑ
短	t u ɑ n X
短刀	t u ɑ n X
短命	t u ɑ n X
矮	ʔˠ ɛ X
矯	kˠ i ᴇ u X
矰	t͡s ə ŋ
矲	bˠ ɛ X
石	d͡ʑ i ᴇ k̚
石子	d͡ʑ i ᴇ k̚
石忽	d͡ʑ i ᴇ k̚
石榴	d͡ʑ i ᴇ k̚
石油	d͡ʑ i ᴇ k̚
石窟	d͡ʑ i ᴇ k̚
石膏	d͡ʑ i ᴇ k̚
石英	d͡ʑ i ᴇ k̚
石頭	d͡ʑ i ᴇ k̚
矴	t e ŋ H
矸	k ɑ n H
矸	k ɑ n X
矸	ɦ ɑ n H
矹	ŋ u ə t̚
矺	tʰ ɑ k̚
矻	kʰ u ə t̚
矼	kˠ ʌ ŋ
砂	ʃˠ a
砅	l i ᴇ i H
砉	hˠ w æ k̚
砊	kʰˠ æ ŋ
砌	t͡sʰ e i H
砎	kˠ ɛ i H
砏	pˠ i ɪ n
砐	ŋ ʌ p̚
砐硪	ŋ ʌ p̚
砑	ŋˠ a H
研	ŋ e n H
研究	ŋ e n H
砝	k ɑ p̚
砝	k ɨ ɐ p̚
砟	d͡z ɑ k̚
砠	t͡sʰ ɨ ʌ
砡	ŋ ɨ u k̚
砢	l ɑ X
砥	t͡ɕ i ɪ
砦	d͡ʒˠ a i H
砧	ʈˠ i ɪ m
砩	p ʉ ɐ i H
砬	l i ɪ p̚
砭	pˠ i ᴇ m
砮	n u o
砯	pʰ ɨ ŋ
砰	pʰˠ ɛ ŋ
砱	l e ŋ
破	pʰ u ɑ H
破瓜	pʰ u ɑ H
破鏡	pʰ u ɑ H
硃	t͡ɕ ɨ o
硇	ɳˠ a u
硇砂	ɳˠ a u
硉	l u ə t̚
硊	ŋ i u ᴇ X
硋	ŋ ʌ i H
硌	l ɑ k̚
硍	ɦˠ ɛ n X
硎	kʰˠ æ ŋ
硐	d u ŋ
硐	d u ŋ X
硜	kʰˠ ɛ ŋ
硝	s i ᴇ u
硞	kʰ u o k̚
硞	kʰˠ ʌ k̚
硟	s i ᴇ n
硠	l ɑ ŋ
硤	ɦˠ ɛ p̚
硦	l w ɑ k̚
硨	t͡ɕʰ i a
硨磲	t͡ɕʰ i a
硩	ʈʰˠ i ᴇ t̚
硪	ŋ ɑ
硫	l ɨ u
硫黃	l ɨ u
硬	ŋˠ ɛ ŋ H
硭	m ʉ ɐ ŋ
确	ɦˠ ʌ k̚
硯	ŋ e n H
硰	ʃˠ a
硱	kʰ ɨ ŋ
硹	s ɨ u ŋ
硻	kʰˠ ɛ ŋ
硾	ɖˠ i u ᴇ H
硿	kʰ u ŋ
碆	b u ɑ
碌	l u k̚
碌硞	l u k̚
碎	s u ʌ i H
碎葉	s u ʌ i H
碏	t͡sʰ ɨ ɐ k̚
碑	pˠ i ᴇ
碑文	pˠ i ᴇ
碓	t u ʌ i H
碔	m ɨ o X
碕	kʰˠ i ᴇ
碕	kʰˠ i ᴇ X
碕	ɡˠ i ᴇ
碖	l u ə n X
碗	ʔ u ɑ n X
碝	ȵ i u ᴇ n X
碞	ŋˠ i ɪ m
碡	d u k̚
碢	d u ɑ
碣	ɡ ɨ ɐ t̚
碧	p w i ᴇ k̚
碧池	p w i ᴇ k̚
碧漢	p w i ᴇ k̚
碧華	p w i ᴇ k̚
碧落	p w i ᴇ k̚
碩	d͡ʑ i ᴇ k̚
碫	t u ɑ n H
碬	ɦˠ a
碭	d ɑ ŋ
確	kʰˠ ʌ k̚
確乎	kʰˠ ʌ k̚
碻	kʰˠ ʌ k̚
碼	mˠ a X
碽	k u ŋ
碾	ɳˠ i ᴇ n H
磃	s i ᴇ
磄	d ɑ ŋ
磅	pʰ ɑ ŋ
磅礴	pʰ ɑ ŋ
磆	ɦˠ u ɛ t̚
磇	pʰ e i
磈	ʔ ʉ i X
磉	s ɑ ŋ X
磊	l u ʌ i X
磊磊	l u ʌ i X
磊落	l u ʌ i X
磋	t͡sʰ ɑ
磌	t͡ɕ i ɪ n
磍	kˠ ɛ t̚
磐	b u ɑ n
磑	ŋ u ʌ i
磑	ŋ u ʌ i H
磒	ɦˠ i u ɪ n X
磓	t u ʌ i
磔	ʈˠ æ k̚
磕	kʰ ɑ i H
磖	l ʌ p̚
磚	t͡ɕ i u ᴇ n
磝	ŋˠ a u
磟	l u k̚
磟碡	l u k̚
磡	kʰ ʌ m H
磢	t͡ʃʰ ɨ ɐ ŋ X
磣	t͡ʃʰˠ i ɪ m X
磣黷	t͡ʃʰˠ i ɪ m X
磤	ʔ ɨ n X
磧	t͡sʰ i ᴇ k̚
磨	m u ɑ
磨	m u ɑ H
磨滅	m u ɑ
磨鏡	m u ɑ
磩	t͡sʰ e k̚
磫	t͡s ɨ o ŋ
磬	kʰ e ŋ H
磭	ŋ i ɪ n X
磯	k ɨ i
磰	d͡ʑ i ᴇ n X
磲	ɡ ɨ ʌ
磳	d͡ʒ ɨ ŋ
磴	t ə ŋ H
磶	s i ᴇ k̚
磷	l i ɪ n
磷	l i ɪ n H
磹	d e m H
磻	b u ɑ n
磼	d͡z ʌ p̚
磽	kʰˠ a u
磾	t e i
磿	l e k̚
礉	kʰˠ a u
礊	hˠ w ɛ k̚
礊	kʰˠ æ k̚
礎	t͡ʃʰ ɨ ʌ X
礏	ŋ ʌ p̚
礐	ɦ u k̚
礒	ŋˠ i ᴇ X
礓	k ɨ ɐ ŋ
礘	ŋ ʌ p̚
礙	ŋ ʌ i H
礛	kˠ a m
礜	j ɨ ʌ H
