ং	ŋ
মূর্ধন্য	m u ɾ d̪ʱ ɔ nː o
মূল	m u l
মূল্যবান	m u l l o b a n
মৃগাঙ্ক	m ɾ i ɡ ä ŋ k o
মৃগাঙ্ক	m ɾ i ɡ ɑ ŋ k ɔ
মৃণ্ময়	m ɾ i n m ɔ e̯
মৃত	m ɾ i t̪ o
মৃত্তিকা	m ɾ i t̪ː i k a
মৃত্যু	m ɾ i t̪ː u
মৃত্যুঞ্জয়	m ɾ i t̪ː u n d ʒ ɔ e̯
মৃদু	m ɾ i d̪ u
মে	m e
মেক্সিকো	m e k ʃ i k o
মেঘ	m e ɡʱ
মেঘনা	m e ɡʱ ɔ n a
মেঘালয়	m e ɡʱ a l ɔ e̯
মেচ	m e t ʃ
মেজ	m e d ʒ o
মেজ	m e z
মেজদা	m e d ʒ d̪ a
মেজদাদা	m e d ʒ o d̪ a d̪ a
মেজবান	m e d ʒ b a n
মেজবান	m e z b a n
মেজাজ	m e d ʒ a d ʒ
মেঝে	m e d ʒʱ e
মেড়া	m e ɽ a
মেড়া	m e ɾ a
মেথী	m e tʰ i
মেম	m e m
মেম	m æ m
মেয়াদ	m e a d̪
মেয়ে	m e
মেয়েমানুষ	m e e̯ e m a n u ʃ
মেরা	m e ɾ a
মেরামত	m e ɾ a m ɔ t̪
মেরু	m e ɾ u
মেলা	m e l a
মেলা	m æ l a
মেলানেশিয়া	m e l a n e ʃ i̯ a
মেলামেশা	m æ l a m e ʃ a
মেষ	m e ʃ
মেষশাবক	m e ʃː a b ɔ k
মেস	m e ʃ
মেহজাবিন	m a ɦ d ʒ a b i n
মেহজাবিন	m a ɦ z a b i n
মেহজাবিন	m e ɦ d ʒ a b i n
মেহজাবিন	m e ɦ z a b i n
মেহমান	m æ ɦ m a n
মেহমানী	m æ ɦ m a n i
মেহেরবানি	m e ɦ e ɾ b a n i
মেহেরুন্নেসা	m e ɦ e ɾ u nː e s a
মেহেরুন্নেসা	m e ɦ ɾ u nː e s a
মোকাবিলা	m o k a b i l a
মোগল	m o ɡ o l
মোছা	m o t ʃʰ a
মোজা	m o d ʒ a
মোজেজা	m o d ʒ e z a
মোটা	m o ʈ a
মোড়	m o ɽ
মোড়	m o ɾ
মোড়ল	m o ɽ o l
মোড়ল	m o ɾ o l
মোতি	m o t̪ i
মোনাজাত	m o n a d ʒ a t̪
মোবাইল	m o b a i̯ l
মোরগ	m o ɾ o ɡ
মোরব্বা	m o ɾ ɔ bː a
মোলাকাত	m o l a k a t̪
মোল্লা	m o lː a
মোল্লা	m u lː a
মোহর	m o ɦ ɔ ɾ
মৌ	m o u̯
মৌচাক	m o u̯ t ʃ a k
মৌত	m o u̯ t̪
মৌল	m o u̯ l
মৌলবী	m o u̯ l o b i
মৌসুম	m o u̯ ʃ u m
মৌসুমি	m o u̯ ʃ u m i
ম্যাডাম	m æ ɖ a m
ম্লেচ্ছ	m l e t ʃʰː o
য	d ʒ ɔ
যক্ষ্মা	d ʒ ɔ kʰː a
যখন	d ʒ ɔ kʰ ɔ n
যজ্ঞ	d ʒ o ɡ ɡ o
যত্ন	d ʒ ɔ t̪ n o
যথেষ্ট	d ʒ ɔ t̪ʰ e ʃ ʈ o
যদি	d ʒ o d̪ i
যদিও	d ʒ o d̪ i̯ o
যদ্দিন	d ʒ ɔ d̪ː i n
যন্ত্র	d ʒ ɔ n t r o
যন্ত্রণা	d ʒ ɔ n t̪ ɾ ɔ n a
যন্ত্রণাদায়ক	d ʒ ɔ n t̪ ɾ o n a d̪ a e̯ o k
যবন	d ʒ ɔ b o n
যম	d ʒ ɔ m
যমজ	d ʒ ɔ m o d ʒ
যশোদা	d͡ʒ ɔ ʃ o d̪ ɑ
যশোর	d ʒ ɔ ʃ o ɾ
য়	e̯ ɔ
য়	j ɔ
যা	d ʒ a
যাওয়া	d ʒ a o̯ a
যাচ্ছেতাই	d ʒ a t ʃʰː e t̪ a i̯
যাতে	d ʒ a t̪ e
যাত্রা	d ʒ a t̪ ɾ a
যাদুঘর	d ʒ a d̪ u ɡʱ ɔ ɾ
যান্ত্রিক	d ʒ a n t r i k
যাপন	d ʒ a p o n
যিনা	d ʒ i n a
যিনি	d ʒ i n i
যিরূশালেম	d͡ʒ i r u ʃ a l e m
যিশু	d ʒ i ʃ u
যুক্ত	d͡ʒ u k t̪ ɔ̝ˑ
যুক্তরাজ্য	d ʒ u k t̪ ɔ ɾ a d ʒː o
যুক্তরাষ্ট্র	d ʒ u k t̪ ɔ ɾ a ʃ ʈ ɾ o
যুক্তি	d ʒ u k t̪ i
যুক্তিবাদিতা	d ʒ u k t̪ i b a d̪ i t̪ a
যুক্তিবাদী	d ʒ u k t̪ i b a d̪ i
যুগ	d ʒ u ɡ
যুগল	d ʒ u ɡ ɔ l
যুদ্ধ	d ʒ u d̪ʱː o
যুবক	d ʒ u b ɔ k
যুবতী	d ʒ u b ɔ t̪ i
যুযু	d ʒ u d ʒ u
যুলফিকার	d ʒ u l f i k a ɾ
যুলফিকার	z u l f i k a ɾ
যেখান	d ʒ e kʰ a n
যেন	d ʒ æ n o
যেমন	d ʒ æ m o n
যোগ	d ʒ o ɡ
যোগিনী	d ʒ o ɡ i n i
যোগী	d ʒ o ɡ i
যোনি	d ʒ o n i
র	r ɔ
রং	r ɔ ŋ
রংধনু	r ɔ ŋ d̪ʱ o n u
রংপুর	r ɔ ŋ p u ɾ
রংপুরী	r ɔ ŋ p u ɾ i
রওনা	r ɔ o̯ n a
রওয়া	r ɔ o̯ a
রওয়ানা	r ɔ o̯ a n a
রওশন	r ɔ o̯ ʃ ɔ n
রকম	r ɔ k o m
রক্ত	r ɔ k t̪ o
রক্ষা	r o kʰː a
রচনা	r ɔ t ʃ o n a
রজত	r ɔ d ʒ o t̪
রজনীগন্ধা	r ɔ d ʒ o n i ɡ ɔ n d̪ʱ a
রতন	r ɔ t̪ o n
রত্ন	r ɔ t̪ n o
রব	r ɔ b
রবার	ɹ ɔ b a ɹ
রবি	r o b i
রবিবার	r o b i b a ɾ
রবীন্দ্র	r o b i n d̪ ɾ o
রবীন্দ্রনাথ	ɾ o b i n d̪ ɾ o n a t̪ʰ
রবীন্দ্রসঙ্গীত	r ɔ b i n d r ɔ ʃ ɔ ŋ ɡ i t
রম	r ɔ m
রমজান	ɾ ɔ m d͡ʒ a n
রমজান	ɾ ɔ m z a n
রশিদ	r o ʃ i d̪
রস	r ɔ s
রসগোল্লা	r ɔ ʃ o ɡ o lː a
রসম	r ɔ ʃ o m
রসায়ন	r ɔ ʃ a e̯ ɔ n
রসুই	ɾ ɔ ʃ u i
রসুইঘর	ɾ ɔ ʃ u i ɡʱ ɔ ɾ
রসুল	r o s u l
রহমত	r ɔ ɦ m o t̪
রহমান	r ɔ ɦ m a n
রহস্য	r ɔ ɦ o ʃː o
রহিম	r o ɦ i m
রহিমা	r o ɦ i m a
রাঁধা	r ã d̪ʱ a
রাঁধুনি	r ã d̪ʱ u n i
রাং	ɾ a ŋ
রাই	ɾ a i
রাও	r a o̯
রাক্ষস	r a kʰː ɔ ʃ
রাখা	r a kʰ a
রাখাল	r a kʰ a l
রাগ	r a ɡ
রাগী	r a ɡ i
রাঙা	r a ŋ a
রাজকীয়	r a d ʒ ɔ k i̯ o
রাজকুমার	r a d ʒ k u m a ɾ
রাজধানী	ɾ ɑ d͡ʒ d̪ʱ ɑ n i
রাজপুত	r a d ʒ p u t̪
রাজস্থান	r a d ʒ ɔ s t̪ʰ a n
রাজা	r a d ʒ a
রাজি	r a d ʒ i
রাজিয়া	r a d ʒ i̯ a
রাজ্য	r a d ʒː o
রাঢ়	r a ɽ
রাঢ়	r a ɽʱ
রাঢ়	r a ɾ ɦ
রাণা	r a n a
রাণী	r a n i
রাত	r a t̪
রাধা	r a d̪ʱ a
রান্না	r a nː a
রান্নাঘর	r a nː a ɡʱ ɔ ɾ
রাবণ	r a b o n
রামচন্দ্র	r a m t ʃ ɔ n d̪ ɾ o
রামধনু	r a m d̪ʱ o n u
রামায়ণ	ɾ ɑ m ɑ e̯ ɔ n
রায়	r a e̯
রাশিয়া	r a ʃ i̯ a
রাশেদ	r a ʃ e d̪
রাষ্ট্র	r a ʃ ʈ ɾ o
রাস্তা	ɾ a s t̪ a
রাহুল	r a ɦ u l
রিকশা	r i k ʃ a
রিজিক	r i d ʒ i k
রিজিক	r i z i k
রিমঝিম	r i m d ʒʱ i m
রিশকা	r i ʃ k a
রিষ্ট	ɾ i ʃ ʈ ɔ
রীতি	r i t̪ i
রুজি	r u d ʒ i
রুট	r u ʈ
রুটি	r u ʈ i
রুদ্র	r u d̪ ɾ o
রুদ্রাক্ষ	r u d̪ ɾ a kʰː o
রুপা	r u p a
রুমাল	r u m a l
রুশ	r u ʃ
রূপ	r u p
রূপকথা	r u p k ɔ t̪ʰ a
রূমী	r u m i
রেওয়াজ	r e o̯ a d ʒ
রেজোয়ান	ɾ e d ʒ o w a n
রেজোয়ান	ɾ e z o w a n
রেটিনা	r e ʈ i n a
রেদোয়ান	r e d̪ o̯ a n
রেনেসাঁ	r e n e ʃ ã
রেফ	r e pʰ
রেফ	r e ɸ
রেবেকা	r e b e k a
রেশম	r e ʃ o m
রেস্টুরেন্ট	r e s ʈ u ɾ e n ʈ
রেস্টুরেন্ট	r e ʃ ʈ u ɾ e n ʈ
রেস্তোরাঁ	r e s t̪ o ɾ ã
রেস্তোরাঁ	r e s t̪ õ ɾ a
রেস্তোরাঁ	r e s t̪ ɔ ɾ ã
রেস্তোরাঁ	r e s t̪ ɾ ã
রেস্তোরাঁ	r ẽ s t̪ o ɾ a
রেহাই	r e ɦ a i̯
রোকসানা	r o k s a n a
রোগ	ɾ o ɡ
রোজ	r o d ʒ
রোজগার	r o d ʒ ɡ a ɾ
রোজনামা	r o d ʒ n a m a
রোজা	r o d ʒ a
রোজাদার	ɾ o ɟ a d a ɾ
রোদ	r o d̪
রোম	r o m
রোমান	r o m a n
রোয়াইঙ্গা	r o̯ a i̯ ŋ ɡ a
রোহিত	ɾ o ɦ i t̪
রৌশনী	r o u̯ ʃ ɔ n i
রৌশনী	r oː ʃ ɔ n i
রৌশনী	r ɔ u ʃ ɔ n i
ল	l ɔ
লওয়া	l ɔ o̯ a
লকার	l ɔ k ɑ ɾ
লক্ষ	l ɔ k kʰ ɔ
লক্ষ্মণ	l ɔ kʰː ɔ n
লক্ষ্মী	l ɔ kʰː i
লক্ষ্মীপেঁচা	l ɔ kʰː i p ẽ t ʃ a
লক্ষ্মীফল	l o kːʰ i pʰ ɔ l
লক্ষ্য	l o kʰː o
লঙ্কা	l ɔ ŋ k a
লজেন্স	l ɔ d ʒ e n ʃ
লড়া	l ɔ ɽ a
লড়া	l ɔ ɾ a
লতা	l ɔ t̪ a
লতিফ	l o t̪ i f
লন্ঠন	l ɔ n ʈʰ ɔ n
লন্ডন	l ɔ n ɖ ɔ n
লফজ	l ɔ f z o
লবডঙ্কা	l ɔ b o ɖ ɔ ŋ k a
লবণ	l ɔ b o n
ললিতা	l o l i t̪ a
লস্যি	l ɔ sː i
লহর	l ɔ ɦ o ɾ
লাইব্রেরি	l a i b r e r i
লাউ	l a u̯
লাও	l a o
লাখ	l a kʰ
লাগানো	l a ɡ a n o
লাগাম	l a ɡ a m
লাগিয়া	l a ɡ i̯ a
লাঞ্চ	l a n t ʃ
লাট	l a ʈ
লাঠি	l a ʈʰ i
লাঠিচার্জ	l a tʰ i t ʃ a ɹ d ʒ
লাথি	l a tʰ i
লাফ	l a f
লাফানো	l a f a n o
লাফানো	l a pʰ a n o
লাভ	l a bʱ
লাভা	l a bʱ a
লাল	l a l
লালন	l a l o n
লালা	l a l a
লালি	l æ l i
লাশ	l a ʃ
লিঙ্গ	l i ŋ ɡ o
লিচু	l i t ʃ u
লিপস্টিক	l i p s ʈ i k
লিপস্টিক	l i p ʃ ʈ i k
লিফট	l i f ʈ
লিসবন	l i s b o n
লুকোচুরি	l u k o t ʃ u ɾ i
লুঙ্গি	l u ŋ ɡ i
লুৎফুর	l u t̪ f u ɾ
লেখক	l æ kʰ ɔ k
লেখা	l e kʰ a
লেখা	l æ kʰ a
লেবু	l e b u
লেমনেড	l e m ɔ n e ɖ
লোকসান	l o k ʃ a n
লোচন	l o t ʃ ɔ n
লোপ	l o p
লোহা	l o ɦ a
লোহিত	l o ɦ i t̪
লৌহ	l o u̯ ɦ o
ল্যাজ	l æ d ʒ
শ	ʃ ɔ
শউর	ʃ ɔ u ɾ
শউরী	ʃ ɔ u ɾ i
শওহর	ʃ ɔ o̯ ɦ ɔ ɾ
শক্ত	ʃ ɔ k t̪ o
শখ	ʃ ɔ kʰ
শঙ্খচূড়	ʃ ɔ ŋ kʰ ɔ t ʃ u ɽ
শঙ্খচূড়	ʃ ɔ ŋ kʰ ɔ t ʃ u ɾ
শজারু	ʃ ɔ d͡ʒ a r u
শত	ʃ ɔ t̪ ɔ
শতক	ʃ ɔ t ɔ k
শতরকম	ʃ ɔ t̪ ɔ ɾ ɔ k ɔ m
শতাংশ	ʃ ɔ t ɑ ŋ ʃ ɔ
শতাব্দী	ʃ ɔ t a b d i
শত্রু	ʃ o t̪ ɾ u
শত্রুতা	ʃ ɔ t t ɾ u t a
শনাক্ত	ʃ ɔ n a k t̪ o
শনি	ʃ o n i
শনিবার	ʃ o n i b a ɾ
শবনম	ʃ ɔ b n ɔ m
শব্দ	ʃ ɔ b d̪ o
শয়তান	ʃ ɔ e t̪ a n
শরবত	ʃ ɔ ɾ b o t̪
শরম	ʃ ɔ ɾ o m
শরমানো	ʃ ɔ ɾ m a n o
শরাব	ʃ ɔ r a b
শরীফ	ʃ o ɾ i f
শরীর	ʃ o ɾ i ɾ
শর্করা	ʃ ɔ ɾ k ɔ ɾ a
শর্মিষ্ঠা	ʃ o ɾ m i ʃ ʈʰ a
শরৎ	ʃ ɔ ɾ o t̪
শল্যচিকিৎসা	ʃ ɔ lː o t ʃ i k i t̪ s a
শসা	ʃ ɔ ʃ a
শহর	ʃ ɔ ɦ o ɾ
শহীদ	ʃ o ɦ i d̪
শাক	ʃ a k
শাগ	ʃ a ɡ
শাড়ি	ʃ a ɽ i
শাড়ি	ʃ a ɾ i
শাণ্ডিল্য	ʃ a n ɖ i lː ɔ
শান্ত	ʃ a n t̪ o
শান্তনু	ʃ ɑ n t̪ ɔ n u
শান্তি	ʃ a n t̪ i
শান্তিনিকেতন	ʃ ɑ n t̪ i n i k e t̪ ɔ n
শাফা	ʃ a f a
শাবাশ	ʃ a b a ʃ
শাবাশ	ʃ a bː a ʃ
শামসুজ্জামান	ʃ a m s u d ʑː a m a n
শামসুজ্জামান	ʃ a m s u z z a m a n
শামা	ʃ a m a
শামিয়ানা	ʃ a m i̯ a n a
শামুক	ʃ a m u k
শায়া	ʃ a e̯ a
শারীরিক	ʃ ɑ ɾ i ɾ i k
শাল	ʃ a l
শালগম	ʃ a l ɡ ɔ m
শালা	ʃ a l a
শালি	ʃ a l i
শালিক	ʃ a l i k
শালী	ʃ a l i
শাসন	ʃ a ʃ ɔ n
শাস্ত্র	ʃ a s t̪ ɾ o
শাস্ত্রী	ʃ a s t̪ ɾ i
শাহ	ʃ a
শাহতাজ	ʃ a ɦ t̪ a d ʒ
শাহতাজ	ʃ e ɦ t̪ a d ʒ
শাহরুখ	ʃ a ɦ o ɾ u kʰ
শাহাদাত	ʃ a ɦ a d̪ a t̪
শাহানা	ʃ a ɦ a n a
শাহীন	ʃ a ɦ i n
শিং	ʃ i ŋ
শিউলি	ʃ i u̯ l i
শিকার	ʃ i k a ɾ
শিকারি	ʃ i k a r i
শিক্ষক	ʃ i k kʰ ɔ k
শিক্ষা	ʃ i kːʰ ɑ
শিক্ষামন্ত্রক	ʃ i k kʰ ɑ m ɔ n t̪ ɾ ɔ k
শিক্ষামূলক	ʃ i kːʰ a m u l ɔ k
শিক্ষিত	ʃ i kʰː i t̪ o
শিখ	ʃ i kʰ
শিগ্গির	ʃ i ɡː i ɾ
শিথান	ʃ i t̪ʰ a n
শিবদ্রুম	ʃ i b d r u m
শিয়াল	ʃ i a l
শিরিন	ʃ i ɾ i n
শিরীষ	ʃ i ɾ i ʃ
শিরোনাম	ʃ i ɾ o n a m
শিল	ʃ i l
শিলনোড়া	ʃ i l n o ɽ a
শিলনোড়া	ʃ i l n o ɾ a
শিল্প	ʃ i l p o
শিল্পী	ʃ i l p i
শিশির	ʃ i ʃ i ɾ
শিশু	ʃ i ʃ u
শিশ্ন	ʃ i ʃ n o
শিষ্য	ʃ i ʃ ʃ o
শীঘ্র	ʃ i ɡʱ ɾ o
শীত	ʃ i t̪
শীততাপ	ʃ i t̪ ɔ t̪ a p
শীতাতপ	ʃ i t̪ a t̪ ɔ p
শুঁটকি	ʃ ũ ʈ k i
শুক্র	ʃ u k ɾ o
শুক্রবার	ʃ u k ɾ ɔ b a ɾ
শুক্রাশয়	ʃ u k ɾ a ʃ ɔ e̯
শুদ্ধ	ʃ u d̪ʱː o
শুদ্র	ʃ u d r o
শুধু	ʃ u d̪ʱ u
শুভ	ʃ u bʱ o
শুভেচ্ছা	ʃ u bʱ e t ɕ t ɕʰ a
শুমার	ʃ u m ɑ ɾ
শুয়োর	ʃ u̯ o ɾ
শুরু	ʃ u ɾ u
শুলফা	ʃ u l pʰ a
শূন্য	ʃ u nː o
শেখ	ʃ e kʰ
শেখা	ʃ e kʰ a
শেখানো	ʃ e kʰ a n o
শেয়াল	ʃ e a l
শেষ	ʃ e ʃ
শৈবাল	ʃ o i̯ b a l
শৈলুষ	ʃ o i̯ l u ʃ
শৈশব	ʃ o i̯ ʃ ɔ b
শোক	ʃ o k
শোনা	ʃ o n a
শোয়া	ʃ o̯ a
শ্বাসাঘাত	ʃː a ʃ a ɡʱ a t̪
শ্বেত	ʃː e t̪
শ্মশান	ʃ ɔ ʃ a n
শ্মশ্রু	ʃ w ɔ ʃ ɾ u
শ্মশ্রু	ʃ õ s ʃ ɾ u
শ্যাম	ʃ æ m
শ্যামদেশ	ʃ æ m d̪ e ʃ
শ্যাম্পু	ʃ æ m p u
শ্রবণ	s ɾ ɔ b o n
শ্রম	s ɾ ɔ m
শ্রাবণ	s ɾ a b o n
শ্রী	s ɦ ɾ i
শ্রী	s ɾ i
শ্রীনিকেতন	ʃ ɾ i n i k e t̪ ɔ n
শ্রীফল	s r i pʰ ɔ l
শ্রীবৃক্ষ	s ɾ i b ɾ i kːʰ ɔ
শ্রুতি	s ɾ u t̪ i
শ্রেণী	s ɾ e n i
শ্লেষ্মা	s l e ʃː ã
শ্ৰদ্ধা	s ɹ o d̪ d̪ʱ a
ষ	ʃ ɔ
ষড়যন্ত্র	ʃ ɔ ɽ o d ʒ ɔ n t̪ ɾ o
ষড়যন্ত্র	ʃ ɔ ɾ o d ʒ ɔ n t̪ ɾ o
ষাঁড়	ʃ ã ɽ
ষাঁড়	ʃ ã ɾ
স	s ɔ
সংক্রামক	ʃ ɔ ŋ k ɾ a m ɔ k
সংক্ষেপ	ʃ ɔ ŋ kʰ e p
সংখ্যা	ʃ o ŋ kʰ a
সংগঠন	ʃ ɔ ŋ ɡ ɔ ʈʰ ɔ n
সংগ্রাম	ʃ ɔ ŋ ɡ ɾ a m
সংঘর্ষ	ʃ ɔ ŋ ɡʱ ɔ ɾ ʃ o
সংবাদ	ʃ ɔ ŋ b a d̪
সংবিধান	ʃ ɔ ŋ b i d̪ʱ a n
সংশয়	ʃ ɔ ŋ ʃ ɔ e̯
সংশোধন	ʃ ɔ ŋ ʃ o d̪ʱ o n
সংসদ	ʃ ɔ̃ ʃ ɔ d̪
সংসার	ʃ ɔ ŋ ʃ a ɾ
সংস্কৃত	ʃ ɔ ŋ s k ɾ i t̪ o
সংস্কৃতি	ʃ ɔ ŋ s k ɾ i t̪ i
সই	ʃ o i̯
সওদা	ʃ ɔ o̯ d̪ a
সওয়া	ʃ ɔ o̯ a
সওয়ার	ʃ ɔ o̯ a ɾ
সকল	ʃ ɔ k o l
সকাল	ʃ ɔ k a l
সখা	ʃ ɔ kʰ a
সখী	ʃ o kʰ i
সঙ্কেত	ʃ ɔ ŋ k e t
সঙ্গম	ʃ ɔ ŋ ɡ ɔ m
সঙ্গীত	ʃ ɔ ŋ ɡ i t
সঙ্গে	ʃ ɔ ŋ ɡ e
সজারু	ʃ ɔ d ʒ a ɾ u
সঠিক	ʃ ɔ ʈʰ i k
সড়ক	ʃ ɔ ɽ o k
সড়ক	ʃ ɔ ɾ o k
সত্ত্ব	ʃ ɔ t̪ː o
সত্ত্বেও	ʃ ɔ t̪ː e o̯
সত্য	ʃ ɔ t̪ː o
সত্যজিৎ	s̠ o t̪ː o d͡ʒ i t̪
সত্যজিৎ	ʃ ɔ t̪ t̪ ɔ d͡ʒ i t̪
সত্যফল	ʃ o tː ɔ pʰ ɔ l
সত্যি	ʃ ɔ t̪ː i
সত্যেন্দ্রনাথ	ʃ ɔ t̪ː e n d̪ ɾ ɔ n a t̪ʰ
সদকা	s ɔ d̪ k a
সদর	ʃ ɔ d̪ o ɾ
সদরদপ্তর	ʃ ɔ d̪ o ɾ d̪ ɔ f t o ɾ
সদরদফতর	ʃ ɔ d̪ o ɾ d̪ ɔ f t o ɾ
সদা	ʃ ɔ d̪ a
সদাই	ʃ ɔ d̪ a i
সদৃশ	ʃ ɔ d̪ ɾ i ʃ
সন	ʃ ɔ n
সনদ	ʃ ɔ n o d̪
সনদপত্র	ʃ ɔ n o d̪ p ɔ t̪ ɾ o
সনাতন	ʃ ɔ n a t ɔ n
সনে	ʃ ɔ n e
সন্ত	ʃ ɔ n t̪ o
সন্তান	ʃ ɔ n t̪ a n
সন্দেশ	ʃ ɔ n d e ʃ
সন্ধ্যা	ʃ ɔ n d̪ʱ a
সপ্তাহ	ʃ ɔ p t̪ a
সপ্তাহ	ʃ ɔ p t̪ a ɦ o
সফটওয়্যার	ʃ ɔ pʰ ʈ w æ r
সফর	s ɔ f o ɾ
সফল	ʃ ɔ f ɔ l
সব	ʃ ɔ b
সবই	ʃ ɔ b o i̯
সবকিছু	ʃ ɔ b k i t ʃʰ u
সবচেয়ে	ʃ ɔ b t ʃ e
সবচেয়ে	ʃ ɔ p t ɕ e
সবচেয়ে	ʃ ɔ p t ʃ e
সবজজ	s ɔ b d ʒ ɔ d ʒ
সবজা	ʃ ɔ b d ʒ a
সবজি	ʃ o b d ʒ i
সবজি	ʃ ɔ b d ʒ i
সবর	s ɔ b o ɾ
সবসময়	ʃ ɔ b ʃ ɔ m ɔ e̯
সবাই	ʃ ɔ b a i̯
সবার	ʃ ɔ b a ɾ
সবুজ	ʃ o b u d ʒ
সব্যসাচী	ʃ o bː o ʃ a t ʃ i
সভা	ʃ ɔ bʱ a
সমকামিতা	s ɔ m ɔ k a m i t̪ a
সমকামিতা	ʃ ɔ m ɔ k a m i t̪ a
সমকামী	ʃ ɔ m ɔ k a m i
সমন	ʃ ɔ m o n
সময়	ʃ ɔ m ɔ e̯
সময়কাল	ʃ ɔ m ɔ e̯ k a l
সমস্ত	s̠ o m o s̠ t̪ o
সমস্ত	ʃ ɔ m ɔ ʃ t̪ ɔ
সমস্যা	ʃ ɔ m o ʃː a
সমাজ	ʃ ɔ m a d ʒ
সমাজতন্ত্র	ʃ ɔ m a d ʒ t̪ ɔ n t̪ ɾ o
সমাজতান্ত্রিক	ʃ ɔ m a d ʒ t̪ a n t̪ ɾ i k
সমাদর	ʃ ɔ m a d̪ o ɾ
সমাদর	ʃ ɔ m a d̪ ɔ ɾ
সমাধান	ʃ ɔ m a d̪ʱ a n
সমাধি	ʃ ɔ m a d̪ʱ i
সমীরণ	ʃ o m i ɾ ɔ n
সমুদ্র	ʃ o m u d r o
সমৃদ্ধ	ʃ ɔ m ɾ i d̪ d̪ʱ ɔ
সম্পত্তি	ʃ ɔ m p o t̪ː i
সম্পর্ক	s ɔ m p ɔ ɾ k o
সম্পর্কে	ʃ ɔ m p ɔ ɾ k e
সম্পাদক	ʃ ɔ m p ɑ d̪ ɔ k
সম্পাদিকা	ʃ ɔ m p a d̪ i k a
সম্পূর্ণ	ʃ ɔ m p u ɾ n o
সম্বন্ধে	ʃ ɔ m b ɔ n d̪ʱ e
সম্ভব	ʃ ɔ m bʱ ɔ b
সম্মতি	ʃ ɔ m m ɔ t̪ i
সম্মান	ʃ ɔ mː a n
সম্মেলন	ʃ ɔ mː e l ɔ n
সরকার	ʃ ɔ ɹ k a ɹ
সরদ	ʃ ɔ ɾ ɔ d̪
সরবরাহ	ʃ ɔ ɾ b o ɾ a ɦ o
সরল	ʃ ɔ ɾ o l
সরষে	ʃ o ɾ ʃ e
সরস্বতী	ʃ ɔ ɾ o ʃː o t̪ i
সরা	ʃ ɔ r a
সরানো	ʃ ɔ r a n o
সরীসৃপ	ʃ o r i ʃ r i p
সরোজ	ʃ ɔ ɾ o d ʒ
সর্জি	ʃ ɔ ɾ d ʒ i
সর্জিকা	ʃ ɔ ɾ d ʒ i k a
সর্দি	ʃ o ɾ d̪ i
সর্ব	ʃ ɔ ɾ b o
সর্বকামী	ʃ ɔ ɾ b ɔ k a m i
সর্বদা	ʃ ɔ ɾ b o d̪ a
সর্বোত্তম	ʃ ɔ ɾ b o t̪ː ɔ m
সলতনত	s ɔ l t̪ ɔ n ɔ t̪
সলতনৎ	s ɔ l t̪ ɔ n ɔ t̪
সলিল	ʃ o l i l
সস্তা	ʃ ɔ s t̪ a
সহকর্মী	ʃ ɔ ɦ ɔ k ɔ ɾ m i
সহকার	ʃ ɔ ɦ o k a ɾ
সহচর	ʃ ɔ ɦ o t ʃ ɔ ɾ
সহজ	ʃ ɔ ɦ o d ʒ
সহযোগিতা	ʃ ɔ ɦ ɔ d͡ʒ o ɡ i t̪ ɑ
সহস্র	ʃ ɔ ɦ o s ɾ o
সহস্রাব্দ	ʃ ɔ ɦ o s ɾ a b d̪ o
সহ্য	ʃ ɔ d ʒʱː o
সাঁই	ʃ ã i
সাঁওতাল	ʃ ã o t̪ a l
সাঁওতালি	ʃ ã o t̪ a l i
সাঁকো	ʃ ã k o
সাঁঝ	ʃ ã d ʒʱ
সাঁতরানো	ʃ ã t̪ r a n o
সাঁতার	ʃ ã t̪ a ɾ
সাং	ʃ a ŋ
সাংস্কৃতিক	ʃ a ŋ s k ɾ i t̪ i k
সাইফ	s a i̯ f
সাঈদ	s a i̯ d̪
সাকিব	s a k i b
সাকিব	ʃ a k i b
সাক্ষি	ʃ a kʰː i
সাক্ষী	ʃ a kʰː i
সাক্ষ্য	s a kʰː o
সাখী	ʃ a kʰ i
সাগর	ʃ a ɡ ɔ ɾ
সাগু	ʃ a ɡ u
সাজা	ʃ a d ʒ a
সাজানো	ʃ a d ʒ a n o
সাড়ে	ʃ a ɽ e
সাড়ে	ʃ a ɾ e
সাত	ʃ a t̪
সাতক্ষীরা	ʃ a t̪ kʰ i ɾ a
সাথে	ʃ a t̪ʰ e
সাদমান	s a d̪ m a n
সাদা	ʃ a d̪ a
সাদিয়া	s a d̪ i̯ a
সাধ	ʃ a d̪ʱ
সাধা	ʃ a d̪ʱ a
সাধারণ	ʃ a d̪ʰ a r o n
সাধুভাষা	ʃ a d̪ʱ u bʱ a ʃ a
সানাই	ʃ a n a i̯
সান্ত্বনা	ʃ a n t̪ o n a
সাপ	ʃ a p
সাফ	s a f
সাবধান	ʃ a b d̪ʱ a n
সাবধানতা	ʃ a b d̪ʱ a n o t̪ a
সাবরিনা	s a b ɾ i n a
সাবান	ʃ a b a n
সাবিত	s a b i t̪
সাব্যস্ত	ʃ a bː o s t̪ o
সাভার	s a bʱ a ɾ
সাভার	ʃ a bʱ a ɾ
সামনে	ʃ a m n e
সামলানো	ʃ a m l a n o
সামিয়া	s a m i̯ a
সামী	s a m i
সামুদ্রিক	ʃ a m u d r i k
