Ⴀ	ɑ
მოწიწება	m o t͡sʼ i t͡sʼ e b a
მოწიწებით	m o t͡sʼ i t͡sʼ e b i tʰ
მოწმე	m o t͡sʼ m e
მოწმობა	m o t͡sʼ m o b a
მოწოდება	m o t͡sʼ o d e b a
მოწონებით	m o t͡sʼ o n e b i tʰ
მოწყალება	m o t͡sʼ χʼ a l e b a
მოწყალედ	m o t͡sʼ χʼ a l e d
მოწყენილობა	m o t͡sʼ χʼ e n i ɫ o b a
მოწყობილობა	m o t͡sʼ χʼ o b i ɫ o b a
მოჭარბებულად	m o t͡ʃʼ a ɾ b e b u ɫ a d
მოჭიდავე	m o t͡ʃʼ i d a v e
მოჭიმულად	m o t͡ʃʼ i m u ɫ a d
მოჭრის	m o t͡ʃʼ ɾ i s
მოხარშვა	m o χ a ɾ ʃʷ a
მოხდა	m o χ d a
მოხელე	m o χ e l e
მოხერხებულად	m o χ e ɾ χ e b u ɫ a d
მოხერხებული	m o χ e ɾ χ e b u l i
მოხრილობა	m o χ ɾ i ɫ o b a
მოხსენება	m o χ s e n e b a
მოხუცებულობა	m o χ u t͡sʰ e b u ɫ o b a
მოხუცი	m o χ u t͡sʰ i
მჟავა	m ʒ a v a
მჟავე	m ʒ a v e
მჟავედ	m ʒ a v e d
მჟავური	m ʒ a v u ɾ i
მჟაუნა	m ʒ a u n a
მრავალგანზომილება	m ɾ a v a l ɡ a n z o m i l e b a
მრავალგანზომილებიანი	m ɾ a v a l ɡ a n z o m i l e b i a n i
მრავალგვარი	m ɾ a v a l ɡʷ a ɾ i
მრავალი	m ɾ a v a l i
მრავალკუთხა	m ɾ a v a l kʼ u tʰ χ a
მრავალკუთხედი	m ɾ a v a l kʼ u tʰ χ e d i
მრავალმნიშვნელოვანი	m ɾ a v a l m n i ʃʷ n e ɫ o v a n i
მრავალმნიშვნელოვნად	m ɾ a v a l m n i ʃʷ n e ɫ o v n a d
მრავალმხრივი	m ɾ a v a l m χ ɾ i v i
მრავალსამყარო	m ɾ a v a l s a m χʼ a ɾ o
მრავალსაუკუნოვანი	m ɾ a v a l s a u kʼ u n o v a n i
მრავალუჯრედიანი	m ɾ a v a ɫ u d͡ʒ ɾ e d i a n i
მრავალუჯრედიანობა	m ɾ a v a ɫ u d͡ʒ ɾ e d i a n o b a
მრავალფეროვანი	m ɾ a v a l pʰ e ɾ o v a n i
მრავალფეროვნად	m ɾ a v a l pʰ e ɾ o v n a d
მრავალფეროვნება	m ɾ a v a l pʰ e ɾ o v n e b a
მრავალძარღვა	m ɾ a v a l d͡z a ɾ ʁʷ a
მრავალხმიანი	m ɾ a v a l χ m i a n i
მრავალჯერადი	m ɾ a v a l d͡ʒ e ɾ a d i
მრავლისმთქმელად	m ɾ a v l i s m tʰ kʰ m e ɫ a d
მრავლობითი	m ɾ a v ɫ o b i tʰ i
მრგვალი	m ɾ ɡʷ a l i
მრგვლად	m ɾ ɡʷ ɫ a d
მრევლი	m ɾ e v l i
მრეწველი	m ɾ e t͡sʼʷ e l i
მრეწველობა	m ɾ e t͡sʼʷ e ɫ o b a
მრისხანე	m ɾ i s χ a n e
მრისხანედ	m ɾ i s χ a n e d
მრიცხველი	m ɾ i t͡sʰ χʷ e l i
მრუდე	m ɾ u d e
მრუდედ	m ɾ u d e d
მრუში	m ɾ u ʃ i
მრუშობა	m ɾ u ʃ o b a
მსახიობი	m s a χ i o b i
მსახურთუხუცესი	m s a χ u ɾ tʰ u χ u t͡sʰ e s i
მსახური	m s a χ u ɾ i
მსაჯი	m s a d͡ʒ i
მსგავსად	m s ɡ a f s a d
მსგავსება	m s ɡ a f s e b a
მსგავსი	m s ɡ a f s i
მსოფლიო	m s o pʰ l i o
მსოფლიოდ	m s o pʰ l i o d
მსოფლიოთი	m s o pʰ l i o tʰ i
მსოფლიომ	m s o pʰ l i o m
მსოფლიოს	m s o pʰ l i o s
მსროლელი	m s ɾ o l e l i
მსუბუქად	m s u b u kʰ a d
მსუბუქი	m s u b u kʰ i
მსუქანი	m s u kʰ a n i
მსუქნად	m s u kʰ n a d
მსუყე	m s u χʼ e
მსხალდიდი	m s χ a l d i d i
მსხალი	m s χ a l i
მსხვერპლი	m s χʷ e ɾ pʼ l i
მსხვილი	m s χʷ i l i
მსჯელობა	m s d͡ʒ e ɫ o b a
მტანჯველად	m tʼ a n d͡ʒʷ e ɫ a d
მტაცებლური	m tʼ a t͡sʰ e b ɫ u ɾ i
მტევანი	m tʼ e v a n i
მტერი	m tʼ e ɾ i
მტვერი	m tʼʷ e ɾ i
მტვერსასრუტი	m tʼʷ e ɾ s a s ɾ u tʼ i
მტვრიანა	m tʼʷ ɾ i a n a
მტვრიანი	m tʼʷ ɾ i a n i
მტირალა	m tʼ i ɾ a ɫ a
მტირალი	m tʼ i ɾ a l i
მტკაველი	m tʼ kʼ a v e l i
მტკვარი	m tʼ kʼʷ a ɾ i
მტკივა	m tʼ kʼ i v a
მტკივნეულად	m tʼ kʼ i v n e u ɫ a d
მტკივნეული	m tʼ kʼ i v n e u l i
მტკივნეულობა	m tʼ kʼ i v n e u ɫ o b a
მტკიცე	m tʼ kʼ i t͡sʰ e
მტკიცება	m tʼ kʼ i t͡sʰ e b a
მტკიცებითი	m tʼ kʼ i t͡sʰ e b i tʰ i
მტკიცებულება	m tʼ kʼ i t͡sʰ e b u l e b a
მტკიცედ	m tʼ kʼ i t͡sʰ e d
მტრედი	m tʼ ɾ e d i
მტრობა	m tʼ ɾ o b a
მტრულად	m tʼ ɾ u ɫ a d
მტრული	m tʼ ɾ u l i
მტყუანი	m tʼ χʼ u a n i
მუარი	m u a ɾ i
მუგუზალი	m u ɡ u z a l i
მუდამ	m u d a m
მუდარა	m u d a ɾ a
მუდმივა	m u d m i v a
მუდმივად	m u d m i v a d
მუდმივი	m u d m i v i
მუდმივობა	m u d m i v o b a
მუდრეგი	m u d ɾ e ɡ i
მუეძინი	m u e d͡z i n i
მუზა	m u z a
მუზარადი	m u z a ɾ a d i
მუზეუმი	m u z e u m i
მუთაქა	m u tʰ a kʰ a
მუკერძოებლად	m u kʼ e ɾ d͡z o e b ɫ a d
მულატი	m u ɫ a tʼ i
მული	m u l i
მულტიმედიური	m u l tʼ i m e d i u ɾ i
მულტისამყარო	m u l tʼ i s a m χʼ a ɾ o
მუმია	m u m i a
მუმიფიკაცია	m u m i pʰ i kʼ a t͡sʰ i a
მუნდშტუკი	m u n d ʃ tʼ u kʼ i
მუნიანი	m u n i a n i
მუნიციპალიტეტად	m u n i t͡sʰ i pʼ a l i tʼ e tʼ a d
მუნიციპალიტეტი	m u n i t͡sʰ i pʼ a l i tʼ e tʼ i
მუნიციპალიტეტით	m u n i t͡sʰ i pʼ a l i tʼ e tʼ i tʰ
მუნიციპალიტეტის	m u n i t͡sʰ i pʼ a l i tʼ e tʼ i s
მუნიციპალიტეტმა	m u n i t͡sʰ i pʼ a l i tʼ e tʼ m a
მუნიციპალიტეტს	m u n i t͡sʰ i pʼ a l i tʼ e tʼ s
მუნიციპალურად	m u n i t͡sʰ i pʼ a ɫ u ɾ a d
მუნიციპალური	m u n i t͡sʰ i pʼ a ɫ u ɾ i
მუნჯად	m u n d͡ʒ a d
მუნჯი	m u n d͡ʒ i
მურაბა	m u ɾ a b a
მური	m u ɾ i
მურყანი	m u ɾ χʼ a n i
მუსაიფი	m u s a i pʰ i
მუსი	m u s i
მუსიკა	m u s i kʼ a
მუსიკად	m u s i kʼ a d
მუსიკალურად	m u s i kʼ a ɫ u ɾ a d
მუსიკალური	m u s i kʼ a ɫ u ɾ i
მუსიკამ	m u s i kʼ a m
მუსიკას	m u s i kʼ a s
მუსიკით	m u s i kʼ i tʰ
მუსიკის	m u s i kʼ i s
მუსიკოსი	m u s i kʼ o s i
მუსკატი	m u s kʼ a tʼ i
მუსლიმი	m u s l i m i
მუსლინი	m u s l i n i
მუსონი	m u s o n i
მუსტანგი	m u s tʼ a n ɡ i
მუსულმანი	m u s u l m a n i
მუტაცია	m u tʼ a t͡sʰ i a
მუტრუკი	m u tʼ ɾ u kʼ i
მუფთა	m u pʰ tʰ a
მუქარით	m u kʰ a ɾ i tʰ
მუქი	m u kʰ i
მუღამი	m u ʁ a m i
მუყაითად	m u χʼ a i tʰ a d
მუყაითი	m u χʼ a i tʰ i
მუყაითობა	m u χʼ a i tʰ o b a
მუყაო	m u χʼ a o
მუშა	m u ʃ a
მუშაკი	m u ʃ a kʼ i
მუშამბა	m u ʃ a m b a
მუშაობა	m u ʃ a o b a
მუშაობს	m u ʃ a o b s
მუშკეტერი	m u ʃ kʼ e tʼ e ɾ i
მუშკეტი	m u ʃ kʼ e tʼ i
მუშკი	m u ʃ kʼ i
მუშტარი	m u ʃ tʼ a ɾ i
მუშტი	m u ʃ tʼ i
მუცელი	m u t͡sʰ e l i
მუჭი	m u t͡ʃʼ i
მუხა	m u χ a
მუხათგვერდი	m u χ a tʰ ɡʷ e ɾ d i
მუხათი	m u χ a tʰ i
მუხათწყარო	m u χ a tʰ t͡sʼ χʼ a ɾ o
მუხანათი	m u χ a n a tʰ i
მუხანათურად	m u χ a n a tʰ u ɾ a d
მუხანათური	m u χ a n a tʰ u ɾ i
მუხლი	m u χ l i
მუხლუხი	m u χ ɫ u χ i
მუხრუჭი	m u χ ɾ u t͡ʃʼ i
მუხუდო	m u χ u d o
მუჯლუგუნი	m u d͡ʒ ɫ u ɡ u n i
მუჰამედი	m u h a m e d i
მუჰაჯირობა	m u h a d͡ʒ i ɾ o b a
მფარველობა	m pʰ a ɾʷ e ɫ o b a
მფარველურად	m pʰ a ɾʷ e ɫ u ɾ a d
მფლანგველობა	m pʰ ɫ a n ɡʷ e ɫ o b a
მფლანგველურად	m pʰ ɫ a n ɡʷ e ɫ u ɾ a d
მფლობელობა	m pʰ ɫ o b e ɫ o b a
მფრინველი	m pʰ ɾ i nʷ e l i
მქონდა	m kʰ o n d a
მქრქალად	m kʰ ɾ kʰ a ɫ a d
მქრქალი	m kʰ ɾ kʰ a l i
მღერის	m ʁ e ɾ i s
მღვდელი	m ʁʷ d e l i
მღვდლობა	m ʁʷ d ɫ o b a
მღვიმე	m ʁʷ i m e
მღვრიე	m ʁʷ ɾ i e
მყარად	m χʼ a ɾ a d
მყარი	m χʼ a ɾ i
მყესი	m χʼ e s i
მყვირალა	m χʼʷ i ɾ a ɫ a
მყინვარი	m χʼ i nʷ a ɾ i
მყისიერი	m χʼ i s i e ɾ i
მყიფე	m χʼ i pʰ e
მყოფი	m χʼ o pʰ i
მყრალი	m χʼ ɾ a l i
მყუდრო	m χʼ u d ɾ o
მყუდროდ	m χʼ u d ɾ o d
მყუდროება	m χʼ u d ɾ o e b a
მშენებლობა	m ʃ e n e b ɫ o b a
მშვენება	m ʃʷ e n e b a
მშვენიერი	m ʃʷ e n i e ɾ i
მშვენივრად	m ʃʷ e n i v ɾ a d
მშვიდად	m ʃʷ i d a d
მშვიდი	m ʃʷ i d i
მშვიდობა	m ʃʷ i d o b a
მშვიდობიანად	m ʃʷ i d o b i a n a d
მშვიდობიანი	m ʃʷ i d o b i a n i
მშვიდობით	m ʃʷ i d o b i tʰ
მშვიდობისმოყვარული	m ʃʷ i d o b i s m o χʼʷ a ɾ u l i
მშვილდი	m ʃʷ i l d i
მშვილდოსანი	m ʃʷ i l d o s a n i
მშვილდოსნობა	m ʃʷ i l d o s n o b a
მშია	m ʃ i a
მშიერი	m ʃ i e ɾ i
მშიშარა	m ʃ i ʃ a ɾ a
მშობელი	m ʃ o b e l i
მშობელნაცვალი	m ʃ o b e l n a t͡sʰʷ a l i
მშობიარე	m ʃ o b i a ɾ e
მშობიარობა	m ʃ o b i a ɾ o b a
მშობლიური	m ʃ o b l i u ɾ i
მშრალად	m ʃ ɾ a ɫ a d
მშრალი	m ʃ ɾ a l i
მშრალხევი	m ʃ ɾ a l χ e v i
მჩატე	m t͡ʃʰ a tʼ e
მჩქეფარე	m t͡ʃʰ kʰ e pʰ a ɾ e
მცდარად	m t͡sʰ d a ɾ a d
მცდარი	m t͡sʰ d a ɾ i
მცდარობა	m t͡sʰ d a ɾ o b a
მცდელობა	m t͡sʰ d e ɫ o b a
მცენარე	m t͡sʰ e n a ɾ e
მცენარეული	m t͡sʰ e n a ɾ e u l i
მცენარეულობა	m t͡sʰ e n a ɾ e u ɫ o b a
მცველი	m t͡sʰʷ e l i
მცირე	m t͡sʰ i ɾ e
მცნება	m t͡sʰ n e b a
მცოდნე	m t͡sʰ o d n e
მცურავი	m t͡sʰ u ɾ a v i
მცხეთა	m t͡sʰ χ e tʰ a
მცხუნვარე	m t͡sʰ χ u nʷ a ɾ e
მცხუნვარედ	m t͡sʰ χ u nʷ a ɾ e d
მძარცველი	m d͡z a ɾ t͡sʰʷ e l i
მძარცველურად	m d͡z a ɾ t͡sʰʷ e ɫ u ɾ a d
მძარცველური	m d͡z a ɾ t͡sʰʷ e ɫ u ɾ i
მძაფრი	m d͡z a pʰ ɾ i
მძევალი	m d͡z e v a l i
მძვინვარებით	m d͡zʷ i nʷ a ɾ e b i tʰ
მძვინვარედ	m d͡zʷ i nʷ a ɾ e d
მძივი	m d͡z i v i
მძივისებრი	m d͡z i v i s e b ɾ i
მძიმე	m d͡z i m e
მძინარა	m d͡z i n a ɾ a
მძინარე	m d͡z i n a ɾ e
მძინარედ	m d͡z i n a ɾ e d
მძულვარება	m d͡z u lʷ a ɾ e b a
მძღნერი	m d͡z ʁ n e ɾ i
მძღოლი	m d͡z ʁ o l i
მწარე	m t͡sʼ a ɾ e
მწარედ	m t͡sʼ a ɾ e d
მწდე	m t͡sʼ d e
მწე	m t͡sʼ e
მწებვარედ	m t͡sʼ e bʷ a ɾ e d
მწევარი	m t͡sʼ e v a ɾ i
მწერალი	m t͡sʼ e ɾ a l i
მწერი	m t͡sʼ e ɾ i
მწვადი	m t͡sʼʷ a d i
მწვავე	m t͡sʼʷ a v e
მწვავედ	m t͡sʼʷ a v e d
მწვანე	m̥ t͡sʼʷ a n e̞
მწვანილი	m t͡sʼʷ a n i l i
მწვერვალი	m t͡sʼʷ e ɾʷ a l i
მწვრთნელი	m̥ t͡sʼʷ ɾ tʰ n e̞ l i
მწიკვი	m t͡sʼ i kʼʷ i
მწირად	m t͡sʼ i ɾ a d
მწირი	m t͡sʼ i ɾ i
მწიფე	m t͡sʼ i pʰ e
მწიფედ	m t͡sʼ i pʰ e d
მწკრივად	m t͡sʼ kʼ ɾ i v a d
მწკრივი	m t͡sʼ kʼ ɾ i v i
მწკრივში	m t͡sʼ kʼ ɾ i f ʃ i
მწნილი	m t͡sʼ n i l i
მწუხარება	m t͡sʼ u χ a ɾ e b a
მწუხარედ	m t͡sʼ u χ a ɾ e d
მწუხრი	m t͡sʼ u χ ɾ i
მწყემსი	m t͡sʼ χʼ e m s i
მწყერი	m t͡sʼ χʼ e ɾ i
მწყერფეხა	m t͡sʼ χʼ e ɾ pʰ e χ a
მწყერჩიტა	m t͡sʼ χʼ e ɾ t͡ʃʰ i tʼ a
მწყინს	m t͡sʼ χʼ i n s
მწყურია	m t͡sʼ χʼ u ɾ i a
მჭადი	m t͡ʃʼ a d i
მჭამელი	m t͡ʃʼ a m e l i
მჭედელი	m t͡ʃʼ e d e l i
მჭედლიშვილი	m t͡ʃʼ e d l i ʃʷ i l i
მჭევრმეტყველურად	m t͡ʃʼ e v ɾ m e tʼ χʼʷ e ɫ u ɾ a d
მჭიდრო	m t͡ʃʼ i d ɾ o
მჭიდროდ	m t͡ʃʼ i d ɾ o d
მჭირდება	m t͡ʃʼ i ɾ d e b a
მჭლე	m t͡ʃʼ l e
მჭლედ	m t͡ʃʼ l e d
მჭრელი	m t͡ʃʼ ɾ e l i
მხარბეჭიანი	m χ a ɾ b e t͡ʃʼ i a n i
მხარდაჭერა	m χ a ɾ d a t͡ʃʼ e ɾ a
მხარე	m χ a ɾ e
მხარედ	m χ a ɾ e d
მხარემ	m χ a ɾ e m
მხარეს	m χ a ɾ e s
მხარი	m χ a ɾ i
მხარით	m χ a ɾ i tʰ
მხარის	m χ a ɾ i s
მხატვარი	m χ a tʼʷ a ɾ i
მხატვრული	m χ a tʼʷ ɾ u l i
მხდალი	m χ d a l i
მხები	m χ e b i
მხედარი	m χ e d a ɾ i
მხედველობა	m χ e dʷ e ɫ o b a
მხედრული	m χ e d ɾ u l i
მხეცი	m χ e t͡sʰ i
მხეცობა	m χ e t͡sʰ o b a
მხეცურად	m χ e t͡sʰ u ɾ a d
მხეცური	m χ e t͡sʰ u ɾ i
მხიარულად	m χ i a ɾ u ɫ a d
მხიარული	m χ i a ɾ u l i
მხიე	m χ i e
მხნე	m χ n e
მხნედ	m χ n e d
მხოლობითად	m χ o ɫ o b i tʰ a d
მხოლობითი	m χ o ɫ o b i tʰ i
მხოლოდ	m χ o ɫ o d
მხოლოდდამხოლოდ	m χ o ɫ o d d a m χ o ɫ o d
მხოლოდშობილი	m χ o ɫ o d ʃ o b i l i
მხოლოობითი	m χ o ɫ o o b i tʰ i
მხურვალედ	m χ u ɾʷ a l e d
მხცოვანი	m χ t͡sʰ o v a n i
მჯდომარე	m d͡ʒ d o m a ɾ e
ნ	n
ნაადრევად	n a a d ɾ e v a d
ნაადრევი	n a a d ɾ e v i
ნაბათი	n a b a tʰ i
ნაბიჭვარი	n a b i t͡ʃʼʷ a ɾ i
ნაბიჯები	n a b i d͡ʒ e b i
