㒒	p ɔ k̚ ⁴
標語	p i a u ⁴ ⁴ ⁻ ³ ³ ɡ i ⁴ ¹
標語	pʰ i a u ⁴ ⁴ ⁻ ³ ³ ɡ i ⁴ ¹
標頭	pʰ i a u ⁴ ⁴ ⁻ ³ ³ tʰ a u ² ³
標題	p i a u ⁴ ⁴ ⁻ ³ ³ t e ² ³
標題	pʰ i a u ⁴ ⁴ ⁻ ³ ³ t e ² ³
標高	p i a u ⁴ ⁴ ⁻ ³ ³ k ɤ ⁴ ⁴
標高	pʰ i a u ⁴ ⁴ ⁻ ³ ³ k ɤ ⁴ ⁴
標點	p i a u ⁴ ⁴ ⁻ ³ ³ t i a m ⁴ ¹
標點	pʰ i a u ⁴ ⁴ ⁻ ³ ³ t i a m ⁴ ¹
樛	kʰ i u ⁴ ⁴
樞	t͡sʰ u ⁴ ⁴
樞機	t͡sʰ u ⁴ ⁴ ⁻ ³ ³ k i ⁴ ⁴
樞機主教	t͡sʰ u ⁴ ⁴ ⁻ ³ ³ k i ⁴ ⁴ ⁻ ³ ³ t͡s u ⁴ ¹ ⁻ ⁴ ⁴ k a u ² ¹
樞紐	t͡sʰ u ⁴ ⁴ ⁻ ³ ³ l i u ⁴ ¹
樟	t͡s i ũ ⁴ ⁴
樟	t͡s i ɔ ŋ ⁴ ⁴
樟仔	t͡s i ũ ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹
樟樹	t͡s i ũ ⁴ ⁴ ⁻ ³ ³ t͡sʰ i u ³ ³
樟腦	t͡s i ũ ⁴ ⁴ ⁻ ³ ³ l ɤ ⁴ ¹
樟腦丸	t͡s i ũ ⁴ ⁴ ⁻ ³ ³ l ɤ ⁴ ¹ ⁻ ⁴ ⁴ u a n ² ³
樠	m i ã ² ³
模	b ɔ ² ³
模	m ɔ̃ ² ³
模仔	b ɔ ² ³ ⁻ ³ ³ a ⁴ ¹
模仿	b ɔ ² ³ ⁻ ³ ³ h ɔ ŋ ⁴ ¹
模仿	m ɔ̃ ² ³ ⁻ ³ ³ h ɔ ŋ ⁴ ¹
模具	b ɔ ² ³ ⁻ ³ ³ kʰ u ³ ³
模型	b ɔ ² ³ ⁻ ³ ³ h i ɪ ŋ ² ³
模塊	b ɔ ² ³ ⁻ ³ ³ kʰ u a i ² ¹
模塊	m ɔ̃ ² ³ ⁻ ³ ³ kʰ u a i ² ¹
模式	b ɔ ² ³ ⁻ ³ ³ s i ɪ k̚ ³ ²
模擬	b ɔ ² ³ ⁻ ³ ³ ɡ i ⁴ ¹
模板	b ɔ ² ³ ⁻ ³ ³ p a n ⁴ ¹
模樣	b ɔ ² ³ ⁻ ³ ³ i ũ ³ ³
模特兒	b ɔ ² ³ ⁻ ³ ³ t i ɪ k̚ ⁴ ⁻ ³ ² z i ² ³
模範	b ɔ ² ³ ⁻ ³ ³ h u a n ³ ³
模糊	b ɔ ² ³ ⁻ ³ ³ h ɔ ² ³
模組	b ɔ ² ³ ⁻ ³ ³ t͡s ɔ ⁴ ⁴
模組	m ɔ̃ ² ³ ⁻ ³ ³ t͡s ɔ ⁴ ¹
樣	i ũ ³ ³
樣	i ɔ ŋ ³ ³
樣品	i ũ ³ ³ ⁻ ² ¹ pʰ i n ⁴ ¹
樣式	i ũ ³ ³ ⁻ ² ¹ s i ɪ k̚ ³ ²
樣本	i ũ ³ ³ ⁻ ² ¹ p u n ⁴ ¹
樣相	i ũ ³ ³ ⁻ ² ¹ s i ũ ² ¹
樵	t͡s i a u ² ³
樵夫	t͡s i a u ² ³ ⁻ ³ ³ h u ⁴ ⁴
樸	pʰ ɔ k̚ ³ ²
樸	pʰ ɤ ʔ ³ ²
樸	pʰ ɤ ʔ ⁴
樸實	pʰ a k̚ ³ ² ⁻ ⁴ s i t̚ ⁴
樸實	pʰ ɔ k̚ ³ ² ⁻ ⁴ s i t̚ ⁴
樸實	pʰ ɤ ³ ² ⁻ ⁴ ¹ s i t̚ ⁴
樸實	pʰ ɤ ʔ ³ ² ⁻ ⁴ ¹ s i t̚ ⁴
樸素	pʰ ɔ k̚ ³ ² ⁻ ⁴ s ɔ ² ¹
樹	s u ³ ³
樹	t͡sʰ i u ³ ³
樹仔	t͡sʰ i u ³ ³ a ⁴ ¹
樹叢	t͡sʰ i u ³ ³ ⁻ ² ¹ t͡s a ŋ ² ³
樹奶	t͡sʰ i u ³ ³ ⁻ ² ¹ l i n ⁴ ⁴
樹奶	t͡sʰ i u ³ ³ ⁻ ² ¹ l i ɪ ŋ ⁴ ⁴
樹奶束仔	t͡sʰ i u ³ ³ ⁻ ² ¹ l i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ s ɔ k̚ ³ ² ⁻ ⁴ a ⁴ ¹
樹奶箍仔	t͡sʰ i u ³ ³ ⁻ ² ¹ l i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ kʰ ɔ ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹
樹奶糖	t͡sʰ i u ³ ³ ⁻ ² ¹ l i n ⁴ ⁴ ⁻ ³ ³ tʰ ŋ̍ ² ³
樹奶糖	t͡sʰ i u ³ ³ ⁻ ² ¹ l i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ tʰ ŋ̍ ² ³
樹奶糖	t͡sʰ i ũ ³ ³ ⁻ ² ¹ l i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ tʰ ŋ̍ ² ³
樹奶鞋	t͡sʰ i ũ ³ ³ ⁻ ² ¹ l i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ e ² ³
樹子	t͡sʰ i u ³ ³ ⁻ ² ¹ t͡s i ⁴ ¹
樹尾	t͡sʰ i u ³ ³ ⁻ ² ¹ b u e ⁴ ¹
樹尾溜	t͡sʰ i u ³ ³ ⁻ ² ¹ b u e ⁴ ¹ ⁻ ⁴ ⁴ l i u ⁴ ⁴
樹尾頂	t͡sʰ i u ³ ³ ⁻ ² ¹ b u e ⁴ ¹ ⁻ ⁴ ⁴ t i ɪ ŋ ⁴ ¹
樹影	t͡sʰ i u ³ ³ ⁻ ² ¹ ŋ̍ ⁴ ¹
樹木	t͡sʰ i u ³ ³ ⁻ ² ¹ b a k̚ ⁴
樹林	t͡sʰ i u ³ ³ ⁻ ² ¹ n ã ² ³
樹枝	t͡sʰ i u ³ ³ ⁻ ² ¹ k i ⁴ ⁴
樹根	t͡sʰ i u ³ ³ ⁻ ² ¹ k i n ⁴ ⁴
樹栽	t͡sʰ i u ³ ³ ⁻ ² ¹ t͡s a i ⁴ ⁴
樹椏	t͡sʰ i u ³ ³ ⁻ ² ¹ e ⁴ ⁴
樹椏	t͡sʰ i u ³ ³ ⁻ ² ¹ u e ⁴ ⁴
樹皮	t͡sʰ i u ³ ³ ⁻ ² ¹ pʰ u e ² ³
樹箬	t͡sʰ i u ³ ³ ⁻ ² ¹ h i ɤ ʔ ⁴
樹絡	t͡sʰ i u ³ ³ ⁻ ² ¹ l e ⁴ ⁴
樹脂	t͡sʰ i u ³ ³ ⁻ ² ¹ t͡s i ⁴ ¹
樹脂	t͡sʰ i u ³ ³ ⁻ ² ¹ t͡s i ⁴ ⁴
樹膠	t͡sʰ i u ³ ³ ⁻ ² ¹ k a ⁴ ⁴
樹蔭	t͡sʰ i u ³ ³ ⁻ ² ¹ ŋ̍ ⁴ ¹
樹薯	t͡sʰ i u ³ ³ ⁻ ² ¹ t͡s i ² ³
樹身	t͡sʰ i u ³ ³ ⁻ ² ¹ s i n ⁴ ⁴
樹陰	t͡sʰ i u ³ ³ ⁻ ² ¹ i m ⁴ ⁴
樹頭	t͡sʰ i u ³ ³ ⁻ ² ¹ tʰ a u ² ³
樺	h u a ² ³
樽	t͡s u n ⁴ ⁴
樾	u a t̚ ⁴
橄	k a n ⁴ ⁴
橄	k ã ⁴ ⁴
橄欖	k a n ⁴ ⁴ ⁻ ³ ³ n ã ⁴ ¹
橄欖	k ã ⁴ ⁴ ⁻ ³ ³ n ã ⁴ ¹
橄欖孫	k a n ⁴ ⁴ ⁻ ³ ³ a ⁴ ¹ ⁻ ⁴ ⁴ s u n ⁴ ⁴
橄欖孫	k a n ⁴ ⁴ ⁻ ³ ³ n ã ⁴ ¹ ⁻ ⁴ ⁴ s u n ⁴ ⁴
橄欖孫	k ã ⁴ ⁴ ⁻ ³ ³ n ã ⁴ ¹ ⁻ ⁴ ⁴ s u n ⁴ ⁴
橄欖樹	k ã ⁴ ⁴ ⁻ ³ ³ n ã ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ i u ³ ³
橄欖球	k a n ⁴ ⁴ ⁻ ³ ³ n ã ⁴ ¹ ⁻ ⁴ ⁴ k i u ² ³
橋	k i a u ² ³
橋	k i ɤ ² ³
橋墩	k i ɤ ² ³ ⁻ ³ ³ t u n ⁴ ⁴
橋樑	k i ɤ ² ³ ⁻ ³ ³ n i ũ ² ³
橋跤	k i ɤ ² ³ ⁻ ³ ³ kʰ a ⁴ ⁴
橋頭	k i ɤ ² ³ ⁻ ³ ³ tʰ a u ² ³
橐	l a k̚ ³ ²
橐	l ɔ k̚ ³ ²
橐	l ɔ p̚ ³ ²
橐仔	l ɔ k̚ ³ ² ⁻ ⁴ a ⁴ ¹
橘	k i ɛ t̚ ³ ²
橙	t i ɪ ŋ ² ³
橙	t͡sʰ i a ŋ ² ³
橙色	t i ɪ ŋ ² ³ ⁻ ³ ³ s i ɪ k̚ ³ ²
橛	k u e ʔ ⁴
機	k i ⁴ ⁴
機	k u i ⁴ ⁴
機不可失	k i ⁴ ⁴ ⁻ ³ ³ p u t̚ ³ ² ⁻ ⁴ kʰ ɤ ⁴ ¹ ⁻ ⁴ ⁴ s i t̚ ³ ²
機件	k i ⁴ ⁴ ⁻ ³ ³ k i ã ³ ³
機動	k i ⁴ ⁴ ⁻ ³ ³ t ɔ ŋ ³ ³
機動性	k i ⁴ ⁴ ⁻ ³ ³ t ɔ ŋ ³ ³ ⁻ ² ¹ s i ɪ ŋ ² ¹
機司	k i ⁴ ⁴ ⁻ ³ ³ s u ⁴ ⁴
機器	k e ⁴ ⁴ ⁻ ³ ³ kʰ i ² ¹
機器	k i ⁴ ⁴ ⁻ ³ ³ kʰ i ² ¹
機器人	k e ⁴ ⁴ ⁻ ³ ³ kʰ i ² ¹ ⁻ ⁴ ¹ l a ŋ ² ³
機器人	k i ⁴ ⁴ ⁻ ³ ³ kʰ i ² ¹ ⁻ ⁴ ¹ l a ŋ ² ³
機型	k i ⁴ ⁴ ⁻ ³ ³ h i ɪ ŋ ² ³
機場	k i ⁴ ⁴ ⁻ ³ ³ t i ũ ² ³
機密	k i ⁴ ⁴ ⁻ ³ ³ b i t̚ ⁴
機巧	k i ⁴ ⁴ ⁻ ³ ³ kʰ i a u ⁴ ¹
機師	k i ⁴ ⁴ ⁻ ³ ³ s u ⁴ ⁴
機庫	k i ⁴ ⁴ ⁻ ³ ³ kʰ ɔ ² ¹
機房	k i ⁴ ⁴ ⁻ ³ ³ p a ŋ ² ³
機智	k i ⁴ ⁴ ⁻ ³ ³ t i ² ¹
機會	k i ⁴ ⁴ ⁻ ³ ³ h u e ³ ³
機械	k i ⁴ ⁴ ⁻ ³ ³ h a i ² ³
機械	k i ⁴ ⁴ ⁻ ³ ³ h a i ³ ³
機械	k i ⁴ ⁴ ⁻ ³ ³ k a i ² ¹
機構	k i ⁴ ⁴ ⁻ ³ ³ k ɔ ² ¹
機油	k i ⁴ ⁴ ⁻ ³ ³ i u ² ³
機率	k i ⁴ ⁴ ⁻ ³ ³ l u t̚ ⁴
機票	k i ⁴ ⁴ ⁻ ³ ³ pʰ i ɤ ² ¹
機種	k i ⁴ ⁴ ⁻ ³ ³ t͡s i ɔ ŋ ⁴ ¹
機組	k i ⁴ ⁴ ⁻ ³ ³ t͡s ɔ ⁴ ⁴
機緣	k i ⁴ ⁴ ⁻ ³ ³ i ɛ n ² ³
機翼	k i ⁴ ⁴ ⁻ ³ ³ i ɪ k̚ ⁴
機能	k i ⁴ ⁴ ⁻ ³ ³ l i ɪ ŋ ² ³
機艙	k i ⁴ ⁴ ⁻ ³ ³ t͡sʰ ɔ ŋ ⁴ ⁴
機要	k i ⁴ ⁴ ⁻ ³ ³ i a u ² ¹
機警	k i ⁴ ⁴ ⁻ ³ ³ k i ɪ ŋ ⁴ ¹
機身	k i ⁴ ⁴ ⁻ ³ ³ s i n ⁴ ⁴
機車	k i ⁴ ⁴ ⁻ ³ ³ t͡sʰ i a ⁴ ⁴
機遇	k i ⁴ ⁴ ⁻ ³ ³ ɡ u ³ ³
機長	k i ⁴ ⁴ ⁻ ³ ³ t i ũ ⁴ ¹
機關	k i ⁴ ⁴ ⁻ ³ ³ k u a n ⁴ ⁴
機關炮	k i ⁴ ⁴ ⁻ ³ ³ k u a n ⁴ ⁴ ⁻ ³ ³ pʰ a u ² ¹
機關車	k i ⁴ ⁴ ⁻ ³ ³ k u a n ⁴ ⁴ ⁻ ³ ³ t͡sʰ i a ⁴ ⁴
機關銃	k i ⁴ ⁴ ⁻ ³ ³ k u a n ⁴ ⁴ ⁻ ³ ³ t͡sʰ i ɪ ŋ ² ¹
機電	k i ⁴ ⁴ ⁻ ³ ³ t i ɛ n ³ ³
機體	k i ⁴ ⁴ ⁻ ³ ³ tʰ e ⁴ ¹
橡	t͡sʰ i ũ ³ ³
橡木	t͡sʰ i ũ ³ ³ ⁻ ² ¹ b ɔ k̚ ⁴
橢	tʰ ɤ ² ¹
橢	tʰ ɤ ⁴ ¹
橫	h i ɪ ŋ ² ³
橫	h u ã i ² ³
橫	h u ẽ ² ³
橫向	h u ã i ² ³ ⁻ ³ ³ h i ɔ ŋ ² ¹
橫山	h u ã i ² ³ ⁻ ³ ³ s u ã ⁴ ⁴
橫心	h u ã i ² ³ ⁻ ³ ³ s i m ⁴ ⁴
橫桀	h u ã i ² ³ ⁻ ³ ³ k e ʔ ⁴
橫流	h u ã i ² ³ ⁻ ³ ³ l a u ² ³
橫流	h u ã i ² ³ ⁻ ³ ³ l i u ² ³
橫渡	h u ã i ² ³ ⁻ ³ ³ t ɔ ³ ³
橫直	h u ã i ² ³ ⁻ ³ ³ t i t̚ ⁴
橫線	h u ã i ² ³ ⁻ ³ ³ s u ã ² ¹
橫肉	h u ã i ² ³ ⁻ ³ ³ b a ʔ ³ ²
橫膈膜	h u ã i ² ³ ⁻ ³ ³ k i ɪ k̚ ³ ² ⁻ ⁴ m ɔ̃ ʔ ⁴
橫蠻	h u ã i ² ³ ⁻ ³ ³ b a n ² ³
橫行	h i ɪ ŋ ² ³ ⁻ ³ ³ h i ɪ ŋ ² ³
橫行	h u ã i ² ³ ⁻ ³ ³ h i ɪ ŋ ² ³
橫財	h u ã i ² ³ ⁻ ³ ³ t͡s a i ² ³
橫逆	h i ɪ ŋ ² ³ ⁻ ³ ³ ɡ i ɪ k̚ ⁴
橫過	h u ã i ² ³ ⁻ ³ ³ k u e ² ¹
橫過	t͡sʰ u ã ² ³ ⁻ ³ ³ k e ² ¹
橫領	h u ã i ² ³ ⁻ ³ ³ n i ã ⁴ ¹
橿	k i ɔ ŋ ⁴ ⁴
檀	t u ã ² ³
檀越	t a n ² ³ ⁻ ³ ³ u a t̚ ⁴
檀香	t a n ² ³ ⁻ ³ ³ h i ɔ ŋ ⁴ ⁴
檀香	t u ã ² ³ ⁻ ³ ³ h i ũ ⁴ ⁴
檄	h i ɪ k̚ ⁴
檉	t͡sʰ i ɪ ŋ ⁴ ⁴
檉柳	t͡sʰ i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ l i u ⁴ ¹
檎	kʰ i m ² ³
檎	ɡ ɔ ² ¹
檐	t͡s ĩ ² ³
檔	t ɔ ŋ ⁴ ¹
檔名	t ɔ ŋ ⁴ ¹ ⁻ ⁴ ⁴ m i ã ² ³
檔期	t ɔ ŋ ⁴ ¹ ⁻ ⁴ ⁴ k i ² ³
檔案	t ɔ ŋ ⁴ ¹ ⁻ ⁴ ⁴ a n ² ¹
檜	k u e ² ¹
檠	k i ã ² ³
檢	k i a m ⁴ ¹
檢修	k i a m ⁴ ¹ ⁻ ⁴ ⁴ s i u ⁴ ⁴
檢定	k i a m ⁴ ¹ ⁻ ⁴ ⁴ t i ɪ ŋ ³ ³
檢察	k i a m ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ a t̚ ³ ²
檢察官	k i a m ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ a t̚ ³ ² ⁻ ⁴ k u ã ⁴ ⁴
檢查	k i a m ⁴ ¹ ⁻ ⁴ ⁴ t͡s a ⁴ ⁴
檢查員	k i a m ⁴ ¹ ⁻ ⁴ ⁴ t͡s a ⁴ ⁴ ⁻ ³ ³ u a n ² ³
檢測	k i a m ⁴ ¹ ⁻ ⁴ ⁴ t͡sʰ i ɪ k̚ ³ ²
檢疫	k i a m ⁴ ¹ ⁻ ⁴ ⁴ i ɪ k̚ ⁴
檢索	k i a m ⁴ ¹ ⁻ ⁴ ⁴ s i ɪ k̚ ³ ²
檢舉	k i a m ⁴ ¹ ⁻ ⁴ ⁴ k i ⁴ ¹
檢視	k i a m ⁴ ¹ ⁻ ⁴ ⁴ s i ³ ³
檢討	k i a m ⁴ ¹ ⁻ ⁴ ⁴ tʰ ɤ ⁴ ¹
檢閱	k i a m ⁴ ¹ ⁻ ⁴ ⁴ i ɛ t̚ ⁴
檢驗	k i a m ⁴ ¹ ⁻ ⁴ ⁴ ɡ i a m ³ ³
檢點	k i a m ⁴ ¹ ⁻ ⁴ ⁴ t i a m ⁴ ¹
檨	s u ã i ³ ³
檨仔	s u ã i ³ ³ a ⁴ ¹
檬	b ɔ ŋ ² ³
檬	b ɔ ŋ ⁴ ¹
檯	t a i ² ³
檯面	t a i ² ³ ⁻ ³ ³ b i n ³ ³
檳	p i n ⁴ ⁴
檳榔	p i n ⁴ ⁴ ⁻ ³ ³ n ŋ̍ ² ³
檳榔嶼	p i n ⁴ ⁴ ⁻ ³ ³ n ŋ̍ ² ³ ⁻ ³ ³ s u ³ ³
檸	l e ² ³
檸	l i ɪ ŋ ² ³
檸檬	l e ² ³ ⁻ ³ ³ b ɔ ŋ ⁴ ¹
檸檬	l i ɪ ŋ ² ³ ⁻ ³ ³ b ɔ ŋ ² ³
檸檬酸	l e ² ³ ⁻ ³ ³ b ɔ ŋ ⁴ ¹ ⁻ ⁴ ⁴ s ŋ̍ ⁴ ⁴
檻	l a m ³ ³
櫃	k u i ³ ³
櫃檯	k u i ³ ³ ⁻ ² ¹ t a i ² ³
櫓	l ɔ ⁴ ¹
櫛	s a t̚ ³ ²
櫜	k ɤ ⁴ ⁴
櫞	i ɛ n ² ³
櫟	l i ɪ k̚ ⁴
櫟	l ɔ k̚ ⁴
櫥	t u ² ³
櫥仔	t u ² ³ ⁻ ³ ³ a ⁴ ¹
櫥窗	t u ² ³ ⁻ ³ ³ tʰ a ŋ ⁴ ⁴
櫧	t͡s u ⁴ ⁴
櫬	t͡sʰ a n ² ¹
櫬	t͡sʰ i n ² ¹
櫳	l a ŋ ⁴ ⁴
櫳	l ɔ ŋ ² ³
櫳仔	l ɔ ŋ ² ³ ⁻ ³ ³ a ⁴ ¹
櫳仔內	l ɔ ŋ ² ³ ⁻ ³ ³ a ⁴ ¹ ⁻ ⁴ ⁴ l a i ³ ³
櫻	i ɪ ŋ ⁴ ⁴
櫻桃	i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ tʰ ɤ ² ³
櫻花	i ɪ ŋ ⁴ ⁴ ⁻ ³ ³ h u e ⁴ ⁴
櫼	t͡s ĩ ⁴ ⁴
欄	l a n ² ³
欄	n u ã ² ³
欄杆	l a n ² ³ ⁻ ³ ³ k a n ⁴ ⁴
欉	t͡s a ŋ ² ³
權	k u a n ² ³
權	kʰ u a n ² ³
權利	k u a n ² ³ ⁻ ³ ³ l i ³ ³
權利	kʰ u a n ² ³ ⁻ ³ ³ l i ³ ³
權力	k u a n ² ³ ⁻ ³ ³ l i ɪ k̚ ⁴
權力	kʰ u a n ² ³ ⁻ ³ ³ l i ɪ k̚ ⁴
權勢	kʰ u a n ² ³ ⁻ ³ ³ s e ² ¹
權勢	kʰ u a n ² ³ ⁻ ³ ³ s i ² ¹
權威	k u a n ² ³ ⁻ ³ ³ u i ⁴ ⁴
權威	kʰ u a n ² ³ ⁻ ³ ³ u i ⁴ ⁴
權威性	k u a n ² ³ ⁻ ³ ³ u i ⁴ ⁴ ⁻ ³ ³ s i ɪ ŋ ² ¹
權宜	k u a n ² ³ ⁻ ³ ³ ɡ i ² ³
權柄	k u a n ² ³ ⁻ ³ ³ p i ɪ ŋ ² ¹
權柄	kʰ u a n ² ³ ⁻ ³ ³ p i ɪ ŋ ² ¹
權益	k u a n ² ³ ⁻ ³ ³ i ɪ k̚ ³ ²
權益	kʰ u a n ² ³ ⁻ ³ ³ i ɪ k̚ ³ ²
權能	k u a n ² ³ ⁻ ³ ³ l i ɪ ŋ ² ³
權衡	k u a n ² ³ ⁻ ³ ³ h i ɪ ŋ ² ³
權貴	k u a n ² ³ ⁻ ³ ³ k u i ² ¹
權限	k u a n ² ³ ⁻ ³ ³ h a n ³ ³
權限	kʰ u a n ² ³ ⁻ ³ ³ h a n ³ ³
欒	l u a n ² ³
欖	l a m ⁴ ¹
欖	n ã ⁴ ¹
欠	kʰ i a m ² ¹
欠債	kʰ i a m ² ¹ ⁻ ⁴ ¹ t͡s e ² ¹
欠勤	kʰ i a m ² ¹ ⁻ ⁴ ¹ kʰ i n ² ³
欠安	kʰ i a m ² ¹ ⁻ ⁴ ¹ a n ⁴ ⁴
欠拍	kʰ i a m ² ¹ ⁻ ⁴ ¹ pʰ a ʔ ³ ²
欠據	kʰ i a m ² ¹ ⁻ ⁴ ¹ k i ² ¹
欠數	kʰ i a m ² ¹ ⁻ ⁴ ¹ s i a u ² ¹
欠款	kʰ i a m ² ¹ ⁻ ⁴ ¹ kʰ u a n ⁴ ¹
欠用	kʰ i a m ² ¹ ⁻ ⁴ ¹ i ɪ ŋ ³ ³
欠缺	kʰ i a m ² ¹ ⁻ ⁴ ¹ kʰ u a t̚ ³ ²
欠缺	kʰ i a m ² ¹ ⁻ ⁴ ¹ kʰ u e ʔ ³ ²
次	t͡sʰ u ² ¹
次女	t͡sʰ u ² ¹ ⁻ ⁴ ¹ l i ⁴ ¹
次女	t͡sʰ u ² ¹ ⁻ ⁴ ¹ l u ⁴ ¹
次子	t͡sʰ u ² ¹ ⁻ ⁴ ¹ t͡s u ⁴ ¹
次官	t͡sʰ u ² ¹ ⁻ ⁴ ¹ k u ã ⁴ ⁴
次年	t͡sʰ u ² ¹ ⁻ ⁴ ¹ n ĩ ² ³
次序	t͡sʰ u ² ¹ ⁻ ⁴ ¹ s u ³ ³
次數	t͡sʰ u ² ¹ ⁻ ⁴ ¹ s ɔ ² ¹
次日	t͡sʰ u ² ¹ ⁻ ⁴ ¹ z i t̚ ⁴
次男	t͡sʰ u ² ¹ ⁻ ⁴ ¹ l a m ² ³
次第	t͡sʰ u ² ¹ ⁻ ⁴ ¹ t e ³ ³
次等	t͡sʰ u ² ¹ ⁻ ⁴ ¹ t i ɪ ŋ ⁴ ¹
次級	t͡sʰ u ² ¹ ⁻ ⁴ ¹ k i p̚ ³ ²
次要	t͡sʰ u ² ¹ ⁻ ⁴ ¹ i a u ² ¹
次長	t͡sʰ u ² ¹ ⁻ ⁴ ¹ t i ũ ⁴ ¹
欣	h i m ⁴ ⁴
欣喜	h i m ⁴ ⁴ ⁻ ³ ³ h i ⁴ ¹
欣慕	h i m ⁴ ⁴ ⁻ ³ ³ b ɔ ³ ³
欣慕	h i m ⁴ ⁴ ⁻ ³ ³ m ɔ̃ ³ ³
欣慰	h i m ⁴ ⁴ ⁻ ³ ³ u i ² ¹
欣欣	h i m ⁴ ⁴ ⁻ ³ ³ h i m ⁴ ⁴
欣欣向榮	h i m ⁴ ⁴ ⁻ ³ ³ h i m ⁴ ⁴ ⁻ ³ ³ h i ɔ ŋ ² ¹ ⁻ ⁴ ¹ i ɪ ŋ ² ³
欣然	h i m ⁴ ⁴ ⁻ ³ ³ z i ɛ n ² ³
欣羨	h i m ⁴ ⁴ ⁻ ³ ³ s i ɛ n ³ ³
欣羨	h i m ⁴ ⁴ ⁻ ³ ³ s u a n ³ ³
欣賞	h i m ⁴ ⁴ ⁻ ³ ³ s i ɔ ŋ ⁴ ¹
欱	h a p̚ ³ ²
欱仙	h a p̚ ³ ² ⁻ ⁴ s i ɛ n ⁴ ⁴
欲	a i ² ¹
欲	b e ʔ ³ ²
欲	b u e ʔ ³ ²
欲	i ɔ k̚ ⁴
欲呢	b e ³ ² ⁻ ⁴ ¹ n ĩ ² ³
欲呢	b e ʔ ³ ² ⁻ ⁴ ¹ n ĩ ² ³
欲呢	b u e ³ ² ⁻ ⁴ ¹ n ĩ ² ³
欲呢	b u e ʔ ³ ² ⁻ ⁴ ¹ n ĩ ² ³
欲嫁才縛跤	b e ³ ² ⁻ ⁴ ¹ k e ² ¹ t͡s i a ³ ² ⁻ ⁴ ¹ p a k̚ ⁴ ⁻ ³ ² kʰ a ⁴ ⁴
欲嫁才縛跤	b e ³ ² ⁻ ⁴ ¹ k e ² ¹ t͡s i a ʔ ³ ² ⁻ ⁴ ¹ p a k̚ ⁴ ⁻ ³ ² kʰ a ⁴ ⁴
欲嫁才縛跤	b e ʔ ³ ² ⁻ ⁴ ¹ k e ² ¹ t͡s i a ³ ² ⁻ ⁴ ¹ p a k̚ ⁴ ⁻ ³ ² kʰ a ⁴ ⁴
欲嫁才縛跤	b e ʔ ³ ² ⁻ ⁴ ¹ k e ² ¹ t͡s i a ʔ ³ ² ⁻ ⁴ ¹ p a k̚ ⁴ ⁻ ³ ² kʰ a ⁴ ⁴
欲挃	b e ³ ² ⁻ ⁴ ¹ t i ʔ ⁴
欲挃	b e ʔ ³ ² ⁻ ⁴ ¹ t i ʔ ⁴
欲晝仔	b e ³ ² ⁻ ⁴ ¹ t a u ² ¹ ⁻ ⁴ ⁴ a ⁴ ¹
欲晝仔	b e ʔ ³ ² ⁻ ⁴ ¹ t a u ² ¹ ⁻ ⁴ ⁴ a ⁴ ¹
欲晝仔	b u e ³ ² ⁻ ⁴ ¹ t a u ² ¹ ⁻ ⁴ ⁴ a ⁴ ¹
欲晝仔	b u e ʔ ³ ² ⁻ ⁴ ¹ t a u ² ¹ ⁻ ⁴ ⁴ a ⁴ ¹
欲暗仔	b e ³ ² ⁻ ⁴ ¹ a m ² ¹ ⁻ ⁴ ⁴ a ⁴ ¹
欲暗仔	b e ʔ ³ ² ⁻ ⁴ ¹ a m ² ¹ ⁻ ⁴ ⁴ a ⁴ ¹
欲死	b e ³ ² ⁻ ⁴ ¹ s i ⁴ ¹
欲死	b e ʔ ³ ² ⁻ ⁴ ¹ s i ⁴ ¹
欲死欲死	b e ³ ² ⁻ ⁴ ¹ s i ⁴ ¹ ⁻ ⁴ ⁴ b e ³ ² ⁻ ⁴ ¹ s i ⁴ ¹
欲死欲死	b e ³ ² ⁻ ⁴ ¹ s i ⁴ ¹ ⁻ ⁴ ⁴ b e ʔ ³ ² ⁻ ⁴ ¹ s i ⁴ ¹
欲死欲死	b e ʔ ³ ² ⁻ ⁴ ¹ s i ⁴ ¹ ⁻ ⁴ ⁴ b e ³ ² ⁻ ⁴ ¹ s i ⁴ ¹
欲死欲死	b e ʔ ³ ² ⁻ ⁴ ¹ s i ⁴ ¹ ⁻ ⁴ ⁴ b e ʔ ³ ² ⁻ ⁴ ¹ s i ⁴ ¹
欲死欲活	b e ³ ² ⁻ ⁴ ¹ s i ⁴ ¹ ⁻ ⁴ ⁴ b e ³ ² ⁻ ⁴ ¹ u a ʔ ⁴
