@	a̠ t̚ t o̞
調理師	t͡ɕ o̞ː ɾʲ i ɕ i
調理人	t͡ɕ o̞ː ɾʲ i ɲ̟ ĩ ɴ
調理法	t͡ɕ o̞ː ɾʲ i h o̞ː
潮流	t͡ɕ o̞ː ɾʲ ɨː
超流動	t͡ɕ o̞ː ɾʲ ɨː d o̞ː
跳梁	t͡ɕ o̞ː ɾʲ o̞ː
跳梁跋扈	t͡ɕ o̞ː ɾʲ o̞ː b a̠ k̚ k o̞
張力	t͡ɕ o̞ː ɾʲ o̞ k ɯ̟
聴力	t͡ɕ o̞ː ɾʲ o̞ k ɯ̟
チョウ類	t͡ɕ o̞ː ɾ ɯ̟ i
蝶類	t͡ɕ o̞ː ɾ ɯ̟ i
鳥類	t͡ɕ o̞ː ɾ ɯ̟ i
鳥類学	t͡ɕ o̞ː ɾ ɯ̟ i ɡ a̠ k ɯ̟
朝礼	t͡ɕ o̞ː ɾ e̞ː
長老支配	t͡ɕ o̞ː ɾ o̞ː ɕ i h a̠ i
調和	t͡ɕ o̞ː β̞ a̠
調和平均	t͡ɕ o̞ː β̞ a̠ h e̞ː kʲ ĩ ɴ
チョーカー	t͡ɕ o̞ː k a̠ː
チョーク	t͡ɕ o̞ː k ɯ̟
ちょか	t͡ɕ o̞ k a̠
チョキ	t͡ɕ o̞ kʲ i
貯金	t͡ɕ o̞ kʲ ĩ ɴ
貯金箱	t͡ɕ o̞ kʲ ĩ m b a̠ k o̞
勅	t͡ɕ o̞ k ɯ̟
直営	t͡ɕ o̞ k ɯ̟ e̞ː
直音	t͡ɕ o̞ k ɯ̟ õ̞ ɴ
直撃	t͡ɕ o̞ k ɯ̟ ɡ e̞ kʲ i
直言	t͡ɕ o̞ k ɯ̟ ɡ ẽ̞ ɴ
勅語	t͡ɕ o̞ k ɯ̟ ɡ o̞
直後	t͡ɕ o̞ k ɯ̟ ɡ o̞
直視	t͡ɕ o̞ k ɯ̟̊ ɕ i
直射	t͡ɕ o̞ k ɯ̟ ɕ a̠
直進	t͡ɕ o̞ k ɯ̟̊ ɕ ĩ ɴ
直截	t͡ɕ o̞ k ɯ̟ s e̞ t͡s ɨ
直接	t͡ɕ o̞ k ɯ̟ s e̞ t͡s ɨ
直接的	t͡ɕ o̞ k ɯ̟ s e̞ t͡s ɨ t e̞ kʲ i
直説法	t͡ɕ o̞ k ɯ̟ s e̞ t͡s ɨ h o̞ː
直接話法	t͡ɕ o̞ k ɯ̟ s e̞ t͡s ɨ β̞ a̠ h o̞ː
勅選	t͡ɕ o̞ k ɯ̟ s ẽ̞ ɴ
直線	t͡ɕ o̞ k ɯ̟̊ s ẽ̞ ɴ
直前	t͡ɕ o̞ k ɯ̟ z ẽ̞ ɴ
直属	t͡ɕ o̞ k ɯ̟ z o̞ k ɯ̟
直腸	t͡ɕ o̞ k ɯ̟̊ t͡ɕ o̞ː
ちょくちょく	t͡ɕ o̞ k ɯ̟̊ t͡ɕ o̞ k ɯ̟
直通	t͡ɕ o̞ k ɯ̟ t͡s ɨː
直刀	t͡ɕ o̞ k ɯ̟ t o̞ː
直播	t͡ɕ o̞ k ɯ̟ h ã̠ ɴ
勅命	t͡ɕ o̞ k ɯ̟ m e̞ː
直面	t͡ɕ o̞ k ɯ̟ m ẽ̞ ɴ
直輸入	t͡ɕ o̞ k ɯ̟ j ɯ̟ ɲ̟ ɨː
直立	t͡ɕ o̞ k ɯ̟ ɾʲ i t͡s ɨ
直流	t͡ɕ o̞ k ɯ̟ ɾʲ ɨː
直リンク	t͡ɕ o̞ k ɯ̟ ɾʲ ĩ ŋ k ɯ̟
勅令	t͡ɕ o̞ k ɯ̟ ɾ e̞ː
ちょける	t͡ɕ o̞ k e̞ ɾ ɯ̟
チョコ	t͡ɕ o̞ k o̞
猪口才	t͡ɕ o̞ k o̞ z a̠ i
ちょこちょこ	t͡ɕ o̞ k o̞ t͡ɕ o̞ k o̞
ちょこっと	t͡ɕ o̞ k o̞ t̚ t o̞
チョコパイ	t͡ɕ o̞ k o̞ p a̠ i
ちょこまか	t͡ɕ o̞ k o̞ m a̠ k a̠
チョコレート	t͡ɕ o̞ k o̞ ɾ e̞ː t o̞
著作	t͡ɕ o̞ s a̠ k ɯ̟
著作権	t͡ɕ o̞ s a̠ k ɯ̟̊ k ẽ̞ ɴ
著作権侵害	t͡ɕ o̞ s a̠ k ɯ̟ k ẽ̞ ɰ̃ ɕ ĩ ŋ ɡ a̠ i
著者	t͡ɕ o̞ ɕ a̠
著書	t͡ɕ o̞ ɕ o̞
貯水	t͡ɕ o̞ s ɨ i
貯水池	t͡ɕ o̞ s ɨ i t͡ɕ i
貯蔵	t͡ɕ o̞ z o̞ː
貯蔵庫	t͡ɕ o̞ z o̞ː k o̞
貯蓄	t͡ɕ o̞ t͡ɕ i k ɯ̟
直下	t͡ɕ o̞ k̚ k a̠
ちょっかい	t͡ɕ o̞ k̚ k a̠ i
直覚	t͡ɕ o̞ k̚ k a̠ k ɯ̟
直角	t͡ɕ o̞ k̚ k a̠ k ɯ̟
直滑降	t͡ɕ o̞ k̚ k a̠ k̚ k o̞ː
直轄	t͡ɕ o̞ k̚ k a̠ t͡s ɨ
直轄市	t͡ɕ o̞ k̚ k a̠ t͡s ɨ ɕ i
直感	t͡ɕ o̞ k̚ k ã̠ ɴ
直観幾何	t͡ɕ o̞ k̚ k ã̠ ŋʲ kʲ i k a̠
直感的	t͡ɕ o̞ k̚ k ã̠ n t e̞ kʲ i
チョッキ	t͡ɕ o̞ k̚ʲ kʲ i
直帰	t͡ɕ o̞ k̚ʲ kʲ i
直球	t͡ɕ o̞ k̚ʲ kʲ ɨː
ちょっきり	t͡ɕ o̞ k̚ʲ kʲ i ɾʲ i
直径	t͡ɕ o̞ k̚ k e̞ː
直系	t͡ɕ o̞ k̚ k e̞ː
直結	t͡ɕ o̞ k̚ k e̞ t͡s ɨ
直交	t͡ɕ o̞ k̚ k o̞ː
直行	t͡ɕ o̞ k̚ k o̞ː
チョッテ	t͡ɕ o̞ t̚ t e̞
ちょっと	t͡ɕ o̞ t̚ t o̞
チョッパリ	t͡ɕ o̞ p̚ p a̠ ɾʲ i
ちょっぴり	t͡ɕ o̞ p̚ʲ pʲ i ɾʲ i
チョップ	t͡ɕ o̞ p̚ p ɯ̟
猪突	t͡ɕ o̞ t o̞ t͡s ɨ
チョハ	t͡ɕ o̞ h a̠
ちょびっと	t͡ɕ o̞ bʲ i t̚ t o̞
ちょびひげ	t͡ɕ o̞ bʲ i ç i ɡ e̞
チョベリグ	t͡ɕ o̞ b e̞ ɾʲ i ɡ ɯ̟
チョベリバ	t͡ɕ o̞ b e̞ ɾʲ i b a̠
著名	t͡ɕ o̞ m e̞ː
著明	t͡ɕ o̞ m e̞ː
著名人	t͡ɕ o̞ m e̞ː ʑ ĩ ɴ
チョモランマ	t͡ɕ o̞ m o̞ ɾ ã̠ mː a̠
ちょりーす	t͡ɕ o̞ ɾʲ iː s ɨ
ちょりっす	t͡ɕ o̞ ɾʲ i sː ɨ
佇立	t͡ɕ o̞ ɾʲ i t͡s ɨ
チョルノービリ	t͡ɕ o̞ ɾ ɯ̟ n o̞ː bʲ i ɾʲ i
チョルノーブィリ	t͡ɕ o̞ ɾ ɯ̟ n o̞ː bᵝ i ɾʲ i
チョレギ	t͡ɕ o̞ ɾ e̞ ɡʲ i
ちょろい	t͡ɕ o̞ ɾ o̞ i
ちょろイン	t͡ɕ o̞ ɾ o̞ ĩ ɴ
草石蚕	t͡ɕ o̞ ɾ o̞ ɡʲ i
ちょろちょろ	t͡ɕ o̞ ɾ o̞ t͡ɕ o̞ ɾ o̞
ちょん	t͡ɕ õ̞ ɴ
チョン	t͡ɕ õ̞ ɴ
総角	t͡ɕ õ̞ ŋ ɡ a̠ː
ちょんぎる	t͡ɕ õ̞ ŋʲ ɡʲ i ɾ ɯ̟
ちょんぎれる	t͡ɕ õ̞ ŋʲ ɡʲ i ɾ e̞ ɾ ɯ̟
伝貰	t͡ɕ õ̞ ɰ̃ s e̞
鍾路	t͡ɕ õ̞ nː o̞
腸粉	t͡ɕ õ̞ ɰ̃ ɸ ã̠ ɴ
錯和	t͡ɕ õ̞ m b o̞
丁髷	t͡ɕ õ̞ mː a̠ ɡ e̞
千里馬	t͡ɕ õ̞ n̺ ɾʲ i m a̠
ちよ	t͡ɕ i j o̞
千代	t͡ɕ i j o̞
千夜	t͡ɕ i j o̞
知与	t͡ɕ i j o̞
千代延	t͡ɕ i j o̞ n o̞ b ɯ̟
千代丸	t͡ɕ i j o̞ m a̠ ɾ ɯ̟
ちよみ	t͡ɕ i j o̞ mʲ i
千代美	t͡ɕ i j o̞ mʲ i
ちよろず	t͡ɕ i j o̞ ɾ o̞ z ɨ
ちらがー	t͡ɕ i ɾ a̠ ɡ a̠ː
散らかす	t͡ɕ i ɾ a̠ k a̠ s ɨ
散らかる	t͡ɕ i ɾ a̠ k a̠ ɾ ɯ̟
散らし	t͡ɕ i ɾ a̠ ɕ i
散らす	t͡ɕ i ɾ a̠ s ɨ
ちらちら	t͡ɕ i ɾ a̠ t͡ɕ i ɾ a̠
ちらっと	t͡ɕ i ɾ a̠ t̚ t o̞
ちらつく	t͡ɕ i ɾ a̠ t͡s ɨ k ɯ̟
散らばる	t͡ɕ i ɾ a̠ b a̠ ɾ ɯ̟
ちらり	t͡ɕ i ɾ a̠ ɾʲ i
チラリズム	t͡ɕ i ɾ a̠ ɾʲ i z ɨ m ɯ̟
治乱	t͡ɕ i ɾ ã̠ ɴ
チリ	t͡ɕ i ɾʲ i
地理	t͡ɕ i ɾʲ i
塵芥	t͡ɕ i ɾʲ i a̠ k ɯ̟ t a̠
チリアンシーバス	t͡ɕ i ɾʲ i ã̠ ɰ̃ ɕ iː b a̠ s ɨ
地理学	t͡ɕ i ɾʲ i ɡ a̠ k ɯ̟
地理学者	t͡ɕ i ɾʲ i ɡ a̠ k ɯ̟̊ ɕ a̠
塵紙	t͡ɕ i ɾʲ i ɡ a̠ mʲ i
チリコンカン	t͡ɕ i ɾʲ i k õ̞ ŋ k ã̠ ɴ
ちりちり	t͡ɕ i ɾʲ i t͡ɕ i ɾʲ i
散り散り	t͡ɕ i ɾʲ i ʑ i ɾʲ i
地理的	t͡ɕ i ɾʲ i t e̞ kʲ i
ちりとり	t͡ɕ i ɾʲ i t o̞ ɾʲ i
縮緬	t͡ɕ i ɾʲ i m ẽ̞ ɴ
智略	t͡ɕ i ɾʲ a̠ k ɯ̟
治療	t͡ɕ i ɾʲ o̞ː
知力	t͡ɕ i ɾʲ o̞ k ɯ̟
散蓮華	t͡ɕ i ɾʲ i ɾ ẽ̞ ŋ ɡ e̞
散る	t͡ɕ i ɾ ɯ̟
チルダ	t͡ɕ i ɾ ɯ̟ d a̠
地歴	t͡ɕ i ɾ e̞ kʲ i
遅漏	t͡ɕ i ɾ o̞ː
チロシン	t͡ɕ i ɾ o̞ ɕ ĩ ɴ
ちろちろ	t͡ɕ i ɾ o̞ t͡ɕ i ɾ o̞
ちろり	t͡ɕ i ɾ o̞ ɾʲ i
ちわっす	t͡ɕ i β̞ a̠ sː ɨ
チワナ	t͡ɕ i β̞ a̠ n a̠
チワワ	t͡ɕ i β̞ a̠ β̞ a̠
チワン語	t͡ɕ i β̞ ã̠ ŋ ɡ o̞
壮語	t͡ɕ i β̞ ã̠ ŋ ɡ o̞
壮族	t͡ɕ i β̞ ã̠ n d͡z o̞ k ɯ̟
チン	t͡ɕ ĩ ɴ
亭	t͡ɕ ĩ ɴ
朕	t͡ɕ ĩ ɴ
狆	t͡ɕ ĩ ɴ
珍	t͡ɕ ĩ ɴ
陳	t͡ɕ ĩ ɴ
賃上げ	t͡ɕ ĩ ɰ̃ a̠ ɡ e̞
鎮圧	t͡ɕ ĩ ɰ̃ a̠ t͡s ɨ
狆穴子	t͡ɕ ĩ ɰ̃ a̠ n a̠ ɡ o̞
清一色	t͡ɕ ĩ ɰ̃ iː s o̞ː
鎮火	t͡ɕ ĩ ŋ k a̠
珍回答	t͡ɕ ĩ ŋ k a̠ i t o̞ː
鎮咳薬	t͡ɕ ĩ ŋ ɡ a̠ i j a̠ k ɯ̟
賃借り	t͡ɕ ĩ ŋ ɡ a̠ ɾʲ i
チンキ	t͡ɕ ĩ ŋʲ kʲ i
賃金	t͡ɕ ĩ ŋʲ ɡʲ ĩ ɴ
ちんけ	t͡ɕ ĩ ŋ k e̞
青梗菜	t͡ɕ ĩ ŋ ɡ ẽ̞ ɰ̃ s a̠ i
ちんこ	t͡ɕ ĩ ŋ k o̞
珍語	t͡ɕ ĩ ŋ ɡ o̞
沈降	t͡ɕ ĩ ŋ k o̞ː
鎮江	t͡ɕ ĩ ŋ k o̞ː
鎮魂	t͡ɕ ĩ ŋ k õ̞ ɴ
鎮魂歌	t͡ɕ ĩ ŋ k õ̞ ŋ k a̠
鎮魂曲	t͡ɕ ĩ ŋ k õ̞ ŋʲ kʲ o̞ k ɯ̟
沈渣	t͡ɕ ĩ ɰ̃ s a̠
鎮座	t͡ɕ ĩ n d͡z a̠
沈思	t͡ɕ ĩ ɰ̃ ɕ i
珍事	t͡ɕ ĩ ɲ̟ d͡ʑ i
陳謝	t͡ɕ ĩ ɰ̃ ɕ a̠
賃借	t͡ɕ ĩ ɰ̃ ɕ a̠ k ɯ̟
鎮守	t͡ɕ ĩ ɲ̟ d͡ʑ ɨ
珍獣	t͡ɕ ĩ ɲ̟ d͡ʑ ɨː
陳述	t͡ɕ ĩ ɲ̟ d͡ʑ ɨ t͡s ɨ
鎮守府	t͡ɕ ĩ ɲ̟ d͡ʑ ɨ ɸ ɯ̟
陳情	t͡ɕ ĩ ɲ̟ d͡ʑ o̞ː
ちんすこう	t͡ɕ ĩ ɰ̃ s ɨ k o̞ː
沈静	t͡ɕ ĩ ɰ̃ s e̞ː
鎮静	t͡ɕ ĩ ɰ̃ s e̞ː
鎮西	t͡ɕ ĩ n d͡z e̞ː
沈静化	t͡ɕ ĩ ɰ̃ s e̞ː k a̠
鎮静剤	t͡ɕ ĩ ɰ̃ s e̞ː z a̠ i
沈滞	t͡ɕ ĩ n t a̠ i
賃貸	t͡ɕ ĩ n t a̠ i
青島	t͡ɕ ĩ n t a̠ o̞
ちんたら	t͡ɕ ĩ n t a̠ ɾ a̠
沈着	t͡ɕ ĩ ɲ̟ t͡ɕ a̠ k ɯ̟
珍重	t͡ɕ ĩ ɲ̟ t͡ɕ o̞ː
チンチラ	t͡ɕ ĩ ɲ̟ t͡ɕ i ɾ a̠
ちんちろりん	t͡ɕ ĩ ɲ̟ t͡ɕ i ɾ o̞ ɾʲ ĩ ɴ
ちんちん	t͡ɕ ĩ ɲ̟ t͡ɕ ĩ ɴ
沈痛	t͡ɕ ĩ n t͡s ɨː
鎮痛	t͡ɕ ĩ n t͡s ɨː
鎮痛剤	t͡ɕ ĩ n t͡s ɨː z a̠ i
沈殿	t͡ɕ ĩ n d ẽ̞ ɴ
珍島	t͡ɕ ĩ n d o̞
珍道中	t͡ɕ ĩ n d o̞ː t͡ɕ ɨː
ちんどんや	t͡ɕ ĩ n d õ̞ ɰ̃ j a̠
ちんば	t͡ɕ ĩ m b a̠
チンパン	t͡ɕ ĩ m p ã̠ ɴ
チンパンジー	t͡ɕ ĩ m p ã̠ ɲ̟ d͡ʑ iː
チンピラ	t͡ɕ ĩ m pʲ i ɾ a̠
陳腐	t͡ɕ ĩ m p ɯ̟
珍紛漢	t͡ɕ ĩ m p ɯ̟̃ ŋ k ã̠ ɴ
珍紛漢紛	t͡ɕ ĩ m p ɯ̟̃ ŋ k ã̠ m p ɯ̟̃ ɴ
ちんぼ	t͡ɕ ĩ m b o̞
ちんぽ	t͡ɕ ĩ m p o̞
ちんぽこ	t͡ɕ ĩ m p o̞ k o̞
沈没	t͡ɕ ĩ m b o̞ t͡s ɨ
珍味	t͡ɕ ĩ mʲː i
沈黙	t͡ɕ ĩ mː o̞ k ɯ̟
陳列	t͡ɕ ĩ n̺ ɾ e̞ t͡s ɨ
陳列品	t͡ɕ ĩ n̺ ɾ e̞ t͡s ɨ̥ ç ĩ ɴ
清老頭	t͡ɕ ĩ n̺ ɾ o̞ː t o̞ː
っから	k̚ k a̠ ɾ a̠
っきゃ	k̚ʲ kʲ a̠
っけ	k̚ k e̞
っしゃ	ɕː a̠
っす	sː ɨ
っちゃ	t̚ t͡ɕ a̠
っつーか	t̚ t͡s ɨː k a̠
って	t̚ t e̞
ってば	t̚ t e̞ b a̠
っぱ	p̚ p a̠
っぱなし	p̚ p a̠ n a̠ ɕ i
ップ	p̚ p ɯ̟
っぽい	p̚ p o̞ i
つ	t͡s ɨ
ツ	t͡s ɨ
津	t͡s ɨ
づ	d͡z ɨᵝ
づ	z ɨᵝ
ヅ	d͡z ɨᵝ
ヅ	z ɨᵝ
つ゚	t ɯ̟
つぁ	t͡s a̠
ツァ	t͡s a̠
ツァー	t͡s a̠ː
ツァーリ	t͡s a̠ː ɾʲ i
ツァーリズム	t͡s a̠ː ɾʲ i z ɨ m ɯ̟
ツァイチェン	t͡s a̠ i t͡ɕ ẽ̞ ɴ
ツァイチエン	t͡s a̠ i t͡ɕ i ẽ̞ ɴ
ツァイトガイスト	t͡s a̠ i t o̞ ɡ a̠ i s ɨ t o̞
ツァリーツァ	t͡s a̠ ɾʲ iː t͡s a̠
ツアー	t͡s ɨ a̠ː
つぃ	t͡sʲ i
ツィ	t͡sʲ i
ツイ	t͡s ɨ i
終	t͡s ɨ i
ツイード	t͡s ɨ iː d o̞
費え	t͡s ɨ i e̞
潰える	t͡s ɨ i e̞ ɾ ɯ̟
費える	t͡s ɨ i e̞ ɾ ɯ̟
追憶	t͡s ɨ i o̞ k ɯ̟
追加	t͡s ɨ i k a̠
ツイカス	t͡s ɨ i k a̠ s ɨ
追記	t͡s ɨ i kʲ i
追及	t͡s ɨ i kʲ ɨː
追求	t͡s ɨ i kʲ ɨː
ツイ禁	t͡s ɨ i kʲ ĩ ɴ
対句	t͡s ɨ i k ɯ̟
追撃	t͡s ɨ i ɡ e̞ kʲ i
ツイ消し	t͡s ɨ i k e̞ ɕ i
対語	t͡s ɨ i ɡ o̞
椎骨	t͡s ɨ i k o̞ t͡s ɨ
追試	t͡s ɨ i ɕ i
追試験	t͡s ɨ i ɕ i k ẽ̞ ɴ
追従	t͡s ɨ i ʑ ɨː
追熟	t͡s ɨ i ʑ ɨ k ɯ̟
追随	t͡s ɨ i z ɨ i
ツイスト	t͡s ɨ i s ɨ t o̞
追跡	t͡s ɨ i s e̞ kʲ i
追跡犬	t͡s ɨ i s e̞ kʲ i k ẽ̞ ɴ
追跡者	t͡s ɨ i s e̞ kʲ i ɕ a̠
終ぞ	t͡s ɨ i z o̞
追想	t͡s ɨ i s o̞ː
追走	t͡s ɨ i s o̞ː
一日	t͡s ɨ i t a̠ t͡ɕ i
追徴	t͡s ɨ i t͡ɕ o̞ː
ツイッター	t͡s ɨ i t̚ t a̠ː
次いで	t͡s ɨ i d e̞
追悼	t͡s ɨ i t o̞ː
追悼式	t͡s ɨ i t o̞ː ɕ i kʲ i
追突	t͡s ɨ i t o̞ t͡s ɨ
ツイ友	t͡s ɨ i t o̞ m o̞
追儺	t͡s ɨ i n a̠
ついに	t͡s ɨ i ɲ̟ i
追認	t͡s ɨ i ɲ̟ ĩ ɴ
ツイ廃	t͡s ɨ i h a̠ i
啄む	t͡s ɨ i b a̠ m ɯ̟
追尾	t͡s ɨ i bʲ i
ツイフェミ	t͡s ɨ i ɸ e̞ mʲ i
追慕	t͡s ɨ i b o̞
追放	t͡s ɨ i h o̞ː
費やす	t͡s ɨ i j a̠ s ɨ
墜落	t͡s ɨ i ɾ a̠ k ɯ̟
ツインテール	t͡s ɨ ĩ n t e̞ː ɾ ɯ̟
つう	t͡s ɨː
つー	t͡s ɨː
ツー	t͡s ɨː
通	t͡s ɨː
字一色	t͡s ɨː iː s o̞ː
痛飲	t͡s ɨː ĩ ɴ
通院	t͡s ɨː ĩ ɴ
通園	t͡s ɨː ẽ̞ ɴ
つーか	t͡s ɨː k a̠
通貨	t͡s ɨː k a̠
通過	t͡s ɨː k a̠
痛快	t͡s ɨː k a̠ i
痛覚	t͡s ɨː k a̠ k ɯ̟
通学	t͡s ɨː ɡ a̠ k ɯ̟
通学鞄	t͡s ɨː ɡ a̠ k ɯ̟ k a̠ b ã̠ ɴ
痛感	t͡s ɨː k ã̠ ɴ
通関	t͡s ɨː k ã̠ ɴ
通気	t͡s ɨː kʲ i
通気性	t͡s ɨː kʲ i s e̞ː
通暁	t͡s ɨː ɡʲ o̞ː
通勤	t͡s ɨː kʲ ĩ ɴ
痛苦	t͡s ɨː k ɯ̟
通校	t͡s ɨː k o̞ː
通行	t͡s ɨː k o̞ː
通行止め	t͡s ɨː k o̞ː d o̞ m e̞
通行人	t͡s ɨː k o̞ː ɲ̟ ĩ ɴ
通行料	t͡s ɨː k o̞ː ɾʲ o̞ː
通告	t͡s ɨː k o̞ k ɯ̟
痛恨	t͡s ɨː k õ̞ ɴ
通算	t͡s ɨː s ã̠ ɴ
通史	t͡s ɨː ɕ i
通紙	t͡s ɨː ɕ i
通事	t͡s ɨː ʑ i
ツーシーム	t͡s ɨː ɕ iː m ɯ̟
通時的	t͡s ɨː ʑ i t e̞ kʲ i
通商	t͡s ɨː ɕ o̞ː
通称	t͡s ɨː ɕ o̞ː
通常	t͡s ɨː ʑ o̞ː
通じる	t͡s ɨː ʑ i ɾ ɯ̟
痛心	t͡s ɨː ɕ ĩ ɴ
通信	t͡s ɨː ɕ ĩ ɴ
通信員	t͡s ɨː ɕ ĩ ɰ̃ ĩ ɴ
通信社	t͡s ɨː ɕ ĩ ɰ̃ ɕ a̠
通信簿	t͡s ɨː ɕ ĩ m b o̞
通信網	t͡s ɨː ɕ ĩ mː o̞ː
通ずる	t͡s ɨː z ɨ ɾ ɯ̟
痛惜	t͡s ɨː s e̞ kʲ i
痛切	t͡s ɨː s e̞ t͡s ɨ
通説	t͡s ɨː s e̞ t͡s ɨ
通俗	t͡s ɨː z o̞ k ɯ̟
通達	t͡s ɨː t a̠ t͡s ɨ
通知	t͡s ɨː t͡ɕ i
通知書	t͡s ɨː t͡ɕ i ɕ o̞
通知表	t͡s ɨː t͡ɕ i ç o̞ː
通帳	t͡s ɨː t͡ɕ o̞ː
通読	t͡s ɨː d o̞ k ɯ̟
ツートン	t͡s ɨː t õ̞ ɴ
通年	t͡s ɨː n ẽ̞ ɴ
通念	t͡s ɨː n ẽ̞ ɴ
通販	t͡s ɨː h ã̠ ɴ
ツーピース	t͡s ɨː pʲ iː s ɨ
痛風	t͡s ɨː ɸ ɯ̟ː
通風	t͡s ɨː ɸ ɯ̟ː
通報	t͡s ɨː h o̞ː
通宝	t͡s ɨː h o̞ː
通訳	t͡s ɨː j a̠ k ɯ̟
通訳者	t͡s ɨː j a̠ k ɯ̟̊ ɕ a̠
痛痒	t͡s ɨː j o̞ː
通用	t͡s ɨː j o̞ː
通覧	t͡s ɨː ɾ ã̠ ɴ
ツーリスト	t͡s ɨː ɾʲ i s ɨ̥ t o̞
ツーリング	t͡s ɨː ɾʲ ĩ ŋ ɡ ɯ̟
ツール	t͡s ɨː ɾ ɯ̟
ツールチップ	t͡s ɨː ɾ ɯ̟ t͡ɕ i̥ p̚ p ɯ̟
ツールバー	t͡s ɨː ɾ ɯ̟ b a̠ː
鶴嶺湖	t͡s ɨː ɾ ɯ̟ ɾ e̞ː kʲ i
通例	t͡s ɨː ɾ e̞ː
痛烈	t͡s ɨː ɾ e̞ t͡s ɨ
通路	t͡s ɨː ɾ o̞
通話	t͡s ɨː β̞ a̠
通話口	t͡s ɨː β̞ a̠ ɡ ɯ̟ t͡ɕ i
つぇ	t͡s e̞
ツェ	t͡s e̞
ツェツェバエ	t͡s e̞ t͡s e̞ b a̠ e̞
ツェナーダイオード	t͡s e̞ n a̠ː d a̠ i o̞ː d o̞
仗	d͡ʑ o̞ː
杖	t͡s ɨ e̞
つぉ	t͡s o̞
ツォ	t͡s o̞
ツォウ	t͡s o̞ː
塚	t͡s ɨ̥ k a̠
栂	t͡s ɨ ɡ a̠
使い	t͡s ɨ̥ k a̠ i
つがい	t͡s ɨ ɡ a̠ i
使い方	t͡s ɨ̥ k a̠ i k a̠ t a̠
つかいがって	t͡s ɨ k a̠ i ɡ a̠ t̚ t e̞
使い切る	t͡s ɨ k a̠ i kʲ i ɾ ɯ̟
使いこなす	t͡s ɨ̥ k a̠ i k o̞ n a̠ s ɨ
使い捨て	t͡s ɨ̥ k a̠ i s ɨ̥ t e̞
つかいたおす	t͡s ɨ k a̠ i t a̠ o̞ s ɨ
つかいっぱしり	t͡s ɨ k a̠ i p̚ p a̠ ɕ i ɾʲ i
つかいはしり	t͡s ɨ̥ k a̠ i h a̠ ɕ i ɾʲ i
つかいばしり	t͡s ɨ̥ k a̠ i b a̠ ɕ i ɾʲ i
使い果たす	t͡s ɨ k a̠ i h a̠ t a̠ s ɨ
使い古し	t͡s ɨ k a̠ i ɸ ɯ̟ ɾ ɯ̟ ɕ i
使い古す	t͡s ɨ k a̠ i ɸ ɯ̟ ɾ ɯ̟ s ɨ
使い魔	t͡s ɨ̥ k a̠ i m a̠
つかいみち	t͡s ɨ̥ k a̠ i mʲ i t͡ɕ i
番い目	t͡s ɨ ɡ a̠ i m e̞
つかいもの	t͡s ɨ k a̠ i m o̞ n o̞
使い分ける	t͡s ɨ k a̠ i β̞ a̠ k e̞ ɾ ɯ̟
使う	t͡s ɨ̥ k a̠ ɯ̟
番う	t͡s ɨ ɡ a̠ ɯ̟
仕える	t͡s ɨ k a̠ e̞ ɾ ɯ̟
使える	t͡s ɨ k a̠ e̞ ɾ ɯ̟
閊える	t͡s ɨ k a̠ e̞ ɾ ɯ̟
つかさ	t͡s ɨ k a̠ s a̠
栂桜	t͡s ɨ ɡ a̠ z a̠ k ɯ̟ ɾ a̠
司る	t͡s ɨ̥ k a̠ s a̠ d o̞ ɾ ɯ̟
つかつか	t͡s ɨ̥ k a̠ t͡s ɨ̥ k a̠
束の間	t͡s ɨ̥ k a̠ n o̞ m a̠
捕まえる	t͡s ɨ k a̠ m a̠ e̞ ɾ ɯ̟
仕る	t͡s ɨ k a̠ m a̠ t͡s ɨ ɾ ɯ̟
捕まる	t͡s ɨ k a̠ m a̠ ɾ ɯ̟
掴む	t͡s ɨ k a̠ m ɯ̟
浸かる	t͡s ɨ k a̠ ɾ ɯ̟
津軽	t͡s ɨ ɡ a̠ ɾ ɯ̟
疲れ	t͡s ɨ̥ k a̠ ɾ e̞
疲れ果てる	t͡s ɨ k a̠ ɾ e̞ h a̠ t e̞ ɾ ɯ̟
憑かれる	t͡s ɨ̥ k a̠ ɾ e̞ ɾ ɯ̟
疲れる	t͡s ɨ̥ k a̠ ɾ e̞ ɾ ɯ̟
付き	t͡s ɨ kʲ i
月	t͡s ɨ̥ kʲ i
突き	t͡s ɨ kʲ i
つぎ	t͡s ɨ ɡʲ i
継	t͡s ɨ ɡʲ i
付き合い	t͡s ɨ̥ kʲ i a̠ i
付き合う	t͡s ɨ kʲ i a̠ ɯ̟
月明かり	t͡s ɨ̥ kʲ i a̠ k a̠ ɾʲ i
突き当たり	t͡s ɨ̥ kʲ i a̠ t a̠ ɾʲ i
突き当たる	t͡s ɨ̥ kʲ i a̠ t a̠ ɾ ɯ̟
継ぎ合わせる	t͡s ɨ ɡʲ i a̠ β̞ a̠ s e̞ ɾ ɯ̟
つきおくれ	t͡s ɨ kʲ i o̞ k ɯ̟ ɾ e̞
突き落とす	t͡s ɨ̥ kʲ i o̞ t o̞ s ɨ
突き返す	t͡s ɨ̥ kʲ i k a̠ e̞ s ɨ
月影	t͡s ɨ̥ kʲ i k a̠ ɡ e̞
