Ada	aː t a
mosavaxinn	m ɔː s a v a x s ɪ nː
mosi	m ɔː s ɪ
moska	m ɔ s k a
moskítófluga	m ɔ s c iː t o uː f l ʏː ɣ a
motta	m ɔ h t a
muldra	m ʏ l t r a
muldur	m ʏ l t ʏ r
mulningur	m ʏ l n i ŋ k ʏ r
muna	m ʏː n a
munaðarleysingi	m ʏː n aː ð a r l e iː s i ɲ c ɪ
munaðarleysingjahæli	m ʏː n aː ð a r l e iː s i ɲ c a h a iː l ɪ
mund	m ʏ n t
munda	m ʏ n t a
munkahetta	m u ŋ̊ k a h ɛ h t a
munkur	m u ŋ̊ k ʏ r
munnharpa	m ʏ nː h a r̥ p a
munni	m ʏ nː ɪ
munnmök	m ʏ nː m œː k
munnskol	m ʏ nː s k ɔː l
munnur	m ʏ nː ʏ r
munnvatn	m ʏ nː v a h t n
munnþurrka	m ʏ nː θ ʏ r̥ k a
munstur	m ʏ n s t ʏ r
munu	m ʏː n ʏ
munur	m ʏː n ʏ r
mura	m ʏː r a
mustarður	m ʏ s t a r ð ʏ r
mygla	m ɪ k l a
mykja	m ɪː c a
mylja	m ɪ l j a
mylla	m ɪ lː a
mylsna	m ɪ l s t n a
mynd	m ɪ n t
mynda	m ɪ n t a
myndarlegur	m ɪ n t a r l ɛː ɣ ʏ r
myndavél	m ɪ n t a v j ɛː l
myndband	m ɪ n t p a n t
mynddiskur	m ɪ n t t ɪ s k ʏ r
mynstur	m ɪ n s t ʏ r
mynstur	m ʏ n s t ʏ r
mynt	m ɪ n̥ t
myrkur	m ɪ r̥ k ʏ r
myrkvi	m ɪ r̥ k v ɪ
myrða	m ɪ r ð a
mysa	m ɪː s a
mysu	m ɪː s ʏ
mysuostur	m ɪː s ʏ ɔ s t ʏ r
má	m a uː
máfur	m a uː v ʏ r
mágur	m a uː ʏ r
mál	m a uː l
mála	m a uː l a
málafærslumaður	m a uː l a f a i r̥ s t l ʏ m aː ð ʏ r
málari	m a uː l aː r ɪ
málband	m a u l p a n t
málbein	m a u l p e iː n
málefni	m a uː l ɛ p n ɪ
málfar	m a u l f aː r
málfrelsi	m a u l f r ɛ l s ɪ
málfræði	m a u l f r aː i ð ɪ
mállýska	m a u l l i s k a
málmblanda	m a u l m p l a n t a
málmblásturshljóðfæri	m a u l m p l a u s t ʏ r̥ s l̥ j o u ð f a iː r ɪ
málmur	m a u l m ʏ r
málning	m a u l n i ŋ k
málsgrein	m a u l s k r e iː n
málsháttur	m a u l s h a u h t ʏ r
málstol	m a u l s t ɔː l
máltækni	m a u l t a i h k n ɪ
máltíð	m a u l tʰ iː ð
málverk	m a u l v ɛ r̥ k
málvísindi	m a u l v iː s ɪ n t ɪ
mánajurt	m a uː n a j ʏ r̥ t
máni	m a uː n ɪ
mánudagur	m a uː n ʏ t aː ɣ ʏ r
mánuður	m a uː n ʏ ð ʏ r
már	m a uː r
más	m a uː s
mát	m a uː t
máta	m a uː t a
mátun	m a uː t ʏ n
mávur	m a uː v ʏ r
mæla	m a iː l a
mæna	m a iː n a
mændi	m a iː n t ɪ
mænudeyfing	m a iː n ʏ t e iː v i ŋ k
mær	m a iː r
mærskur	m a i r̥ s k ʏ r
mærð	m a i r ð
mæta	m a iː t a
mætur	m a iː t ʏ r
mæðgin	m a i ð c ɪː n
mæðgur	m a i ð k ʏ r
mæði	m a iː ð ɪ
mæðraveldi	m a i ð r a v ɛ l t ɪ
mí	m iː
míga	m iː ɣ a
míkrófónn	m iː k r o uː f o u t n
mínus	m iː n ʏ s
mínípils	m iː n i pʰ ɪ l s
mínúta	m iː n uː t a
mítur	m iː t ʏ r
móanóra	m o uː a n o uː r a
móasef	m o uː a s ɛː v
móberg	m o uː p ɛ r k
mói	m o uː ɪ
mólendi	m o uː l ɛ n t ɪ
mólýbden	m o uː l i p t ɛː n
mór	m o uː r
mórauður	m o uː r ø yː ð ʏ r
mót	m o uː t
móta	m o uː t a
mótbára	m o uː t p a uː r a
mótetta	m o uː tʰ ɛ h t a
mótgerð	m o uː t c ɛ r ð
mótherji	m o uː t h ɛ r j ɪ
mótmæla	m o uː t m a iː l a
mótorhjól	m o uː t ɔ r ç o uː l
móttaka	m o uː t tʰ aː k a
mótun	m o uː t ʏ n
móða	m o uː ð a
móðga	m o u ð k a
móðir	m o uː ð ɪ r
móður	m o uː ð ʏ r
móðurborð	m o uː ð ʏ r p ɔ r ð
móðurbróðir	m o uː ð ʏ r p r o uː ð ɪ r
móðurmál	m o uː ð ʏ r m a uː l
móðursystir	m o uː ð ʏ r s ɪ s t ɪ r
mögulegur	m œː ɣ ʏ l ɛː ɣ ʏ r
mögur	m œː ɣ ʏ r
möl	m œː l
mölur	m œː l ʏ r
möndull	m œ n t ʏ t l
möppudýr	m œ h p ʏ t iː r
mör	m œː r
mörgæs	m œ r c a iː s
mötun	m œː t ʏ n
mötunautur	m œː t ʏ n ø yː t ʏ r
múgur	m uː ʏ r
múgæsing	m uː a iː s i ŋ k
múkki	m u h c ɪ
múli	m uː l ɪ
múr	m uː r
múrbrjótur	m u r p r j o uː t ʏ r
múrhúð	m uː r h uː ð
múrhúða	m uː r h uː ð a
múrmeldýr	m u r m ɛ l t iː r
mús	m uː s
músareyra	m uː s a r e iː r a
músarrindill	m uː s a r r ɪ n t ɪ t l
múskat	m u s k aː t
múslimi	m u s t l ɪː m ɪ
músvákur	m uː s v a uː k ʏ r
múta	m uː t a
mútta	m uʰ t a
mý	m iː
mýbit	m iː p ɪː t
mýfluga	m iː f l ʏː ɣ a
mýkt	m i x t
mýmargur	m iː m a r k ʏ r
mýramaðra	m iː r a m a ð r a
mýrasauðlaukur	m iː r a s ø y ð l ø yː k ʏ r
mýrasef	m iː r a s ɛː v
mýrastör	m iː r a s t œː r
mýrasóley	m iː r a s o uː l e iː
mýrelfting	m iː r ɛ l̥ʷ t i ŋ k
mýri	m iː r ɪ
mýta	m iː t a
n	ɛ nː
naddur	n a tː ʏ r
nafar	n aː v a r
nafarsrauf	n aː v a r̥ s r ø yː v
naflagras	n a p l a k r aː s
nafli	n a p l ɪ
nafn	n a p n
nafna	n a p n a
nafnbót	n a p n p o uː t
nafnfræði	n a p n f r a iː ð ɪ
nafnháttarmerki	n a p n h a u h t a r m ɛ r̥ c ɪ
nafnháttur	n a p n h a u h t ʏ r
nafni	n a p n ɪ
nafnið	n a p n ɪ ð
nafnliður	n a p n l ɪː ð ʏ r
nafnorð	n a p n ɔ r ð
naga	n aː ɣ a
nagdýr	n a ɣ t iː r
naggrís	n a ɣ k r iː s
nagladekk	n a k l a t ɛ h k
nagli	n a k l ɪ
namm	n a mː
nammi	n a mː ɪ
narta	n a r̥ t a
nashyrningur	n aː s h ɪ r t n i ŋ k ʏ r
nasismi	n aː s ɪ s m ɪ
natrín	n aː t r iː n
naumur	n ø yː m ʏ r
naust	n ø y s t
naut	n ø yː t
nautahakk	n ø yː t a h a h k
nautakjöt	n œ i̯ː t a cʰ œː t
nautgripur	n ø yː t k r ɪː p ʏ r
nautn	n œ i h t n
nauð	n ø yː ð
nauða	n ø yː ð a
nauðgari	n ø y ð k aː r ɪ
nauðgun	n ø y ð k ʏ n
nauðsyn	n ø y ð s ɪː n
nauðsynlegur	n ø y ð s ɪ n l ɛː ɣ ʏ r
naðra	n a ð r a
naður	n aː ð ʏ r
naðurtunga	n aː ð ʏ r tʰ u ŋ k a
nebbi	n ɛ pː ɪ
nef	n ɛː v
nefdýr	n ɛ v t iː r
nefna	n ɛ p n a
nefnari	n ɛ p n aː r ɪ
nefnd	n ɛ m t
nefnifall	n ɛ p n ɪ f a t l̥
nefnilega	n ɛ p n ɪ l ɛ ɣ a
negri	n ɛ ɣ r ɪ
negull	n ɛː ɣ ʏ t l
nei	n e iː
neita	n e iː t a
neitun	n e iː t ʏ n
neitunarháttur	n e iː t ʏ n a r h a u h t ʏ r
neitunarvald	n e iː t ʏ n a r v a l t
nekt	n ɛ x t
nema	n ɛː m a
nemandi	n ɛː m a n t ɪ
nemi	n ɛː m ɪ
nenna	n ɛ nː a
nepalskur	n ɛː pʰ a l s k ʏ r
nepja	n ɛː p j a
nes	n ɛː s
nesti	n ɛ s t ɪ
nestisbox	n ɛ s t ɪ s p ɔ x s
net	n ɛː t
netafræði	n ɛː t a f r a iː ð ɪ
netfang	n ɛː t f a u ŋ k
netja	n ɛː t j a
netjuský	n ɛː t j ʏ s c iː
netkorn	n ɛː t kʰ ɔ r t n
netla	n ɛ h t l a
nettóþyngd	n ɛ h t o uː θ i ŋ t
neysla	n e i s t l a
neyða	n e iː ð a
neðanjarðarbraut	n ɛː ð a n j a r ð a r p r ø yː t
neðri	n e ð r ɪ
neópren	n ɛː o uː pʰ r ɛː n
nifl	n ɪ p l
nifteind	n ɪ f t e i n t
nikkel	n ɪ h k ɛ l
nippill	n ɪ h p ɪ t l
nirfill	n ɪ r v ɪ t l
nit	n ɪː t
niðjatal	n ɪ ð j a tʰ aː l
niðji	n ɪ ð j ɪ
niður	n ɪː ð ʏ r
niðurgangur	n ɪː ð ʏ r k a u ŋ k ʏ r
niðurlæging	n ɪː ð ʏ r l a iː j i ŋ k
niðurlægja	n ɪː ð ʏ r l a iː j a
niðurlægjandi	n ɪː ð ʏ r l a iː j a n t ɪ
niðurskurður	n ɪː ð ʏ r s k ʏ r ð ʏ r
niðurstaða	n ɪː ð ʏ r s t aː ð a
njálgur	n j a u l k ʏ r
njóli	n j o uː l ɪ
njósna	n j o u s t n a
njósnari	n j o u s t n aː r ɪ
njóta	n j o uː t a
nokkur	n ɔ h k ʏ r
nopi	n ɔː p ɪ
norn	n ɔ r t n
norræna	n ɔ r r a iː n a
norrænn	n ɔ r r a i n
norska	n ɔ r̥ s k a
norðaustur	n ɔ r ð ø y s t ʏ r
norðurljós	n ɔ r ð ʏ r l j o uː s
norðvestur	n ɔ r ð v ɛ s t ʏ r
nostalgía	n ɔ s t a l c i j a
not	n ɔː t
nota	n ɔː t a
notandi	n ɔː t a n t ɪ
nothæfur	n ɔː t h a iː v ʏ r
notkun	n ɔ h t k ʏ n
notkun	n ɔː t k ʏ n
nudd	n ʏ tː
nudda	n ʏ tː a
nykra	n ɪː k r a
nyrðra	n ɪ r ð r a
nyt	n ɪː t
nytsamur	n ɪː t s aː m ʏ r
nytsemi	n ɪː t s ɛː m ɪ
ná	n a uː
nábrók	n a uː p r o uː k
nábítur	n a uː p iː t ʏ r
nábúi	n a uː p uː ɪ
nágranni	n a uː k r a nː ɪ
nágrenni	n a uː k r ɛ nː ɪ
náhvalur	n a uː kʰ v aː l ʏ r
nák	n a uː k
nákvæmlega	n a uː kʰ v a i m l ɛː ɣ a
nál	n a uː l
náladofi	n a uː l a t ɔː v ɪ
nálarauga	n a uː l a r ø yː ɣ a
nálgunarbann	n a u l k ʏ n a r p a nː
nálægur	n a uː l a iː ɣ ʏ r
nám	n a uː m
náma	n a uː m a
námsbraut	n a u m s p r ø yː t
námskeið	n a u m s c e iː ð
nánd	n a u n t
nár	n a uː r
nátt	n a uʰ t
nátthrafn	n a u h t r̥ a p n
náttmál	n a u h t m a uː l
náttúra	n a u h t uː r a
náttúrulegur	n a u h t uː r ʏ l ɛ ɣ ʏ r
náttúruval	n a u h t uː r ʏ v aː l
nátíð	n a uː tʰ iː ð
náungi	n a uː u ɲ c ɪ
náæta	n a uː a iː t a
náð	n a uː ð
náða	n a uː ð a
náðhús	n a u ð h uː s
nægja	n a iː j a
næla	n a iː l a
nælon	n a iː l ɔː n
næmi	n a iː m ɪ
næpa	n a iː p a
næra	n a iː r a
næring	n a iː r i ŋ k
næringarfræðingur	n a iː r i ŋ k a r f r a iː ð i ŋ k ʏ r
nærmynd	n a i r m ɪ n t
nærvera	n a i r v ɛː r a
nærverufall	n a i r v ɛː r ʏ f a t l
næs	n a iː s
næsta	n a i s t a
næstur	n a i s t ʏ r
nætur	n a iː t ʏ r
næturgali	n a iː t ʏ r k aː l ɪ
næði	n a iː ð ɪ
né	n j ɛː
nía	n iː j a
níska	n i s k a
nískur	n i s k ʏ r
nísta	n i s t a
níundi	n iː j ʏ n t ɪ
níð	n iː ð
níðingur	n iː ð i ŋ k ʏ r
nóg	n o uː
nógur	n o uː ʏ r
nón	n o uː n
nót	n o uː t
nóta	n o uː t a
nótt	n o uʰ t
nöf	n œː v
nögl	n œ k l
nöldur	n œ l t ʏ r
nörd	n œ r t
nös	n œː s
nötra	n œː t r a
nú	n uː
núa	n uː a
núbbi	n u pː ɪ
núll	n u lː
númer	n uː m ɛː r
númera	n uː m ɛː r a
númers	n uː m ɛ r s
núna	n uː n a
núningur	n uː n i ŋ k ʏ r
núpur	n uː p ʏ r
nútími	n uː tʰ iː m ɪ
nútíð	n uː tʰ iː ð
ný	n iː
nýfæddur	n iː f a i tː ʏ r
nýjabrum	n iː j a p r ʏː m
nýlega	n iː l ɛː ɣ a
nýmjólk	n iː m j o u l̥ k
nýnorska	n iː n ɔ r̥ s k a
nýr	n iː r
nýra	n iː r a
nýrun	n iː r ʏ n
nýsilfur	n iː s ɪ l v ʏ r
nýsjálenskur	n iː s j a uː l ɛ n s k ʏ r
nýsnævi	n iː s n a iː v ɪ
nýta	n iː t a
nýting	n iː t i ŋ k
nýtt	n i h t
nýtur	n iː t ʏ r
nývirki	n iː v ɪ r̥ c ɪ
nýyrðasmíð	n iː ɪ r ð a s m iː ð
nýyrði	n iː ɪ r ð ɪ
obláta	ɔ p l a uː t a
oddur	ɔ tː ʏ r
oddviti	ɔ tː v ɪ t ɪ
of	ɔː v
ofan	ɔː v a n
ofbeldi	ɔ v p ɛ l t ɪ
ofbirta	ɔ v p ɪ r̥ t a
offita	ɔ f f ɪː t a
ofkæling	ɔː v c a iː l ɪ ŋ k
ofn	ɔ p n
ofnæmi	ɔ v n a iː m ɪ
ofurhetja	ɔː v ʏ r h ɛː t j a
ofursti	ɔː f ʏ r̥ s t ɪ
ofurþungur	ɔː v ʏ r θ u ŋ k ʏ r
ofviðri	ɔ v v ɪ ð r ɪ
ofvæni	ɔ v v a iː n ɪ
oföndun	ɔː v œ n t ʏ n
og	ɔː ɣ
oj	ɔ iː
ok	ɔː k
okfruma	ɔː k f r ʏː m a
okkar	ɔ h k ɐ r
okkarína	ɔ h k a r iː n a
okkur	ɔ h k ʏ r
okra	ɔː k r a
oktan	ɔ x t aː n
október	ɔ x t o uː p ɛː r
olla	ɔ lː a
olnbogabót	ɔ l n p ɔː ɣ a p o uː t
olnbogi	ɔ l n p ɔː j ɪ
olía	ɔː l iː a
op	ɔ p
opinberun	ɔː p ɪ n p ɛː r ʏ n
opna	ɔ h p n a
opnun	ɔ h p n ʏ n
opnunartími	ɔ h p n ʏː n aː r tʰ iː m ɪ
orf	ɔ r v
orfa	ɔ r v a
organisti	ɔ r k a n ɪ s t ɪ
orgel	ɔ r k ɛː l
orgía	ɔ r c iː j a
origami	ɔː r ɪ k a m ɪ
orka	ɔ r̥ k a
orki	ɔ r̥ c ɪ
orkudrykkur	ɔ r̥ k ʏ t r ɪ h k ʏ r
orkugjafi	ɔ r̥ k ʏ c aː v ɪ
orkuver	ɔ r̥ k ʏ v ɛː r
orkídea	ɔ r̥ c iː t ɛː a
orma	ɔ r m a
ormur	ɔ r m ʏ r
orrusta	oː r ʏ s t a
orsaka	ɔ r̥ s aː k a
orsök	ɔ r̥ s œː k
orð	ɔ r ð
orða	ɔ r ð a
orðabók	ɔ r ð a p o uː k
orðaforði	ɔ r ð a f ɔ r ð ɪ
orðaleikur	ɔ r ð a l e iː k ʏ r
orðasafn	ɔ r ð a s a p n
orðasamband	ɔ r ð a s a m p a n t
orðatiltæki	ɔ r ð a tʰ ɪ l̥ tʰ a iː c ɪ
orðflokkur	ɔ r ð f l ɔ h k ʏ r
orðfræði	ɔ r ð f r a iː ð ɪ
orðhlutafræði	ɔ r ð l̥ ʏː t a f r a iː ð ɪ
orðhluti	ɔ r ð l̥ ʏː t ɪ
orðrómur	ɔ r ð r o uː m ʏ r
orðsending	ɔ r ð s ɛ n t i ŋ k
orðsifjabók	ɔ r ð s ɪ v j a p o uː k
orðsifjafræði	ɔ r ð s ɪ v j a f r a iː ð ɪ
orðsifjar	ɔ r ð s ɪ v j aː r
orðskviður	ɔ r ð s kʰ v ɪː ð ʏ r
orðstír	ɔ r ð s tʰ iː r
orðtak	ɔ r ð tʰ aː k
ostabakki	ɔ s t a p a h c ɪ
ostagerð	ɔ s t a c ɛ r ð
ostahnífur	ɔ s t a n̥ iː v ʏ r
ostakaka	ɔ s t a kʰ aː k a
ostaskeri	ɔ s t a s c ɛː r ɪ
ostefni	ɔ s t ɛ p n ɪ
ostsneið	ɔ s t s t n e iː ð
otur	ɔː t ʏ r
oxíð	ɔ k s iː ð
p	pʰ j ɛː
padda	pʰ a tː a
pakkhús	pʰ a h k h uː s
pakki	pʰ a h c ɪ
pallur	pʰ a t l ʏ r
pamfíll	pʰ a m f i t l
panda	pʰ a n t a
panna	pʰ a nː a
panta	pʰ a n̥ t a
pantur	pʰ a n̥ t ʏ r
pappír	pʰ a h p iː r
par	pʰ aː r
pardus	pʰ a r t ʏ s
pardusdýr	pʰ a r t ʏ s t iː r
partur	pʰ a r̥ t ʏ r
partí	pʰ a r̥ t i
passa	pʰ a sː a
pasta	pʰ a s t a
pat	pʰ aː t
patríarki	pʰ aː tʰ r i j a r̥ c ɪ
patt	pʰ a h t
patína	pʰ aː tʰ iː n a
paufa	pʰ ø yː v a
paxblað	pʰ a k s p l aː ð
paxblað	pʰ a x s p l aː ð
pedall	pʰ ɛː t a t l
peli	pʰ ɛː l ɪ
pels	pʰ ɛ l s
pelíkani	pʰ ɛ l iː k aː n ɪ
pempía	pʰ ɛ m̥ p iː j a
pendúll	pʰ ɛ n t ʏ t l
peningamarkaðssjóður	pʰ ɛː n i ŋ k a m a r̥ k a ð s s j o uː ð ʏ r
peningaseðill	pʰ ɛː n i ŋ k a s ɛː ð ɪ t l
peningur	pʰ ɛː n i ŋ k ʏ r
pennahnífur	pʰ ɛ nː a n̥ iː v ʏ r
pennavinur	pʰ ɛ nː a v ɪː n ʏ r
penni	pʰ ɛ nː ɪ
pensill	pʰ ɛ n s ɪ t l
pepperóní	pʰ ɛ h p ɛ r o uː n iː
pera	pʰ ɛː r a
perla	pʰ ɛ r t l a
perlumóðir	pʰ ɛ r t l ʏ m o uː ð ɪ r
persneska	pʰ ɛ r̥ s n ɛ s k a
persóna	pʰ ɛ r̥ s o uː n a
persónufornafn	pʰ ɛ r̥ s o uː n ʏ f ɔ r n a p n
persónulega	pʰ ɛ r̥ s o uː n ʏ l ɛː ɣ a
pex	p ɛ k s
pexa	pʰ ɛ x s a
peyi	pʰ e iː j ɪ
peysa	pʰ e iː s a
peð	pʰ ɛː ð
peðra	pʰ ɛ ð r a
pils	pʰ ɪ l s
piltur	pʰ ɪ l̥ t ʏ r
pinkill	pʰ i ɲ̊ c ɪ t l
pinni	pʰ ɪ nː ɪ
pipar	pʰ ɪː p a r
piparkaka	pʰ ɪː p a r kʰ aː k a
piparkökuhús	pʰ ɪː p a r kʰ œ k u h uː s
piparrót	pʰ ɪː p a r r o uː t
piparsveinn	pʰ ɪː p a r s v e i t n
piparúði	pʰ ɪː p a r uː ð ɪ
pirra	pʰ ɪ rː a
piss	pʰ ɪ sː
pissa	pʰ ɪ sː a
pissuskál	pʰ ɪ sː ʏ s k a uː l
pistasía	pʰ ɪ s t a s iː j a
pistill	pʰ ɪ s t ɪ t l
pizza	pʰ i t s a
pjatla	pʰ j a h t l a
plaga	pʰ l aː ɣ a
plampa	pʰ l a m̥ p a
plana	pʰ l aː n a
planta	pʰ l a n̥ t a
plast	pʰ l a s t
plata	pʰ l aː t a
platína	pʰ l aː tʰ iː n a
platónskur	pʰ l aː tʰ o u n s k ʏ r
plebbi	pʰ l ɛ pː ɪ
plokka	pʰ l ɔ h k a
plága	pʰ l a uː a
pláneta	pʰ l a uː n ɛː t a
pláss	pʰ l a u sː
plástur	pʰ l a u s t ʏ r
plægja	pʰ l a iː j a
plógur	pʰ l o uː ʏ r
plóma	pʰ l o uː m a
plús	pʰ l uː s
poka	pʰ ɔː k a
pokabjörn	pʰ ɔː k a p j œ r t n
pokadýr	pʰ ɔː k a t iː r
poki	pʰ ɔː c ɪ
pollagalli	pʰ ɔ t l a k a lː ɪ
polli	pʰ ɔ lː ɪ
pollur	pʰ ɔ t l ʏ r
pomp	pʰ ɔ m̥ p
popp	pʰ ɔ h p
poppa	pʰ ɔ h p a
poppkorn	pʰ ɔ h p kʰ ɔ r t n
port	pʰ ɔ r̥ t
portúgalska	p ɔ r̥ t uː k a l s k a
posi	pʰ ɔː s ɪ
postuli	pʰ ɔ s t ʏː l ɪ
postullegur	pʰ ɔ s t ʏ l l ɛː ɣ ʏ r
postulín	pʰ ɔ s t ʏː l iː n
pota	pʰ ɔː t a
pottur	pʰ ɔ h t ʏ r
prakkarastrik	pʰ r a h k a r a s t r ɪː k
prakkari	pʰ r a h k aː r ɪ
prakt	pʰ r a x t
prammi	pʰ r a mː ɪ
predika	pʰ r ɛː t ɪː k a
predikari	pʰ r ɛː t ɪ k a r ɪ
predikun	pʰ r ɛː t ɪ k ʏ n
prenta	pʰ r ɛ n̥ t a
prentari	pʰ r ɛ n̥ t a r ɪ
prentduft	pʰ r ɛ n̥ t t ʏ f t
prentsmiðja	pʰ r ɛ n̥ t s m ɪ ð j a
prentun	pʰ r ɛ n̥ t ʏ n
pressa	pʰ r ɛ sː a
prestastefna	pʰ r ɛ s t a s t ɛ p n a
prestur	pʰ r ɛ s t ʏ r
prettur	pʰ r ɛ h t ʏ r
prettvísi	pʰ r ɛ h t v iː s ɪ
prik	pʰ r ɪː k
prins	pʰ r ɪ n s
prinsessa	pʰ r ɪ n s ɛ sː a
prinsipissa	pʰ r ɪ n s ɪ pʰ ɪ sː a
prjón	pʰ r j o uː n
prjónn	pʰ r j o u t n
prímtala	pʰ r i m tʰ aː l a
prímus	pʰ r iː m ʏ s
prís	pʰ r iː s
prísund	pʰ r iː s ʏ n t
próf	pʰ r o uː v
prófa	pʰ r̥ o u a
prófastur	pʰ r o uː f a s t ʏ r
prófessor	pʰ r o uː f ɛ sː ɔ r
prófsumma	pʰ r o u f s ʏ mː a
prófun	pʰ r o uː v ʏ n
própan	pʰ r o uː pʰ a n
prósenta	pʰ r o uː s ɛ n̥ t a
prótein	pʰ r o uː t e iː n
prótín	pʰ r o uː t iː n
prússneskur	pʰ r u sː t n ɛ s k ʏ r
prútta	pʰ r u h t a
prúðmenni	pʰ r u ð m ɛ nː ɪ
prúðmennska	pʰ r u ð m ɛ n s k a
prúður	pʰ r uː ð ʏ r
prýði	pʰ r iː ð ɪ
pund	pʰ ʏ n t
punda	pʰ ʏ n t a
pungbindi	pʰ u ŋ k p ɪ n t ɪ
pungur	pʰ u ŋ k ʏ r
purpuraþistill	pʰ ʏ r̥ p ʏː r a θ ɪ s t ɪ t l
putta	pʰ ʏ h t a
putti	pʰ ʏ h t ɪ
puð	pʰ ʏː ð
puða	pʰ ʏː ð a
pylsa	pʰ ɪ l s a
pynda	pʰ ɪ n t a
pyngja	pʰ i ɲ c a
pynta	pʰ ɪ n̥ t a
pynting	pʰ ɪ n̥ t i ŋ k
pysja	pʰ ɪː s j a
pyttur	pʰ ɪ h t ʏ r
páfagaukur	pʰ a uː v a k ø yː k ʏ r
páfi	pʰ a uː v ɪ
páfugl	pʰ a uː f ʏ k l
páhæna	pʰ a uː h a iː n a
páka	pʰ a uː k a
pára	pʰ a uː r a
pása	pʰ a uː s a
páskabróðir	pʰ a u s k a p r o uː ð ɪ r
páskadagur	pʰ a u s k a t aː ɣ ʏ r
páskaegg	pʰ a u s k a ɛ kː
páskalilja	pʰ a u s k a l ɪ l j a
páskar	p a u s k a r
páskavika	pʰ a u s k a v ɪː k a
pækill	pʰ a iː c ɪ t l
pæla	pʰ a iː l a
pé	pʰ j ɛː
péttneska	pʰ j ɛ h t n ɛ s k a
pí	pʰ iː
pía	pʰ iː j a
píanó	pʰ iː j aː n o uː
píka	pʰ iː k a
píla	pʰ iː l a
pílári	pʰ iː l a uː r ɪ
pína	pʰ iː n a
píning	pʰ iː n i ŋ k
pínulítill	pʰ iː n ʏ l iː t ɪ t l
pípa	pʰ iː p a
pípetta	pʰ iː p ɛ h t a
pípuhattur	pʰ iː p ʏ h a h t ʏ r
píra	pʰ iː r a
píta	pʰ iː t a
póll	pʰ o u t l
pólska	pʰ o u l s k a
pólskur	pʰ o u l s k ʏ r
pósthús	pʰ o u s t h uː s
póstkort	pʰ o u s t kʰ ɔ r̥ t
póstmódernismi	p o u s t m o uː t ɛ r n ɪ s m ɪ
póstur	pʰ o u s t ʏ r
pöbb	pʰ œ pː
pönk	pʰ ø y ŋ̊ k
pönkari	pʰ ø y ŋ̊ k aː r ɪ
pönnukaka	pʰ œ nː ʏ kʰ aː k a
pöntun	pʰ œ n̥ t ʏ n
púa	pʰ uː a
púki	pʰ uː c ɪ
púl	pʰ uː l
púla	pʰ uː l a
púls	pʰ u l s
púma	pʰ uː m a
púpa	pʰ uː p a
púra	pʰ uː r a
púrtvín	pʰ u r̥ t v iː n
púsluspil	pʰ u s t l ʏ s p ɪː l̥
pússa	pʰ u sː a
pútta	pʰ u h t a
púði	pʰ uː ð ɪ
púður	pʰ uː ð ʏ r
pýroxen	pʰ iː r ɔ k s ɛː n
rabarbari	r a pː a r p aː r ɪ
rabb	r a pː
rabba	r a pː a
rabítur	r aː p iː t ʏ r
radar	r aː t a r
raddblær	r a tː p l a iː r
radísa	r aː t iː s a
raf	r aː v
rafali	r aː v aː l ɪ
rafall	r aː v a t l
rafeind	r aː v e i n t
rafeindasmásjá	r aː v e i n t a s m a uː s j a uː
rafgas	r a v k aː s
rafgeymir	r a v c e iː m ɪ r
rafgreining	r a v k r e iː n i ŋ k
rafhlaða	r a v l̥ aː ð a
raflögn	r a v l œ k n
rafmagn	r a v m a k n
rafmagn	r aː m a k n
rafpóstur	r a v pʰ o u s t ʏ r
rafstöð	r a v s t œː ð
rafsvið	r a v s v ɪː ð
raftur	r a f t ʏ r
rafvirki	r a v v ɪ r̥ c ɪ
raggeit	r a ɣ c e iː t
ragnarök	r a k n a r œː k
rak	r aː k
raka	r aː k a
rakafullur	r aː k a f ʏ t l ʏ r
rakari	r aː k aː r ɪ
rakhnífur	r aː k n̥ iː v ʏ r
raki	r aː c ɪ
rakki	r a h c ɪ
rakna	r a h k n a
rakur	r aː k ʏ r
rakvél	r aː k v j ɛː l
ramba	r a m p a
rammi	r a mː ɪ
rampur	r a m̥ p ʏ r
randa	r a n t a
rangeygður	r a u ŋ k e i ɣ ð ʏ r
rangla	r a u ŋ l a
rangstaða	r a u ŋ k s t aː ð a
rangur	r a u ŋ k ʏ r
rani	r aː n ɪ
rann	r a nː
rannsókn	r a nː s o u h k n
rannsóknarstofa	r a nː s o u h k n a r s t ɔː v a
rannur	r a nː ʏ r
rappa	r a h p a
rasismi	r aː s ɪ s m ɪ
raska	r a s k a
rass	r a sː
rassa	r a sː a
rassgat	r a sː k aː t
rasskinn	r a sː cʰ ɪ nː
rasssæri	r a s s a iː r ɪ
rassvasi	r a sː v aː s ɪ
rata	r aː t a
ratleikur	r aː t l e iː k ʏ r
ratsjá	r aː t s j a uː
rauf	r ø yː v
raul	r ø yː l
raula	r ø yː l a
raun	r ø yː n
raup	r ø yː p
raust	r ø y s t
rauðaldin	r ø yː ð a l t ɪ n
rauðgreni	r ø y ð k r ɛː n ɪ
rauðkál	r ø y ð kʰ a uː l
rauðlaukur	r ø yː ð l ø yː k ʏ r
rauðleitur	r ø y ð l e iː t ʏ r
rauðrófa	r ø y ð r o uː v a
rauður	r ø yː ð ʏ r
rauðvingull	r ø y ð v i ŋ k ʏ t l
