あ	a̠
たくしょく	t a̠ k ɯ̟ᵝ ɕ o̞ k ɯ̟ᵝ
たくす	t a̠ k ɯ̟ᵝ s ɨᵝ
たくはい	t a̠ k ɯ̟ᵝ h a̠ i
たくましい	t a̠ k ɯ̟ᵝ m a̠ ɕ iː
たくみ	t a̠ k ɯ̟ᵝ mʲ i
たくや	t a̠ k ɯ̟ᵝ j a̠
たくらみ	t a̠ k ɯ̟ᵝ ɾ a̠ mʲ i
たくらむ	t a̠ k ɯ̟ᵝ ɾ a̠ m ɯ̟ᵝ
たくろう	t a̠ k ɯ̟ᵝ ɾ o̞ː
たくろく	t a̠ k ɯ̟ᵝ ɾ o̞ k ɯ̟ᵝ
たくわ	t a̠ k ɯ̟ᵝ ɰᵝ a̠
たくわえる	t a̠ k ɯ̟ᵝ ɰᵝ a̠ e̞ ɾ ɯ̟ᵝ
たくわかい	t a̠ k ɯ̟ᵝ ɰᵝ a̠ k a̠ i
たけ	t a̠ k e̞
たけし	t a̠ k e̞ ɕ i
たけしま	t a̠ k e̞ ɕ i m a̠
たけだ	t a̠ k e̞ d a̠
たけち	t a̠ k e̞ t͡ɕ i
たけとり	t a̠ k e̞ t o̞ ɾʲ i
たけなわ	t a̠ k e̞ n a̠ ɰᵝ a̠
たけのうち	t a̠ k e̞ n o̞ ɯ̟ᵝ t͡ɕ i
たけはる	t a̠ k e̞ h a̠ ɾ ɯ̟ᵝ
たけひこ	t a̠ k e̞ ç i k o̞
たけひろ	t a̠ k e̞ ç i ɾ o̞
たけみや	t a̠ k e̞ mʲ i j a̠
たけゆき	t a̠ k e̞ j ɯ̟ᵝ kʲ i
たけよし	t a̠ k e̞ j o̞ ɕ i
たける	t a̠ k e̞ ɾ ɯ̟ᵝ
たけん	t a̠ k ẽ̞ ɴ
たこ	t a̠ k o̞
たこあしはいせん	t a̠ k o̞ a̠ ɕ i h a̠ i s ẽ̞ ɴ
たこう	t a̠ k o̞ː
たこうかん	t a̠ k o̞ː k ã̠ ɴ
たこうしょう	t a̠ k o̞ː ɕ o̞ː
たこく	t a̠ k o̞ k ɯ̟ᵝ
たこやき	t a̠ k o̞ j a̠ kʲ i
たこわさ	t a̠ k o̞ ɰᵝ a̠ s a̠
たさい	t a̠ s a̠ i
たし	t a̠ ɕ i
たしか	t a̠ ɕ i̥ k a̠
たしかめる	t a̠ ɕ i̥ k a̠ m e̞ ɾ ɯ̟ᵝ
たしなみ	t a̠ ɕ i n a̠ mʲ i
たしなむ	t a̠ ɕ i n a̠ m ɯ̟ᵝ
たしなめる	t a̠ ɕ i n a̠ m e̞ ɾ ɯ̟ᵝ
たしょ	t a̠ ɕ o̞
たしょう	t a̠ ɕ o̞ː
たしんきょう	t a̠ ɕ ĩ ŋʲ kʲ o̞ː
たす	t a̠ s ɨᵝ
たすうけつ	t a̠ s ɨᵝː k e̞ t͡s ɨᵝ
たすうは	t a̠ s ɨᵝː h a̠
たすかる	t a̠ s ɨ̥ᵝ k a̠ ɾ ɯ̟ᵝ
たすき	t a̠ s ɨᵝ kʲ i
たすけあう	t a̠ s ɨᵝ k e̞ a̠ ɯ̟ᵝ
たすけになる	t a̠ s ɨᵝ k e̞ ɲ̟ i n a̠ ɾ ɯ̟ᵝ
たすける	t a̠ s ɨ̥ᵝ k e̞ ɾ ɯ̟ᵝ
たそ	t a̠ s o̞
たそがれ	t a̠ s o̞ ɡ a̠ ɾ e̞
たそくるい	t a̠ s o̞ k ɯ̟ᵝ ɾ ɯ̟ᵝ i
たそん	t a̠ s õ̞ ɴ
たたかい	t a̠ t a̠ k a̠ i
たたかう	t a̠ t a̠ k a̠ ɯ̟ᵝ
たたき	t a̠ t a̠ kʲ i
たたきおこす	t a̠ t a̠ kʲ i o̞ k o̞ s ɨᵝ
たたきおとす	t a̠ t a̠ kʲ i o̞ t o̞ s ɨᵝ
たたきつける	t a̠ t a̠ kʲ i̥ t͡s ɨ̥ᵝ k e̞ ɾ ɯ̟ᵝ
たたく	t a̠ t a̠ k ɯ̟ᵝ
たたみ	t a̠ t a̠ mʲ i
たたみのうえのすいれん	t a̠ t a̠ mʲ i n o̞ ɯ̟ᵝ e̞ n o̞ s ɨᵝ i ɾ ẽ̞ ɴ
たたむ	t a̠ t a̠ m ɯ̟ᵝ
たたら	t a̠ t a̠ ɾ a̠
たたり	t a̠ t a̠ ɾʲ i
たたる	t a̠ t a̠ ɾ ɯ̟ᵝ
ただいま	t a̠ d a̠ i m a̠
ただしい	t a̠ d a̠ ɕ i i
たち	t a̠ t͡ɕ i
たちあいにん	t a̠ t͡ɕ i a̠ i ɲ̟ ĩ ɴ
たちあう	t a̠ t͡ɕ i a̠ ɯ̟ᵝ
たちいふるまい	t a̠ t͡ɕ iː ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ m a̠ i
たちいりきんし	t a̠ t͡ɕ i i ɾʲ i kʲ ĩ ɰ̃ ɕ i
たちいる	t a̠ t͡ɕ iː ɾ ɯ̟ᵝ
たちうお	t a̠ t͡ɕ i ɯ̟ᵝ o̞
たちうち	t a̠ t͡ɕ i ɯ̟ᵝ t͡ɕ i
たちえ	t a̠ t͡ɕ i e̞
たちき	t a̠ t͡ɕ i kʲ i
たちきる	t a̠ t͡ɕ i kʲ i ɾ ɯ̟ᵝ
たちくらみ	t a̠ t͡ɕ i k ɯ̟ᵝ ɾ a̠ mʲ i
たちさる	t a̠ t͡ɕ i s a̠ ɾ ɯ̟ᵝ
たちすくむ	t a̠ t͡ɕ i s ɨᵝ k ɯ̟ᵝ m ɯ̟ᵝ
たちつくす	t a̠ t͡ɕ i t͡s ɨᵝ k ɯ̟ᵝ s ɨᵝ
たちなおり	t a̠ t͡ɕ i n a̠ o̞ ɾʲ i
たちなおる	t a̠ t͡ɕ i n a̠ o̞ ɾ ɯ̟ᵝ
たちのく	t a̠ t͡ɕ i n o̞ k ɯ̟ᵝ
たちばな	t a̠ t͡ɕ i b a̠ n a̠
たちまさる	t a̠ t͡ɕ i m a̠ s a̠ ɾ ɯ̟ᵝ
たちまち	t a̠ t͡ɕ i m a̠ t͡ɕ i
たちむかう	t a̠ t͡ɕ i m ɯ̟ᵝ k a̠ ɯ̟ᵝ
たちよみ	t a̠ t͡ɕ i j o̞ mʲ i
たちよる	t a̠ t͡ɕ i j o̞ ɾ ɯ̟ᵝ
たっきゅう	t a̠ k̚ʲ kʲ ɨᵝː
たっけい	t a̠ k̚ k e̞ː
たっし	t a̠ ɕː i
たっしゃ	t a̠ ɕː a̠
たっせい	t a̠ sː e̞ː
たった	t a̠ t̚ t a̠
たって	t a̠ t̚ t e̞
たつ	t a̠ t͡s ɨᵝ
たつこ	t a̠ t͡s ɨᵝ k o̞
たつせ	t a̠ t͡s ɨᵝ s e̞
たつまき	t a̠ t͡s ɨᵝ m a̠ kʲ i
たつみ	t a̠ t͡s ɨᵝ mʲ i
たつや	t a̠ t͡s ɨᵝ j a̠
たて	d͡ʑ ɨᵝː
たてあみ	t a̠ t e̞ a̠ mʲ i
たていと	t a̠ t e̞ i t o̞
たてかえる	t a̠ t e̞ k a̠ e̞ ɾ ɯ̟ᵝ
たてかん	t a̠ t e̞ k ã̠ ɴ
たてこう	t a̠ t e̞ k o̞ː
たてつく	t a̠ t e̞ t͡s ɨ̥ᵝ k ɯ̟ᵝ
たてつけ	t a̠ t e̞ t͡s ɨᵝ k e̞
たてなおす	t a̠ t e̞ n a̠ o̞ s ɨᵝ
たてなみ	t a̠ t e̞ n a̠ mʲ i
たてはちょう	t a̠ t e̞ h a̠ t͡ɕ o̞ː
たてまえ	t a̠ t e̞ m a̠ e̞
たてまき	t a̠ t e̞ m a̠ kʲ i
たてまつる	t a̠ t e̞ m a̠ t͡s ɨᵝ ɾ ɯ̟ᵝ
たてもの	t a̠ t e̞ m o̞ n o̞
たてや	t a̠ t e̞ j a̠
たてやくしゃ	t a̠ t e̞ j a̠ k ɯ̟ᵝ ɕ a̠
たてよこちりめん	t a̠ t e̞ j o̞ k o̞ t͡ɕ i ɾʲ i m ẽ̞ ɴ
たてる	t a̠ t e̞ ɾ ɯ̟ᵝ
たとう	t a̠ t o̞ː
たとえ	t a̠ t o̞ e̞
たとえる	t a̠ t o̞ e̞ ɾ ɯ̟ᵝ
たな	t a̠ n a̠
たなか	t a̠ n a̠ k a̠
たなばた	t a̠ n a̠ b a̠ t a̠
たに	t a̠ ɲ̟ i
たにま	t a̠ ɲ̟ i m a̠
たぬき	t a̠ n ɯ̟ᵝ kʲ i
たぬきねいり	t a̠ n ɯ̟ᵝ kʲ i n e̞ i ɾʲ i
たね	t a̠ n e̞
たね	ĩ ɴ
たねあかし	t a̠ n e̞ a̠ k a̠ ɕ i
たねだ	t a̠ n e̞ d a̠
たねつけ	t a̠ n e̞ t͡s ɨ̥ᵝ k e̞
たのうほうせい	t a̠ n o̞ː h o̞ː s e̞ː
たのうほうせいらんそう	t a̠ n o̞ː h o̞ː s e̞ː ɾ ã̠ ɰ̃ s o̞ː
たのしい	t a̠ n o̞ ɕ iː
たのしみ	t a̠ n o̞ ɕ i mʲ i
たのしむ	t a̠ n o̞ ɕ i m ɯ̟ᵝ
たのみ	t a̠ n o̞ mʲ i
たのむ	t a̠ n o̞ m ɯ̟ᵝ
たのもしい	t a̠ n o̞ m o̞ ɕ i i
たば	t a̠ b a̠
たぶん	t a̠ b ɯ̟̃ᵝ ɴ
たま	h a̠ k ɯ̟ᵝ
たま	t a̠ m a̠
たま	ɡ ɯ̟ᵝː
たまいし	t a̠ m a̠ i ɕ i
たまう	t a̠ m a̠ ɯ̟ᵝ
たまきん	t a̠ m a̠ kʲ ĩ ɴ
たまけり	t a̠ m a̠ k e̞ ɾʲ i
たまご	t a̠ m a̠ ɡ o̞
たましい	t a̠ m a̠ ɕ iː
たまたま	t a̠ m a̠ t a̠ m a̠
たまちる	t a̠ m a̠ t͡ɕ i ɾ ɯ̟ᵝ
たまつき	t a̠ m a̠ t͡s ɨ̥ᵝ kʲ i
たまな	t a̠ m a̠ n a̠
たまに	t a̠ m a̠ ɲ̟ i
たまのお	t a̠ m a̠ n o̞ o̞
たまのり	t a̠ m a̠ n o̞ ɾʲ i
たまひま	t a̠ m a̠ ç i m a̠
たまひろい	t a̠ m a̠ ç i ɾ o̞ i
たまむし	t a̠ m a̠ m ɯ̟ᵝ ɕ i
たまむしいろ	t a̠ m a̠ m ɯ̟ᵝ ɕ iː ɾ o̞
たまもの	t a̠ m a̠ m o̞ n o̞
たまや	t a̠ m a̠ j a̠
たまゆら	t a̠ m a̠ j ɯ̟ᵝ ɾ a̠
たまらない	t a̠ m a̠ ɾ a̠ n a̠ i
たまり	t a̠ m a̠ ɾʲ i
たまる	t a̠ m a̠ ɾ ɯ̟ᵝ
たまわる	t a̠ m a̠ ɰᵝ a̠ ɾ ɯ̟ᵝ
たみ	t a̠ mʲ i
たむけ	t a̠ m ɯ̟ᵝ k e̞
たむける	t a̠ m ɯ̟ᵝ k e̞ ɾ ɯ̟ᵝ
たむろする	t a̠ m ɯ̟ᵝ ɾ o̞ s ɨᵝ ɾ ɯ̟ᵝ
ため	t a̠ m e̞
ためいき	t a̠ m e̞ i kʲ i
ためし	t a̠ m e̞ ɕ i
ためす	t a̠ m e̞ s ɨᵝ
ためとり	t a̠ m e̞ t o̞ ɾʲ i
ためになる	t a̠ m e̞ ɲ̟ i n a̠ ɾ ɯ̟ᵝ
ためらい	t a̠ m e̞ ɾ a̠ i
ためらう	t a̠ m e̞ ɾ a̠ ɯ̟ᵝ
ためる	t a̠ m e̞ ɾ ɯ̟ᵝ
ためん	t a̠ m ẽ̞ ɴ
ためんかく	t a̠ m ẽ̞ ŋ k a̠ k ɯ̟ᵝ
ためんせい	t a̠ m ẽ̞ ɰ̃ s e̞ː
ためんたい	t a̠ m ẽ̞ n t a̠ i
たもあみ	t a̠ m o̞ a̠ mʲ i
たもうるい	t a̠ m o̞ː ɾ ɯ̟ᵝ i
たもつ	t a̠ m o̞ t͡s ɨᵝ
たもと	t a̠ m o̞ t o̞
たもんてん	t a̠ m õ̞ n t ẽ̞ ɴ
たやす	t a̠ j a̠ s ɨᵝ
たやすい	t a̠ j a̠ s ɨᵝ i
たゆたい	t a̠ j ɯ̟ᵝ t a̠ i
たゆたう	t a̠ j ɯ̟ᵝ t a̠ ɯ̟ᵝ
たゆまぬ	t a̠ j ɯ̟ᵝ m a̠ n ɯ̟ᵝ
たゆむ	t a̠ j ɯ̟ᵝ m ɯ̟ᵝ
たよう	t a̠ j o̞ː
たようか	t a̠ j o̞ː k a̠
たようせい	t a̠ j o̞ː s e̞ː
たより	t a̠ j o̞ ɾʲ i
たよる	t a̠ j o̞ ɾ ɯ̟ᵝ
たら	t a̠ ɾ a̠
たらい	t a̠ ɾ a̠ i
たらいまわし	t a̠ ɾ a̠ i m a̠ ɰᵝ a̠ ɕ i
たらこ	t a̠ ɾ a̠ k o̞
たらふく	t a̠ ɾ a̠ ɸ ɯ̟ᵝ k ɯ̟ᵝ
たりかつよう	t a̠ ɾʲ i k a̠ t͡s ɨᵝ j o̞ː
たりつ	t a̠ ɾʲ i t͡s ɨᵝ
たりる	t a̠ ɾʲ i ɾ ɯ̟ᵝ
たる	t a̠ ɾ ɯ̟ᵝ
たるき	t a̠ ɾ ɯ̟ᵝ kʲ i
たるむ	t a̠ ɾ ɯ̟ᵝ m ɯ̟ᵝ
たれ	t a̠ ɾ e̞
たれこみ	t a̠ ɾ e̞ k o̞ mʲ i
たれこめる	t a̠ ɾ e̞ k o̞ m e̞ ɾ ɯ̟ᵝ
たれめ	t a̠ ɾ e̞ m e̞
たれる	t a̠ ɾ e̞ ɾ ɯ̟ᵝ
たろう	t a̠ ɾ o̞ː
たわいない	t a̠ ɰᵝ a̠ i n a̠ i
たわけ	t a̠ ɰᵝ a̠ k e̞
たわみ	t a̠ ɰᵝ a̠ mʲ i
たわむ	t a̠ ɰᵝ a̠ m ɯ̟ᵝ
たわむれる	t a̠ ɰᵝ a̠ m ɯ̟ᵝ ɾ e̞ ɾ ɯ̟ᵝ
たわわ	t a̠ ɰᵝ a̠ ɰᵝ a̠
たん	t ã̠ ɴ
たんあん	t ã̠ ɰ̃ ã̠ ɴ
たんい	t ã̠ ɰ̃ i
たんいけい	t ã̠ ɰ̃ i k e̞ː
たんいつ	t ã̠ ɰ̃ i t͡s ɨᵝ
たんえん	t ã̠ ɰ̃ ẽ̞ ɴ
たんおう	t ã̠ ɰ̃ o̞ː
たんおし	t ã̠ ɰ̃ o̞ ɕ i
たんおん	t ã̠ ɰ̃ õ̞ ɴ
たんか	t ã̠ ŋ k a̠
たんかすいそ	t ã̠ ŋ k a̠ s ɨᵝ i s o̞
たんかんおり	t ã̠ ŋ k ã̠ ɰ̃ o̞ ɾʲ i
たんき	t ã̠ ŋʲ kʲ i
たんきはそんき	t ã̠ ŋʲ kʲ i ɰᵝ a̠ s õ̞ ŋʲ kʲ i
たんきゅう	t ã̠ ŋʲ kʲ ɨᵝː
たんきょり	t ã̠ ŋʲ kʲ o̞ ɾʲ i
たんけん	t ã̠ ŋ k ẽ̞ ɴ
たんけんか	t ã̠ ŋ k ẽ̞ ŋ k a̠
たんこう	t ã̠ ŋ k o̞ː
たんこん	t ã̠ ŋ k õ̞ ɴ
たんさ	t ã̠ ɰ̃ s a̠
たんさく	t ã̠ ɰ̃ s a̠ k ɯ̟ᵝ
たんさん	t ã̠ ɰ̃ s ã̠ ɴ
たんさんいんりょう	t ã̠ ɰ̃ s ã̠ ɰ̃ ĩ n ɾʲ o̞ː
たんさんすい	t ã̠ ɰ̃ s ã̠ ɰ̃ s ɨᵝ i
たんし	t ã̠ ɰ̃ ɕ i
たんしあい	t ã̠ ɰ̃ ɕ i a̠ i
たんしき	t ã̠ ɰ̃ ɕ i kʲ i
たんしきん	t ã̠ ɰ̃ ɕ i kʲ ĩ ɴ
たんしゃ	t ã̠ ɰ̃ ɕ a̠
たんしゅく	t ã̠ ɰ̃ ɕ ɨᵝ k ɯ̟ᵝ
たんしょ	t ã̠ ɰ̃ ɕ o̞
たんしょう	t ã̠ ɰ̃ ɕ o̞ː
たんしょうしき	t ã̠ ɰ̃ ɕ o̞ː ɕ i kʲ i
たんしょうとう	t ã̠ ɰ̃ ɕ o̞ː t o̞ː
たんしん	t ã̠ ɰ̃ ɕ ĩ ɴ
たんじょう	t ã̠ ɲ̟ d͡ʑ o̞ː
たんす	t ã̠ ɰ̃ s ɨᵝ
たんせい	t ã̠ ɰ̃ s e̞ː
たんせいせつ	t ã̠ ɰ̃ s e̞ː s e̞ t͡s ɨᵝ
たんせん	t ã̠ ɰ̃ s ẽ̞ ɴ
たんそ	t ã̠ ɰ̃ s o̞
たんたい	t ã̠ n t a̠ i
たんたん	t ã̠ n t ã̠ ɴ
たんち	t ã̠ ɲ̟ t͡ɕ i
たんちき	t ã̠ ɲ̟ t͡ɕ i kʲ i
たんちょ	t ã̠ ɲ̟ t͡ɕ o̞
たんちょう	t ã̠ ɲ̟ t͡ɕ o̞ː
たんてい	t ã̠ n t e̞ː
たんとう	t ã̠ n t o̞ː
たんとうちょくにゅう	t ã̠ n t o̞ː t͡ɕ o̞ k ɯ̟ᵝ ɲ̟ ɯ̟ᵝː
たんにん	t ã̠ ɲ̟ ɲ̟ ĩ ɴ
たんねん	t ã̠ nː ẽ̞ ɴ
たんのう	t ã̠ nː o̞ː
たんのうえん	t ã̠ nː o̞ː ẽ̞ ɴ
たんぽぽ	t ã̠ m p o̞ p o̞
たんま	t ã̠ mː a̠
たんまつ	t ã̠ mː a̠ t͡s ɨᵝ
たんまつき	t ã̠ mː a̠ t͡s ɨ̥ᵝ kʲ i
たんみん	t ã̠ mʲː ĩ ɴ
たんめい	t ã̠ mː e̞ː
たんよう	t ã̠ ɰ̃ j o̞ː
たんようき	t ã̠ ɰ̃ j o̞ː kʲ i
たんら	t ã̠ n ɾ a̠
たんらく	t ã̠ n ɾ a̠ k ɯ̟ᵝ
たんり	t ã̠ n ɾʲ i
たんりょ	t ã̠ n ɾʲ o̞
たんれい	t ã̠ n ɾ e̞ː
たんれん	t ã̠ n ɾ ẽ̞ ɴ
だ	d a̠
だい	d a̠ i
だいいち	d a̠ i i t͡ɕ i
だいいちけいようし	d a̠ i i t͡ɕ i k e̞ː j o̞ː ɕ i
だいいちじせかいたいせん	d a̠ iː t͡ɕ i ʑ i
だいいちにんしゃ	d a̠ iː t͡ɕ i ɲ̟ ĩ ɰ̃ ɕ a̠
だいいちはっけんしゃ	d a̠ i i t͡ɕ i h a̠ k̚ k ẽ̞ ɰ̃ ɕ a̠
だいいんしん	d a̠ i ĩ ɰ̃ ɕ ĩ ɴ
だいうちゅう	d a̠ i ɯ̟ᵝ t͡ɕ ɨᵝː
だいえいていこく	d a̠ i e̞ː t e̞ː k o̞ k ɯ̟ᵝ
だいえつ	d a̠ i e̞ t͡s ɨᵝ
だいえん	d a̠ i ẽ̞ ɴ
だいえんきん	d a̠ i ẽ̞ ŋʲ kʲ ĩ ɴ
だいおう	d a̠ i o̞ː
だいおういか	d a̠ i o̞ː i k a̠
だいかん	d a̠ i k ã̠ ɴ
だいかんていこく	d a̠ i k ã̠ n t e̞ː k o̞ k ɯ̟ᵝ
だいきち	d a̠ i kʲ i t͡ɕ i
だいきゅう	d a̠ i kʲ ɨᵝː
だいきゅうし	d a̠ i kʲ ɨᵝː ɕ i
だいきょう	d a̠ i kʲ o̞ː
だいきょうきん	d a̠ i kʲ o̞ː kʲ ĩ ɴ
だいきらい	d a̠ i kʲ i ɾ a̠ i
だいく	d a̠ i k ɯ̟ᵝ
だいくんい	d a̠ i k ɯ̟̃ᵝ ɰ̃ i
だいけい	d a̠ i k e̞ː
だいこく	d a̠ i k o̞ k ɯ̟ᵝ
だいこくてん	d a̠ i k o̞ k ɯ̟ᵝ t ẽ̞ ɴ
だいこんおろし	d a̠ i k õ̞ ɰ̃ o̞ ɾ o̞ ɕ i
だいこんやくしゃ	d a̠ i k õ̞ ɰ̃ j a̠ k ɯ̟̊ᵝ ɕ a̠
だいさく	d a̠ i s a̠ k ɯ̟ᵝ
だいさくしゃ	d a̠ i s a̠ k ɯ̟ᵝ ɕ a̠
だいさんき	d a̠ i s ã̠ ŋʲ kʲ i
だいさんていこく	d a̠ i s ã̠ n t e̞ː k o̞ k ɯ̟ᵝ
だいさんのめ	d a̠ i s ã̠ n n o̞ m e̞
だいし	d a̠ i ɕ i
だいしゃ	d a̠ i ɕ a̠
だいしゅき	d a̠ i ɕ ɨᵝ kʲ i
だいしゅきょう	d a̠ i ɕ ɨ̥ᵝ kʲ o̞ː
だいしゅっけつ	d a̠ i ɕ ɨᵝ k̚ k e̞ t͡s ɨᵝ
だいしょう	d a̠ i ɕ o̞ː
だいしんいん	d a̠ i ɕ ĩ ɰ̃ ĩ ɴ
だいじん	d a̠ i ʑ ĩ ɴ
だいす	d a̠ i s ɨᵝ
だいすう	d a̠ i s ɨᵝː
だいすうかんすう	d a̠ i s ɨᵝː k ã̠ ɰ̃ s ɨᵝː
だいすき	d a̠ i s ɨ̥ᵝ kʲ i
だいすけ	d a̠ i s ɨ̥ᵝ k e̞
だいすこ	d a̠ i s ɨᵝ k o̞
だいする	d a̠ i s ɨᵝ ɾ ɯ̟ᵝ
だいそう	d a̠ i s o̞ː
だいそこくせんそう	d a̠ i s o̞ k o̞ k ɯ̟ᵝ s ẽ̞ ɰ̃ s o̞ː
だいそつ	d a̠ i s o̞ t͡s ɨᵝ
だいそれた	d a̠ i s o̞ ɾ e̞ t a̠
だいたい	d a̠ i t a̠ i
だいたいきん	d a̠ i t a̠ i kʲ ĩ ɴ
だいたいきんまく	d a̠ i t a̠ i kʲ ĩ mː a̠ k ɯ̟ᵝ
だいたいこつ	d a̠ i t a̠ i k o̞ t͡s ɨᵝ
だいたいしとうきん	d a̠ i t a̠ i ɕ i̥ t o̞ː kʲ ĩ ɴ
だいたんふてき	d a̠ i t ã̠ ɰ̃ ɸ ɯ̟ᵝ t e̞ kʲ i
だいだい	d a̠ i d a̠ i
だいだいいろ	d a̠ i d a̠ i i ɾ o̞
だいち	d a̠ i t͡ɕ i
だいちょうきん	d a̠ i t͡ɕ o̞ː kʲ ĩ ɴ
だいちろう	d a̠ i t͡ɕ i ɾ o̞ː
だいていたく	d a̠ i t e̞ː t a̠ k ɯ̟ᵝ
だいてんし	d a̠ i t ẽ̞ ɰ̃ ɕ i
だいとうあきょうえいけん	d a̠ i t o̞ː a̠ kʲ o̞ː e̞ː k ẽ̞ ɴ
だいとうあせんそう	d a̠ i t o̞ː a̠ s ẽ̞ ɰ̃ s o̞ː
だいとうりょう	d a̠ i t o̞ː ɾʲ o̞ː
だいとうりょうれい	d a̠ i t o̞ː ɾʲ o̞ː ɾ e̞ː
だいなし	d a̠ i n a̠ ɕ i
だいにけいようし	d a̠ i ɲ̟ i k e̞ː j o̞ː ɕ i
だいにじせかいたいせん	d a̠ i ɲ̟ i ʑ i
だいにち	d a̠ i ɲ̟ i t͡ɕ i
だいにちにょらい	d a̠ i ɲ̟ i t͡ɕ i ɲ̟ o̞ ɾ a̠ i
だいの	d a̠ i n o̞
だいひ	d a̠ i ç i
だいひつ	d a̠ i ç i t͡s ɨᵝ
だいひょう	d a̠ i ç o̞ː
だいふ	d a̠ i ɸ ɯ̟ᵝ
だいふく	d a̠ i ɸ ɯ̟ᵝ k ɯ̟ᵝ
だいへん	d a̠ i h ẽ̞ ɴ
だいほっさ	d a̠ i h o̞ sː a̠
だいみょう	d a̠ i mʲ o̞ː
だいみょうおろし	d a̠ i mʲ o̞ː o̞ ɾ o̞ ɕ i
だいめい	d a̠ i m e̞ː
だいめいし	d a̠ i m e̞ː ɕ i
だいもく	d a̠ i m o̞ k ɯ̟ᵝ
だいもん	d a̠ i m õ̞ ɴ
だいやく	d a̠ i j a̠ k ɯ̟ᵝ
だいやくしんせいさく	d a̠ i j a̠ k ɯ̟ᵝ ɕ ĩ ɰ̃ s e̞ː s a̠ k ɯ̟ᵝ
だいようひん	d a̠ i j o̞ː ç ĩ ɴ
だいよんき	d a̠ i
だいりしゃ	d a̠ i ɾʲ i ɕ a̠
だいりてん	d a̠ i ɾʲ i t ẽ̞ ɴ
だいりにん	d a̠ i ɾʲ i ɲ̟ ĩ ɴ
だいれん	d a̠ i ɾ ẽ̞ ɴ
だいろっかん	d a̠ i ɾ o̞ k̚ k ã̠ ɴ
だいわ	d a̠ i ɰᵝ a̠
だえん	d a̠ ẽ̞ ɴ
だぉ	d a̠ o̞
だかい	d a̠ k a̠ i
だかいさく	d a̠ k a̠ i s a̠ k ɯ̟ᵝ
だかつ	d a̠ k a̠ t͡s ɨᵝ
だから	d a̠ k a̠ ɾ a̠
だかん	d a̠ k ã̠ ɴ
だき	d a̠ kʲ i
だきあう	d a̠ kʲ i a̠ ɯ̟ᵝ
だきかかえる	d a̠ kʲ i k a̠ k a̠ e̞ ɾ ɯ̟ᵝ
だきしめる	d a̠ kʲ i ɕ i m e̞ ɾ ɯ̟ᵝ
だきつく	d a̠ kʲ i t͡s ɨᵝ k ɯ̟ᵝ
だきまくら	d a̠ kʲ i m a̠ k ɯ̟ᵝ ɾ a̠
だきょう	d a̠ kʲ o̞ː
だきょうあん	d a̠ kʲ o̞ː ã̠ ɴ
だくおん	d a̠ k ɯ̟ᵝ õ̞ ɴ
だくてん	d a̠ k ɯ̟̊ᵝ t ẽ̞ ɴ
だくひ	d a̠ k ɯ̟ᵝ ç i
だけ	d a̠ k e̞
だけあって	d a̠ k e̞ a̠ t̚ t e̞
だけに	d a̠ k e̞ ɲ̟ i
だけん	d a̠ k ẽ̞ ɴ
だこく	d a̠ k o̞ k ɯ̟ᵝ
ださく	d a̠ s a̠ k ɯ̟ᵝ
だしこ	d a̠ ɕ i k o̞
だしゃ	d a̠ ɕ a̠
だしゅ	d a̠ ɕ ɨᵝ
だしん	d a̠ ɕ ĩ ɴ
だす	d a̠ s ɨᵝ
だせつ	d a̠ s e̞ t͡s ɨᵝ
だそく	d a̠ s o̞ k ɯ̟ᵝ
だちこう	d a̠ t͡ɕ i k o̞ː
だちょう	d a̠ t͡ɕ o̞ː
だちん	d a̠ t͡ɕ ĩ ɴ
だっかい	d a̠ k̚ k a̠ i
だっかく	d a̠ k̚ k a̠ k ɯ̟ᵝ
だっかん	d a̠ k̚ k ã̠ ɴ
だっきゃく	d a̠ k̚ʲ kʲ a̠ k ɯ̟ᵝ
だっきゅう	d a̠ k̚ʲ kʲ ɨᵝː
だっこ	d a̠ k̚ k o̞
だっこう	d a̠ k̚ k o̞ː
だっこく	d a̠ k̚ k o̞ k ɯ̟ᵝ
だっしゅう	d a̠ ɕː ɯ̟ᵝː
だっしょく	d a̠ ɕː o̞ k ɯ̟ᵝ
だっせん	d a̠ sː ẽ̞ ɴ
だっそう	d a̠ sː o̞ː
だったら	d a̠ t̚ t a̠ ɾ a̠
だったりして	d a̠ t̚ t a̠ ɾʲ i ɕ i t e̞
だっちゃく	d a̠ t̚ t͡ɕ a̠ k ɯ̟ᵝ
だって	d a̠ t̚ t e̞
だつ	d a̠ t͡s ɨᵝ
だつあにゅうおう	d a̠ t͡s ɨᵝ a̠ ɲ̟ ɯ̟ᵝː o̞ː
だつえい	d a̠ t͡s ɨᵝ e̞ː
だつらく	d a̠ t͡s ɨᵝ ɾ a̠ k ɯ̟ᵝ
だつらくまく	d a̠ t͡s ɨᵝ ɾ a̠ k ɯ̟ᵝ m a̠ k ɯ̟ᵝ
だつりょく	d a̠ t͡s ɨᵝ ɾʲ o̞ k ɯ̟ᵝ
だつろう	d a̠ t͡s ɨᵝ ɾ o̞ː
だてんし	d a̠ t ẽ̞ ɰ̃ ɕ i
だとう	d a̠ t o̞ː
だに	d a̠ ɲ̟ i
