અ	ə
વ્યવસ્થિત	ʋ j ə ʋ ə s t̪ʰ i t̪
વ્યવસ્થિત	ʋ j ɛ ʋ ə s t̪ʰ i t̪
વ્યવસ્થિત	ʋ ɛ ʋ ə s t̪ʰ i t̪
વ્યાકરણ	ʋ j ɑ k ɾ ə ɳ
વ્યાજ	ʋ j ɑ d͡ʒ
વ્રત	ʋ ɾ ə t̪
શ	s ə
શ	ɦ ə
શ	ʃ ə
શંખ	ʃ ə ŋ kʰ
શકર	ʃ ə k ə ɾ
શકવું	ʃ ə k ʋ ũ
શક્તિ	ʃ ə k t̪ i
શખ્સ	ʃ ə kʰ s
શતપદ	ʃ ə t̪ p ə d̪
શતાબ્દી	ʃ ə t̪ ɑ b d̪ i
શનિ	ʃ ə n i
શનિરવિ	s ə n i ɾ ə ʋ i
શનિરવિ	ʃ ə n i ɾ ə ʋ i
શનિવાર	ʃ ə n i ʋ ɑ ɾ
શબનમ	ʃ ə b n ə m
શબિસ્તાન	ʃ ə b i s t̪ ɑ n
શબ્દ	ʃ ə b d̪
શબ્દકોશ	ʃ ə b d̪ ə k o ʃ
શરણ	ʃ ə ɾ ə ɳ
શરણાઈ	ʃ ə ɾ ɳ ɑ i
શરદ	ʃ ə ɾ ə d̪
શરદી	ʃ ə ɾ d̪ i
શરબત	ʃ ə ɾ b ə t̪
શરમ	ʃ ə ɾ ə m
શરમાવું	ʃ ə ɾ m ɑ ʋ ũ
શરાબ	ʃ ə ɾ ɑ b
શરિયત	ʃ ə ɾ i j ə t̪
શરીફ	ʃ ə ɾ i pʰ
શરીર	ʃ ə ɾ i ɾ
શરૂ	ʃ ə ɾ u
શર્મા	ʃ ə ɾ m ɑ
શવાલ	ʃ ə ʋ ɑ l
શશી	ʃ ə ʃ i
શહેર	s ə ɦ ɛ ɾ
શહેર	ʃ ə ɦ ɛ ɾ
શાંત	ʃ ɑ n t̪
શાંતિ	ʃ ɑ n t̪ i
શાંતિગ્રામ	ʃ ɑ n t̪ i ɡ ɾ ɑ m
શાક	ɦ ɑ k
શાક	ʃ ɑ k
શાકભાજી	ʃ ɑ k bʱ ɑ d͡ʒ i
શાક્યમુનિ	ʃ ɑ k j ə m u n i
શાણું	ʃ ɑ ɳ ũ
શાદી	ʃ ɑ d̪ i
શાને	ʃ ɑ n eː
શાપ	ʃ ɑ p
શામ	ʃ ɑ m
શામિયાનો	ʃ ɑ m i j ɑ n o
શાયર	ʃ ɑ j ə ɾ
શાલ	ʃ ɑ l
શાસ્ત્રીનગર	ʃ ɑ s t̪ ɾ i n ə ɡ ə ɾ
શાહ	ʃ ɑʱ
શાહજાદી	ʃ ɑʱ d͡ʒ ɑ d̪ i
શાહનામું	ʃ ɑʱ n ɑ m ũ
શાહીબાગ	ʃ ɑ ɦ i b ɑ ɡ
શાહુડી	ʃ ɑ ɦ u ɽ i
શિક્ષક	ʃ i k ʃ ə k
શિક્ષણ	ʃ i k ʂ ə ɳ
શિયાળ	ʃ i j ɑ ɭ
શિયાળો	ʃ i j ɑ ɭ o
શિરામણ	ʃ i ɾ ɑ m ə ɳ
શિરીષ	ʃ i ɾ i ʂ
શિલિંગ	ʃ i l i ŋ ɡ
શિશિર	ʃ i ʃ i ɾ
શિશુ	ʃ i ʃ u
શિશુમાર	ʃ i ʃ u m ɑ ɾ
શિશ્ન	ʃ i ʃ n ə
શિસ્ત	ʃ i s t̪
શીખ	ʃ i kʰ
શીખવું	ʃ i kʰ ʋ ũ
શીતયુદ્ધ	ʃ i t̪ j u d̪ d̪ʱ
શીતલ	ʃ i t̪ ə l
શીમળો	ʃ i m ə ɭ o
શીરીન	ʃ i ɾ i n
શીરો	ʃ i ɾ o
શીશી	ʃ i ʃ i
શું	ʃ ũ
શુક્ર	ʃ u k ɾ ə
શુક્રવાર	ʃ u k ɾ ə ʋ ɑ ɾ
શુક્રિયા	ʃ u k ɾ i j ɑ
શુભકામના	ʃ u bʱ k ɑ m n ɑ
શુભેચ્છા	ʃ u bʱ eː t͡ʃ t͡ʃʰ ɑ
શૂન્ય	ʃ u n j ə
શૂરસેન	ʃ u ɾ s eː n
શેકવું	ʃ eː k ʋ ũ
શેખ	ʃ eː kʰ
શેઠ	ʃ eː ʈʰ
શેતરંજ	ʃ eː t̪ ɾ ə ɲ d͡ʒ
શેતૂર	ʃ eː t̪ u ɾ
શેથ	ʃ eː t̪ʰ
શેફિલ્ડ	ʃ ɛ f i l ɖ
શેમ્પૂ	ʃ eː m p u
શેમ્પૂ	ʃ ɛ m p u
શેરડી	ʃ eː ɾ ɽ i
શેરબજાર	ʃ ɛ ɾ b ə d͡ʒ ɑ ɾ
શૈલી	ʃ ə i l i
શૈવ	ʃ ə i ʋ
શોએબ	ʃ o eː b
શોખ	ʃ ɔ kʰ
શોધવું	ʃ o d̪ʱ ʋ ũ
શૌરસેની	ʃ ə u ɾ s eː n i
શ્યામ	ʃ j ɑ m
શ્રાવણ	ʃ ɾ ɑ ʋ ə ɳ
શ્રી	ʃ ɾ i
શ્રીખંડ	s i kʰ ə ɳ ɖ
શ્રીખંડ	ʃ i kʰ ə ɳ ɖ
શ્રીખંડ	ʃ ɾ i kʰ ə ɳ ɖ
શ્રીનગર	ʃ ɾ i n ə ɡ ə ɾ
શ્રીલંકા	ʃ ɾ i l ə ŋ k ɑ
શ્વાસ	ʃ ʋ ɑ s
ષ	ʂ ə
ષ	ʃ ə
સ	s ə
સ	ɦ ə
સંગઠન	s ə ŋ ɡ ʈʰ ə n
સંગમ	s ə ŋ ɡ ə m
સંગીત	s ə ŋ ɡ i t̪
સંગીતા	s ə ŋ ɡ i t̪ ɑ
સંઘર્ષ	s ə ŋ ɡʱ ə ɾ ʂ
સંઘાણી	s ə ŋ ɡʱ ɑ ɳ i
સંચો	s ə ɲ t͡ʃ o
સંજાણ	s ə ɲ d͡ʒ ɑ ɳ
સંજાણા	s ə ɲ d͡ʒ ɑ ɳ ɑ
સંડાસ	s ə ɳ ɖ ɑ s
સંતતિનિયમન	s ə n t̪ ə t̪ i n i j ə m ə n
સંતરું	s ə n t̪ ɾ ũ
સંતાકૂકડી	s ə n t̪ ɑ k u k ɽ i
સંતાડવું	s ə n t̪ ɑ ɽ ʋ ũ
સંદેશો	s ə n d̪ eː ʃ o
સંધ્યા	s ə n d̪ʱ j ɑ
સંન્યાસી	s ə n n j ɑ s i
સંપ	s ə m p
સંબંધ	s ə m b ə n d̪ʱ
સંભાર	s ə m bʱ ɑ ɾ
સંભાળવું	s ə m bʱ ɑ ɭ ʋ ũ
સંવત	s ə u ʋ ə t̪
સંસ્કાર	s ə n s k ɑ ɾ
સંસ્કાર	s ə u s k ɑ ɾ
સંસ્કૃત	s ə u s k ɾ u t̪
સંસ્કૃતિ	s ə n s k ɾ u t̪ i
સંસ્મરણ	s ã s m ə ɾ ə ɳ
સકલાતવાળા	s ə k l ɑ t̪ ʋ ɑ l ɑ
સકલાતવાળા	s ə k l ɑ t̪ ʋ ɑ ɭ ɑ
સખત	s ə kʰ ə t̪
સખસ	s ə kʰ ə s
સગડી	s ə ɡ ɖ i
સગદીદ	s ə ɡ d̪ i d̪
સગવડ	s ə ɡ ʋ ə ɖ
સગીર	s ə ɡ i ɾ
સગું	s ə ɡ ũ
સડક	s ə ɽ ə k
સડસઠ	s ə ɽ s ə ʈʰ
સઢ	s ə ɖʱ
સતર્ક	s ə t̪ ə ɾ k
સતી	s ə t̪ i
સત્તર	s ə t̪ t̪ ə ɾ
સત્તાવન	s ə t̪ t̪ ɑ ʋ ə n
સત્તાવીસ	s ə t̪ t̪ ɑ ʋ i s
સત્તાવીસ	ɦ ə t̪ t̪ ɑ ʋ i s
સત્યાગ્રહ	s ə t̪ j ɑ ɡ ɾ əʱ
સદરો	s ə d̪ ɾ o
સન	s ə n
સનાતન	s ə n ɑ t̪ ə n
સપ્ટેમ્બર	s ə p ʈ eː m b ə ɾ
સપ્તાહ	s ə p t̪ ɑʱ
સફર	s ə pʰ ə ɾ
સફરજન	s ə pʰ ə ɾ d͡ʒ ə n
સફળ	s ə pʰ ə ɭ
સબજી	s ə b d͡ʒ i
સબૂત	s ə b u t̪
સમજવું	s ə m ə d͡ʒ ʋ ũ
સમય	s ə m ə j
સમયપત્રક	s ə m ə j p ə t̪ ɾ ə k
સમરકંદ	s ə m ə ɾ k ə n d̪
સમસ્ત	s ə m ə s t̪
સમાચાર	s ə m ɑ t͡ʃ ɑ ɾ
સમાચારપત્ર	s ə m ɑ t͡ʃ ɑ ɾ p ə t̪ ɾ ə
સમાજ	s ə m ɑ d͡ʒ
સમાધાન	s ə m ɑ d̪ʱ ɑ n
સમાવિષ્ટ	s ə m ɑ ʋ i ʂ ʈ
સમીર	s ə m i ɾ
સમુદ્ર	s ə m u d̪ ɾ ə
સમો	s ə m o
સમોસું	s ə m o s ũ
સરકાર	s ə ɾ k ɑ ɾ
સરકો	s ə ɾ k o
સરખું	s ə ɾ kʰ ũ
સરગ	s ə ɾ ə ɡ
સરગવો	s ə ɾ ə ɡ ʋ o
સરગી	s ə ɾ ɡ i
સરતાણ	s ə ɾ t̪ ɑ ɳ
સરદાર	s ə ɾ d̪ ɑ ɾ
સરનામું	s ə ɾ n ɑ m ũ
સરળ	s ə ɾ ə ɭ
સરવાણી	s ə ɾ ʋ ɑ ɳ i
સરસ	s ə ɾ ə s
સરસતી	s ə ɾ s ə t̪ i
સરસ્વતી	s ə ɾ ə s ʋ ə t̪ i
સરસ્વતીચંદ્ર	s ə ɾ ə s ʋ ə t̪ i t͡ʃ ə n d̪ ɾ ə
સરાસરી	s ə ɾ ɑ s ɾ i
સરિતા	s ə ɾ i t̪ ɑ
સરોશ	s ə ɾ o ʃ
સર્ટિફિકેટ	s ə ɾ ʈ i pʰ i k eː ʈ
સર્વહારા	s ə ɾ ʋ ə ɦ ɑ ɾ ɑ
સર્વોદય	s ə ɾ ʋ o d̪ j ə
સલગમ	s ə l ɡ ə m
સલાત	s ə l ɑ t̪
સલામ	s ə l ɑ m
સલાહ	s ə l ɑʱ
સલાહકાર	s ə l ɑʱ k ɑ ɾ
સલીમ	s ə l i m
સલ્તનત	s ə l t̪ ə n ə t̪
સળંગ	s ə ɭ ə ŋ ɡ
સવા	s ə ʋ ɑ
સવાર	s ə ʋ ɑ ɾ
સવારું	s ə ʋ ɑ ɾ ũ
સવારું	ɦ ə ʋ ɑ ɾ ũ
સસરો	s ə s ɾ o
સસલું	s ə s l ũ
સસો	s ə s ɔ
સસ્તું	s ə s t̪ ũ
સહન	s ə ɦ ə n
સહર	s ə ɦ ə ɾ
સહરા	s əʱ ɾ ɑ
સહિયર	s ə ɦ i j ə ɾ
સહી	s ə ɦ i
સહીસલામત	s ə ɦ i s ə l ɑ m ə t̪
સહુ	s ə ɦ u
સહેજ	s ə ɦ ɛ d͡ʒ
સહેલું	s ə ɦ ɛ l ũ
સાંકડું	s ɑ̃ k ɖ ũ
સાંચવું	s ɑ̃ t͡ʃ ʋ ũ
સાંજ	s ɑ ɲ d͡ʒ
સાંજ	ɦ ɑ ɲ d͡ʒ
સાંતાક્રૂઝ	s ɑ n t̪ ɑ k ɾ u d͡ʒʱ
સાંવરિયો	s ɑ̃ ʋ ə ɾ i j o
સાઈબિરિયા	s ɑ i b i ɾ i j ɑ
સાકર	s ɑ k ə ɾ
સાગ	s ɑ ɡ
સાગર	s ɑ ɡ ə ɾ
સાચ	s ɑ t͡ʃ
સાચવવું	s ɑ t͡ʃ ə ʋ ʋ ũ
સાચું	s ɑ t͡ʃ ũ
સાટો	s ɑ ʈ o
સાઠ	s ɑ ʈʰ
સાડત્રીસ	s ɑ ɽ ə t̪ ɾ i s
સાડા	s ɑ ɖ ɑ
સાડી	s ɑ ɽ i
સાત	s ɑ t
સાત	ɦ ɑ t
સાથી	s ɑ t̪ʰ i
સાદું	s ɑ d̪ ũ
સાધન	s ɑ d̪ʱ ə n
સાધારણ	s ɑ d̪ʱ ɑ ɾ ə ɳ
સાપ	s ɑ p
સાપણ	s ɑ p ə ɳ
સાપેણ	s ɑ p ɛ ɳ
સાફ	s ɑ f
સાફ	s ɑ pʰ
સાબાથ	s ɑ b ɑ t̪ʰ
સાબુ	s ɑ b u
સાબુદાણા	s ɑ b u d̪ ɑ ɳ ɑ
સાબૂન	s ɑ b u n
સામયિક	s ɑ m j i k
સામળું	s ɑ m ə ɭ ũ
સામાન	s ɑ m ɑ n
સામેલ	s ɑ m eː l
સામ્યવાદ	s ɑ m j ə ʋ ɑ d̪
સાયબો	s ɑ j b o
સાયર	s ɑ j ə ɾ
સારસ	s ɑ ɾ ə s
સારું	s ɑ ɾ ũ
સારું	ɦ ɑ ɾ ũ
સારું	ʃ ɑ ɾ ũ
સાલ	s ɑ l
સાલિહ	s ɑ l iʱ
સાળી	s ɑ ɭ i
સાળો	s ɑ ɭ o
સાવકું	s ɑ ʋ k ũ
સાવણ	s ɑ ʋ ə ɳ
સાવધાન	s ɑ ʋ d̪ʱ ɑ n
સાસ	s ɑ s
સાસરવાસ	s ɑ s ə ɾ ʋ ɑ s
સાસુ	s ɑ s u
સાહ	s ɑʱ
સાહિત્ય	s ɑ ɦ i t̪ j ə
સાહિલ	s ɑ ɦ i l
સાહેબ	s ɑ ɦ eː b
સિંક્યાંગ	s i ŋ k j ɑ n ɡ
સિંદૂર	s i n d̪ u ɾ
સિંધ	s i n d̪ʱ
સિંધુ	s i n d̪ʱ u
સિંધુદેશ	s i n d̪ʱ u d̪ eː ʃ
સિંહ	s ĩ ɦ
સિંહ	ʃ ĩ ɦ
સિંહણ	s ĩ ɦ ə ɳ
સિંહલ	s ĩ ɦ ə l
સિકંદર	s i k ə n d̪ ə ɾ
સિકંદરાબાદ	s i k ə n d̪ ə ɾ ɑ b ɑ d̪
સિક્કિમ	s i k k i m
સિગારેટ	s i ɡ ɑ ɾ eː ʈ
સિજદો	s i d͡ʒ d̪ o
સિતારો	s i t̪ ɑ ɾ o
સિત્તેર	s i t̪ t̪ eː ɾ
સિત્તોતેર	s i t̪ t̪ o t̪ eː ɾ
સિનેમાઘર	s i n eː m ɑ ɡʱ ə ɾ
સિપાઈ	s i p ɑ i
સિમરન	s i m ɾ ə n
સિયામ	s i j ɑ m
સિરાત	s i ɾ ɑ t̪
સિવાય	s i ʋ ɑ j
સીટી	s i ʈ i
સીડી	s i ɖ i
સીતા	s i t̪ ɑ
સીતાફળ	s i t̪ ɑ pʰ ə ɭ
સીદી	s i d̪ i
સીનેગોગ	s i n eː ɡ o ɡ
સીપ	s i p
સીમલા	s i m l ɑ
સીવવું	s i ʋ ʋ ũ
સુંદરતા	s u n d̪ ə ɾ t̪ ɑ
સુંદરવન	s u n d̪ ə ɾ ʋ ə n
સુકરાત	s u k ɾ ɑ t̪
સુખ	s u kʰ
સુખી	s u kʰ i
સુડતાળીસ	s u ɽ t̪ ɑ ɭ i s
સુણવું	s u ɳ ʋ ũ
સુતાર	s u t̪ ɑ ɾ
સુતારણ	s u t̪ ɑ ɾ ə ɳ
સુધારવું	s u d̪ʱ ɑ ɾ ʋ ũ
સુધી	s u d̪ʱ i
સુન્નત	s u n n ə t̪
સુમાત્રા	s u m ɑ t̪ ɾ ɑ
સુરત	s u ɾ ə t̪
સુરમો	s u ɾ m o
સુરમ્ય	s u ɾ ə m j ə
સુરવાલ	s u ɾ ʋ ɑ l
સુરીલું	s u ɾ i l ũ
સુરેન્દ્રનગર	s u ɾ eː n d̪ ɾ ə n ə ɡ ə ɾ
સુરેશ	s u ɾ eː ʃ
સુલતાન	s u l t̪ ɑ n
સુલેમાન	s u l eː m ɑ n
સુવાસણી	s u ʋ ɑ s ɳ i
સુશી	s u ʃ i
સૂંઘવું	s u ŋ ɡʱ ʋ ũ
સૂકવું	s u k ʋ ũ
સૂકું	s u k ũ
સૂજવું	s u d͡ʒ ʋ ũ
સૂડો	s u ɖ o
સૂતરફેણી	s u t̪ ə ɾ pʰ ɛ ɳ i
સૂપડી	s u p ɽ i
સૂફી	s u pʰ i
સૂબેદાર	s u b eː d̪ ɑ ɾ
સૂબો	s u b o
સૂરજ	s u ɾ ə d͡ʒ
સૂરજમુખી	s u ɾ ə d͡ʒ m u kʰ i
સૂર્ય	s u ɾ j ə
સૂર્યનમસ્કાર	s u ɾ j ə n ə m ə s k ɑ ɾ
સૂવર	s u ʋ ə ɾ
સૂવું	s u ʋ ũ
સૃષ્ટિ	s ɾ u ʂ ʈ i
સેંથી	s ɛ n t̪ʰ i
સેંથી	s ɛ̃ t̪ʰ i
સેજ	s eː d͡ʒ
સેટેલાઈટ	s eː ʈ eː l ɑ i ʈ
સેતાન	s eː t̪ ɑ n
સેપ	s eː p
સેબ	s eː b
સેલવાસ	s eː l ʋ ɑ s
સેવ	s eː ʋ
સેવડો	s eː ʋ ɽ o
સેવાળ	s eː ʋ ɑ ɭ
સૈનિક	s ə i n i k
સૈયદ	s ə i j ə d̪
સો	s ɔ
સોંઘું	s ɔ ŋ ɡʱ ũ
સોંપવું	s ɔ̃ p ʋ ũ
સોગન	s o ɡ ə n
સોગન	s ɔ ɡ ə n
સોણું	s ɔ ɳ ũ
સોનાર	s o n ɑ ɾ
સોનિયા	s o n i j ɑ
સોની	s o n i
સોનું	s o n ũ
સોપારી	s o p ɑ ɾ i
સોફા	s o f ɑ
સોફા	s o pʰ ɑ
સોમ	s o m
સોમચંદ	s o m t͡ʃ ə n d̪
સોમવાર	s o m ʋ ɑ ɾ
સોરટી	s o ɾ ʈ i
સોરઠ	s o ɾ ə ʈʰ
સોરાબ	s o ɾ ɑ b
સોલંકી	s o l ə ŋ k i
સોળ	s o ɭ
સોવિયેટ	s o ʋ i j eː ʈ
સોહલું	s oʱ l ũ
સોહાગ	s o ɦ ɑ ɡ
સૌરાષ્ટ્ર	s ə u ɾ ɑ ʂ ʈ ɾ ə
સ્કૂલ	s k u l
સ્કોટલંડ	s k o ʈ l ə ɳ ɖ
સ્ટંપ	s ʈ ə m p
સ્ટવ	s ʈ ə ʋ
સ્ટાલિન	s ʈ ɑ l i n
સ્ટેશન	s ʈ eː ʃ ə n
સ્તૂપ	s t̪ u p
સ્ત્રી	s t̪ ɾ i
સ્ત્રીલિંગ	s t̪ ɾ i l i ŋ ɡ
સ્થાપત્ય	s t̪ʰ ɑ p ə t̪ j ə
સ્નેહ	s n eːʱ
સ્નેહલતા	s n eːʱ l ə t̪ ɑ
સ્પર્શ	s p ə ɾ ʃ
સ્પા	s p ɑ
સ્પેન	s p eː n
સ્મરણ	s m ə ɾ ə ɳ
સ્વતંત્ર	s ʋ ə t̪ ə n t̪ ɾ ə
સ્વતંત્રતા	s ʋ ə t̪ ə n t̪ ɾ ə t̪ ɑ
સ્વપ્ન	s ʋ ə p n ə
સ્વર્ગ	s ʋ ə ɾ ɡ
સ્વર્ગસ્થ	s ʋ ə ɾ ɡ ə s t̪ʰ
સ્વર્ણકાર	s ʋ ə ɾ ɳ ə k ɑ ɾ
સ્વસ્તિક	s ʋ ə s t̪ i k
સ્વાગત	s ʋ ɑ ɡ ə t̪
સ્વાદ	s ʋ ɑ d̪
સ્વાદિષ્ટ	s ʋ ɑ d̪ i ʂ ʈ
સ્વામિનારાયણ	s ʋ ɑ m i n ɑ ɾ ɑ j ə ɳ
સ્વામિનારાયણિયો	s ʋ ɑ m i n ɑ ɾ ɑ j ə ɳ i j o
સ્વામી	s ʋ ɑ m i
સ્વાહીલી	s ʋ ɑ ɦ i l i
સ્વીકારવું	s ʋ i k ɑ ɾ ʋ ũ
સ્વીડન	s ʋ i ɖ ə n
સ્વેટર	s ʋ eː ʈ ə ɾ
હ	ɦ ə
હંગેરી	ɦ ə ŋ ɡ eː ɾ i
હંમેશાં	ɦ ə m m eː ʃ ɑ̃
હંસ	ɦ ə n s
હંસિણી	ɦ ə n s i ɳ i
હકીમ	ɦ ə k i m
હગવું	ɦ ə ɡ ʋ ũ
હજ	ɦ ə d͡ʒ
હજામ	ɦ ə d͡ʒ ɑ m
હજાર	ɦ ə d͡ʒ ɑ ɾ
હજી	ɦ ə d͡ʒ i
હજીરો	ɦ ə d͡ʒ i ɾ o
હજૂરિયો	ɦ ə d͡ʒ u ɾ i j o
હજ્જ	ɦ ə d͡ʒ d͡ʒ
હથિયાર	ɦ ə t̪ʰ i j ɑ ɾ
હથેલી	ɦ ə t̪ʰ eː l i
હથોડો	ɦ ə t̪ʰ ɔ ɖ o
હથોડો	ɦ ə t̪ʰ ɔ ɽ o
હદીસ	ɦ ə d̪ i s
હનીફ	ɦ ə n i pʰ
હનુમાન	ɦ ə n u m ɑ n
હનોખ	ɦ ə n o kʰ
હપતો	ɦ ə p t̪ o
હબશી	ɦ ə b ʃ i
હમણાં	ɦ ə m ɳ ɑ̃
હમામ	ɦ ə m ɑ m
હયા	ɦ ə j ɑ
હયાત	ɦ ə j ɑ t̪
હરખા	ɦ ə ɾ kʰ ɑ
હરણ	ɦ ə ɾ ə ɳ
હરામખોર	ɦ ə ɾ ɑ m kʰ o ɾ
હરિકેન	ɦ ə ɾ i k eː n
હરિજન	ɦ ə ɾ i d͡ʒ ə n
હર્ષિત	ɦ ə ɾ ʂ i t̪
હલવો	ɦ ə l ʋ o
હલાલ	ɦ ə l ɑ l
હલીમ	ɦ ə l i m
હળ	ɦ ə ɭ
હળદર	ɦ ə ɭ d̪ ə ɾ
હવા	ɦ ə ʋ ɑ
હવેલી	ɦ ə ʋ eː l i
હશીશ	ɦ ə ʃ i ʃ
હશે	ɦ ə ʃ eː
હસવું	ɦ ə s ʋ ũ
હસ્તમૈથુન	ɦ ə s t̪ ə m ə i t̪ʰ u n
હસ્તાક્ષર	ɦ ə s t̪ ɑ k ʃ ə ɾ
હા	ɦ ɑ
હાં	ɦ ɑ̃
હાંડવો	ɦ ɑ̃ ɖ ʋ o
હાંસવો	ɦ ɑ̃ s ʋ o
હાઇકુ	ɦ ɑ i k u
હાઈસ્કૂલ	ɦ ɑ i s k u l
હાજરી	ɦ ɑ d͡ʒ ɾ i
હાજી	ɦ ɑ d͡ʒ i
હાટ	ɦ ɑ ʈ
હાડકું	ɦ ɑ ɖ k ũ
હાડકું	ɦ ɑ ɽ k ũ
હાથ	ɦ ɑ t̪ʰ
હાથકડી	ɦ ɑ t̪ʰ k ə ɽ i
હાથી	ɦ ɑ t̪ʰ i
હાબેલ	ɦ ɑ b eː l
હાય	ɦ ɑ eː
હાય	ɦ ɑ j
હારૂન	ɦ ɑ ɾ u n
હાર્ટ	ɦ ɑ ɾ ʈ
હાર્મોનિયમ	ɦ ɑ ɾ m o n i j ə m
હાલ	ɦ ɑ l
હાલરડું	ɦ ɑ l ə ɾ ɽ ũ
હાલવું	ɦ ɑ l ʋ ũ
હાલા	ɦ ɑ l ɑ
હાવન	ɦ ɑ ʋ ə n
હિંગ	ɦ i ŋ ɡ
હિંડોચા	ɦ i ɳ ɖ o t͡ʃ ɑ
હિંદ	ɦ i n d̪
હિંદી	ɦ i n d̪ i
હિંદુ	ɦ i n d̪ u
હિંદુકુશ	ɦ i n d̪ u k u ʃ
હિંદુત્વ	ɦ i n d̪ u t̪ ʋ ə
હિંદુસ્તાન	ɦ i n d̪ u s t̪ ɑ n
હિંમતનગર	ɦ i m m ə t̪ n ə ɡ ə ɾ
હિતેચ્છુ	ɦ i t̪ eː t͡ʃ t͡ʃʰ u
હિફાજત	ɦ i pʰ ɑ d͡ʒ ə t̪
હિમ	ɦ i m
હિમાળું	ɦ i m ɑ ɭ ũ
હિસાબ	ɦ i s ɑ b
હિસ્સો	ɦ i s s o
હીંચકો	ɦ ĩ t͡ʃ k o
હીક	ɦ i k
હીજડો	ɦ i d͡ʒ ɽ o
હીરાલાલ	ɦ i ɾ ɑ l ɑ l
હીરો	ɦ i ɾ o
હું	ɦ ũ
હુંપણું	ɦ u m p ɳ ũ
હુકમ	ɦ u k ə m
હુક્કો	ɦ u k k o
હુમત	ɦ u m ə t̪
હુલ્લડ	ɦ u l l ə ɽ
હૂંડી	ɦ u ɳ ɖ i
હૂદ	ɦ u d̪
હૂર	ɦ u ɾ
હૃ	ɦ ɾ u
હૃદય	ɾ ə d̪ ə j
હેમંત	ɦ eː m ə n t̪
હેરાન	ɦ eː ɾ ɑ n
હેલેન	ɦ eː l eː n
હેલો	ɦ eː l o
હૈદરાબાદ	ɦ ə i d̪ ɾ ɑ b ɑ d̪
હૈયું	ɦ ə i j ũ
હોઈશ	ɦ ɔ i ʃ
હોટલ	ɦ o ʈ ə l
હોટેલ	ɦ o ʈ eː l
હોઠ	ɦ o ʈʰ
હોત	ɦ ɔ t̪
હોમ	ɦ o m
હોલું	ɦ o l ũ
હોળી	o̤ ɭ i
હોળી	ɦ o ɭ i
હોવું	ɦ ɔ ʋ ũ
હોવે	ɦ ɔ ʋ eː
હોસ્પિટલ	ɦ o s p i ʈ ə l
ા	ɑ
િ	i
ી	i
ુ	u
ૂ	u
ૃ	ɾ u
ૅ	ɛ
ે	eː
ૈ	ə i
ૉ	ɔ
ો	o
ૌ	ə u
