Є	j ɛ
пиячарина	p i j a t͡ʃ a r i n a
пиячни	p i j a t͡ʃ n i
пиє	p i j ɛ
пиєм	p i j ɛ m
пиєме	p i j ɛ m ɛ
пиєце	p i j ɛ t͡s ɛ
пиєш	p i j ɛ ʃ
плажа	p l a ʒ a
плакац	p l a k a t͡s
план	p l a n
планованє	p l a n ɔ v a ɲ ɛ
плановац	p l a n ɔ v a t͡s
плански	p l a n s k i
плацени	p l a t͡s ɛ n i
плаценє	p l a t͡s ɛ ɲ ɛ
плациц	p l a t͡s i t͡s
плащ	p l a ʃ t͡ʃ
плащанїца	p l a ʃ t͡ʃ a ɲ i t͡s a
площа	p l ɔ ʃ t͡ʃ a
плюцни	p ʎ u t͡s n i
плюцо	p ʎ u t͡s ɔ
плюцови	p ʎ u t͡s ɔ v i
плєскавица	p ʎ ɛ s k a v i t͡s a
плєсц	p ʎ ɛ s t͡s
плєтка	p ʎ ɛ t k a
плєткар	p ʎ ɛ t k a r
плєткарка	p ʎ ɛ t k a r k a
плєц	p ʎ ɛ t͡s
плєца	p ʎ ɛ t͡s a
плєце	p ʎ ɛ t͡s ɛ
плєцени	p ʎ ɛ t͡s ɛ n i
плєцо	p ʎ ɛ t͡s ɔ
плєцови	p ʎ ɛ t͡s ɔ v i
плєцочко	p ʎ ɛ t͡s ɔ t͡ʃ k ɔ
пняк	p ɲ a k
пнячиско	p ɲ a t͡ʃ i s k ɔ
пнячок	p ɲ a t͡ʃ ɔ k
победзени	p ɔ b ɛ d͡z ɛ n i
победзиц	p ɔ b ɛ d͡z i t͡s
победзовац	p ɔ b ɛ d͡z ɔ v a t͡s
побида	p ɔ b i d a
побиднїк	p ɔ b i ɟ ɲ i k
побиднїца	p ɔ b i ɟ ɲ i t͡s a
побиднїцки	p ɔ b i ɟ ɲ i t͡s k i
побочни	p ɔ b ɔ t͡ʃ n i
побрежйов	p ɔ b r ɛ ʒ j ɔ w
побрежйови	p ɔ b r ɛ ʒ j ɔ v i
побрежни	p ɔ b r ɛ ʒ n i
побрежями	p ɔ b r ɛ ʒ j a m i
побрежє	p ɔ b r ɛ ʒ j ɛ
поведац	p ɔ v ɛ d a t͡s
поверени	p ɔ v ɛ r ɛ n i
повереносц	p ɔ v ɛ r ɛ n ɔ s t͡s
поверенїк	p ɔ v ɛ r ɛ ɲ i k
поверенїца	p ɔ v ɛ r ɛ ɲ i t͡s a
поверенїцки	p ɔ v ɛ r ɛ ɲ i t͡s k i
поверенїцтво	p ɔ v ɛ r ɛ ɲ i t͡s t v ɔ
поверитель	p ɔ v ɛ r i t ɛ ʎ
повериц	p ɔ v ɛ r i t͡s
поверйовац	p ɔ v ɛ r j ɔ v a t͡s
поверлїви	p ɔ v ɛ r ʎ i v i
поверлїво	p ɔ v ɛ r ʎ i v ɔ
поверлївосц	p ɔ v ɛ r ʎ i v ɔ s t͡s
поверх	p ɔ v ɛ r x
поверхносни	p ɔ v ɛ r x n ɔ s n i
поверхносц	p ɔ v ɛ r x n ɔ s t͡s
поверхня	p ɔ v ɛ r x ɲ a
поверхови	p ɔ v ɛ r x ɔ v i
поверховосц	p ɔ v ɛ r x ɔ v ɔ s t͡s
повесц	p ɔ v ɛ s t͡s
повинчовац	p ɔ v i ɲ t͡ʃ ɔ v a t͡s
погинути	p ɔ ɦ i n u t i
погинуц	p ɔ ɦ i n u t͡s
погинуце	p ɔ ɦ i n u t͡s ɛ
под'жемни	p ɔ d ʒ ɛ m n i
подвиг	p ɔ d v i x
подзекованє	p ɔ d͡z ɛ k ɔ v a ɲ ɛ
подзековац	p ɔ d͡z ɛ k ɔ v a t͡s
подзековни	p ɔ d͡z ɛ k ɔ w n i
подзековносц	p ɔ d͡z ɛ k ɔ w n ɔ s t͡s
подзелєни	p ɔ d͡z ɛ ʎ ɛ n i
подзелєнє	p ɔ d͡z ɛ ʎ ɛ ɲ ɛ
подзелїц	p ɔ d͡z ɛ ʎ i t͡s
подкатеґория	p ɔ t k a t ɛ ɡ ɔ r i j a
подмножество	p ɔ d m n ɔ ʒ ɛ s t v ɔ
подморнїца	p ɔ d m ɔ r ɲ i t͡s a
подморски	p ɔ d m ɔ r s k i
подоба	p ɔ d ɔ b a
подобни	p ɔ d ɔ b n i
подобно	p ɔ d ɔ b n ɔ
подобносц	p ɔ d ɔ b n ɔ s t͡s
подпредсидатель	p ɔ t p r ɛ t s i d a t ɛ ʎ
подпредсидателька	p ɔ t p r ɛ t s i d a t ɛ ʎ k a
подпредсидательски	p ɔ t p r ɛ t s i d a t ɛ ʎ s k i
подпредсидательство	p ɔ t p r ɛ t s i d a t ɛ ʎ s t v ɔ
подприємствами	p ɔ t p r i j ɛ m s t v a m i
подприємство	p ɔ t p r i j ɛ m s t v ɔ
подрозумиц	p ɔ d r ɔ z u m i t͡s
подрозумйовац	p ɔ d r ɔ z u m j ɔ v a t͡s
подручни	p ɔ d r u t͡ʃ n i
подручови	p ɔ d r u t͡ʃ ɔ v i
подручє	p ɔ d r u t͡ʃ j ɛ
подсвидоми	p ɔ t s v i d ɔ m i
подсвидомо	p ɔ t s v i d ɔ m ɔ
подсвидомосц	p ɔ t s v i d ɔ m ɔ s t͡s
подсоюз	p ɔ t s ɔ j u s
подшмих	p ɔ t ʃ m i x
подїя	p ɔ ɟ i j a
подїями	p ɔ ɟ i j a m i
поетове	p ɔ ɛ t ɔ v ɛ
пожац	p ɔ ʒ a t͡s
пожива	p ɔ ʒ i v a
поживни	p ɔ ʒ i w n i
поживносц	p ɔ ʒ i w n ɔ s t͡s
поживови	p ɔ ʒ i v ɔ v i
пожнїц	p ɔ ʒ ɲ i t͡s
поза	p ɔ z a
позадина	p ɔ z a d i n a
позаевропски	p ɔ z a ɛ w r ɔ p s k i
позазаконски	p ɔ z a z a k ɔ n s k i
позарядови	p ɔ z a r j a d ɔ v i
позарядово	p ɔ z a r j a d ɔ v ɔ
позафамелийни	p ɔ z a f a m ɛ l i j n i
позашколски	p ɔ z a ʃ k ɔ l s k i
познаванє	p ɔ z n a v a ɲ ɛ
познаватель	p ɔ z n a v a t ɛ ʎ
познавателька	p ɔ z n a v a t ɛ ʎ k a
познавательски	p ɔ z n a v a t ɛ ʎ s k i
познанство	p ɔ z n a n s t v ɔ
познати	p ɔ z n a t i
познац	p ɔ z n a t͡s
позни	p ɔ z n i
позно	p ɔ z n ɔ
познєйше	p ɔ z ɲ ɛ j ʃ ɛ
пойд	p ɔ j t
пойдами	p ɔ j d a m i
пойдзе	p ɔ j d͡z ɛ
пойдзем	p ɔ j d͡z ɛ m
пойдземе	p ɔ j d͡z ɛ m ɛ
пойдзеце	p ɔ j d͡z ɛ t͡s ɛ
пойдзеш	p ɔ j d͡z ɛ ʃ
пойдзик	p ɔ j d͡z i k
пойдов	p ɔ j d ɔ w
пойду	p ɔ j d u
пойсц	p ɔ j s t͡s
покарани	p ɔ k a r a n i
покарац	p ɔ k a r a t͡s
поквашнїц	p ɔ k v a ʃ ɲ i t͡s
покля	p ɔ k ʎ a
покошени	p ɔ k ɔ ʃ ɛ n i
покошиц	p ɔ k ɔ ʃ i t͡s
покраїна	p ɔ k r a j i n a
покраїнами	p ɔ k r a j i n a m i
покраїнски	p ɔ k r a j i n s k i
покрива	p ɔ k r i v a
покривя	p ɔ k r i v j a
поладнями	p ɔ l a ɟ ɲ a m i
поладнє	p ɔ l a ɟ ɲ ɛ
политика	p ɔ l i t i k a
политичар	p ɔ l i t i t͡ʃ a r
политичарка	p ɔ l i t i t͡ʃ a r k a
политични	p ɔ l i t i t͡ʃ n i
политично	p ɔ l i t i t͡ʃ n ɔ
полицай	p ɔ l i t͡s a j
полицайски	p ɔ l i t͡s a j s k i
полицаями	p ɔ l i t͡s a j a m i
полицаєц	p ɔ l i t͡s a j ɛ t͡s
полицийни	p ɔ l i t͡s i j n i
полицийски	p ɔ l i t͡s i j s k i
полиция	p ɔ l i t͡s i j a
полноц	p ɔ l n ɔ t͡s
полноцами	p ɔ l n ɔ t͡s a m i
полноцни	p ɔ l n ɔ t͡s n i
положенями	p ɔ l ɔ ʒ ɛ ɲ a m i
положенє	p ɔ l ɔ ʒ ɛ ɲ ɛ
положиц	p ɔ l ɔ ʒ i t͡s
полудзенками	p ɔ l u d͡z ɛ n k a m i
полудзенок	p ɔ l u d͡z ɛ n ɔ k
полуострово	p ɔ l u ɔ s t r ɔ v ɔ
польо	p ɔ ʎ ɔ
польопривреда	p ɔ ʎ ɔ p r i v r ɛ d a
польопривредни	p ɔ ʎ ɔ p r i v r ɛ d n i
польопривреднїк	p ɔ ʎ ɔ p r i v r ɛ ɟ ɲ i k
польопривреднїца	p ɔ ʎ ɔ p r i v r ɛ ɟ ɲ i t͡s a
польска	p ɔ ʎ s k a
польски	p ɔ ʎ s k i
полєт	p ɔ ʎ ɛ t
полєтни	p ɔ ʎ ɛ t n i
полєтовац	p ɔ ʎ ɛ t ɔ v a t͡s
полєценє	p ɔ ʎ ɛ t͡s ɛ ɲ ɛ
полєциц	p ɔ ʎ ɛ t͡s i t͡s
полєцовац	p ɔ ʎ ɛ t͡s ɔ v a t͡s
помаганє	p ɔ m a ɦ a ɲ ɛ
помагац	p ɔ m a ɦ a t͡s
помали	p ɔ m a l i
помаранче	p ɔ m a r a ɲ t͡ʃ ɛ
помаранчецов	p ɔ m a r a ɲ t͡ʃ ɛ t͡s ɔ w
помаранчецови	p ɔ m a r a ɲ t͡ʃ ɛ t͡s ɔ v i
помаранчецовима	p ɔ m a r a ɲ t͡ʃ ɛ t͡s ɔ v i m a
помаранчецового	p ɔ m a r a ɲ t͡ʃ ɛ t͡s ɔ v ɔ ɦ ɔ
помедзи	p ɔ m ɛ d͡z i
помиловани	p ɔ m i l ɔ v a n i
помилованє	p ɔ m i l ɔ v a ɲ ɛ
помиловац	p ɔ m i l ɔ v a t͡s
помирени	p ɔ m i r ɛ n i
помиренє	p ɔ m i r ɛ ɲ ɛ
помириц	p ɔ m i r i t͡s
помирка	p ɔ m i r k a
помирлїви	p ɔ m i r ʎ i v i
помогнути	p ɔ m ɔ ɦ n u t i
помогнуц	p ɔ m ɔ ɦ n u t͡s
помодлїц	p ɔ m ɔ ɟ ʎ i t͡s
помоц	p ɔ m ɔ t͡s
помоцни	p ɔ m ɔ t͡s n i
помоцнїк	p ɔ m ɔ t͡s ɲ i k
помоцнїца	p ɔ m ɔ t͡s ɲ i t͡s a
помочи	p ɔ m ɔ t͡ʃ i
пондзелками	p ɔ n d͡z ɛ l k a m i
пондзелок	p ɔ n d͡z ɛ l ɔ k
понеже	p ɔ n ɛ ʒ ɛ
понос	p ɔ n ɔ s
поносовац	p ɔ n ɔ s ɔ v a t͡s
поняцами	p ɔ ɲ a t͡s a m i
поняце	p ɔ ɲ a t͡s ɛ
поняцови	p ɔ ɲ a t͡s ɔ v i
попачи	p ɔ p a t͡ʃ i
попачиц	p ɔ p a t͡ʃ i t͡s
попер	p ɔ p ɛ r
попиц	p ɔ p i t͡s
попод	p ɔ p ɔ t
пополадню	p ɔ p ɔ l a ɟ ɲ u
пополаднями	p ɔ p ɔ l a ɟ ɲ a m i
пополаднє	p ɔ p ɔ l a ɟ ɲ ɛ
попоносовац	p ɔ p ɔ n ɔ s ɔ v a t͡s
попопровац	p ɔ p ɔ p r ɔ v a t͡s
поправдзе	p ɔ p r a w d͡z ɛ
попрейґа	p ɔ p r ɛ j ɡ a
попри	p ɔ p r i
попровац	p ɔ p r ɔ v a t͡s
попросто	p ɔ p r ɔ s t ɔ
порада	p ɔ r a d a
порадзени	p ɔ r a d͡z ɛ n i
порадзиц	p ɔ r a d͡z i t͡s
пораднїк	p ɔ r a ɟ ɲ i k
порихтани	p ɔ r i x t a n i
порихтаносц	p ɔ r i x t a n ɔ s t͡s
порихтац	p ɔ r i x t a t͡s
портуґалски	p ɔ r t u ɡ a l s k i
порцийни	p ɔ r t͡s i j n i
порцийов	p ɔ r t͡s i j ɔ w
порцийове	p ɔ r t͡s i j ɔ v ɛ
порцийови	p ɔ r t͡s i j ɔ v i
порцийош	p ɔ r t͡s i j ɔ ʃ
порция	p ɔ r t͡s i j a
порциями	p ɔ r t͡s i j a m i
порядка	p ɔ r j a t k a
порядко	p ɔ r j a t k ɔ
порядков	p ɔ r j a t k ɔ w
порядкови	p ɔ r j a t k ɔ v i
порядку	p ɔ r j a t k u
порядни	p ɔ r j a d n i
порядно	p ɔ r j a d n ɔ
порядносц	p ɔ r j a d n ɔ s t͡s
поряднє	p ɔ r j a ɟ ɲ ɛ
порядок	p ɔ r j a d ɔ k
посада	p ɔ s a d a
посилатель	p ɔ s i l a t ɛ ʎ
посилац	p ɔ s i l a t͡s
послац	p ɔ s l a t͡s
после	p ɔ s l ɛ
посовитовац	p ɔ s ɔ v i t ɔ v a t͡s
поставац	p ɔ s t a v a t͡s
постац	p ɔ s t a t͡s
посто	p ɔ s t ɔ
постоя	p ɔ s t ɔ j a
постоянє	p ɔ s t ɔ j a ɲ ɛ
постояц	p ɔ s t ɔ j a t͡s
постояци	p ɔ s t ɔ j a t͡s i
постої	p ɔ s t ɔ j i
постоїм	p ɔ s t ɔ j i m
постоїме	p ɔ s t ɔ j i m ɛ
постоїце	p ɔ s t ɔ j i t͡s ɛ
постоїш	p ɔ s t ɔ j i ʃ
посцелка	p ɔ s t͡s ɛ l k a
посцель	p ɔ s t͡s ɛ ʎ
посцилка	p ɔ s t͡s i l k a
потадз	p ɔ t a t͡s
потамадз	p ɔ t a m a t͡s
потераз	p ɔ t ɛ r a s
потерашнї	p ɔ t ɛ r a ʃ ɲ i
потим	p ɔ t i m
потирвац	p ɔ t i r v a t͡s
потреба	p ɔ t r ɛ b a
потребне	p ɔ t r ɛ b n ɛ
потребни	p ɔ t r ɛ b n i
потребно	p ɔ t r ɛ b n ɔ
потребносц	p ɔ t r ɛ b n ɔ s t͡s
потребовац	p ɔ t r ɛ b ɔ v a t͡s
потька	p ɔ c k a
потьотька	p ɔ c ɔ c k a
потїха	p ɔ c i x a
похопиц	p ɔ x ɔ p i t͡s
похопйованє	p ɔ x ɔ p j ɔ v a ɲ ɛ
похопйовац	p ɔ x ɔ p j ɔ v a t͡s
похоплїви	p ɔ x ɔ p ʎ i v i
похота	p ɔ x ɔ t a
похотлїви	p ɔ x ɔ c ʎ i v i
похотлїво	p ɔ x ɔ c ʎ i v ɔ
похотлївосц	p ɔ x ɔ c ʎ i v ɔ s t͡s
похотни	p ɔ x ɔ t n i
похотно	p ɔ x ɔ t n ɔ
похребцина	p ɔ x r ɛ p t͡s i n a
похребцинови	p ɔ x r ɛ p t͡s i n ɔ v i
поцаг	p ɔ t͡s a x
поцагац	p ɔ t͡s a ɦ a t͡s
поцагнути	p ɔ t͡s a ɦ n u t i
поцагнуто	p ɔ t͡s a ɦ n u t ɔ
поцагнутосц	p ɔ t͡s a ɦ n u t ɔ s t͡s
поцагнуц	p ɔ t͡s a ɦ n u t͡s
поцаговани	p ɔ t͡s a ɦ ɔ v a n i
поцагованє	p ɔ t͡s a ɦ ɔ v a ɲ ɛ
поцаговац	p ɔ t͡s a ɦ ɔ v a t͡s
поцме	p ɔ t͡s m ɛ
початками	p ɔ t͡ʃ a t k a m i
початкови	p ɔ t͡ʃ a t k ɔ v i
початком	p ɔ t͡ʃ a t k ɔ m
початку	p ɔ t͡ʃ a t k u
початни	p ɔ t͡ʃ a t n i
початок	p ɔ t͡ʃ a t ɔ k
почац	p ɔ t͡ʃ a t͡s
починац	p ɔ t͡ʃ i n a t͡s
почитовани	p ɔ t͡ʃ i t ɔ v a n i
почитованє	p ɔ t͡ʃ i t ɔ v a ɲ ɛ
почитователь	p ɔ t͡ʃ i t ɔ v a t ɛ ʎ
почитователька	p ɔ t͡ʃ i t ɔ v a t ɛ ʎ k a
почитовац	p ɔ t͡ʃ i t ɔ v a t͡s
почувствовац	p ɔ t͡ʃ u w s t v ɔ v a t͡s
пошац	p ɔ ʃ a t͡s
пошивиц	p ɔ ʃ i v i t͡s
пошлїдками	p ɔ ʃ ʎ i t k a m i
пошлїдок	p ɔ ʃ ʎ i d ɔ k
пошоренє	p ɔ ʃ ɔ r ɛ ɲ ɛ
пошта	p ɔ ʃ t a
поштански	p ɔ ʃ t a n s k i
поштар	p ɔ ʃ t a r
поштарина	p ɔ ʃ t a r i n a
поштарка	p ɔ ʃ t a r k a
поштарски	p ɔ ʃ t a r s k i
поштови	p ɔ ʃ t ɔ v i
поєднац	p ɔ j ɛ d n a t͡s
поєсц	p ɔ j ɛ s t͡s
прабаба	p r a b a b a
правда	p r a w d a
правдиви	p r a w d i v i
праве	p r a v ɛ
прави	p r a v i
правилни	p r a v i l n i
правилно	p r a v i l n ɔ
правило	p r a v i l ɔ
правиц	p r a v i t͡s
право	p r a v ɔ
правобранїтель	p r a v ɔ b r a ɲ i t ɛ ʎ
правобранїтелька	p r a v ɔ b r a ɲ i t ɛ ʎ k a
правобранїтельство	p r a v ɔ b r a ɲ i t ɛ ʎ s t v ɔ
правя	p r a v j a
прага	p r a ɦ a
прадїдо	p r a ɟ i d ɔ
прадїдовски	p r a ɟ i d ɔ w s k i
пражски	p r a ʃ s k i
праславянски	p r a s l a v j a n s k i
праунук	p r a u n u k
праунука	p r a u n u k a
праунучатко	p r a u n u t͡ʃ a t k ɔ
праунуче	p r a u n u t͡ʃ ɛ
праунучка	p r a u n u t͡ʃ k a
праунучок	p r a u n u t͡ʃ ɔ k
праца	p r a t͡s a
працовац	p r a t͡s ɔ v a t͡s
пре	p r ɛ
пребачце	p r ɛ b a t͡ʃ t͡s ɛ
пред	p r ɛ t
пред'знак	p r ɛ d z n a k
пред'знаками	p r ɛ d z n a k a m i
пред'яр	p r ɛ d j a r
пред'єдлами	p r ɛ d j ɛ d l a m i
пред'єдло	p r ɛ d j ɛ d l ɔ
предавальня	p r ɛ d a v a ʎ ɲ a
предавальнями	p r ɛ d a v a ʎ ɲ a m i
предаванє	p r ɛ d a v a ɲ ɛ
предавац	p r ɛ d a v a t͡s
предавач	p r ɛ d a v a t͡ʃ
предавачка	p r ɛ d a v a t͡ʃ k a
предац	p r ɛ d a t͡s
предвиберанкови	p r ɛ d v i b ɛ r a n k ɔ v i
предикат	p r ɛ d i k a t
предмет	p r ɛ d m ɛ t
предметами	p r ɛ d m ɛ t a m i
предо	p r ɛ d ɔ
предсидатель	p r ɛ t s i d a t ɛ ʎ
предсидателька	p r ɛ t s i d a t ɛ ʎ k a
предсидательски	p r ɛ t s i d a t ɛ ʎ s k i
предсидательство	p r ɛ t s i d a t ɛ ʎ s t v ɔ
предшатвови	p r ɛ t ʃ a t v ɔ v i
предїл	p r ɛ ɟ i l
през	p r ɛ s
презвисками	p r ɛ z v i s k a m i
презвиско	p r ɛ z v i s k ɔ
презо	p r ɛ z ɔ
прейґ	p r ɛ j k
прейґа	p r ɛ j ɡ a
прейґмирни	p r ɛ j ɡ m i r n i
прейґмирно	p r ɛ j ɡ m i r n ɔ
прейґмирносц	p r ɛ j ɡ m i r n ɔ s t͡s
прекрасни	p r ɛ k r a s n i
прекрашнє	p r ɛ k r a ʃ ɲ ɛ
прелїв	p r ɛ ʎ i w
пременка	p r ɛ m ɛ ŋ k a
пременлїви	p r ɛ m ɛ n ʎ i v i
пременлївосц	p r ɛ m ɛ n ʎ i v ɔ s t͡s
пременьовац	p r ɛ m ɛ ɲ ɔ v a t͡s
пременїц	p r ɛ m ɛ ɲ i t͡s
премиєр	p r ɛ m i j ɛ r
премиєра	p r ɛ m i j ɛ r a
премиєрка	p r ɛ m i j ɛ r k a
премиєрни	p r ɛ m i j ɛ r n i
премиєрно	p r ɛ m i j ɛ r n ɔ
премиєрски	p r ɛ m i j ɛ r s k i
препорука	p r ɛ p ɔ r u k a
препоручени	p r ɛ p ɔ r u t͡ʃ ɛ n i
препорученями	p r ɛ p ɔ r u t͡ʃ ɛ ɲ a m i
препорученє	p r ɛ p ɔ r u t͡ʃ ɛ ɲ ɛ
препоручиц	p r ɛ p ɔ r u t͡ʃ i t͡s
препоручовац	p r ɛ p ɔ r u t͡ʃ ɔ v a t͡s
преслава	p r ɛ s l a v a
преславени	p r ɛ s l a v ɛ n i
преславиц	p r ɛ s l a v i t͡s
преславйовац	p r ɛ s l a v j ɔ v a t͡s
преславяц	p r ɛ s l a v j a t͡s
прето	p r ɛ t ɔ
прецо	p r ɛ t͡s ɔ
пречита	p r ɛ t͡ʃ i t a
пречитам	p r ɛ t͡ʃ i t a m
пречитаме	p r ɛ t͡ʃ i t a m ɛ
пречитаце	p r ɛ t͡ʃ i t a t͡s ɛ
пречиташ	p r ɛ t͡ʃ i t a ʃ
пречитаю	p r ɛ t͡ʃ i t a j u
прешейтац	p r ɛ ʃ ɛ j t a t͡s
прешли	p r ɛ ʃ l i
прешлосц	p r ɛ ʃ l ɔ s t͡s
прешовски	p r ɛ ʃ ɔ w s k i
прешпацирац	p r ɛ ʃ p a t͡s i r a t͡s
привит	p r i v i t
привитами	p r i v i t a m i
привитани	p r i v i t a n i
привитац	p r i v i t a t͡s
привитни	p r i v i t n i
привитованє	p r i v i t ɔ v a ɲ ɛ
привитовац	p r i v i t ɔ v a t͡s
привреда	p r i v r ɛ d a
привредни	p r i v r ɛ d n i
привреднїк	p r i w r ɛ ɟ ɲ i k
прикметнїк	p r i k m ɛ c ɲ i k
прикметнїками	p r i k m ɛ c ɲ i k a m i
прима	p r i m a
примани	p r i m a n i
приманє	p r i m a ɲ ɛ
приматель	p r i m a t ɛ ʎ
примателька	p r i m a t ɛ ʎ k a
примац	p r i m a t͡s
примаци	p r i m a t͡s i
примач	p r i m a t͡ʃ
применовнїк	p r i m ɛ n ɔ w ɲ i k
прими	p r i m i
примириц	p r i m i r i t͡s
примирйовац	p r i m i r j ɔ v a t͡s
примирє	p r i m i r j ɛ
приму	p r i m u
приповеданє	p r i p ɔ v ɛ d a ɲ ɛ
приповедац	p r i p ɔ v ɛ d a t͡s
приповедаци	p r i p ɔ v ɛ d a t͡s i
приповедацки	p r i p ɔ v ɛ d a t͡s k i
приповедач	p r i p ɔ v ɛ d a t͡ʃ
приповедачка	p r i p ɔ v ɛ d a t͡ʃ k a
приповедка	p r i p ɔ v ɛ t k a
пририхтани	p r i r i x t a n i
пририхтаносц	p r i r i x t a n ɔ s t͡s
пририхтац	p r i r i x t a t͡s
пририхтованє	p r i r i x t ɔ v a ɲ ɛ
пририхтовац	p r i r i x t ɔ v a t͡s
пририхтовач	p r i r i x t ɔ v a t͡ʃ
пририхтуюци	p r i r i x t u j u t͡s i
природа	p r i r ɔ d a
природни	p r i r ɔ d n i
природно	p r i r ɔ d n ɔ
присловнїк	p r i s l ɔ w ɲ i k
присловнїками	p r i s l ɔ w ɲ i k a m i
присмачка	p r i s m a t͡ʃ k a
присмачками	p r i s m a t͡ʃ k a m i
пристанїщами	p r i s t a ɲ i ʃ t͡ʃ a m i
пристанїще	p r i s t a ɲ i ʃ t͡ʃ ɛ
пристанїщни	p r i s t a ɲ i ʃ t͡ʃ n i
пристанїщов	p r i s t a ɲ i ʃ t͡ʃ ɔ w
присц	p r i s t͡s
причина	p r i t͡ʃ i n a
причинами	p r i t͡ʃ i n a m i
причинови	p r i t͡ʃ i n ɔ v i
приштински	p r i ʃ t i n s k i
приява	p r i j a v a
приявени	p r i j a v ɛ n i
приявиц	p r i j a v i t͡s
приявйованє	p r i j a v j ɔ v a ɲ ɛ
приявйовац	p r i j a v j ɔ v a t͡s
приявнїца	p r i j a w ɲ i t͡s a
приятель	p r i j a t ɛ ʎ
приятелька	p r i j a t ɛ ʎ k a
приятельови	p r i j a t ɛ ʎ ɔ v i
приятельски	p r i j a t ɛ ʎ s k i
приятельство	p r i j a t ɛ ʎ s t v ɔ
приятелями	p r i j a t ɛ ʎ a m i
прияти	p r i j a t i
прияц	p r i j a t͡s
приєм	p r i j ɛ m
приємни	p r i j ɛ m n i
приємно	p r i j ɛ m n ɔ
приємносц	p r i j ɛ m n ɔ s t͡s
приємнїк	p r i j ɛ m ɲ i k
приємнїца	p r i j ɛ m ɲ i t͡s a
проба	p r ɔ b a
проблем	p r ɔ b l ɛ m
пробовац	p r ɔ b ɔ v a t͡s
програма	p r ɔ ɦ r a m a
програмами	p r ɔ ɦ r a m a m i
програми	p r ɔ ɦ r a m i
продукователь	p r ɔ d u k ɔ v a t ɛ ʎ
продукователями	p r ɔ d u k ɔ v a t ɛ ʎ a m i
продуковац	p r ɔ d u k ɔ v a t͡s
продукт	p r ɔ d u k t
продуктивни	p r ɔ d u k t i w n i
продуктивно	p r ɔ d u k t i w n ɔ
продуктивносц	p r ɔ d u k t i w n ɔ s t͡s
продукцийни	p r ɔ d u k t͡s i j n i
продукция	p r ɔ d u k t͡s i j a
просек	p r ɔ s ɛ k
просекови	p r ɔ s ɛ k ɔ v i
просеково	p r ɔ s ɛ k ɔ v ɔ
просековосц	p r ɔ s ɛ k ɔ v ɔ s t͡s
прости	p r ɔ s t i
просто	p r ɔ s t ɔ
простор	p r ɔ s t ɔ r
просторами	p r ɔ s t ɔ r a m i
просторе	p r ɔ s t ɔ r ɛ
простория	p r ɔ s t ɔ r i j a
просториями	p r ɔ s t ɔ r i j a m i
просторни	p r ɔ s t ɔ r n i
процент	p r ɔ t͡s ɛ n t
процентни	p r ɔ t͡s ɛ n t n i
процес	p r ɔ t͡s ɛ s
процесами	p r ɔ t͡s ɛ s a m i
проци	p r ɔ t͡s i
процив	p r ɔ t͡s i w
проциввойнове	p r ɔ t͡s i vː ɔ j n ɔ v ɛ
проциввойнови	p r ɔ t͡s i vː ɔ j n ɔ v i
процивнапад	p r ɔ t͡s i w n a p a t
процивнападами	p r ɔ t͡s i w n a p a d a m i
процивцелами	p r ɔ t͡s i w t͡s ɛ l a m i
процивцело	p r ɔ t͡s i w t͡s ɛ l ɔ
проґноза	p r ɔ ɡ n ɔ z a
пряшовски	p r j a ʃ ɔ w s k i
псами	p s a m i
псевдолїкар	p s ɛ w d ɔ ʎ i k a r
псевдоним	p s ɛ w d ɔ n i m
псевдоученосц	p s ɛ w d ɔ u t͡ʃ ɛ n ɔ s t͡s
психолоґ	p s i x ɔ l ɔ k
психолоґийни	p s i x ɔ l ɔ ɡ i j n i
психолоґия	p s i x ɔ l ɔ ɡ i j a
психолоґове	p s i x ɔ l ɔ ɡ ɔ v ɛ
птица	p t i t͡s a
птицами	p t i t͡s a m i
птичи	p t i t͡ʃ i
птичка	p t i t͡ʃ k a
публика	p u b l i k a
пудинґ	p u d i ŋ k
пуль	p u ʎ
пулька	p u ʎ k a
пульче	p u ʎ t͡ʃ ɛ
пульчецина	p u ʎ t͡ʃ ɛ t͡s i n a
пульчи	p u ʎ t͡ʃ i
пуляк	p u ʎ a k
пустиньов	p u s t i ɲ ɔ w
пустиньски	p u s t i ɲ s k i
пустиня	p u s t i ɲ a
путнїк	p u c ɲ i k
путнїками	p u c ɲ i k a m i
путнїца	p u c ɲ i t͡s a
путнїцки	p u c ɲ i t͡s k i
путованє	p u t ɔ v a ɲ ɛ
путовац	p u t ɔ v a t͡s
путую	p u t u j u
путує	p u t u j ɛ
путуєм	p u t u j ɛ m
путуєме	p u t u j ɛ m ɛ
