אָ	ɔ
נצחונדיק	n ɪ t͡s ɔ χ n̩ d ɪ k
נצחונדיק	n ɪ t͡s u χ n̩ d ɪ k
נקבֿה	n ɜ k ɛ ɪ̯ v ɜ
נקודה	n ə k ʊ d ə
נקודה	n ə k iː d ə
נשמה	n ə ʃ ɔ m ə
נשמה	n ə ʃ uː m ə
נשמה	n ə ʃ u m ə
נשמה	n ə ʃ oː m ə
סאַדיזם	s a d ɪ z m̩
סאַדיסט	s a d ɪ s t
סאַדיסטיש	s a d ɪ s t ɪ ʃ
סאָדע	s ɔ d ə
סאָוואַ	s ɔ v a
סאָווע	s ɔ v ə
סאָוועטן־פֿאַרבאַנד	s ɔ v ɛ t n f a r b a n d
סאָוס	s ɔ ʊ s
סאַזשע	s a ʒ ə
סאָכע	s ɔ χ ə
סאַלאַט	s a ɫ a t
סאָלדאַט	s ɔ ɫ d a t
סאָלדאַטן	s ɔ ɫ d a t n̩
סאַמאָדערזשאַוויע	s a m ɔ d ɛ r ʒ a v j ɛ
סאַמאָוואַר	s a m ɔ v a ʁ
סאַמאַרקאַנד	s a m a r k aː n d
סאָנדיי	s ɔ n d ɛ ɪ̯
סאָנדיי	s ʌ n d ɛ ɪ̯
סאָס	s ɔ s
סאָציאָלאָגיע	s ɔ t͡s j ɔ ɫ ɔ ɡ j ə
סאַקסאָפֿאָן	s a k s ɔ f ɔ n
סאַראָקע	s a ʁ ɔ k ə
סאָראָקע	s ɔ ʁ ɔ k ə
סאָרגע	s ɔ r ɡ ə
סאַרדינקע	s a ʁ d ɪ ŋ k ə
סאַרדעל	s a ʁ d ɛ ɫ
סאָרט	s ɔ ʁ t
סבֿרא	s v ɔ ʁ ə
סבֿרא	s v uː ʁ ə
סבֿרא	s v u ʁ ə
סדר	s ɛ ɪ̯ d ə ʁ
סוועטער	s v ɛ t ə ʁ
סויע	s ɔ ɪ̯ ə
סויעמילך	s ɔ ɪ̯ ə m ɪ ɫ χ
סוכּה	s ʊ k ə
סוכּה	s ɪ k ə
סוכּות	s ʊ k ə s
סוכּות	s ɪ k ə s
סוכּות	s ɨ k ə s
סוס	s ʊ s
סוס	s ɪ s
סוס	s ɨ s
סוף	s ɔ f
סוף־וואָך	s ɔ f v ɔ χ
סוף־כּל־סוף	s ɔ f k l̩ s ɔ f
סוף־סוף	s ɔ f s ɔ f
סופֿלאָז	s ɔ f ɫ ɔ z
סוריקאַטע	s ʊ r ɪ k a t ə
סושי	s u ʃ i
סושי	s u ʃ ɪ
סטאַזשירונג	s t a ʒ ɪ r ʊ n ɡ
סטאָלאָווע	s t ɔ ɫ ɔ v ə
סטאָלאָווקע	s t ɔ ɫ ɔ v k ə
סטאַנציע	s t a n t͡s j ə
סטאַשקעשמיר	s t a ʃ k ə ʃ m i r
סטואַרד	s t ʊ a ʁ d
סטואַרדקע	s t ʊ a ʁ d k ə
סטופּע	s t ʊ p ə
סטיראָל	s t ɪ r ɔ ɫ
סטיראָשוים	s t ɪ r ɔ ʃ ɔ ɪ̯ m
סטעליע	s t ɛ ʎ j ə
סטראָנטיום	s t ʁ ɔ n t j ʊ m
סיגנאַציע	s ɪ ɡ n a t͡s j ə
סיגנעט	s ɪ ɡ n ɛ t
סידור	s ɪ d ə ʀ
סיוון	s ɪ v n̩
סײַדן	s a ɪ̯ d n̩
סײַדן	s aː d n̩
סייטשאַס	s ɛ ɪ̯ t͡ʃ a s
סייטשאַס	s ɪ t͡ʃ a s
סילוק	s ɪ l ə k
סילוק	s ɨ l ə k
סילוקן	s ɪ l ə k n̩
סילוקן	s ɨ l ə k n̩
סיליציום	s ɪ l ɪ t͡s j ʊ m
סיליקאָן	s ɪ l ɪ k ɔ n
סינטעז	s ɪ n t ɛ z
סינטעז	s ɪ n t ɛ s
סיפּור	s ɪ p ə ʁ
סיפּור־המעשׂה	s ɪ p ə ʁ h a m a ɪ̯ s e
סיפּור־המעשׂה	s ɪ p ə ʁ h a m a ɪ̯ s e
סיפּור־המעשׂה	s ɪ p ə ʁ a m a ɪ̯ s e
סיפּור־המעשׂה	s ɪ p ə ʁ h a m a n s e
סיפּור־המעשׂה	s ɪ p ə ʁ a m a n s e
סיפּור־המעשׂה	s ɪ p ə ʁ h a m aː s e
סיפּור־המעשׂה	s ɪ p ə ʁ a m aː s e
סיפּור־המעשׂה	s ɪ p ə ʁ h a m a n s e
סיפּור־המעשׂה	s ɪ p ə ʁ h a m a s e
סיפּור־המעשׂה	s ɪ p ə ʁ a m a n s e
סיפּור־המעשׂה	s ɪ p ə ʁ a m a s e
סיריע	s ɪ ʁ j ə
סך־הכּל	s a χ a k ɫ̩
סכך	s χ a χ
סכך־בוים	s χ a χ b ɔ ɪ̯ m
סכּנה	s a k ɔ n ə
סכּנה	s ə k ɔ n ə
סכּנהדיק	s a k ɔ n ə d ɪ k
סכּנהדיק	s ə k ɔ n ə d ɪ k
סכּנות	s a k ɔ n ə s
סכּנות	s ə k ɔ n ə s
סלאָבאָדקע	s ɫ ɔ b ɔ d k ə
סלאָוואַקײַ	s ɫ ɔ v a k a ɪ̯
סלאָוועניע	s ɫ ɔ v ɛ n j ə
סלאָנים	s ɫ ɔ n ɪ m
סלוי	s ɫ ɔ ɪ̯
סלויעס	s ɫ ɔ ɪ̯ ə s
סלוצק	s ɫ ʊ t͡s k
סליעדעווען	s ʎ eː d ə v ə n
סם־בלעטלעך	s a m b l ɛ t l ə χ
סמאַהע	s m a h ə
סמעטענע	s m ɛ t ə n ə
סנה	s n ɛ
סנה	s n ɛ ɪ̯
סעודה	s ʊ d ə
סעזאָן	s ɛ z ɔ n
סעזאָן	s ə z ɔ n
סעלדעריי	s ɛ ʎ d ə r ɛ ɪ̯
סעלעניום	s ɛ l ɛ n j ʊ m
סעלעריע	s ə ɫ ɛ r j ə
סעמעטשקע	s ɛ m ə t͡ʃ k ə
סעמעסטער	s ɛ m ɛ s t ə ʁ
סענדוויטש	s ɛ n d v ɪ t͡ʃ
סענטימענט	s ɛ n t ɪ m ɛ n t
סעפּטעמבער	s ɛ p t ɛ m b ə ʁ
סעקולאַריזירן	s ɛ k ʊ ɫ a r ɪ z i r n̩
סעקונדע	s ə k ʊ n d ə
סעקונדע	s k ʊ n d ə
סעקטע	s ɛ k t ə
סעקרעטאַר	s ə k ʁ ə t a ʁ
סעקרעטאַרשע	s e k ʁ ə t a ʁ ʃ ə
סערביע	s ɛ ʁ b j ə
ספּאַמפֿלייש	s p a m f ɫ ɛ ɪ̯ ʃ
ספּעציאַליסט	s p ɛ t͡s j a ʎ ɪ s t
ספּעציאַליסטן	s p ɛ t͡s j a ʎ ɪ s t n̩
ספּעציאַליסטקע	s p ɛ t͡s j a ʎ ɪ s t k ə
ספּעקטאָר	s p ɛ k t ɔ ʁ
ספּעקטראָסקאָפּ	s p ɛ k t ʁ ɔ s k ɔ p
ספֿק	s ɔ f ə k
ספֿר	s ɛ ɪ̯ f ə ʁ
ספֿר	s a ɪ̯ f ə ʁ
ספֿר־הזכּרון	s ɛ ɪ̯ f ə ʁ h a z ɪ k ɔ ʁ n̩
ספֿר־הזכּרון	s e ɪ̯ f ə ʁ h a z ɪ k ɔ ʁ n̩
ספֿר־הזכּרון	s e ɪ̯ f ə ʁ a z ɪ k ɔ ʁ n̩
ספֿר־הזכּרון	s a ɪ̯ f ə ʁ h a z ɪ k uː ʁ n̩
ספֿר־הזכּרון	s a ɪ̯ f ə ʁ a z ɪ k uː ʁ n̩
ספֿר־הזכּרון	s ɛ ɪ̯ f ə ʁ h a z ɪ k u ʁ n̩
ספֿר־הזכּרון	s ɛ ɪ̯ f ə ʁ a z ɪ k u ʁ n̩
סצימיטאַר	s t͡s ɪ m ɪ t a r
סקאַמייקע	s k a m ɛ ɪ̯ k ə
סקאַמייקע	s k a m e ɪ̯ k ə
סקאָן	s k ɔ n
סקאַנדיום	s k a n d j ʊ m
סקאָרינקע	s k ɔ r ɪ n k ə
סקאָרינקע	s k ɔ r ɪ ŋ k ə
סקאָרפּיאָן	s k ɔ ʁ p j ɔ n
סקווער	s k v ɛ r
סקעלעט	s k ə ɫ ɛ t
סתּם	s t a m
ס׳האָט	s ɔ t
ס׳האָט	s uː t
ס׳רובֿ	s ʁ ɔ v
עבֿר	ɔ v ə ʁ
עבֿר	uː v ə ʁ
עבֿר	u v ə ʁ
עבֿרדיק	ɔ v ə ʁ d ɪ k
עבֿרדיק	uː v ə ʁ d ɪ k
עבֿרדיק	u v ə ʁ d ɪ k
עבֿרה	a v ɛ ɪ r ə
עבֿריתּ	ɪ v ʁ ɪ t
עגלה	a ɡ ɔ l ə
עגלה	a ɡ uː l ə
עגלה	a ɡ u l ə
עגמת־נפֿש	a ɡ m ə s n ɛ f ə ʃ
עגמת־נפֿש	a ɡ m ə s n ɛ ɪ̯ f ə ʃ
עדות	ɛ ɪ̯ d ə s
עדות	a ɪ̯ d ə s
־עוודיק	ə v d ɪ k
עוולה	a v l ə
־עווען	ə v ə n
עוועניו	ɛ v ɛ n j ʊ
עולה	ɔ ɪ̯ ɫ ə
עולים	ɔ ɪ̯ ɫ ɪ m
עומר	ɔ ɪ̯ m ɜ r
עומר	e ɪ̯ m ɜ r
עזה	a z ə
עטיקעט	ɛ t ɪ k ɛ t
עטלעך	ɛ t ɫ ə χ
עטלעכע	ɛ t l ə χ ə
עכאָ	ɛ χ ɔ
עכאָיִרן	ɛ χ ɔ ɪ ʁ n̩
עכט	ɛ χ t
־עכץ	ə χ t͡s
על־פּי	a l p ɪ
על־פּי	a l p ə
עלטער	ɛ l t ɜ r
עלטער־זיידע	ɛ ɫ t ə ʁ z ɛ ɪ̯ d ə
עלטערע	ɛ ɫ t ə ʁ ə
עלסטער	ɛ ɫ s t ə ʁ
עלעהיי	ɛ l ə h ɛ ɪ̯
עלעהיי	ɛ l ə h e ɪ̯
עלעהיי	ɛ l ə h a ɪ̯
עלעווייטעד	ɛ ɫ ə v ɛ ɪ̯ t ə d
עלעקטרײַ	ɛ ɫ ɛ k t r a ɪ̯
עם	ɛ m
עם	a m
עמו	ɛ m ʊ
עמידה	a m ɪ d ə
עמידה	a m iː d ə
עמידה	a m i d ə
עמעצער	ɛ m ə t͡s ə ʁ
עמער	ɛ m ə ʁ
ענגלאַנד	ɛ ŋ ɡ ɫ a n d
ענגליש	ɛ ŋ ɡ ʎ ɪ ʃ
ענדלאָז	ɛ n d l ɔ z
ענדלעך	ɛ n d l ə χ
ענדערונג	ɛ n d ɜ r ʊ n ɡ
ענדערן	ɛ n d ɜ r n̩
ענטל	ɛ n t ɫ̩
ענטל־שנאָבל	ɛ n t ɫ̩ ʃ n ɔ b ɫ̩
ענטע	ɛ n t ə
ענטפֿער	ɛ n t f ə ʁ
ענטפֿערן	ɛ n t f ɛ ʁ n
ענטשילאַדע	ɛ n t͡ʃ ɪ ɫ a d ə
־עניש	ə n ɪ ʃ
ענעס	ɛ n ə s
עס	ɛ s
עס	s
עס	s ə
עס	ɛ s
עסט	ɛ s t
עסטלאַנד	ɛ s t ɫ a n d
עסטראַגאָן	ɛ s t r a ɡ ɔ n
עסטרײַך	ɛ s t ʁ a ɪ̯ χ
עסיק	ɛ s ɪ k
עסן	ɛ s n̩
עסער	ɛ s ə r
עסערײַ	ɛ s ə r a ɪ̯
עספּעראַנטיסט	ɛ s p ɛ r a n t ɪ s t
עספּרעסאָ	ɛ s p r ɛ s ɔ
עפּאָכע	ə p ɔ χ ə
עפּלפּײַ	ɛ p ɫ̩ p a ɪ̯
עפֿן	ɛ f n̩
עפֿנט	ɛ f n̩ t
עפֿנטלעך	ɛ f n̩ t ɫ ə χ
עפֿענען	ɛ f ə n ə n
עפּעס	ɛ p ə s
עפֿעקטיוו	ɛ f ɛ k t ɪ v
עפֿעקטיוו	ɛ f ɛ k t ɪ f
עפֿעקטיווירן	ɛ f ɛ k t ɪ v ɪ r n̩
עץ	ɛ t͡s
עק	ɛ k
עקבער	ɛ k b ə r
עקבער	ɛ ɡ b ə r
עקדיש	ɛ k d ɪ ʃ
עקדעש	ɛ k d ə ʃ
עקזאַמען	ɛ k z a m ə n
עקזאַמענס	ɛ k z a m ə n s
עקלער	ə k ɫ ɛ r
עקן	ɛ k n̩
עקסיסטענץ	ɛ k s ɪ s t ɛ n t͡s
עקספּערט	ɛ k s p ɛ ʁ t
עקשנען	a k ʃ n ə n
ער	ɛ ʁ
ערבֿ	ɛ ʁ ə v
ערבֿ	ɛ ɪ̯ ʁ ə v
ערבֿ	ɔ ʁ ə v
ערבֿ	uː ʁ ə v
ערבֿ	u ʁ ə v
ערגסט	ɛ r ɡ s t
ערגעץ	ɛ ʁ ɡ ə t͡s
ערד	ɛ ʁ d
ערד	ɛ ɪ̯ ə ʁ d
ערד	ɛ ɪ̯ ʁ d
־ערהייט	ə r h e ɪ̯ t
ערל	ɔ ʁ l̩
ערל	uː ʁ l̩
ערל	u ʁ l̩
ערלה	ɔ ʁ ɫ ə
־ערליי	ə ʁ l ɛ ɪ̯
־ערליי	ə ʁ l e ɪ̯
־ערליי	ə l e ɪ̯
־ערליי	ə ʁ l a ɪ̯
־ערליי	ə l a ɪ̯
־ערליי	ə ʁ l ɛ ɪ̯
־ערליי	ə l ɛ ɪ̯
ערלעך	ɛ ʁ ɫ ə χ
ערלעכקייט	ɛ ʁ ɫ ə χ k a ɪ̯ t
ערשט	ɛ ʁ ʃ t
ערשטנס	ɛ ʁ ʃ t n̩ s
ערשטנס	ɛ ɪ̯ ə ʁ ʃ t n̩ s
ערשטנס	ɛ ɪ̯ ʁ ʃ t n̩ s
עשעלאָן	ɛ ʃ ə ɫ ɔ n
עשפּער	ɛ ʃ p ə ʁ
עתיד	ɔ s ə d
עתיד	uː s ə d
עתיד	u s ə d
עתידיק	ɔ s ə d ɪ k
עתידיק	uː s ə d ɪ k
עתידיק	u s ə d ɪ k
פֿאַגאָט	f a ɡ ɔ t
פּאָגראָם	p ɔ ɡ ʁ ɔ m
פֿאָדזש	f ɔ d͡ʒ
פֿאָדזש	f ʌ d͡ʒ
פּאָדליג	p ɔ d ɫ ɪ ɡ
פּאָדליג	p ɔ d ɫ ɪ k
פּאָדליק	p ɔ d ɫ ɪ k
פּאָדלעץ	p ɔ d ɫ ɛ t͡s
פֿאָדעם	f ɔ d ə m
פּאַווע־פֿאַזאַן	p a v ə f a z a n
פּאַוזע	p a ʊ̯ z ə
פֿאַזאַן	f a z a n
פּאָזעווען	p ɔ z ə v ə n
פּאָזעמקע	p ɔ z ɛ m k ə
פּאַטאַלאָק	p a t a ɫ ɔ k
פּאָטאַסיום	p ɔ t a s j ʊ m
פּאַטיקע	p a t ɪ k ə
פּאַטלעזשאַן	p a t ɫ ə ʒ a n
פּאָטעפֿאַלנאָסט	p ɔ t ə f a ʎ n ɔ s t
פּאָטעפֿאַלנע	p ɔ t ə f a ʎ n ə
פּאַטש	p a t͡ʃ
פּאַטשולי	p a t͡ʃ ʊ ʎ ɪ
פּאָטשט	p ɔ t͡ʃ t
פֿאַטשיילע	f a t͡ʃ ɛ ɪ̯ l ə
פּאַיאַץ	p a j a t͡s
פֿאַך	f a χ
פֿאָך	f ɔ χ
פּאַכווע	p a χ v ə
פֿאַל	f a ɫ
פּאַלאַדיום	p a l a d j ʊ m
פּאַלאַץ	p a ɫ a t͡s
פּאַלאַצן	p a ɫ a t͡s n̩
פֿאָלגן	f ɔ ɫ ɡ n̩
פּאָלטאַווע	p ɔ ɫ t a v ə
פּאָליסטירען	p ɔ ʎ ɪ s t ɪ r ɛ n
פּאָליציי	p ɔ l ɪ t͡s ɛ ɪ̯
פּאָליצע	p ɔ ʎ ɪ t͡s ə
פּאָליצעס	p ɔ ʎ ɪ t͡s ə s
פּאָלירן	p ɔ l ɪ r n̩
פֿאַלן	f a ɫ n̩
פּאַלעסטיניש	p a ɫ ə s t ɪ n ɪ ʃ
פּאַלעסטינע	p a ɫ ə s t ɪ n ə
פּאַלעסטינער	p a ɫ ə s t ɪ n ə ʁ
פּאַלעסטינערין	p a ɫ ə s t ɪ n ə r ɪ n
פּאַלעסטינערקע	p a ɫ ə s t ɪ n ə r k ə
פֿאָלקסגעזונט	f ɔ ɫ k s ɡ ə z ʊ n t
פּאָמידאָר	p ɔ m ɪ d ɔ ʁ
פּאָמידאָרן־זאַפֿט	p ɔ m i d ɔ r n̩ z a f t
פּאַמעלעך	p a m ɛ ɫ ə χ
פּאַמעלעכער	p a m ɛ ɫ ə χ ə ʁ
פֿאַן	f a n
פֿאַנאַטיקער	f a n a t ɪ k ə ʁ
פּאַנדע	p a n d ə
פּאַנדעס	p a n d ə s
פֿאַנטאַזיע	f a n t a z j ə
פּאָנטשיק	p ɔ n t͡ʃ ɪ k
פּאָנטשקע	p ɔ n t͡ʃ k ə
פּאַנסטוואָווע	p a n s t v o v ə
פּאַס	p a s
פֿאַס	f a s
פּאַסט	p a s t
פּאַסטעל	p a s t ɛ ɫ
פּאַסטראַמע	p a s t r a m ə
פּאַסיק	p a s ɪ k
פּאַסן	p a s n̩
פּאַספּאָרט	p a s p ɔ ʁ t
פּאָעט	p ɔ ɛ t
פּאַעליאַ	p a ɛ ʎ a
פּאָפּ	p ɔ p
פּאַפּאַראַצי	p a p a r a t͡s ɪ
פּאַפּאַראַצי	p a p a r a t͡s i
פּאָפּוגײַ	p ɔ p ʊ ɡ a ɪ̯
פּאָפּוגײַען	p ɔ p ʊ ɡ a ɪ̯ ə n
פּאַפּיר	p a p i r
פּאַפּשוי	p a p ʃ ɔ ɪ̯
פּאָץ	p ɔ t͡s
פּאַציענט	p a t͡s j ɛ n t
פֿאַקטאַזיע	f a k t a z j ə
פֿאַר	f a ʁ
פֿאָראורטייל	f ɔ ʁ ʊ ʁ t ɛ ɪ̯ l
פֿאָראורטייל	f ɔ ʁ ʊ ʁ t e ɪ̯ l
פֿאָראורטייל	f ɔ ʁ ɪ ʁ t a ɪ̯ l
פֿאָראורטייל	f ɔ ʁ ɨ ʁ t ɛ ɪ̯ l
פֿאַראיבל	f a ʁ ɪ b ɫ̩
פֿאַראייניקט	f a r ɛ ɪ̯ n ɪ k t
פֿאַראייניקט	f a r a ɪ̯ n ɪ k t
פּאַראָם	p a r ɔ m
פֿאַרב	f a ʁ b
פֿאַרבײַסן	f a ʁ b a ɪ̯ s n̩
פֿאַרבינדונג	f a ʁ b ɪ n d ʊ ŋ ɡ
פֿאַרבינדט	f a ʁ b ɪ n t
פֿאַרבינדן	f a ʁ b ɪ n d n̩
פֿאַרביק	f a ʁ b ɪ k
פֿאַרבלאָנדזשען	f a ʁ b ɫ ɔ n d͡ʒ ə n
פֿאַרבן	f a ʁ b n̩
פֿאַרבער	f a ʁ b ə ʁ
פֿאַרבערײַ	f a ʁ b ə ʁ a ɪ̯
פֿאַרברענט	f a ʁ b ʁ ɛ n t
פֿאַרברענסט	f a ʁ b ʁ ɛ n s t
פֿאַרברענען	f a ʁ b ʁ ɛ n ə n
פֿאַרגאַנגען	f a ʁ ɡ a ŋ ɡ ə n
פֿאַרגאַנגענהייט	f a ʁ ɡ a ŋ ɡ ə n h a ɪ̯ t
פֿאַרגאַנצן	f a r ɡ a n t͡s n̩
פֿאַרגולמט	f a ʁ ɡ ɔ ɪ̯ l ə m t
פֿאַרגולמט	f a ʁ ɡ e ɪ̯ l ə m t
פֿאַרגייט	f a ʁ ɡ ɛ ɪ̯ t
פֿאַרגיין	f a ʁ ɡ ɛ ɪ̯ n
פֿאַרגלייבטקייט	f a ʁ ɡ ɫ ɛ ɪ̯ p t k a ɪ̯ t
פֿאַרגלייבטקייט	f a ʁ ɡ ɫ e ɪ̯ p t k a ɪ̯ t
פֿאַרגלייבטקייט	f a ʁ ɡ ɫ a ɪ̯ p t k a ɪ̯ t
פֿאַרגלייבטקייט	f ɔ ʁ ɡ ɫ ɛ ɪ̯ p t k ɛ ɪ̯ t
פֿאַרגלײַך	f a ʁ ɡ ɫ a ɪ̯ χ
פֿאַרגלײַכט	f a ʁ ɡ ɫ a ɪ̯ χ t
פֿאַרגלײַכן	f a ʁ ɡ ɫ a ɪ̯ χ n̩
פֿאַרגעוואַלדיקונג	f a ʁ ɡ ə v a ɫ d ɪ k ʊ ŋ ɡ
פֿאַרגעוואַלדיקן	f a ʁ ɡ ə v a ɫ d ɪ k ŋ̩
פֿאַרגעסן	f a ʁ ɡ ɛ s n̩
פֿאַרגעסעניש	f a ʁ ɡ ɛ s ə n ɪ ʃ
פֿאַרדאַמען	f a ʁ d a m ə n
פֿאַרדאַרבן	f a ʁ d a ʁ b n̩
פֿאַרדײַען	f a r d a ɪ̯ ə n
פֿאַרדינגען	f a ʁ d ɪ ŋ ɡ ə n
פֿאַרדינסט	f a ʁ d ɪ n s t
פֿאַרדינען	f a ʁ d ɪ n ə n
פֿאַרדריסן	f a ʁ d ʁ ɪ s n̩
פֿאַרהערן	f a ʁ h ɛ ʁ ə n
פֿאַרוואַלטונג	f a ʁ v a l t ʊ n ɡ
פֿאַרוואַלטונג	f a ʁ v a l t ɪ n ɡ
פֿאַרוואַלטונג	f a ʁ v a l t ɨ n ɡ
פֿאַרוואַלטן	f a ʁ v a l t n̩
פֿאַרוואַלטער	f a ʁ v a l t ə ʁ
פֿאַרוואָס	f a ʁ v ɔ s
פֿאָרויסזאָגן	f ɔ ʁ ɔ ɪ̯ s z ɔ ɡ n̩
פֿאָרויסזען	f ɔ ʁ ɔ ɪ̯ s z ɛ n
פֿאָרויספֿילן	f ɔ ʁ ɔ ɪ̯ s f ɪ l n̩
פּאַרוק	p a ʁ ʊ k
פּאַרוק	p a ʁ ɪ k
פּאַרוק	p a ʁ ɨ k
פֿאַרזאָרגן	f a r z o r ɡ n̩
פֿאָרזיכטיק	f ɔ ʁ z i χ t ɪ k
פֿאַרזיכניק	f a ʁ z ɪ χ n ɪ k
פֿאַרזיכערונג	f a ʁ z ɪ χ ə ʁ ʊ ŋ ɡ
פֿאַרזיכערן	f a ʁ z ɪ χ ə ʁ n̩
פֿאַרחובֿט	f a ʁ χ ɔ ɪ̯ v t
פֿאַרחובֿט	f a ʁ χ e ɪ̯ v t
פֿאַרחלומט	f a ʁ χ ɔ l ə m t
פֿאַרחלומט	f a ʁ χ uː l ə m t
פֿאַרחלומט	f a ʁ χ u l ə m t
פּאָרט	p ɔ r t
פּאַרטאַטש	p a r t a t͡ʃ
פּאָרטוגאַל	p ɔ ʁ t ʊ ɡ a ɫ
פּאָרטווײַן	p ɔ r t v a ɪ̯ n
פֿאַרטיליקונג	f a ʁ t ɪ ɫ ɪ k ʊ ŋ ɡ
פֿאַרטיליקן	f a ʁ t ɪ ɫ ɪ k ŋ̩
פֿאַרטיק	f a ʁ t ɪ k
פֿאַרטעך	f a ʁ t ə χ
פּאָרטשטאָט	p ɔ r t ʃ t ɔ t
פֿאַרייִאושט	f a r j ɪ ɜ ʃ t
פֿאַרלאָזן	f a r l ɔ z n̩
פֿאַרלוירן	f a ʁ ɫ ɔ ɪ̯ ʁ n̩
פֿאַרלירן	f a ʁ ʎ ɪ ʁ n̩
פֿאַרם	f a ʁ ə m
פֿאַרמאָג	f a ʁ m ɔ ɡ
פֿאַרמאָגן	f a ʁ m ɔ ɡ n̩
פֿאַרמאַכט	f a ʁ m a χ t
פֿאַרמאַכן	f a ʁ m a χ n̩
פֿאַרמעגן	f a r m eː ɡ n̩
פּאַרמעט	p a ʁ m ɛ t
פּאַרמעטן	p a ʁ m ɛ t n
פֿאַרמעסט	f a ʁ m ɛ s t
פֿאַרמער	f a ʁ m ə ʁ
פֿאַרמערין	f a ʁ m ə ʁ ɪ n
פֿאַרמערס	f a ʁ m ə ʁ s
פֿאַרמשכּונען	f a ʁ m a ʃ k ə n ə n
פֿאַרנהײַט	f a ʁ n̩ h a ɪ̯ t
פֿאַרנומען	f a ʁ n ʊ m ə n
פֿאַרנייען	f a ʁ n ɛ ɪ̯ ə n
פּאַרנע	p a r n ə
פֿאַרסאַזשעט	f a ʁ s a ʒ ə t
פֿאַרסך־הכּלען	f a ʁ s a χ a k l ə n
פֿאַרסך־הכּלען	f a ʁ s ə χ a k l ə n
פֿאַרסמען	f a ʁ s a m ə n
פּאַרע	p a ʁ ə
פֿאַרפֿוילט	f a ʀ f ʊ i l t
פֿאַרפֿלייץ	f a ʁ f ɫ ɛ ɪ̯ t͡s
פֿאַרפֿלייצונג	f a ʁ f ɫ ɛ ɪ̯ t͡s ʊ ŋ ɡ
פֿאַרפֿלייצן	f a ʁ f ɫ ɛ ɪ̯ t͡s n̩
פֿאַרפּסח	f a r p ɛ ɪ̯ s ə χ
פֿאַרצווײַגט	f a r t͡s v a ɪ̯ ɡ t
פֿאַרצייכענען	f a ʁ t͡s ɛ ɪ̯ χ ə n ə n
פּאָרצעלײַ	p ɔ ʁ t͡s ə ɫ a ɪ̯
פֿאַרקויף	f a ʁ k ɔ ɪ̯ f
פֿאַרקויפֿער	f a ʁ k ɔ ɪ̯ f ə ʁ
פֿאַרקויפֿערין	f a ʁ k ɔ ɪ̯ f ə ʁ ɪ n
פֿאַרקילונג	f a ʁ k ɪ ɫ ʊ ŋ ɡ
פֿאַרקנעכטן	f a ʁ k n ɛ χ t n̩
פֿאַרקרימען	f a ʁ k ʁ ɪ m ə n
פֿאַרראָט	f a ʁ ʁ ɔ t
פֿאַרראָטן	f a ʁ ʁ ɔ t n̩
פֿאַרריכט	f a ʁ ʁ ɪ χ t
פֿאַרריכטן	f a ʁ ʁ ɪ χ t n̩
פֿאַרריסן	f a ʁ ʁ ɪ s n̩
פֿאַררעטער	f a ʁ ʁ ɛ t ə ʁ
פֿאַררעטער	f a ʁ ʁ eː t ə ʁ
פֿאַררעטער	f a ʁ ʁ e ɪ̯ t ə ʁ
פֿאַרשאָלטן	f a ʁ ʃ ɔ ɫ t n̩
פֿאַרשוואַרצן	f a ʁ ʃ v a ʁ t͡s n̩
פֿאָרשונג	f ɔ ʀ ʃ ʊ ŋ ɡ
פֿאַרשטאַרבן	f a ʁ ʃ t a ʁ b m̩
פֿאַרשטיין	f a ʁ ʃ t ɛ ɪ̯ n
פֿאַרשטיין	f a ʁ ʃ t e ɪ̯ n
פֿאַרשטיין	f a ʁ ʃ t a ɪ̯ n
פֿאַרשטעל	f a ʁ ʃ t ɛ ɫ
פֿאַרשטעלט	f a ʁ ʃ t ɛ ɫ t
פֿאַרשטעלן	f a ʁ ʃ t ɛ ɫ n̩
פֿאָרשטעלן	f ɔ ʁ ʃ t ɛ ɫ n̩
פֿאַרשטעלסט	f a ʁ ʃ t ɛ ɫ s t
פֿאַרשטענדלעך	f a ʁ ʃ t ɛ n d l ə χ
פֿאַרשידן	f a ʁ ʃ ɪ d n̩
פֿאַרשיידן	f a ʁ ʃ e ɪ̯ d n̩
פֿאַרשיכּורן	f a ʁ ʃ ɪ k ə ʁ n̩
פֿאַרשפּרעכן	f a ʁ ʃ p ʁ ɛ χ n̩
פֿאָרשריט	f ɔ r ʃ r ɪ t
פֿאַרשרצונג	f a ʁ ʃ ɛ ʁ ə t͡s ʊ ŋ ɡ
פֿאַרשרצן	f a ʁ ʃ ɛ ʁ ə t͡s n̩
פֿאַרתּכלעווען	f a ʁ t a χ l ə v ə n
פּאַשטעט	p a ʃ t ɛ t
פּאַשען	p a ʃ ə n
פּובליקאַציע	p ʊ b l ɪ k a t͡s j ə
פּוטער	p ʊ t ə ʁ
פֿוטער	f ʊ t ə ʁ
פֿוטער־פּלאַץ	f ʊ t ə ʁ p ɫ a t͡s
פּוטערברויט	p ʊ t ə r b r ɔ ɪ̯ t
פּוטערמילך	p ʊ t ə ʁ m ɪ ɫ χ
פֿויגל	f ɔ ɪ̯ ɡ ɫ̩
פּויזע	p ɔ ɪ̯ z ə
פֿויל	f ɔ ɪ̯ ɫ
פֿויל	f oː ɫ
פֿויל	f o ʊ̯ ɫ
