అ	ɐ
సరే	s ɐ ɾ eː
సర్పము	s̪ a r̪ p a m u
సర్వ	s ɐ ɾ ʋ ɐ
సలాము	s ɐ l aː m ʊ
సవాలు	s ɐ ʋ aː l ʊ
సాగు	s̪ aː ɡ u
సాపాటు	s aː p aː ʈ ʊ
సామెత	s aː m ɛ t̪ ɐ
సామ్యము	s aː m j ɐ m ʊ
సామ్రాజ్యము	s aː m ɾ aː d͡ʑ j ɐ m ʊ
సాయంత్రము	s aː j ɐ n̪ t̪ ɾ ɐ m ʊ
సారి	s aː ɾ ɪ
సింధు	s ɪ n̪ d̪ʱ ʊ
సింహం	s ɪ m̃ h ɐ m̃
సింహము	s ɪ m̃ h ɐ m ʊ
సిక్కు	s ɪ kː ʊ
సిగ్గు	s i ɡː u
సినిమా	s ɪ n̪ ɪ m aː
సిఫార్సు	s ɪ pʰ aː ɾ s ʊ
సిరా	s ɪ ɾ aː
సిరాబుడ్డి	s ɪ ɾ aː b ʊ ɖː ɪ
సిల్వరు	s ɪ l ʋ ɐ ɾ ʊ
సిల్వర్	s ɪ l ʋ ɐ ɾ
సీత	s iː t̪ ɐ
సీతమ్మ	s iː t̪ ɐ mː ɐ
సీతాకోకచిలుక	s iː t̪ aː k oː k ɐ t͡ɕ ɪ l ʊ k ɐ
సీతానగరం	s iː t̪ aː n̪ ɐ ɡ ɐ ɾ ɐ m̃
సీతాపతి	s iː t̪ aː p ɐ t̪ ɪ
సీతాఫలం	s iː t̪ aː pʰ ɐ l ɐ m̃
సీతాఫలము	s iː t̪ aː pʰ ɐ l ɐ m ʊ
సీసా	s iː s aː
సుడి	s u ɖ i
సుతి	s ʊ t̪ ɪ
సుత్తి	s ʊ t̪ː ɪ
సుదినము	s ʊ d̪ ɪ n̪ ɐ m ʊ
సున్న	s ʊ n̪ n̪ ɐ
సుపథం	s ʊ p ɐ t̪ʰ ɐ m̃
సుపథము	s ʊ p ɐ t̪ʰ ɐ m ʊ
సుబా	s ʊ b aː
సూచన	s uː t͡ɕ ɐ n̪ ɐ
సూచించు	s uː t͡ɕ ɪ ɲ t͡ɕ ʊ
సూదనము	s uː d̪ ɐ n̪ ɐ m ʊ
సూది	s uː d̪ ɪ
సెంటీలీటరు	s ɛ ɳ ʈ iː l iː ʈ ɐ ɾ ʊ
సెనగ	s ɛ n̪ ɐ ɡ ɐ
సెలవు	s ɛ l ɐ ʋ ʊ
సేపు	s eː p ʊ
సేవకుడు	s eː ʋ ɐ k ʊ ɖ ʊ
సొంతం	s ɔ n̪ t̪ ɐ m̃
సొంతము	s ɔ n̪ t̪ ɐ m ʊ
సొక్కు	s ɔ kː ʊ
సొరుగు	s o r u ɡ u
సొల్లు	s ɔ lː ʊ
సోమరి	s oː m ɐ ɾ ɪ
సౌందర్యం	s ɐ ʊ̯ n̪ d̪ ɐ ɾ j ɐ m̃
సౌందర్యము	s ɐ ʊ̯ n̪ d̪ ɐ ɾ j ɐ m ʊ
సౌందర్యవతి	s ɐ ʊ̯ n̪ d̪ ɐ ɾ j ɐ ʋ ɐ t̪ ɪ
సౌఖ్యము	s ɐ ʊ̯ kʰ j ɐ m ʊ
సౌదామిని	s ɐ ʊ̯ d̪ aː m ɪ n̪ ɪ
స్తనము	s t̪ ɐ n̪ ɐ m ʊ
స్తనాగ్రము	s t̪ ɐ n̪ aː ɡ ɾ ɐ m ʊ
స్థానము	s t̪ʰ aː n̪ ɐ m ʊ
స్నానము	s n̪ aː n̪ ɐ m ʊ
స్నిగ్ధత	s n̪ ɪ ɡ d̪ʱ ɐ t̪ ɐ
స్మిత	s m ɪ t̪ ɐ
స్వరం	s ʋ ɐ ɾ ɐ m̃
స్వరము	s ʋ ɐ ɾ ɐ m ʊ
స్వల్ప	s ʋ ɐ l p ɐ
హ	x a
హక్కు	h ɐ kː ʊ
హద్దు	h ɐ d̪ː ʊ
హరికథ	h ɐ ɾ ɪ k ɐ t̪ʰ ɐ
హరిణి	x a r̪ i ɳ i
హరిబువ్వము	h ɐ ɾ ɪ b ʊ ʋː ɐ m ʊ
హరివిల్లు	h ɐ ɾ ɪ ʋ ɪ lː ʊ
హస్తప్రయోగం	h ɐ s t̪ ɐ p ɾ ɐ j oː ɡ ɐ m̃
హిందీ	h i n d ī
హిమాలయము	h ɪ m aː l ɐ j ɐ m ʊ
హుషారు	h ʊ ʂ aː ɾ ʊ
హెచ్చు	x e t ʃː u
హైదరాబాదు	h ɐ ɪ̯ d̪ ɐ ɾ aː b aː d̪ ʊ
హోరు	h oː ɾ ʊ
హోరుగాలి	h oː ɾ ʊ ɡ aː l ɪ
ీ	iː
ూ	uː
ృ	r u
ౄ	r uː
ె	e
ే	eː
ై	a j
ౌ	a w
ౘ	t͡s
ౘ	t͡s a
ౘక్కని	t͡s ɐ kː ɐ n̪ ɪ
ౘుల్ల	t͡s ʊ lː ɐ
ౘుల్లి	t͡s ʊ lː ɪ
ౙ	d͡z
ౙ	d͡z a
ౙనుము	d͡z ɐ n̪ ʊ m ʊ
ౙున్ను	d͡z ʊ n̪ n̪ ʊ
ౚ	d
ౚ	d a
ౠ	ɻ̍ː
ౢ	l̩
ౣ	l̩ː
