Achab	aː k a b
nose	n ɔ s ə
nose	n ɔː z ə
nosethirl	n ɔː z ə θ i r l
nostrille	n ɔ s t r i l ə
not	n a t
not	n ɔ t
nothyng	n ɔː θ i n ɡ
nou	n uː
nought	n a u̯ x t
nought	n a x t
nought	n ɔ u̯ x t
nought	n ɔ x t
noumpere	n u m p eː r
noumpere	n uː m p eː r
noumpere	u m p eː r
noumpere	uː m p eː r
noun	n uː n
noy	n i u̯
noy	n iː
noy	n u i̯
noyaunce	n u i̯ a u̯ n s ə
noyen	n i u̯ ə n
noyen	n iː ə n
noyen	n u i̯ ə n
noyous	n u i̯ u s
noyous	n u i̯ uː s
noysaunce	n i u̯ s a u̯ n s ə
noysaunce	n u i̯ s a u̯ n s ə
noyse	n ɔ i̯ z ə
noysen	n ɔ i̯ z ə n
noysom	n u i̯ s u m
nyce	n iː s ə
nycely	n iː s ə l i t͡ʃ ə
nycely	n iː s ə l iː
nyfte	n i f t ə
nyght	n i x t
nyght	n iː t
nyghten	n i x t ə n
nyghtertale	n i x t ə r t aː l ə
nyghtertale	n iː x t ə r t aː l ə
nyghtgale	n i x t ə ɡ aː l ə
nyghtly	n i x t l iː
nyghtly	n iː x t l iː
nyghtyngale	n i x t i n ɡ aː l ə
nyne	n eː ə n ə
nyne	n i ɣ ə n
nyne	n iː n ə
nynetene	n iː n t eː n ə
nynthe	n i ə ð ə
nynthe	n iː n d ə
nynthe	n iː n t ə
nynthe	n iː n ð ə
nynthe	n iː n θ ə
nynthe	n iː ð ə
nynty	n eː n t iː
nynty	n iː n t iː
nyȝtschade	n i x t ʃ aː d ə
nyȝtschade	n i x t ʃ ɔ d ə
o	ɔː
oblacioun	ɔ b l aː s i uː n
oblacioun	ɔ b l aː s j uː n
obligacioun	ɔ b l i ɡ aː s i uː n
obligacioun	ɔ b l i ɡ aː s j u n
obligatorie	ɔ b l i ɡ a t ɔː r iː ə
obligatorie	ɔ b l i ɡ aː t ɔː r iː ə
obligen	ɔ b l iː d͡ʒ ə n
obligen	ɔ b l iː s ə n
obligen	ɔ b l iː ʃ ə n
obligen	ɔ b l ɛː d͡ʒ ə n
oblivion	ɔ b l i v i u n
oblivion	ɔ b l iː v i u n
oblivious	ɔ b l i v i u s
oblivious	ɔ b l iː v i u s
obumbren	a b u m b r ə n
obumbren	ɔ b u m b r ə n
occean	ɔ k s j a n
occean	ɔː s j a n
odde	ɔ d ə
oddely	ɔ d ə l iː
oddenesse	ɔ d ə n ɛ s ə
odour	ɔ d uː r
odour	ɔː d u r
odour	ɔː d uː r
odour	ɔː d ə r
ofcast	ɔ f k a s t
ofcastyng	ɔ f k a s t i n ɡ
ofdreden	ɔ f d r eː d ə n
ofdreden	ɔ f d r ɛː d ə n
office	ɔ f i s ə
office	ɔ f iː s ə
officen	ɔ f i s ə n
officen	ɔ f iː s i ə n
officen	ɔ f iː s ə n
officer	ɔ f i s eː r
officer	ɔ f i s ə r
official	ɔ f i s i a l
official	ɔ f i s i aː l
ofputtinge	ɔ f p u t i n ɡ
ofte	ɔ f t
often	ɔ f t ə n
oken	aː k ə n
oken	ɔː k ə n
oken	ɛː k ə n
olde	a l d
olde	ɔː l d
olfent	ɔ l v ə n d
olyve	ɔ l i f
olyve	ɔ l i v a
olyve	ɔ l i v ə
omissioun	ɔ m i s j u n
omissioun	ɔ m i s j ə n
omitten	ɔ m i t ə n
onerous	ɔ n ɛ r u s
onerous	ɔ n ɛ r uː s
ones	ɔ n ə s
ones	ɔː n ə s
onfrend	u n f r eː n d
onfrend	u n f r ɛ n d
onyoun	u i̯ n j u n
onyoun	u i̯ n j uː n
onyoun	u n j u n
onyoun	u n j uː n
oo	aː
oo	ɑː
oo	ɔː
ook	ɑː k
ook	ɔː k
oon	ɔ n
oon	ɔː n
ooneyed	ɔ n iː i d
ooneyed	ɔ n ɛ i̯ i d
ooneyed	ɔː n iː i d
ooneyed	ɔː n ɛ i̯ i d
oonly	ɔː n l iː
oonnesse	aː n n ɛ s
oonnesse	ɑː n n ɛ s ə
oonnesse	ɔː n n ɛ s ə
opposicioun	ɔ p ɔ z i s j uː n
opposicioun	ɔ p ɔː z i s j u n
opposicioun	ɔ p ɔː z i s j uː n
or	oː r
oracle	ɔː r aː k ə l
oratorie	ɔ r a t ɔː r iː ə
oratour	ɔ r a t u r
oratour	ɔ r a t uː r
oratour	ɔ r aː t u r
ordel	ɔ r d aː l
ordel	ɔ r d ɛː l
ordure	ɔ r d i u̯ r ə
ore	aː r
ore	ɑː r ə
ore	ɔː r ə
oreles	ɔː r ə l ɛː s
oren	ɑː r ə n
oren	ɔː r ə n
orenge	ɔ r a u̯ n d͡ʒ ə
orenge	ɔ r i n d͡ʒ ə
orenge	ɔ r ɛ n d͡ʒ ə
orf	ɔ r f
orfray	ɔ r f r iː
orfray	ɔ r f r æ i̯ s
organic	ɔ r ɡ a n iː k
organic	ɔ r ɡ a n iː s
original	ɔ r i ɡ i n a l
original	ɔ r i ɡ i n aː l
original	ɔ r iː ɡ i n a l
originali	ɔ r i ɡ i n a l iː
originali	ɔ r i ɡ i n a l iː t ʃ ə
originali	ɔ r i ɡ i n aː l i
origyne	ɔ r i d ʒ i n ə
origyne	ɔ r iː d ʒ i n ə
orped	ɔ r p ə d
orpedliche	ɔ r p ɛ d l iː
orpedliche	ɔ r p ɛ d l iː t ʃ ə
orpyment	ɔ r p i m ɛ n t
orte	ɔ r t ə
orthodoxe	ɔ r t ɔ d ɔ k s ə
ortographie	ɔ r t ɔ ɡ r a f iː ə
osel	oː z l ə
osel	oː z ə l
ospray	ɔ s p r ɛ i̯
ostrich	ɔ s t r i d ʒ
ostrich	ɔ s t r i t ʃ
ote	aː t
ote	ɑː t ə
ote	ɔː t ə
otemele	aː t ə m ɛː l ə
otemele	ɑː t ə m ɛː l ə
otemele	ɔ t ə m ɛː l ə
otemele	ɔː t ə m ɛː l ə
oten	ɑː t ə n
oten	ɔː t ə n
oter	ɒː t ə r
oter	ɔ t ə r
oter	ɔː t ə r
oth	ɔː θ
other	o ð ə r
other	oː ð ə r
ought	a u̯ x t
ought	ɔ u̯ x t
oule	uː l ə
ounce	u n s ə
ounce	uː n s ə
oure	u r ə
oure	uː r
oure	uː r ə
oures	uː r i s
oures	uː r z
oute	uː t ə
outfous	uː t f uː s
outward	uː t w a r d
outward	uː t w aː r d
outwardes	uː t w a r d z
outwardes	uː t w a r d ə s
outwardes	uː t w aː r d ə s
outwardly	uː t w a r d l iː
outwardly	uː t w aː r d l iː
over	ɔ v ə r
over	ɔː v ə r
overchaufen	ɔː v ə r t ʃ a u̯ f ə n
overchaufen	ɔː v ə r t ʃ aː f ə n
overfeble	ɔː v ə r f eː b l ə
overfeble	ɔː v ə r f eː b ə l
overflowen	ɔ v ə r f l ɔ u̯ ə n
overflowen	ɔː v ə r f l ɔ u̯ ə n
overriden	ɔ v ə r r iː d ə n
overriden	ɔː v ə r r iː d ə n
ovet	ɔː v ɛ t
owen	ɔ u̯ ə n
oxe	ɔ k s ə
oxeherde	ɔ k s a r d ə
oxeherde	ɔ k s ə h u r d ə
oxeherde	ɔ k s ə h ɛ r d ə
oximel	ɔ k s i m ɛ l
oxtonge	ɔ k s ə t u n ɡ ə
oyle	u i̯ l ə
oyle	u l i ə
oyler	u i̯ l ə r ə
oystre	ɔ i̯ s t r ə
oystre	ɔ i̯ s t ə r
oystre	ɔ s t r eː ə
oystre	ɔ s t ə r
pacche	p a t͡ʃ ə
pacience	p aː s i ɛ n s ə
pacience	p aː s j ɛ n s ə
pacient	p aː s i ɛ n t
pacient	p aː s j ɛ n t
pacquet	p a k i t
pacquet	p a k ɛ t
pagent	p a d͡ʒ a n t
pagent	p a d͡ʒ ɛ n t
paire	p æ i̯ r ə
pak	p a k ə
pakken	p a k ə n
pakkere	p a k ə r ə
pakkynge	p a k i n ɡ ə
palate	p a l a t
palate	p a l ə t
paleys	p a l i s
paleys	p a l æ i̯ s
paleys	p a l ɛ s
pallioun	p a l i uː n
pallioun	p a l j u n
palmer	p a l m ə r ə
pancake	p a n k aː k ə
pane	p a n ə
panel	p a n ə l
panel	p a n ɛː l
panetrie	p a n ə t ə r iː ə
panne	p a n ə
panten	p a n t ə n
panter	p a n t eː r ə
panter	p a n t ə r ə
panter	p a n t ɛː r ə
panter	p a n ə t eː r
panter	p a n ə t ə r
panterere	p a n t ə l ə r ə
panterere	p a n t ə l ɛː r ə
panterere	p a n t ə r ə r ə
panterere	p a n t ə r ɛː r ə
paper	p a p eː r
paper	p a p ə r
paper	p aː p eː r
paper	p aː p iː r
paper	p aː p ə r
papirus	p a p iː r u s
papirus	p ə p iː r u s
parable	p a r a b ə l
parable	p a r aː b l ə
parable	p a r aː b ə l
paraf	p a r a f
parage	p a r aː d͡ʒ ə
paramour	p a r a m u r
paramour	p a r a m uː r
paramour	p a r ə m u r
parchemyn	p a r t͡ʃ i m i n
parchemyn	p a r t͡ʃ i m iː n
parchemyn	p a r t͡ʃ i m ɛ n t
parde	p a r d eː
parde	p a r d ɛ u̯ s
parde	p ɛ r d eː
parisshe	p a r i s ə
parisshe	p a r i ʃ ə
parisshe	p a r ɔ t ʃ ə
parisshen	p a r i s i ə n
parisshen	p a r i ʃ i ə n
parisshen	p a r ɔ t ʃ i ə n
parisshoner	p a r i ʃ ə n ə r
parlement	p a r l i a m ɛ n t
parlen	p a r l ə n
parlour	p a r l u r
parlour	p a r l uː r
parten	p a r t ə n
partrich	p a r t r i t͡ʃ
partrich	p aː r t r i k
partrich	p aː r t r i t͡ʃ
partrich	p ɛ r t r i t͡ʃ
passen	p a s ə n
passional	p a s i oː n aː l
passional	p a s j u n aː l
passionat	p a s i oː n aː t
passionat	p a s j u n aː t
passioun	p a s i uː n
passioun	p a s j u n
passyf	p a s i f
passyf	p a s i v ə
passyf	p a s iː f
passyf	p a s iː v ə
patene	p a t ɛ i̯ n ə
patene	p a t ɛ n
patene	p a t ɛː n ə
patent	p a t ɛ n t
path	p a θ
path	p aː θ
path	p ɛ θ
pathen	p a θ ə n
pathen	p aː θ ə n
pathynge	p a θ i n ɡ ə
pathynge	p aː θ i n ɡ ə
patronage	p a t r u n a d͡ʒ ə
patronage	p a t r u n aː d͡ʒ ə
patronesse	p a t r u n ɛ s ə
patronesse	p aː t r u n ɛ s ə
patroun	p aː t r oː n ə
patroun	p aː t r u n ə
patroun	p aː t r uː n ə
patroun	p aː t r ɔ n ə
patyn	p a t i n
patyn	p a t iː n
patyner	p a t i n eː r
patyner	p a t i n ə r
patynmaker	p a t i n m aː k ə r ə
paunce	p a n s ə
paunce	p a u̯ n s ə
paunche	p a n t͡ʃ ə
paunche	p a u̯ n t͡ʃ ə
pauncher	p a n t͡ʃ ə r ə
pauncher	p a u̯ n t͡ʃ eː r ə
pauncher	p a u̯ n t͡ʃ ə r ə
pautener	p a u̯ t ə n eː r
pautener	p a u̯ t ə n eː r ə
pautener	p a u̯ t ə n ə r
pautener	p a u̯ t ə n ə r ə
pawe	p a u̯ ə
pawe	p ɔ u̯ ə
pax	p a k s
paxbrede	p a k s b r æː d ə
paxbrede	p a k s b r ɛ d ə
paxbrede	p a k s b r ɛː d ə
payen	p aː ə n
payen	p ɛ i̯ n
payen	p ɛ i̯ ə n
payenie	p æ i̯ ə n iː ə
payle	p ɛ i̯ l
paynym	p ɛ i̯ n i m ə
pece	p ɛː s ə
peche	p ɛː t͡ʃ ə
pees	p ɛ s
pees	p ɛː s
pegge	p ɛ ɡ ə
pele	p ɛ l ə
pele	p ɛː l ə
pelen	p ɛː l ə n
pellican	p ɛ l i k a n
pen	p ɛ n
pencioun	p ɛ n s i uː n
pencioun	p ɛ n s j u n
penne	p ɛ n ə
pennen	p ɛ n ə n
penner	p ɛ n a r ə
penner	p ɛ n ə r ə
peny	p ɛ n iː
penywort	p ɛ n iː w u r t
peper	p i p ə r
peper	p ɛ p ə r
peple	p eː p l ə
peple	p eː p ə l
peple	p i u̯ p l ə
peple	p i u̯ p ə l
pepyrquerne	p ɛ p ə r k w ɛ r n
pepyrquerne	p ɛ p ə r k w ɛː r n
perche	p ɛ r t͡ʃ ə
perche	p ɛː r t͡ʃ ə
percher	p ɛ r t͡ʃ ə r ə
perchyn	p ɛ r t ʃ ə n
pere	p eː r
pere	p ɛ r ə
pere	p ɛː r ə
pereles	p eː r l ɛ s
pereles	p eː r l ɛː s
perer	p ɛ r ə r
perer	p ɛː r ə r
peretre	p ɛː r ə t r eː
peril	p a r ə l
peril	p ɛ r i l
peril	p ɛ r iː l
peril	p ɛ r ə l
perilous	p a r i l uː s
perilous	p ɛ r i l uː s
perilously	p a r i l u s iː
perilously	p ɛ r i l u s l iː
perilously	p ɛ r i l uː s l iː
perle	p ɛ r l ə
perle	p ɛː r l ə
perled	p ɛ r l i d
perled	p ɛː r l i d
perled	p ɛː r l ɛ d
perre	p ɛ r eː
perre	p ɛ r iː ə
perre	p ɛ r æ i̯
pers	p ə r s
persely	p ɛ r s i l iː
persely	p ɛ r s ə l iː
persely	p ɛ r s ɛ l
pese	p ɛː z ə
pesecod	p ɛ s k ɔ d ə
pesecod	p ɛː z ə k ɔ d ə
pestel	p ɛ s t ə l
pestel	p ɛ s t ɛ l
pety	p ɛ t eː
pety	p ɛ t iː
peutre	p ɛ u̯ t r ə
peutre	p ɛ u̯ t ə r
pewe	p i u̯ ə
pibel	p eː b ə l
pibel	p i b ə l
pibel	p ɛ b ə l
pichfork	p i k ə̩ f ɔ r k ə
pichfork	p i t ʃ ə̩ f ɔ r k ə
piete	p iː ə t eː
piete	p iː ɛ t eː
pigge	p i ɡ ə
pigment	p i ɡ m ɛ n t
piken	p i k ə n
piken	p iː k ə n
piker	p i k ə r ə
piker	p iː k ə r ə
pikerel	p i k ə ɹ ɛ l
pikyng	p i k i n ɡ
pikyng	p iː k i n ɡ
pilche	p i l t͡ʃ ə
pilche	p u l t͡ʃ ə
pilche	p ɛ l t͡ʃ ə
pilwe	p i l i u̯
pilwe	p i l w ə
pilwe	p i l ɔ u̯
pipe	p iː p ə
pipen	p iː p ə n
piper	p iː p ə r ə
pirie	p i r iː ə
pirie	p ɛ r iː ə
pisse	p i s ə
pisse	p i ʃ ə
pissemyre	p i s ə m iː r ə
pissemyre	p i s ə m uː r ə
pissemyre	p i s ə m ə r ə
pissen	p i s ə n
pissen	p i ʃ ə n
pissere	p i s ə r ə
pite	p i t eː
pite	p i t iː
pith	p eː θ ə
pith	p i ð ə
pith	p i θ ə
place	p l a s ə
place	p l aː s ə
placebo	p l aː s ɛː b ɔː
placen	p l aː s ə n
plage	p l aː ɡ ə
planteyne	p l a u̯ n t æ i̯ n ə
planteyne	p l æ i̯ n t æ i̯ n ə
plater	p l a t ə r
plater	p l a t ɛː r
playce	p l æ i̯ s ə
playing	p l ɛ i̯ i n ɡ
playing	p l ɛ i̯ n ɡ
playing	p l ɛ i̯ ə n ɡ
ple	p l æ i̯
ple	p l æ i̯ t
ple	p l ɛː
ple	p l ɛː t
pleiful	p l ɛ i̯ f u l
plente	p l ɛ n t eː
plesaunte	p l ɛ z a n t
plesaunte	p l ɛ z a u̯ n t
plesen	p l ɛː z ə n
pleye	p l æ i̯ ə
pleyen	p l æ i̯ ə n
pleyer	p l ɛ i̯ ə r
plicchen	p l i t͡ʃ ə n
plicchen	p l u t͡ʃ ə n
plomme	p l u m ə
plomme	p l uː m ə
plough	p l uː x
plover	p l u v eː r
plover	p l u v ə r
plukken	p l u k ə n
plumtre	p l u m t r eː
plunket	p l u n k ɛ t
plurelle	p l i u̯ r aː l
plurelle	p l i u̯ r ɛ l
po	p a u̯ ə
po	p aː
po	p ɔː
po	p ɛː
pocioun	p ɔ s j uː n
pocioun	p ɔː s j u n
pocioun	p ɔː s j uː n
podynge	p u d i n ɡ ə
poisoun	p u i z ɔ n
poisoun	p u i z ə n
poisoun	p u i̯ z uː n
poke	p ɔː k ə
poleyn	p u l i n
poleyn	p u l æ i̯ n
polle	p ɔ l
pollucion	p ɔ l i u̯ s i uː n
pollucion	p ɔ l i u̯ s j u n
polluten	p ɔ l i u̯ t ə n
pome	p oː m ə
pome	p uː m ə
pome	p ɔ m ə
pome	p ɔː m ə
pomel	p u m ɛ l
pomel	p u m ɛː l
pope	p ɔː p ə
popedome	p ɔː p d oː m
popedome	p ɔː p d ɔ m
popehode	p ɔː p ə h ɔː d
popehode	p ɔː p ə h ɛː d
poperiche	p ɔː p ə r iː t͡ʃ ə
popet	p oː p ɛ t
popet	p u p ɛ t
popet	p ɔ p ɛ t
popy	p a p iː
popy	p ɔ p iː
porcioun	p ɔ r s i uː n
porcioun	p ɔ r s j u n
pork	p ɔ r k
pork	p ɔː r k
porpeys	p ɔ r p i s
porpeys	p ɔ r p æ i̯ s
porter	p ɔ r t eː r
porter	p ɔ r t ə r
posicioun	p ɔ z i s j u n
posicioun	p ɔ z i s j uː n
pot	p ɔ t
potable	p ɔ t aː b ə l
potable	p ɔː t aː b ə l
potacion	p ɔ t aː s j uː n
potacion	p ɔː t aː s j uː n
potage	p ɔ t aː d͡ʒ ə
potager	p ɔ t aː d ʒ ə r ə
potell	p ɔ t ə l
poteller	p ɔ t ə l ə r ə
potent	p ɔː t ɛ n t
potentat	p ɔː t ɛ n t aː t
potestat	p ɔː t ɛ s t aː t
potful	p ɔ t f u l
poudre	p uː d r ə
poudre	p uː d ə r
poudre	p uː ð ə r
poudren	p uː d ə r ə n
poudren	p uː ð ə r ə n
pouke	p u k ə
pouke	p uː k ə
pound	p u n d
pound	p uː n d
pounen	p uː n ə n
pouse	p uː s
pouste	p uː s t eː
povre	p oː r ə
povre	p ɔ v r ə
pown	p a u̯ n
pown	p uː n
poynaunt	p u i̯ n a n t
poynaunt	p u i̯ n a u̯ n t
poynen	p u i̯ n ə n
poynt	p u i̯ n t
poynt	p u i̯ n t ə
praten	p r aː t ə n
prechynge	p r ɛː t͡ʃ i n ɡ
preposicioun	p r ɛː p ɔ z i s j u n
preposicioun	p r ɛː p ɔ z i s j uː n
prest	p r eː s t
prest	p r ɛ s t
prest	p r ɛː s t
presthode	p r eː s t h ɔː d
presthode	p r eː s t h ɛː d
prestly	p r eː s t l iː
prestly	p r ɛ s t l iː
previsioun	p r ɛː v i z j u n
previsioun	p r ɛː v i z j uː n
prisner	p r i z n ə r
prisoner	p r i z u n eː r
prisoner	p r i z u n ə r
prisoun	p r i z uː n
prisoun	p r i z ɔ n
prisoun	p r i z ə n
pro	p r ɔː
probleme	p r ɔ b l eː m ə
probleme	p r ɔ b l ɛ m ə
pronouncen	p r ɔː n uː n s ə n
pronunciacioun	p r ɔː n u n s i aː s i uː n
pronunciacioun	p r ɔː n u n s i aː s j u n
prophecie	p r ɔ f ə s iː ə
prophecie	p r ɔ f ɛ s iː ə
prophecie	p r ɔ f ɛː s iː ə
prophecien	p r ɔ f ə s iː ə n
prophecien	p r ɔ f ɛ s iː ə n
prophecien	p r ɔ f ɛː s iː ə n
prophete	p r ɔ f i t ə
prophete	p r ɔ f ə t ə
prophete	p r ɔ f ɛ t ə
prophete	p r ɔ f ɛː t ə
prophetesse	p r ɔ f ɛ t i s ə
prophetesse	p r ɔ f ɛ t ɛ s ə
prophetesse	p r ɔ f ɛː t ɛ s ə
propinquite	p r ɔ p i n k w i t eː
proposicioun	p r ɔ p ɔ z i s j uː n
proposicioun	p r ɔː p ɔ z i s j u n
proposicioun	p r ɔː p ɔ z i s j uː n
prosperite	p r ɔ s p ɛ r i t eː
proud	p r uː d
provisioun	p r ɔ v i z j u n
provisioun	p r ɔ v i z j uː n
provisioun	p r ɔ v iː z j uː n
provisioun	p r ɔː v i z j u n
provisioun	p r ɔː v i z j uː n
provynce	p r ɔ v i n s ə
provynce	p r ɔː v i n s ə
prune	p r i u̯ n ə
pryde	p r eː d ə
pryde	p r i d ə
pryde	p r iː d ə
pryde	p r iː t ə
pryde	p r yː d ə
pryde	p r yː t ə
pryden	p r iː d ə n
pulet	p u l ɛ t
pullayle	p u l i l
pullayle	p u l ɛ i̯ l
pulle	p u l
pulpit	p u l p i t
puls	p u l s
pulter	p u l ə t eː r
pulter	p u l ə t ə r
pultes	p u l t i s
pultes	p u l t ɛ s
pultrie	p u l t ə r iː ə
pure	p i u̯ r
purgacioun	p u r ɡ aː s i uː n
purgacioun	p u r ɡ aː s j u n
purgatorie	p u r ɡ ə t ɔː r iː ə
purgen	p u r d͡ʒ ə n
purgynge	p u r d͡ʒ i n ɡ ə
purpel	p u r p u l
purpel	p u r p ə l
pursyf	p u r s i f
pursyf	p u r s iː f
pycchen	p i t͡ʃ ə n
pye	p iː ə
pygeoun	p i d͡ʒ u n
pygeoun	p i d͡ʒ uː n
pyke	p i k
pyke	p iː k
pykeharneys	p i k ə h a r n ə s
pykeharneys	p i k ə h a r n ɛ i̯ s
pykeharneys	p iː k ə h a r n ə s
pyle	p iː l ə
pynden	p eː n d ə
pynden	p i n d ə n
pynden	p iː n d ə n
pynden	p u n d ə
pynden	p y n d ə
pynden	p yː n d ə
pynden	p ɛ n d ə
pyntel	p i n t ə l
pyssepotte	p i s ə p ɔ t
pyssynge	p i s i n ɡ
quaken	k w aː k ə n
qualm	k w a l m
quantite	k w a n t i t eː
quappen	k w a p ə n
quarter	k w a r t eː r
quarter	k w a r t ə r
quaschen	k w a s ə n
quaschen	k w a ʃ ə n
quayle	k w æ i̯ l ə
quaylen	k w æ i̯ l ə n
quaylen	k w ɛː l ə n
quelen	k w æː l ə n
quelen	k w ɛː l ə n
quellen	k w ɛ l ə n
quellere	k w ɛ l ə r ə
quenchen	k w ɛ n t͡ʃ ə n
quene	k w eː n ə
quene	k w æː n ə
quene	k w ɛː n ə
quern	k w eː r n
quern	k w ɛ r n
quest	k w ɛ s t ə
questen	k w ɛ s t ə n
questioun	k w ɛ s t i uː n
questioun	k w ɛ s t j u n
questioun	k w ɛ s t j uː n
questor	k w ɛ s t u r
questor	k w ɛ s t uː r
quethen	k w ɛː ð ə n
queynte	k w u i̯ n t ə
queynte	k w ɔ i̯ n t ə
queynte	k w ɛ i̯ n t ə
queynte	k ɔ i̯ n t ə
quibibe	k i u̯ b i u̯ b ə
quibibe	k w i b i b ə
quibibe	k w i b iː b ə
quilte	k w i l t ə
quiste	k w i s t
quiste	k w ɛ s t
quiver	k w i v ə r
quyk	k w eː k
quyk	k w i k
quykly	k w i k l iː
quykly	k w iː k l iː
quyknesse	k w i k n ɛ s ə
quyknesse	k w iː k n ɛ s ə
quyksande	k w i k ə s a n d
quyksande	k w i k ə s aː n d
quyksande	k w i k ə s ɔ n d
quynce	k w i n s
quynce	k w ɛ n s
quysshyn	k u ʃ i n
quysshyn	k u ʃ iː n
quysshyn	k w i ʃ i n
quysshyn	k w i ʃ iː n
quytaunce	k w i t a n s ə
quytaunce	k w i t a u̯ n s ə
raby	r a b iː
raby	r aː b iː
rache	r a t ʃ
rad	r a d
rad	r aː d
radiche	r a d i k ə
radiche	r a d i t͡ʃ ə
radiche	r a d i ʃ ə
radiche	r aː d i t͡ʃ ə
ragge	r a ɡ
ragged	r a ɡ i d
raggy	r a ɡ iː
rakente	r a k ə n t ə
rakente	r ɛ k ə n t ə
raketeye	r a k ə n t eː ɣ ə
raketeye	r a k ə n t ɛː ɣ ə
raketeye	r a k ə t iː ə
raketeye	r a k ə t ɛ i̯ ə
ram	r a m
ram	r aː m
ram	r ɔ m
ramese	r a m p s ə
ramese	r a m z ə
ramson	r a m p s ə n
rancour	r a n k u r
rancour	r a n k uː r
rancour	r a n k ə r
randoun	r a n d u n
randoun	r a n d uː n
randoun	r a u̯ n d u n
randoun	r a u̯ n d uː n
rare	r aː r ə
rare	r ɛː r ə
rarefien	r a r ɛ f iː ə n
rarefien	r aː r ɛ f iː ə n
rathe	r a ð ə
rathe	r aː ð ə
rathere	r a ð ə r ə
rathere	r aː ð ə r ə
ratoner	r a t u n eː r
ratoner	r a t u n ə r
ratoun	r a t u n
ratoun	r a t uː n
ratte	r a t ə
raunsonen	r a n s u m ə n
raunsonen	r a n s u n ə n
raunsonen	r a n s uː n ə n
raunsonen	r a u̯ n s u m ə n
raunsonen	r a u̯ n s u n ə n
raunsonen	r a u̯ n s uː n ə n
raunsoner	r a n s u m ə r ə
raunsoner	r a n s u n ə r ə
raunsoner	r a n s uː n ə r ə
raunsoner	r a u̯ n s u m ə r ə
raunsoner	r a u̯ n s u n ə r ə
raunsoner	r a u̯ n s uː n ə r ə
raunsonynge	r a n s u m i n ɡ
raunsonynge	r a n s u n i n ɡ
raunsonynge	r a n s uː n i n ɡ
raunsonynge	r a u̯ n s u m i n ɡ
raunsonynge	r a u̯ n s u n i n ɡ
raunsonynge	r a u̯ n s uː n i n ɡ
raunsoun	r a n s u m
raunsoun	r a n s u n
raunsoun	r a n s uː n
raunsoun	r a u̯ n s u m
raunsoun	r a u̯ n s u n
raunsoun	r a u̯ n s uː n
rawe	r a u̯
raymen	r æ i̯ m ə n
raysyn	r ɛ i̯ z i n
raysyn	r ɛː z i n
raysyn	r ɛː z iː n
real	r iː a l
real	r ɛː a l
rebel	r ɛ b ə l
rebel	r ɛ b ɛ l
rebel	r ɛː b ə l
rebellen	r i b ɛ l ə n
rebellen	r ɛ b ɛ l ə n
rebellen	r ɛː b ɛ l ə n
rebellioun	r ɛ b ɛ l i u n
rebellioun	r ɛ b ɛ l i uː n
rebellioun	r ɛ b ɛ l j u n
rebellioun	r ɛ b ɛ l j uː n
rebellious	r ɛ b ɛ l i u s
rebellious	r ɛ b ɛ l i uː s
rebellious	r ɛ b ɛ l j u s
rebellious	r ɛ b ɛ l j uː s
rebellious	r ɛ b ɛ l u s
rebellious	r ɛ b ɛ l uː s
rebelloure	r ɛ b ɛ l u r
rebelloure	r ɛ b ɛ l uː r
rebellyng	r i b ɛ l i n ɡ
rebellyng	r ɛ b ɛ l i n ɡ
rebellyng	r ɛː b ɛ l i n ɡ
rebelnesse	r ɛ b ɛ l n ɛ s
rebelte	r ɛ b ɛ l t eː
receptacle	r ɛ s ɛ p t aː k l ə
receptacle	r ɛ s ɛ p t aː k ə l
recomaunden	r ɛ k u m a n d ə n
recomaunden	r ɛ k u m a u̯ n d ə n
recommendacioun	r ɛ k u m ɛ n d aː s i uː n
recommendacioun	r ɛ k u m ɛ n d aː s j u n
recommenden	r ɛ k u m ɛ n d ə n
recoveraunce	r ɛ k u v ə r a n s ə
recoveraunce	r ɛ k ɔ v ə r a n s ə
recoveraunce	r ɛ k ɛ v ə r a n s ə
recovere	r ɛ k u v ə r
recovere	r ɛ k ɔ v ə r
recovere	r ɛ k ɛ v ə r
recoveree	r ɛ k u v ə r eː
recoveree	r ɛ k ɔ v ə r eː
recoveren	r ɛ k u v ə r ə n
recoveren	r ɛ k ɔ v ə r ə n
recoveren	r ɛ k ɛ v ə r ə n
recoverer	r ɛ k u v ə r iː r
recoverer	r ɛ k u v ə r ə r
recoverer	r ɛ k u v ə r ɛː r
recoveryng	r ɛ k u v ə r i n ɡ
recoveryng	r ɛ k ɔ v ə r i n ɡ
recoveryng	r ɛ k ɛ v ə r i n ɡ
recreaunt	r ɛ k r ɛː a u̯ n t
recreyen	r ɛː k r æ i̯ ə n
red	r eː d
red	r øː d
red	r ɛː d
redden	r ɛ d ə n
rede	r ɛː d ə
redemen	r ɛ d eː m ə n
redempcioun	r ɛ d ɛ m p s j u n
redempcioun	r ɛ d ɛ m p s j uː n
redemptoure	r ɛ d ɛ m p t u r
redemptoure	r ɛ d ɛ m p t uː r
reden	r eː d ə n
reden	r ɛː d ə n
redere	r ɛː d ə r ə
redere	r ɛː d ɛː r ə
redresse	r ɛ d r ɛ s ə
redressen	r ɛ d r ɛ s ə n
redressynge	r ɛ d r ɛ s i n ɡ ə
refuge	r ɛ f i u̯ d͡ʒ ə
refute	r ɛ f i u̯ t ə
