ꜣ	ɑ
sꜣḫ	s ɛ ɑ x
sꜣḫꜣḫ	s ɛ ɑ x ɑ x
sꜣsꜣ	s ɑ s ɑ
sꜣq	s aː ʀ a qʼ
sꜣq	s aː ʀ a qʼ
sꜣq	s aː ʔ ə qʼ
sꜣq	s oː ʔ ə qʼ
sꜣq	s aː ʀ a qʼ
sꜣq	s aː ʀ a qʼ
sꜣq	s aː ʔ ə qʼ
sꜣq	s oː ʔ ə qʼ
sꜣq	s ɑ k
sꜣkꜣmꜣ	s ɑ k ɑ m ɑ
sꜣg	s ɑ ɡ
sꜣgꜣ	s a kʼ
sꜣgꜣ	s a kʼ
sꜣgꜣ	s ɛ ɡ
sꜣdjꜥmj	s ɑ d i ɑː m i
sj	s i j
sj	s i j
sj	s i j
sj	s i j
sj	s i
sjꜣ	s aː j a ʀ
sjꜣ	s aː j a ʀ
sjꜣ	s aː ʔ ə
sjꜣ	s oː ʔ
sjꜣ	s aː j a ʀ
sjꜣ	s aː j a ʀ
sjꜣ	s aː ʔ ə
sjꜣ	s oː ʔ
sjꜣ	s i ɑ
sjꜣt	s ɛ i ɑ t
sjꜥr	s ɛ i ɑː r
sjp	s ɛ i p
sjm	s i m
sjn	s i n
sjnj	s i n i
sjnw	s i n uː
sjhm	s ɛ i h ɛ m
sjzj	s ɛ i z i
sjsjw	s a ɾ s i j j a w
sjsjw	s a ɾ s i j j a w
sjsjw	s i s i uː
sjsw	s a ɾ s a w
sjsw	s a j s a w
sjsw	ʔ ə s s a w
sjsw	ʔ ə s s a w
sjsw	s a ɾ s a w
sjsw	i
sjsw	s a j s a w
sjsw	ʔ ə s s a w
sjsw	ʔ ə s s a w
sjsw	s i s uː
sjsnw	s i s n uː
sjdj	s ɛ i d i
sꜥꜣj	s ɛ ɑː ʔ ɑ i
sꜥb	s ɑː b
sꜥnj	s ɛ ɑː n i
sꜥnḫ	s a ʕ n a χ
sꜥnḫ	s a ʕ n a χ
sꜥnḫ	s a ʕ n ə χ
sꜥnḫ	s a ʕ n ə χ
sꜥnḫ	s a ʕ n a χ
sꜥnḫ	s a ʕ n a χ
sꜥnḫ	s a ʕ n ə χ
sꜥnḫ	s a ʕ n ə χ
sꜥnḫ	s ɛ ɑː n x
sꜥr	s ɛ ɑː r
sꜥḥ	s ɑː h
sꜥḥꜥ	s ɛ ɑː h ɑː
sꜥsꜥ	s ɑː s ɑː
sꜥšꜣ	s ɛ ɑː ʃ ɑ
sꜥq	s ɛ ɑː k
sw	s u w
sw	s u w
sw	s u
sw	s u
sw	s u w
sw	s u w
sw	s u
sw	s u
sw	s uː
swꜣj	s i w ʀ i t
swꜣj	s i w ʀ i ʔ
swꜣj	s e ʔ j a
swꜣj	s e ʔ j ə
swꜣj	s i w ʀ i t
swꜣj	s i w ʀ i ʔ
swꜣj	s e ʔ j a
swꜣj	s e ʔ j ə
swꜣj	s uː ɑ i
swꜣj	s ɛ w ɑ i
swꜣḏ	s ɛ w ɑ d͡ʒ
swꜥb	s ɛ w ɑː b
swn	s uː n
swn	s ɛ w ɛ n
swnw	s uː n uː
swnt	s uː n ɛ t
swrd	s ɛ w ɛ r ɛ d
swḥt	s a w ħ V t
swḥt	s a w ħ V ʔ
swḥt	s a w ħ a
swḥt	s a w ħ ə
swḥt	s a w ħ V t
swḥt	s a w ħ V ʔ
swḥt	s a w ħ a
swḥt	s a w ħ ə
swḥt	s uː h ɛ t
swḫ	s ɛ w ɛ x
swḫꜣ	s ɛ w ɛ x ɑ
swsḫ	s ɛ w ɛ s ɛ x
swt	s uː t
swdfj	s ɛ w ɛ d ɛ f i
swḏ	s ɛ w ɛ d͡ʒ
swḏꜣ	s ɛ w ɛ d͡ʒ ɑ
sbꜣ	s iː b a ʀ
sbꜣ	s iː b a ʀ
sbꜣ	s iː b ə
sbꜣ	s iː β
sbꜣ	s iː b a ʀ
sbꜣ	s iː b a ʀ
sbꜣ	s iː b ə
sbꜣ	s iː β
sbꜣ	s ɛ b ɑ
sbꜣ	s a b i ʀ
sbꜣ	s a b i ʀ
sbꜣ	s ə b e ʔ
sbꜣ	s ə β e ʔ
sbꜣ	s a b i ʀ
sbꜣ	s a b i ʀ
sbꜣ	s ə b e ʔ
sbꜣ	s ə β e ʔ
sbꜣ	s ɛ b ɑ
sbꜣ	s a b a ʀ
sbꜣ	s a b a ʀ
sbꜣ	s ə b a ʔ
sbꜣ	s ə β a ʔ
sbꜣ	s a b a ʀ
sbꜣ	s a b a ʀ
sbꜣ	s ə b a ʔ
sbꜣ	s ə β a ʔ
sbꜣ	s ɛ b ɑ
sbꜣyt	s a b ʀ aː j a ʔ
sbꜣyt	s ə b aː ʔ ə
sbꜣyt	s ə β oː ʔ
sbꜣyt	s a b ʀ aː j a ʔ
sbꜣyt	s ə b aː ʔ ə
sbꜣyt	s ə β oː ʔ
sbꜣyt	s ɛ b ɑ iː t
sbꜣw	s ɛ b ɑ uː
sbꜣqj	s ɛ b ɑ k i
sbꜣgj	s ɛ b ɑ ɡ i
sbꜣtj	s ɛ b ɑ t i
sbj	s ɛ b i
sbjw	s ɛ b i uː
sbn	s ɛ b ɛ n
sbnw	s ɛ b ɛ n uː
sbḥ	s ɛ b ɛ h
sbḫt	s ɛ b x ɛ t
sbq	s ɛ b ɛ k
sbk	s ɛ b ɛ k
sbtj	s ɛ b t i
spꜣt	s ɛ p ɑ t
spj	s ɛ p i
spr	s ɛ p ɛ r
sprw	s ɛ p ɛ r uː
spḥ	s ɛ p ɛ h
spt	s aː p a t
spt	s aː p a ʔ
spt	s aː p a
spt	s oː p ə
spt	s aː p a t
spt	s aː p a ʔ
spt	s aː p a
spt	s oː p ə
spt	s ɛ p ɛ t
spd	s ɛ p ɛ d
spdw	s ɛ p d uː
spdt	s ɛ p ɛ d ɛ t
spdt	s a p tʼ a t
spdt	s a p tʼ a ʔ
spdt	s a p tʼ a
spdt	s a p tʼ ə
spdt	s a p tʼ a t
spdt	s a p tʼ a ʔ
spdt	s a p tʼ a
spdt	s a p tʼ ə
spdt	s ɛ p d ɛ t
spdt	s o p d ɛ t
spdḏ	s a p tʼ a cʼ
spdḏ	s a p tʼ a ʔ
spdḏ	s a p tʼ a
spdḏ	s a p tʼ ə
spdḏ	s a p tʼ a cʼ
spdḏ	s a p tʼ a ʔ
spdḏ	s a p tʼ a
spdḏ	t ’
spdḏ	t
spdḏ	ʔ
spdḏ	s a p tʼ ə
spdḏ	s ɛ p d ɛ d͡ʒ
sf	s i f
sf	s u f
sf	s i f
sf	s u f
sf	s e f
sf	s u f
sf	s e f
sf	s ø f
sf	s i f
sf	s u f
sf	s i f
sf	s u f
sf	s e f
sf	s u f
sf	s e f
sf	s ø f
sf	s ɛ f
sfḫ	s ɛ f ɛ x
sfḫjw	s a f χ i j j a w
sfḫjw	s a f χ i j j a w
sfḫjw	s ɛ f x i uː
sfḫw	s a f χ a w
sfḫw	s a f χ a w
sfḫw	s a f χ ə
sfḫw	s a χ f
sfḫw	s a f χ a w
sfḫw	s a f χ a w
sfḫw	s a f χ ə
sfḫw	s a χ f
sfḫw	s ɛ f ɛ x uː
sfḫw	s ɛ f ɛ x uː
sfḫnw	s ɛ f ɛ x n uː
sfḫḫ	s ɛ f ɛ x ɛ x
sfsf	s ɛ f s ɛ f
sfkk	s ɛ f ɛ k ɛ k
sfṯ	s ɛ f ɛ t͡ʃ
sm	s ɛ m
smꜣ	s ɛ m ɑ
smꜣwj	s ɛ m ɑ uː i
smj	s ɛ m i
smw	s iː m V w
smw	s iː m V w
smw	s iː m ə
smw	s iː m
smw	s iː m V w
smw	s iː m V w
smw	s iː m ə
smw	s iː m
smw	s ɛ m uː
smwn	s ɛ m uː n
smn	s i m iː n i t
smn	s i m n i t
smn	s i m iː n i ʔ
smn	s i m n i ʔ
smn	s ə m iː n a
smn	s e m n a
smn	s ə m iː n ə
smn	s e m n ə
smn	s i m iː n i t
smn	s i m n i t
smn	s i m iː n i ʔ
smn	s i m n i ʔ
smn	s ə m iː n a
smn	s e m n a
smn	s ə m iː n ə
smn	s e m n ə
smn	s ɛ m ɛ n
smn	s ɛ m ɛ n
smnmn	s ɛ m ɛ n m ɛ n
smnḫ	s ɛ m ɛ n ɛ x
smr	s ɛ m ɛ r
smr	s ɛ m ɛ r
smḥ	s ɛ m ɛ h
smḥj	s ɛ m h i
smḫ	s ɛ m ɛ x
smsj	s ɛ m ɛ s i
smsw	s ɛ m ɛ s uː
smsm	s ɛ m s ɛ m
smt	s ɛ m ɛ t
smdt	s ɛ m d ɛ t
sn	s a n
sn	s a n
sn	s a n
sn	s a n
sn	s a n
sn	s a n
sn	s a n
sn	s a n
sn	s a n uː w a w
sn	s a n uː w a w
sn	s ə n uː w ə
sn	s ə n eː w
sn	s a n uː w a w
sn	s a n uː w a w
sn	s ə n uː w ə
sn	s ə n eː w
sn	s ɛ n
snj	s ɛ n i
snwj	s i n u w w a j
snwj	s i n u w w a j
snwj	s ə n u w w ə
snwj	s ə n ø w w
snwj	s i n u w w a j
snwj	s i n u w w a j
snwj	s ə n u w w ə
snwj	s ə n ø w w
snwj	s ɛ n uː i
snwḫ	s ɛ n uː x
snwtt	s ɛ n uː t ɛ t
snb	s ɛ n ɛ b
snbj	s ɛ n b i
snbb	s ɛ n b ɛ b
snb.tj	s ɛ n ɛ b ʔ t i
snfj	s ɛ n ɛ f i
snfr	s ɛ n ɛ f ɛ r
snm	s ɛ n ɛ m
snmyt	s ɛ n m iː t
snnw	s ɛ n ɛ n uː
snḥ	s aː n a ħ
snḥ	s aː n a ħ
snḥ	s aː n ə ħ
snḥ	s oː n ə ħ
snḥ	s aː n a ħ
snḥ	s aː n a ħ
snḥ	s aː n ə ħ
snḥ	s oː n ə ħ
snḥ	s ɛ n ɛ h
snḫbḫb	s ɛ n ɛ x ɛ b x ɛ b
snḫn	s ɛ n ɛ x ɛ n
snsn	s a n s a n
snsn	s a n s a n
snsn	s a n s ə n
snsn	s a n s ə n
snsn	s a n s a n
snsn	s a n s a n
snsn	s a n s ə n
snsn	s a n s ə n
snsn	s ɛ n s ɛ n
snšmšm	s ɛ n ɛ ʃ ɛ m ʃ ɛ m
snq	s aː n a qʼ
snq	s aː n a qʼ
snq	s aː n ə qʼ
snq	s oː n ə qʼ
snq	s aː n a qʼ
snq	s aː n a qʼ
snq	s aː n ə qʼ
snq	s oː n ə qʼ
snq	s ɛ n ɛ k
snt	s aː n a t
snt	s aː n a ʔ
snt	s aː n a
snt	s oː n ə
snt	s aː n a t
snt	s aː n a ʔ
snt	s aː n a
snt	s oː n ə
snt	s ɛ n ɛ t
snṯ	s ɛ n ɛ t͡ʃ
snṯr	s a n c a ɾ
snṯr	s a n t a ʔ
snṯr	s a n t a
snṯr	s a n t ə
snṯr	s a n c a ɾ
snṯr	s a n t a ʔ
snṯr	s a n t a
snṯr	s a n t ə
snṯr	s ɛ n ɛ t͡ʃ ɛ r
snd	s ɛ n ɛ d
snḏ	s i n i cʼ
snḏ	s i n i tʼ
snḏ	s ə n e tʼ
snḏ	s ə n e tʼ
snḏ	s i n i cʼ
snḏ	s i n i tʼ
snḏ	s ə n e tʼ
snḏ	s ə n e tʼ
snḏ	s ɛ n ɛ d͡ʒ
snḏw	s ɛ n ɛ d͡ʒ uː
snḏm	s ɛ n ɛ d͡ʒ ɛ m
sr	s ɛ r
srw	s ɛ r uː
srwj	s ɛ r uː i
srwḫ	s ɛ r uː x
srwḏ	s ɛ r uː d͡ʒ
srf	s ɛ r ɛ f
srmj	s ɛ r ɛ m i
srḫ	s ɛ r ɛ x
srt	s ɛ r ɛ t
srd	s ɛ r ɛ d
shꜣj	s ɛ h ɑ i
sḥꜣj	s ɛ h ɑ i
sḥꜣbj	s ɛ h ɑ b i
sḥmyt	s ɛ h m iː t
sḥrj	s ɛ h ɛ r i
sḥqꜣ	s ɛ h ɛ k ɑ
sḥqr	s ɛ h ɛ k ɛ r
sḥtp	s ɛ h ɛ t ɛ p
sḥtm	s ɛ h ɛ t ɛ m
sḥd	s ɛ h ɛ d
sḥḏ	s ɛ h ɛ d͡ʒ
sḥḏw	s i ħ cʼ V w
sḥḏw	s u ħ cʼ V w
sḥḏw	s i ħ tʼ V w
sḥḏw	s u ħ tʼ V w
sḥḏw	s e ħ tʼ ə
sḥḏw	s u ħ tʼ ə
sḥḏw	s e ħ tʼ
sḥḏw	s ø ħ tʼ
sḥḏw	s i ħ cʼ V w
sḥḏw	s u ħ cʼ V w
sḥḏw	s i ħ tʼ V w
sḥḏw	s u ħ tʼ V w
sḥḏw	s e ħ tʼ ə
sḥḏw	s u ħ tʼ ə
sḥḏw	s e ħ tʼ
sḥḏw	s ø ħ tʼ
sḥḏw	s ɛ h d͡ʒ uː
sḫꜣj	s i χ ʀ i t
sḫꜣj	s i χ ʀ i ʔ
sḫꜣj	s e χ j a
sḫꜣj	s e χ j ə
sḫꜣj	s i χ ʀ i t
sḫꜣj	s i χ ʀ i ʔ
sḫꜣj	s e χ j a
sḫꜣj	s e χ j ə
sḫꜣj	s ɛ x ɑ i
sḫꜣw	s ɛ x ɑ uː
sḫꜥj	s ɛ x ɑː i
sḫw	s ɛ x uː
sḫpj	s ɛ x ɛ p i
sḫpr	s ɛ x ɛ p ɛ r
sḫm	s aː χ a m
sḫm	s aː χ a m
sḫm	s aː χ ə m
sḫm	s oː χ ə m
sḫm	s aː χ a m
sḫm	s aː χ a m
sḫm	s aː χ ə m
sḫm	s oː χ ə m
sḫm	s ɛ x ɛ m
sḫmt	s a χ m a t
sḫmt	s a χ m a ʔ
sḫmt	s a χ m a
sḫmt	s a χ m ə
sḫmt	s a χ m a t
sḫmt	s a χ m a ʔ
sḫmt	s a χ m a
sḫmt	s a χ m ə
sḫmt	s ɛ x m ɛ t
sḫn	s ɛ x ɛ n
sḫntj	s ɛ x ɛ n ɛ t i
sḫr	s ɛ x ɛ r
sḫr	s ɛ x ɛ r
sḫr	s ɛ x ɛ r
sḫry	s ɛ x r iː
sḫt	s aː χ a t
sḫt	s aː χ a ʔ
sḫt	s aː χ a
sḫt	s oː χ ə
sḫt	s aː χ a t
sḫt	s aː χ a ʔ
sḫt	s aː χ a
sḫt	s oː χ ə
sḫt	s ɛ x ɛ t
sḫtj	s ɛ x t i
sḫtj	s i χ t V j
sḫtj	s u χ t V j
sḫtj	s i χ t V j
sḫtj	s u χ t V j
sḫtj	s e χ t ə
sḫtj	s u χ t ə
sḫtj	s e χ t
sḫtj	s ø χ t
sḫtj	s i χ t V j
sḫtj	s u χ t V j
sḫtj	s i χ t V j
sḫtj	s u χ t V j
sḫtj	s e χ t ə
sḫtj	s u χ t ə
sḫtj	s e χ t
sḫtj	s ø χ t
sḫtj	s ɛ x t i
sḫd	s ɛ x ɛ d
sḫdḫd	s ɛ x ɛ d x ɛ d
sẖꜥt	s ɛ ç ɑː t
sẖr	s ɛ ç ɛ r
sẖkr	s ɛ ç k ɛ r
sẖt	s ɛ ç ɛ t
szf	s ɛ z ɛ f
ssꜣj	s ɛ s ɑ i
sspd	s ɛ s ɛ p ɛ d
ssf	s ɛ s ɛ f
ssm	s ɛ s ɛ m
ssmt	s ɛ s ɛ m ɛ t
ssn	s ɛ s ɛ n
ssḫ	s ɛ s ɛ x
sš	s ɛ ʃ
sšwj	s ɛ ʃ uː i
sšp	s ɛ ʃ ɛ p
sšpt	s a ʃ aː p a t
sšpt	ʃ aː p a ʔ
sšpt	ʃ aː p a
sšpt	ʃ oː p ə
sšpt	s a ʃ aː p a t
sšpt	ʃ aː p a ʔ
sšpt	ʃ aː p a
sšpt	ʃ oː p ə
sšpt	s ɛ ʃ p ɛ t
sšm	s ɛ ʃ ɛ m
sšmj	s ɛ ʃ ɛ m i
sšmw	s ɛ ʃ m uː
sšmm	s ɛ ʃ ɛ m ɛ m
sšr	s ɛ ʃ ɛ r
sšrw	s ɛ ʃ r uː
sštꜣ	s ɛ ʃ t ɑ
sšd	s ɛ ʃ ɛ d
sqꜣj	s ɛ k ɑ i
sqbb	s ɛ k ɛ b ɛ b
sqbbwj	s ɛ k ɛ b ɛ b uː i
sqbḥ	s ɛ k ɛ b ɛ h
sqr	s ɛ k ɛ r
sqd	s ɛ k ɛ d
sqdj	s ɛ k ɛ d i
sk	s ɛ k
sk	s ɛ k
skꜣ	s ɛ k ɑ
skj	s ɛ k i
skm	s ɛ k ɛ m
skn	s ɛ k ɛ n
sksj	s ɛ k ɛ s i
sksk	s ɛ k s ɛ k
skt	s ɛ k ɛ t
sgnn	s a kʼ n a n
sgnn	s a kʼ n a n
sgnn	s a kʼ n ə n
sgnn	s a kʼ n ə n
sgnn	s a kʼ n a n
sgnn	s a kʼ n a n
sgnn	s a kʼ n ə n
sgnn	s a kʼ n ə n
sgnn	s ɛ ɡ ɛ n ɛ n
sgr	s ɛ ɡ ɛ r
st	s ɛ t
stꜣ	s ɛ t ɑ
stj	s ɛ t i
stwt	s ɛ t uː t
stwt	s ɛ t uː t
stp	s aː t a p
stp	s aː t a p
stp	s aː t ə p
stp	s oː t ə p
stp	s aː t a p
stp	s a t p a w
stp	s aː t a p
stp	s aː t ə p
stp	s oː t ə p
stp	s ɛ t ɛ p
stp	s ɛ t ɛ p
stpt	s ɛ t ɛ p ɛ t
stẖ	s uː t V ç
stẖ	s uː t V ç
stẖ	s uː t ə χ
stẖ	s eː t ə χ
stẖ	s uː t V ç
stẖ	s uː t V ç
stẖ	s uː t ə χ
stẖ	ç
stẖ	χ
stẖ	s eː t ə χ
stẖ	s ɛ t ɛ ç
stẖj	s ɛ t ç i
stš	s ɛ t ɛ ʃ
stt	s ɛ t ɛ t
sṯ	s ɛ t͡ʃ
sṯꜣ	s aː c a ʀ
sṯꜣ	s aː t a ʀ
sṯꜣ	s aː t ə
sṯꜣ	s oː t ə
sṯꜣ	s aː c a ʀ
sṯꜣ	s aː t a ʀ
sṯꜣ	s aː t ə
sṯꜣ	s oː t ə
sṯꜣ	s ɛ t͡ʃ ɑ
sṯꜣt	s ɛ t͡ʃ ɑ t
sṯjt	s ɛ t͡ʃ i t
sṯnj	s ɛ t͡ʃ ɛ n i
sṯzj	s ɛ t͡ʃ ɛ z i
sṯzw	s ɛ t͡ʃ ɛ z uː
sṯt	s ɛ t͡ʃ ɛ t
sd	s aː tʼ
sd	s aː tʼ
sd	s aː tʼ
sd	s oː tʼ
sd	s aː tʼ
sd	s aː tʼ
sd	s aː tʼ
sd	s oː tʼ
sd	s ɛ d
sd	s i tʼ
sd	s i tʼ
sd	s e tʼ
sd	s e tʼ
sd	s i tʼ
sd	s i tʼ
sd	s e tʼ
sd	s e tʼ
sd	s ɛ d
sd	s ɛ d
sdꜣ	s ɛ d ɑ
sdyt	s ɛ d iː t
sdwḫ	s ɛ d uː x
sdb	s ɛ d ɛ b
sdm	s ɛ d ɛ m
sdmj	s ɛ d ɛ m i
sdgꜣ	s ɛ d ɡ ɑ
sḏ	s ɛ d͡ʒ
sḏꜣ	s ɛ d͡ʒ ɑ
sḏwj	s ɛ d͡ʒ uː i
sḏb	s ɛ d͡ʒ ɛ b
sḏfꜣ	s i cʼ f i ʀ
sḏfꜣ	s i tʼ f i ʀ
sḏfꜣ	s e tʼ f ə
sḏfꜣ	s e tʼ f
sḏfꜣ	s i cʼ f i ʀ
sḏfꜣ	s i tʼ f i ʀ
sḏfꜣ	s e tʼ f ə
sḏfꜣ	s e tʼ f
sḏfꜣ	s ɛ d͡ʒ ɛ f ɑ
sḏm	s aː cʼ a m
sḏm	s aː tʼ a m
sḏm	s aː tʼ ə m
sḏm	s oː tʼ ə m
sḏm	s aː cʼ a m
sḏm	s a cʼ i m n a
sḏm	s a cʼ m a
sḏm	s aː cʼ i m
sḏm	s a cʼ m i w
sḏm	s aː tʼ a m
sḏm	s aː tʼ ə m
sḏm	s oː tʼ ə m
sḏm	s ɛ d͡ʒ ɛ m
sḏmw	s ɛ d͡ʒ ɛ m uː
sḏr	s ɛ d͡ʒ ɛ r
sḏrt	s ɛ d͡ʒ r ɛ t
sḏt	s ɛ d͡ʒ ɛ t
sḏd	s i cʼ tʼ i t
sḏd	s i t͡ʃ ʔʼ i ʔ
sḏd	s e t͡ʃʼ a
sḏd	s e t͡ʃʼ ə
sḏd	s i cʼ tʼ i t
sḏd	s i t͡ʃ ʔʼ i ʔ
sḏd	tʼ
sḏd	ʔ
sḏd	s e t͡ʃʼ a
sḏd	s e t͡ʃʼ ə
sḏd	s ɛ d͡ʒ ɛ d
š	ʃ ɛ
šꜣ	ʃ ɑ
šꜣꜥ	ʃ a ʀ a ʕ
šꜣꜥ	ʃ a ʀ a ʕ
šꜣꜥ	ʃ ə a ʕ
šꜣꜥ	ʃ a ʕ
šꜣꜥ	ʃ a ʀ a ʕ
šꜣꜥ	ʃ a ʀ a ʕ
šꜣꜥ	ʃ ə a ʕ
šꜣꜥ	ʃ a ʕ
šꜣꜥ	ʃ ɑ ʔ ɑː
šꜣwꜣbtj	ʃ ɑ uː ɑ b t i
šꜣbꜣkꜣ	ʃ ɑ b ɑ k ɑ
šꜣbꜣtꜣkꜣ	ʃ ɑ b ɑ t ɑ k ɑ
šꜣbw	ʃ ɑ b uː
šꜣrm	ʃ ɑ r ɛ m
šꜣrḥꜣnꜣ	ʃ ɑ r h ɑ n ɑ
šꜣs	ʃ ɑ s
šꜣsw	ʃ ɑ s uː
šꜣšꜣnq	ʃ ɑ ʃ ɑ n ɛ k
šꜣq	ʃ ɑ k
šꜣqw	ʃ ɑ k uː
šꜣqb	ʃ ɑ k ɛ b
šꜣt	ʃ ɑ t
šꜣd	ʃ ɑ d
šꜥ	ʃ ɑː
šꜥy	ʃ aː ʕ V j
šꜥy	ʃ aː ʕ V j
šꜥy	ʃ aː ʕ ə
šꜥy	ʃ oː ʕ
šꜥy	ʃ aː ʕ V j
šꜥy	ʃ aː ʕ V j
šꜥy	ʃ aː ʕ ə
šꜥy	ʃ oː ʕ
šꜥy	ʃ ɑː iː
šꜥwt	ʃ ɑː uː t
šꜥt	ʃ iː ʕ V t
šꜥt	ʃ iː ʕ V ʔ
šꜥt	ʃ eː ʕ a
šꜥt	ʃ eː ʕ ə
šꜥt	ʃ iː ʕ V t
šꜥt	ʃ iː ʕ V ʔ
šꜥt	ʃ eː ʕ a
šꜥt	ʃ eː ʕ ə
šꜥt	ʃ ɑː t
šꜥd	ʃ ɑː d
šw	ʃ uː
šwꜣw	ʃ uː ɑ uː
šwj	ʃ uː i
šww	ʃ uː ʔ uː
šwt	ʃ uː t
šbw	ʃ ɛ b uː
šbb	ʃ ɛ b ɛ b
šbn	ʃ ɛ b ɛ n
špꜣ	ʃ ɛ p ɑ
šps	ʃ ɛ p ɛ s
špsj	ʃ i p s i t
špsj	ʃ i p s i ʔ
špsj	ʃ e p s a
špsj	ʃ e p s ə
špsj	ʃ i p s i t
špsj	ʃ i p s i ʔ
špsj	ʃ e p s a
špsj	ʃ e p s ə
špsj	ʃ ɛ p ɛ s i
špss	ʃ ɛ p s ɛ s
špssw	ʃ ɛ p s ɛ s uː
špst	ʃ i p s a t
špst	ʃ i p s a ʔ
špst	ʃ e p s a
špst	ʃ e p s ə
špst	ʃ i p s a t
špst	ʃ i p s a ʔ
špst	ʃ e p s a
špst	ʃ e p s ə
špst	ʃ ɛ p s ɛ t
šfj	ʃ ɛ f i
šfyt	ʃ ə f eː ʔ
šfyt	ʃ ə f eː ʔ
šfyt	ʃ ɛ f iː t
šfw	ʃ ɛ f uː
šftw	ʃ ɛ f t uː
šfd	ʃ ɛ f ɛ d
šfdw	ʃ ɛ f ɛ d uː
šmj	ʃ i m j V t
šmj	ʃ i j j V ʔ
šmj	ʃ e ʔ ə
šmj	ʃ e ʔ
šmj	ʃ i m j V t
šmj	ʃ i j j V ʔ
šmj	ʃ e ʔ ə
šmj	ʃ e ʔ
šmj	ʃ ɛ m i
šmꜥ	ʃ ɛ m ɑː
šmꜥyt	ʃ ɛ m ɑː iː t
šmꜥw	ʃ ɛ m ɑː uː
šmw	ʃ aː m a w
šmw	ʃ aː m a w
šmw	ʃ aː m ə
šmw	ʃ oː m
šmw	ʃ aː m a w
šmw	ʃ aː m a w
šmw	ʃ aː m ə
šmw	ʃ oː m
šmw	ʃ ɛ m uː
šmm	ʃ ɛ m ɛ m
šmmt	ʃ ɛ m ɛ m ɛ t
šms	ʃ i m s i j
šms	ʃ i m s i j
šms	ʃ e m s ə
šms	ʃ e m s
šms	ʃ i m s i j
šms	ʃ i m s i j
šms	ʃ e m s ə
šms	ʃ e m s
šms	ʃ ɛ m ɛ s
šmsw	ʃ ɛ m s uː
šmswt	ʃ ɛ m s uː t
šmt	ʃ ɛ m ɛ t
šn	ʃ uː n V j
šn	ʃ uː n V j
šn	ʃ uː n ə
šn	ʃ eː n
šn	ʃ uː n V j
šn	ʃ uː n V j
šn	ʃ uː n ə
šn	ʃ eː n
šn	ʃ ɛ n
šnj	ʃ ɛ n i
šnj	ʃ iː n i t
šnj	ʃ iː n i ʔ
šnj	ʃ iː n a
šnj	ʃ iː n ə
šnj	ʃ iː n i t
šnj	ʃ iː n i ʔ
šnj	ʃ iː n a
šnj	ʃ iː n ə
šnj	ʃ ɛ n i
šnj	ʃ ɛ n i
šnꜥ	ʃ ɛ n ɑː
šnꜥw	ʃ ɛ n ɑː uː
šnꜥtj	ʃ ɛ n ɑː t i
šnw	ʃ ɛ n uː
šnw	ʃ V n u w
šnw	ʃ V n u w
šnw	ʃ ə n u ʔ
šnw	ʃ ə n ø ʔ
šnw	ʃ V n u w
šnw	ʃ V n u w
šnw	ʃ ə n u ʔ
šnw	ʃ ə n ø ʔ
šnw	ʃ ɛ n uː
šnwt	ʃ ɛ n uː t
šnbt	ʃ ɛ n b ɛ t
šnft	ʃ i n f V t
šnft	ʃ i n f V ʔ
šnft	ʃ e n f a
šnft	ʃ e j f a
šnft	ʃ e n f ə
šnft	ʃ e j f ə
šnft	ʃ i n f V t
šnft	ʃ i n f V ʔ
šnft	ʃ e n f a
šnft	ʃ e j f a
šnft	n
šnft	j
šnft	ʃ e n f ə
šnft	ʃ e j f ə
šnft	ʃ ɛ n f ɛ t
šns	ʃ ɛ n ɛ s
šntt	ʃ ɛ n t ɛ t
šnṯ	ʃ ɛ n ɛ t͡ʃ
šnḏwt	ʃ ɛ n d͡ʒ uː t
šr	ʃ uː ɾ i j
šr	ʃ uː ɾ i j
šr	ʃ uː ɾ ə
šr	ʃ eː ɾ ə
šr	ʃ uː ɾ i j
šr	ʃ uː ɾ i j
šr	ʃ uː ɾ ə
šr	ʃ eː ɾ ə
šr	ʃ ɛ r
šrr	ʃ a ɾ a ɾ
šrr	ʃ a ɾ a ʔ
šrr	ʃ ə ɾ a ʔ
šrr	ʃ ə ɾ a ʔ
šrr	ʃ a ɾ a ɾ
šrr	ʃ iː r a r
šrr	ʃ a ɾ a ʔ
šrr	ʃ ə ɾ a ʔ
šrr	ʃ ə ɾ a ʔ
šrr	ʃ ɛ r ɛ r
šrt	ʃ ɛ r ɛ t
šzp	ʃ aː z a p
šzp	ʃ aː p
šzp	ʃ aː p
šzp	ʃ oː p
šzp	ʃ aː z a p
šzp	ʃ aː p
šzp	ʃ aː p
šzp	ʃ oː p
šzp	ʃ ɛ z ɛ p
šzp	ʃ ɛ z ɛ p
šzpw	ʃ ɛ z p uː
šzpt	ʃ ɛ z p ɛ t
šs	ʃ ɛ s
šsꜣ	ʃ ɛ s ɑ
šsꜣw	ʃ ɛ s ɑ uː
šsp	ʃ ɛ s ɛ p
šsm	ʃ ɛ s ɛ m
šsr	ʃ ɛ s ɛ r
ššy	ʃ ɛ ʃ iː
št	ʃ i t
št	ʃ i ʔ
št	ʃ e ʔ
št	ʃ e ʔ
št	ʃ i t
št	ʃ i ʔ
št	ʃ e ʔ
št	ʃ e ʔ
