â	a
gylfinir	ɡ ə l v ɪ n ɪ r
gylfinirod	ɡ ə l v ɪ n ɪ r ɔ d
gyll	ɡ ɨ̞ ɬ
gyllell	ɡ ə ɬ ɛ ɬ
gyllell	ɡ ə ɬ a ɬ
gyllell	ɡ ə ɬ a ɬ
gymaint	ɡ ə m a i̯ n t
gymaint	ɡ ə m ɛ n t
gymaint	ɡ ə m ɛ n t
gymdeithas	ɡ ə m d e i̯ θ a s
gymedrolwr	ɡ ə m ɛ d r ɔ l ʊ r
gymedrolwyr	ɡ ə m ɛ d r ɔ l w ɨ̞ r
gymorth	ɡ ə m ɔ r θ
gymro	ɡ ə m r ɔ
gymru	ɡ ə m r ɨ̞
gymry	ɡ ə m r ɨ̞
gymryd	ɡ ə m r ɨ̞ d
gymylog	ɡ ə m ə l ɔ ɡ
gynffon	ɡ ə n f ɔ n
gyngor	ɡ ə ŋ ɔ r
gynhadledd	ɡ ə n h a d l ɛ ð
gynnar	ɡ ə n a r
gynnau	ɡ ə n a ɨ̯
gynnau	ɡ ə n ɛ
gynnau	ɡ ə n a
gynnwrf	ɡ ə n ʊ r v
gynradd	ɡ ə n r a ð
gyrdd	ɡ ɨ̞ r ð
gyrgoed	ɡ ə r ɡ oː ɨ̯ d
gyrraedd	ɡ ə r a ɨ̯ ð
gyrraedd	ɡ ə r ɛ ð
gyrraedd	ɡ ə r a ð
gyrraedd	ɡ ə r ɛ ð
gyrraedd	ɡ ə r a ð
gyrraf	ɡ ə r a v
gyrru	ɡ ə r ɨ
gyrrwr	ɡ ə r ʊ r
gyrhaeddais	ɡ ə r h e ɨ̯ ð a i̯ s
gyrhaeddais	ɡ ə r h e ɨ̯ ð ɛ s
gysgu	ɡ ə s ɡ ɨ
gystadlu	ɡ ə s d a d l ɨ
gythraul	ɡ ə θ r a ɨ̯ l
gythraul	ɡ ə θ r ɛ l
gythraul	ɡ ə θ r a l
gythraul	ɡ ə θ r ɛ l
gythraul	ɡ ə θ r a l
gythreuliaid	ɡ ə θ r e ɨ̯ l j a i̯ d
gythreuliaid	ɡ ə θ r e ɨ̯ l j ɛ d
gythreuliaid	ɡ ə θ r e ɨ̯ l j ɛ d
gywir	ɡ ə u̯ ɪ r
ngadael	ŋ a d a ɨ̯ l
ngadael	ŋ a d ɛ l
ngadael	ŋ a d a l
ngadael	ŋ a d ɛ l
ngadael	ŋ a d a l
ngair	ŋ a i̯ r
ngâl	ŋ aː l
ngeiriadurwr	ŋ e i̯ r j a d ɨ̞ r ʊ r
ngeiriadurwyr	ŋ e i̯ r j a d ɨ̞ r w ɨ̞ r
ngelyn	ŋ ɛ l ɨ̞ n
ngelli	ŋ ɛ ɬ ɪ
nghacen	ŋ̊ a k ɛ n
nghacen	ŋ̊ a k a n
nghacen	ŋ̊ a k a n
nghad	ŋ̊ aː d
nghadair	ŋ̊ a d a i̯ r
nghadair	ŋ̊ a d ɛ r
nghadair	ŋ̊ a d a r
nghadair	ŋ̊ a d ɛ r
nghadair	ŋ̊ a d a r
nghae	ŋ̊ aː ɨ̯
nghael	ŋ̊ aː ɨ̯ l
nghael	ŋ̊ aː l
nghael	ŋ̊ aː l
nghaeredin	ŋ̊ a ɨ̯ r ɛ d ɨ̞ n
nghaffi	ŋ̊ a f i
nghain	ŋ̊ a i̯ n
nghaint	ŋ̊ a i̯ n t
nghais	ŋ̊ a i̯ s
nghalan	ŋ̊ a l a n
nghaled	ŋ̊ a l ɛ d
nghaled	ŋ̊ a l a d
nghaled	ŋ̊ a l a d
nghaledu	ŋ̊ a l ɛ d ɨ
nghalenigion	ŋ̊ a l ɛ n ɪ ɡ j ɔ n
nghalennig	ŋ̊ a l ɛ n ɪ ɡ
nghaleted	ŋ̊ a l ɛ t ɛ d
nghalon	ŋ̊ a l ɔ n
nghân	ŋ̊ aː n
nghanlyniad	ŋ̊ a n l ə n j a d
nghant	ŋ̊ a n t
nghanu	ŋ̊ a n ɨ̞
nghanwr	ŋ̊ a n ʊ r
nghapel	ŋ̊ a p ɛ l
nghar	ŋ̊ a r
ngharafán	ŋ̊ a r a v a n
ngharchar	ŋ̊ a r χ a r
nghariad	ŋ̊ a r j a d
ngharu	ŋ̊ a r ɨ̞
ngharwr	ŋ̊ a r ʊ r
nghasglu	ŋ̊ a s ɡ l ɨ
nghastell	ŋ̊ a s d ɛ ɬ
nghastell	ŋ̊ a s d a ɬ
nghastell	ŋ̊ a s d a ɬ
nghath	ŋ̊ aː θ
nghathod	ŋ̊ a θ ɔ d
nghawl	ŋ̊ a u̯ l
nghawod	ŋ̊ a u̯ ɔ d
nghaws	ŋ̊ a u̯ s
nghefn	ŋ̊ ɛ v n
nghefnau	ŋ̊ ɛ v n a ɨ̯
nghefnau	ŋ̊ ɛ v n ɛ
nghefnau	ŋ̊ ɛ v n a
nghefnau	ŋ̊ ɛ v n ɛ
nghefnau	ŋ̊ ɛ v n a
ngheffyl	ŋ̊ ɛ f ɨ̞ l
nghegin	ŋ̊ ɛ ɡ ɪ n
ngheir	ŋ̊ e i̯ r
nghelyn	ŋ̊ ɛ l ɨ̞ n
nghell	ŋ̊ ɛ ɬ
nghemeg	ŋ̊ ɛ m ɛ ɡ
nghenhinen	ŋ̊ ɛ n h ɪ n ɛ n
nghenhinen	ŋ̊ ɛ n h ɪ n a n
nghenhinen	ŋ̊ ɛ n h ɪ n a n
ngherddoriaeth	ŋ̊ ɛ r ð ɔ r j a ɨ̯ θ
ngherddoriaeth	ŋ̊ ɛ r ð ɔ r j ɛ θ
ngherddoriaeth	ŋ̊ ɛ r ð ɔ r j ɛ θ
ngherdded	ŋ̊ ɛ r ð ɛ d
ngherrig	ŋ̊ ɛ r ɪ ɡ
nghestyll	ŋ̊ ɛ s d ɨ̞ ɬ
nghi	ŋ̊ iː
nghinio	ŋ̊ ɪ n j ɔ
nghladdu	ŋ̊ l a ð ɨ̞
nghlefyd	ŋ̊ l ɛ v ɨ̞ d
nghloch	ŋ̊ l oː χ
nghlust	ŋ̊ l ɨː s t
nghlustdlws	ŋ̊ l ɨ̞ s d l ʊ s
nghlwb	ŋ̊ l ʊ b
nghlwyfo	ŋ̊ l ʊ ɨ̯ v ɔ
nghlybiau	ŋ̊ l ə b j a ɨ̯
nghlybiau	ŋ̊ l ə b j ɛ
nghlybiau	ŋ̊ l ə b j a
nghlybiau	ŋ̊ l ə b j ɛ
nghlybiau	ŋ̊ l ə b j a
nghlyw	ŋ̊ l ɪ u̯
nghlyw	ŋ̊ l ɨ u̯
nghlywed	ŋ̊ l ə u̯ ɛ d
nghlywed	ŋ̊ l ə u̯ a d
nghlywed	ŋ̊ l ə u̯ a d
nghnau	ŋ̊ n a ɨ̯
nghnau cyll	ŋ̊ n a ɨ̯ k ɨ̞ ɬ
nghnau ffrengig	ŋ̊ n a ɨ̯ f r ɛ ŋ ɪ ɡ
nghneuen	ŋ̊ n e ɨ̯ ɛ n
nghneuen	ŋ̊ n e ɨ̯ a n
nghneuen	ŋ̊ n e ɨ̯ a n
nghneuen ffrengig	ŋ̊ n e ɨ̯ ɛ n f r ɛ ŋ ɪ ɡ
nghneuen ffrengig	ŋ̊ n e ɨ̯ a n f r ɛ ŋ ɪ ɡ
nghneuen ffrengig	ŋ̊ n e ɨ̯ a n f r ɛ ŋ ɪ ɡ
nghneuen gyll	ŋ̊ n e ɨ̯ ɛ n ɡ ɨ̞ ɬ
nghneuen gyll	ŋ̊ n e ɨ̯ a n ɡ ɨ̞ ɬ
nghneuen gyll	ŋ̊ n e ɨ̯ a n ɡ ɨ̞ ɬ
nghnoi	ŋ̊ n ɔ i̯
nghoch	ŋ̊ oː χ
nghodi	ŋ̊ ɔ d ɪ
nghoed	ŋ̊ oː ɨ̯ d
nghofio	ŋ̊ ɔ v j ɔ
nghoginio	ŋ̊ ɔ ɡ ɪ n j ɔ
ngholli	ŋ̊ ɔ ɬ i
nghorff	ŋ̊ ɔ r f
nghoronafeirws	ŋ̊ ɔ r ɔ n a v e i̯ r ʊ s
nghosyn	ŋ̊ ɔ s ɨ̞ n
nghot	ŋ̊ ɔ t
nghôt	ŋ̊ oː t
nghôt law	ŋ̊ oː t l aː u̯
nghrist	ŋ̊ r iː s t
nghroes	ŋ̊ r oː ɨ̯ s
nghrwban	ŋ̊ r ʊ b a n
nghrwth	ŋ̊ r uː θ
nghusan	ŋ̊ ɨ̞ s a n
nghusanau	ŋ̊ ɨ̞ s a n a ɨ̯
nghusanau	ŋ̊ ɨ̞ s a n ɛ
nghusanau	ŋ̊ ɨ̞ s a n a
nghusanau	ŋ̊ ɨ̞ s a n ɛ
nghusanau	ŋ̊ ɨ̞ s a n a
nghusanu	ŋ̊ ɨ̞ s a n ɨ̞
nghut	ŋ̊ ɨ̞ t
nghwch	ŋ̊ ʊ χ
nghwest	ŋ̊ w eː s d
nghwestiwn	k w ɛ s d j ʊ n
nghwningen	ŋ̊ ʊ n ɪ ŋ ɛ n
nghwningen	ŋ̊ ʊ n ɪ ŋ a n
nghwningen	ŋ̊ ʊ n ɪ ŋ a n
nghwpan	ŋ̊ ʊ p a n
nghwpwrdd	ŋ̊ ʊ p ʊ r ð
nghwrdd	ŋ̊ ʊ r ð
nghwrs	ŋ̊ ʊ r s
nghwrw	ŋ̊ ʊ r u
nghychwyn	ŋ̊ ə χ w ɨ̞ n
nghydbreswylwyr	ŋ̊ ɨː d b r ɛ s ʊ ɨ̯ l w ɨ̞ r
nghyfaill	ŋ̊ ə v a i̯ ɬ
nghyfaredd	ŋ̊ ə v a r ɛ ð
nghyfarfod	ŋ̊ ə v a r v ɔ d
nghyfarfod	ŋ̊ w a r v ɔ d
nghyfarfod	ŋ̊ w a r v ɔ d
nghyfeillion	ŋ̊ ə v e i̯ ɬ j ɔ n
nghyfiawnder	ŋ̊ ə v j a u̯ n d ɛ r
nghyfnither	ŋ̊ ə v n ɪ θ ɛ r
nghyfnither	ŋ̊ ə v n ɪ θ a r
nghyfnither	ŋ̊ ə v n ɪ θ a r
nghyfreithiwr	ŋ̊ ə v r e i̯ θ j ʊ r
nghylchgrawn	ŋ̊ ə l χ ɡ r a u̯ n
nghylchgrawn	ŋ̊ ɨ̞ l χ ɡ r a u̯ n
nghyllell	ŋ̊ ə ɬ ɛ ɬ
nghyllell	ŋ̊ ə ɬ a ɬ
nghyllell	ŋ̊ ə ɬ a ɬ
nghymaint	ŋ̊ ə m a i̯ n t
nghymaint	ŋ̊ ə m ɛ n t
nghymaint	ŋ̊ ə m ɛ n t
nghymedrolwr	ŋ̊ ə m ɛ d r ɔ l ʊ r
nghymedrolwyr	ŋ̊ ə m ɛ d r ɔ l w ɨ̞ r
nghymorth	ŋ̊ ə m ɔ r θ
nghymro	ŋ̊ ə m r ɔ
nghymru	ŋ̊ ə m r ɨ
nghymry	ŋ̊ ə m r ɨ̞
nghynffon	ŋ̊ ə n f ɔ n
nghyngor	ŋ̊ ə ŋ ɔ r
nghynhadledd	ŋ̊ ə n h a d l ɛ ð
nghynnwrf	ŋ̊ ə n ʊ r v
nghythraul	ŋ̊ ə θ r a ɨ̯ l
nghythraul	ŋ̊ ə θ r ɛ l
nghythraul	ŋ̊ ə θ r a l
nghythraul	ŋ̊ ə θ r ɛ l
nghythraul	ŋ̊ ə θ r a l
nghythreuliaid	ŋ̊ ə θ r e ɨ̯ l j a i̯ d
nghythreuliaid	ŋ̊ ə θ r e ɨ̯ l j ɛ d
nghythreuliaid	ŋ̊ ə θ r e ɨ̯ l j ɛ d
nglân	ŋ l aː n
nglanach	ŋ l a n a χ
nglanaf	ŋ l a n a v
nglanaf	ŋ l a n a
nglanaf	ŋ l a n a
nglaned	ŋ l a n ɛ d
nglas	ŋ l aː s
nglasach	ŋ l a s a χ
nglased	ŋ l a s ɛ d
nglawio	ŋ l a u̯ j ɔ
ngleision	ŋ l e i̯ ʃ ɔ n
nghnwd	ŋ̊ n uː d
ngwahanol	ŋ w a h a n ɔ l
ngwain	ŋ w a i̯ n
ngwair	ŋ w a i̯ r
ngwario	ŋ w a r j ɔ
ngweddi	ŋ w ɛ ð i
ngweddi'r arglwydd	ŋ w ɛ ð i r a r ɡ l u ɨ̯ ð
ngweddïo	ŋ w ɛ ð ɪ ɔ
ngwella	ŋ w ɛ ɬ a
ngwennol	ŋ w ɛ n ɔ l
ngwenoliaid	ŋ w ɛ n ɔ l j a i̯ d
ngwenoliaid	ŋ w ɛ n ɔ l j ɛ d
ngwenoliaid	ŋ w ɛ n ɔ l j ɛ d
ngwin	ŋ w iː n
ngwinoedd	ŋ w ɪ n ɔ ɨ̯ ð
ngwiwer	ŋ w ɪ u̯ ɛ r
ngwiwer	ŋ w ɪ u̯ a r
ngwiwer	ŋ w ɪ u̯ a r
ngwiwerod	ŋ w ɪ u̯ ɛ r ɔ d
ngwlad	ŋ w l aː d
ngwledydd	ŋ w l ɛ d ɨ̞ ð
ngŵr	ŋ uː r
ngwybod	ŋ w ɨ̞ b ɔ d
ngwybod	ŋ ʊ b ɔ d
ngwybod	ŋ ʊ b ɔ d
ngwybodaeth	ŋ w ə b ɔ d a ɨ̯ θ
ngwybodaeth	ŋ w ɨ̞ b ɔ d a ɨ̯ θ
ngwybodaeth	ŋ w ə b ɔ d ɛ θ
ngwybodaeth	ŋ w ɨ̞ b ɔ d ɛ θ
ngwybodaeth	ŋ w ə b ɔ d ɛ θ
ngwybodaeth	ŋ w ɨ̞ b ɔ d ɛ θ
ngwych	ŋ w ɨː χ
ngwychach	ŋ w ə χ a χ
ngwyched	ŋ w ə χ ɛ d
ngwyddion	ŋ w ə ð j ɔ n
ngwŷdd	ŋ w ɨː ð
ngŵydd	ŋ uː ɨ̯ ð
ngwŷr	ŋ w ɨː r
ngŵyr	ŋ uː ɨ̯ r
ngwys	ŋ w ɨː s
ngwystl	ŋ w ɨ̞ s d l
h	h
h	aː ɨ̯ t ʃ
h	h aː ɨ̯ t ʃ
h	h ə
h	h aː ɨ̯ t ʃ
h	h ə
habad	h a b a d
habadaeth	h a b a d a ɨ̯ θ
habadaeth	h a b a d ɛ θ
habadaeth	h a b a d ɛ θ
habadaethau	h a b a d e ɨ̯ θ a ɨ̯
habadaethau	h a b a d e ɨ̯ θ ɛ
habadaethau	h a b a d e ɨ̯ θ a
habadaethau	h a b a d e ɨ̯ θ ɛ
habadaethau	h a b a d e ɨ̯ θ a
habadau	h a b a d a ɨ̯
habadau	h a b a d ɛ
habadau	h a b a d a
habadau	h a b a d ɛ
habadau	h a b a d a
habades	h a b a d ɛ s
habadesau	h a b a d ɛ s a ɨ̯
habadesau	h a b a d ɛ s ɛ
habadesau	h a b a d ɛ s a
habadesau	h a b a d ɛ s ɛ
habadesau	h a b a d ɛ s a
habatai	h a b a t a ɨ̯
habatir	h a b a t ɪ r
habatiroedd	h a b a t ɪ r ɔ ɨ̯ ð
habaty	h a b a t ɨ
haber	h a b ɛ r
haberaeron	h a b ɛ r e ɨ̯ r ɔ n
haberdâr	h a b ɛ r d aː r
habwyd	h a b ʊ ɨ̯ d
habwydyn	h a b ʊ ɨ̯ d ɨ̞ n
hactorion	h a k t ɔ r j ɔ n
hach	aː χ
hachos	h a χ ɔ s
hachosi	h a χ ɔ s i
hachub	h a χ ɨ̞ b
hachubwr	h a χ ɨ̞ b ʊ r
hachubwyr	h a χ ɨ̞ b w ɨ̞ r
had	h aː d
hadar	h a d a r
hadeilad	h a d e i̯ l a d
haden	h a d ɛ n
haderyn	h a d ɛ r ɨ̞ n
hadolygu	h a d ɔ l ə ɡ ɨ̞
hadran	h a d r a n
hadu	h a d ɨ̞
hadwaenent	h a d w e ɨ̯ n ɛ n t
haddo	h a ð ɔ
haddysgu	h a ð ə s ɡ ɨ̞
haeddel	h e ɨ̯ ð ɛ l
haeddel fawr	h e ɨ̯ ð ɛ l v a u̯ r
hael	h aː ɨ̯ l
haelwyd	h e ɨ̯ l ʊ ɨ̯ d
haen	h aː ɨ̯ n
haethnen	h e ɨ̯ θ n ɛ n
haethnenni	h e ɨ̯ θ n ɛ n i
haf	h aː v
haf	h aː
haf	h aː
hafod	h a v ɔ d
hafodau	h a v ɔ d a ɨ̯
hafodau	h a v ɔ d ɛ
hafodau	h a v ɔ d a
hafodau	h a v ɔ d ɛ
hafodau	h a v ɔ d a
hafodydd	h a v ɔ d ɨ̞ ð
hafota	h a v ɔ t a
hafren	h a v r ɛ n
hagor	h a ɡ ɔ r
hangharad	h a ŋ h a r a d
hangor	h a ŋ ɔ r
hail	h a i̯ l
haint	h a i̯ n t
hais	h a i s
halen	h a l ɛ n
halen	h a l a n
halen	h a l a n
halibalŵ	h a l ɪ b a l uː
halmanac	h a l m a n a k
halmanaciau	a l m a n a k j a ɨ̯
halmanaciau	a l m a n a k j ɛ
halmanaciau	a l m a n a k j a
halmanaciau	a l m a n a k j ɛ
halmanaciau	a l m a n a k j a
halwminiwm	h a l ʊ m ɪ n j ʊ m
hamerica	h a m ɛ r ɪ k a
hamod	h a m ɔ d
hamser	h a m s ɛ r
hamser	h a m s a r
hamser	h a m s a r
hanafu	h a n a v ɨ̞
hances	h a n k ɛ s
hances	h a n k a s
hances	h a n k a s
hanes	h a n ɛ s
hanes	h a n a s
hanes	h a n a s
hanfon	h a n v ɔ n
hangen	h a ŋ ɛ n
hangen	h a ŋ a n
hangen	h a ŋ a n
hanifail	h a n ɪ v a i̯ l
hanifail	h a n ɪ v ɛ l
hanifail	h a n ɪ v ɛ l
hanner	h a n ɛ r
hanner	h a n a r
hanner	h a n a r
hanner cant	h a n ɛ r k a n t
hanner cant	h a n a r k a n t
hanner cant	h a n a r k a n t
hannwyd	h a n ʊ ɨ̯ d
hanodd	h a n ɔ ð
hapus	h a p ɨ̞ s
harall	h a r a ɬ
harbed	h a r b ɛ d
harbwr	h a r b ʊ r
harchesgob	h a r χ ɛ s ɡ ɔ b
hardal	h a r d a l
hardaloedd	h a r d a l ɔ ɨ̯ ð
harddangos	h a r ð a ŋ ɔ s
hardd	h a r ð
harddach	h a r ð a χ
harddangosfa	h a r ð a ŋ ɡ ɔ s v a
hardded	h a r ð ɛ d
harestio	h a r ɛ s d j ɔ
harfbais	h a r v b a i̯ s
harglwydd	h a r ɡ l ʊ ɨ̯ ð
hargraffwr	h a r ɡ r a f ʊ r
hargraffydd	h a r ɡ r a f ɨ̞ ð
harian	h a r j a n
harlwy	h a r l u ɨ̯
harlwy	h a r l u ɨ̯
haros	h a r ɔ s
harth	h a r θ
haserbaijan	h a s ɛ r b a i̯ d͡ʒ a n
hatyr	h a t ɨ̞ r
hathrawes	h a θ r a u̯ ɛ s
hathrawes	h a θ r a u̯ a s
hathrawes	h a θ r a u̯ a s
hathro	h a θ r ɔ
haul	h a ɨ̯ l
hawdd	h a u̯ ð
hawl	h a u̯ l
hawlfraint	h a u̯ l v r a i̯ n t
hawlio	h a u̯ l j ɔ
hawstralia	h a u̯ s d r a l j a
heb	h ɛ b
heb ei ail	h ɛ b e i̯ a i̯ l
heb ei ail	h ɛ b ɪ a i̯ l
heb os nac oni bai	h ɛ b ɔ s n a k ɔ n iː b a iː
heblaw	h ɛ b l a u̯
heboca	h ɛ b ɔ k a
hechryd	h ɛ χ r ɨ̞ d
hechrydu	h ɛ χ r ə d ɨ
hechrydus	h ɛ χ r ə d ɨ̞ s
hedfan	h ɛ d v a n
hedyn	h ɛ d ɨ̞ n
hedd	h eː ð
heddferch	h ɛ ð v ɛ r χ
heddiw	h ɛ ð ɪ u̯
heddlu	h ɛ ð l ɨ
heddluoedd	h ɛ ð l ɨ̞ ɔ ɨ ð
heddwas	h ɛ ð w a s
heddwch	h ɛ ð ʊ χ
hefin	h ɛ v ɪ n
hefo	h ɛ v ɔ
hefyd	h ɛ v ɨ̞ d
heglwys	h ɛ ɡ l ʊ ɨ̯ s
henghraifft	h ɛ ŋ̊ r a i̯ f d
henghraifft	h ɛ ŋ̊ r ɛ f d
henghraifft	h ɛ ŋ̊ r ɛ f d
heibio	h e i̯ b j ɔ
heini	h e i̯ n i
heintiad	h e i̯ n t j a d
heintiadau	h e i̯ n t j a d a ɨ̯
heintiadau	h e i̯ n t j a d ɛ
heintiadau	h e i̯ n t j a d a
heintiadau	h e i̯ n t j a d ɛ
heintiadau	h e i̯ n t j a d a
heintio	h e i̯ n t j ɔ
heintrydd	h e i̯ n t r ɨ̞ ð
heintus	h e i̯ n t ɨ̞ s
heirdd	h e i̯ r ð
heirin	h e i̯ r ɪ n
heirin gwlanog	h e i̯ r ɪ ŋ ɡ w l a n ɔ ɡ
heirinen wlanog	h e i̯ r ɪ n ɛ n w l a n ɔ ɡ
heirinen wlanog	h e i̯ r ɪ n a n w l a n ɔ ɡ
heirinen wlanog	h e i̯ r ɪ n a n w l a n ɔ ɡ
heirlys	h e i̯ r l ɨ̞ s
heirlysiau	h e i̯ r l ə ʃ a ɨ̯
heirlysiau	h e i̯ r l ə ʃ ɛ
heirlysiau	h e i̯ r l ə ʃ a
heirlysiau	h e i̯ r l ə ʃ ɛ
heirlysiau	h e i̯ r l ə ʃ a
heisteddfod	h e i̯ s d ɛ ð v ɔ d
heisteddfodau	h e i̯ s d ɛ ð v ɔ d a ɨ̯
heisteddfodau	h e i̯ s d ɛ ð v ɔ d ɛ
heisteddfodau	h e i̯ s d ɛ ð v ɔ d a
heisteddfodau	h e i̯ s d ɛ ð v ɔ d ɛ
heisteddfodau	h e i̯ s d ɛ ð v ɔ d a
hel	h ɛ l
helaeth	h ɛ l a ɨ̞ θ
helaeth	h ɛ l ɛ θ
helaeth	h ɛ l ɛ θ
helbul	h ɛ l b ɨ̞ l
helbulon	h ɛ l b ɨ̞ l ɔ n
helbulus	h ɛ l b ɨ̞ l ɨ̞ s
helc	h ɛ l k
helciaid	h ɛ l k j a i̯ d
helciaid	h ɛ l k j ɛ d
helciaid	h ɛ l k j ɛ d
helfen	h ɛ l v ɛ n
heliwm	h ɛ l j ʊ m
helmau	h ɛ l m a ɨ̯
helmau	h ɛ l m ɛ
helmau	h ɛ l m a
helmau	h ɛ l m ɛ
helmau	h ɛ l m a
helmedau	h ɛ l m ɛ d a ɨ̯
helmedau	h ɛ l m ɛ d ɛ
helmedau	h ɛ l m ɛ d a
helmedau	h ɛ l m ɛ d ɛ
helmedau	h ɛ l m ɛ d a
helmedi	h ɛ l m ɛ d ɪ
help	h ɛ l p
help llaw	h ɛ l p ɬ a u̯
helpu	h ɛ l p ɨ̞
helpwr	h ɛ l p ʊ r
helpwyr	h ɛ l p w ɨ̞ r
helwr	h ɛ l ʊ r
helwyr	h ɛ l w ɨ̞ r
helyg	h ɛ l ɪ ɡ
helyg	h ɛ l ɨ̞ ɡ
helygen	h ɛ l ə ɡ ɛ n
helygen	h ɛ l ə ɡ a n
helygen	h ɛ l ə ɡ a n
helyglys	h ɛ l ə ɡ l ɨ̞ s
helyglys hardd	h ɛ l ə ɡ l ɨ̞ s h a r ð
helynt	h ɛ l ɨ̞ n t
helyntion	h ɛ l ə n t j ɔ n
helyntoedd	h ɛ l ə n t ɔ ɨ̯ ð
hen	h eː n
hen bryd	h eː n b r ɨː d
hen galan	h eː n ɡ a l a n
henadur	h ɛ n a d ɨ̞ r
henaint	h ɛ n a i̯ n t
hendrefa	h ɛ n d r ɛ v a
hendrefi	h ɛ n d r ɛ v i
hendrefydd	h ɛ n d r ɛ v ɨ̞ ð
henffordd	h ɛ n f ɔ r ð
hennill	h ɛ n ɪ ɬ
heno	h ɛ n ɔ
henw	h ɛ n u
heog	h ɛ ɔ ɡ
heol	h eː ɔ l
heol y gwynt	h eː ɔ l ə ɡ w ɨ̞ n t
her	h ɛ r
heraill	h ɛ r a i ɬ
heraill	h ɛ r ɪ ɬ
heraill	h ɛ r ɪ ɬ
herwhela	h ɛ r w h ɛ l a
hesg	h eː s ɡ
hesgen	h ɛ s ɡ ɛ n
hesgob	h ɛ s ɡ ɔ b
het	h ɛ t
hetiwr	h ɛ t j ʊ r
heuldro	h e ɨ̯ l d r ɔ
heuldro'r gaeaf	h e ɨ̯ l d r ɔ r ɡ e ɨ̯ a v
heuldro'r gaeaf	h e ɨ̯ l d r ɔ r ɡ e ɨ̯ a
heuldro'r gaeaf	h e ɨ̯ l d r ɔ r ɡ e ɨ̯ a
heuldro'r haf	h e ɨ̯ l d r ɔ r h aː v
heuldro'r haf	h e ɨ̯ l d r ɔ r h aː
heuldro'r haf	h e ɨ̯ l d r ɔ r h aː
heuliog	h e ɨ̯ l j ɔ ɡ
heulog	h e ɨ̯ l ɔ ɡ
heulsaf	h e ɨ̯ l s a v
heulwen	h e ɨ̯ l w ɛ n
hi	h iː
hiâ	h j aː
hiach	h j aː χ
hiarll	h j a r ɬ
hiasoer	h j a s ɔ ɨ̯ r
hiddewiaeth	h ɪ ð e u̯ j a ɨ θ
hiddewiaeth	h ɪ ð e u̯ j ɛ θ
hiddewiaeth	h ɪ ð e u̯ j ɛ θ
hieirll	h j e i̯ r ɬ
hifanc	h ɪ v a ŋ k
hil	h iː l
hiliaeth	h ɪ l j a ɨ̯ θ
hiliaeth	h ɪ l j ɛ θ
hiliaeth	h ɪ l j ɛ θ
hin	h iː n
hinon	h ɪ n ɔ n
hinsawdd	h ɪ n s a u̯ ð
hir	h iː r
hiraeth	h ɪ r a ɨ̯ θ
hiraeth	h ɪ r ɛ θ
hiraeth	h ɪ r ɛ θ
hirddydd	h ɪ r ð ɨ̞ ð
hirddydd haf	h ɪ r ð ɨ̞ ð h aː v
hirddydd haf	h ɪ r ð ɨ̞ ð h aː
hirddydd haf	h ɪ r ð ɨ̞ ð h aː
hirgron	h ɪ r ɡ r ɔ n
hirgrwn	h ɪ r ɡ r ʊ n
hirgrynion	h ɪ r ɡ r ə n j ɔ n
hirion	h ɪ r j ɔ n
hirnod	h ɪ r n ɔ d
hirsgwar	h ɪ r s ɡ w a r
hirsgwarau	h ɪ r s ɡ w a r a ɨ̯
hirsgwarau	h ɪ r s ɡ w a r ɛ
hirsgwarau	h ɪ r s ɡ w a r a
hirsgwarau	h ɪ r s ɡ w a r ɛ
hirsgwarau	h ɪ r s ɡ w a r a
hirsgwariau	h ɪ r s ɡ w a r j a ɨ̯
hirsgwariau	h ɪ r s ɡ w a r j ɛ
hirsgwariau	h ɪ r s ɡ w a r j a
hirsgwariau	h ɪ r s ɡ w a r j ɛ
hirsgwariau	h ɪ r s ɡ w a r j a
hithau	h ɪ θ a ɨ̯
hithau	h ɪ θ a
hithau	h ɪ θ a
hocys	h ɔ k ɨ̞ s
hoed	h oː ɨ̯ d
hoedi	h ɔ ɨ̯ d i
hoelio	h ɔ ɨ̯ l j ɔ
hoelio	h ɔ i̯ l j ɔ
hoen	h oː ɨ̯ n
hoeri	h ɔ ɨ̯ r i
hofran	h ɔ v r a n
hofrennydd	h ɔ v r ɛ n ɨ̞ ð
hoff	h oː f
hoffen	h ɔ f ɛ n
hoffest	h ɔ f ɛ s d
hoffet	h ɔ f ɛ t
hoffi	h ɔ f i
hogan	h ɔ ɡ a n
hogen	h ɔ ɡ ɛ n
hogiau	h ɔ ɡ j a ɨ̯
hogiau	h ɔ ɡ j ɛ
hogiau	h ɔ ɡ j a
hogiau	h ɔ ɡ j ɛ
hogiau	h ɔ ɡ j a
hogyn	h ɔ ɡ ɨ̞ n
holi	h ɔ l i
holocost	h ɔ l ɔ k ɔ s d
holl	h oː ɬ
hollbwysig	h ɔ ɬ b ʊ ɨ̯ s ɪ ɡ
hollbwysigrwydd	h ɔ ɬ b ʊ ɨ̯ s ɪ ɡ r ʊ ɨ̯ ð
hollti	h ɔ ɬ d i
homan	h ɔ m a n
hon	h ɔ n
honno	h ɔ n ɔ
hopys	h ɔ p ɨ̞ s
hosbis	h ɔ s b ɪ s
hosbisau	h ɔ s b ɪ s a ɨ̯
hosbisau	h ɔ s b ɪ s ɛ
