ԱԱ	ɑ ɑ́
խորեզմցի	χ o ɾ e z m t͡sʰ í
խորենացի	χ o ɾ e n ɑ t͡sʰ í
խորը	χ ó ɾ ə
խորթ	χ o ɾ tʰ
խորխ	χ o ɾ χ
խորխել	χ o ɾ χ é l
խորհ	χ o ɾ h
խորհել	χ o ɾ h é l
խորհուրդ	χ o ɾ ú ɾ tʰ
խորհրդաժողով	χ o ɾ ə ɾ tʰ ɑ ʒ o ʁ ó v
խորհրդական	χ o ɾ ə ɾ tʰ ɑ k ɑ́ n
խորհրդակցություն	χ o ɾ ə ɾ tʰ ɑ k t͡sʰ u t͡sʰ j ú n
խորհրդանիշ	χ o ɾ ə ɾ tʰ ɑ n í ʃ
խորհրդանշական	χ o ɾ ə ɾ tʰ ɑ n ə ʃ ɑ k ɑ́ n
խորհրդանշել	χ o ɾ ə ɾ tʰ ɑ n ə ʃ é l
խորհրդավոր	χ o ɾ ə ɾ tʰ ɑ v ó ɾ
խորհրդատու	χ o ɾ ə ɾ tʰ ɑ t ú
խորհրդատվություն	χ o ɾ ə ɾ tʰ ɑ t v u t͡sʰ j ú n
խորհրդարան	χ o ɾ ə ɾ tʰ ɑ ɾ ɑ́ n
խորհրդարանական	χ o ɾ ə ɾ tʰ ɑ ɾ ɑ n ɑ k ɑ́ n
խորն	χ o ɾ n
խորշ	χ o ɾ ʃ
խորշակ	χ o ɾ ʃ ɑ́ k
խորշոմ	χ o ɾ ʃ ó m
խորոզ	χ o ɾ ó z
խորոված	χ o ɾ o v ɑ́ t͡s
խորովել	χ o ɾ o v é l
խորություն	χ o ɾ u t͡sʰ j ú n
խորվաթ	χ o ɾ v ɑ́ tʰ
խորվաթական	χ o ɾ v ɑ tʰ ɑ k ɑ́ n
խորվաթերեն	χ o ɾ v ɑ tʰ e ɾ é n
խորտակել	χ o ɾ t ɑ k é l
խորտակվել	χ o ɾ t ɑ k v é l
խորտիկ	χ o ɾ t í k
խորք	χ o ɾ kʰ
խոց	χ o t͡sʰ
խոցել	χ o t͡sʰ é l
խոցելի	χ o t͡sʰ e l í
խոցոտել	χ o t͡sʰ o t é l
խուզարկու	χ u z ɑ ɾ k ú
խուզարկություն	χ u z ɑ ɾ k u t͡sʰ j ú n
խուզել	χ u z é l
խութ	χ u tʰ
խուժ	χ u ʒ
խուժան	χ u ʒ ɑ́ n
խուժել	χ u ʒ é l
խուլ	χ u l
խուլիգան	χ u l i ɡ ɑ́ n
խուճապ	χ u t͡ʃ ɑ́ p
խուճապի	χ u t͡ʃ ɑ p í
խուճուճ	χ u t͡ʃ ú t͡ʃ
խում	χ u m
խումար	χ u m ɑ́ ɾ
խումբ	χ u m b
խումհար	χ u m h ɑ́ ɾ
խույլ	χ u j l
խույր	χ u j ɾ
խունդի	χ u n d í
խունկ	χ u ŋ k
խունտա	χ u n t ɑ́
խունտա	χ ú n t ɑ
խուռն	χ ú r ə n
խուռնա	χ u r n ɑ́
խուսափել	χ u s ɑ pʰ é l
խուտուտ	χ u t ú t
խուրդա	χ u ɾ d ɑ́
խուրձ	χ u ɾ t͡sʰ
խուրմա	χ u ɾ m ɑ́
խուց	χ u t͡sʰ
խուփ	χ u pʰ
խոփ	χ o pʰ
խպիպ	χ ə p í p
խռավաթ	χ ə r ɑ v ɑ́ tʰ
խռթալ	χ ə r tʰ ɑ́ l
խռթացնել	χ ə r tʰ ɑ t͡sʰ n é l
խռիկ	χ ə r í k
խռիկներ	χ ə r i k n é ɾ
խռիվ	χ ə r í v
խռմփալ	χ ə r ə m pʰ ɑ́ l
խռմփացնել	χ ə r ə m pʰ ɑ t͡sʰ n é l
խռմփոց	χ ə r ə m pʰ ó t͡sʰ
խռով	χ ə r ó v
խռովահույզ	χ ə r o v ɑ h ú j z
խռովարար	χ ə r o v ɑ ɾ ɑ́ ɾ
խռովել	χ ə r o v é l
խռովություն	χ ə r o v u t͡sʰ j ú n
խռուկ	χ ə r ú k
խռպոտ	χ ə r p ó t
խռռացնել	χ ə rː ɑ t͡sʰ n é l
խստիվ	χ ə s t í v
խստոր	χ ə s t ó ɾ
խստորեն	χ ə s t o ɾ é n
խտասալիկ	χ ə t ɑ s ɑ l í k
խտիղ	χ ə t í ʁ
խտղտանք	χ ə t ʁ ə t ɑ́ ŋ kʰ
խտղտացնել	χ ə t ə χ t ɑ t͡sʰ n é l
խտղտացնել	χ ə t ʁ ə t ɑ t͡sʰ n é l
խտղտել	χ ə t ə χ t é l
խտղտել	χ ə t ʁ ə t é l
խտություն	χ ə t u t͡sʰ j ú n
խտրականություն	χ ə t ɾ ɑ k ɑ n u t͡sʰ j ú n
խրախուսանք	χ ə ɾ ɑ χ u s ɑ́ ŋ kʰ
խրախուսել	χ ə ɾ ɑ χ u s é l
խրամ	χ ə ɾ ɑ́ m
խրամատ	χ ə ɾ ɑ m ɑ́ t
խրատ	χ ə ɾ ɑ́ t
խրթել	χ ə ɾ tʰ é l
խրթին	χ ə ɾ tʰ í n
խրիզոպրազ	χ ɾ i z o p ɾ ɑ́ z
խրխնջալ	χ ə ɾ χ ə n d͡ʒ ɑ́ l
խրծիկ	χ ə ɾ t͡s í k
խրճիթ	χ ə ɾ t͡ʃ í tʰ
խրոխտ	χ ə ɾ ó χ t
խրոխտաբար	χ ə ɾ o χ t ɑ b ɑ́ ɾ
խրոխտագին	χ ə ɾ o χ t ɑ ɡ í n
խրոխտալ	χ ə ɾ o χ t ɑ́ l
խրոխտանալ	χ ə ɾ o χ t ɑ n ɑ́ l
խրոխտանք	χ ə ɾ o χ t ɑ́ ŋ kʰ
խրոխտություն	χ ə ɾ o χ t u t͡sʰ j ú n
խրուկ	χ ə ɾ ú k
խրտնել	χ ə ɾ t n é l
խրտվիլակ	χ ə ɾ t v i l ɑ́ k
խցան	χ ə t͡sʰ ɑ́ n
խցանակաղնի	χ ə t͡sʰ ɑ n ɑ k ɑ ʁ n í
խցանահան	χ ə t͡sʰ ɑ n ɑ h ɑ́ n
խցանում	χ ə t͡sʰ ɑ n ú m
խցել	χ ə t͡sʰ é l
խցիկ	χ ə t͡sʰ í k
խփել	χ ə pʰ é l
խփոցի	χ ə pʰ o t͡sʰ í
ծ	t͡s ə
ծա	t͡s ɑ
ծագ	t͡s ɑ kʰ
ծագել	t͡s ɑ kʰ é l
ծագում	t͡s ɑ kʰ ú m
ծագումնաբան	t͡s ɑ kʰ u m n ɑ b ɑ́ n
ծագումնաբանություն	t͡s ɑ kʰ u m n ɑ b ɑ n u t͡sʰ j ú n
ծալ	t͡s ɑ l
ծալել	t͡s ɑ l é l
ծալծալ	t͡s ɑ l t͡s ɑ́ l
ծախ	t͡s ɑ χ
ծախատեղ	t͡s ɑ χ ɑ t é ʁ
ծախել	t͡s ɑ χ é l
ծախիչ	t͡s ɑ χ í t͡ʃʰ
ծախծխել	t͡s ɑ χ t͡s ə χ é l
ծախծխոտել	t͡s ɑ χ t͡s ə χ o t é l
ծախծխոտում	t͡s ɑ χ t͡s ə χ o t ú m
ծախծխոտվել	t͡s ɑ χ t͡s ə χ o t v é l
ծախծխորել	t͡s ɑ χ t͡s ə χ o ɾ é l
ծախծխորում	t͡s ɑ χ t͡s ə χ o ɾ ú m
ծախծխորվել	t͡s ɑ χ t͡s ə χ o ɾ v é l
ծախծխում	t͡s ɑ χ t͡s ə χ ú m
ծախծխվել	t͡s ɑ χ t͡s ə χ v é l
ծախող	t͡s ɑ χ ó ʁ
ծախոտել	t͡s ɑ χ o t é l
ծախոտում	t͡s ɑ χ o t ú m
ծախոտվել	t͡s ɑ χ o t v é l
ծախու	t͡s ɑ χ ú
ծախում	t͡s ɑ χ ú m
ծախս	t͡s ɑ χ s
ծախսագիրք	t͡s ɑ χ s ɑ ɡ í ɾ kʰ
ծախսագրել	t͡s ɑ χ s ɑ ɡ ə ɾ é l
ծախսագրում	t͡s ɑ χ s ɑ ɡ ə ɾ ú m
ծախսամատյան	t͡s ɑ χ s ɑ m ɑ t j ɑ́ n
ծախսային	t͡s ɑ χ s ɑ j í n
ծախսացույց	t͡s ɑ χ s ɑ t͡sʰ ú j t͡sʰ
ծախսել	t͡s ɑ χ s é l
ծախսում	t͡s ɑ χ s ú m
ծախսվել	t͡s ɑ χ s v é l
ծախված	t͡s ɑ χ v ɑ́ t͡s
ծախվածություն	t͡s ɑ χ v ɑ t͡s u t͡sʰ j ú n
ծախվել	t͡s ɑ χ v é l
ծախվող	t͡s ɑ χ v ó ʁ
ծախք	t͡s ɑ χ kʰ
ծածան	t͡s ɑ t͡s ɑ́ n
ծածանել	t͡s ɑ t͡s ɑ n é l
ծածկալեզու	t͡s ɑ t͡s k ɑ l e z ú
ծածկել	t͡s ɑ t͡s k é l
ծածկույթ	t͡s ɑ t͡s k ú j tʰ
ծածուկ	t͡s ɑ t͡s ú k
ծակ	t͡s ɑ k
ծակոտ	t͡s ɑ k ó t
ծակոտկեն	t͡s ɑ k o t k é n
ծաղարար	t͡s ɑ ʁ ɑ ɾ ɑ́ ɾ
ծաղիկ	t͡s ɑ ʁ í k
ծաղկախտ	t͡s ɑ χ k ɑ́ χ t
ծաղկակաղամբ	t͡s ɑ χ k ɑ k ɑ ʁ ɑ́ m b
ծաղկաման	t͡s ɑ χ k ɑ m ɑ́ n
ծաղկափոշի	t͡s ɑ χ k ɑ pʰ o ʃ í
ծաղկեպսակ	t͡s ɑ χ k e p ə s ɑ́ k
ծաղկեփունջ	t͡s ɑ χ k e pʰ ú n d͡ʒ
ծաղկյա	t͡s ɑ χ k j ɑ́
ծաղկունք	t͡s ɑ χ k ú ŋ kʰ
ծաղր	t͡s ɑ́ ʁ ə ɾ
ծաղրածու	t͡s ɑ ʁ ɾ ɑ t͡s ú
ծաղրել	t͡s ɑ ʁ ɾ é l
ծամ	t͡s ɑ m
ծամել	t͡s ɑ m é l
ծամոն	t͡s ɑ m ó n
ծամտաք	t͡s ɑ m t ɑ́ kʰ
ծայր	t͡s ɑ j ɾ
ծայրակարմիր	t͡s ɑ j ɾ ɑ k ɑ ɾ m í ɾ
ծայրահեղ	t͡s ɑ j ɾ ɑ h é ʁ
ծայրահեղական	t͡s ɑ j ɾ ɑ h e ʁ ɑ k ɑ́ n
ծայրահեղականություն	t͡s ɑ j ɾ ɑ h e ʁ ɑ k ɑ n u t͡sʰ j ú n
ծայրաքաղաք	t͡s ɑ j ɾ ɑ kʰ ɑ ʁ ɑ́ kʰ
ծանակ	t͡s ɑ n ɑ́ k
ծանծաղ	t͡s ɑ n t͡s ɑ́ ʁ
ծանծաղուտ	t͡s ɑ n t͡s ɑ ʁ ú t
ծանոթ	t͡s ɑ n ó tʰ
ծանոթանալ	t͡s ɑ n o tʰ ɑ n ɑ́ l
ծանոթացնել	t͡s ɑ n o tʰ ɑ t͡sʰ n é l
ծանոթություն	t͡s ɑ n o tʰ u t͡sʰ j ú n
ծանուցել	t͡s ɑ n u t͡sʰ é l
ծանուցում	t͡s ɑ n u t͡sʰ ú m
ծանր	t͡s ɑ́ n ə ɾ
ծանրաբեռ	t͡s ɑ n ɾ ɑ b é r
ծանրաձող	t͡s ɑ n ɾ ɑ d͡z ó ʁ
ծանրամարտ	t͡s ɑ n ɾ ɑ m ɑ́ ɾ t
ծանրաչափ	t͡s ɑ n ɾ ɑ t͡ʃʰ ɑ́ pʰ
ծանրորդ	t͡s ɑ n ɾ ó ɾ tʰ
ծանրոց	t͡s ɑ n ɾ ó t͡sʰ
ծանրություն	t͡s ɑ n ɾ u t͡sʰ j ú n
ծառ	t͡s ɑ r
ծառա	t͡s ɑ r ɑ́
ծառայել	t͡s ɑ r ɑ j é l
ծառայող	t͡s ɑ r ɑ j ó ʁ
ծառայողական	t͡s ɑ r ɑ j o ʁ ɑ k ɑ́ n
ծառայություն	t͡s ɑ r ɑ j u t͡sʰ j ú n
ծառզարդար	t͡s ɑ r z ɑ ɾ tʰ ɑ́ ɾ
ծավալ	t͡s ɑ v ɑ́ l
ծավալել	t͡s ɑ v ɑ l é l
ծավալուն	t͡s ɑ v ɑ l ú n
ծավի	t͡s ɑ v í
ծարավ	t͡s ɑ ɾ ɑ́ v
ծարավի	t͡s ɑ ɾ ɑ v í
ծարավություն	t͡s ɑ ɾ ɑ v u t͡sʰ j ú n
ծարբ	t͡s ɑ ɾ b
ծարիր	t͡s ɑ ɾ í ɾ
ծափ	t͡s ɑ pʰ
ծափահարել	t͡s ɑ pʰ ɑ h ɑ ɾ é l
ծափահարելի	t͡s ɑ pʰ ɑ h ɑ ɾ e l í
ծափահարություն	t͡s ɑ pʰ ɑ h ɑ ɾ u t͡sʰ j ú n
ծափահարում	t͡s ɑ pʰ ɑ h ɑ ɾ ú m
ծափահարվել	t͡s ɑ pʰ ɑ h ɑ ɾ v é l
ծափեր	t͡s ɑ pʰ é ɾ
ծափողջույն	t͡s ɑ pʰ o χ t͡ʃʰ ú j n
ծեգ	t͡s e kʰ
ծեծ	t͡s e t͡s
ծեծել	t͡s e t͡s é l
ծես	t͡s e s
ծեր	t͡s e ɾ
ծերակույտ	t͡s e ɾ ɑ k ú j t
ծերակուտական	t͡s e ɾ ɑ k u t ɑ k ɑ́ n
ծերանալ	t͡s e ɾ ɑ n ɑ́ l
ծերություն	t͡s e ɾ u t͡sʰ j ú n
ծերուկ	t͡s e ɾ ú k
ծերույթ	t͡s e ɾ ú j tʰ
ծերուն	t͡s e ɾ ú n
ծերունի	t͡s e ɾ u n í
ծերտ	t͡s e r t
ծերտ	t͡s e ɾ t
ծեփ	t͡s e pʰ
ծեփամածիկ	t͡s e pʰ ɑ m ɑ t͡s í k
ծեփել	t͡s e pʰ é l
ծիածան	t͡s i j ɑ t͡s ɑ́ n
ծիլ	t͡s i l
ծիծ	t͡s i t͡s
ծիծակ	t͡s i t͡s ɑ́ k
ծիծաղ	t͡s i t͡s ɑ́ ʁ
ծիծաղալ	t͡s i t͡s ɑ ʁ ɑ́ l
ծիծաղաշարժ	t͡s i t͡s ɑ ʁ ɑ ʃ ɑ́ ɾ ʒ
ծիծաղել	t͡s i t͡s ɑ ʁ é l
ծիծաղկոտ	t͡s i t͡s ɑ χ k ó t
ծիծառ	t͡s i t͡s ɑ́ r
ծիծառնուկ	t͡s i t͡s ɑ r n ú k
ծիծեռ	t͡s i t͡s é r
ծիծեռնակ	t͡s i t͡s e r n ɑ́ k
ծիծիլիոն	t͡s i t͡s i l j ó n
ծիծիկ	t͡s i t͡s í k
ծիկրակել	t͡s i k ɾ ɑ k é l
ծիմել	t͡s i m é l
ծին	t͡s i n
ծիտ	t͡s i t
ծիր	t͡s i ɾ
ծիրան	t͡s i ɾ ɑ́ n
ծիրանափող	t͡s i ɾ ɑ n ɑ pʰ ó ʁ
ծիրանենի	t͡s i ɾ ɑ n e n í
ծիրանի	t͡s i ɾ ɑ n í
ծիրաններ	t͡s i ɾ ɑ nː é ɾ
ծիրտ	t͡s i ɾ t
ծիֆին	t͡s i f í n
ծլարձակել	t͡s ə l ɑ ɾ t͡sʰ ɑ k é l
ծլել	t͡s ə l é l
ծլիկ	t͡s ə l í k
ծլիկային	t͡s ə l i k ɑ j í n
ծխախոտ	t͡s ə χ ɑ χ ó t
ծխած	t͡s ə χ ɑ́ t͡s
ծխածածկույթ	t͡s ə χ ɑ t͡s ɑ t͡s k ú j tʰ
ծխամորճ	t͡s ə χ ɑ m ó ɾ t͡ʃ
ծխանելիք	t͡s ə χ ɑ n e l í kʰ
ծխանռնակ	t͡s ə χ ɑ n r n ɑ́ k
ծխել	t͡s ə χ é l
ծխնելույզ	t͡s ə χ n e l ú j z
ծխնի	t͡s ə χ n í
ծխող	t͡s ə χ ó ʁ
ծխուկ	t͡s ə χ ú k
ծծակ	t͡s ə t͡s ɑ́ k
ծծել	t͡s ə t͡s é l
ծծումբ	t͡s ə t͡s ú m b
ծղնի	t͡s ə ʁ n í
ծղոտ	t͡s ə ʁ ó t
ծղոտե	t͡s ə ʁ o t é
ծղրիդ	t͡s ə ʁ ɾ í d
ծղրտալ	t͡s ə ʁ ə ɾ t ɑ́ l
ծյոծյա	t͡s j o t͡s j ɑ́
ծնգալ	t͡s ə ŋ ɡ ɑ́ l
ծնգցնել	t͡s ə ŋ ɡ ə t͡sʰ n é l
ծնեբեկ	t͡s ə n e b é k
ծնել	t͡s ə n é l
ծնծղա	t͡s ə n t͡s ə ʁ ɑ́
ծնկներ	t͡s ə ŋ k n é ɾ
ծնկոսկր	t͡s ə ŋ k ó s k ɾ
ծննդաբերություն	t͡s ə n ə n d ɑ b e ɾ u t͡sʰ j ú n
ծննդավայր	t͡s ə n ə n d ɑ v ɑ́ j ɾ
ծնող	t͡s ə n ó ʁ
ծնողներ	t͡s ə n o ʁ n é ɾ
ծնոտ	t͡s ə n ó t
ծնունդ	t͡s ə n ú n d
ծնված	t͡s ə n v ɑ́ t͡s
ծնվել	t͡s ə n v é l
ծո	t͡s o
ծոծորակ	t͡s o t͡s o ɾ ɑ́ k
ծոծրակ	t͡s o t͡s ɾ ɑ́ k
ծոմ	t͡s o m
ծոռ	t͡s o r
ծով	t͡s o v
ծովագնաց	t͡s o v ɑ ɡ ə n ɑ́ t͡sʰ
ծովախեցգետին	t͡s o v ɑ χ e t͡sʰ ɡ e t í n
ծովախոզ	t͡s o v ɑ χ ó z
ծովախոզուկ	t͡s o v ɑ χ o z ú k
ծովախորշ	t͡s o v ɑ χ ó ɾ ʃ
ծովախտ	t͡s o v ɑ́ χ t
ծովածոց	t͡s o v ɑ t͡s ó t͡sʰ
ծովակ	t͡s o v ɑ́ k
ծովակալ	t͡s o v ɑ k ɑ́ l
ծովակով	t͡s o v ɑ k ó v
ծովահեն	t͡s o v ɑ h é n
ծովահրեշտակիկ	t͡s o v ɑ h ə ɾ e ʃ t ɑ k í k
ծովանկար	t͡s o v ɑ n ə k ɑ́ ɾ
ծովաշուն	t͡s o v ɑ ʃ ú n
ծովապատնեշ	t͡s o v ɑ p ɑ t n é ʃ
ծովատառեխ	t͡s o v ɑ t ɑ r é χ
ծովացուլ	t͡s o v ɑ t͡sʰ ú l
ծովափ	t͡s o v ɑ́ pʰ
ծովափիղ	t͡s o v ɑ pʰ í ʁ
ծովեզերք	t͡s o v e z é ɾ kʰ
ծոր	t͡s o ɾ
ծորակ	t͡s o ɾ ɑ́ k
ծորան	t͡s o ɾ ɑ́ n
ծործորակ	t͡s o ɾ t͡s o ɾ ɑ́ k
ծոց	t͡s o t͡sʰ
ծոցագրպան	t͡s o t͡sʰ ɑ ɡ ə ɾ p ɑ́ n
ծոցատետր	t͡s o t͡sʰ ɑ t é t ə ɾ
ծուլանալ	t͡s u l ɑ n ɑ́ l
ծուլություն	t͡s u l u t͡sʰ j ú n
ծուխ	t͡s u χ
ծուծ	t͡s u t͡s
ծուղակ	t͡s u ʁ ɑ́ k
ծույլ	t͡s u j l
ծունկ	t͡s u ŋ k
ծուռ	t͡s u r
ծուռումուռ	t͡s u r u m ú r
ծպտել	t͡s ə p t é l
ծպտի	t͡s ə p t í
ծպտյալ	t͡s ə p t j ɑ́ l
ծպտվել	t͡s ə p t v é l
ծպտվել	t͡s ə p t ə v é l
ծվաղ	t͡s ə v ɑ́ ʁ
ծվաղենի	t͡s ə v ɑ ʁ e n í
ծվաղի	t͡s ə v ɑ ʁ í
ծրագիր	t͡s ə ɾ ɑ ɡ í ɾ
ծրագրակազմ	t͡s ə ɾ ɑ ɡ ə ɾ ɑ k ɑ́ z m
ծրագրային	t͡s ə ɾ ɑ ɡ ɾ ɑ j í n
ծրագրաշար	t͡s ə ɾ ɑ ɡ ə ɾ ɑ ʃ ɑ́ ɾ
ծրագրավորել	t͡s ə ɾ ɑ ɡ ɾ ɑ v o ɾ é l
ծրագրավորող	t͡s ə ɾ ɑ ɡ ɾ ɑ v o ɾ ó ʁ
ծրագրավորում	t͡s ə ɾ ɑ ɡ ɾ ɑ v o ɾ ú m
ծրագրել	t͡s ə ɾ ɑ ɡ ɾ é l
ծրայր	t͡s ə ɾ ɑ́ j ɾ
ծրար	t͡s ə ɾ ɑ́ ɾ
ծրտել	t͡s ə ɾ t é l
ծփալ	t͡s ə pʰ ɑ́ l
ծփել	t͡s ə pʰ é l
ծփենի	t͡s ə pʰ e n í
ծփի	t͡s ə pʰ í
կ	k ə
կա	k ɑ
կադմիում	k ɑ d m i j ú m
կադմիում	k ɑ́ d m i j u m
կադրային	k ɑ d ɾ ɑ j í n
կազակ	k ɑ z ɑ́ k
կազարմա	k ɑ z ɑ ɾ m ɑ́
կազդուրվել	k ɑ z d u ɾ v é l
կազինո	k ɑ z i n ó
կազմ	k ɑ z m
կազմախոսություն	k ɑ z m ɑ χ o s u t͡sʰ j ú n
կազմակերպել	k ɑ z m ɑ k e ɾ p é l
կազմակերպիչ	k ɑ z m ɑ k e ɾ p í t͡ʃʰ
կազմակերպություն	k ɑ z m ɑ k e ɾ p u t͡sʰ j ú n
կազմակերպում	k ɑ z m ɑ k e ɾ p ú m
կազմակերպչական	k ɑ z m ɑ k e ɾ p t͡ʃʰ ɑ k ɑ́ n
կազմակերպված	k ɑ z m ɑ k e ɾ p v ɑ́ t͡s
կազմակերպվել	k ɑ z m ɑ k e ɾ p v é l
կազմավորել	k ɑ z m ɑ v o ɾ é l
կազմավորություն	k ɑ z m ɑ v o ɾ u t͡sʰ j ú n
կազմավորում	k ɑ z m ɑ v o ɾ ú m
կազմավորվել	k ɑ z m ɑ v o ɾ v é l
կազմել	k ɑ z m é l
կազմություն	k ɑ z m u t͡sʰ j ú n
կաթ	k ɑ tʰ
կաթիլ	k ɑ tʰ í l
կաթիկ	k ɑ tʰ í k
կաթնամթերք	k ɑ tʰ n ɑ m ə tʰ é ɾ kʰ
կաթնաշոռ	k ɑ tʰ n ɑ ʃ ó r
կաթնապուր	k ɑ tʰ n ɑ p ú ɾ
կաթնասուն	k ɑ tʰ n ɑ s u n
կաթնով	k ɑ tʰ n ó v
կաթնուկ	k ɑ tʰ n ú k
կաթոդ	k ɑ tʰ ó d
կաթոլիկ	k ɑ tʰ o l í k
կաթողիկոս	k ɑ tʰ o ʁ i k ó s
կաթսա	k ɑ tʰ s ɑ́
կաթսայիկ	k ɑ tʰ s ɑ j í k
կաթվածահարություն	k ɑ tʰ v ɑ t͡s ɑ h ɑ ɾ u t͡sʰ j ú n
կալ	k ɑ l
կալան	k ɑ l ɑ́ n
կալանավորել	k ɑ l ɑ n ɑ v o ɾ é l
կալանք	k ɑ l ɑ́ ŋ kʰ
կալբաս	k ɑ l b ɑ́ s
կալել	k ɑ l é l
կալիոն	k ɑ l i j ó n
կալիում	k ɑ l i j ú m
կալիֆոռնիում	k ɑ l i f o r n i j ú m
կալիֆոռնիում	k ɑ l i f ó r n i j u m
կալիֆորնիում	k ɑ l i f o ɾ n i j ú m
կալիֆորնիում	k ɑ l i f ó ɾ n i j u m
կալնել	k ɑ l n é l
կալված	k ɑ l v ɑ́ t͡s
կալվածք	k ɑ l v ɑ́ t͡s kʰ
կալվինական	k ɑ l v i n ɑ k ɑ́ n
կալցիում	k ɑ l t͡sʰ i j ú m
կախ	k ɑ χ
կախակապ	k ɑ χ ɑ k ɑ́ p
կախաղան	k ɑ χ ɑ ʁ ɑ́ n
կախարդ	k ɑ χ ɑ́ ɾ d
կախարդ	k ɑ χ ɑ́ ɾ tʰ
կախարդաբար	k ɑ χ ɑ ɾ d ɑ b ɑ́ ɾ
կախարդական	k ɑ χ ɑ ɾ d ɑ k ɑ́ n
կախարդել	k ɑ χ ɑ ɾ d é l
կախարդորեն	k ɑ χ ɑ ɾ d o ɾ é n
կախարդություն	k ɑ χ ɑ ɾ d u t͡sʰ j ú n
կախարդվածություն	k ɑ χ ɑ ɾ d v ɑ t͡s u t͡sʰ j ú n
կախարդվել	k ɑ χ ɑ ɾ d v é l
կախել	k ɑ χ é l
կախիչ	k ɑ χ í t͡ʃʰ
կախվածություն	k ɑ χ v ɑ t͡s u t͡sʰ j ú n
կախվել	k ɑ χ v é l
կակազել	k ɑ k ɑ z é l
կակալ	k ɑ k ɑ́ l
կակալա	k ɑ k ɑ l ɑ́
կակաո	k ɑ k ɑ ó
կակաչ	k ɑ k ɑ́ t͡ʃʰ
կակղամորթ	k ɑ k ʁ ɑ m ó ɾ tʰ
կակտուս	k ɑ k t ú s
կահույր	k ɑ h ú j ɾ
կահույք	k ɑ h ú j kʰ
կաղ	k ɑ ʁ
կաղալ	k ɑ ʁ ɑ́ l
կաղաղ	k ɑ ʁ ɑ́ ʁ
կաղամախ	k ɑ ʁ ɑ m ɑ́ χ
կաղամախի	k ɑ ʁ ɑ m ɑ χ í
կաղամար	k ɑ ʁ ɑ m ɑ́ ɾ
կաղամբ	k ɑ ʁ ɑ́ m b
կաղապար	k ɑ ʁ ɑ p ɑ́ ɾ
կաղապարը	k ɑ ʁ ɑ p ɑ́ ɾ ə
կաղին	k ɑ ʁ í n
կաղկանձ	k ɑ χ k ɑ́ n d͡z
կաղկանձել	k ɑ χ k ɑ n d͡z é l
կաղճին	k ɑ χ t͡ʃ í n
կաղնի	k ɑ ʁ n í
կաղնուտ	k ɑ ʁ n ú t
կաղջին	k ɑ ʁ d͡ʒ í n
կաճառ	k ɑ t͡ʃ ɑ́ r
կամ	k ɑ m
կամակոր	k ɑ m ɑ k ó ɾ
կամավ	k ɑ m ɑ́ v
կամավոր	k ɑ m ɑ v ó ɾ
կամավորական	k ɑ m ɑ v o ɾ ɑ k ɑ́ n
կամար	k ɑ m ɑ́ ɾ
կամաց	k ɑ m ɑ́ t͡sʰ
կամել	k ɑ m é l
կամենալ	k ɑ m e n ɑ́ l
կամընտիր	k ɑ m ə n t í ɾ
կամընտրական	k ɑ m ə n t ɾ ɑ k ɑ́ n
կամուրջ	k ɑ m ú ɾ d͡ʒ
կամրջից	k ɑ m ə ɾ d͡ʒ í t͡sʰ
կամք	k ɑ m kʰ
կայազոր	k ɑ j ɑ z ó ɾ
կայան	k ɑ j ɑ́ n
կայանալ	k ɑ j ɑ n ɑ́ l
կայանատեղի	k ɑ j ɑ n ɑ t e ʁ í
կայանում	k ɑ j ɑ n ú m
կայարան	k ɑ j ɑ ɾ ɑ́ n
կայացած	k ɑ j ɑ t͡sʰ ɑ́ t͡s
կայթ	k ɑ j tʰ
կայթյուն	k ɑ j tʰ j ú n
կայի	k ɑ j í
կային	k ɑ j í n
կայինք	k ɑ j í ŋ kʰ
կայիր	k ɑ j í ɾ
կայիք	k ɑ j í kʰ
կայծ	k ɑ j t͡s
կայծակ	k ɑ j t͡s ɑ́ k
կայծառ	k ɑ j t͡s ɑ́ r
կայծոռիկ	k ɑ j t͡s o r í k
կայծքար	k ɑ j t͡s kʰ ɑ́ ɾ
կայմ	k ɑ j m
կայուն	k ɑ j ú n
կայունություն	k ɑ j u n u t͡sʰ j ú n
կայսերապաշտ	k ɑ j s e ɾ ɑ p ɑ́ ʃ t
կայսերապաշտական	k ɑ j s e ɾ ɑ p ɑ ʃ t ɑ k ɑ́ n
կայսերապաշտություն	k ɑ j s e ɾ ɑ p ɑ ʃ t u t͡sʰ j ú n
կայսր	k ɑ́ j s ə ɾ
կայսրություն	k ɑ j s ɾ u t͡sʰ j ú n
կայսրուհի	k ɑ j s ɾ u h í
կայտառ	k ɑ j t ɑ́ r
կայք	k ɑ j kʰ
կայքավար	k ɑ j kʰ ɑ v ɑ́ ɾ
կայֆ	k ɑ j f
կան	k ɑ n
կանադական	k ɑ n ɑ d ɑ k ɑ́ n
կանամբի	k ɑ n ɑ m pʰ í
կանանոց	k ɑ n ɑ n ó t͡sʰ
կանանչ	k ɑ n ɑ́ n t͡ʃʰ
կանաչ	k ɑ n ɑ́ t͡ʃʰ
կանաչազարդ	k ɑ n ɑ t͡ʃʰ ɑ z ɑ́ ɾ tʰ
